2694-2015-08-09_108_Nordwestschweizerisches_Schwingfest-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
+;9;37.0;Kohler Adrian;;10;55.5;10;36.75;1;-0.25;9.75
o;8;46.75;Stüdeli Thomas;**;6;56.5;9;46.5;1;-0.25;8.5

11e;Brand Christian;**;;;;;;;;;55.25
-;;;Vieira Tiago;**;;;;;;;8.75
+;4;8.75;Wiederkehr Michael;;16;54.0;1;10.0;-3;1.25;9.75
o;5;18.5;Kämpf Bernhard;***;5;57.0;7;17.5;2;-1.0;8.5
+;10;27.0;Inderwildi Daniel;;24;35.25;11;26.75;1;-0.25;10.0
o;9;37.0;Studinger Mathias;**;10;55.5;9;37.0;0;0.0;8.5
+;13;45.5;Bieli Andreas;;15;54.25;12;45.75;-1;0.25;9.75

11f;Lang Martin;**;;;;;;;;;55.25
+;;;Stegmüller Klemens;*;;;;;;;9.75
o;2;9.75;Schneider Mario;**;9;55.75;4;8.75;2;-1.0;8.5
+;6;18.25;Kohler Adrian;;10;55.5;3;19.0;-3;0.75;10.0
o;5;28.25;Stalder Remo;***;4;57.25;8;27.5;3;-0.75;8.5
+;10;36.75;Wittmer Lukas;;17;53.75;10;36.75;0;0.0;10.0
o;8;46.75;Stoffel Marc;**;6;56.5;8;46.75;0;0.0;8.5

11g;Wehrli Christian;;;;;;;;;;55.25
+;;;Brun Samuel (1999);;;;;;;;9.75
-;2;9.75;Bader Andreas;*;14;54.5;5;8.5;3;-1.25;8.75
o;5;18.5;Schmid David;**;3;57.75;3;19.0;-2;0.5;8.5
+;10;27.0;Hitz Florian (1999);;22;52.5;10;27.0;0;0.0;9.75
o;10;36.75;Kocher Remo;**;9;55.75;8;37.25;-2;0.5;8.5
+;14;45.25;Nussbaumer Gabriel;;17;53.75;14;45.25;0;0.0;10.0

11h;Stoll Simon;;;;;;;;;;55.25
+;;;Inderwildi Daniel;;;;;;;;9.75
+;2;9.75;Bucher Pascal;;15;54.25;1;10.0;-1;0.25;10.0
o;1;19.75;Klausner Yanick;**;10;55.5;5;18.5;4;-1.25;8.75
o;4;28.5;Odermatt Christian;**;11;55.25;9;27.25;5;-1.25;8.5
+;9;37.0;Brügger Cyrill (1998);;12;55.0;11;36.5;2;-0.5;9.75
o;8;46.75;Widmer Tobias;*;4;57.25;6;47.25;-2;0.5;8.5

12a;Widmer Cyrill (1998);;;;;;;;;;55.0
+;;;Steger Robert (1998);;;;;;;;9.75
+;2;9.75;Leuthard Mario;;16;54.0;1;10.0;-1;0.25;9.75
o;2;19.5;Studinger Stephan;**;7;56.25;4;18.75;2;-0.75;8.5
o;6;28.0;Widmer Tobias;*;4;57.25;9;27.25;3;-0.75;8.5
o;11;36.5;Riesen Ruedi;;13;54.75;11;36.5;0;0.0;8.5
+;15;45.0;Reimann Marco (1998);;18;53.5;15;45.0;0;0.0;10.0

12b;Kramer Franz;*;;;;;;;;;55.0
+;;;Moser Matthias;*;;;;;;;9.75
o;2;9.75;Blatter Lorenz;*;5;57.0;1;10.0;-1;0.25;8.5
o;6;18.25;Strebel Joel (1997);*;6;56.5;4;18.75;-2;0.5;8.75
+;10;27.0;Schaub Florent;;15;54.25;9;27.25;-1;0.25;9.75
+;10;36.75;von Arx Christian;*;13;54.75;8;37.25;-2;0.5;9.75
o;9;46.5;Waldner Patrick;**;6;56.5;8;46.75;-1;0.25;8.5

12c;Krebs Clemens;;;;;;;;;;55.0
o;;;Rüegger Aaron (1999);;;;;;;;8.5
+;5;8.5;Küng Marco;;20;53.0;4;8.75;-1;0.25;9.75
+;6;18.25;Inderwildi Daniel;;24;35.25;6;18.25;0;0.0;9.75
-;6;28.0;Hasler Jimmy;*;14;54.5;10;27.0;4;-1.0;8.75
