3506-2016-05-05_Baselstaedtischer_Schwingertag-ST

1a;Wenger Kilian;***;;;;;;;;;59.5
+;5;8.5;Burkhardt Roy;;17;53.75;5;8.5;0;0.0;9.75
o;7;18.25;Fritz Christian;;17;53.75;7;18.25;0;0.0;8.5
+;11;26.75;Schaub Reto (2000);;22;35.25;11;26.75;0;0.0;10.0
+;10;36.75;Grossmann Andreas;;13;54.75;11;36.5;1;-0.25;9.75
o;9;46.5;Leuthard Reto;*;10;55.5;12;45.75;3;-0.75;8.5

12e;Schär Jonas (1999);;;;;;;;;;55.0
o;;;Fritz Andreas;;;;;;;;8.5
+;5;8.5;Tschan Raphael (2000);;26;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Aeschlimann Fabian (1999);;21;35.5;6;18.5;0;0.0;9.75
o;5;28.25;Kocher Remo;**;10;55.5;10;27.0;5;-1.25;8.5
o;10;36.75;Winiger Fabian;**;10;55.5;9;37.0;-1;0.25;8.5
+;14;45.25;Burkhardt Roy;;17;53.75;14;45.25;0;0.0;9.75

12f;Jusufi Azret;;;;;;;;;;55.0
+;;;Bieli Andreas;;;;;;;;9.75
+;2;9.75;Lisser Beat;;22;35.25;2;9.75;0;0.0;9.75
o;3;19.5;Brand Christian;**;11;55.25;7;18.25;4;-1.25;8.5
o;6;28.0;Voggensperger Janic (1998);*;8;56.0;7;27.75;1;-0.25;8.5
+;11;36.5;Brun Samuel (1999);;14;54.5;12;36.25;1;-0.25;9.75
-;10;46.25;Kramer Franz;*;15;54.25;13;45.5;3;-0.75;8.75

12g;Schwander Kilian;;;;;;;;;;55.0
+;;;Burkhardt Roy;;;;;;;;9.75
+;2;9.75;Brügger Joël (2000);;20;53.0;1;10.0;-1;0.25;9.75
o;3;19.5;Erb Roger;**;8;56.0;7;18.25;4;-1.25;8.5
o;6;28.0;Brand Christian;**;11;55.25;6;28.0;0;0.0;8.5
o;11;36.5;Nussbaumer Gabriel;;14;54.5;14;35.75;3;-0.75;8.5
+;15;45.0;Schmutz Simon (2000);;20;53.0;17;44.5;2;-0.5;10.0

12h;Schmid Samuel;**;;;;;;;;;55.0
-;;;Probst Gabriel;**;;;;;;;8.75
-;4;8.75;Kocher Remo;**;10;55.5;5;8.5;1;-0.25;8.75
+;9;17.5;Burkart Simon;;19;53.25;5;18.75;-4;1.25;10.0
+;8;27.5;Jusufi Ilber;;15;54.25;9;27.25;1;-0.25;10.0
o;7;37.5;Hasler Manuel;*;9;55.75;7;37.5;0;0.0;8.75
-;10;46.25;Brand Christian;**;11;55.25;9;46.5;-1;0.25;8.75

12i;Moser Matthias;*;;;;;;;;;55.0
-;;;Hügli Kaj;*;;;;;;;8.75
o;4;8.75;Mangold Michael;;9;55.75;1;10.0;-3;1.25;8.5
-;10;17.25;Aerni Lars;;18;53.5;6;18.5;-4;1.25;9.0
+;12;26.25;Reinhard Reto (1999);;21;35.5;10;27.0;-2;0.75;10.0
-;12;36.25;Rüegger Aaron (1999);;14;54.5;9;37.0;-3;0.75;9.0
+;14;45.25;Widmer David;;16;54.0;13;45.5;-1;0.25;9.75

13a;Grossmann Andreas;;;;;;;;;;54.75
o;;;Wiederkehr Michael;;;;;;;;8.5
+;5;8.5;Reinhard Reto (1999);;21;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Döbeli Andreas (1998);*;8;56.0;4;19.0;-3;0.75;8.5
+;11;26.75;Lisser Beat;;22;35.25;11;26.75;0;0.0;9.75
o;11;36.5;Büchi Christian;;12;55.0;10;36.75;-1;0.25;8.5
+;15;45.0;Steger Robert (1998);;19;53.25;16;44.75;1;-0.25;9.75

13b;Bader Andreas;*;;;;;;;;;54.75
-;;;Klausner Yanick;**;;;;;;;8.75
o;4;8.75;Alpiger Nick;**;6;56.5;5;8.5;1;-0.25;8.5
+;10;17.25;Steger Robert (1998);;19;53.25;6;18.5;-4;1.25;10.0
-;9;27.25;Mangold Michael;;9;55.75;5;28.25;-4;1.0;9.0
+;12;36.25;Eggen Markus;;9;55.75;8;37.25;-4;1.0;10.0
o;10;46.25;Widmer Tobias;**;9;55.75;6;47.25;-4;1.0;8.5

13c;Kropf Marcel;**;;;;;;;;;54.75
-;;;Henzer Andreas;**;;;;;;;8.75
-;4;8.75;Arnold Kornel;*;16;54.0;2;9.75;-2;1.0;8.75
+;9;17.5;Widmer David;;16;54.0;5;18.75;-4;1.25;10.0
-;8;27.5;Wiederkehr Michael;;11;55.25;6;28.0;-2;0.5;8.75
+;12;36.25;Loosli Adrian;;17;53.75;10;36.75;-2;0.5;10.0
o;10;46.25;Alpiger Nick;**;6;56.5;8;46.75;-2;0.5;8.5

14a;Scherrer Johann;**;;;;;;;;;54.5
o;;;Vieira Tiago;**;;;;;;;8.5
-;5;8.5;Winiger Fabian;**;10;55.5;5;8.5;0;0.0;8.75
-;10;17.25;Jusufi Ilber;;15;54.25;6;18.5;-4;1.25;8.75
+;13;26.0;Nussbaumer Gabriel;;14;54.5;9;27.25;-4;1.25;10.0
o;13;36.0;Nyffeler Christoph;;8;56.0;8;37.25;-5;1.25;8.5
+;17;44.5;Burren Patrick (1999);;15;54.25;12;45.75;-5;1.25;10.0

14b;Rüegger Aaron (1999);;;;;;;;;;54.5
+;;;Tschan Raphael (2000);;;;;;;;10.0
+;1;10.0;Brun Samuel (1999);;14;54.5;2;9.75;1;-0.25;10.0
o;1;20.0;Thoenen Henryc;**;3;57.5;6;18.5;5;-1.5;8.5
o;4;28.5;Löw Christophe;**;9;55.75;9;27.25;5;-1.25;8.5
-;9;37.0;Moser Matthias;*;12;55.0;12;36.25;3;-0.75;9.0
o;11;46.0;Döbeli Andreas (1998);*;8;56.0;11;46.0;0;0.0;8.5

14c;Nussbaumer Gabriel;;;;;;;;;;54.5
o;;;Hermann Oliver;;;;;;;;8.5
-;5;8.5;Bieli Andreas;;16;54.0;5;8.5;0;0.0;8.75
+;10;17.25;Müller Jan (1998);;21;35.5;11;17.0;1;-0.25;10.0
o;9;27.25;Scherrer Johann;**;14;54.5;13;26.0;4;-1.25;8.5
+;14;35.75;Schwander Kilian;;12;55.0;11;36.5;-3;0.75;10.0
-;12;45.75;Stegmüller Klemens;*;19;53.25;17;44.5;5;-1.25;8.75

14d;Brun Samuel (1999);;;;;;;;;;54.5
+;;;Loosli Adrian;;;;;;;;9.75
o;2;9.75;Rüegger Aaron (1999);;14;54.5;1;10.0;-1;0.25;8.75
-;6;18.5;Schmutz Adrian;*;18;53.5;8;17.75;2;-0.75;9.0
o;8;27.5;Leuthard Reto;*;10;55.5;8;27.5;0;0.0;8.75
o;12;36.25;Jusufi Azret;;12;55.0;11;36.5;-1;0.25;8.5
+;16;44.75;Probst Stefan;;19;53.25;17;44.5;1;-0.25;9.75

15a;Burren Patrick (1999);;;;;;;;;;54.25
-;;;Bruder Adrian;;;;;;;;8.75
o;4;8.75;Fritz Christian;;17;53.75;5;8.5;1;-0.25;8.5
+;10;17.25;Wyss Cyrill;;26;34.0;11;17.0;1;-0.25;9.75
+;10;27.0;Aeschlimann Fabian (1999);;21;35.5;10;27.0;0;0.0;10.0
-;9;37.0;Stegmüller Klemens;*;19;53.25;14;35.75;5;-1.25;8.75
o;12;45.75;Scherrer Johann;**;14;54.5;17;44.5;5;-1.25;8.5

15b;Müller Simon;;;;;;;;;;54.25
-;;;Probst Stefan;;;;;;;;8.75
-;4;8.75;Burkart Simon;;19;53.25;4;8.75;0;0.0;8.75
o;9;17.5;Bader Fabian (2000);;21;35.5;11;17.0;2;-0.5;8.5
+;13;26.0;Imobersteg Tobias (1998);;25;34.25;14;25.75;1;-0.25;9.75
o;14;35.75;Probst Gabriel;**;10;55.5;13;36.0;-1;0.25;8.5
+;18;44.25;Schopferer Cyril (2000);;20;53.0;17;44.5;-1;0.25;10.0

15c;Kramer Franz;*;;;;;;;;;54.25
+;;;Kocher Remo;**;;;;;;;10.0
+;1;10.0;Huber Cédric;**;10;55.5;2;9.75;1;-0.25;10.0
o;1;20.0;Aeschbacher Matthias;**;4;57.0;3;19.5;2;-0.5;8.5
o;4;28.5;Stalder Remo;***;5;56.75;4;28.5;0;0.0;8.5
o;9;37.0;Gabathuler Björn (1998);;11;55.25;10;36.75;1;-0.25;8.5
-;13;45.5;Jusufi Azret;;12;55.0;10;46.25;-3;0.75;8.75

15d;Jusufi Ilber;;;;;;;;;;54.25
-;;;Gabathuler Björn (1998);;;;;;;;8.75
+;4;8.75;Bruder Adrian;;24;34.5;4;8.75;0;0.0;9.75
-;6;18.5;Scherrer Johann;**;14;54.5;10;17.25;4;-1.25;8.75
o;9;27.25;Schmid Samuel;**;12;55.0;8;27.5;-1;0.25;8.5
+;14;35.75;Probst Stefan;;19;53.25;13;36.0;-1;0.25;9.75
-;13;45.5;Gerber Andrj (2000);;16;54.0;14;45.25;1;-0.25;8.75

15e;Büttler Adrian (1999);;;;;;;;;;54.25
o;;;Dobler Florian;;;;;;;;8.5
+;5;8.5;Seiser Kay (2000);;25;34.25;5;8.5;0;0.0;9.75
-;7;18.25;Waldner Patrick;**;21;35.5;11;17.0;4;-1.25;8.75
-;10;27.0;Reinhard Adrian;;19;53.25;10;27.0;0;0.0;8.75
-;14;35.75;Wiederkehr Michael;;11;55.25;10;36.75;-4;1.0;8.75
+;17;44.5;Läuchli Janik (2000);;17;53.75;14;45.25;-3;0.75;9.75

15f;Stoll Thomas (1998);;;;;;;;;;54.25
o;;;Eggen Markus;;;;;;;;8.5
-;5;8.5;Kaspar Jan (1999);;21;35.5;5;8.5;0;0.0;8.75
-;10;17.25;Burtschi Michael;;25;34.25;11;17.0;1;-0.25;8.75
+;13;26.0;Wyss Cyrill;;26;34.0;15;25.5;2;-0.5;10.0
+;13;36.0;Krebs Clemens;;24;34.5;18;34.5;5;-1.5;9.75
o;12;45.75;Hügli Kaj;*;11;55.25;13;45.5;1;-0.25;8.5

16a;Arnold Kornel;*;;;;;;;;;54.0
+;;;Stegmüller Klemens;*;;;;;;;9.75
-;2;9.75;Kropf Marcel;**;13;54.75;4;8.75;2;-1.0;8.75
+;6;18.5;Seiler Thomas;;12;55.0;2;19.75;-4;1.25;9.75
o;5;28.25;Stoffel Marc;**;6;56.5;6;28.0;1;-0.25;8.5
o;10;36.75;Kocher Remo;**;10;55.5;9;37.0;-1;0.25;8.5
-;14;45.25;Siegrist Christian;;12;55.0;10;46.25;-4;1.0;8.75

16b;Fritz Andreas;;;;;;;;;;54.0
+;;;Schär Jonas (1999);;;;;;;;10.0
o;1;10.0;Lehmann Robin (1999);;11;55.25;2;9.75;1;-0.25;8.5
o;6;18.5;Leuthard Reto;*;10;55.5;9;17.5;3;-1.0;8.5
+;10;27.0;Müller Christian (1998);;21;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Hügli Kaj;*;11;55.25;14;35.75;5;-1.25;8.5
o;13;45.5;Wiederkehr Michael;;11;55.25;13;45.5;0;0.0;8.5

16c;Bieli Andreas;;;;;;;;;;54.0
o;;;Jusufi Azret;;;;;;;;8.5
-;5;8.5;Nussbaumer Gabriel;;14;54.5;5;8.5;0;0.0;8.75
o;10;17.25;Roth Christian;;17;53.75;7;18.25;-3;1.0;8.75
+;13;26.0;Burtschi Michael;;25;34.25;14;25.75;1;-0.25;9.75
o;14;35.75;Döbeli Andreas (1998);*;8;56.0;12;36.25;-2;0.5;8.5
+;18;44.25;Hitz Florian (1999);;20;53.0;17;44.5;-1;0.25;9.75

16d;Gerber Andrj (2000);;;;;;;;;;54.0
+;;;Aerni Lars;;;;;;;;10.0
o;1;10.0;Seiler Thomas;;12;55.0;1;10.0;0;0.0;8.5
o;6;18.5;Hauri Urs;**;10;55.5;7;18.25;1;-0.25;8.5
+;10;27.0;Kaspar Jan (1999);;21;35.5;10;27.0;0;0.0;9.75
o;10;36.75;Schaffner Samuel;**;9;55.75;9;37.0;-1;0.25;8.5
-;14;45.25;Jusufi Ilber;;15;54.25;13;45.5;-1;0.25;8.75

16e;Widmer David;;;;;;;;;;54.0
-;;;Widmer Cyrill (1998);;;;;;;;8.75
+;4;8.75;Schmutz Simon (2000);;20;53.0;2;9.75;-2;1.0;10.0
o;5;18.75;Kropf Marcel;**;13;54.75;9;17.5;4;-1.25;8.5
+;9;27.25;Bonato Raphael;;21;35.5;10;27.0;1;-0.25;9.75
o;9;37.0;Matthey Mickaël;**;10;55.5;10;36.75;1;-0.25;8.5
o;13;45.5;Moser Matthias;*;12;55.0;14;45.25;1;-0.25;8.5

17a;Loosli Adrian;;;;;;;;;;53.75
o;;;Brun Samuel (1999);;;;;;;;8.5
+;5;8.5;Mohler Fernando;;27;17.0;5;8.5;0;0.0;9.75
+;7;18.25;Tschan Raphael (2000);;26;34.0;11;17.0;4;-1.25;10.0
o;5;28.25;Roch Vincent;*;9;55.75;10;27.0;5;-1.25;8.5
o;10;36.75;Kropf Marcel;**;13;54.75;12;36.25;2;-0.5;8.5
o;14;45.25;Stoll Simon;;9;55.75;12;45.75;-2;0.5;8.5

17b;Läuchli Janik (2000);;;;;;;;;;53.75
+;;;Bonato Raphael;;;;;;;;9.75
-;2;9.75;Reinhard Adrian;;19;53.25;2;9.75;0;0.0;8.75
o;6;18.5;Löw Christophe;**;9;55.75;10;17.25;4;-1.25;8.5
+;10;27.0;Brügger Joël (2000);;20;53.0;10;27.0;0;0.0;9.75
o;10;36.75;Lehmann Robin (1999);;11;55.25;10;36.75;0;0.0;8.5
o;14;45.25;Büttler Adrian (1999);;15;54.25;17;44.5;3;-0.75;8.5

17c;Fritz Christian;;;;;;;;;;53.75
o;;;Bearda Samuel;;;;;;;;8.5
+;5;8.5;Burren Patrick (1999);;15;54.25;4;8.75;-1;0.25;9.75
+;7;18.25;Büchi Christian;;12;55.0;7;18.25;0;0.0;10.0
o;5;28.25;Schaffner Samuel;**;9;55.75;10;27.0;5;-1.25;8.5
o;10;36.75;Mangold Michael;;9;55.75;8;37.25;-2;0.5;8.5
o;14;45.25;Steinmann Yves;*;10;55.5;13;45.5;-1;0.25;8.5

17d;Roth Christian;;;;;;;;;;53.75
o;;;Stoll Simon;;;;;;;;8.5
+;5;8.5;Bader Fabian (2000);;21;35.5;5;8.5;0;0.0;9.75
+;7;18.25;Bieli Andreas;;16;54.0;10;17.25;3;-1.0;9.75
-;6;28.0;Stegmüller Klemens;*;19;53.25;10;27.0;4;-1.0;8.75
o;10;36.75;von Arx Christian;*;9;55.75;9;37.0;-1;0.25;8.5
o;14;45.25;Widmer Cyrill (1998);;12;55.0;14;45.25;0;0.0;8.5

17e;Burkhardt Roy;;;;;;;;;;53.75
o;;;Schwander Kilian;;;;;;;;8.5
o;5;8.5;Büchi Christian;;12;55.0;5;8.5;0;0.0;8.5
+;11;17.0;Körkel Yannik;;24;34.5;10;17.25;-1;0.25;10.0
+;10;27.0;Büttler Gian (2000);;21;35.5;10;27.0;0;0.0;9.75
o;10;36.75;Mahrer Jürg;**;9;55.75;9;37.0;-1;0.25;8.5
o;14;45.25;Schär Jonas (1999);;12;55.0;14;45.25;0;0.0;8.5

17f;Mangold Martin;;;;;;;;;;53.75
+;;;Brügger Cyrill (1998);;;;;;;;9.75
o;2;9.75;Stoll Simon;;9;55.75;1;10.0;-1;0.25;8.5
o;7;18.25;Stegmüller Klemens;*;19;53.25;11;17.0;4;-1.25;8.5
+;11;26.75;Dobler Florian;;22;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Huber Cédric;**;10;55.5;10;36.75;0;0.0;8.5
o;14;45.25;Eggen Markus;;9;55.75;12;45.75;-2;0.5;8.5

18a;Aerni Lars;;;;;;;;;;53.5
o;;;Gerber Andrj (2000);;;;;;;;8.75
+;4;8.75;Burtschi Michael;;25;34.25;5;8.5;1;-0.25;9.75
-;6;18.5;Moser Matthias;*;12;55.0;10;17.25;4;-1.25;9.0
o;8;27.5;Klausner Yanick;**;11;55.25;7;27.75;-1;0.25;8.5
-;13;36.0;Schmutz Simon (2000);;20;53.0;14;35.75;1;-0.25;8.75
-;16;44.75;Burkart Simon;;19;53.25;17;44.5;1;-0.25;8.75

18b;Schmutz Adrian;*;;;;;;;;;53.5
-;;;Leuthard Reto;*;;;;;;;9.0
-;3;9.0;Steinmann Yves;*;10;55.5;5;8.5;2;-0.5;8.75
-;8;17.75;Brun Samuel (1999);;14;54.5;6;18.5;-2;0.75;9.0
+;11;26.75;Siegrist Christian;;12;55.0;6;28.0;-5;1.25;9.75
o;11;36.5;Bearda Samuel;;11;55.25;10;36.75;-1;0.25;8.5
o;15;45.0;Duplan Steve;**;11;55.25;14;45.25;-1;0.25;8.5

19a;Burkart Simon;;;;;;;;;;53.25
-;;;Müller Simon;;;;;;;;8.75
+;4;8.75;Probst Stefan;;19;53.25;4;8.75;0;0.0;10.0
o;5;18.75;Schmid Samuel;**;12;55.0;9;17.5;4;-1.25;8.5
o;9;27.25;Mahrer Jürg;**;9;55.75;9;27.25;0;0.0;8.5
-;14;35.75;Hitz Florian (1999);;20;53.0;14;35.75;0;0.0;8.75
-;17;44.5;Aerni Lars;;18;53.5;16;44.75;-1;0.25;8.75

19b;Probst Stefan;;;;;;;;;;53.25
-;;;Müller Simon;;;;;;;;8.75
o;4;8.75;Burkart Simon;;19;53.25;4;8.75;0;0.0;8.5
+;10;17.25;Bruder Adrian;;24;34.5;10;17.25;0;0.0;10.0
-;9;27.25;Schär Simon;*;21;35.5;11;26.75;2;-0.5;8.75
o;13;36.0;Jusufi Ilber;;15;54.25;14;35.75;1;-0.25;8.5
o;17;44.5;Brun Samuel (1999);;14;54.5;16;44.75;-1;0.25;8.75

19c;Stegmüller Klemens;*;;;;;;;;;53.25
o;;;Arnold Kornel;*;;;;;;;8.5
o;5;8.5;Widmer Tobias;**;9;55.75;5;8.5;0;0.0;8.5
+;11;17.0;Mangold Martin;;17;53.75;7;18.25;-4;1.25;10.0
-;10;27.0;Roth Christian;;17;53.75;6;28.0;-4;1.0;8.75
-;14;35.75;Burren Patrick (1999);;15;54.25;9;37.0;-5;1.25;8.75
-;17;44.5;Nussbaumer Gabriel;;14;54.5;12;45.75;-5;1.25;8.75

19d;Steger Robert (1998);;;;;;;;;;53.25
o;;;Lisser Beat;;;;;;;;8.5
+;5;8.5;Regenass Reto (2000);;26;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Bader Andreas;*;13;54.75;10;17.25;4;-1.25;8.5
-;10;27.0;Schmutz Simon (2000);;20;53.0;11;26.75;1;-0.25;9.0
-;13;36.0;Schopferer Cyril (2000);;20;53.0;14;35.75;1;-0.25;8.75
o;16;44.75;Grossmann Andreas;;13;54.75;15;45.0;-1;0.25;8.5

19e;Reinhard Adrian;;;;;;;;;;53.25
+;;;Abt Robin;;;;;;;;9.75
-;2;9.75;Läuchli Janik (2000);;17;53.75;2;9.75;0;0.0;8.75
o;6;18.5;Voggensperger Janic (1998);*;8;56.0;8;17.75;2;-0.75;8.5
-;10;27.0;Büttler Adrian (1999);;15;54.25;10;27.0;0;0.0;8.75
o;14;35.75;Reimann Marco (1998);;11;55.25;10;36.75;-4;1.0;8.75
-;17;44.5;Brügger Joël (2000);;20;53.0;18;44.25;1;-0.25;8.75

20a;Schopferer Cyril (2000);;;;;;;;;;53.0
+;;;Reinhard Reto (1999);;;;;;;;10.0
-;1;10.0;Müller Christian (1998);;21;35.5;2;9.75;1;-0.25;8.75
o;5;18.75;Klausner Yanick;**;11;55.25;8;17.75;3;-1.0;8.5
o;9;27.25;Steinmann Yves;*;10;55.5;10;27.0;1;-0.25;8.5
-;14;35.75;Steger Robert (1998);;19;53.25;13;36.0;-1;0.25;8.75
o;17;44.5;Müller Simon;;15;54.25;18;44.25;1;-0.25;8.5

20b;Brügger Joël (2000);;;;;;;;;;53.0
+;;;Körkel Yannik;;;;;;;;10.0
o;1;10.0;Schwander Kilian;;12;55.0;2;9.75;1;-0.25;8.5
o;6;18.5;Wiederkehr Michael;;11;55.25;7;18.25;1;-0.25;8.5
o;10;27.0;Läuchli Janik (2000);;17;53.75;10;27.0;0;0.0;8.75
o;14;35.75;Siegrist Christian;;12;55.0;11;36.5;-3;0.75;8.5
-;18;44.25;Reinhard Adrian;;19;53.25;17;44.5;-1;0.25;8.75

20c;Schmutz Simon (2000);;;;;;;;;;53.0
+;;;Seiser Kay (2000);;;;;;;;9.75
o;2;9.75;Widmer David;;16;54.0;4;8.75;2;-1.0;8.5
o;7;18.25;Siegrist Christian;;12;55.0;7;18.25;0;0.0;8.5
-;11;26.75;Steger Robert (1998);;19;53.25;10;27.0;-1;0.25;9.0
-;14;35.75;Aerni Lars;;18;53.5;13;36.0;-1;0.25;8.75
o;17;44.5;Schwander Kilian;;12;55.0;15;45.0;-2;0.5;8.5

20d;Hitz Florian (1999);;;;;;;;;;53.0
+;;;Regenass Reto (2000);;;;;;;;10.0
o;1;10.0;Ris Jörn (1998);;10;55.5;1;10.0;0;0.0;8.5
o;6;18.5;Henzer Andreas;**;8;56.0;10;17.25;4;-1.25;8.5
-;10;27.0;Bader Fabian (2000);;21;35.5;11;26.75;1;-0.25;8.75
-;14;35.75;Burkart Simon;;19;53.25;14;35.75;0;0.0;8.75
o;17;44.5;Bieli Andreas;;16;54.0;18;44.25;1;-0.25;8.5

21a;Furrer Mathias;;;;;;;;;;35.5
-;;;Büttler Gian (2000);;;;;;;;8.75
o;4;8.75;Widmer Cyrill (1998);;12;55.0;4;8.75;0;0.0;8.5
+;10;17.25;Bonato Raphael;;21;35.5;6;18.5;-4;1.25;9.75
o;10;27.0;Waldner Patrick;**;21;35.5;14;25.75;4;-1.25;8.5

21b;Aeschlimann Fabian (1999);;;;;;;;;;35.5
o;;;Reimann Marco (1998);;;;;;;;8.5
+;5;8.5;Wyss Cyrill;;26;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Schär Jonas (1999);;12;55.0;6;18.5;0;0.0;8.5
o;10;27.0;Burren Patrick (1999);;15;54.25;10;27.0;0;0.0;8.5

21c;Waldner Patrick;**;;;;;;;;;35.5
o;;;Mahrer Jürg;**;;;;;;;8.5
o;5;8.5;Schaffner Samuel;**;9;55.75;5;8.5;0;0.0;8.5
-;11;17.0;Büttler Adrian (1999);;15;54.25;7;18.25;-4;1.25;8.75
+;14;25.75;Furrer Mathias;;21;35.5;10;27.0;-4;1.25;9.75

21d;Studer Remo;;;;;;;;;;35.5
+;;;François Cederic;;;;;;;;9.75
-;2;9.75;Eggen Markus;;9;55.75;1;10.0;-1;0.25;8.75
o;6;18.5;Steinmann Yves;*;10;55.5;10;17.25;4;-1.25;8.5
o;10;27.0;Döbeli Lukas (2000);;9;55.75;9;27.25;-1;0.25;8.5

21e;Bader Fabian (2000);;;;;;;;;;35.5
o;;;Mangold Michael;;;;;;;;8.5
o;5;8.5;Roth Christian;;17;53.75;5;8.5;0;0.0;8.5
+;11;17.0;Müller Simon;;15;54.25;9;17.5;-2;0.5;9.75
-;11;26.75;Hitz Florian (1999);;20;53.0;10;27.0;-1;0.25;8.75

21f;Reinhard Reto (1999);;;;;;;;;;35.5
o;;;Schopferer Cyril (2000);;;;;;;;8.5
o;5;8.5;Grossmann Andreas;;13;54.75;5;8.5;0;0.0;8.5
+;11;17.0;Regenass Reto (2000);;26;34.0;11;17.0;0;0.0;10.0
o;10;27.0;Moser Matthias;*;12;55.0;12;26.25;2;-0.75;8.5

21g;Abt Robin;;;;;;;;;;35.5
o;;;Reinhard Adrian;;;;;;;;8.5
-;5;8.5;Körkel Yannik;;24;34.5;5;8.5;0;0.0;8.75
o;10;17.25;Büttler Gian (2000);;21;35.5;10;17.25;0;0.0;8.5
+;14;25.75;Tschan Raphael (2000);;26;34.0;15;25.5;1;-0.25;9.75

21h;Müller Christian (1998);;;;;;;;;;35.5
+;;;Mohler Fernando;;;;;;;;9.75
-;2;9.75;Schopferer Cyril (2000);;20;53.0;1;10.0;-1;0.25;8.75
o;6;18.5;Widmer Cyrill (1998);;12;55.0;6;18.5;0;0.0;8.5
o;10;27.0;Fritz Andreas;;16;54.0;10;27.0;0;0.0;8.5

21i;Kaspar Jan (1999);;;;;;;;;;35.5
o;;;Ris Jörn (1998);;;;;;;;8.5
-;5;8.5;Stoll Thomas (1998);;15;54.25;5;8.5;0;0.0;8.75
+;10;17.25;Seiser Kay (2000);;25;34.25;11;17.0;1;-0.25;9.75
o;10;27.0;Gerber Andrj (2000);;16;54.0;10;27.0;0;0.0;8.5

21j;Müller Jan (1998);;;;;;;;;;35.5
o;;;Schaub Reto (2000);;;;;;;;8.5
o;5;8.5;Bonato Raphael;;21;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Nussbaumer Gabriel;;14;54.5;10;17.25;-1;0.25;8.5
+;15;25.5;Regenass Reto (2000);;26;34.0;15;25.5;0;0.0;10.0

21k;Büttler Gian (2000);;;;;;;;;;35.5
-;;;Furrer Mathias;;;;;;;;8.75
o;4;8.75;Brügger Cyrill (1998);;21;35.5;4;8.75;0;0.0;8.5
+;10;17.25;Abt Robin;;21;35.5;10;17.25;0;0.0;9.75
o;10;27.0;Burkhardt Roy;;17;53.75;10;27.0;0;0.0;8.5

21l;Bonato Raphael;;;;;;;;;;35.5
o;;;Läuchli Janik (2000);;;;;;;;8.5
+;5;8.5;Müller Jan (1998);;21;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Furrer Mathias;;21;35.5;10;17.25;4;-1.25;8.5
o;10;27.0;Widmer David;;16;54.0;9;27.25;-1;0.25;8.5

21m;Brügger Cyrill (1998);;;;;;;;;;35.5
o;;;Mangold Martin;;;;;;;;8.75
+;4;8.75;Büttler Gian (2000);;21;35.5;4;8.75;0;0.0;9.75
o;6;18.5;Winiger Fabian;**;10;55.5;10;17.25;4;-1.25;8.5
o;10;27.0;Eggen Markus;;9;55.75;9;27.25;-1;0.25;8.5

21n;Schär Simon;*;;;;;;;;;35.5
o;;;von Arx Christian;*;;;;;;;8.5
+;5;8.5;Löw Christophe;**;9;55.75;5;8.5;0;0.0;9.75
o;7;18.25;Stalder Remo;***;5;56.75;6;18.5;-1;0.25;8.5
-;11;26.75;Probst Stefan;;19;53.25;9;27.25;-2;0.5;8.75

22a;Lisser Beat;;;;;;;;;;35.25
+;;;Steger Robert (1998);;;;;;;;9.75
o;2;9.75;Jusufi Azret;;12;55.0;2;9.75;0;0.0;8.5
o;7;18.25;Duplan Steve;**;11;55.25;11;17.0;4;-1.25;8.5
o;11;26.75;Grossmann Andreas;;13;54.75;11;26.75;0;0.0;8.5

22b;Schaub Reto (2000);;;;;;;;;;35.25
+;;;Müller Jan (1998);;;;;;;;9.75
o;2;9.75;Reimann Marco (1998);;11;55.25;2;9.75;0;0.0;8.5
o;7;18.25;Hügli Kaj;*;11;55.25;10;17.25;3;-1.0;8.5
o;11;26.75;Büchi Christian;;12;55.0;11;26.75;0;0.0;8.5

22c;Dobler Florian;;;;;;;;;;35.25
+;;;Büttler Adrian (1999);;;;;;;;9.75
o;2;9.75;Hermann Oliver;;11;55.25;2;9.75;0;0.0;8.5
o;7;18.25;Roch Vincent;*;9;55.75;11;17.0;4;-1.25;8.5
o;11;26.75;Mangold Martin;;17;53.75;11;26.75;0;0.0;8.5

23a;Widmer Simon;;;;;;;;;;35.0
-;;;Krebs Clemens;;;;;;;;8.75
o;4;8.75;Gabathuler Björn (1998);;11;55.25;4;8.75;0;0.0;8.5
-;10;17.25;Imobersteg Tobias (1998);;25;34.25;11;17.0;1;-0.25;9.0
-;12;26.25;Bruder Adrian;;24;34.5;14;25.75;2;-0.5;8.75

24a;Körkel Yannik;;;;;;;;;;34.5
o;;;Brügger Joël (2000);;;;;;;;8.5
-;5;8.5;Abt Robin;;21;35.5;5;8.5;0;0.0;8.75
