5672-2022-05-01_Thurgauer_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;59.0
o;11;55.75;Wetter Silvan;*;7;56.75;7;56.75;-4;1.0;0.0

12a;Keller Manuel;*;;;;;;;;;55.5
-;;;Ulmann Fabian;*;;;;;;;8.75
+;4;8.75;Bachmann Janos (2004);;12;55.5;1;10.0;-3;1.25;9.75
o;6;18.5;Schlegel Werner;**;5;57.25;5;18.75;-1;0.25;8.5
+;9;27.0;Keller Tami (2006);;24;52.5;9;27.0;0;0.0;10.0
+;9;37.0;Jäger Mathias (2006);;13;55.25;10;36.75;1;-0.25;10.0
o;8;47.0;Wey Nicola;*;7;56.75;9;46.75;1;-0.25;8.5

12b;Bachmann Janos (2004);;;;;;;;;;55.5
+;;;Kern Sven;;;;;;;;10.0
o;1;10.0;Keller Manuel;*;12;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;Schild Cornel (2004);;17;54.25;5;18.75;-1;0.25;8.5
+;9;27.0;Müller Christian;;28;35.25;10;26.75;1;-0.25;10.0
o;9;37.0;Mettler Valentin;*;11;55.75;9;37.0;0;0.0;8.5
+;13;45.5;Schefer Sandro (2006);;18;54.0;13;45.5;0;0.0;10.0

12c;Hinrichs Silvio (2004);;;;;;;;;;55.5
+;;;Walser Simon (2004);;;;;;;;10.0
o;1;10.0;Krähenbühl Lukas;*;32;18.5;4;8.75;3;-1.25;8.5
+;6;18.5;Feldmann Patrik (2005);;13;55.25;6;18.5;0;0.0;10.0
o;4;28.5;Oettli Silvio;**;7;56.75;4;28.5;0;0.0;8.5
o;9;37.0;Schnurrenberger Roman;**;11;55.75;9;37.0;0;0.0;8.5
