4226-2019-05-26_105_StGaller_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;59.5
-;7;47.0;Roth Michael;;9;56.0;7;47.0;0;0.0;9.0

9b;Roth Michael;;;;;;;;;;56.0
+;;;Abderhalden Lukas (2003);;;;;;;;9.75
o;2;9.75;Fuster Sepp;*;8;56.25;4;8.75;2;-1.0;8.5
-;7;18.25;Scherrer Pascal;;25;35.0;10;17.25;3;-1.0;9.0
+;9;27.25;Martin Tobias (2001);;22;35.75;9;27.25;0;0.0;9.75
+;9;37.0;Wild Thomas;;13;55.0;11;36.5;2;-0.5;10.0
-;7;47.0;Baumann Rico;*;9;56.0;7;47.0;0;0.0;9.0

9c;Schmid Patrick;*;;;;;;;;;56.0
o;;;Baumann Rico;*;;;;;;;8.5
+;5;8.5;Büsser Remo;;11;55.5;1;10.0;-4;1.5;10.0
+;6;18.5;Lenherr Cédric (2003);;21;53.0;6;18.5;0;0.0;10.0
+;4;28.5;Schlegel Reto;*;6;56.75;5;28.25;1;-0.25;10.0
o;3;38.5;Good Marco;*;7;56.5;6;37.75;3;-0.75;8.75
o;6;47.25;Rhyner Michael;**;3;57.5;5;47.5;-1;0.25;8.75

9d;Martin Dominik;;;;;;;;;;56.0
+;;;Bucher Roland;;;;;;;;10.0
+;1;10.0;Burkhard Tobias;;17;54.0;4;8.75;3;-1.25;10.0
o;1;20.0;Schudel Simon;*;10;55.75;6;18.5;5;-1.5;8.5
o;4;28.5;Biäsch Christian;*;11;55.5;4;28.5;0;0.0;8.75
+;8;37.25;Burch Dean (2001);;14;54.75;8;37.25;0;0.0;10.0
-;6;47.25;Vollmeier Sandro;;11;55.5;8;46.75;2;-0.5;8.75

9e;Niederer Andreas (2002);;;;;;;;;;56.0
+;;;Tobler Marco;;;;;;;;9.75
o;2;9.75;Koch Reto;*;6;56.75;4;8.75;2;-1.0;8.5
-;7;18.25;Roth Sämi;;19;53.5;6;18.5;-1;0.25;9.0
-;9;27.25;Hobi Ignaz;;9;56.0;9;27.25;0;0.0;8.75
+;13;36.0;Frauenfelder Florian (2001);;19;53.5;13;36.0;0;0.0;10.0
+;11;46.0;Castelli Fabio;;14;54.75;11;46.0;0;0.0;10.0

9f;Rüegg Roman;*;;;;;;;;;56.0
o;;;Biäsch Christian;*;;;;;;;8.5
+;5;8.5;Höpli Remo;;23;35.5;1;10.0;-4;1.5;10.0
+;6;18.5;Knellwolf Sebastian (2001);;11;55.5;6;18.5;0;0.0;10.0
-;4;28.5;Schudel Simon;*;10;55.75;4;28.5;0;0.0;9.0
o;7;37.5;Wey Nicola;*;7;56.5;4;38.25;-3;0.75;8.5
+;11;46.0;Bleiker Roman;;13;55.0;9;46.5;-2;0.5;10.0

9g;Scheiwiller Andreas;*;;;;;;;;;56.0
o;;;Schudel Simon;*;;;;;;;8.5
-;5;8.5;Giger Florian (2001);;12;55.25;2;9.75;-3;1.25;8.75
+;10;17.25;Steinbacher Silvan (2003);;24;35.25;7;18.25;-3;1.0;10.0
+;9;27.25;Fejzaj Naim;**;22;35.75;9;27.25;0;0.0;10.0
-;8;37.25;Lieberherr Michael;;10;55.75;9;37.0;1;-0.25;9.0
+;10;46.25;Schiess Christian;;13;55.0;9;46.5;-1;0.25;9.75

9h;Riget Ivan;*;;;;;;;;;56.0
-;;;Alder Armin;*;;;;;;;8.75
o;4;8.75;Flück Bruno;;12;55.25;2;9.75;-2;1.0;8.5
-;10;17.25;Müller Loris;;21;53.0;5;18.75;-5;1.5;8.75
+;13;26.0;Egli Patrick;;23;35.5;10;27.0;-3;1.0;10.0
+;13;36.0;Bleiker Daniel;;17;54.0;9;37.0;-4;1.0;10.0
+;11;46.0;Forrer Marco (2003);;15;54.5;11;46.0;0;0.0;10.0

9i;Schnurrenberger Roman;**;;;;;;;;;56.0
-;;;Geisser Lars;**;;;;;;;8.75
+;4;8.75;Roth Sämi;;19;53.5;1;10.0;-3;1.25;10.0
+;5;18.75;Fejzaj Naim;**;22;35.75;5;18.75;0;0.0;10.0
-;3;28.75;Riget Tobias;**;3;57.5;3;28.75;0;0.0;8.75
o;7;37.5;Schläpfer Markus;**;8;56.25;6;37.75;-1;0.25;8.5
+;11;46.0;Raschle Urban (2003);;13;55.0;9;46.5;-2;0.5;10.0

9j;Hobi Ignaz;;;;;;;;;;56.0
-;;;Fuster Sepp;*;;;;;;;8.75
-;4;8.75;Mettler Valentin;*;16;54.25;3;9.0;-1;0.25;8.75
+;9;17.5;Nüesch Remo (2001);;23;35.5;7;18.25;-2;0.75;9.75
-;9;27.25;Niederer Andreas (2002);;9;56.0;9;27.25;0;0.0;8.75
+;13;36.0;Egli Ramon (2001);;14;54.75;11;36.5;-2;0.5;10.0
+;11;46.0;Schmid Michael;;16;54.25;12;45.75;1;-0.25;10.0

9k;Wittenwiler Roman;*;;;;;;;;;56.0
o;;;Bernold Michael;*;;;;;;;8.75
+;4;8.75;Martin Tobias (2001);;22;35.75;1;10.0;-3;1.25;9.75
+;6;18.5;Steiner Lukas (2002);;19;53.5;3;19.5;-3;1.0;10.0
-;4;28.5;Räbsamen Marcel;*;5;57.0;4;28.5;0;0.0;9.0
+;7;37.5;Breitenmoser Simon;;12;55.25;4;38.25;-3;0.75;10.0
o;5;47.5;Schlegel Reto;*;6;56.75;7;47.0;2;-0.5;8.5

10a;Schudel Simon;*;;;;;;;;;55.75
+;;;Scheiwiller Andreas;*;;;;;;;10.0
o;1;10.0;Good Marco;*;7;56.5;1;10.0;0;0.0;8.5
+;6;18.5;Martin Dominik;;9;56.0;1;20.0;-5;1.5;10.0
-;4;28.5;Rüegg Roman;*;9;56.0;4;28.5;0;0.0;9.0
+;7;37.5;Lozza Roman;;14;54.75;7;37.5;0;0.0;9.75
o;6;47.25;Riget Tobias;**;3;57.5;5;47.5;-1;0.25;8.5

10b;Bosshard Dario;;;;;;;;;;55.75
o;;;Schegg Daniel;;;;;;;;8.5
+;5;8.5;Kaufmann Rico (2003);;24;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Gmür Pirmin;**;6;56.75;10;17.25;4;-1.25;8.5
+;10;27.0;Höpli Remo;;23;35.5;10;27.0;0;0.0;10.0
-;9;37.0;Roth Peter;;16;54.25;9;37.0;0;0.0;8.75
+;12;45.75;Bernold Edi;**;21;53.0;17;44.5;5;-1.25;10.0

10c;Ueltschi Patric;*;;;;;;;;;55.75
o;;;Poltera Andrin;*;;;;;;;8.5
+;5;8.5;Schegg Daniel;;18;53.75;1;10.0;-4;1.5;10.0
-;6;18.5;Badat Thomas;;8;56.25;4;19.0;-2;0.5;9.0
+;8;27.5;Bucher Roland;;23;35.5;11;26.75;3;-0.75;10.0
+;7;37.5;Lanter Christian;*;12;55.25;9;37.0;2;-0.5;9.75
o;6;47.25;Arztmann Beda;*;6;56.75;7;47.0;1;-0.25;8.5

10d;Gwerder Andreas;**;;;;;;;;;55.75
o;;;Bernold Christian;**;;;;;;;8.5
+;5;8.5;Baumgartner Ramon (2002);;12;55.25;1;10.0;-4;1.5;10.0
+;6;18.5;Wild Thomas;;13;55.0;7;18.25;1;-0.25;10.0
-;4;28.5;Kamer Hanspeter;*;3;57.5;4;28.5;0;0.0;9.0
o;7;37.5;Riget Tobias;**;3;57.5;7;37.5;0;0.0;8.5
+;11;46.0;Ziegler Andreas (2002);;13;55.0;9;46.5;-2;0.5;9.75

10e;Elmer Daniel;*;;;;;;;;;55.75
o;;;Lehmann Philipp;*;;;;;;;8.75
+;4;8.75;Bürgler Patrick;;12;55.25;2;9.75;-2;1.0;10.0
-;5;18.75;Neff Florian;;14;54.75;5;18.75;0;0.0;9.0
+;7;27.75;Blaser Christian;*;13;55.0;6;28.0;-1;0.25;9.75
+;7;37.5;Mettler Valentin;*;16;54.25;10;36.75;3;-0.75;9.75
o;6;47.25;Roth Martin;**;5;57.0;6;47.25;0;0.0;8.5

