4226-2019-05-26_105_StGaller_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;59.5
o;11;17.0;Rust Emanuel;;23;35.5;11;17.0;0;0.0;8.5
o;15;25.5;Lauchenauer Paul (2002);;24;35.25;15;25.5;0;0.0;8.5

29e;Lusti Elias (2003);;;;;;;;;;34.0
o;;;Burch Dean (2001);;;;;;;;8.5
o;5;8.5;Mösli Marcel;;18;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Fallegger Marc (2003);;21;53.0;11;17.0;0;0.0;8.5
o;15;25.5;Bossert Alain (2001);;24;35.25;15;25.5;0;0.0;8.5

29f;Grob Rachen (2002);;;;;;;;;;34.0
o;;;Ziegler Michael;;;;;;;;8.5
o;5;8.5;Graf Nicola (2003);;11;55.5;5;8.5;0;0.0;8.5
o;11;17.0;Keller Cedric (2002);;24;35.25;11;17.0;0;0.0;8.5
o;15;25.5;Ruppanner Philipp;;22;35.75;14;25.75;-1;0.25;8.5

29g;Tschumper Lewin (2002);;;;;;;;;;34.0
o;;;Hangartner Maurice (2003);;;;;;;;8.5
o;5;8.5;Müller Loris;;21;53.0;4;8.75;-1;0.25;8.5
o;11;17.0;Ritter Fabio (2001);;17;54.0;11;17.0;0;0.0;8.5
o;15;25.5;Baumgartner Joël;;20;53.25;13;26.0;-2;0.5;8.5

30a;Schoch René;;;;;;;;;;27.0
o;;;Lieberherr Michael;;;;;;;;8.5
+;5;8.5;Dudli Gallus;;24;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Roth Peter;;16;54.25;6;18.5;0;0.0;8.5

31a;Oertig Simon;*;;;;;;;;;17.25
o;;;Kuster Thomas;*;;;;;;;8.75
o;4;8.75;Wehrli Jan (2002);;18;53.75;1;10.0;-3;1.25;8.5

32a;Kunz Daniel;*;;;;;;;;;17.0
o;;;Bollhalder Manuel (2001);;;;;;;;8.5
o;5;8.5;Vollmeier Sandro;;11;55.5;1;10.0;-4;1.5;8.5

33a;Kobler Janosch;;;;;;;;;;8.5
o;;;Jörger Corsin;;;;;;;;8.5

