3005-2021-08-08_Bernisch-Kantonales_Schwingfest-ST

5g;Kämpf Bernhard;***;;;;;;;;;56.75
+;;;Borcard Johann;**;;;;;;;9.75
+;2;9.75;Roth Philipp;***;15;54.25;1;10.0;-1;0.25;10.0
-;2;19.75;Gnägi Florian;***;4;57.0;2;19.75;0;0.0;8.75
+;5;28.5;Tschumi Lukas;*;13;54.75;5;28.5;0;0.0;9.75
-;4;38.25;Staudenmann Fabian;***;3;57.25;3;38.5;-1;0.25;8.75
+;6;47.0;Thomet Adrian;**;8;56.0;4;47.5;-2;0.5;9.75

6a;Käser Remo;***;;;;;;;;;56.5
o;;;Ott Damian;**;;;;;;;8.5
+;5;8.5;Steudler Kevin;*;9;55.75;1;10.0;-4;1.5;10.0
+;6;18.5;Roschi Ruedi;**;8;56.0;4;19.0;-2;0.5;10.0
o;5;28.5;Aeschbacher Matthias;***;5;56.75;5;28.5;0;0.0;8.5
+;9;37.0;Sommer Roman;*;9;55.75;8;37.25;-1;0.25;9.75
+;7;46.75;Aebersold Adrian (2003);;12;55.0;9;46.25;2;-0.5;9.75

6b;Ott Damian;**;;;;;;;;;56.5
+;;;Käser Remo;***;;;;;;;10.0
+;1;10.0;Steffen Konrad;*;11;55.25;2;9.75;1;-0.25;10.0
o;1;20.0;Stucki Christian;***;3;57.25;1;20.0;0;0.0;8.5
+;5;28.5;Wittwer Jan;**;5;56.75;5;28.5;0;0.0;9.75
o;4;38.25;von Weissenfluh Kilian;***;3;57.25;4;38.25;0;0.0;8.5
+;7;46.75;Staub Severin;;9;55.75;5;47.25;-2;0.5;9.75

6c;Burger Matthieu;*;;;;;;;;;56.5
+;;;Schlüchter Colin;*;;;;;;;9.75
+;2;9.75;Anderegg Simon;***;7;56.25;2;9.75;0;0.0;9.75
o;3;19.5;Schwander Severin;**;4;57.0;5;18.75;2;-0.75;8.75
+;6;28.25;Berger Christian;;11;55.25;6;28.25;0;0.0;9.75
+;5;38.0;von Büren Stephan;**;13;54.75;6;37.75;1;-0.25;10.0
o;3;48.0;Wicki Joel;***;5;56.75;7;46.75;4;-1.25;8.5

7a;Hügli Kaj;**;;;;;;;;;56.25
o;;;Anderegg Simon;***;;;;;;;8.5
+;5;8.5;Mettler Fabio;;23;35.5;1;10.0;-4;1.5;9.75
+;7;18.25;Schenk Adrian;*;21;52.75;7;18.25;0;0.0;9.75
o;7;28.0;von Weissenfluh Kilian;***;3;57.25;5;28.5;-2;0.5;8.5
+;11;36.5;Waber Lorenz;*;17;53.75;10;36.75;-1;0.25;10.0
+;8;46.5;Tschumi Lukas;*;13;54.75;9;46.25;1;-0.25;9.75

7b;Sempach Thomas;***;;;;;;;;;56.25
-;;;Schwander Severin;**;;;;;;;8.75
