5107-2022-07-23_71_Weissenstein-Schwinget2-ST

1a;Aeschbacher Matthias;***;;;;;;;;;59.25
o;3;19.5;Roschi Ruedi;**;8;56.0;3;19.5;0;0.0;8.5
+;8;28.0;Gäumann Stefan;**;7;56.25;8;28.0;0;0.0;10.0
o;6;38.0;Zwyssig Raphael;***;12;55.0;11;36.75;5;-1.25;8.5
o;10;46.5;Wittwer Jan;**;3;57.25;7;47.25;-3;0.75;8.5

13a;Schmid Dominik;**;;;;;;;;;54.75
-;;;Steffen Gustav;**;;;;;;;8.75
-;4;8.75;Kocher Remo;**;25;35.0;4;8.75;0;0.0;8.75
-;8;17.5;Gäggeler Adrian;*;25;35.0;8;17.5;0;0.0;8.75
+;14;26.25;Odermatt Jonas (2004);*;27;34.5;15;26.0;1;-0.25;10.0
+;13;36.25;Stüdeli Thomas;**;16;54.0;11;36.75;-2;0.5;10.0
o;11;46.25;von Weissenfluh Kilian;***;3;57.25;6;47.5;-5;1.25;8.5

13b;Roth Jan (2004);*;;;;;;;;;54.75
o;;;Koch Reto;**;;;;;;;8.5
+;5;8.5;Jörger Corsin;*;22;52.5;5;8.5;0;0.0;9.75
+;7;18.25;Notz Beni;***;22;52.5;10;17.0;3;-1.25;9.75
+;8;28.0;Zangger Dominik;*;10;55.5;6;28.5;-2;0.5;9.75
o;7;37.75;Orlik Curdin;***;4;57.0;6;38.0;-1;0.25;8.5
o;11;46.25;Schwander Severin;**;3;57.25;7;47.25;-4;1.0;8.5

14a;Lüthi David;*;;;;;;;;;54.5
-;;;Döbeli Lukas;**;;;;;;;8.75
o;4;8.75;Erb Roger;**;9;55.75;4;8.75;0;0.0;8.5
+;9;17.25;Burkhalter Thomas;*;11;55.25;10;17.0;1;-0.25;10.0
o;10;27.25;Leuthard Reto;**;15;54.25;10;27.25;0;0.0;8.5
-;15;35.75;Odermatt Gian Maria (2004);**;19;53.25;15;35.75;0;0.0;8.75
+;18;44.5;Jörger Marc;*;22;52.5;20;44.0;2;-0.5;10.0

14b;Schlüchter Colin;**;;;;;;;;;54.5
o;;;Hügli Kaj;**;;;;;;;8.5
-;5;8.5;Kocher Remo;**;25;35.0;4;8.75;-1;0.25;8.75
-;9;17.25;Brand Christian;**;26;34.75;9;17.25;0;0.0;8.75
+;15;26.0;Kohler Adrian;*;28;34.25;16;25.75;1;-0.25;10.0
+;14;36.0;Jörger Marc;*;22;52.5;16;35.5;2;-0.5;10.0
o;12;46.0;Vieira Tiago;**;11;55.25;14;45.5;2;-0.5;8.5

14c;Räbmatter Patrick;***;;;;;;;;;54.5
-;;;Wittwer Josias;**;;;;;;;8.75
o;4;8.75;Koch Reto;**;9;55.75;1;10.0;-3;1.25;8.5
o;9;17.25;Wittwer Jan;**;3;57.25;6;18.5;-3;1.25;8.5
+;16;25.75;Tschumi Lukas;*;20;53.0;10;27.25;-6;1.5;10.0
-;15;35.75;Voggensperger Janic;**;15;54.25;15;35.75;0;0.0;8.75
+;18;44.5;Fejzaj Naim;**;17;53.75;15;45.25;-3;0.75;10.0

15a;Brun Samuel;**;;;;;;;;;54.25
+;;;Studer Stefan;**;;;;;;;10.0
o;1;10.0;Orlik Curdin;***;4;57.0;2;9.75;1;-0.25;8.5
o;6;18.5;Gobeli Patrick;**;4;57.0;6;18.5;0;0.0;8.5
+;11;27.0;Jörger Marc;*;22;52.5;11;27.0;0;0.0;10.0
o;10;37.0;Roth Martin;***;5;56.75;11;36.75;1;-0.25;8.5
o;14;45.5;Kuster Thomas;**;8;56.0;12;46.0;-2;0.5;8.75

15b;Wittwer Josias;**;;;;;;;;;54.25
-;;;Räbmatter Patrick;***;;;;;;;8.75
+;4;8.75;Bühler Hannes;*;18;53.5;2;9.75;-2;1.0;10.0
o;5;18.75;Erb Roger;**;9;55.75;5;18.75;0;0.0;8.5
o;10;27.25;Döbeli Lukas;**;4;57.0;10;27.25;0;0.0;8.5
+;15;35.75;Nägeli Marco;**;27;34.5;20;34.5;5;-1.25;10.0
o;13;45.75;Koch Thomas;**;16;54.0;14;45.5;1;-0.25;8.5

15c;Burkhalter Stefan;***;;;;;;;;;54.25
-;;;Schwander Severin;**;;;;;;;8.75
+;4;8.75;Hügli Kaj;**;11;55.25;1;10.0;-3;1.25;10.0
o;5;18.75;Wenger Kilian;***;4;57.0;5;18.75;0;0.0;8.5
+;10;27.25;Berger Lorenz;**;9;55.75;6;28.5;-4;1.25;10.0
o;9;37.25;Döbeli Lukas;**;4;57.0;9;37.25;0;0.0;8.5
o;13;45.75;Zaugg Lars;**;5;56.75;8;47.0;-5;1.25;8.5

15d;Leuthard Reto;**;;;;;;;;;54.25
+;;;Kuster Thomas;**;;;;;;;10.0
o;1;10.0;Aeschbacher Matthias;***;1;59.25;1;10.0;0;0.0;8.5
-;6;18.5;Moser Michael (2005);**;10;55.5;6;18.5;0;0.0;8.75
