3133-2015-07-26_Bruenigschwinget-ST

1a;Kämpf Bernhard;***;;;;;;;;;57.75
-;10;36.25;Schärli Peter;**;17;53.5;11;36.0;1;-0.25;8.75
+;13;45.0;Gwerder Carlo;**;17;53.5;13;45.0;0;0.0;10.0

11b;Schelbert Ralf;**;;;;;;;;;55.0
+;;;Klausner Yanick;**;;;;;;;9.75
o;2;9.75;Wenger Kilian;***;5;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Blaser Roman;*;21;35.5;6;18.5;-1;0.25;9.75
o;5;28.0;von Büren Stephan;*;9;55.5;4;28.25;-1;0.25;8.5
+;9;36.5;Steffen Konrad;*;17;53.5;9;36.5;0;0.0;10.0
o;7;46.5;Luginbühl Hanspeter;**;8;55.75;9;46.0;2;-0.5;8.5

11c;Gehrig Damian;**;;;;;;;;;55.0
+;;;Suter David;**;;;;;;;10.0
-;1;10.0;Stalder Remo;***;6;56.25;2;9.75;1;-0.25;9.0
o;4;19.0;Studinger Stephan;**;10;55.25;5;18.75;1;-0.25;8.5
-;7;27.5;Gwerder Carlo;**;17;53.5;7;27.5;0;0.0;8.75
-;10;36.25;Zimmermann Simon;*;12;54.75;11;36.0;1;-0.25;9.0
+;12;45.25;Baumann Roger;*;15;54.0;16;44.25;4;-1.0;9.75

11d;Betschart Rainer;**;;;;;;;;;55.0
-;;;Wickli Beat;**;;;;;;;8.75
+;4;8.75;Zürcher Remo;*;24;34.75;4;8.75;0;0.0;10.0
+;5;18.75;Zenger Niklaus;***;13;54.5;5;18.75;0;0.0;10.0
o;2;28.75;Kämpf Bernhard;***;1;57.75;6;27.75;4;-1.0;8.5
-;6;37.25;Roth Dominik;*;8;55.75;8;36.75;2;-0.5;9.0
o;8;46.25;Siegenthaler Matthias;***;2;57.25;4;47.25;-4;1.0;8.75

11e;Leuthard Reto;*;;;;;;;;;55.0
+;;;von Känel Daniel;*;;;;;;;9.75
o;2;9.75;Anderegg Simon;***;7;56.0;4;8.75;2;-1.0;8.5
+;7;18.25;Gehrig Philipp;*;21;35.5;7;18.25;0;0.0;9.75
+;5;28.0;Steffen Konrad;*;17;53.5;5;28.0;0;0.0;10.0
o;3;38.0;Kämpf Bernhard;***;1;57.75;4;37.75;1;-0.25;8.5
o;7;46.5;Gasser Stefan;**;5;56.5;6;46.75;-1;0.25;8.5

12a;Zurfluh Markus;**;;;;;;;;;54.75
-;;;Schmid David;**;;;;;;;8.75
+;4;8.75;Wickli Beat;**;14;54.25;4;8.75;0;0.0;10.0
o;5;18.75;Wenger Kilian;***;5;56.5;6;18.5;1;-0.25;8.5
+;8;27.25;von Känel Daniel;*;21;35.5;9;27.0;1;-0.25;10.0
o;6;37.25;Lengacher Jonas;**;7;56.0;6;37.25;0;0.0;8.5
-;10;45.75;Schütz Urs;**;12;54.75;10;45.75;0;0.0;9.0

12b;Odermatt Andreas;*;;;;;;;;;54.75
+;;;Ramseier Fritz;*;;;;;;;9.75
o;2;9.75;Sempach Thomas;***;3;57.0;2;9.75;0;0.0;8.5
o;7;18.25;Schütz Urs;**;12;54.75;10;17.5;3;-0.75;8.5
+;10;26.75;Zürcher Kurt;*;22;35.25;10;26.75;0;0.0;9.75
+;9;36.5;Schenkel Remo;*;17;53.5;9;36.5;0;0.0;9.75
o;8;46.25;Aeschbacher Matthias;**;5;56.5;6;46.75;-2;0.5;8.5

12c;Meuter Adrian;**;;;;;;;;;54.75
-;;;Räbmatter Patrick;**;;;;;;;8.75
o;4;8.75;Steinauer Adrian;**;12;54.75;5;8.5;1;-0.25;8.5
-;11;17.25;Elsener Adrian;**;24;34.75;11;17.25;0;0.0;8.75
+;13;26.0;Gander Adrian;*;25;34.5;13;26.0;0;0.0;10.0
+;11;36.0;Müller Michael;**;14;54.25;12;35.75;1;-0.25;10.0
-;9;46.0;Mathis Marcel;***;12;54.75;9;46.0;0;0.0;8.75

12d;Zimmermann Simon;*;;;;;;;;;54.75
-;;;Gäggeler Adrian;*;;;;;;;8.75
-;4;8.75;Waldner Patrick;**;25;34.5;4;8.75;0;0.0;8.75
o;10;17.5;von Büren Stephan;*;9;55.5;7;18.25;-3;0.75;8.5
+;13;26.0;Binggeli Dominik;*;26;34.25;14;25.75;1;-0.25;10.0
-;11;36.0;Gehrig Damian;**;11;55.0;10;36.25;-1;0.25;8.75
+;14;44.75;Schenkel Remo;*;17;53.5;13;45.0;-1;0.25;10.0

12e;Steinauer Adrian;**;;;;;;;;;54.75
o;;;Studinger Stephan;**;;;;;;;8.5
+;5;8.5;Meuter Adrian;**;12;54.75;4;8.75;-1;0.25;9.75
+;7;18.25;Zürcher Kurt;*;22;35.25;7;18.25;0;0.0;9.75
+;5;28.0;Zenger Niklaus;***;13;54.5;8;27.25;3;-0.75;9.75
