3313-2016-08-07_109_Nordwestschweizer_Schwingfest-ST

1a;Gisler Bruno;***;;;;;;;;;58.0
-;;;von Arx Christian;*;;;;;;;9.0
o;3;9.0;Thoenen Henryc;**;6;56.75;4;8.75;1;-0.25;8.5
-;8;17.5;Gerber Andrj (2000);;15;54.5;5;18.75;-3;1.25;8.75
-;12;26.25;Büttler Adrian (1999);;23;46.0;8;27.5;-4;1.25;9.0

29a;Stoll Thomas (1998);;;;;;;;;;35.0
-;;;Hitz Florian (1999);;;;;;;;8.75
o;4;8.75;Roth Christian;;13;55.0;5;8.5;1;-0.25;8.75
o;8;17.5;Burtschi Michael;;19;53.5;7;18.25;-1;0.75;8.5
-;13;26.0;Burkhardt Roy;;31;34.5;14;25.75;1;-0.25;9.0

30a;Moser Matthias;*;;;;;;;;;34.75
-;;;Schär Simon;*;;;;;;;8.75
o;4;8.75;Hermann Oliver;*;9;56.0;3;9.0;-1;0.25;8.5
-;9;17.25;Gander Michael (1998);;16;54.25;7;18.25;-2;1.0;9.0
o;12;26.25;Rüegger Aaron (1999);;23;46.0;4;28.75;-8;2.5;8.5

31a;Burkhardt Roy;;;;;;;;;;34.5
o;;;François Cederic;;;;;;;;8.5
o;5;8.5;Studer Mathias;;27;35.5;5;8.5;0;0.0;8.5
-;10;17.0;Rohrbach Jérôme (2000);;17;54.0;10;17.0;0;0.0;8.75
-;14;25.75;Stoll Thomas (1998);;29;35.0;13;26.0;-1;0.25;8.75

32a;Nyffeler Christoph;*;;;;;;;;;34.25
o;;;Mahrer Jürg;**;;;;;;;8.5
o;5;8.5;Schmid Samuel;**;13;55.0;5;8.5;0;0.0;8.5
-;10;17.0;Riesen Ruedi;;17;54.0;6;18.5;-4;1.5;8.75
o;14;25.75;Stoll Simon;;11;55.5;10;27.0;-4;1.25;8.5

33a;Tschan Raphael (2000);;;;;;;;;;34.0
o;;;Bruder Adrian;;;;;;;;8.5
o;5;8.5;Nussbaumer Gabriel;;12;55.25;5;8.5;0;0.0;8.5
o;10;17.0;Steger Robert (1998);;27;35.5;10;17.0;0;0.0;8.5
o;15;25.5;Schwob Marco;;16;54.25;14;25.75;-1;0.25;8.5

33b;Regenass Reto (2000);;;;;;;;;;34.0
o;;;Vogt Patrick (1999);;;;;;;;8.5
o;5;8.5;Rüegger Aaron (1999);;23;46.0;1;10.0;-4;1.5;8.5
o;10;17.0;Imobersteg Tobias (1998);;28;35.25;10;17.0;0;0.0;8.5
o;15;25.5;Müller Jan (1998);;28;35.25;15;25.5;0;0.0;8.5

33c;Mohler Fernando;;;;;;;;;;34.0
o;;;Gabathuler Björn (1998);;;;;;;;8.5
o;5;8.5;Bieli Mario;;28;35.25;5;8.5;0;0.0;8.5
o;10;17.0;Nützi Karl;;27;35.5;10;17.0;0;0.0;8.5
o;15;25.5;Mangold Martin;;10;55.75;14;25.75;-1;0.25;8.5

33d;Herrmann Adrian (2000);;;;;;;;;;34.0
o;;;Probst Stefan;;;;;;;;8.5
o;5;8.5;Bader Stefan (1999);;28;35.25;5;8.5;0;0.0;8.5
o;10;17.0;Hengartner Lukas (2000);;28;35.25;10;17.0;0;0.0;8.5
o;15;25.5;Rohrbach Jérôme (2000);;17;54.0;14;25.75;-1;0.25;8.5

33e;Lüscher Michael;;;;;;;;;;34.0
o;;;Lisser Beat;;;;;;;;8.5
o;5;8.5;Büttler Gian (2000);;20;53.0;1;10.0;-4;1.5;8.5
o;10;17.0;Eggenschwiler Fabian;;27;35.5;6;18.5;-4;1.5;8.5
o;15;25.5;Niggli Andreas;;28;35.25;15;25.5;0;0.0;8.5

34a;Wilhelm Manuel;;;;;;;;;;27.25
+;;;Studer Tobias;;;;;;;;10.0
o;1;10.0;Bruder Adrian;;18;53.75;1;10.0;0;0.0;8.5
o;6;18.5;Probst Gabriel;**;15;54.5;9;17.25;3;-1.25;8.75

35a;Schwander Kilian;;;;;;;;;;8.5
o;;;Stoll Simon;;;;;;;;8.5

