3430-2016-07-03_110_Innerschweizerisches_Schwingfest-ST

1a;Zimmermann Martin;*;;;;;;;;;108.5
+;6;8.75;Gander Martin;;38;34.5;7;8.5;1;-0.25;9.75
o;8;18.5;Bättig Martin;*;19;54.0;7;18.75;-1;0.25;8.5
o;13;27.0;Hasler Florian;**;13;55.5;8;28.25;-5;1.25;8.5
o;17;35.5;Arnold Marcel;;20;53.75;17;35.5;0;0.0;8.5
-;21;44.0;Heiniger Marco;*;24;52.75;21;44.0;0;0.0;8.75

24c;Jund Matthias (1999);;;;;;;;;;52.75
+;;;Herger Peter;;;;;;;;10.0
o;3;10.0;Bürgi Tobias;;18;54.25;3;10.0;0;0.0;8.5
o;8;18.5;Zemp Thomas;*;15;55.0;8;18.5;0;0.0;8.5
o;13;27.0;Arnold Daniel;*;27;45.5;8;28.25;-5;1.25;8.5
o;17;35.5;Zimmermann Martin;*;1;108.5;2;72.25;-15;36.75;8.5
-;21;44.0;Zimmermann Armin;;23;53.0;20;44.25;-1;0.25;8.75

24d;Andermatt Adrian;;;;;;;;;;52.75
-;;;Schürpf Bruno;;;;;;;;8.75
+;6;8.75;Betschart Daniel;;36;35.0;6;8.75;0;0.0;9.75
o;8;18.5;Kempf Elias;**;15;55.0;8;18.5;0;0.0;8.5
o;13;27.0;Bisig Thomas;**;17;54.5;12;27.25;-1;0.25;8.5
-;17;35.5;Stadelmann Pius;*;22;53.25;16;35.75;-1;0.25;8.75
o;20;44.25;Ming Christian;;28;45.25;16;45.25;-4;1.0;8.5

24e;Heiniger Marco;*;;;;;;;;;52.75
-;;;Eﬃnger Markus;*;;;;;;;8.75
o;6;8.75;Hess Dominik;*;15;55.0;5;9.0;-1;0.25;8.5
o;12;17.25;Inderbitzin Daniel;*;12;55.75;11;17.5;-1;0.25;8.5
+;18;25.75;Amgarten Martin;*;40;34.0;19;25.5;1;-0.25;9.75
o;17;35.5;Heinzer Ronny;;13;55.5;16;35.75;-1;0.25;8.5
-;21;44.0;Hurschler Adrian;;24;52.75;21;44.0;0;0.0;8.75

25a;Gwerder Dominik;;;;;;;;;;52.5
o;;;Müller Roger;;;;;;;;8.5
o;7;8.5;Albert Thomas;;25;52.5;7;8.5;0;0.0;8.5
+;13;17.0;Zumstein Patrick;;39;34.25;13;17.0;0;0.0;10.0
o;13;27.0;Zimmermann Martin;**;1;108.5;1;53.75;-12;26.75;8.5
o;17;35.5;Felder Seppi;*;12;55.75;16;35.75;-1;0.25;8.5
o;21;44.0;Widmer Thomas;;18;54.25;20;44.25;-1;0.25;8.5

25b;Niederberger Markus;*;;;;;;;;;52.5
+;;;Zimmermann Daniel;*;;;;;;;10.0
o;3;10.0;Schurtenberger Sven;**;4;58.5;6;8.75;3;-1.25;8.5
o;8;18.5;Doppmann Urs;;32;37.5;6;19.0;-2;0.5;8.5
o;13;27.0;Egli David;*;19;54.0;13;27.0;0;0.0;8.5
o;17;35.5;Müller Toni;*;18;54.25;16;35.75;-1;0.25;8.5
o;21;44.0;Heiniger Luca (1998);;19;54.0;21;44.0;0;0.0;8.5

25c;Bieri Elias;;;;;;;;;;52.5
+;;;Widmer Thomas;;;;;;;;10.0
o;3;10.0;Elsener Manuel;;14;55.25;3;10.0;0;0.0;8.5
o;8;18.5;Betschart Silvan;*;19;54.0;8;18.5;0;0.0;8.5
o;13;27.0;Bürgler André;*;17;54.5;13;27.0;0;0.0;8.5
o;17;35.5;Kessler Joel;*;18;54.25;17;35.5;0;0.0;8.5
o;21;44.0;von Flüe Marco;;19;54.0;20;44.25;-1;0.25;8.5

25d;Albert Thomas;;;;;;;;;;52.5
o;;;Arnold Marcel;;;;;;;;8.5
+;7;8.5;Gwerder Dominik;;25;52.5;7;8.5;0;0.0;9.75
o;9;18.25;Lüönd Andreas;**;41;27.25;12;17.25;3;-1.0;8.75
o;13;27.0;Kälin Remo;*;18;54.25;13;27.0;0;0.0;8.5
o;17;35.5;Arnold Fabian;;20;53.75;17;35.5;0;0.0;8.5
o;21;44.0;Felder Martin;;19;54.0;20;44.25;-1;0.25;8.5

26a;Kennel Stefan;*;;;;;;;;;48.5
+;;;Bürgi Reto;*;;;;;;;10.0
+;3;10.0;Fink Bruno;*;19;54.0;3;10.0;0;0.0;10.0
o;3;20.0;Mathis Marcel;***;11;56.0;7;18.75;4;-1.25;8.5
+;7;28.5;Barmettler Peter;*;18;54.25;12;27.25;5;-1.25;10.0
+;6;38.5;Schöpfer Thomas;*;14;55.25;12;36.75;6;-1.75;10.0

27a;Arnold Daniel;*;;;;;;;;;45.5
-;;;Stadelmann Pius;*;;;;;;;8.75
+;6;8.75;Blaser Theo;*;43;25.75;6;8.75;0;0.0;9.75
+;8;18.5;Jund Matthias (1999);;24;52.75;8;18.5;0;0.0;9.75
o;8;28.25;Suppiger Werner;**;10;56.25;7;28.5;-1;0.25;8.5
-;12;36.75;Kessler Joel;*;18;54.25;17;35.5;5;-1.25;8.75

28a;Ming Christian;;;;;;;;;;45.25
o;;;Schmid Köbi;;;;;;;;8.75
o;6;8.75;Beffa Mario;;16;54.75;7;8.5;1;-0.25;8.5
+;12;17.25;Bär Leo;;38;34.5;12;17.25;0;0.0;9.75
o;13;27.0;Koch Roger;*;19;54.0;18;25.75;5;-1.25;8.5
+;17;35.5;Andermatt Adrian;;24;52.75;17;35.5;0;0.0;9.75

29a;Suter Beat;;;;;;;;;;44.75
-;;;Lang Julian (1998);;;;;;;;8.75
-;6;8.75;Müller Roger;;19;54.0;4;9.75;-2;1.0;8.75
-;11;17.5;Fessler Linus;;37;34.75;11;17.5;0;0.0;8.75
+;16;26.25;Diethelm Albert;*;38;34.5;17;26.0;1;-0.25;10.0
o;14;36.25;Imboden Roger;**;14;55.25;16;35.75;2;-0.5;8.5

30a;Stöckli Damian;;;;;;;;;;44.5
+;;;Suter Pirmin;;;;;;;;9.75
o;4;9.75;Schmid Köbi;;18;54.25;3;10.0;-1;0.25;8.5
-;9;18.25;Gander Adrian;*;38;34.5;13;17.0;4;-1.25;9.0
o;12;27.25;Britschgi Melk;**;17;54.5;11;27.5;-1;0.25;8.75
o;15;36.0;Bucher Christian (1998);;18;54.25;15;36.0;0;0.0;8.5

31a;Grab Daniel;**;;;;;;;;;44.25
o;;;Müller Michael;**;;;;;;;8.5
+;7;8.5;Arnold Andreas;*;18;54.25;7;8.5;0;0.0;9.75
o;9;18.25;Stalder Remo;***;8;56.75;12;17.25;3;-1.0;8.75
-;13;27.0;Dober Adrian;*;11;56.0;12;27.25;-1;0.25;8.75
o;16;35.75;Müller Roger;;19;54.0;16;35.75;0;0.0;8.5

32a;Doppmann Urs;;;;;;;;;;37.5
+;;;Kälin Remo;*;;;;;;;10.0
-;3;10.0;Eﬃnger Peter;;13;55.5;4;9.75;1;-0.25;9.0
+;6;19.0;Niederberger Markus;*;25;52.5;8;18.5;2;-0.5;10.0
o;5;29.0;Höﬂiger Andreas;**;15;55.0;8;28.25;3;-0.75;8.5

33a;Lemmenmeier Lukas;;;;;;;;;;35.75
-;;;Schuler Daniel;;;;;;;;8.75
+;6;8.75;Heinzer Ronny;;13;55.5;6;8.75;0;0.0;9.75
o;8;18.5;Gwerder Carlo;**;13;55.5;12;17.25;4;-1.25;8.5
-;13;27.0;Kessler Joel;*;18;54.25;14;26.75;1;-0.25;8.75

33b;Töngi Thomas;*;;;;;;;;;35.75
-;;;Diethelm Albert;*;;;;;;;8.75
o;6;8.75;Müller Toni;*;18;54.25;6;8.75;0;0.0;8.5
-;12;17.25;Heinzer Stefan;*;2;100.25;2;34.75;-10;17.5;8.75
+;17;26.0;Bucher Thomas;;37;34.75;16;26.25;-1;0.25;9.75

33c;Langenstein Philip;*;;;;;;;;;35.75
-;;;Inderbitzin Daniel;*;;;;;;;8.75
o;6;8.75;Schuler Philipp;**;11;56.0;5;9.0;-1;0.25;8.5
o;12;17.25;Gwerder Christian;**;12;55.75;11;17.5;-1;0.25;8.5
+;18;25.75;Arnold Marcel;;20;53.75;14;26.75;-4;1.0;10.0

34a;Kempf Damian;;;;;;;;;;35.5
o;;;Bürgi Tobias;;;;;;;;8.5
-;7;8.5;Lang Julian (1998);;37;34.75;6;8.75;-1;0.25;8.75
+;12;17.25;Ottiger Lukas;;38;34.5;12;17.25;0;0.0;9.75
o;13;27.0;Schmid David;**;14;55.25;16;26.25;3;-0.75;8.5

35a;Hurschler Michael;;;;;;;;;;35.25
o;;;Betschart Patrick (1999);;;;;;;;8.5
+;7;8.5;Herger Simon;;37;34.75;6;8.75;-1;0.25;9.75
o;9;18.25;Imboden Roger;**;14;55.25;13;17.0;4;-1.25;8.5
o;14;26.75;Wyrsch Marco;*;13;55.5;13;27.0;-1;0.25;8.5

35b;Betschart Remo;**;;;;;;;;;35.25
-;;;Zimmermann Martin;**;;;;;;;8.75
-;6;8.75;Bernhard Lukas;*;16;54.75;6;8.75;0;0.0;8.75
-;11;17.5;Ambühl Joel (1998);*;16;54.75;8;18.5;-3;1.0;9.0
o;15;26.5;Gloggner Hansjörg;***;17;54.5;14;26.75;-1;0.25;8.75

35c;Herger Fabian;*;;;;;;;;;35.25
o;;;Fässler Dominic;*;;;;;;;8.5
o;7;8.5;Küttel Pirmin;**;14;55.25;7;8.5;0;0.0;8.5
+;13;17.0;Arnold Marcel;;20;53.75;9;18.25;-4;1.25;9.75
o;14;26.75;Scheidegger Philipp;**;12;55.75;12;27.25;-2;0.5;8.5

35d;Scheuber Stefan;;;;;;;;;;35.25
+;;;Arnold Lukas (1998);;;;;;;;9.75
o;4;9.75;Heinzer Josef;;14;55.25;4;9.75;0;0.0;8.5
o;9;18.25;Arnold Andreas;*;18;54.25;13;17.0;4;-1.25;8.5
o;14;26.75;Suter Paul;*;41;27.25;12;27.25;-2;0.5;8.5

36a;Schuler Daniel;;;;;;;;;;35.0
-;;;Lemmenmeier Lukas;;;;;;;;8.75
-;6;8.75;Widmer Thomas;;18;54.25;6;8.75;0;0.0;8.75
-;11;17.5;Bucher Thomas;;37;34.75;11;17.5;0;0.0;8.75
-;16;26.25;Käslin Ruedi;*;38;34.5;18;25.75;2;-0.5;8.75

36b;Moos Christoph;;;;;;;;;;35.0
-;;;Suppiger Thomas;;;;;;;;8.75
-;6;8.75;Fessler Linus;;37;34.75;6;8.75;0;0.0;8.75
-;11;17.5;Zgraggen Fabian;*;23;53.0;12;17.25;1;-0.25;8.75
-;16;26.25;Zurﬂuh Markus;**;37;34.75;17;26.0;1;-0.25;8.75

36c;Vonlaufen Lukas;*;;;;;;;;;35.0
-;;;Muff André;*;;;;;;;8.75
-;6;8.75;Zimmermann Martin;*;1;108.5;1;17.5;-5;8.75;8.75
-;11;17.5;Küttel Pirmin;**;14;55.25;9;18.25;-2;0.75;8.75
-;16;26.25;Imboden Roger;**;14;55.25;13;27.0;-3;0.75;8.75

36d;Schärli Lukas;**;;;;;;;;;35.0
-;;;Kälin Roland;**;;;;;;;8.75
-;6;8.75;Amgarten Roman;*;37;34.75;7;8.5;1;-0.25;8.75
-;11;17.5;Eﬃnger Markus;*;22;53.25;12;17.25;1;-0.25;9.0
o;15;26.5;Würsch Lars;;20;53.75;13;27.0;-2;0.5;8.5

36e;Rohrer Ueli (1999);;;;;;;;;;35.0
-;;;Baumann Lukas;;;;;;;;8.75
-;6;8.75;Schelbert Roman;;22;53.25;6;8.75;0;0.0;9.0
-;10;17.75;Bucher Roland;*;37;34.75;13;17.0;3;-0.75;8.75
o;15;26.5;Zimmermann Daniel;*;22;53.25;17;26.0;2;-0.5;8.5

36f;Betschart Daniel;;;;;;;;;;35.0
-;;;Ottiger Lukas;;;;;;;;8.75
o;6;8.75;Andermatt Adrian;;24;52.75;6;8.75;0;0.0;8.75
-;11;17.5;Imfeld Beat;;42;26.0;12;17.25;1;-0.25;8.75
-;16;26.25;Amgarten Roman;*;37;34.75;17;26.0;1;-0.25;8.75

36g;Odermatt Remo;*;;;;;;;;;35.0
-;;;Scherer Adrian;*;;;;;;;8.75
-;6;8.75;Heinzer Stefan;*;2;100.25;2;17.25;-4;8.5;8.75
-;11;17.5;Kennel Beat;*;17;54.5;11;17.5;0;0.0;8.75
-;16;26.25;Bucher Roland;*;37;34.75;17;26.0;1;-0.25;8.75

37a;Lussi Marco;*;;;;;;;;;34.75
-;;;Dober Adrian;*;;;;;;;8.75
-;6;8.75;Theiler Beat;*;45;17.25;7;8.5;1;-0.25;8.75
-;11;17.5;Reichmuth Marco;*;10;56.25;9;18.25;-2;0.75;8.75
o;16;26.25;Achermann Christoph;*;15;55.0;14;26.75;-2;0.5;8.5

37b;Zurﬂuh Markus;**;;;;;;;;;34.75
-;;;Lüönd Andreas;**;;;;;;;8.75
-;6;8.75;Fellmann Roman;*;19;54.0;4;9.75;-2;1.0;8.75
o;11;17.5;Bieri Christian;*;11;56.0;12;17.25;1;-0.25;8.5
-;17;26.0;Moos Christoph;;36;35.0;16;26.25;-1;0.25;8.75

37c;Amgarten Roman;*;;;;;;;;;34.75
o;;;Egli David;*;;;;;;;8.5
-;7;8.5;Schärli Lukas;**;36;35.0;6;8.75;-1;0.25;8.75
-;12;17.25;Müller Roger;;19;54.0;8;18.5;-4;1.25;8.75
-;17;26.0;Betschart Daniel;;36;35.0;16;26.25;-1;0.25;8.75

37d;Lang Julian (1998);;;;;;;;;;34.75
-;;;Suter Beat;;;;;;;;8.75
-;6;8.75;Kempf Damian;;34;35.5;7;8.5;1;-0.25;8.75
-;11;17.5;Wallimann Remo;;17;54.5;12;17.25;1;-0.25;8.75
o;16;26.25;Rohrer Beat;*;18;54.25;17;26.0;1;-0.25;8.5

37e;Bucher Roland;*;;;;;;;;;34.75
o;;;Käslin Benno;*;;;;;;;8.5
o;7;8.5;Stöckli Stefan;**;10;56.25;6;8.75;-1;0.25;8.5
-;13;17.0;Rohrer Ueli (1999);;36;35.0;10;17.75;-3;0.75;9.0
-;17;26.0;Odermatt Remo;*;36;35.0;16;26.25;-1;0.25;8.75

37f;Bucher Thomas;;;;;;;;;;34.75
o;;;Thierstein Marco;;;;;;;;8.5
-;7;8.5;Arnold Lukas (1998);;38;34.5;6;8.75;-1;0.25;9.0
-;11;17.5;Schuler Daniel;;36;35.0;11;17.5;0;0.0;8.75
o;16;26.25;Töngi Thomas;*;33;35.75;17;26.0;1;-0.25;8.5

37g;Gwerder Andreas;*;;;;;;;;;34.75
-;;;Arnold Severin;*;;;;;;;8.75
-;6;8.75;Barmettler Peter;*;18;54.25;7;8.5;1;-0.25;8.75
o;11;17.5;Zimmermann Martin;*;1;108.5;1;35.0;-10;17.5;8.5
o;17;26.0;Wallimann Remo;;17;54.5;17;26.0;0;0.0;8.75

37h;Herger Simon;;;;;;;;;;34.75
-;;;Nauer Robin;;;;;;;;8.75
o;6;8.75;Hurschler Michael;;35;35.25;7;8.5;1;-0.25;8.5
o;12;17.25;Heinzer Ronny;;13;55.5;12;17.25;0;0.0;8.75
o;17;26.0;Koch Roger;*;19;54.0;18;25.75;1;-0.25;8.75

37i;Fessler Linus;;;;;;;;;;34.75
-;;;Kurmann Toni (1998);;;;;;;;8.75
-;6;8.75;Moos Christoph;;36;35.0;6;8.75;0;0.0;8.75
-;11;17.5;Suter Beat;;29;44.75;11;17.5;0;0.0;8.75
o;16;26.25;Kennel Beat;*;17;54.5;16;26.25;0;0.0;8.5

37j;Kenel Franz-Toni;*;;;;;;;;;34.75
-;;;Rohrer Beat;*;;;;;;;9.0
o;5;9.0;Portmann Josef;*;13;55.5;6;8.75;1;-0.25;8.5
o;11;17.5;Scheidegger Philipp;**;12;55.75;11;17.5;0;0.0;8.5
-;17;26.0;Stadelmann Pius;*;22;53.25;17;26.0;0;0.0;8.75

37k;Durrer Nando (1999);;;;;;;;;;34.75
-;;;Schürpf Guido;;;;;;;;8.75
o;6;8.75;Kurmann Toni (1998);;23;53.0;6;8.75;0;0.0;8.5
-;12;17.25;Keller Janik;;17;54.5;11;17.5;-1;0.25;8.75
o;17;26.0;Heinzer Stefan;*;2;100.25;2;53.25;-15;27.25;8.75

37l;Gassmann Fabian;**;;;;;;;;;34.75
o;;;Bisig Thomas;**;;;;;;;8.5
-;7;8.5;Gwerder Christian;**;12;55.75;6;8.75;-1;0.25;8.75
-;12;17.25;Kurmann Toni (1998);;23;53.0;8;18.5;-4;1.25;9.0
o;16;26.25;Waser Dominik;**;10;56.25;15;26.5;-1;0.25;8.5

38a;Gander Adrian;*;;;;;;;;;34.5
o;;;Zemp Thomas;*;;;;;;;8.5
o;7;8.5;Reichmuth Marco;*;10;56.25;7;8.5;0;0.0;8.5
-;13;17.0;Stöckli Damian;;30;44.5;9;18.25;-4;1.25;9.0
o;17;26.0;Hösli Fritz;*;14;55.25;17;26.0;0;0.0;8.5

38b;Ottiger Lukas;;;;;;;;;;34.5
-;;;Betschart Daniel;;;;;;;;8.75
o;6;8.75;von Flüe Marco;;19;54.0;6;8.75;0;0.0;8.5
o;12;17.25;Kempf Damian;;34;35.5;12;17.25;0;0.0;8.5
-;18;25.75;von Ah Markus;;38;34.5;18;25.75;0;0.0;8.75

38c;von Ah Markus;;;;;;;;;;34.5
o;;;Heinzer Josef;;;;;;;;8.5
o;7;8.5;Felder Martin;;19;54.0;7;8.5;0;0.0;8.5
-;13;17.0;Stadelmann Ron;;19;54.0;12;17.25;-1;0.25;8.75
-;18;25.75;Ottiger Lukas;;38;34.5;18;25.75;0;0.0;8.75

38d;Diethelm Albert;*;;;;;;;;;34.5
-;;;Töngi Thomas;*;;;;;;;8.75
-;6;8.75;Kaech Frank;*;22;53.25;6;8.75;0;0.0;8.75
o;11;17.5;Britschgi Melk;**;17;54.5;11;17.5;0;0.0;8.5
o;17;26.0;Suter Beat;;29;44.75;16;26.25;-1;0.25;8.5

38e;Herger Peter;;;;;;;;;;34.5
o;;;Jund Matthias (1999);;;;;;;;8.5
-;7;8.5;Bär Leo;;38;34.5;7;8.5;0;0.0;8.75
-;12;17.25;Lagler Christian;;21;53.5;12;17.25;0;0.0;8.75
o;17;26.0;Kaech Frank;*;22;53.25;17;26.0;0;0.0;8.5

38f;Baumann Roger;*;;;;;;;;;34.5
o;;;Lang Sven (1998);*;;;;;;;8.5
o;7;8.5;Kälin Remo;*;18;54.25;7;8.5;0;0.0;8.5
o;13;17.0;Schelbert Roman;;22;53.25;10;17.75;-3;0.75;8.75
o;18;25.75;Zgraggen Fabian;*;23;53.0;17;26.0;-1;0.25;8.75

38g;Bär Leo;;;;;;;;;;34.5
o;;;Hirsiger Alexander;;;;;;;;8.5
-;7;8.5;Herger Peter;;38;34.5;7;8.5;0;0.0;8.75
o;12;17.25;Ming Christian;;28;45.25;12;17.25;0;0.0;8.5
-;18;25.75;Zumstein Patrick;;39;34.25;19;25.5;1;-0.25;8.75

38h;Käslin Ruedi;*;;;;;;;;;34.5
o;;;Fellmann Roman;*;;;;;;;8.5
o;7;8.5;Egli Pirmin;**;12;55.75;7;8.5;0;0.0;8.5
-;13;17.0;Felder Martin;;19;54.0;9;18.25;-4;1.25;8.75
-;18;25.75;Schuler Daniel;;36;35.0;16;26.25;-2;0.5;8.75

38i;Gander Martin;;;;;;;;;;34.5
o;;;Hurschler Adrian;;;;;;;;8.5
-;7;8.5;Keller Janik;;17;54.5;6;8.75;-1;0.25;8.75
-;12;17.25;Zimmermann Armin;;23;53.0;12;17.25;0;0.0;8.75
o;17;26.0;Schnider Markus;*;22;53.25;17;26.0;0;0.0;8.5

38j;Arnold Lukas (1998);;;;;;;;;;34.5
o;;;Scheuber Stefan;;;;;;;;8.75
-;6;8.75;Bucher Thomas;;37;34.75;7;8.5;1;-0.25;8.75
o;11;17.5;Widmer Thomas;;18;54.25;11;17.5;0;0.0;8.5
o;17;26.0;Eﬃnger Markus;*;22;53.25;17;26.0;0;0.0;8.5

39a;Scherer Adrian;*;;;;;;;;;34.25
-;;;Odermatt Remo;*;;;;;;;8.75
o;6;8.75;Bürgler André;*;17;54.5;6;8.75;0;0.0;8.5
o;12;17.25;Bürgi Reto;*;18;54.25;12;17.25;0;0.0;8.5
o;18;25.75;Keller Janik;;17;54.5;15;26.5;-3;0.75;8.5

39b;Zumstein Patrick;;;;;;;;;;34.25
o;;;Scherer Niklaus;;;;;;;;8.5
o;7;8.5;Heiniger Luca (1998);;19;54.0;7;8.5;0;0.0;8.5
o;13;17.0;Gwerder Dominik;;25;52.5;13;17.0;0;0.0;8.5
-;19;25.5;Bär Leo;;38;34.5;18;25.75;-1;0.25;8.75

39c;Arnold Severin;*;;;;;;;;;34.25
-;;;Gwerder Andreas;*;;;;;;;8.75
o;6;8.75;Reichmuth Armin;*;16;54.75;6;8.75;0;0.0;8.5
o;12;17.25;Heinzer Stefan;*;2;100.25;2;34.75;-10;17.5;8.5
o;18;25.75;Stadelmann Ron;;19;54.0;17;26.0;-1;0.25;8.5

40a;Vogler Daniel;*;;;;;;;;;34.0
o;;;Betschart Silvan;*;;;;;;;8.5
o;7;8.5;Kessler Joel;*;18;54.25;7;8.5;0;0.0;8.5
o;13;17.0;Diener Pirmin;*;16;54.75;12;17.25;-1;0.25;8.5
o;19;25.5;Muff André;*;18;54.25;18;25.75;-1;0.25;8.5

40b;Durrer Robin;;;;;;;;;;34.0
o;;;Betschart Marcel;;;;;;;;8.5
o;7;8.5;Schürpf Guido;;20;53.75;6;8.75;-1;0.25;8.5
o;13;17.0;Suter Pirmin;;23;53.0;12;17.25;-1;0.25;8.5
o;19;25.5;Lagler Christian;;21;53.5;17;26.0;-2;0.5;8.5

40c;Pedrazzini Diego (1998);;;;;;;;;;34.0
o;;;Wicki Patrick;;;;;;;;8.5
o;7;8.5;Bachmann Adrian;;24;52.75;6;8.75;-1;0.25;8.5
o;13;17.0;Würsch Lars;;20;53.75;13;17.0;0;0.0;8.5
o;19;25.5;Zimmermann Armin;;23;53.0;17;26.0;-2;0.5;8.5

40d;Amgarten Martin;*;;;;;;;;;34.0
o;;;Ambühl Joel (1998);*;;;;;;;8.5
o;7;8.5;Linggi Bruno;**;12;55.75;7;8.5;0;0.0;8.5
o;13;17.0;Hirsiger Alexander;;18;54.25;9;18.25;-4;1.25;8.5
o;19;25.5;Heiniger Marco;*;24;52.75;18;25.75;-1;0.25;8.5

41a;Lüönd Andreas;**;;;;;;;;;27.25
-;;;Zurﬂuh Markus;**;;;;;;;8.75
o;6;8.75;Bieri Marcel;**;10;56.25;5;9.0;-1;0.25;8.5
+;12;17.25;Albert Thomas;;25;52.5;9;18.25;-3;1.0;10.0

41b;Suter Paul;*;;;;;;;;;27.25
-;;;Hess Dominik;*;;;;;;;9.0
o;5;9.0;Rohrer Marco;**;15;55.0;6;8.75;1;-0.25;8.5
+;11;17.5;Scheuber Stefan;;35;35.25;9;18.25;-2;0.75;9.75

42a;Imfeld Beat;;;;;;;;;;26.0
-;;;Lagler Christian;;;;;;;;8.75
o;6;8.75;Schürpf Bruno;;13;55.5;6;8.75;0;0.0;8.5
-;12;17.25;Betschart Daniel;;36;35.0;11;17.5;-1;0.25;8.75

43a;Blaser Theo;*;;;;;;;;;25.75
-;;;Bättig Martin;*;;;;;;;8.75
o;6;8.75;Muff Armin;**;17;54.5;6;8.75;0;0.0;8.5
o;12;17.25;Arnold Daniel;*;27;45.5;8;18.5;-4;1.25;8.5

44a;Forrer Arnold;***;;;;;;;;;17.5
-;;;Ulrich Andreas;***;;;;;;;8.75
-;6;8.75;Vogel Remo;*;10;56.25;3;10.0;-3;1.25;8.75

45a;Gassmann Michael;*;;;;;;;;;17.25
-;;;Graber Michael;*;;;;;;;8.75
o;6;8.75;Schärli Pius;*;21;53.5;6;8.75;0;0.0;8.5

45b;Theiler Beat;*;;;;;;;;;17.25
o;;;Egli Manuel;*;;;;;;;8.5
-;7;8.5;Lussi Marco;*;37;34.75;6;8.75;-1;0.25;8.75

46a;Fässler Cornel;*;;;;;;;;;17.0
o;;;Rohrer Ivan;*;;;;;;;8.5
o;7;8.5;Suppiger Werner;**;10;56.25;6;8.75;-1;0.25;8.5

47a;Niederberger Jakob;**;;;;;;;;;8.5
o;;;Nietlispach Pascal;**;;;;;;;8.5

47b;Fassbind René;*;;;;;;;;;8.5
o;;;Binggeli Stefan;*;;;;;;;8.5

