3430-2016-07-03_110_Innerschweizerisches_Schwingfest-ST

1a;Zimmermann Martin;*;;;;;;;;;108.5
o;7;18.75;Höﬂiger Andreas;**;15;55.0;8;18.5;1;-0.25;8.5
-;12;27.25;Grab Daniel;**;31;44.25;13;27.0;1;-0.25;8.75
+;15;36.0;Eﬃnger Markus;*;22;53.25;15;36.0;0;0.0;10.0
+;13;46.0;Betschart Marcel;;17;54.5;13;46.0;0;0.0;10.0

11b;Bieri Christian;*;;;;;;;;;56.0
-;;;Schärli Pius;*;;;;;;;8.75
o;6;8.75;Gwerder Guido;**;10;56.25;6;8.75;0;0.0;8.5
+;12;17.25;Zurﬂuh Markus;**;37;34.75;11;17.5;-1;0.25;10.0
-;12;27.25;Clopath Beat;***;16;54.75;12;27.25;0;0.0;8.75
+;15;36.0;Suter Pirmin;;23;53.0;15;36.0;0;0.0;10.0
+;13;46.0;Villiger Cyrill;*;17;54.5;13;46.0;0;0.0;10.0

11c;Nötzli Reto;***;;;;;;;;;56.0
o;;;Fankhauser Erich;***;;;;;;;8.5
+;7;8.5;Briker Michael;*;13;55.5;3;10.0;-4;1.5;9.75
+;9;18.25;Hess Dominik;*;15;55.0;6;19.0;-3;0.75;10.0
-;8;28.25;Suppiger Werner;**;10;56.25;7;28.5;-1;0.25;9.0
-;10;37.25;Egli Manuel;*;13;55.5;8;38.0;-2;0.75;8.75
+;13;46.0;Muff Armin;**;17;54.5;13;46.0;0;0.0;10.0

11d;Mathis Marcel;***;;;;;;;;;56.0
-;;;Sempach Thomas;***;;;;;;;8.75
+;6;8.75;Achermann Christoph;*;15;55.0;4;9.75;-2;1.0;10.0
+;7;18.75;Schuler Philipp;**;11;56.0;6;19.0;-1;0.25;9.75
+;7;28.5;Kennel Stefan;*;26;48.5;7;28.5;0;0.0;10.0
o;6;38.5;Schurtenberger Sven;**;4;58.5;5;38.75;-1;0.25;8.5
-;9;47.0;Arnold Raphael;*;12;55.75;10;46.75;1;-0.25;9.0

11e;Steinauer Adrian;**;;;;;;;;;56.0
-;;;Schmid David;**;;;;;;;8.75
+;6;8.75;Fink Bruno;*;19;54.0;3;10.0;-3;1.25;9.75
-;8;18.5;Schärli Pius;*;21;53.5;7;18.75;-1;0.25;9.0
+;11;27.5;Zimmermann Martin;*;1;108.5;1;53.75;-10;26.25;9.75
-;10;37.25;Britschgi Melk;**;17;54.5;10;37.25;0;0.0;8.75
+;13;46.0;Egli Damian;**;17;54.5;13;46.0;0;0.0;10.0

11f;Fankhauser Reto;**;;;;;;;;;56.0
-;;;Rohrer Marco;**;;;;;;;8.75
+;6;8.75;Gwerder Carlo;**;13;55.5;6;8.75;0;0.0;9.75
+;8;18.5;Bisig Thomas;**;17;54.5;7;18.75;-1;0.25;10.0
-;7;28.5;Schuler Alex;**;6;57.5;7;28.5;0;0.0;9.0
+;9;37.5;Odermatt Andreas;*;12;55.75;10;37.25;1;-0.25;10.0
o;7;47.5;Ulrich Andreas;***;7;57.0;9;47.0;2;-0.5;8.5

11g;Schuler Philipp;**;;;;;;;;;56.0
-;;;Egli Damian;**;;;;;;;9.0
