3003-2019-08-11_Bernisch-Kantonales_Schwingfest-ST

1a;Aeschbacher Matthias;**;;;;;;;;;58.5
14i;Schlüchter Colin;*;;;;;;;;;55.25
+;;;von Büren Stephan;**;;;;;;;9.75
o;2;9.75;Wiget Michael;**;7;57.0;4;8.75;2;-1.0;8.5
+;6;18.25;Staub Severin (2002);;28;35.5;6;18.25;0;0.0;10.0
o;7;28.25;Kropf Marcel;**;8;56.75;7;28.25;0;0.0;8.5
-;9;36.75;Weyermann Florian;**;19;54.0;9;36.75;0;0.0;8.75
+;14;45.5;Bernhard Marco;;23;53.0;18;44.5;4;-1.0;9.75

14j;Hurschler Thomas;**;;;;;;;;;55.25
o;;;Staudenmann Fabian;**;;;;;;;8.5
-;5;8.5;Rüegsegger Christian (2001);;16;54.75;1;10.0;-4;1.5;8.75
-;9;17.25;von Büren Stephan;**;14;55.25;6;18.25;-3;1.0;8.75
+;16;26.0;Waeber Marco;;23;53.0;11;27.25;-5;1.25;9.75
+;13;35.75;Röthlisberger Simon;*;17;54.5;11;36.25;-2;0.5;9.75
+;14;45.5;Kämpf Lorenz;*;22;53.25;17;44.75;3;-0.75;9.75

14k;Moser Michael;**;;;;;;;;;55.25
+;;;Wehrli Christian;*;;;;;;;10.0
+;1;10.0;Aellen Florian;*;12;55.75;2;9.75;1;-0.25;9.75
o;2;19.75;Anderegg Simon;***;3;58.0;2;19.75;0;0.0;8.5
+;7;28.25;Camenzind Ivan;*;19;54.0;7;28.25;0;0.0;10.0
o;4;38.25;Kämpf Bernhard;***;4;57.75;4;38.25;0;0.0;8.5
o;9;46.75;von Weissenfluh Kilian;**;6;57.25;7;47.25;-2;0.5;8.5

14l;von Büren Stephan;**;;;;;;;;;55.25
o;;;Schlüchter Colin;*;;;;;;;8.5
+;5;8.5;Waeber Marco;;23;53.0;4;8.75;-1;0.25;9.75
-;6;18.25;Hurschler Thomas;**;14;55.25;9;17.25;3;-1.0;8.75
+;12;27.0;Hadorn Christian;*;17;54.5;10;27.5;-2;0.5;10.0
+;8;37.0;Rolli Martin;**;18;54.25;8;37.0;0;0.0;9.75
o;9;46.75;Zenger Niklaus;***;6;57.25;7;47.25;-2;0.5;8.5

14m;Mösching Andy;*;;;;;;;;;55.25
-;;;Graber Alfred;*;;;;;;;8.75
o;4;8.75;Sommer Roman;*;14;55.25;4;8.75;0;0.0;8.5
+;9;17.25;Zingg Michael;;33;34.25;10;17.0;1;-0.25;9.75
+;12;27.0;Gehrig Kilian;;28;35.5;12;27.0;0;0.0;10.0
o;8;37.0;Gnägi Florian;***;10;56.25;7;37.25;-1;0.25;8.5
+;14;45.5;Berger Ueli;*;23;53.0;18;44.5;4;-1.0;9.75

14n;Grossen John;*;;;;;;;;;55.25
o;;;Weyermann Florian;**;;;;;;;8.5
+;5;8.5;Pirkheim Elias (2002);;28;35.5;1;10.0;-4;1.5;9.75
+;6;18.25;Blatter Remo;;29;35.25;6;18.25;0;0.0;10.0
-;7;28.25;Gmür Pirmin;**;12;55.75;7;28.25;0;0.0;8.75
o;8;37.0;Gerber Christian;**;6;57.25;7;37.25;-1;0.25;8.5
+;14;45.5;Reust Markus;*;23;53.0;18;44.5;4;-1.0;9.75

14o;Kneubühl Christian (2001);*;;;;;;;;;55.25
o;;;Kropf Thomas;*;;;;;;;8.5
+;5;8.5;Neukomm Thierry;;32;34.5;3;9.0;-2;0.5;10.0
o;5;18.5;Kropf Marcel;**;8;56.75;5;18.5;0;0.0;8.5
+;12;27.0;Aebi Roger;;18;54.25;10;27.5;-2;0.5;10.0
o;8;37.0;Orlik Curdin;**;10;56.25;6;37.5;-2;0.5;8.5
+;14;45.5;Waber Lorenz;*;19;54.0;14;45.5;0;0.0;9.75
o;14;55.25;Gnägi Damian;;13;55.5;13;55.5;-1;0.25;0.0

15a;Tschumi Lukas (2001);*;;;;;;;;;55.0
+;;;Reust Markus;*;;;;;;;10.0
o;1;10.0;Rolli Martin;**;18;54.25;4;8.75;3;-1.25;8.5
+;5;18.5;Kobel Marcel;;23;53.0;5;18.5;0;0.0;9.75
o;7;28.25;Tschanz Richard;*;14;55.25;7;28.25;0;0.0;8.5
o;9;36.75;Gasser Dominik;*;14;55.25;8;37.0;-1;0.25;8.5
+;15;45.25;Joss David;*;23;53.0;18;44.5;3;-0.75;9.75

15b;Thöni Reto (2001);;;;;;;;;;55.0
+;;;Galli Markus;;;;;;;;9.75
o;2;9.75;Gasser Dominik;*;14;55.25;4;8.75;2;-1.0;8.75
o;5;18.5;Kropf Thomas;*;8;56.75;5;18.5;0;0.0;8.5
+;12;27.0;Roth Robin;*;31;34.75;15;26.25;3;-0.75;9.75
o;9;36.75;Gäggeler Adrian;*;15;55.0;9;36.75;0;0.0;8.5
+;15;45.25;Zehnder Jürg;*;20;53.75;15;45.25;0;0.0;9.75

15c;Gäggeler Adrian;*;;;;;;;;;55.0
+;;;Roth Robin;*;;;;;;;9.75
o;2;9.75;Lengacher Jonas;**;14;55.25;5;8.5;3;-1.25;8.5
+;6;18.25;Schwab Marc;;28;35.5;6;18.25;0;0.0;10.0
o;7;28.25;Gobeli Patrick;**;7;57.0;6;28.5;-1;0.25;8.5
+;9;36.75;Thöni Reto (2001);;15;55.0;9;36.75;0;0.0;9.75
o;10;46.5;Luginbühl Hanspeter;**;7;57.0;8;47.0;-2;0.5;8.5

15d;Studer Stefan;**;;;;;;;;;55.0
o;;;Orlik Curdin;**;;;;;;;8.5
+;5;8.5;Stalder Kurt;;14;55.25;2;9.75;-3;1.25;10.0
+;5;18.5;Wehrli Christian;*;28;35.5;5;18.5;0;0.0;10.0
-;6;28.5;Herger Matthias;**;7;57.0;7;28.25;1;-0.25;9.0
-;6;37.5;Pulfer Thomas;*;12;55.75;8;37.0;2;-0.5;8.75
-;11;46.25;Gerber Thomas;*;16;54.75;12;46.0;1;-0.25;8.75

16a;Binggeli Dominik;*;;;;;;;;;54.75
-;;;Fankhauser Reto;*;;;;;;;9.0
+;3;9.0;Krähenbühl Tobias;***;8;56.75;5;8.5;2;-0.5;10.0
+;3;19.0;Gehrig Kilian;;28;35.5;5;18.5;2;-0.5;10.0
o;4;29.0;von Weissenfluh Kilian;**;6;57.25;6;28.5;2;-0.5;8.5
o;6;37.5;Blaser Roman;*;14;55.25;8;37.0;2;-0.5;8.5
o;12;46.0;Roschi Ruedi;**;9;56.5;9;46.75;-3;0.75;8.75

16b;Schwander Severin;**;;;;;;;;;54.75
o;;;Gerber Christian;**;;;;;;;8.5
-;5;8.5;Kropf Thomas;*;8;56.75;2;9.75;-3;1.25;8.75
+;9;17.25;Sommer Martin (2001);;30;35.0;8;17.5;-1;0.25;10.0
o;11;27.25;Wittwer Jan;*;11;56.0;11;27.25;0;0.0;8.75
-;12;36.0;Kämpf Marcel;*;21;53.5;12;36.0;0;0.0;8.75
+;17;44.75;Hügli Kaj;**;24;52.75;19;44.25;2;-0.5;10.0

16c;Rüegsegger Ueli;*;;;;;;;;;54.75
+;;;Berger Ueli;*;;;;;;;9.75
o;2;9.75;Inniger Thomas;**;6;57.25;5;8.5;3;-1.25;8.5
-;6;18.25;Niederhäuser Martin;;20;53.75;8;17.5;2;-0.75;9.0
-;11;27.25;Hügli Kaj;**;24;52.75;12;27.0;1;-0.25;8.75
-;12;36.0;Reust Markus;*;23;53.0;13;35.75;1;-0.25;8.75
+;17;44.75;Fankhauser Thomas;*;19;54.0;14;45.5;-3;0.75;10.0

16d;Gerber Thomas;*;;;;;;;;;54.75
-;;;Kämpf Alexander;**;;;;;;;8.75
+;4;8.75;Roschi Adrian;;29;35.25;5;8.5;1;-0.25;10.0
o;4;18.75;von Weissenfluh Kilian;**;6;57.25;5;18.5;1;-0.25;8.5
-;11;27.25;Nufer Sämi;;18;54.25;12;27.0;1;-0.25;8.75
+;12;36.0;Schütz Urs;**;18;54.25;12;36.0;0;0.0;10.0
-;12;46.0;Studer Stefan;**;15;55.0;11;46.25;-1;0.25;8.75

16e;Gehrig Philipp;**;;;;;;;;;54.75
-;;;Waber Lorenz;*;;;;;;;9.0
+;3;9.0;Fankhauser Thomas;*;19;54.0;2;9.75;-1;0.75;9.75
-;4;18.75;Steudler Kevin (2001);*;12;55.75;4;18.75;0;0.0;9.0
-;9;27.75;Zehnder Jürg;*;20;53.75;8;28.0;-1;0.25;8.75
+;10;36.5;Joss David;*;23;53.0;12;36.0;2;-0.5;9.75
o;11;46.25;Kropf Thomas;*;8;56.75;8;47.0;-3;0.75;8.5

16f;Rüegsegger Christian (2001);;;;;;;;;;54.75
+;;;Bühler Marcel;;;;;;;;10.0
-;1;10.0;Hurschler Thomas;**;14;55.25;5;8.5;4;-1.5;8.75
o;4;18.75;Aellen Florian;*;12;55.75;5;18.5;1;-0.25;8.75
+;10;27.5;Wehrli Christian;*;28;35.5;12;27.0;2;-0.5;10.0
o;6;37.5;Inniger Thomas;**;6;57.25;7;37.25;1;-0.25;8.5
o;12;46.0;Wittwer Josias;**;9;56.5;9;46.75;-3;0.75;8.75

17a;Walther Adrian (2001);*;;;;;;;;;54.5
-;;;Sommer Roman;*;;;;;;;8.75
+;4;8.75;Schwab David;;18;54.25;1;10.0;-3;1.25;10.0
o;4;18.75;Schenk Patrick;***;8;56.75;5;18.5;1;-0.25;8.5
+;11;27.25;Bremgartner Marcel;*;23;53.0;11;27.25;0;0.0;10.0
o;7;37.25;Gmür Pirmin;**;12;55.75;7;37.25;0;0.0;8.5
o;13;45.75;Aellen Philipp;*;13;55.5;13;45.75;0;0.0;8.75

17b;Röthlisberger Simon;*;;;;;;;;;54.5
-;;;Tschan Matthias;*;;;;;;;8.75
-;4;8.75;Willimann Stefan;;28;35.5;5;8.5;1;-0.25;8.75
-;8;17.5;Burger Matthieu (2001);*;13;55.5;6;18.25;-2;0.75;8.75
+;15;26.25;Bühler Marcel;;33;34.25;17;25.75;2;-0.5;10.0
o;11;36.25;Hurschler Thomas;**;14;55.25;13;35.75;2;-0.5;8.5
+;17;44.75;Walther Patrick;*;22;53.25;17;44.75;0;0.0;9.75

17c;Hadorn Christian;*;;;;;;;;;54.5
-;;;Steudler Kevin (2001);*;;;;;;;8.75
+;4;8.75;Staub Maël;*;13;55.5;4;8.75;0;0.0;10.0
o;4;18.75;Marti Stefan;**;12;55.75;4;18.75;0;0.0;8.75
o;10;27.5;von Büren Stephan;**;14;55.25;12;27.0;2;-0.5;8.75
+;11;36.25;Zingrich Jan;;18;54.25;9;36.75;-2;0.5;9.75
o;12;46.0;Berger Lorenz;**;12;55.75;13;45.75;1;-0.25;8.5

17d;Urfer Simon;*;;;;;;;;;54.5
-;;;Bremgartner Marcel;*;;;;;;;8.75
+;4;8.75;Siegrist Lukas;;28;35.5;1;10.0;-3;1.25;10.0
o;4;18.75;Zenger Niklaus;***;6;57.25;5;18.5;1;-0.25;8.5
-;11;27.25;Kobel Marcel;;23;53.0;12;27.0;1;-0.25;8.75
+;12;36.0;Hügli Kaj;**;24;52.75;13;35.75;1;-0.25;10.0
o;12;46.0;Gerber Christian;**;6;57.25;7;47.25;-5;1.25;8.5

17e;Leuenberger Lukas (2001);;;;;;;;;;54.5
+;;;Zimmermann Nicolas (2001);;;;;;;;9.75
-;2;9.75;Wittwer Jan;*;11;56.0;5;8.5;3;-1.25;8.75
-;5;18.5;Schenkel Remo;*;27;35.75;6;18.25;1;-0.25;8.75
-;11;27.25;Kämpf Lorenz;*;22;53.25;12;27.0;1;-0.25;9.0
+;11;36.25;Niederhäuser Martin;;20;53.75;11;36.25;0;0.0;9.75
o;12;46.0;Lengacher Jonas;**;14;55.25;14;45.5;2;-0.5;8.5

17f;Fankhauser Reto;*;;;;;;;;;54.5
-;;;Binggeli Dominik;*;;;;;;;9.0
-;3;9.0;Graf Simon (2001);;30;35.0;4;8.75;1;-0.25;8.75
o;7;17.75;Aellen Philipp;*;13;55.5;8;17.5;1;-0.25;8.5
+;15;26.25;Staub Severin (2002);;28;35.5;13;26.75;-2;0.5;9.75
+;12;36.0;Kämpf Lorenz;*;22;53.25;12;36.0;0;0.0;10.0
o;12;46.0;Thomet Adrian;**;12;55.75;13;45.75;1;-0.25;8.5

17g;Zaugg Lars (2002);;;;;;;;;;54.5
+;;;Nufer Sämi;;;;;;;;9.75
o;2;9.75;Wittwer Josias;**;9;56.5;5;8.5;3;-1.25;8.75
o;5;18.5;Inniger Thomas;**;6;57.25;5;18.5;0;0.0;8.5
+;12;27.0;Ledermann Patrik;;28;35.5;12;27.0;0;0.0;10.0
o;8;37.0;Roch Vincent;**;7;57.0;7;37.25;-1;0.25;8.5
-;14;45.5;Hadorn Marco;*;19;54.0;16;45.0;2;-0.5;9.0

18a;Nufer Sämi;;;;;;;;;;54.25
o;;;Zaugg Lars (2002);;;;;;;;8.5
+;5;8.5;Zingg Michael;;33;34.25;5;8.5;0;0.0;9.75
-;6;18.25;Wüthrich Bruno;;28;35.5;6;18.25;0;0.0;8.75
-;12;27.0;Gerber Thomas;*;16;54.75;11;27.25;-1;0.25;8.75
-;13;35.75;Bremgartner Marcel;*;23;53.0;13;35.75;0;0.0;8.75
+;18;44.5;Rentsch Christian;*;22;53.25;17;44.75;-1;0.25;9.75

18b;De Fusco Dario;*;;;;;;;;;54.25
o;;;Camenzind Ivan;*;;;;;;;8.75
+;4;8.75;Galli Markus;;28;35.5;5;8.5;1;-0.25;9.75
o;5;18.5;Krähenbühl Tobias;***;8;56.75;9;17.25;4;-1.25;8.5
+;12;27.0;Roschi Adrian;;29;35.25;13;26.75;1;-0.25;9.75
o;9;36.75;Ramseier Fritz;**;11;56.0;6;37.5;-3;0.75;8.5
-;15;45.25;Zingrich Jan;;18;54.25;15;45.25;0;0.0;9.0

18c;Rolli Martin;**;;;;;;;;;54.25
-;;;Gnägi Florian;***;;;;;;;8.75
+;4;8.75;Tschumi Lukas (2001);*;15;55.0;1;10.0;-3;1.25;9.75
+;5;18.5;Zingrich Jan;;18;54.25;5;18.5;0;0.0;10.0
o;6;28.5;Schenk Patrick;***;8;56.75;7;28.25;1;-0.25;8.5
o;8;37.0;von Büren Stephan;**;14;55.25;8;37.0;0;0.0;8.5
-;14;45.5;Zürcher Remo;*;18;54.25;14;45.5;0;0.0;8.75

18d;Zingrich Jan;;;;;;;;;;54.25
o;;;Wüthrich Bruno;;;;;;;;8.5
+;5;8.5;Lüthi David (2002);;29;35.25;5;8.5;0;0.0;10.0
o;5;18.5;Rolli Martin;**;18;54.25;5;18.5;0;0.0;8.5
+;12;27.0;Ramseier Thomas;*;28;35.5;12;27.0;0;0.0;9.75
o;9;36.75;Hadorn Christian;*;17;54.5;11;36.25;2;-0.5;8.5
-;15;45.25;De Fusco Dario;*;18;54.25;15;45.25;0;0.0;9.0

18e;Tschan Matthias;*;;;;;;;;;54.25
-;;;Röthlisberger Simon;*;;;;;;;8.75
-;4;8.75;Roth Robin;*;31;34.75;5;8.5;1;-0.25;9.0
+;7;17.75;Siegrist Lukas;;28;35.5;5;18.5;-2;0.75;9.75
o;10;27.5;Matthey Mickaël;**;26;36.5;13;26.75;3;-0.75;8.5
+;12;36.0;Rentsch Christian;*;22;53.25;12;36.0;0;0.0;9.75
o;13;45.75;Zangger Dominik;*;12;55.75;13;45.75;0;0.0;8.5

18f;Graber Alfred;*;;;;;;;;;54.25
-;;;Mösching Andy;*;;;;;;;8.75
o;4;8.75;Steffen Valentin;*;14;55.25;4;8.75;0;0.0;8.75
+;8;17.5;Kappeler Ruedi;;32;34.5;9;17.25;1;-0.25;9.75
o;11;27.25;Luginbühl Hanspeter;**;7;57.0;11;27.25;0;0.0;8.5
+;13;35.75;Eggimann Marco;;19;54.0;13;35.75;0;0.0;10.0
o;13;45.75;Scheuner Michael;*;12;55.75;13;45.75;0;0.0;8.5

18g;Zürcher Remo;*;;;;;;;;;54.25
+;;;Hadorn Marco;*;;;;;;;9.75
o;2;9.75;Herger Matthias;**;7;57.0;5;8.5;3;-1.25;8.5
-;6;18.25;Joss David;*;23;53.0;5;18.5;-1;0.25;8.75
+;12;27.0;Pirkheim Elias (2002);;28;35.5;12;27.0;0;0.0;9.75
-;9;36.75;Camenzind Ivan;*;19;54.0;9;36.75;0;0.0;8.75
-;14;45.5;Rolli Martin;**;18;54.25;14;45.5;0;0.0;8.75

18h;Aebi Roger;;;;;;;;;;54.25
-;;;Heeb Thierry;;;;;;;;8.75
-;4;8.75;Berger René;**;28;35.5;5;8.5;1;-0.25;8.75
+;8;17.5;Klopfenstein Jan;;28;35.5;10;17.0;2;-0.5;10.0
o;10;27.5;Kneubühl Christian (2001);*;14;55.25;12;27.0;2;-0.5;8.5
+;12;36.0;Bernhard Marco;;23;53.0;12;36.0;0;0.0;9.75
o;13;45.75;Pulfer Thomas;*;12;55.75;13;45.75;0;0.0;8.5

18i;Schenk Adrian;*;;;;;;;;;54.25
o;;;Walther Marcel;*;;;;;;;8.5
o;5;8.5;Zangger Dominik;*;12;55.75;5;8.5;0;0.0;8.5
+;10;17.0;Vögeli Luca;;28;35.5;6;18.25;-4;1.25;10.0
-;12;27.0;Schütz Urs;**;18;54.25;11;27.25;-1;0.25;8.75
+;13;35.75;Graber Bänz;;24;52.75;13;35.75;0;0.0;9.75
-;14;45.5;Kämpf Alexander;**;20;53.75;16;45.0;2;-0.5;8.75

18j;Schwab David;;;;;;;;;;54.25
+;;;Zingg Michael;;;;;;;;10.0
o;1;10.0;Walther Adrian (2001);*;17;54.5;4;8.75;3;-1.25;8.5
+;5;18.5;Walther Marcel;*;35;26.75;6;18.25;1;-0.25;10.0
o;6;28.5;Steudler Kevin (2001);*;12;55.75;9;27.75;3;-0.75;8.5
o;8;37.0;Scheuner Michael;*;12;55.75;13;35.75;5;-1.25;8.5
-;14;45.5;Niederhäuser Martin;;20;53.75;17;44.75;3;-0.75;8.75

18k;Schütz Urs;**;;;;;;;;;54.25
-;;;Ramseier Thomas;*;;;;;;;8.75
-;4;8.75;Niederhäuser Martin;;20;53.75;4;8.75;0;0.0;8.75
+;8;17.5;Berger René;**;28;35.5;9;17.25;1;-0.25;9.75
-;11;27.25;Schenk Adrian;*;18;54.25;12;27.0;1;-0.25;8.75
o;12;36.0;Gerber Thomas;*;16;54.75;12;36.0;0;0.0;8.5
+;18;44.5;Bremgartner Marcel;*;23;53.0;18;44.5;0;0.0;9.75

19a;Weyermann Florian;**;;;;;;;;;54.0
+;;;Grossen John;*;;;;;;;10.0
o;1;10.0;Gobeli Patrick;**;7;57.0;1;10.0;0;0.0;8.5
o;5;18.5;Habegger Heinz;**;19;54.0;5;18.5;0;0.0;8.5
+;12;27.0;Graber Bänz;;24;52.75;11;27.25;-1;0.25;9.75
-;9;36.75;Schlüchter Colin;*;14;55.25;9;36.75;0;0.0;8.75
o;14;45.5;Staub Maël;*;13;55.5;14;45.5;0;0.0;8.5

19b;Eggimann Marco;;;;;;;;;;54.0
+;;;Roschi Adrian;;;;;;;;10.0
o;1;10.0;Burger Matthieu (2001);*;13;55.5;5;8.5;4;-1.5;8.5
o;5;18.5;Steffen Konrad;*;13;55.5;5;18.5;0;0.0;8.75
o;11;27.25;Fankhauser Thomas;*;19;54.0;12;27.0;1;-0.25;8.5
o;13;35.75;Graber Alfred;*;18;54.25;13;35.75;0;0.0;8.5
+;19;44.25;Graber Bänz;;24;52.75;19;44.25;0;0.0;9.75

19c;Camenzind Ivan;*;;;;;;;;;54.0
+;;;De Fusco Dario;*;;;;;;;9.75
o;2;9.75;Gnägi Florian;***;10;56.25;4;8.75;2;-1.0;8.5
+;6;18.25;Pirkheim Elias (2002);;28;35.5;5;18.5;-1;0.25;10.0
o;7;28.25;Moser Michael;**;14;55.25;7;28.25;0;0.0;8.5
-;9;36.75;Zürcher Remo;*;18;54.25;9;36.75;0;0.0;8.75
o;14;45.5;Burger Matthieu (2001);*;13;55.5;14;45.5;0;0.0;8.5

19d;Waber Lorenz;*;;;;;;;;;54.0
-;;;Gehrig Philipp;**;;;;;;;9.0
+;3;9.0;Heeb Thierry;;33;34.25;4;8.75;1;-0.25;9.75
o;4;18.75;Graber Willy;***;5;57.5;5;18.5;1;-0.25;8.5
o;11;27.25;Roch Vincent;**;7;57.0;10;27.5;-1;0.25;8.5
+;13;35.75;Waeber Marco;;23;53.0;13;35.75;0;0.0;9.75
o;14;45.5;Kneubühl Christian (2001);*;14;55.25;14;45.5;0;0.0;8.5

19e;Hadorn Marco;*;;;;;;;;;54.0
o;;;Zürcher Remo;*;;;;;;;8.5
o;5;8.5;Schenk Thomas;*;19;54.0;5;8.5;0;0.0;8.5
+;10;17.0;Stalder Kurt;;14;55.25;6;18.25;-4;1.25;9.75
+;13;26.75;Wüthrich Bruno;;28;35.5;12;27.0;-1;0.25;9.75
o;10;36.5;Aellen Florian;*;12;55.75;8;37.0;-2;0.5;8.5
-;16;45.0;Zaugg Lars (2002);;17;54.5;14;45.5;-2;0.5;9.0

19f;Fankhauser Thomas;*;;;;;;;;;54.0
+;;;Staub Maël;*;;;;;;;9.75
o;2;9.75;Gehrig Philipp;**;16;54.75;3;9.0;1;-0.75;8.75
o;5;18.5;Ramseier Fritz;**;11;56.0;3;19.0;-2;0.5;8.5
+;12;27.0;Eggimann Marco;;19;54.0;11;27.25;-1;0.25;10.0
o;8;37.0;Herger Matthias;**;7;57.0;7;37.25;-1;0.25;8.5
o;14;45.5;Rüegsegger Ueli;*;16;54.75;17;44.75;3;-0.75;8.5

19g;Schenk Thomas;*;;;;;;;;;54.0
o;;;Zehnder Jürg;*;;;;;;;8.5
+;5;8.5;Hadorn Marco;*;19;54.0;5;8.5;0;0.0;9.75
+;6;18.25;Graber Bänz;;24;52.75;4;18.75;-2;0.5;9.75
o;8;28.0;Roschi Ruedi;**;9;56.5;7;28.25;-1;0.25;8.5
-;10;36.5;Kämpf Alexander;**;20;53.75;11;36.25;1;-0.25;8.75
o;15;45.25;Wicki Cédric;;14;55.25;15;45.25;0;0.0;8.75

19h;Habegger Heinz;**;;;;;;;;;54.0
+;;;Joss David;*;;;;;;;10.0
o;1;10.0;Roschi Ruedi;**;9;56.5;5;8.5;4;-1.5;8.5
+;5;18.5;Weyermann Florian;**;19;54.0;5;18.5;0;0.0;9.75
o;7;28.25;Mathys Simon;**;9;56.5;7;28.25;0;0.0;8.5
-;9;36.75;Burger Matthieu (2001);*;13;55.5;9;36.75;0;0.0;8.75
o;14;45.5;Iseli Marco;**;13;55.5;14;45.5;0;0.0;8.5

20a;Niederhäuser Martin;;;;;;;;;;53.75
-;;;Kappeler Ruedi;;;;;;;;8.75
-;4;8.75;Schütz Urs;**;18;54.25;4;8.75;0;0.0;8.75
-;8;17.5;Rüegsegger Ueli;*;16;54.75;6;18.25;-2;0.75;9.0
+;14;26.5;Heeb Thierry;;33;34.25;17;25.75;3;-0.75;9.75
o;11;36.25;Leuenberger Lukas (2001);;17;54.5;11;36.25;0;0.0;8.5
-;17;44.75;Schwab David;;18;54.25;14;45.5;-3;0.75;9.0

20b;Kämpf Alexander;**;;;;;;;;;53.75
-;;;Gerber Thomas;*;;;;;;;8.75
-;4;8.75;Rentsch Christian;*;22;53.25;4;8.75;0;0.0;8.75
-;8;17.5;Berger Ueli;*;23;53.0;5;18.5;-3;1.0;8.75
+;15;26.25;Blatter Remo;;29;35.25;13;26.75;-2;0.5;10.0
-;11;36.25;Schenk Thomas;*;19;54.0;10;36.5;-1;0.25;8.75
-;16;45.0;Schenk Adrian;*;18;54.25;14;45.5;-2;0.5;8.75

20c;Zehnder Jürg;*;;;;;;;;;53.75
+;;;Schenk Thomas;*;;;;;;;9.75
o;2;9.75;von Weissenfluh Kilian;**;6;57.25;4;8.75;2;-1.0;8.5
+;6;18.25;Ledermann Patrik;;28;35.5;5;18.5;-1;0.25;9.75
-;8;28.0;Gehrig Philipp;**;16;54.75;9;27.75;1;-0.25;8.75
o;9;36.75;Steffen Konrad;*;13;55.5;8;37.0;-1;0.25;8.5
o;15;45.25;Thöni Reto (2001);;15;55.0;15;45.25;0;0.0;8.5

21a;Kämpf Marcel;*;;;;;;;;;53.5
-;;;Pulfer Thomas;*;;;;;;;8.75
+;4;8.75;Kyburz Silas;;33;34.25;5;8.5;1;-0.25;10.0
o;4;18.75;Käser Remo;***;7;57.0;5;18.5;1;-0.25;8.5
-;11;27.25;Joss David;*;23;53.0;11;27.25;0;0.0;8.75
-;12;36.0;Schwander Severin;**;16;54.75;12;36.0;0;0.0;8.75
-;17;44.75;Waeber Marco;;23;53.0;19;44.25;2;-0.5;8.75

22a;Walther Patrick;*;;;;;;;;;53.25
-;;;Rentsch Christian;*;;;;;;;8.75
-;4;8.75;Aellen Philipp;*;13;55.5;4;8.75;0;0.0;8.75
+;8;17.5;Steffen Loris (2001);;34;34.0;10;17.0;2;-0.5;9.75
o;11;27.25;Berger Lorenz;**;12;55.75;11;27.25;0;0.0;8.75
-;12;36.0;Gnägi Damian;;13;55.5;13;35.75;1;-0.25;8.75
o;17;44.75;Röthlisberger Simon;*;17;54.5;17;44.75;0;0.0;8.5

22b;Rentsch Christian;*;;;;;;;;;53.25
-;;;Walther Patrick;*;;;;;;;8.75
-;4;8.75;Kämpf Alexander;**;20;53.75;4;8.75;0;0.0;8.75
+;8;17.5;Wicki Cédric;;14;55.25;6;18.25;-2;0.75;10.0
o;10;27.5;Krähenbühl Tobias;***;8;56.75;11;27.25;1;-0.25;8.5
o;12;36.0;Tschan Matthias;*;18;54.25;12;36.0;0;0.0;8.75
o;17;44.75;Nufer Sämi;;18;54.25;18;44.5;1;-0.25;8.5

22c;Kämpf Lorenz;*;;;;;;;;;53.25
-;;;Wüthrich Niklaus;**;;;;;;;8.75
+;4;8.75;Schwab Marc;;28;35.5;2;9.75;-2;1.0;9.75
o;5;18.5;Roch Vincent;**;7;57.0;8;17.5;3;-1.0;8.5
-;12;27.0;Leuenberger Lukas (2001);;17;54.5;11;27.25;-1;0.25;9.0
o;12;36.0;Fankhauser Reto;*;17;54.5;12;36.0;0;0.0;8.75
o;17;44.75;Hurschler Thomas;**;14;55.25;14;45.5;-3;0.75;8.5

23a;Bremgartner Marcel;*;;;;;;;;;53.0
-;;;Urfer Simon;*;;;;;;;8.75
o;4;8.75;Ramseier Thomas;*;28;35.5;4;8.75;0;0.0;8.5
+;9;17.25;Neukomm Thierry;;32;34.5;8;17.5;-1;0.25;10.0
o;11;27.25;Walther Adrian (2001);*;17;54.5;11;27.25;0;0.0;8.5
-;13;35.75;Nufer Sämi;;18;54.25;13;35.75;0;0.0;8.75
o;18;44.5;Schütz Urs;**;18;54.25;18;44.5;0;0.0;8.5

23b;Kobel Marcel;;;;;;;;;;53.0
+;;;Blatter Remo;;;;;;;;10.0
o;1;10.0;Gmür Pirmin;**;12;55.75;5;8.5;4;-1.5;8.5
o;5;18.5;Tschumi Lukas (2001);*;15;55.0;5;18.5;0;0.0;8.5
-;12;27.0;Urfer Simon;*;17;54.5;11;27.25;-1;0.25;8.75
o;13;35.75;Staub Maël;*;13;55.5;13;35.75;0;0.0;8.75
o;18;44.5;Gnägi Damian;;13;55.5;13;45.75;-5;1.25;8.5

23c;Waeber Marco;;;;;;;;;;53.0
-;;;Dummermuth Ueli;;;;;;;;8.75
o;4;8.75;von Büren Stephan;**;14;55.25;5;8.5;1;-0.25;8.5
+;9;17.25;Kämpf Andreas;;33;34.25;9;17.25;0;0.0;10.0
o;11;27.25;Hurschler Thomas;**;14;55.25;16;26.0;5;-1.25;8.5
o;13;35.75;Waber Lorenz;*;19;54.0;13;35.75;0;0.0;8.5
-;19;44.25;Kämpf Marcel;*;21;53.5;17;44.75;-2;0.5;8.75

23d;Reust Markus;*;;;;;;;;;53.0
o;;;Tschumi Lukas (2001);*;;;;;;;8.75
