5376-2021-07-24_Buendner_Glarner_Kantonalschwingfest-ST

1a;Leuppi Samir;***;;;;;;;;;58.25
+;8;46.25;Stadelmann Patrick;;11;55.0;7;46.5;-1;0.25;10.0

6b;Bollhalder Manuel;*;;;;;;;;;56.25
-;;;Pianta Christian;*;;;;;;;9.0
+;3;9.0;Hänni Marc;;9;55.5;1;10.0;-2;1.0;10.0
o;3;19.0;Hochholdinger Roman;**;3;57.0;2;19.75;-1;0.75;8.5
+;7;27.5;Nogler Livio;;19;52.75;9;27.0;2;-0.5;10.0
o;5;37.5;Poltera Andrin;*;8;55.75;7;37.0;2;-0.5;8.75
+;8;46.25;Wüthrich Severin;;12;54.75;8;46.25;0;0.0;10.0

6c;Rotach Lars;*;;;;;;;;;56.25
o;;;Wey Nicola;*;;;;;;;8.5
+;5;8.5;Fässler Tobias;;9;55.5;2;9.75;-3;1.25;9.75
+;6;18.25;Langenegger Beat;;15;54.0;5;18.5;-1;0.25;9.75
+;6;28.0;Herger Fabian;*;10;55.25;6;28.0;0;0.0;9.75
+;4;37.75;Pianta Christian;*;13;54.5;5;37.5;1;-0.25;9.75
o;3;47.5;Orlik Armon;***;2;57.25;3;47.5;0;0.0;8.75

7a;Schmid Patrick;*;;;;;;;;;56.0
+;;;Bernold Edi;**;;;;;;;10.0
o;1;10.0;Kindlimann Fabian;***;7;56.0;4;8.75;3;-1.25;8.5
+;5;18.5;Hobi Ignaz;;9;55.5;5;18.5;0;0.0;10.0
-;4;28.5;Schlegel Reto;*;5;56.5;4;28.5;0;0.0;9.0
+;5;37.5;Feldmann Patrik (2005);;12;54.75;5;37.5;0;0.0;10.0
o;3;47.5;Geisser Lars;**;3;57.0;5;47.0;2;-0.5;8.5

7b;Lazzarotto Salomon (2005);;;;;;;;;;56.0
+;;;Frei Felix (2003);;;;;;;;9.75
-;2;9.75;Mannhart Jan (2003);;13;54.5;1;10.0;-1;0.25;9.0
o;4;18.75;Lüthi Manuel (2003);*;12;54.75;6;18.25;2;-0.5;8.5
-;8;27.25;Zumbach Michael;;18;53.0;9;27.0;1;-0.25;8.75
+;10;36.0;Wittenwiler Mathias (2003);;15;54.0;11;35.75;1;-0.25;10.0
+;9;46.0;Bütler Roman (2004);;15;54.0;11;45.5;2;-0.5;10.0

7c;Kindlimann Fabian;***;;;;;;;;;56.0
-;;;Orlik Armon;***;;;;;;;8.75
+;4;8.75;Schmid Patrick;*;7;56.0;1;10.0;-3;1.25;10.0
+;4;18.75;Elmer Daniel;*;9;55.5;2;19.75;-2;1.0;10.0
