3377-2016-05-01_111_Thurgauer_Kantonales_Schwingfest-ST

1a;Orlik Armon;**;;;;;;;;;58.75
o;4;38.25;Krähenbühl Tobias;**;6;57.0;7;37.5;3;-0.75;8.75
o;8;47.0;Zbinden Marc;*;6;57.0;7;47.25;-1;0.25;8.75

11d;Bernold Edi;**;;;;;;;;;55.75
o;;;Steiner Michael;**;;;;;;;8.5
o;5;8.5;Notz Beni;***;6;57.0;4;8.75;-1;0.25;8.5
+;11;17.0;Hari Michi;;14;55.0;6;18.25;-5;1.25;10.0
+;11;27.0;Keller Dominic;;12;55.5;5;28.5;-6;1.5;10.0
-;9;37.0;Roth Lukas;*;15;54.75;8;37.25;-1;0.25;9.0
+;12;46.0;Dörig Erich;*;16;54.5;12;46.0;0;0.0;9.75

11e;Oertig Dominik;*;;;;;;;;;55.75
+;;;Akeret Benno;*;;;;;;;9.75
-;2;9.75;Bühler Ernst;**;4;57.75;3;9.0;1;-0.75;8.75
+;5;18.5;Koch Reto;;13;55.25;1;20.0;-4;1.5;10.0
-;5;28.5;Zwyssig Raphael;***;9;56.25;9;27.5;4;-1.0;8.75
+;8;37.25;Hari Michi;;14;55.0;10;36.75;2;-0.5;9.75
o;8;47.0;Schneider Domenic;**;5;57.25;7;47.25;-1;0.25;8.75

11f;Koller Fabian;;;;;;;;;;55.75
+;;;Trümpy Simon (1998);;;;;;;;9.75
+;2;9.75;Fankhauser Jürg;*;19;53.75;5;8.5;3;-1.25;10.0
-;2;19.75;Gartmann Mauro;;21;53.25;4;18.75;2;-1.0;9.0
o;4;28.75;Wey Nicola;*;12;55.5;11;27.0;7;-1.75;8.5
+;8;37.25;Schönenberger Philipp;;14;55.0;11;36.5;3;-0.75;10.0
o;7;47.25;Oettli Marco;;8;56.5;9;46.75;2;-0.5;8.5

11g;Siegenthaler Tobias;*;;;;;;;;;55.75
+;;;Notz Hans;*;;;;;;;10.0
o;1;10.0;Nägeli Marco;*;12;55.5;2;9.75;1;-0.25;8.5
+;5;18.5;Beck Dominik;;14;55.0;2;19.75;-3;1.25;10.0
+;5;28.5;Dumelin David;*;6;57.0;5;28.5;0;0.0;10.0
o;3;38.5;Giger Samuel (1998);**;3;58.0;1;39.25;-2;0.75;8.5
o;8;47.0;Bühler Hannes;*;5;57.25;7;47.25;-1;0.25;8.75

12a;Hungerbühler Marcel;;;;;;;;;;55.5
+;;;Heierli Pascal (1999);;;;;;;;9.75
o;2;9.75;Giger Urs;*;13;55.25;5;8.5;3;-1.25;8.5
+;6;18.25;Burkhard Roger;;26;35.25;6;18.25;0;0.0;10.0
-;6;28.25;Brügger Stefan;*;16;54.5;10;27.25;4;-1.0;8.75
o;9;37.0;Schmid Patrick;*;10;56.0;11;36.5;2;-0.5;8.5
+;14;45.5;Wetter Dominik;;18;54.0;14;45.5;0;0.0;10.0

12b;Odermatt Christoph;*;;;;;;;;;55.5
+;;;Giger Urs;*;;;;;;;10.0
+;1;10.0;Dumelin David;*;6;57.0;1;10.0;0;0.0;10.0
o;1;20.0;Giger Samuel (1998);**;3;58.0;2;19.75;1;-0.25;8.5
-;5;28.5;Krähenbühl Lukas;*;12;55.5;6;28.25;1;-0.25;8.75
o;8;37.25;Coray Beda;*;13;55.25;10;36.75;2;-0.5;8.5
+;13;45.75;Pfleghart Remo;;16;54.5;17;44.75;4;-1.0;9.75

12c;Frick Andreas;*;;;;;;;;;55.5
o;;;Coray Beda;*;;;;;;;8.5
+;5;8.5;Vogel Thomas;;13;55.25;1;10.0;-4;1.5;10.0
+;5;18.5;Keller Dominic;;12;55.5;1;20.0;-4;1.5;10.0
o;5;28.5;Bösch Daniel;***;2;58.25;6;28.25;1;-0.25;8.5
o;9;37.0;Zbinden Marc;*;6;57.0;8;37.25;-1;0.25;8.5
+;14;45.5;Gartmann Mauro;;21;53.25;17;44.75;3;-0.75;10.0

12d;Glaus Martin;***;;;;;;;;;55.5
-;;;Zwyssig Raphael;***;;;;;;;8.75
+;4;8.75;Schmid Patrick;*;10;56.0;2;9.75;-2;1.0;10.0
+;4;18.75;Oettli Marco;;8;56.5;1;20.0;-3;1.25;9.75
o;5;28.5;Giger Samuel (1998);**;3;58.0;2;29.5;-3;1.0;8.5
+;9;37.0;Hochholdinger Roman;**;17;54.25;9;37.0;0;0.0;9.75
o;9;46.75;Schläpfer Matthias;*;7;56.75;9;46.75;0;0.0;8.75

12e;Götti Samuel (1998);;;;;;;;;;55.5
+;;;Furrer Matthias;;;;;;;;9.75
o;2;9.75;Frauchiger Remo;;14;55.0;2;9.75;0;0.0;8.5
-;6;18.25;Dörig Erich;*;16;54.5;10;17.25;4;-1.0;8.75
-;11;27.0;Trümpy Simon (1998);;17;54.25;11;27.0;0;0.0;8.75
+;14;35.75;Hostettler Roman;;19;53.75;11;36.5;-3;0.75;10.0
+;13;45.75;Raschle Adrian;;18;54.0;14;45.5;1;-0.25;9.75

12f;Kuster Marcel;**;;;;;;;;;55.5
+;;;Vogel Beat;*;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;2;58.25;2;9.75;1;-0.25;8.5
+;5;18.5;Bernold Michael (1999);;14;55.0;5;18.5;0;0.0;9.75
+;6;28.25;Ammann Rico;*;12;55.5;5;28.5;-1;0.25;10.0
o;4;38.25;Orlik Armon;**;1;58.75;2;38.75;-2;0.5;8.5
-;9;46.75;Nägeli Marco;*;12;55.5;9;46.75;0;0.0;8.75

12g;Wey Nicola;*;;;;;;;;;55.5
o;;;Zbinden Marc;*;;;;;;;8.5
-;5;8.5;Rhyner Michael;**;7;56.75;5;8.5;0;0.0;8.75
+;10;17.25;Schlegel Sämi (2000);;25;35.5;6;18.25;-4;1.0;9.75
+;11;27.0;Koller Fabian;;11;55.75;4;28.75;-7;1.75;9.75
-;10;36.75;Krähenbühl Lukas;*;12;55.5;9;37.0;-1;0.25;8.75
+;14;45.5;Notz Hans;*;16;54.5;13;45.75;-1;0.25;10.0

12h;Krähenbühl Lukas;*;;;;;;;;;55.5
o;;;Schmid Patrick;*;;;;;;;8.5
+;5;8.5;Raschle Adrian;;18;54.0;2;9.75;-3;1.25;9.75
+;6;18.25;Marty Jaime (2000);;16;54.5;5;18.5;-1;0.25;10.0
-;6;28.25;Odermatt Christoph;*;12;55.5;5;28.5;-1;0.25;8.75
-;9;37.0;Wey Nicola;*;12;55.5;10;36.75;1;-0.25;8.75
+;13;45.75;Egli Martin;;15;54.75;11;46.25;-2;0.5;9.75

12i;Nägeli Marco;*;;;;;;;;;55.5
+;;;Hämmerli Gian-Franco;*;;;;;;;9.75
+;2;9.75;Siegenthaler Tobias;*;11;55.75;1;10.0;-1;0.25;9.75
-;3;19.5;Koller Martin;*;6;57.0;4;18.75;1;-0.75;8.75
-;6;28.25;Notz Armin;*;11;55.75;6;28.25;0;0.0;8.75
+;9;37.0;Beck Dominik;;14;55.0;10;36.75;1;-0.25;9.75
-;9;46.75;Kuster Marcel;**;12;55.5;9;46.75;0;0.0;8.75

12j;Kammermann Thomas;*;;;;;;;;;55.5
-;;;Wolfer Lukas;;;;;;;;8.75
o;4;8.75;Forrer Arnold;***;7;56.75;5;8.5;1;-0.25;8.5
+;10;17.25;Schönenberger Philipp;;14;55.0;6;18.25;-4;1.0;10.0
+;10;27.25;Blaser Niklas;;19;53.75;6;28.25;-4;1.0;9.75
o;9;37.0;Notz Beni;***;6;57.0;8;37.25;-1;0.25;8.5
+;14;45.5;Oettli Silvio (2000);;16;54.5;12;46.0;-2;0.5;10.0

12k;Ammann Rico;*;;;;;;;;;55.5
-;;;Brügger Stefan;*;;;;;;;8.75
+;4;8.75;Keller Andreas;;18;54.0;2;9.75;-2;1.0;9.75
+;5;18.5;Salnajs Leo (1998);;25;35.5;5;18.5;0;0.0;10.0
o;5;28.5;Kuster Marcel;**;12;55.5;6;28.25;1;-0.25;8.5
+;9;37.0;Burkhard Patrick;*;14;55.0;11;36.5;2;-0.5;10.0
o;8;47.0;Hersche Martin;**;7;56.75;8;47.0;0;0.0;8.5

12l;Keller Dominic;;;;;;;;;;55.5
+;;;Hari Michi;;;;;;;;10.0
+;1;10.0;Brügger Stefan;*;16;54.5;4;8.75;3;-1.25;10.0
o;1;20.0;Frick Andreas;*;12;55.5;5;18.5;4;-1.5;8.5
o;5;28.5;Bernold Edi;**;11;55.75;11;27.0;6;-1.5;8.75
+;8;37.25;Schweingruber Thomas;;18;54.0;10;36.75;2;-0.5;9.75
o;8;47.0;Freuler Franz;**;9;56.25;11;46.25;3;-0.75;8.5

12m;Bickel Roman (1998);;;;;;;;;;55.5
+;;;Straub Paul;;;;;;;;9.75
-;2;9.75;Kuster Thomas;*;16;54.5;4;8.75;2;-1.0;8.75
-;5;18.5;Keller Lukas;;16;54.5;5;18.5;0;0.0;8.75
+;10;27.25;Truniger Manuel;;17;54.25;10;27.25;0;0.0;10.0
o;8;37.25;Wickli Beat;**;8;56.5;10;36.75;2;-0.5;8.5
+;13;45.75;Blaser Jan;*;18;54.0;14;45.5;1;-0.25;9.75

12n;Wolfer Lukas;;;;;;;;;;55.5
-;;;Kammermann Thomas;*;;;;;;;8.75
o;4;8.75;Koch Reto;;13;55.25;1;10.0;-3;1.25;8.5
+;10;17.25;Biäsch Christian;;20;53.5;6;18.25;-4;1.0;9.75
+;11;27.0;Burkhard Roger;;26;35.25;12;26.75;1;-0.25;10.0
+;9;37.0;Fankhauser Jürg;*;19;53.75;11;36.5;2;-0.5;10.0
o;8;47.0;Straub Robin;*;6;57.0;7;47.25;-1;0.25;8.5

13a;Coray Beda;*;;;;;;;;;55.25
+;;;Frick Andreas;*;;;;;;;9.75
o;2;9.75;Orlik Armon;**;1;58.75;1;10.0;-1;0.25;8.5
+;6;18.25;Tanner Adrian;;18;54.0;2;19.75;-4;1.5;10.0
o;6;28.25;Schläpfer Markus;**;7;56.75;5;28.5;-1;0.25;8.5
+;10;36.75;Odermatt Christoph;*;12;55.5;8;37.25;-2;0.5;10.0
o;9;46.75;Notz Beni;***;6;57.0;7;47.25;-2;0.5;8.5

13b;Bernold Christian;*;;;;;;;;;55.25
-;;;Blaser Jan;*;;;;;;;8.75
o;4;8.75;Hersche Martin;**;7;56.75;4;8.75;0;0.0;8.5
+;10;17.25;Horner Sämi;;20;53.5;5;18.5;-5;1.25;10.0
-;10;27.25;Fässler Patrick;;17;54.25;6;28.25;-4;1.0;9.0
-;12;36.25;Tanner Adrian;;18;54.0;10;36.75;-2;0.5;9.0
+;15;45.25;Fankhauser Jürg;*;19;53.75;16;45.0;1;-0.25;10.0

13c;Vogel Thomas;;;;;;;;;;55.25
+;;;Biäsch Christian;;;;;;;;10.0
o;1;10.0;Frick Andreas;*;12;55.5;5;8.5;4;-1.5;8.5
+;5;18.5;Tremp Remo (1999);;26;35.25;6;18.25;1;-0.25;9.75
o;6;28.25;Kuster Thomas;*;16;54.5;10;27.25;4;-1.0;8.5
o;10;36.75;Koch Reto;;13;55.25;9;37.0;-1;0.25;8.5
+;15;45.25;Keller Andreas;;18;54.0;14;45.5;-1;0.25;10.0

13d;Raymann David;;;;;;;;;;55.25
+;;;Frei Dominic;;;;;;;;10.0
o;1;10.0;Notz Armin;*;11;55.75;4;8.75;3;-1.25;8.5
o;5;18.5;Rychen Roger;**;8;56.5;4;18.75;-1;0.25;8.5
+;11;27.0;Pfleghart Remo;;16;54.5;11;27.0;0;0.0;9.75
o;10;36.75;Koller Martin;*;6;57.0;8;37.25;-2;0.5;8.5
+;15;45.25;Blaser Andre (2000);;22;53.0;18;44.5;3;-0.75;10.0

13e;Koch Thomas;;;;;;;;;;55.25
+;;;Bommer Christoph;;;;;;;;10.0
