4404-2019-05-12_Zuercher_Kantonalschwingfest-ST

1a;Leuppi Samir;**;;;;;;;;;58.25
17e;Büchler Livio (2001);;;;;;;;;;53.75
+;;;Frauenfelder Florian (2001);;;;;;;;9.75
o;2;9.75;Landolt Reto;*;11;55.25;4;8.75;2;-1.0;8.5
o;7;18.25;Kobler Janosch;;10;55.5;7;18.25;0;0.0;8.5
+;12;26.75;Furrer Damian;;23;35.25;12;26.75;0;0.0;10.0
o;9;36.75;Schnurrenberger Roman;**;8;56.0;12;36.0;3;-0.75;8.5
o;14;45.25;Straub Paul;;11;55.25;13;45.5;-1;0.25;8.5

17f;Hänni Marc (2001);;;;;;;;;;53.75
o;;;Kobler Janosch;;;;;;;;8.5
+;5;8.5;Furrer Damian;;23;35.25;5;8.5;0;0.0;9.75
+;7;18.25;Frei Felix (2003);;23;35.25;7;18.25;0;0.0;10.0
o;6;28.25;Landolt Reto;*;11;55.25;11;27.0;5;-1.25;8.5
o;9;36.75;Funk Nicola;*;6;56.5;8;37.0;-1;0.25;8.5
o;14;45.25;Brunner Timon;;11;55.25;14;45.25;0;0.0;8.5

18a;Furrer Matthias;;;;;;;;;;53.5
+;;;Gamper Gian (2001);;;;;;;;9.75
o;2;9.75;Schmid Patrick;*;12;55.0;3;9.0;1;-0.75;8.5
+;7;18.25;Plüer Fabian (2003);;12;55.0;7;18.25;0;0.0;9.75
o;7;28.0;Elmer Daniel;*;8;56.0;8;27.75;1;-0.25;8.5
o;10;36.5;Nock Benjamin (2001);;5;56.75;9;36.75;-1;0.25;8.5
o;15;45.0;Horner Sämi;;12;55.0;15;45.0;0;0.0;8.5

18b;Buff Alwin;;;;;;;;;;53.5
+;;;Bossert Alain (2001);;;;;;;;9.75
o;2;9.75;Notz Armin;*;16;54.0;4;8.75;2;-1.0;8.5
o;7;18.25;Giger Lorenz;;17;53.75;7;18.25;0;0.0;8.5
+;12;26.75;Bader Sandro (2002);;23;35.25;12;26.75;0;0.0;9.75
o;10;36.5;Schmid Gian (2003);;13;54.75;10;36.5;0;0.0;8.5
o;15;45.0;Kirchmeier Christof;;12;55.0;15;45.0;0;0.0;8.5

19a;Aerne Christian;*;;;;;;;;;53.25
o;;;Burkhard Patrick;*;;;;;;;8.75
o;4;8.75;Schmidlin Tobias (2001);;4;57.0;1;10.0;-3;1.25;8.75
+;9;17.5;Hauser Simon;;13;54.75;7;18.25;-2;0.75;9.75
o;10;27.25;Wetter Silvan;;14;54.5;9;27.5;-1;0.25;8.75
o;12;36.0;Bollhalder Manuel (2001);;9;55.75;11;36.25;-1;0.25;8.5
-;17;44.5;Egli Martin;;15;54.25;13;45.5;-4;1.0;8.75

19b;Fuster Arjuna (2003);;;;;;;;;;53.25
-;;;Stadelmann Valentin;;;;;;;;8.75
o;4;8.75;Blaser Andre;;16;54.0;5;8.5;1;-0.25;8.5
-;10;17.25;Schönenberger Björn;;24;34.75;10;17.25;0;0.0;8.75
+;15;26.0;Zemp Stefan (2002);;27;34.0;17;25.5;2;-0.5;10.0
o;12;36.0;Plüer Fabian (2003);;12;55.0;10;36.5;-2;0.5;8.75
o;16;44.75;Steiner Joel;;16;54.0;18;44.25;2;-0.5;8.5

20a;Anliker Andri (2003);;;;;;;;;;52.75
-;;;Bucher Roland;;;;;;;;8.75
+;4;8.75;Zemp Stefan (2002);;27;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Bickel Roman;*;6;56.5;7;18.25;2;-0.5;8.5
o;10;27.25;Schuler Martin;;10;55.5;10;27.25;0;0.0;8.5
o;13;35.75;Bucher Roman (2003);;15;54.25;13;35.75;0;0.0;8.5
o;18;44.25;Blaser Andre;;16;54.0;18;44.25;0;0.0;8.5

20b;Stadelmann Valentin;;;;;;;;;;52.75
-;;;Fuster Arjuna (2003);;;;;;;;8.75
o;4;8.75;Frauenfelder Florian (2001);;12;55.0;5;8.5;1;-0.25;8.5
+;10;17.25;Vontobel Florian (2001);;27;34.0;11;17.0;1;-0.25;10.0
o;10;27.25;Alder Armin;*;14;54.5;10;27.25;0;0.0;8.5
o;13;35.75;Knecht Remo (2002);;13;54.75;13;35.75;0;0.0;8.5
o;18;44.25;Kiener Raphael;;15;54.25;18;44.25;0;0.0;8.5

20c;Tobler Pius (2001);;;;;;;;;;52.75
+;;;Baumgartner Björn (2003);;;;;;;;10.0
o;1;10.0;Burkhard Tobias;;12;55.0;2;9.75;1;-0.25;8.5
-;6;18.5;Leuppi Karim;*;14;54.5;7;18.25;1;-0.25;8.75
o;10;27.25;Rüegg Patrick;;8;56.0;9;27.5;-1;0.25;8.5
o;13;35.75;Zumbach Michael;;14;54.5;13;35.75;0;0.0;8.5
o;18;44.25;Frauenfelder Florian (2001);;12;55.0;14;45.25;-4;1.0;8.5

21a;Bürgler Patrick;;;;;;;;;;35.75
+;;;Zimmermann Amir;;;;;;;;10.0
o;1;10.0;Wittenwiler Roman;*;12;55.0;5;8.5;4;-1.5;8.5
o;6;18.5;Rotach Lars;;14;54.5;5;18.75;-1;0.25;8.5
-;11;27.0;Zumbach Michael;;14;54.5;11;27.0;0;0.0;8.75

22a;Bucher Roland;;;;;;;;;;35.5
-;;;Anliker Andri (2003);;;;;;;;8.75
o;4;8.75;Klauser Guido;;22;35.5;5;8.5;1;-0.25;8.5
o;10;17.25;Zumbach Michael;;14;54.5;10;17.25;0;0.0;8.5
+;16;25.75;Pallaoro Luca;;26;34.25;16;25.75;0;0.0;9.75

22b;Klauser Guido;;;;;;;;;;35.5
o;;;Burkhard Tobias;;;;;;;;8.5
+;5;8.5;Bucher Roland;;22;35.5;4;8.75;-1;0.25;10.0
o;6;18.5;Schläpfer Markus;**;10;55.5;7;18.25;1;-0.25;8.5
o;11;27.0;Schlegel Werner (2002);*;7;56.25;8;27.75;-3;0.75;8.5

22c;Baumgartner Björn (2003);;;;;;;;;;35.5
o;;;Tobler Pius (2001);;;;;;;;8.5
o;5;8.5;Frei Felix (2003);;23;35.25;5;8.5;0;0.0;8.5
+;11;17.0;Zimmermann Amir;;27;34.0;11;17.0;0;0.0;10.0
o;11;27.0;Ackermann Rico (2003);;16;54.0;11;27.0;0;0.0;8.5

22d;Laager Michael (2001);;;;;;;;;;35.5
+;;;Bader Sandro (2002);;;;;;;;10.0
o;1;10.0;Kammermann Thomas;*;7;56.25;5;8.5;4;-1.5;8.5
o;6;18.5;Vollenweider Jeremy;*;4;57.0;5;18.75;-1;0.25;8.5
o;11;27.0;Forster Christian;;11;55.25;11;27.0;0;0.0;8.5

22e;Biser Niklaus;;;;;;;;;;35.5
o;;;Kirchmeier Christof;;;;;;;;8.5
o;5;8.5;Rüegg Patrick;;8;56.0;4;8.75;-1;0.25;8.5
o;11;17.0;Tschudi Mario (2001);;15;54.25;10;17.25;-1;0.25;8.5
+;17;25.5;Zimmermann Amir;;27;34.0;17;25.5;0;0.0;10.0

22f;Schiesser Patrik;;;;;;;;;;35.5
+;;;Kiener Raphael;;;;;;;;9.75
o;2;9.75;Marty Jaime;*;8;56.0;4;8.75;2;-1.0;8.5
-;7;18.25;Ackermann Rico (2003);;16;54.0;7;18.25;0;0.0;8.75
o;11;27.0;Kunz Daniel;*;16;54.0;11;27.0;0;0.0;8.5

22g;Landolt Cla;;;;;;;;;;35.5
+;;;Frei Felix (2003);;;;;;;;10.0
o;1;10.0;Schläpfer Matthias;*;14;54.5;4;8.75;3;-1.25;8.5
o;6;18.5;Wey Nicola;*;3;57.25;5;18.75;-1;0.25;8.5
o;11;27.0;Bollier Fabian;;16;54.0;11;27.0;0;0.0;8.5

22h;Wingeier Janik;;;;;;;;;;35.5
-;;;Steiner Joel;;;;;;;;8.75
+;4;8.75;Schönenberger Björn;;24;34.75;4;8.75;0;0.0;9.75
o;6;18.5;Keller Andreas;*;6;56.5;7;18.25;1;-0.25;8.5
o;11;27.0;Inauen Aurel;;12;55.0;11;27.0;0;0.0;8.5

22i;Dändliker Hansheinrich;;;;;;;;;;35.5
o;;;Pianta Christian;;;;;;;;8.5
+;5;8.5;Schwager Ivo;;22;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Giger Urs;*;11;55.25;8;17.75;2;-0.75;8.5
o;11;27.0;Martin Tobias (2001);;11;55.25;11;27.0;0;0.0;8.5

22j;Schwager Ivo;;;;;;;;;;35.5
o;;;Bärtsch Fabian;;;;;;;;8.5
o;5;8.5;Dändliker Hansheinrich;;22;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Furrer Damian;;23;35.25;11;17.0;0;0.0;8.5
+;17;25.5;Siegenthaler Joël (2003);;27;34.0;17;25.5;0;0.0;10.0

22k;Kiser Michael;;;;;;;;;;35.5
+;;;Vontobel Florian (2001);;;;;;;;10.0
o;1;10.0;Gwerder Andreas;**;10;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;Straub Robin;*;14;54.5;5;18.75;-1;0.25;8.5
o;11;27.0;Galli Cedric (2001);;12;55.0;11;27.0;0;0.0;8.5

22l;Tresch Luca (2002);;;;;;;;;;35.5
o;;;Schmid Gian (2003);;;;;;;;8.5
o;5;8.5;Maglia Leo;;23;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Kiener Raphael;;15;54.25;9;17.5;-2;0.5;8.5
+;17;25.5;Gamper Gian (2001);;27;34.0;17;25.5;0;0.0;10.0

22m;Lüthi Manuel (2003);;;;;;;;;;35.5
o;;;Brunner Timon;;;;;;;;8.5
-;5;8.5;Hari Michi;;12;55.0;4;8.75;-1;0.25;8.75
+;10;17.25;Danner Daniel;;23;35.25;11;17.0;1;-0.25;9.75
o;11;27.0;Koller Fabian;*;13;54.75;12;26.75;1;-0.25;8.5

22n;Spörndli Cyril (2003);;;;;;;;;;35.5
o;;;Stähli Jan;;;;;;;;8.5
o;5;8.5;Bader Sandro (2002);;23;35.25;5;8.5;0;0.0;8.5
+;11;17.0;Knabe Robert;;25;34.5;11;17.0;0;0.0;10.0
o;11;27.0;Rhyner Beni;;11;55.25;11;27.0;0;0.0;8.5

22o;Käppeli Remo (2001);;;;;;;;;;35.5
o;;;Arnold Christian;;;;;;;;8.5
-;5;8.5;Bossert Alain (2001);;25;34.5;5;8.5;0;0.0;8.75
+;10;17.25;Siegenthaler Joël (2003);;27;34.0;11;17.0;1;-0.25;9.75
o;11;27.0;Fässler Michael;;15;54.25;11;27.0;0;0.0;8.5

23a;Zehnder Mario;;;;;;;;;;35.25
+;;;Zemp Stefan (2002);;;;;;;;9.75
o;2;9.75;Leuppi Karim;*;14;54.5;5;8.5;3;-1.25;8.5
o;7;18.25;Stähli Jan;;16;54.0;7;18.25;0;0.0;8.5
o;12;26.75;Baumgartner Ramon (2002);;10;55.5;12;26.75;0;0.0;8.5

23b;Furrer Damian;;;;;;;;;;35.25
o;;;Giger Lorenz;;;;;;;;8.5
o;5;8.5;Hänni Marc (2001);;17;53.75;5;8.5;0;0.0;8.5
+;11;17.0;Schwager Ivo;;22;35.5;11;17.0;0;0.0;9.75
o;12;26.75;Büchler Livio (2001);;17;53.75;12;26.75;0;0.0;8.5

23c;Bader Sandro (2002);;;;;;;;;;35.25
o;;;Laager Michael (2001);;;;;;;;8.5
+;5;8.5;Spörndli Cyril (2003);;22;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Sieber Marc;;17;53.75;7;18.25;0;0.0;8.5
o;12;26.75;Buff Alwin;;18;53.5;12;26.75;0;0.0;8.5

23d;Danner Daniel;;;;;;;;;;35.25
o;;;Horner Sämi;;;;;;;;8.5
o;5;8.5;Studerus Jan (2002);;23;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Lüthi Manuel (2003);;22;35.5;10;17.25;-1;0.25;8.5
+;17;25.5;Vontobel Florian (2001);;27;34.0;17;25.5;0;0.0;9.75

23e;Maglia Leo;;;;;;;;;;35.25
o;;;Martin Tobias (2001);;;;;;;;8.5
+;5;8.5;Tresch Luca (2002);;22;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Bernold Michael;*;6;56.5;8;17.75;1;-0.5;8.5
o;12;26.75;Plüer Fabian (2003);;12;55.0;12;26.75;0;0.0;8.5

23f;Steiner Lukas (2002);;;;;;;;;;35.25
o;;;Hauser Simon;;;;;;;;8.5
o;5;8.5;Keller Lukas;;14;54.5;4;8.75;-1;0.25;8.5
+;11;17.0;Bossert Alain (2001);;25;34.5;10;17.25;-1;0.25;9.75
o;12;26.75;Oertle Daniel;*;7;56.25;14;26.25;2;-0.5;8.5

23g;Frei Felix (2003);;;;;;;;;;35.25
o;;;Landolt Cla;;;;;;;;8.5
+;5;8.5;Baumgartner Björn (2003);;22;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Hänni Marc (2001);;17;53.75;7;18.25;0;0.0;8.5
o;12;26.75;Kirchmeier Christof;;12;55.0;12;26.75;0;0.0;8.5

23h;Studerus Jan (2002);;;;;;;;;;35.25
o;;;Lanter Christian;;;;;;;;8.5
+;5;8.5;Danner Daniel;;23;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Betschart Patrick;*;12;55.0;11;17.0;4;-1.25;8.5
o;12;26.75;Hauser Simon;;13;54.75;12;26.75;0;0.0;8.5

23i;Scherrer Pascal;;;;;;;;;;35.25
+;;;Lanter Andreas;;;;;;;;9.75
o;2;9.75;Ammann Rico;*;9;55.75;4;8.75;2;-1.0;8.5
o;7;18.25;Pianta Christian;;6;56.5;6;18.5;-1;0.25;8.5
o;12;26.75;Schwyn Adrian;*;15;54.25;12;26.75;0;0.0;8.5

24a;Schönenberger Björn;;;;;;;;;;34.75
-;;;Rüegg Patrick;;;;;;;;8.75
o;4;8.75;Wingeier Janik;;22;35.5;4;8.75;0;0.0;8.5
-;10;17.25;Fuster Arjuna (2003);;19;53.25;10;17.25;0;0.0;8.75
-;15;26.0;Knabe Robert;;25;34.5;16;25.75;1;-0.25;8.75

25a;Heierli Pascal;*;;;;;;;;;34.5
o;;;Kunz Daniel;*;;;;;;;8.5
o;5;8.5;Lanter Christian;;3;57.25;1;10.0;-4;1.5;8.75
-;10;17.25;Inauen Aurel;;12;55.0;7;18.25;-3;1.0;8.75
o;15;26.0;Hari Michi;;12;55.0;9;27.5;-6;1.5;8.5

25b;Knabe Robert;;;;;;;;;;34.5
o;;;Ackermann Rico (2003);;;;;;;;8.5
o;5;8.5;Rhyner Beni;;11;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Spörndli Cyril (2003);;22;35.5;11;17.0;0;0.0;8.75
-;16;25.75;Schönenberger Björn;;24;34.75;15;26.0;-1;0.25;8.75

25c;Falch Urs (2001);;;;;;;;;;34.5
o;;;Odermatt Michi;;;;;;;;8.5
-;5;8.5;Kiener Raphael;;15;54.25;4;8.75;-1;0.25;8.75
o;10;17.25;Steiner Joel;;16;54.0;9;17.5;-1;0.25;8.5
-;16;25.75;Bossert Alain (2001);;25;34.5;16;25.75;0;0.0;8.75

25d;Bossert Alain (2001);;;;;;;;;;34.5
o;;;Buff Alwin;;;;;;;;8.5
-;5;8.5;Käppeli Remo (2001);;22;35.5;5;8.5;0;0.0;8.75
o;10;17.25;Steiner Lukas (2002);;23;35.25;11;17.0;1;-0.25;8.5
-;16;25.75;Falch Urs (2001);;25;34.5;16;25.75;0;0.0;8.75

26a;Schnyder Christian;;;;;;;;;;34.25
-;;;Pallaoro Luca;;;;;;;;8.75
o;4;8.75;Wetter Silvan;;14;54.5;4;8.75;0;0.0;8.5
o;10;17.25;Grimm Michael;;17;53.75;7;18.25;-3;1.0;8.5
o;16;25.75;Frauenfelder Florian (2001);;12;55.0;12;26.75;-4;1.0;8.5

26b;Pallaoro Luca;;;;;;;;;;34.25
-;;;Schnyder Christian;;;;;;;;8.75
o;4;8.75;Straub Paul;;11;55.25;4;8.75;0;0.0;8.5
o;10;17.25;Brunner Timon;;11;55.25;7;18.25;-3;1.0;8.5
o;16;25.75;Bucher Roland;;22;35.5;16;25.75;0;0.0;8.5

27a;Gamper Gian (2001);;;;;;;;;;34.0
o;;;Furrer Matthias;;;;;;;;8.5
o;5;8.5;Knecht Remo (2002);;13;54.75;5;8.5;0;0.0;8.5
o;11;17.0;Bucher Roman (2003);;15;54.25;10;17.25;-1;0.25;8.5
o;17;25.5;Tresch Luca (2002);;22;35.5;17;25.5;0;0.0;8.5

27b;Zimmermann Amir;;;;;;;;;;34.0
o;;;Bürgler Patrick;;;;;;;;8.5
o;5;8.5;Bollier Fabian;;16;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Baumgartner Björn (2003);;22;35.5;11;17.0;0;0.0;8.5
o;17;25.5;Biser Niklaus;;22;35.5;17;25.5;0;0.0;8.5

27c;Vontobel Florian (2001);;;;;;;;;;34.0
o;;;Kiser Michael;;;;;;;;8.5
o;5;8.5;Junker Nik;;11;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Stadelmann Valentin;;20;52.75;10;17.25;-1;0.25;8.5
o;17;25.5;Danner Daniel;;23;35.25;17;25.5;0;0.0;8.5

27d;Zemp Stefan (2002);;;;;;;;;;34.0
o;;;Zehnder Mario;;;;;;;;8.5
o;5;8.5;Anliker Andri (2003);;20;52.75;4;8.75;-1;0.25;8.5
o;11;17.0;Hari Michi;;12;55.0;9;17.5;-2;0.5;8.5
o;17;25.5;Fuster Arjuna (2003);;19;53.25;15;26.0;-2;0.5;8.5

27e;Siegenthaler Joël (2003);;;;;;;;;;34.0
o;;;Sieber Marc;;;;;;;;8.5
o;5;8.5;Schuler Martin;;10;55.5;4;8.75;-1;0.25;8.5
o;11;17.0;Käppeli Remo (2001);;22;35.5;10;17.25;-1;0.25;8.5
o;17;25.5;Schwager Ivo;;22;35.5;17;25.5;0;0.0;8.5

28a;Forrer Arnold;***;;;;;;;;;26.25
-;;;Gwerder Andreas;**;;;;;;;8.75
-;4;8.75;Arztmann Beda;*;4;57.0;2;9.75;-2;1.0;8.75
-;9;17.5;Rüegg Patrick;;8;56.0;5;18.75;-4;1.25;8.75

29a;Ackermann Remo;*;;;;;;;;;17.25
-;;;Marty Jaime;*;;;;;;;8.75
o;4;8.75;Arnold Christian;;12;55.0;2;9.75;-2;1.0;8.5

29b;Fejzaj Naim;**;;;;;;;;;17.25
o;;;Dändliker Shane;**;;;;;;;8.5
o;5;8.5;Riget Ivan;*;15;54.25;4;8.75;-1;0.25;8.75

30a;Zimmermann Daniel;*;;;;;;;;;8.75
-;;;Good Marco;*;;;;;;;8.75

31a;Lanter Andreas;;;;;;;;;;8.5
o;;;Scherrer Pascal;;;;;;;;8.5

31b;Riget Florian;*;;;;;;;;;8.5
o;;;Vollenweider Jeremy;*;;;;;;;8.5

