2986-2017-08-13_110_Nordwestschweizer_Schwingfest-ST

1a;Hersche Martin;***;;;;;;;;;59.0
-;;;Thoenen Henryc;**;;;;;;;8.75
-;4;8.75;Schmid Samuel;**;11;55.5;1;10.0;-3;1.25;9.0
+;8;17.75;Widmer Cyrill;*;17;54.0;5;18.75;-3;1.0;9.75
+;9;27.5;Voggensperger Lars (2001);;15;54.5;5;28.5;-4;1.0;9.75
-;7;37.25;Döbeli Lukas (2000);*;6;57.0;5;38.0;-2;0.75;9.0
+;9;46.25;Burren Patrick (1999);;19;53.5;14;45.0;5;-1.25;9.75

9e;Döbeli Andreas;*;;;;;;;;;56.0
-;;;Hauri Urs;**;;;;;;;8.75
-;4;8.75;Brun Samuel (1999);**;9;56.0;5;8.5;1;-0.25;9.0
+;8;17.75;Gerber Andrj (2000);*;16;54.25;10;17.25;2;-0.5;9.75
+;9;27.5;Siebenpfund Joshua;;21;52.75;10;27.25;1;-0.25;10.0
+;6;37.5;Brand Christian;**;8;56.5;5;38.0;-1;0.5;10.0
o;4;47.5;Wicki Joel;**;2;58.25;3;48.25;-1;0.75;8.5

9f;Brun Samuel (1999);**;;;;;;;;;56.0
o;;;Döbeli Lukas (2000);*;;;;;;;8.5
-;5;8.5;Döbeli Andreas;*;9;56.0;4;8.75;-1;0.25;9.0
+;9;17.5;Jusufi Ilber;;23;44.75;5;18.75;-4;1.25;10.0
+;9;27.5;Bieri Florian (2001);;13;55.0;7;28.0;-2;0.5;10.0
o;6;37.5;Bieri Christoph;***;7;56.75;8;37.0;2;-0.5;8.5
+;10;46.0;Steger Robert;;15;54.5;10;46.0;0;0.0;10.0

10a;Räber Lukas;;;;;;;;;;55.75
+;;;Schopferer Cyril (2000);;;;;;;;9.75
+;2;9.75;Scherrer Johann;**;27;35.5;5;8.5;3;-1.25;10.0
o;2;19.75;Roschi Ruedi;**;10;55.75;6;18.5;4;-1.25;8.5
-;6;28.25;Nyffeler Christoph;*;14;54.75;10;27.25;4;-1.0;9.0
-;7;37.25;Voggensperger Lars (2001);;15;54.5;7;37.25;0;0.0;8.75
+;10;46.0;Bruder Adrian;;16;54.25;11;45.75;1;-0.25;9.75

10b;Rüegger Aaron (1999);;;;;;;;;;55.75
+;;;Eggenschwiler Fabian;;;;;;;;10.0
o;1;10.0;Widmer Cyrill;*;17;54.0;4;8.75;3;-1.25;8.5
-;6;18.5;Kramer Lario;**;9;56.0;11;17.0;5;-1.5;9.0
o;9;27.5;Lisser Daniel;*;11;55.5;10;27.25;1;-0.25;8.5
+;12;36.0;Siebenpfund Joshua;;21;52.75;13;35.75;1;-0.25;10.0
+;10;46.0;Lisser Beat;;15;54.5;10;46.0;0;0.0;9.75

10c;Roschi Ruedi;**;;;;;;;;;55.75
-;;;Widmer Tobias;**;;;;;;;8.75
+;4;8.75;Kropf Marcel;**;6;57.0;1;10.0;-3;1.25;9.75
+;6;18.5;Räber Lukas;;10;55.75;2;19.75;-4;1.25;10.0
-;5;28.5;Henzer Andreas;**;9;56.0;5;28.5;0;0.0;9.0
+;6;37.5;Hügli Kaj;*;6;57.0;3;38.5;-3;1.0;9.75
o;5;47.25;Räbmatter Patrick;***;5;57.25;4;47.5;-1;0.25;8.5

10d;Schmid David;***;;;;;;;;;55.75
+;;;Kramer Lario;**;;;;;;;10.0
-;1;10.0;Kuster Marcel;***;7;56.75;2;9.75;1;-0.25;8.75
