2986-2017-08-13_110_Nordwestschweizer_Schwingfest-ST

1a;Hersche Martin;***;;;;;;;;;59.0
+;17;25.5;Niggli Andreas;;30;34.25;16;25.75;-1;0.25;9.75

28c;Meyer Lukas (2001);;;;;;;;;;35.25
+;;;Seiser Kay-Steve (2000);;;;;;;;9.75
o;2;9.75;Büttler Gian (2000);;12;55.25;2;9.75;0;0.0;8.5
o;7;18.25;Probst Stefan;;27;35.5;10;17.25;3;-1.0;8.5
o;12;26.75;Wiedmer Yannick;;17;54.0;11;27.0;-1;0.25;8.5

28d;Eggenschwiler Fabian;;;;;;;;;;35.25
o;;;Rüegger Aaron (1999);;;;;;;;8.5
o;5;8.5;Aerni Lars;;15;54.5;5;8.5;0;0.0;8.5
o;11;17.0;Körkel Yannik;;27;35.5;11;17.0;0;0.0;8.5
+;17;25.5;Nussbaumer Dominik;;31;34.0;17;25.5;0;0.0;9.75

29a;Schillig Willi;**;;;;;;;;;34.5
o;;;Strebel Joel;**;;;;;;;8.5
o;5;8.5;Schaffner Samuel;**;12;55.25;4;8.75;-1;0.25;8.5
-;11;17.0;Arnold Kornel;*;17;54.0;7;18.25;-4;1.25;8.75
-;16;25.75;Graber Colin;;24;44.5;11;27.0;-5;1.25;8.75

29b;Peterhans Alex (2000);;;;;;;;;;34.5
o;;;Nyffenegger Florian (2001);;;;;;;;8.5
-;5;8.5;Regenass Reto (2000);;29;34.5;5;8.5;0;0.0;9.0
o;9;17.5;Siebenpfund Joshua;;21;52.75;10;17.25;1;-0.25;8.5
o;15;26.0;Vogt Patrick (1999);;20;53.0;15;26.0;0;0.0;8.5

29c;Regenass Reto (2000);;;;;;;;;;34.5
o;;;Büchi Christian;;;;;;;;8.5
-;5;8.5;Peterhans Alex (2000);;29;34.5;5;8.5;0;0.0;9.0
o;9;17.5;Bieri Florian (2001);;13;55.0;7;18.25;-2;0.75;8.5
o;15;26.0;Steger Robert;;15;54.5;14;26.25;-1;0.25;8.5

30a;Tschan Raphael (2000);;;;;;;;;;34.25
-;;;Huber Fabian;;;;;;;;8.75
o;4;8.75;Furrer Mathias;;28;35.25;2;9.75;-2;1.0;8.5
o;10;17.25;Brack Simon;;27;35.5;10;17.25;0;0.0;8.5
o;16;25.75;Müller Simon;;10;55.75;9;27.5;-7;1.75;8.5

30b;Sempach Beat (1999);;;;;;;;;;34.25
o;;;Jusufi Ilber;;;;;;;;8.5
o;5;8.5;Vogel Remo (2001);;21;52.75;3;9.0;-2;0.5;8.5
-;11;17.0;Müller Christian;;27;35.5;7;18.25;-4;1.25;8.75
o;16;25.75;Müller Jan;;27;35.5;16;25.75;0;0.0;8.5

30c;Kramer Lukas (2001);;;;;;;;;;34.25
o;;;Bachmann Sämi (2001);;;;;;;;8.5
o;5;8.5;Ris Jörn;;13;55.0;5;8.5;0;0.0;8.5
o;11;17.0;Ritter Andreas;;27;35.5;10;17.25;-1;0.25;8.5
-;17;25.5;Zagarella Davide (1999);;30;34.25;17;25.5;0;0.0;8.75

30d;Niggli Andreas;;;;;;;;;;34.25
o;;;Meyer Stefan;;;;;;;;8.5
o;5;8.5;Roth Christian;;18;53.75;5;8.5;0;0.0;8.5
-;11;17.0;Steger Robert;;15;54.5;9;17.5;-2;0.5;8.75
o;16;25.75;Loosli Adrian;;28;35.25;17;25.5;1;-0.25;8.5

30e;Burtschi Michael;;;;;;;;;;34.25
-;;;Müller Simon;;;;;;;;8.75
o;4;8.75;Reimann Marco;;12;55.25;2;9.75;-2;1.0;8.5
o;10;17.25;Ris Jörn;;13;55.0;6;18.5;-4;1.25;8.5
o;16;25.75;Brugger Jonas (1999);;27;35.5;16;25.75;0;0.0;8.5

30f;Zagarella Davide (1999);;;;;;;;;;34.25
o;;;Huber Pascal;;;;;;;;8.5
o;5;8.5;Bieri Florian (2001);;13;55.0;5;8.5;0;0.0;8.5
o;11;17.0;Seiser Kay-Steve (2000);;25;44.25;11;17.0;0;0.0;8.5
-;17;25.5;Kramer Lukas (2001);;30;34.25;17;25.5;0;0.0;8.75

31a;Nussbaumer Dominik;;;;;;;;;;34.0
o;;;Burren Patrick (1999);;;;;;;;8.5
o;5;8.5;Reinhard Pirmin (2001);;27;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Müller Simon;;10;55.75;9;17.5;-2;0.5;8.5
o;17;25.5;Eggenschwiler Fabian;;28;35.25;17;25.5;0;0.0;8.5

32a;Huber Fabian;;;;;;;;;;25.75
-;;;Tschan Raphael (2000);;;;;;;;8.75
o;4;8.75;Streich Sascha (2001);;27;35.5;5;8.5;1;-0.25;8.5
o;10;17.25;Burkart Simon;;27;35.5;10;17.25;0;0.0;8.5

33a;Küng Marco;*;;;;;;;;;8.5
o;;;Odermatt Adrian (2001);*;;;;;;;8.5

33b;Leuthard Reto;*;;;;;;;;;8.5
o;;;Brand Christian;**;;;;;;;8.5

