4099-2018-05-13_114_Ob-_und_Nidw_Kant_Schwingfest-ST

1a;Schuler Alex;***;;;;;;;;;110.25
+;11;27.0;von Flüe Michael;;27;35.0;13;26.5;2;-0.5;10.0
+;10;37.0;Gasser Dominik 2;;16;54.25;9;37.25;-1;0.25;10.0
o;8;47.0;Bieri Marcel;**;4;57.25;7;47.25;-1;0.25;8.5

11c;Gasser Dominik 1;;;;;;;;;;55.5
o;;;Rüttimann Daniel;;;;;;;;8.5
+;6;8.5;Gisler Silvan (2002);;21;53.0;5;8.75;-1;0.25;10.0
o;7;18.5;Schuler Daniel;*;16;54.25;11;17.25;4;-1.25;8.5
+;11;27.0;Würsch Tom (2000);;26;35.25;12;26.75;1;-0.25;10.0
o;10;37.0;Betschart Remo;**;5;57.0;10;37.0;0;0.0;8.5
+;14;45.5;Auf der Maur Alex;;17;54.0;14;45.5;0;0.0;10.0

11d;Bieri Christian;**;;;;;;;;;55.5
+;;;Fessler Linus;**;;;;;;;9.75
o;3;9.75;Mathis Marcel;***;9;56.0;6;8.5;3;-1.25;8.5
+;8;18.25;Gisler Jonas (2001);;13;55.0;5;19.0;-3;0.75;9.75
+;7;28.0;Spichtig Clemens;;18;53.75;7;28.0;0;0.0;9.75
-;7;37.75;Lussi Marco;*;12;55.25;7;37.75;0;0.0;8.75
-;10;46.5;Zimmermann Martin;**;8;56.25;7;47.25;-3;0.75;9.0

11e;Vogler Daniel;*;;;;;;;;;55.5
o;;;Durrer Fabian;*;;;;;;;8.5
o;6;8.5;Wyrsch Marco;**;5;57.0;5;8.75;-1;0.25;8.5
-;12;17.0;Gander Benjamin (2000);;17;54.0;8;18.25;-4;1.25;8.75
+;16;25.75;Imholz Elias;;26;35.25;12;26.75;-4;1.0;10.0
+;15;35.75;Held Florian;;17;54.0;10;37.0;-5;1.25;9.75
+;14;45.5;Blumenthal Lino (2002);;16;54.25;13;45.75;-1;0.25;10.0

11f;Hess Dominik;*;;;;;;;;;55.5
+;;;Arnold Daniel;*;;;;;;;10.0
o;2;10.0;Bieri Marcel;**;4;57.25;2;10.0;0;0.0;8.5
-;7;18.5;Supper Frederik;;19;53.5;5;19.0;-2;0.5;8.75
+;10;27.25;Gisler Jonas (2001);;13;55.0;9;27.5;-1;0.25;9.75
+;10;37.0;Lang Julian;;16;54.25;10;37.0;0;0.0;10.0
o;8;47.0;Müllestein Mike;***;7;56.5;10;46.5;2;-0.5;8.5

11g;Zgraggen Peter;;;;;;;;;;55.5
o;;;Durrer Robin;;;;;;;;8.5
o;6;8.5;Durrer Ueli;;15;54.5;5;8.75;-1;0.25;8.75
+;11;17.25;Rohrer Michael;;26;35.25;12;17.0;1;-0.25;9.75
-;11;27.0;Ming Christian;*;20;53.25;15;26.0;4;-1.0;8.75
+;15;35.75;Gabriel Simon (2002);;21;53.0;15;35.75;0;0.0;10.0
+;13;45.75;Albert Thomas;;17;54.0;14;45.5;1;-0.25;9.75

11h;Ettlin Martin;;;;;;;;;;55.5
-;;;Bühler Patrice;;;;;;;;8.75
+;5;8.75;Wyss Christian;;11;55.5;2;10.0;-3;1.25;9.75
o;7;18.5;Muff André;*;10;55.75;10;17.5;3;-1.0;8.75
+;10;27.25;Betschart Silvan;*;26;35.25;12;26.75;2;-0.5;10.0
+;9;37.25;Ziegler Moritz;;17;54.0;10;37.0;1;-0.25;9.75
o;8;47.0;Kurmann Toni;;6;56.75;8;47.0;0;0.0;8.5

11i;Graber Sandro;;;;;;;;;;55.5
+;;;Bissig Fabian;;;;;;;;9.75
+;3;9.75;Müller Dominik;;30;34.25;5;8.75;2;-1.0;10.0
o;3;19.75;Heiniger Marco;*;6;56.75;6;18.75;3;-1.0;8.75
o;5;28.5;Kurmann Toni;;6;56.75;5;28.5;0;0.0;8.5
+;10;37.0;Hegner Ueli;*;16;54.25;15;35.75;5;-1.25;9.75
o;9;46.75;Lemmenmeier Lukas;;7;56.5;9;46.75;0;0.0;8.75

11j;Burch Thomas;;;;;;;;;;55.5
o;;;Wyss Christian;;;;;;;;8.5
+;6;8.5;Bürgi Michael (2002);;17;54.0;6;8.5;0;0.0;10.0
+;7;18.5;Odermatt Fabian (2002);;18;53.75;7;18.5;0;0.0;10.0
o;5;28.5;Portmann Josef;*;6;56.75;5;28.5;0;0.0;8.5
o;10;37.0;Gwerder Christian;**;7;56.5;10;37.0;0;0.0;8.5
+;14;45.5;Hurschler Mauri;;18;53.75;15;45.25;1;-0.25;10.0

11k;Heiniger Luca;;;;;;;;;;55.5
+;;;Ettlin Michael;;;;;;;;10.0
-;2;10.0;Odermatt Andreas;*;14;54.75;6;8.5;4;-1.5;8.75
o;6;18.75;Gassmann Michael;*;18;53.75;8;18.25;2;-0.5;8.5
+;10;27.25;Christen Thomas;;16;54.25;11;27.0;1;-0.25;10.0
o;9;37.25;Scheuber Lutz;**;4;57.25;8;37.5;-1;0.25;8.5
+;13;45.75;Gasser Dominik 2;;16;54.25;13;45.75;0;0.0;9.75

11l;Ming Christian 2;;;;;;;;;;55.5
+;;;Held Florian;;;;;;;;10.0
-;2;10.0;Herger Simon;;15;54.5;3;9.75;1;-0.25;8.75
o;6;18.75;Steinauer Adrian;**;3;57.5;9;17.75;3;-1.0;8.5
+;10;27.25;Risi Martin;;22;52.75;11;27.0;1;-0.25;10.0
o;9;37.25;Hurschler Thomas;**;6;56.75;9;37.25;0;0.0;8.5
+;13;45.75;Waser Christoph (2002);;17;54.0;14;45.5;1;-0.25;9.75

11m;Odermatt Remo;*;;;;;;;;;55.5
+;;;Betschart Silvan;*;;;;;;;10.0
o;2;10.0;Müllestein Mike;***;7;56.5;4;9.0;2;-1.0;8.5
+;7;18.5;Bienz Romeo;;15;54.5;6;18.75;-1;0.25;9.75
o;6;28.25;Müller Roger;;6;56.75;6;28.25;0;0.0;8.75
o;10;37.0;Elmiger Andreas;;9;56.0;10;37.0;0;0.0;8.75
+;13;45.75;Ziegler Moritz;;17;54.0;14;45.5;1;-0.25;9.75

12a;Lussi Marco;*;;;;;;;;;55.25
+;;;Binggeli Stefan;*;;;;;;;9.75
o;3;9.75;Schuler Christian;***;24;37.5;3;9.75;0;0.0;8.5
+;8;18.25;Scherrer Patrick;;18;53.75;6;18.75;-2;0.5;9.75
+;7;28.0;Vogel Manuel;;13;55.0;7;28.0;0;0.0;9.75
-;7;37.75;Bieri Christian;**;11;55.5;7;37.75;0;0.0;8.75
-;10;46.5;Gloggner Reto;**;12;55.25;10;46.5;0;0.0;8.75

12b;Della Torre Simon;;;;;;;;;;55.25
-;;;Scherrer Patrick;;;;;;;;8.75
+;5;8.75;Imholz Elias;;26;35.25;3;9.75;-2;1.0;9.75
o;7;18.5;Schuler Alex;***;1;110.25;1;36.5;-6;18.0;8.5
+;11;27.0;Gwerder Beni;;17;54.0;11;27.0;0;0.0;9.75
+;11;36.75;Gander Benjamin (2000);;17;54.0;10;37.0;-1;0.25;10.0
o;9;46.75;Gwerder Christian;**;7;56.5;9;46.75;0;0.0;8.5

12c;Imfeld Beat;;;;;;;;;;55.25
-;;;Müller Dominik;;;;;;;;8.75
+;5;8.75;Lagler Reto;;30;34.25;5;8.75;0;0.0;9.75
-;7;18.5;Thalmann Thomas;*;20;53.25;10;17.5;3;-1.0;8.75
o;10;27.25;Lang Julian;;16;54.25;10;27.25;0;0.0;8.5
+;15;35.75;Zimmermann Reto;;18;53.75;16;35.5;1;-0.25;9.75
+;14;45.5;Gwerder Beni;;17;54.0;14;45.5;0;0.0;9.75

12d;Gloggner Reto;**;;;;;;;;;55.25
o;;;Bieri Marcel;**;;;;;;;8.5
+;6;8.5;Käslin Ruedi;*;16;54.25;5;8.75;-1;0.25;9.75
+;8;18.25;Zanini David (2000);;14;54.75;4;19.5;-4;1.25;10.0
o;6;28.25;Müllestein Mike;***;7;56.5;7;28.0;1;-0.25;8.5
+;11;36.75;Röthlin Pascal;;13;55.0;11;36.75;0;0.0;9.75
-;10;46.5;Lussi Marco;*;12;55.25;10;46.5;0;0.0;8.75

12e;Heinzer Josef;;;;;;;;;;55.25
+;;;Risi Martin;;;;;;;;9.75
+;3;9.75;Röthlin Pascal;;13;55.0;3;9.75;0;0.0;9.75
o;4;19.5;Portmann Josef;*;6;56.75;7;18.5;3;-1.0;8.5
o;7;28.0;Fessler Linus;**;9;56.0;9;27.5;2;-0.5;8.5
o;12;36.5;Würsch Lars;;7;56.5;11;36.75;-1;0.25;8.75
+;15;45.25;Zimmermann Simon;**;20;53.25;17;44.75;2;-0.5;10.0

12f;Amgarten Roman;*;;;;;;;;;55.25
o;;;Heiniger Marco;*;;;;;;;8.5
o;6;8.5;Kenel Franz-Toni;*;9;56.0;5;8.75;-1;0.25;8.5
-;12;17.0;Bucher Thomas;;14;54.75;8;18.25;-4;1.25;8.75
+;16;25.75;Bürgi Michael (2002);;17;54.0;11;27.0;-5;1.25;10.0
+;15;35.75;Auf der Maur Michael (2000);;20;53.25;13;36.25;-2;0.5;9.75
+;14;45.5;Wetzstein Adrian;*;17;54.0;14;45.5;0;0.0;9.75

12g;Hochholdinger Roman;**;;;;;;;;;55.25
-;;;Odermatt Christian;**;;;;;;;8.75
o;5;8.75;Kennel Stefan;**;10;55.75;5;8.75;0;0.0;8.5
+;11;17.25;Bissig Fabian;;16;54.25;7;18.5;-4;1.25;10.0
+;10;27.25;Durrer Ueli;;15;54.5;10;27.25;0;0.0;9.75
+;10;37.0;Niederberger Markus;*;10;55.75;9;37.25;-1;0.25;9.75
o;9;46.75;Würsch Lars;;7;56.5;9;46.75;0;0.0;8.5

12h;Widmer Dominik;;;;;;;;;;55.25
+;;;Müller Patrick;;;;;;;;10.0
+;2;10.0;Ettlin Jan (2001);;18;53.75;3;9.75;1;-0.25;10.0
o;2;20.0;Käslin Benno;*;15;54.5;6;18.75;4;-1.25;8.5
o;5;28.5;Rohrer Ivan;**;6;56.75;5;28.5;0;0.0;8.5
o;10;37.0;Vogler Jonas;;12;55.25;11;36.75;1;-0.25;8.5
+;14;45.5;Kathriner Severin (2000);;18;53.75;15;45.25;1;-0.25;9.75

12i;Bühler Patrice;;;;;;;;;;55.25
-;;;Ettlin Martin;;;;;;;;8.75
+;5;8.75;Christen Silvan (2002);;28;34.75;4;9.0;-1;0.25;10.0
o;6;18.75;Arnold Daniel;*;9;56.0;8;18.25;2;-0.5;8.5
o;10;27.25;Hurschler Thomas;**;6;56.75;10;27.25;0;0.0;8.5
+;15;35.75;Kaufmann Jens;;15;54.5;14;36.0;-1;0.25;9.75
+;14;45.5;Spichtig Clemens;;18;53.75;15;45.25;1;-0.25;9.75

12j;Elsener Marcel;*;;;;;;;;;55.25
+;;;Vonlaufen Lukas;*;;;;;;;9.75
-;3;9.75;Peng Mike;***;14;54.75;5;8.75;2;-1.0;8.75
+;7;18.5;Wicki Patrick;;14;54.75;5;19.0;-2;0.5;9.75
-;6;28.25;Durrer Nando;;8;56.25;4;28.75;-2;0.5;8.75
+;10;37.0;Zimmermann Raffael (2000);;16;54.25;10;37.0;0;0.0;9.75
o;9;46.75;Mathis Marcel;***;9;56.0;12;46.0;3;-0.75;8.5

12k;Vogler Jonas;;;;;;;;;;55.25
+;;;Ritter Fabio (2001);;;;;;;;10.0
+;2;10.0;Ziegler Moritz;;17;54.0;2;10.0;0;0.0;9.75
o;3;19.75;Gwerder Christian;**;7;56.5;7;18.5;4;-1.25;8.5
o;6;28.25;Reichmuth Marco;**;9;56.0;8;27.75;2;-0.5;8.5
+;11;36.75;Widmer Dominik;;12;55.25;10;37.0;-1;0.25;9.75
o;10;46.5;Herger Matthias;**;6;56.75;9;46.75;-1;0.25;8.75

13a;Gisler Jonas (2001);;;;;;;;;;55.0
+;;;Bürlimann Simo (2002);;;;;;;;10.0
-;2;10.0;Rüttimann Daniel;;15;54.5;3;9.75;1;-0.25;9.0
o;5;19.0;Bieri Christian;**;11;55.5;8;18.25;3;-0.75;8.5
o;9;27.5;Hess Dominik;*;11;55.5;10;27.25;1;-0.25;8.5
-;14;36.0;Käslin Valentin (2000);;18;53.75;12;36.5;-2;0.5;9.0
+;16;45.0;Rohrer André;;21;53.0;18;44.5;2;-0.5;10.0

13b;Gut Koni;;;;;;;;;;55.0
+;;;Gwerder Beni;;;;;;;;9.75
-;3;9.75;Arnold Marcel;*;29;34.5;6;8.5;3;-1.25;8.75
+;7;18.5;Bieri Elias;;26;35.25;8;18.25;1;-0.25;9.75
o;6;28.25;Durrer Fabian;*;14;54.75;7;28.0;1;-0.25;8.5
+;11;36.75;Ettlin Jan (2001);;18;53.75;11;36.75;0;0.0;9.75
o;10;46.5;Wyrsch Marco;**;5;57.0;7;47.25;-3;0.75;8.5

13c;Thierstein Marco;*;;;;;;;;;55.0
-;;;Käslin Ruedi;*;;;;;;;8.75
+;5;8.75;Würsch Lars;;7;56.5;2;10.0;-3;1.25;9.75
+;7;18.5;Durrer Ueli;;15;54.5;6;18.75;-1;0.25;9.75
o;6;28.25;von Ah Benji;***;6;56.75;6;28.25;0;0.0;8.5
+;11;36.75;Käslin Benno;*;15;54.5;9;37.25;-2;0.5;9.75
o;10;46.5;Hurschler Thomas;**;6;56.75;8;47.0;-2;0.5;8.5

13d;Durrer Robin;;;;;;;;;;55.0
+;;;Zgraggen Peter;;;;;;;;9.75
-;3;9.75;Schuler Daniel;*;16;54.25;6;8.5;3;-1.25;8.75
-;7;18.5;Elsener Manuel;;13;55.0;6;18.75;-1;0.25;8.75
-;10;27.25;Arnold Severin;*;16;54.25;10;27.25;0;0.0;8.75
-;14;36.0;Bürgi Tobias;;14;54.75;15;35.75;1;-0.25;9.0
+;16;45.0;Held Florian;;17;54.0;14;45.5;-2;0.5;10.0

13e;Gander Michael;;;;;;;;;;55.0
+;;;Hürlimann Mathias (2000);;;;;;;;9.75
+;3;9.75;Staub Ivan;;29;34.5;5;8.75;2;-1.0;9.75
o;4;19.5;Betschart Remo;**;5;57.0;7;18.5;3;-1.0;8.5
+;7;28.0;Fässler Dominic;**;16;54.25;10;27.25;3;-0.75;10.0
o;6;38.0;Wyrsch Marco;**;5;57.0;9;37.25;3;-0.75;8.5
o;10;46.5;Reichmuth Lukas (2000);*;8;56.25;10;46.5;0;0.0;8.5

13f;von Ah Markus;;;;;;;;;;55.0
+;;;Lang Julian;;;;;;;;9.75
+;3;9.75;Zimmermann Reto;;18;53.75;2;10.0;-1;0.25;10.0
o;3;19.75;Kennel Stefan;**;10;55.75;7;18.5;4;-1.25;8.5
o;6;28.25;Steinauer Adrian;**;3;57.5;8;27.75;2;-0.5;8.5
+;11;36.75;Wiget Ueli;;19;53.5;12;36.5;1;-0.25;9.75
o;10;46.5;Heiniger Marco;*;6;56.75;9;46.75;-1;0.25;8.5

13g;Elsener Manuel;;;;;;;;;;55.0
+;;;Küchler Severin;;;;;;;;10.0
-;2;10.0;Bürgi Reto;*;9;56.0;5;8.75;3;-1.25;8.75
-;6;18.75;Durrer Robin;;13;55.0;7;18.5;1;-0.25;8.75
-;9;27.5;Odermatt Andreas;*;14;54.75;10;27.25;1;-0.25;8.75
-;13;36.25;Risi Martin;;22;52.75;16;35.5;3;-0.75;8.75
+;16;45.0;Käslin Valentin (2000);;18;53.75;15;45.25;-1;0.25;10.0

13h;Vogel Manuel;;;;;;;;;;55.0
+;;;Käslin Valentin (2000);;;;;;;;9.75
+;3;9.75;Briker Hannes;;26;35.25;3;9.75;0;0.0;9.75
o;4;19.5;Odermatt Christian;**;8;56.25;7;18.5;3;-1.0;8.5
o;7;28.0;Lussi Marco;*;12;55.25;7;28.0;0;0.0;8.5
+;12;36.5;Gander Martin;;17;54.0;11;36.75;-1;0.25;10.0
o;10;46.5;Scheuber Lutz;**;4;57.25;7;47.25;-3;0.75;8.5

13i;Gloggner Philipp;***;;;;;;;;;55.0
-;;;Schuler Alex;***;;;;;;;8.75
+;5;8.75;Wetzstein Adrian;*;17;54.0;3;9.75;-2;1.0;9.75
-;7;18.5;Schelbert Ralf;**;3;57.5;4;19.5;-3;1.0;8.75
-;10;27.25;Rohrer Ueli;*;10;55.75;6;28.25;-4;1.0;9.0
-;13;36.25;Odermatt Andreas;*;14;54.75;14;36.0;1;-0.25;8.75
+;16;45.0;Gassmann Michael;*;18;53.75;15;45.25;-1;0.25;10.0

13j;Röthlin Pascal;;;;;;;;;;55.0
+;;;Ulrich Marcel;;;;;;;;9.75
o;3;9.75;Heinzer Josef;;12;55.25;3;9.75;0;0.0;8.5
+;8;18.25;Briker Hannes;;26;35.25;8;18.25;0;0.0;10.0
o;6;28.25;Kennel Stefan;**;10;55.75;5;28.5;-1;0.25;8.5
o;11;36.75;Gloggner Reto;**;12;55.25;11;36.75;0;0.0;8.5
+;15;45.25;Wiget Ueli;;19;53.5;16;45.0;1;-0.25;9.75

14a;Burch Jonas;*;;;;;;;;;54.75
o;;;Wetzstein Adrian;*;;;;;;;8.75
+;5;8.75;Schuler Alex;;1;110.25;1;17.75;-4;9.0;10.0
o;6;18.75;Arnold Fabian;;7;56.5;3;19.75;-3;1.0;8.75
+;9;27.5;Supper Frederik;;19;53.5;8;27.75;-1;0.25;9.75
-;9;37.25;Binggeli Stefan;*;10;55.75;11;36.75;2;-0.5;9.0
o;11;46.25;Betschart Remo;**;5;57.0;8;47.0;-3;0.75;8.5

14b;Wicki Patrick;;;;;;;;;;54.75
+;;;Kaiser Sandro;;;;;;;;10.0
-;2;10.0;Durrer Lukas;;15;54.5;3;9.75;1;-0.25;9.0
o;5;19.0;Elsener Marcel;*;12;55.25;7;18.5;2;-0.5;8.5
o;9;27.5;Fontana Michael;*;14;54.75;9;27.5;0;0.0;8.5
-;14;36.0;Rohrer André;;21;53.0;15;35.75;1;-0.25;8.75
+;17;44.75;Durrer Pascal (2002);;22;52.75;19;44.25;2;-0.5;10.0

14c;Odermatt Andreas;*;;;;;;;;;54.75
o;;;Portmann Josef;*;;;;;;;8.5
-;6;8.5;Heiniger Luca;;11;55.5;2;10.0;-4;1.5;8.75
+;11;17.25;Ulrich Marcel;;26;35.25;8;18.25;-3;1.0;10.0
-;10;27.25;Elsener Manuel;;13;55.0;9;27.5;-1;0.25;8.75
-;14;36.0;Gloggner Philipp;***;13;55.0;13;36.25;-1;0.25;8.75
+;17;44.75;Thalmann Thomas;*;20;53.25;17;44.75;0;0.0;10.0

14d;Zanini David (2000);;;;;;;;;;54.75
+;;;Odermatt Lars (2002);;;;;;;;9.75
+;3;9.75;Waser Christoph (2002);;17;54.0;2;10.0;-1;0.25;9.75
o;4;19.5;Gloggner Reto;**;12;55.25;8;18.25;4;-1.25;8.5
o;7;28.0;Rohrer Beat;*;8;56.25;7;28.0;0;0.0;8.5
+;12;36.5;Kathriner Severin (2000);;18;53.75;11;36.75;-1;0.25;9.75
o;11;46.25;Rohrer Ivan;**;6;56.75;8;47.0;-3;0.75;8.5

14e;Bucher Thomas;;;;;;;;;;54.75
+;;;Durrer Markus;;;;;;;;9.75
o;3;9.75;Müller Roger;;6;56.75;3;9.75;0;0.0;8.5
-;8;18.25;Amgarten Roman;*;12;55.25;12;17.0;4;-1.25;8.75
-;11;27.0;Arnold Lukas;;15;54.5;11;27.0;0;0.0;9.0
-;14;36.0;Gander Adrian;*;15;54.5;14;36.0;0;0.0;9.0
+;16;45.0;Ettlin Michael;;18;53.75;15;45.25;-1;0.25;9.75

14f;Fallegger Joel;;;;;;;;;;54.75
-;;;Rohrer André;;;;;;;;8.75
o;5;8.75;Zumstein Patrick;;15;54.5;4;9.0;-1;0.25;8.5
-;11;17.25;Staub Ivan;;29;34.5;11;17.25;0;0.0;8.75
+;15;26.0;Müller Dominik;;30;34.25;16;25.75;1;-0.25;10.0
-;14;36.0;Vonlaufen Lukas;*;16;54.25;15;35.75;1;-0.25;8.75
+;17;44.75;Müller Ivo (2002);;21;53.0;18;44.5;1;-0.25;10.0

14g;Wicki David;;;;;;;;;;54.75
+;;;Zimmermann Raffael (2000);;;;;;;;10.0
+;2;10.0;Mehr Lars (2002);;18;53.75;3;9.75;1;-0.25;10.0
o;2;20.0;Rohrer Marco;**;5;57.0;5;19.0;3;-1.0;8.5
-;5;28.5;Zimmermann Martin;**;8;56.25;6;28.25;1;-0.25;9.0
o;8;37.5;Ettlin Stefan;*;7;56.5;7;37.75;-1;0.25;8.5
-;12;46.0;Fontana Michael;*;14;54.75;12;46.0;0;0.0;8.75

14h;Fontana Michael;*;;;;;;;;;54.75
+;;;Hegner Ueli;*;;;;;;;10.0
o;2;10.0;Zimmermann Martin;**;8;56.25;2;10.0;0;0.0;8.5
-;7;18.5;Kaufmann Jens;;15;54.5;6;18.75;-1;0.25;9.0
+;9;27.5;Wicki Patrick;;14;54.75;9;27.5;0;0.0;10.0
o;8;37.5;Arnold Daniel;*;9;56.0;7;37.75;-1;0.25;8.5
-;12;46.0;Wicki David;;14;54.75;12;46.0;0;0.0;8.75

14i;Peng Mike;***;;;;;;;;;54.75
-;;;Scheuber Lutz;**;;;;;;;8.75
-;5;8.75;Elsener Marcel;*;12;55.25;3;9.75;-2;1.0;8.75
-;10;17.5;Betschart Daniel;;15;54.5;7;18.5;-3;1.0;8.75
+;14;26.25;Rohrer André;;21;53.0;10;27.25;-4;1.0;9.75
-;14;36.0;Thalmann Thomas;*;20;53.25;14;36.0;0;0.0;8.75
+;17;44.75;Ming Christian;*;20;53.25;17;44.75;0;0.0;10.0

14j;Durrer Fabian;*;;;;;;;;;54.75
+;;;Vogler Daniel;*;;;;;;;9.75
o;3;9.75;Scheuber Lutz;**;4;57.25;5;8.75;2;-1.0;8.5
+;8;18.25;Ettlin Kevin (2001);;21;53.0;5;19.0;-3;0.75;9.75
+;7;28.0;Gut Koni;;13;55.0;6;28.25;-1;0.25;9.75
o;7;37.75;Rohrer Beat;*;8;56.25;7;37.75;0;0.0;8.5
o;11;46.25;Rohrer Marco;**;5;57.0;7;47.25;-4;1.0;8.5

14k;Bürgi Tobias;;;;;;;;;;54.75
-;;;Zumstein Patrick;;;;;;;;9.0
+;4;9.0;Odermatt Fabian (2002);;18;53.75;2;10.0;-2;1.0;9.75
o;6;18.75;Rohrer Beat;*;8;56.25;8;18.25;2;-0.5;8.5
o;10;27.25;Niederberger Markus;*;10;55.75;10;27.25;0;0.0;8.5
-;15;35.75;Durrer Robin;;13;55.0;14;36.0;-1;0.25;9.0
+;17;44.75;Zumstein Marcel;;18;53.75;15;45.25;-2;0.5;10.0

15a;Bienz Romeo;;;;;;;;;;54.5
-;;;Kaufmann Jens;;;;;;;;8.75
+;5;8.75;Kaiser Sandro;;26;35.25;6;8.5;1;-0.25;10.0
o;6;18.75;Odermatt Remo;*;11;55.5;7;18.5;1;-0.25;8.5
-;10;27.25;Zimmermann Simon;**;20;53.25;10;27.25;0;0.0;8.75
+;14;36.0;Ettlin Kevin (2001);;21;53.0;14;36.0;0;0.0;9.75
-;13;45.75;Käslin Ruedi;*;16;54.25;14;45.5;1;-0.25;8.75

15b;Gander Adrian;*;;;;;;;;;54.5
-;;;Kenel Franz-Toni;*;;;;;;;8.75
o;5;8.75;Gwerder Christian;**;7;56.5;5;8.75;0;0.0;8.5
-;11;17.25;Vogel Marcel;;16;54.25;7;18.5;-4;1.25;8.75
+;15;26.0;Arnold Marcel;*;29;34.5;15;26.0;0;0.0;10.0
-;14;36.0;Bucher Thomas;;14;54.75;14;36.0;0;0.0;8.75
+;17;44.75;Auf der Maur Michael (2000);;20;53.25;17;44.75;0;0.0;9.75

15c;Durrer Lukas;;;;;;;;;;54.5
+;;;Kälin Michael (2002);;;;;;;;9.75
-;3;9.75;Wicki Patrick;;14;54.75;2;10.0;-1;0.25;9.0
o;6;18.75;Reichmuth Marco;**;9;56.0;9;17.75;3;-1.0;8.5
-;10;27.25;Scherrer Patrick;;18;53.75;10;27.25;0;0.0;9.0
+;13;36.25;Vogler Jakob (2000);;23;52.5;16;35.5;3;-0.75;9.75
o;12;46.0;Bachmann Roger;*;9;56.0;12;46.0;0;0.0;8.5

15d;Kaufmann Jens;;;;;;;;;;54.5
-;;;Bienz Romeo;;;;;;;;8.75
+;5;8.75;Strickler Fabio (2001);;23;52.5;3;9.75;-2;1.0;10.0
-;6;18.75;Fontana Michael;*;14;54.75;7;18.5;1;-0.25;8.75
o;9;27.5;Bernet Christoph;*;10;55.75;10;27.25;1;-0.25;8.5
o;14;36.0;Bühler Patrice;;12;55.25;15;35.75;1;-0.25;8.5
+;18;44.5;Kälin Michael (2002);;22;52.75;19;44.25;1;-0.25;10.0

15e;Zumstein Patrick;;;;;;;;;;54.5
-;;;Bürgi Tobias;;;;;;;;9.0
+;4;9.0;Fallegger Joel;;14;54.75;5;8.75;1;-0.25;10.0
-;5;19.0;Arnold Severin;*;16;54.25;7;18.5;2;-0.5;8.75
o;8;27.75;Bachmann Roger;*;9;56.0;9;27.5;1;-0.25;8.5
+;13;36.25;Kälin Michael (2002);;22;52.75;15;35.75;2;-0.5;9.75
o;12;46.0;Muff André;*;10;55.75;12;46.0;0;0.0;8.5

15f;Betschart Daniel;;;;;;;;;;54.5
-;;;Gander Martin;;;;;;;;8.75
+;5;8.75;Rohrer Michael;;26;35.25;6;8.5;1;-0.25;9.75
-;7;18.5;Peng Mike;***;14;54.75;10;17.5;3;-1.0;8.75
+;10;27.25;Britschgi Markus;;17;54.0;11;27.0;1;-0.25;9.75
-;10;37.0;Ming Hannes;;11;55.5;11;36.75;1;-0.25;8.75
-;13;45.75;Lang Julian;;16;54.25;14;45.5;1;-0.25;8.75

15g;Rüttimann Daniel;;;;;;;;;;54.5
+;;;Gasser Dominik 1;;;;;;;;9.75
-;3;9.75;Gisler Jonas (2001);;13;55.0;2;10.0;-1;0.25;9.0
o;6;18.75;Rohrer Ueli;*;10;55.75;8;18.25;2;-0.5;8.5
o;10;27.25;Wallimann Remo;;10;55.75;9;27.5;-1;0.25;8.5
+;15;35.75;Hess Severin (2001);;21;53.0;15;35.75;0;0.0;10.0
-;13;45.75;Käslin Benno;*;15;54.5;13;45.75;0;0.0;8.75

15h;Käslin Benno;*;;;;;;;;;54.5
+;;;Betschart Marcel;*;;;;;;;10.0
o;2;10.0;Imhof Andi;***;2;58.75;3;9.75;1;-0.25;8.75
+;6;18.75;Widmer Dominik;;12;55.25;2;20.0;-4;1.25;9.75
-;5;28.5;Elmiger Andreas;;9;56.0;6;28.25;1;-0.25;8.75
o;9;37.25;Thierstein Marco;*;13;55.0;11;36.75;2;-0.5;8.5
-;13;45.75;Rüttimann Daniel;;15;54.5;13;45.75;0;0.0;8.75

15i;Herger Simon;;;;;;;;;;54.5
+;;;Britschgi Markus;;;;;;;;9.75
-;3;9.75;Ming Christian 2;;11;55.5;2;10.0;-1;0.25;8.75
-;7;18.5;Ming Christian;*;20;53.25;11;17.25;4;-1.25;8.75
-;10;27.25;Müller Ivo (2002);;21;53.0;10;27.25;0;0.0;8.75
+;14;36.0;Durrer Pascal (2002);;22;52.75;15;35.75;1;-0.25;10.0
o;12;46.0;Fessler Linus;**;9;56.0;12;46.0;0;0.0;8.5

15j;Arnold Lukas;;;;;;;;;;54.5
-;;;Durrer Ueli;;;;;;;;8.75
+;5;8.75;Bucher Sandro (2000);;21;53.0;5;8.75;0;0.0;9.75
o;7;18.5;Niederberger Markus;*;10;55.75;11;17.25;4;-1.25;8.5
-;11;27.0;Bucher Thomas;;14;54.75;11;27.0;0;0.0;9.0
o;14;36.0;Fässler Dominic;**;16;54.25;14;36.0;0;0.0;8.5
+;18;44.5;Ettlin Thomas (2000);;20;53.25;17;44.75;-1;0.25;10.0

15k;Durrer Ueli;;;;;;;;;;54.5
-;;;Arnold Lukas;;;;;;;;8.75
+;5;8.75;Zgraggen Peter;;11;55.5;6;8.5;1;-0.25;10.0
