4161-2019-06-02_Luzerner_Kant_Schwingfest-ST

1a;Heinzer Stefan;**;;;;;;;;;112.0
+;13;27.25;Huser Christian;;14;55.25;9;28.25;-4;1.0;9.75
+;12;37.0;Bucheli Dario (2001);;17;54.5;12;37.0;0;0.0;9.75
+;11;46.75;Wüest David;;13;55.5;10;47.0;-1;0.25;10.0

8h;Brun Jonas;**;;;;;;;;;56.75
-;;;Scheuber Lutz;**;;;;;;;8.75
+;5;8.75;Betschart Silvan;*;29;35.5;6;8.5;1;-0.25;10.0
+;6;18.75;Müller Mathias;;13;55.5;2;20.0;-4;1.25;9.75
+;8;28.5;Waser Reto;*;8;56.75;8;28.5;0;0.0;10.0
o;6;38.5;Gloggner Philipp;***;6;57.25;5;38.75;-1;0.25;8.5
+;10;47.0;Gerber Peter;*;15;55.0;12;46.5;2;-0.5;9.75

8i;Waser Reto;*;;;;;;;;;56.75
o;;;Kurmann Toni;*;;;;;;;8.75
+;5;8.75;Stöckli Damian;*;11;56.0;5;8.75;0;0.0;9.75
+;7;18.5;Riebli Leon (2003);;18;54.25;3;19.75;-4;1.25;10.0
o;8;28.5;Brun Jonas;**;8;56.75;8;28.5;0;0.0;8.5
+;12;37.0;Ming Christian 2;;19;54.0;12;37.0;0;0.0;9.75
+;11;46.75;Fellmann Simon;;14;55.25;11;46.75;0;0.0;10.0

8j;Kurmann Toni;*;;;;;;;;;56.75
+;;;Waser Reto;*;;;;;;;10.0
+;2;10.0;Zgraggen Fabian;*;14;55.25;2;10.0;0;0.0;10.0
o;2;20.0;Reichmuth Pirmin;***;2;58.75;2;20.0;0;0.0;8.5
+;8;28.5;Wicki Kevin;;14;55.25;8;28.5;0;0.0;10.0
+;6;38.5;Bieri Elias;;13;55.5;7;38.25;1;-0.25;9.75
o;5;48.25;Wenger Kilian;***;5;57.5;7;47.75;2;-0.5;8.5

8k;Steinauer Adrian;**;;;;;;;;;56.75
-;;;Bürli Roger;**;;;;;;;8.75
+;5;8.75;Stadelmann Simon;*;18;54.25;6;8.5;1;-0.25;10.0
+;6;18.75;Bättig Martin;*;12;55.75;2;20.0;-4;1.25;10.0
o;7;28.75;Gloggner Philipp;***;6;57.25;7;28.75;0;0.0;8.5
+;11;37.25;Jund Matthias;;10;56.25;8;38.0;-3;0.75;9.75
+;10;47.0;Kurmann Jvo;;13;55.5;10;47.0;0;0.0;9.75

8l;Schneider Domenic;***;;;;;;;;;56.75
o;;;Wicki Joel;**;;;;;;;8.5
+;6;8.5;Widmer Adrian;*;11;56.0;3;9.75;-3;1.25;10.0
+;7;18.5;Murer Andy;**;8;56.75;6;18.75;-1;0.25;9.75
-;9;28.25;Scheuber Lutz;**;7;57.0;8;28.5;-1;0.25;8.75
+;12;37.0;Bürli Roger;**;10;56.25;8;38.0;-4;1.0;10.0
+;10;47.0;Suppiger Thomas;*;12;55.75;9;47.25;-1;0.25;9.75

8m;Egli Damian;**;;;;;;;;;56.75
-;;;Schneider Mario;**;;;;;;;8.75
+;5;8.75;Blaser Theo;*;13;55.5;5;8.75;0;0.0;10.0
+;6;18.75;Suter Beat;;9;56.5;2;20.0;-4;1.25;9.75
o;8;28.5;Schuler Christian;***;6;57.25;7;28.75;-1;0.25;8.5
+;12;37.0;Wenger Ruedi;;15;55.0;13;36.75;1;-0.25;10.0
+;10;47.0;Marti Simon;;14;55.25;11;46.75;1;-0.25;9.75

9a;Suter Beat;;;;;;;;;;56.5
+;;;Bühlmann Daniel;;;;;;;;10.0
+;2;10.0;Widmer Simon;;18;54.25;2;10.0;0;0.0;10.0
o;2;20.0;Egli Damian;**;8;56.75;6;18.75;4;-1.25;8.5
-;8;28.5;Schmidiger Marco;*;14;55.25;9;28.25;1;-0.25;9.0
+;10;37.5;Bättig Martin;*;12;55.75;11;37.25;1;-0.25;10.0
-;8;47.5;Troxler Jonas;;8;56.75;7;47.75;-1;0.25;9.0

9b;Schöpfer Ronny;*;;;;;;;;;56.5
+;;;Schuler Daniel;*;;;;;;;10.0
o;2;10.0;Schuler Christian;***;6;57.25;4;9.0;2;-1.0;8.5
+;7;18.5;Wyss Christian;;11;56.0;6;18.75;-1;0.25;9.75
+;9;28.25;Müller Mathias;;13;55.5;8;28.5;-1;0.25;10.0
o;7;38.25;Betschart Patrick;*;9;56.5;8;38.0;1;-0.25;8.5
+;11;46.75;Huser Christian;;14;55.25;11;46.75;0;0.0;9.75

9c;Bieri Marcel;**;;;;;;;;;56.5
-;;;Ambühl Joel;**;;;;;;;9.0
+;4;9.0;Schmidiger Marco;*;14;55.25;2;10.0;-2;1.0;10.0
-;5;19.0;Fankhauser Reto;**;6;57.25;6;18.75;1;-0.25;9.0
+;10;28.0;Lemmenmeier Lukas;*;8;56.75;8;28.5;-2;0.5;10.0
+;8;38.0;Kaufmann Reto (2002);;8;56.75;2;39.75;-6;1.75;9.75
-;7;47.75;Gloggner Philipp;***;6;57.25;4;48.5;-3;0.75;8.75

9d;Betschart Patrick;*;;;;;;;;;56.5
+;;;Heiniger Marco;*;;;;;;;9.75
o;3;9.75;Fankhauser Erich;***;10;56.25;4;9.0;1;-0.75;8.5
+;8;18.25;Marti Simon;;14;55.25;4;19.5;-4;1.25;9.75
+;10;28.0;Ziegler Elias;;13;55.5;8;28.5;-2;0.5;10.0
+;8;38.0;Schöpfer Ronny;*;9;56.5;7;38.25;-1;0.25;10.0
o;6;48.0;Suppiger René;***;7;57.0;10;47.0;4;-1.0;8.5

9e;Zurﬂuh Roman;**;;;;;;;;;56.5
-;;;Hess Dominik;*;;;;;;;9.0
+;4;9.0;Odermatt Andreas;*;12;55.75;5;8.75;1;-0.25;9.75
+;6;18.75;Betschart Daniel;;14;55.25;3;19.75;-3;1.0;10.0
o;7;28.75;Wenger Kilian;***;5;57.5;10;28.0;3;-0.75;8.75
+;10;37.5;Achermann Severin;;13;55.5;12;37.0;2;-0.5;10.0
-;8;47.5;Waser Dominik;**;10;56.25;9;47.25;1;-0.25;9.0

9f;Fink Bruno;*;;;;;;;;;56.5
+;;;Betschart Marcel;*;;;;;;;10.0
+;2;10.0;Elmiger Andreas;;27;36.5;3;9.75;1;-0.25;10.0
o;2;20.0;Burkhalter Stefan;***;11;56.0;5;19.0;3;-1.0;8.75
-;7;28.75;Gwerder Christian;**;11;56.0;8;28.5;1;-0.25;8.75
-;10;37.5;Wüest David;;13;55.5;8;38.0;-2;0.5;9.0
+;12;46.5;Zgraggen Fabian;*;14;55.25;11;46.75;-1;0.25;10.0

9g;Muff Armin;**;;;;;;;;;56.5
+;;;Bürgler Lukas;*;;;;;;;10.0
o;2;10.0;Burkhalter Stefan;***;11;56.0;4;9.0;2;-1.0;8.5
+;7;18.5;Renggli Remo (2001);;20;53.75;3;19.75;-4;1.25;10.0
-;8;28.5;Lustenberger Marc (2003);;14;55.25;8;28.5;0;0.0;9.0
+;10;37.5;Schürpf Bruno;*;18;54.25;11;37.25;1;-0.25;10.0
-;8;47.5;Mehr Lars (2002);;12;55.75;11;46.75;3;-0.75;9.0

9h;Wyrsch Marco;**;;;;;;;;;56.5
+;;;Thalmann Thomas;*;;;;;;;9.75
+;3;9.75;Suppiger René;***;7;57.0;6;8.5;3;-1.25;9.75
+;4;19.5;Wicki David;;12;55.75;2;20.0;-2;0.5;9.75
-;5;29.25;Fankhauser Erich;***;10;56.25;6;29.0;1;-0.25;8.75
+;8;38.0;Riebli Urs (2002);;14;55.25;8;38.0;0;0.0;10.0
o;6;48.0;Schneider Mario;**;6;57.25;9;47.25;3;-0.75;8.5

10a;Bernet Christoph;*;;;;;;;;;56.25
-;;;Kempf Elias;**;;;;;;;8.75
+;5;8.75;Bürgler Lukas;*;16;54.75;6;8.5;1;-0.25;10.0
o;6;18.75;Gloggner Philipp;***;6;57.25;6;18.75;0;0.0;8.5
+;13;27.25;Renggli Remo (2001);;20;53.75;9;28.25;-4;1.0;10.0
+;11;37.25;Fischer Maurus (2001);;19;54.0;12;37.0;1;-0.25;10.0
-;9;47.25;Widmer Adrian;*;11;56.0;10;47.0;1;-0.25;9.0

10b;Bürli Roger;**;;;;;;;;;56.25
-;;;Steinauer Adrian;**;;;;;;;8.75
+;5;8.75;Scherer Niklaus;*;13;55.5;5;8.75;0;0.0;9.75
+;7;18.5;Lustenberger Florian (2002);;13;55.5;3;19.75;-4;1.25;9.75
+;9;28.25;Suter Pirmin;;14;55.25;4;29.5;-5;1.25;9.75
o;8;38.0;Schneider Domenic;***;8;56.75;12;37.0;4;-1.0;8.5
+;12;46.5;Schaller Noah;;14;55.25;12;46.5;0;0.0;9.75

10c;Vogel Remo;**;;;;;;;;;56.25
-;;;Durrer Fabian;*;;;;;;;8.75
-;5;8.75;Kempf Elias;**;10;56.25;5;8.75;0;0.0;8.75
+;11;17.5;Müller Daniel (2002);;18;54.25;6;18.75;-5;1.25;10.0
+;12;27.5;Gwerder Fabian;;20;53.75;10;28.0;-2;0.5;10.0
+;10;37.5;Lagler Christian;;17;54.5;11;37.25;1;-0.25;10.0
-;8;47.5;Binggeli Stefan;**;10;56.25;8;47.5;0;0.0;8.75

10d;Kessler Joel;*;;;;;;;;;56.25
-;;;Binggeli Stefan;**;;;;;;;8.75
