4161-2019-06-02_Luzerner_Kant_Schwingfest-ST

1a;Heinzer Stefan;**;;;;;;;;;112.0
+;13;27.25;Betschart Roger (2003);;29;35.5;14;27.0;1;-0.25;10.0
o;11;37.25;Lemmenmeier Lukas;*;8;56.75;12;37.0;1;-0.25;8.5
o;15;45.75;Supper Frederik;;16;54.75;19;44.75;4;-1.0;8.5

18g;Lagler Reto;;;;;;;;;;54.25
-;;;Portmann Curdin (2003);;;;;;;;9.0
+;4;9.0;Häller Nick (2002);;22;53.25;3;9.75;-1;0.75;9.75
o;6;18.75;Fellmann Roman;**;10;56.25;10;17.75;4;-1.0;8.5
o;13;27.25;Fischer Maurus (2001);;19;54.0;13;27.25;0;0.0;8.5
-;17;35.75;Murpf Dario;;16;54.75;15;36.25;-2;0.5;8.75
+;20;44.5;Marti Pirmin (2001);;24;52.75;21;44.25;1;-0.25;9.75

18h;Wicki Fabian (2001);;;;;;;;;;54.25
o;;;Wüest David;;;;;;;;8.5
o;6;8.5;Waser Christoph (2002);;14;55.25;6;8.5;0;0.0;8.5
+;13;17.0;Jung Valentin (2003);;30;35.25;13;17.0;0;0.0;10.0
-;14;27.0;Fischer Markus;;20;53.75;14;27.0;0;0.0;9.0
o;16;36.0;Müller Daniel (2002);;18;54.25;17;35.75;1;-0.25;8.5
+;20;44.5;Steinger Nico (2001);;24;52.75;21;44.25;1;-0.25;9.75

18i;Widmer Simon;;;;;;;;;;54.25
+;;;Meier Andreas;;;;;;;;10.0
o;2;10.0;Suter Beat;;9;56.5;2;10.0;0;0.0;8.5
o;7;18.5;Kempf Elias;**;10;56.25;11;17.5;4;-1.0;8.5
-;14;27.0;Gabriel Simon (2002);;17;54.5;14;27.0;0;0.0;9.0
+;16;36.0;Häller Nick (2002);;22;53.25;17;35.75;1;-0.25;9.75
o;15;45.75;Heinzer Stefan;*;1;112.0;1;92.25;-14;46.5;8.5

18j;Stadelmann Simon;*;;;;;;;;;54.25
o;;;Zürcher Ueli;*;;;;;;;8.5
o;6;8.5;Steinauer Adrian;**;8;56.75;5;8.75;-1;0.25;8.5
+;13;17.0;von Flüe Michael;;29;35.5;7;18.5;-6;1.5;10.0
o;14;27.0;Jund Matthias;;10;56.25;10;28.0;-4;1.0;8.75
-;17;35.75;Wyrsch Hansi;;22;53.25;16;36.0;-1;0.25;8.75
+;20;44.5;Kälin Michael (2002);;21;53.5;18;45.0;-2;0.5;9.75

18k;Krummenacher Roman;;;;;;;;;;54.25
o;;;Mehr Lars (2002);;;;;;;;8.5
+;6;8.5;Albisser Jannik (2003);;34;34.0;6;8.5;0;0.0;10.0
-;7;18.5;Imfeld Beat;*;17;54.5;13;17.0;6;-1.5;8.75
+;13;27.25;Suter Bruno (2002);;17;54.5;13;27.25;0;0.0;10.0
o;11;37.25;Scheuber Lutz;**;7;57.0;11;37.25;0;0.0;8.5
o;15;45.75;Ettlin Kevin (2001);;13;55.5;16;45.5;1;-0.25;8.5

18l;Riebli Leon (2003);;;;;;;;;;54.25
+;;;Ettlin Kevin (2001);;;;;;;;9.75
+;3;9.75;Fischer Markus;;20;53.75;3;9.75;0;0.0;10.0
o;3;19.75;Waser Reto;*;8;56.75;7;18.5;4;-1.25;8.5
o;9;28.25;Heinzer Stefan;*;1;112.0;1;55.5;-8;27.25;8.5
o;13;36.75;Huser Christian;;14;55.25;13;36.75;0;0.0;8.5
-;17;45.25;Bucheli Dario (2001);;17;54.5;16;45.5;-1;0.25;9.0

19a;Föhn Christian (2002);;;;;;;;;;54.0
o;;;Achermann Simon;;;;;;;;8.5
+;6;8.5;Kottmann Daniel;;30;35.25;6;8.5;0;0.0;10.0
o;7;18.5;Hirsiger Alexander;*;17;54.5;11;17.5;4;-1.0;8.5
+;14;27.0;Schmid Joel;;29;35.5;14;27.0;0;0.0;9.75
o;13;36.75;Bühler Kilian;;13;55.5;12;37.0;-1;0.25;8.75
o;16;45.5;Felder Seppi;*;13;55.5;15;45.75;-1;0.25;8.5

19b;Zihlmann Pascal (2003);;;;;;;;;;54.0
-;;;Broch Marcel (2002);;;;;;;;8.75
o;5;8.75;Affentranger Martin;;21;53.5;6;8.5;1;-0.25;8.5
-;12;17.25;Troxler Silvan (2002);;19;54.0;13;17.0;1;-0.25;8.75
+;17;26.0;Baumeler Fabian;;33;34.25;18;25.75;1;-0.25;9.75
+;17;35.75;Jauch Marco (2002);;22;53.25;16;36.0;-1;0.25;9.75
o;16;45.5;Durrer Jonas (2003);*;16;54.75;18;45.0;2;-0.5;8.5

19c;Bättig Patrick (2003);;;;;;;;;;54.0
o;;;Johann Michael (2001);;;;;;;;8.5
+;6;8.5;Schmid Julian (2001);;30;35.25;6;8.5;0;0.0;10.0
o;7;18.5;Scherer Niklaus;*;13;55.5;12;17.25;5;-1.25;8.5
+;14;27.0;Bühler Ramon (2002);;29;35.5;14;27.0;0;0.0;10.0
o;12;37.0;Müller Mathias;;13;55.5;12;37.0;0;0.0;8.5
o;16;45.5;Lustenberger Josef;;13;55.5;15;45.75;-1;0.25;8.5

19d;Banz Matthias (2001);;;;;;;;;;54.0
+;;;Waser Christoph (2002);;;;;;;;9.75
o;3;9.75;Jund Matthias;;10;56.25;3;9.75;0;0.0;8.5
+;8;18.25;Risi Janik;;21;53.5;8;18.25;0;0.0;10.0
o;9;28.25;Binggeli Stefan;**;10;56.25;12;27.5;3;-0.75;8.5
o;13;36.75;Bucher Thomas;;13;55.5;12;37.0;-1;0.25;8.75
o;16;45.5;Bättig Martin;*;12;55.75;15;45.75;-1;0.25;8.5

19e;Widmer Dominik;;;;;;;;;;54.0
o;;;Weber Ivo;;;;;;;;8.75
+;5;8.75;Bühler Ramon (2002);;29;35.5;6;8.5;1;-0.25;10.0
o;6;18.75;Hurschler Thomas;**;5;57.5;8;18.25;2;-0.5;8.5
+;13;27.25;Gasser Dominik 2;;12;55.75;13;27.25;0;0.0;9.75
o;12;37.0;Suppiger Thomas;*;12;55.75;11;37.25;-1;0.25;8.5
o;16;45.5;Dissler Philipp;*;13;55.5;16;45.5;0;0.0;8.5

19f;Vogel Marcel;;;;;;;;;;54.0
o;;;Lagler Christian;;;;;;;;8.5
+;6;8.5;Johann Kilian (2003);;34;34.0;6;8.5;0;0.0;10.0
-;7;18.5;Grab Daniel;**;10;56.25;11;17.5;4;-1.0;8.75
+;13;27.25;Staub Ivan;;29;35.5;14;27.0;1;-0.25;9.75
o;12;37.0;Waser Dominik;**;10;56.25;11;37.25;-1;0.25;8.5
o;16;45.5;Stöckli Damian;*;11;56.0;14;46.0;-2;0.5;8.5

19g;Hodler Mathias;;;;;;;;;;54.0
+;;;Hodel Joel (2003);;;;;;;;10.0
o;2;10.0;Zumstein Patrick;;18;54.25;2;10.0;0;0.0;8.5
o;7;18.5;Kammermann Thomas;*;12;55.75;11;17.5;4;-1.0;8.5
+;14;27.0;Wigger Simon;;29;35.5;14;27.0;0;0.0;10.0
o;12;37.0;Wicki David;;12;55.75;11;37.25;-1;0.25;8.5
o;16;45.5;Fässler Dominic;**;14;55.25;16;45.5;0;0.0;8.5

19h;Auf der Maur Michael;;;;;;;;;;54.0
+;;;Ming Christian 2;;;;;;;;10.0
+;2;10.0;Schöpfer Marco (2003);;16;54.75;2;10.0;0;0.0;10.0
o;2;20.0;Suppiger Werner;**;6;57.25;5;19.0;3;-1.0;8.5
o;8;28.5;Fankhauser Reto;**;6;57.25;11;27.75;3;-0.75;8.5
o;12;37.0;Schwyzer Samuel (2001);;14;55.25;12;37.0;0;0.0;8.5
o;16;45.5;Bühlmann Daniel;;12;55.75;15;45.75;-1;0.25;8.5

19i;Roschi Adrian;;;;;;;;;;54.0
o;;;Kaufmann Reto (2002);;;;;;;;8.5
+;6;8.5;Vogel Ivo (2001);;29;35.5;5;8.75;-1;0.25;9.75
o;8;18.25;Rust Sandro;;21;53.5;8;18.25;0;0.0;8.5
+;15;26.75;Hodel Iwan (2002);;29;35.5;14;27.0;-1;0.25;10.0
-;13;36.75;Schnider Markus;*;22;53.25;17;35.75;4;-1.0;8.75
o;16;45.5;Scherer Niklaus;*;13;55.5;15;45.75;-1;0.25;8.5

19j;Troxler Silvan (2002);;;;;;;;;;54.0
o;;;Doppmann Ueli;;;;;;;;8.5
o;6;8.5;Bühler Patrice;;12;55.75;5;8.75;-1;0.25;8.5
-;13;17.0;Zihlmann Pascal (2003);;19;54.0;12;17.25;-1;0.25;9.0
+;17;26.0;Wobmann Manuel (2003);;34;34.0;19;25.5;2;-0.5;9.75
+;17;35.75;Krieg Silvan;;24;52.75;17;35.75;0;0.0;9.75
o;16;45.5;Würsch Lars;*;12;55.75;15;45.75;-1;0.25;8.5

19k;Fischer Maurus (2001);;;;;;;;;;54.0
o;;;Jund Matthias;;;;;;;;8.75
+;5;8.75;Staffelbach Noah (2003);;33;34.25;6;8.5;1;-0.25;10.0
o;6;18.75;Achermann Simon;;13;55.5;7;18.5;1;-0.25;8.5
+;13;27.25;Lagler Reto;;18;54.25;13;27.25;0;0.0;9.75
o;12;37.0;Bernet Christoph;*;10;56.25;11;37.25;-1;0.25;8.5
o;16;45.5;Wyrsch Silvio;*;13;55.5;15;45.75;-1;0.25;8.5

19l;Marti Philipp (2002);;;;;;;;;;54.0
o;;;Bucher André (2001);;;;;;;;8.5
o;6;8.5;Wicki Kevin;;14;55.25;6;8.5;0;0.0;8.5
+;13;17.0;Staffelbach Noah (2003);;33;34.25;13;17.0;0;0.0;9.75
+;15;26.75;Duss Yvan (2003);;30;35.25;15;26.75;0;0.0;9.75
o;14;36.5;Bürgler Lukas;*;16;54.75;16;36.0;2;-0.5;8.5
-;18;45.0;Fischer Markus;;20;53.75;19;44.75;1;-0.25;9.0

19m;Schumacher Marco;;;;;;;;;;54.0
-;;;Füglister Stefan (2003);;;;;;;;8.75
o;5;8.75;Grüter Marcel;;29;35.5;6;8.5;1;-0.25;8.5
+;12;17.25;Koch Florian (2003);;34;34.0;13;17.0;1;-0.25;10.0
o;13;27.25;Schuler Daniel;*;12;55.75;15;26.75;2;-0.5;8.5
o;17;35.75;Gabriel Simon (2002);;17;54.5;16;36.0;-1;0.25;8.5
+;21;44.25;Broch Marcel (2002);;24;52.75;21;44.25;0;0.0;9.75

19n;Ming Christian 2;;;;;;;;;;54.0
o;;;Auf der Maur Michael;;;;;;;;8.5
+;6;8.5;Schumacher Ramon (2002);;23;53.0;4;9.0;-2;0.5;10.0
o;7;18.5;Schuler Daniel;*;12;55.75;13;17.0;6;-1.5;8.5
+;14;27.0;Forster Christian;;29;35.5;14;27.0;0;0.0;10.0
o;12;37.0;Waser Reto;*;8;56.75;12;37.0;0;0.0;8.5
o;16;45.5;Wenger Ruedi;;15;55.0;17;45.25;1;-0.25;8.5

20a;Fischer Markus;;;;;;;;;;53.75
+;;;Rogenmoser Linus (2002);;;;;;;;9.75
o;3;9.75;Riebli Leon (2003);;18;54.25;3;9.75;0;0.0;8.75
o;7;18.5;Wicki Kevin;;14;55.25;7;18.5;0;0.0;8.5
-;14;27.0;Wicki Fabian (2001);;18;54.25;14;27.0;0;0.0;9.0
-;16;36.0;Wigger Fabian;;23;53.0;17;35.75;1;-0.25;8.75
-;19;44.75;Marti Philipp (2002);;19;54.0;18;45.0;-1;0.25;9.0

20b;Meier Andreas;;;;;;;;;;53.75
o;;;Widmer Simon;;;;;;;;8.5
+;6;8.5;Koch Florian (2003);;34;34.0;6;8.5;0;0.0;9.75
+;8;18.25;Bullakaj Benhard;;30;35.25;8;18.25;0;0.0;10.0
o;9;28.25;Ambühl Joel;**;6;57.25;12;27.5;3;-0.75;8.5
o;13;36.75;Portmann Roger;;13;55.5;12;37.0;-1;0.25;8.5
o;17;45.25;Graber Michael;*;14;55.25;16;45.5;-1;0.25;8.5

20c;Bussmann Martin;;;;;;;;;;53.75
o;;;Müller Mathias;;;;;;;;8.5
+;6;8.5;Theiler Andre (2003);;31;34.75;4;9.0;-2;0.5;10.0
-;7;18.5;Hürlimann Mathias;*;16;54.75;12;17.25;5;-1.25;8.75
-;13;27.25;Wyrsch Hansi;;22;53.25;14;27.0;1;-0.25;9.0
-;15;36.25;Weber Ivo;;15;55.0;15;36.25;0;0.0;9.0
o;17;45.25;Blaser Theo;*;13;55.5;15;45.75;-2;0.5;8.5

20d;Gwerder Fabian;;;;;;;;;;53.75
o;;;Riebli Urs (2002);;;;;;;;8.5
+;6;8.5;Schmidiger Kevin (2002);;33;34.25;6;8.5;0;0.0;9.75
+;8;18.25;Affentranger Martin;;21;53.5;8;18.25;0;0.0;9.75
o;10;28.0;Vogel Remo;**;10;56.25;12;27.5;2;-0.5;8.75
o;13;36.75;Felder Martin;*;6;57.25;10;37.5;-3;0.75;8.5
o;17;45.25;Doppmann Ueli;;13;55.5;16;45.5;-1;0.25;8.5

20e;Gisler Stefan;;;;;;;;;;53.75
o;;;Della Torre Simon;;;;;;;;8.5
+;6;8.5;von Euw Lukas (2002);;14;55.25;5;8.75;-1;0.25;10.0
o;7;18.5;Arnold Raphael;**;10;56.25;10;17.75;3;-0.75;8.5
+;14;27.0;Bernet Raffael;;29;35.5;14;27.0;0;0.0;9.75
o;13;36.75;Würsch Lars;*;12;55.75;16;36.0;3;-0.75;8.5
o;17;45.25;Waser Christoph (2002);;14;55.25;17;45.25;0;0.0;8.5

20f;Achermann Daniel;;;;;;;;;;53.75
+;;;Gabriel Simon (2002);;;;;;;;9.75
+;3;9.75;Giger Janik (2002);;30;35.25;3;9.75;0;0.0;10.0
o;3;19.75;Gloggner Reto;**;7;57.0;7;18.5;4;-1.25;8.5
o;9;28.25;Kenel Franz-Toni;*;12;55.75;13;27.25;4;-1.0;8.5
o;13;36.75;Mehr Lars (2002);;12;55.75;13;36.75;0;0.0;8.5
o;17;45.25;Lustenberger Florian (2002);;13;55.5;16;45.5;-1;0.25;8.5

20g;Wyrsch Gabriel (2001);;;;;;;;;;53.75
+;;;Waser David (2002);;;;;;;;9.75
o;3;9.75;Riebli Urs (2002);;14;55.25;2;10.0;-1;0.25;8.5
o;8;18.25;Aregger Fabian (2001);;15;55.0;8;18.25;0;0.0;8.5
+;15;26.75;Schmid Julian (2001);;30;35.25;15;26.75;0;0.0;9.75
o;14;36.5;Müller Roger;*;17;54.5;16;36.0;2;-0.5;8.75
o;17;45.25;Thalmann Thomas;*;17;54.5;19;44.75;2;-0.5;8.5

20h;Reichlin Reto (2002);;;;;;;;;;53.75
o;;;Marti Simon;;;;;;;;8.5
o;6;8.5;Bullakaj Benhard;;30;35.25;6;8.5;0;0.0;8.5
+;13;17.0;Birrer Sandro (2003);;29;35.5;13;17.0;0;0.0;9.75
+;15;26.75;Müller Silvio (2003);;32;34.5;17;26.0;2;-0.75;10.0
o;13;36.75;Ziegler Elias;;13;55.5;12;37.0;-1;0.25;8.5
o;17;45.25;Kammermann Thomas;*;12;55.75;15;45.75;-2;0.5;8.5

20i;Schmid Pius;;;;;;;;;;53.75
+;;;Gloggner Elias (2002);;;;;;;;9.75
o;3;9.75;Lustenberger Marc (2003);;14;55.25;2;10.0;-1;0.25;8.5
o;8;18.25;Schwyzer Samuel (2001);;14;55.25;9;18.0;1;-0.25;8.5
+;15;26.75;Waser David (2002);;30;35.25;15;26.75;0;0.0;9.75
o;14;36.5;Felder Seppi;*;13;55.5;17;35.75;3;-0.75;8.5
-;18;45.0;Schnider Markus;*;22;53.25;20;44.5;2;-0.5;8.75

20j;Renggli Remo (2001);;;;;;;;;;53.75
+;;;Heller Ivan (2003);;;;;;;;10.0
+;2;10.0;Müller Daniel (2002);;18;54.25;2;10.0;0;0.0;9.75
o;3;19.75;Muff Armin;**;9;56.5;7;18.5;4;-1.25;8.5
o;9;28.25;Bernet Christoph;*;10;56.25;13;27.25;4;-1.0;8.5
o;13;36.75;Della Torre Simon;;13;55.5;13;36.75;0;0.0;8.5
o;17;45.25;Auf der Maur Alex;;15;55.0;18;45.0;1;-0.25;8.5

21a;Bissig Lukas (2003);;;;;;;;;;53.5
+;;;Wigger Fabian;;;;;;;;9.75
+;3;9.75;Johann Michael (2001);;21;53.5;3;9.75;0;0.0;9.75
o;4;19.5;Schärli Reto;*;12;55.75;7;18.5;3;-1.0;8.5
o;10;28.0;Wyrsch Silvio;*;13;55.5;13;27.25;3;-0.75;8.5
o;14;36.5;Fellmann Simon;;14;55.25;13;36.75;-1;0.25;8.5
o;18;45.0;Aregger Fabian (2001);;15;55.0;18;45.0;0;0.0;8.5

21b;Kälin Michael (2002);;;;;;;;;;53.5
-;;;Vogel Ivo (2001);;;;;;;;9.0
o;4;9.0;Rust Sandro;;21;53.5;6;8.5;2;-0.5;8.75
+;10;17.75;Füglister Stefan (2003);;33;34.25;12;17.25;2;-0.5;9.75
o;12;27.5;Schmid Simon;*;12;55.75;14;27.0;2;-0.5;8.5
-;16;36.0;Schöpfer Marco (2003);;16;54.75;16;36.0;0;0.0;9.0
o;18;45.0;Stadelmann Simon;*;18;54.25;20;44.5;2;-0.5;8.5

21c;Rust Sandro;;;;;;;;;;53.5
o;;;Wicki David;;;;;;;;8.5
+;6;8.5;Kälin Michael (2002);;21;53.5;4;9.0;-2;0.5;9.75
+;8;18.25;Roschi Adrian;;19;54.0;8;18.25;0;0.0;9.75
o;10;28.0;Schürpf Bruno;*;18;54.25;13;27.25;3;-0.75;8.5
o;14;36.5;Gasser Dominik 2;;12;55.75;17;35.75;3;-0.75;8.5
o;18;45.0;von Ah Markus;;14;55.25;16;45.5;-2;0.5;8.5

21d;Affentranger Martin;;;;;;;;;;53.5
o;;;Lustenberger Josef;;;;;;;;8.5
+;6;8.5;Zihlmann Pascal (2003);;19;54.0;5;8.75;-1;0.25;9.75
o;8;18.25;Gwerder Fabian;;20;53.75;8;18.25;0;0.0;8.5
+;15;26.75;Birrer Marcel (2001);;29;35.5;15;26.75;0;0.0;9.75
o;14;36.5;Gasser Peter;*;11;56.0;16;36.0;2;-0.5;8.5
o;18;45.0;Wallimann Remo;*;17;54.5;19;44.75;1;-0.25;8.5

21e;Burri Ueli;;;;;;;;;;53.5
o;;;Betschart Roger (2003);;;;;;;;8.5
o;6;8.5;Gabriel Simon (2002);;17;54.5;6;8.5;0;0.0;8.5
-;13;17.0;Krieg Silvan;;24;52.75;13;17.0;0;0.0;9.0
+;17;26.0;Johann Kilian (2003);;34;34.0;19;25.5;2;-0.5;10.0
o;16;36.0;Epp Elias (2003);;16;54.75;14;36.5;-2;0.5;8.5
-;20;44.5;Häller Nick (2002);;22;53.25;21;44.25;1;-0.25;9.0

21f;Risi Janik;;;;;;;;;;53.5
+;;;Hodel Iwan (2002);;;;;;;;9.75
o;3;9.75;Bieri Elias;;13;55.5;2;10.0;-1;0.25;8.5
o;8;18.25;Banz Matthias (2001);;19;54.0;8;18.25;0;0.0;8.5
+;15;26.75;Rust Silvio (2001);;31;34.75;16;26.25;1;-0.5;9.75
o;14;36.5;Bachmann Roger;*;16;54.75;16;36.0;2;-0.5;8.5
o;18;45.0;Zgraggen Peter;;15;55.0;17;45.25;-1;0.25;8.5

21g;Beer Andy;;;;;;;;;;53.5
o;;;Bühler Kilian;;;;;;;;8.5
+;6;8.5;Broch Marcel (2002);;24;52.75;4;9.0;-2;0.5;9.75
+;8;18.25;Achermann Ueli (2001);;30;35.25;8;18.25;0;0.0;9.75
o;10;28.0;Graber Michael;*;14;55.25;13;27.25;3;-0.75;8.5
o;14;36.5;Heiniger Marco;*;25;46.0;15;36.25;1;-0.25;8.5
o;18;45.0;Wicki Kevin;;14;55.25;16;45.5;-2;0.5;8.5

21h;Portmann Curdin (2003);;;;;;;;;;53.5
-;;;Lagler Reto;;;;;;;;9.0
-;4;9.0;Wigger Fabian;;23;53.0;6;8.5;2;-0.5;9.0
-;9;18.0;Brunner Timon;;17;54.5;12;17.25;3;-0.75;8.75
+;15;26.75;Rogenmoser Linus (2002);;29;35.5;14;27.0;-1;0.25;9.75
o;14;36.5;Hürlimann Mathias;*;16;54.75;15;36.25;1;-0.25;8.5
o;18;45.0;von Euw Lukas (2002);;14;55.25;17;45.25;-1;0.25;8.5

21i;Johann Michael (2001);;;;;;;;;;53.5
+;;;Bättig Patrick (2003);;;;;;;;9.75
o;3;9.75;Bissig Lukas (2003);;21;53.5;3;9.75;0;0.0;8.5
o;8;18.25;Auf der Maur Alex;;15;55.0;8;18.25;0;0.0;8.5
+;15;26.75;Bullakaj Benhard;;30;35.25;15;26.75;0;0.0;9.75
o;14;36.5;Bucher André (2001);;13;55.5;12;37.0;-2;0.5;8.5
o;18;45.0;Gasser Dominik 2;;12;55.75;15;45.75;-3;0.75;8.5

22a;Jauch Marco (2002);;;;;;;;;;53.25
o;;;Zgraggen Peter;;;;;;;;8.5
-;6;8.5;Marti Pirmin (2001);;24;52.75;6;8.5;0;0.0;8.75
-;12;17.25;Müller Silvio (2003);;32;34.5;13;17.0;1;-0.25;8.75
+;17;26.0;Bürli Daniel (2003);;34;34.0;19;25.5;2;-0.5;10.0
o;16;36.0;Zihlmann Pascal (2003);;19;54.0;17;35.75;1;-0.25;8.75
o;19;44.75;Hodel Martin;;16;54.75;19;44.75;0;0.0;8.5

22b;Wyrsch Hansi;;;;;;;;;;53.25
+;;;Amrhyn Christoph (2002);;;;;;;;10.0
o;2;10.0;Fellmann Simon;;14;55.25;3;9.75;1;-0.25;8.5
o;7;18.5;Wandeler Roman (2002);;14;55.25;8;18.25;1;-0.25;8.5
-;14;27.0;Bussmann Martin;;20;53.75;13;27.25;-1;0.25;9.0
-;16;36.0;Stadelmann Simon;*;18;54.25;17;35.75;1;-0.25;8.75
o;19;44.75;Murpf Dario;;16;54.75;18;45.0;-1;0.25;8.5

22c;Schnider Markus;*;;;;;;;;;53.25
-;;;Keller Janik;*;;;;;;;8.75
o;5;8.75;Scheuber Lutz;**;7;57.0;5;8.75;0;0.0;8.5
+;12;17.25;Bernet Raffael;;29;35.5;7;18.5;-5;1.25;9.75
o;14;27.0;Marti Simon;;14;55.25;10;28.0;-4;1.0;8.75
-;17;35.75;Roschi Adrian;;19;54.0;13;36.75;-4;1.0;8.75
-;20;44.5;Schmid Pius;;20;53.75;18;45.0;-2;0.5;8.75

22d;Häller Nick (2002);;;;;;;;;;53.25
+;;;Achermann Ueli (2001);;;;;;;;9.75
o;3;9.75;Lagler Reto;;18;54.25;4;9.0;1;-0.75;8.5
-;8;18.25;Betschart Roger (2003);;29;35.5;8;18.25;0;0.0;9.0
o;13;27.25;Grab Daniel;**;10;56.25;16;26.25;3;-1.0;8.5
o;17;35.75;Widmer Simon;;18;54.25;16;36.0;-1;0.25;8.5
-;21;44.25;Burri Ueli;;21;53.5;20;44.5;-1;0.25;9.0

23a;Wigger Fabian;;;;;;;;;;53.0
o;;;Bissig Lukas (2003);;;;;;;;8.5
-;6;8.5;Portmann Curdin (2003);;21;53.5;4;9.0;-2;0.5;9.0
+;11;17.5;Erni Jano (2003);;34;34.0;13;17.0;2;-0.5;9.75
o;13;27.25;Hürlimann Mathias;*;16;54.75;16;26.25;3;-1.0;8.5
-;17;35.75;Fischer Markus;;20;53.75;16;36.0;-1;0.25;8.75
o;20;44.5;Egli Matthias (2001);;17;54.5;19;44.75;-1;0.25;8.5

23b;Schumacher Ramon (2002);;;;;;;;;;53.0
-;;;Theiler Andre (2003);;;;;;;;9.0
o;4;9.0;Ming Christian 2;;19;54.0;6;8.5;2;-0.5;8.5
+;11;17.5;Marti Pirmin (2001);;24;52.75;12;17.25;1;-0.25;9.75
o;13;27.25;Imfeld Beat;*;17;54.5;17;26.0;4;-1.25;8.5
o;17;35.75;Herger Andreas;;16;54.75;15;36.25;-2;0.5;8.5
o;21;44.25;Suter Bruno (2002);;17;54.5;19;44.75;-2;0.5;8.75

24a;Marti Pirmin (2001);;;;;;;;;;52.75
o;;;Bieri Elias;;;;;;;;8.5
-;6;8.5;Jauch Marco (2002);;22;53.25;6;8.5;0;0.0;8.75
o;12;17.25;Schumacher Ramon (2002);;23;53.0;11;17.5;-1;0.25;8.75
+;17;26.0;Theiler Andre (2003);;31;34.75;16;26.25;-1;0.25;9.75
o;17;35.75;Brunner Timon;;17;54.5;16;36.0;-1;0.25;8.5
o;21;44.25;Lagler Reto;;18;54.25;20;44.5;-1;0.25;8.5

24b;Broch Marcel (2002);;;;;;;;;;52.75
-;;;Zihlmann Pascal (2003);;;;;;;;9.0
o;4;9.0;Beer Andy;;21;53.5;6;8.5;2;-0.5;8.5
o;11;17.5;Amrhyn Christoph (2002);;17;54.5;10;17.75;-1;0.25;8.5
+;17;26.0;Füglister Florian (2002);;30;35.25;15;26.75;-2;0.75;9.75
o;17;35.75;Fallegger Joel;;16;54.75;15;36.25;-2;0.5;8.5
o;21;44.25;Schumacher Marco;;19;54.0;21;44.25;0;0.0;8.5

24c;Steinger Nico (2001);;;;;;;;;;52.75
+;;;Würsch Kevin (2003);;;;;;;;10.0
o;2;10.0;Wicki David;;12;55.75;2;10.0;0;0.0;8.75
o;6;18.75;Wallimann Remo;*;17;54.5;11;17.5;5;-1.25;8.5
o;13;27.25;Wandeler Roman (2002);;14;55.25;10;28.0;-3;0.75;8.5
o;17;35.75;Egli Adrian (2002);;17;54.5;16;36.0;-1;0.25;8.5
o;21;44.25;Wicki Fabian (2001);;18;54.25;20;44.5;-1;0.25;8.5

24d;Krieg Silvan;;;;;;;;;;52.75
o;;;Giger Janik (2002);;;;;;;;8.5
o;6;8.5;Duss Yvan (2003);;30;35.25;6;8.5;0;0.0;8.5
-;13;17.0;Burri Ueli;;21;53.5;13;17.0;0;0.0;9.0
+;17;26.0;Füglister Stefan (2003);;33;34.25;18;25.75;1;-0.25;9.75
o;17;35.75;Troxler Silvan (2002);;19;54.0;17;35.75;0;0.0;8.5
o;21;44.25;Heller Ivan (2003);;18;54.25;20;44.5;-1;0.25;8.5

25a;Heiniger Marco;*;;;;;;;;;46.0
o;;;Betschart Patrick;*;;;;;;;8.5
+;6;8.5;Gasser Peter;*;11;56.0;5;8.75;-1;0.25;10.0
o;7;18.5;Wenger Kilian;***;5;57.5;8;18.25;1;-0.25;8.75
-;13;27.25;Betschart Daniel;;14;55.25;9;28.25;-4;1.0;9.0
+;15;36.25;Beer Andy;;21;53.5;14;36.5;-1;0.25;9.75

26a;Scherrer Fabian (2002);;;;;;;;;;37.0
+;;;Wyrsch Silvio;*;;;;;;;9.75
o;3;9.75;Achermann Christoph;*;13;55.5;3;9.75;0;0.0;8.5
+;8;18.25;Kurmann Jvo;;13;55.5;7;18.5;-1;0.25;10.0
o;9;28.25;Oettli Marco;*;11;56.0;13;27.25;4;-1.0;8.75

27a;Elmiger Andreas;;;;;;;;;;36.5
+;;;von Flüe Michael;;;;;;;;9.75
o;3;9.75;Fink Bruno;*;9;56.5;2;10.0;-1;0.25;8.5
+;8;18.25;Wigger Simon;;29;35.5;7;18.5;-1;0.25;9.75
o;10;28.0;Blaser Theo;*;13;55.5;14;27.0;4;-1.0;8.5

28a;Theiler Thomas;;;;;;;;;;35.75
+;;;Egli Samuel;;;;;;;;10.0
o;2;10.0;Della Torre Simon;;13;55.5;3;9.75;1;-0.25;8.5
o;7;18.5;Vogel Manuel;;15;55.0;7;18.5;0;0.0;8.5
o;14;27.0;Käslin Benno;*;29;35.5;18;25.75;4;-1.25;8.75

29a;Hodel Joel (2003);;;;;;;;;;35.5
o;;;Hodler Mathias;;;;;;;;8.5
o;6;8.5;Staub Ivan;;29;35.5;6;8.5;0;0.0;8.5
+;13;17.0;Schmidiger Kevin (2002);;33;34.25;13;17.0;0;0.0;10.0
o;14;27.0;Ettlin Kevin (2001);;13;55.5;14;27.0;0;0.0;8.5

29b;Birrer Marcel (2001);;;;;;;;;;35.5
+;;;Wicki David (2002);;;;;;;;9.75
