5605-2021-08-15_Zuger_Kantonales_Schwingfest-ST

1a;Bieri Marcel;***;;;;;;;;;58.5
o;4;19.0;Bienz Romeo;*;11;55.5;6;18.5;2;-0.5;8.5
o;7;27.5;Hess Dominik;*;17;54.0;9;27.0;2;-0.5;8.5
+;12;36.0;Ulrich Damian;;17;54.0;13;35.75;1;-0.25;9.75
-;12;45.75;Auf der Maur Alex;;15;54.5;12;45.75;0;0.0;8.75

15e;Schnellmann Adrian (2004);;;;;;;;;;54.5
o;;;Durrer Ueli;;;;;;;;8.5
+;5;8.5;von Flüe Silvan (2004);;29;34.5;5;8.5;0;0.0;10.0
o;6;18.5;Achermann Ueli;;12;55.25;6;18.5;0;0.0;8.5
-;9;27.0;Gloggner André;;20;53.25;9;27.0;0;0.0;9.0
o;12;36.0;Ming Hannes;;16;54.25;12;36.0;0;0.0;8.5
+;17;44.5;Arnold Kilian;;21;53.0;17;44.5;0;0.0;10.0

15f;Hürlimann Ueli;;;;;;;;;;54.5
-;;;Ming Christian 2;;;;;;;;8.75
+;4;8.75;Kempf Fabian;;14;54.75;5;8.5;1;-0.25;10.0
o;5;18.75;Waser Christoph;*;13;55.0;6;18.5;1;-0.25;8.5
-;8;27.25;Ming Hannes;;16;54.25;8;27.25;0;0.0;8.75
+;12;36.0;Zberg Peter (2004);;22;52.75;13;35.75;1;-0.25;9.75
o;12;45.75;Bernhard Lukas;**;10;55.75;12;45.75;0;0.0;8.75

15g;Auf der Maur Alex;;;;;;;;;;54.5
o;;;Schöpfer Marco (2003);;;;;;;;8.75
+;4;8.75;Arnold Sandro (2004);;33;25.5;5;8.5;1;-0.25;10.0
o;5;18.75;Müller Roger;*;15;54.5;7;18.25;2;-0.5;8.5
+;8;27.25;Herger Andreas;;11;55.5;9;27.0;1;-0.25;10.0
o;7;37.25;Wyrsch Silvio;*;5;57.0;8;37.0;1;-0.25;8.5
-;12;45.75;Schwyzer Sebastian (2004);;15;54.5;12;45.75;0;0.0;8.75

15h;Müller Roger;*;;;;;;;;;54.5
+;;;Hürlimann Mathias;*;;;;;;;9.75
o;2;9.75;Hegner Ueli;*;7;56.5;2;9.75;0;0.0;8.5
+;7;18.25;Auf der Maur Alex;;15;54.5;5;18.75;-2;0.5;10.0
o;4;28.25;Schuler Christian;***;4;57.25;2;28.75;-2;0.5;8.5
-;9;36.75;Appert Silvan (2003);;14;54.75;9;36.75;0;0.0;9.0
o;12;45.75;Kaiser Sandro;;10;55.75;12;45.75;0;0.0;8.75

15i;Rüttimann Daniel;;;;;;;;;;54.5
-;;;Beffa Mario;;;;;;;;8.75
+;4;8.75;Andermatt Reto;;19;53.5;2;9.75;-2;1.0;9.75
-;6;18.5;Bachmann Roger;*;13;55.0;10;17.5;4;-1.0;8.75
-;8;27.25;Barmettler Severin (2005);;13;55.0;7;27.5;-1;0.25;8.75
+;12;36.0;Herger Lars (2005);;20;53.25;13;35.75;1;-0.25;10.0
o;11;46.0;Gander Adrian;*;10;55.75;12;45.75;1;-0.25;8.5

15j;Suter Samuel;;;;;;;;;;54.5
-;;;Bättig Patrick (2003);;;;;;;;8.75
+;4;8.75;Chiodo Gian Paolo (2005);;22;52.75;2;9.75;-2;1.0;9.75
o;6;18.5;Wyrsch Silvio;*;5;57.0;6;18.5;0;0.0;8.5
-;9;27.0;Wicki Kevin;;15;54.5;8;27.25;-1;0.25;8.75
-;13;35.75;Barmettler Severin (2005);;13;55.0;11;36.25;-2;0.5;9.0
+;16;44.75;Erni Remo (2005);;19;53.5;15;45.0;-1;0.25;9.75

15k;Wicki Kevin;;;;;;;;;;54.5
o;;;Schallberger Jakob;;;;;;;;8.5
+;5;8.5;Herger Flavio (2003);;31;34.0;5;8.5;0;0.0;10.0
-;6;18.5;Hess Dominik;*;17;54.0;7;18.25;1;-0.25;8.75
-;8;27.25;Suter Samuel;;15;54.5;9;27.0;1;-0.25;8.75
o;12;36.0;Meier Daniel;;12;55.25;9;36.75;-3;0.75;8.75
+;16;44.75;Fässler Werner (2005);;20;53.25;16;44.75;0;0.0;9.75

15l;Waser Raphael;;;;;;;;;;54.5
-;;;Steiner Severin;;;;;;;;8.75
+;4;8.75;von Rickenbach Carlo (2005);;19;53.5;2;9.75;-2;1.0;10.0
o;5;18.75;Ambühl Joel;**;5;57.0;6;18.5;1;-0.25;8.5
o;8;27.25;Bucher Roland;*;13;55.0;9;27.0;1;-0.25;8.5
+;13;35.75;Chiodo Gian Paolo (2005);;22;52.75;13;35.75;0;0.0;10.0
-;12;45.75;Bühlmann Daniel;;15;54.5;12;45.75;0;0.0;8.75

15m;Gisler Jonas;*;;;;;;;;;54.5
o;;;Lustenberger Josef;*;;;;;;;8.5
o;5;8.5;Wallimann Remo;*;13;55.0;5;8.5;0;0.0;8.75
+;11;17.25;Suter Joel (2004);;17;54.0;6;18.5;-5;1.25;9.75
-;9;27.0;Lustenberger Tim (2005);;10;55.75;4;28.25;-5;1.25;8.75
+;13;35.75;Lagler Reto;;18;53.75;11;36.25;-2;0.5;10.0
-;12;45.75;Schwyzer Samuel;*;15;54.5;12;45.75;0;0.0;8.75

15n;Bissig Julian (2003);;;;;;;;;;54.5
o;;;Wicki David;;;;;;;;8.5
-;5;8.5;Christen Silvan;;27;35.0;4;8.75;-1;0.25;9.0
o;10;17.5;Zimmermann Gian (2004);;13;55.0;7;18.25;-3;0.75;8.5
+;13;26.0;von Wyl Simon;;30;34.25;14;25.75;1;-0.25;9.75
-;13;35.75;Gloggner André;;20;53.25;12;36.0;-1;0.25;8.75
+;17;44.5;Odermatt Fabian (2005);;23;52.5;19;44.0;2;-0.5;10.0

15o;Schwyzer Samuel;*;;;;;;;;;54.5
o;;;Hegner Ueli;*;;;;;;;8.5
-;5;8.5;Betschart Patrick;*;3;57.5;3;9.0;-2;0.5;8.75
+;11;17.25;Appert Silvan (2003);;14;54.75;6;18.5;-5;1.25;9.75
-;9;27.0;Durrer Ueli;;14;54.75;7;27.5;-2;0.5;8.75
+;13;35.75;Fässler Werner (2005);;20;53.25;11;36.25;-2;0.5;10.0
-;12;45.75;Gisler Jonas;*;15;54.5;12;45.75;0;0.0;8.75

15p;Kälin Remo;*;;;;;;;;;54.5
-;;;Bucher Roland;*;;;;;;;8.75
-;4;8.75;Vogel Remo;**;6;56.75;5;8.5;1;-0.25;8.75
+;10;17.5;Herger Andreas;;11;55.5;6;18.5;-4;1.0;9.75
-;8;27.25;Hürlimann Marco;;11;55.5;3;28.5;-5;1.25;8.75
+;12;36.0;Suter Lukas;;14;54.75;10;36.5;-2;0.5;9.75
-;12;45.75;Ming Christian 2;;16;54.25;13;45.5;1;-0.25;8.75

15q;Grüter Marcel;;;;;;;;;;54.5
o;;;Rogenmoser Ryan;;;;;;;;8.5
o;5;8.5;Appert Silvan (2003);;14;54.75;5;8.5;0;0.0;8.5
+;12;17.0;Wallimann Elias (2003);;29;34.5;11;17.25;-1;0.25;10.0
+;9;27.0;Bissig Fabian;*;29;34.5;13;26.0;4;-1.0;9.75
-;9;36.75;Gabriel Simon;;14;54.75;9;36.75;0;0.0;9.0
o;12;45.75;Müller Luca (2004);;10;55.75;11;46.0;-1;0.25;8.75

16a;Ming Hannes;;;;;;;;;;54.25
+;;;Furrer Fabian;;;;;;;;10.0
-;1;10.0;Müller Luca (2004);;10;55.75;1;10.0;0;0.0;8.75
o;5;18.75;Kaufmann Reto;*;10;55.75;11;17.25;6;-1.5;8.5
-;8;27.25;Hürlimann Ueli;;15;54.5;8;27.25;0;0.0;8.75
+;12;36.0;Schnellmann Adrian (2004);;15;54.5;12;36.0;0;0.0;9.75
o;12;45.75;Bucher Thomas;*;11;55.5;13;45.5;1;-0.25;8.5

16b;Forster Christian;;;;;;;;;;54.25
o;;;Schmid Pius;;;;;;;;8.5
+;5;8.5;Müller Marco;;30;34.25;5;8.5;0;0.0;10.0
o;6;18.5;Lustenberger Marc (2003);*;10;55.75;10;17.5;4;-1.0;8.5
-;9;27.0;Kaiser Sandro;;10;55.75;9;27.0;0;0.0;8.75
o;13;35.75;Durrer Ueli;;14;54.75;11;36.25;-2;0.5;8.5
+;18;44.25;Chiodo Gian Paolo (2005);;22;52.75;18;44.25;0;0.0;10.0

16c;Eberli Sandro (2004);;;;;;;;;;54.25
o;;;Wyss Christian;;;;;;;;8.5
+;5;8.5;Schnüriger Kevin (2004);;31;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Schmid Pius;;13;55.0;7;18.25;1;-0.25;8.5
o;9;27.0;Huwyler Sven;;17;54.0;9;27.0;0;0.0;8.5
o;14;35.5;Kathriner Andreas (2003);;17;54.0;14;35.5;0;0.0;8.75
+;18;44.25;Rogenmoser Luca (2003);;19;53.5;16;44.75;-2;0.5;10.0

16d;Gwerder Fabian;;;;;;;;;;54.25
-;;;Herger Andreas;;;;;;;;8.75
o;4;8.75;Bucher André;;10;55.75;3;9.0;-1;0.25;8.5
+;11;17.25;von Wyl Simon;;30;34.25;11;17.25;0;0.0;9.75
-;9;27.0;Chiodo Gian Paolo (2005);;22;52.75;10;26.75;1;-0.25;9.0
o;12;36.0;Ming Christian;*;13;55.0;10;36.5;-2;0.5;8.5
+;17;44.5;von Flüe Michael;;22;52.75;18;44.25;1;-0.25;9.75

16e;Bürgi Simon (2003);;;;;;;;;;54.25
+;;;Gisler Silvan;;;;;;;;10.0
o;1;10.0;Gasser Dominik 1;;13;55.0;2;9.75;1;-0.25;8.5
o;6;18.5;Lang Sven;**;5;57.0;10;17.5;4;-1.0;8.5
o;9;27.0;Erni Remo (2005);;19;53.5;10;26.75;1;-0.25;8.75
+;13;35.75;von Flüe Michael;;22;52.75;13;35.75;0;0.0;10.0
o;12;45.75;Lustenberger Marc (2003);*;10;55.75;11;46.0;-1;0.25;8.5

16f;Ming Christian 2;;;;;;;;;;54.25
-;;;Hürlimann Ueli;;;;;;;;8.75
+;4;8.75;Gemsch Stefan;;30;34.25;4;8.75;0;0.0;9.75
-;6;18.5;Bissig Fabian;*;29;34.5;11;17.25;5;-1.25;8.75
o;8;27.25;Appert Silvan (2003);;14;54.75;9;27.0;1;-0.25;8.5
+;13;35.75;Birchler Kilian;;21;53.0;13;35.75;0;0.0;9.75
-;13;45.5;Kälin Remo;*;15;54.5;12;45.75;-1;0.25;8.75

17a;Hess Dominik;*;;;;;;;;;54.0
o;;;Schürpf Bruno;*;;;;;;;8.5
+;5;8.5;Gwerder Andreas;*;13;55.0;5;8.5;0;0.0;9.75
-;7;18.25;Wicki Kevin;;15;54.5;6;18.5;-1;0.25;8.75
+;9;27.0;Schwyzer Sebastian (2004);;15;54.5;7;27.5;-2;0.5;10.0
o;8;37.0;Scherrer Fabian;*;10;55.75;7;37.25;-1;0.25;8.5
o;13;45.5;Herger Andreas;;11;55.5;13;45.5;0;0.0;8.5

17b;Lienhard Ramon (2004);;;;;;;;;;54.0
+;;;Burch Jonas (2005);;;;;;;;9.75
-;2;9.75;Durrer Ive;;32;27.0;2;9.75;0;0.0;8.75
o;6;18.5;Stöckli Damian;*;7;56.5;10;17.5;4;-1.0;8.5
o;9;27.0;Albert Thomas;;11;55.5;9;27.0;0;0.0;8.5
+;14;35.5;Bamert Mathis (2005);;23;52.5;14;35.5;0;0.0;10.0
o;13;45.5;Föhn Christian;;11;55.5;13;45.5;0;0.0;8.5

17c;Huwyler Sven;;;;;;;;;;54.0
+;;;Roth Marco (2004);;;;;;;;9.75
o;2;9.75;Lustenberger Tim (2005);;10;55.75;1;10.0;-1;0.25;8.5
o;7;18.25;Duss Livio (2005);;18;53.75;6;18.5;-1;0.25;8.75
+;9;27.0;Eberli Sandro (2004);;16;54.25;9;27.0;0;0.0;10.0
o;8;37.0;Bachmann Roger;*;13;55.0;11;36.25;3;-0.75;8.5
o;13;45.5;Hürlimann Mathias;*;12;55.25;13;45.5;0;0.0;8.5

17d;Kathriner Andreas (2003);;;;;;;;;;54.0
o;;;Gabriel Simon;;;;;;;;8.5
o;5;8.5;Wiget Ueli;;14;54.75;4;8.75;-1;0.25;8.5
o;12;17.0;Suter Nicola (2005);;19;53.5;9;17.75;-3;0.75;8.5
+;15;25.5;Horat Dominic (2003);;31;34.0;15;25.5;0;0.0;10.0
+;14;35.5;Eberli Sandro (2004);;16;54.25;14;35.5;0;0.0;10.0
o;13;45.5;Elmiger Andreas;*;12;55.25;14;45.25;1;-0.25;8.5

17e;Wigger Simon;;;;;;;;;;54.0
o;;;Von Euw Adi;;;;;;;;8.5
+;5;8.5;Epp Elias (2003);;26;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Bucher Roland;*;13;55.0;11;17.25;5;-1.25;8.5
+;9;27.0;Bamert Mathis (2005);;23;52.5;9;27.0;0;0.0;10.0
o;8;37.0;Suter Beat;*;11;55.5;8;37.0;0;0.0;8.5
o;13;45.5;Kathriner Severin;;12;55.25;14;45.25;1;-0.25;8.5

17f;Suter Joel (2004);;;;;;;;;;54.0
o;;;Ettlin Jan;;;;;;;;8.5
+;5;8.5;Ettlin Kevin;;34;17.0;5;8.5;0;0.0;10.0
o;6;18.5;Gisler Jonas;*;15;54.5;11;17.25;5;-1.25;8.5
+;9;27.0;Gander Sebastian (2003);;20;53.25;9;27.0;0;0.0;10.0
o;8;37.0;von Euw Lukas;*;9;56.0;7;37.25;-1;0.25;8.5
o;13;45.5;Von Euw Adi;;11;55.5;13;45.5;0;0.0;8.5

17g;Ulrich Damian;;;;;;;;;;54.0
o;;;Lustenberger Tim (2005);;;;;;;;8.5
o;5;8.5;Arnold Kilian;;21;53.0;4;8.75;-1;0.25;8.75
o;11;17.25;Egli Severin (2004);;22;52.75;11;17.25;0;0.0;8.5
+;14;25.75;Schelbert Silvan;;30;34.25;14;25.75;0;0.0;10.0
o;13;35.75;Schwyzer Sebastian (2004);;15;54.5;12;36.0;-1;0.25;8.5
+;18;44.25;Zberg Peter (2004);;22;52.75;18;44.25;0;0.0;9.75

17h;Arnold Lukas;;;;;;;;;;54.0
+;;;von Wyl Simon;;;;;;;;9.75
o;2;9.75;Schöpfer Marco (2003);;12;55.25;1;10.0;-1;0.25;8.5
o;7;18.25;Betschart Marcel;*;11;55.5;12;17.0;5;-1.25;8.75
o;9;27.0;Müller Luca (2004);;10;55.75;7;27.5;-2;0.5;8.5
+;14;35.5;Egli Severin (2004);;22;52.75;14;35.5;0;0.0;10.0
o;13;45.5;Moos Christoph;*;11;55.5;13;45.5;0;0.0;8.5

17i;Arnold Robin (2003);;;;;;;;;;54.0
o;;;Staub Ivan;;;;;;;;8.5
o;5;8.5;Gerber Jakob;;14;54.75;5;8.5;0;0.0;8.5
-;12;17.0;Wiss Ivan (2004);;15;54.5;11;17.25;-1;0.25;8.75
+;14;25.75;Gemsch Stefan;;30;34.25;14;25.75;0;0.0;9.75
o;14;35.5;Gander Benjamin;;13;55.0;14;35.5;0;0.0;8.5
+;19;44.0;Bamert Mathis (2005);;23;52.5;19;44.0;0;0.0;10.0

17j;Rogenmoser Ryan;;;;;;;;;;54.0
+;;;Wallimann Elias (2003);;;;;;;;9.75
+;2;9.75;Grüter Marcel;;15;54.5;5;8.5;3;-1.25;10.0
o;2;19.75;Schärli Reto;*;9;56.0;5;18.75;3;-1.0;8.5
o;4;28.25;Kaufmann Reto;*;10;55.75;8;27.25;4;-1.0;8.5
o;9;36.75;Lustenberger Tim (2005);;10;55.75;8;37.0;-1;0.25;8.5
o;14;45.25;Rust Sandro;;12;55.25;14;45.25;0;0.0;8.75

17k;Furrer Fabian;;;;;;;;;;54.0
o;;;Ming Hannes;;;;;;;;8.5
o;5;8.5;Gander Sebastian (2003);;20;53.25;5;8.5;0;0.0;8.5
+;12;17.0;Gemsch Stefan;;30;34.25;11;17.25;-1;0.25;10.0
o;9;27.0;Gwerder Andreas;*;13;55.0;10;26.75;1;-0.25;8.5
o;14;35.5;Herger Andreas;;11;55.5;14;35.5;0;0.0;8.5
+;19;44.0;Egli Severin (2004);;22;52.75;18;44.25;-1;0.25;10.0

18a;Staub Ivan;;;;;;;;;;53.75
+;;;Arnold Robin (2003);;;;;;;;10.0
o;1;10.0;Jund Matthias;;6;56.75;1;10.0;0;0.0;8.5
+;6;18.5;Bamert Mathis (2005);;23;52.5;6;18.5;0;0.0;9.75
o;4;28.25;Betschart Patrick;*;3;57.5;7;27.5;3;-0.75;8.5
o;9;36.75;Wicki David;;5;57.0;8;37.0;-1;0.25;8.5
o;14;45.25;Egli Adrian;;10;55.75;11;46.0;-3;0.75;0.0
o;25;45.25;Kaufmann Reto;*;10;55.75;10;55.75;-15;10.5;8.5

18b;Styger Alex (2003);;;;;;;;;;53.75
+;;;Kempf Fabian;;;;;;;;9.75
o;2;9.75;Wicki David;;5;57.0;1;10.0;-1;0.25;8.5
o;7;18.25;Hurschler Thomas;**;6;56.75;10;17.5;3;-0.75;8.5
+;10;26.75;Gander Benjamin;;13;55.0;9;27.0;-1;0.25;10.0
o;9;36.75;Jund Matthias;;6;56.75;8;37.0;-1;0.25;8.5
o;14;45.25;Bühler Kilian;;10;55.75;11;46.0;-3;0.75;8.5

18c;Lagler Reto;;;;;;;;;;53.75
o;;;Jund Matthias;;;;;;;;8.5
-;5;8.5;Herger Lars (2005);;20;53.25;5;8.5;0;0.0;8.75
+;11;17.25;Schnüriger Kevin (2004);;31;34.0;12;17.0;1;-0.25;10.0
-;8;27.25;Zberg Peter (2004);;22;52.75;8;27.25;0;0.0;9.0
o;11;36.25;Gisler Jonas;*;15;54.5;13;35.75;2;-0.5;8.75
o;15;45.0;Gander Benjamin;;13;55.0;14;45.25;-1;0.25;8.75

18d;Müller Philipp (2005);;;;;;;;;;53.75
+;;;Arnold Sandro (2004);;;;;;;;10.0
o;1;10.0;Wyss Christian;;12;55.25;1;10.0;0;0.0;8.5
o;6;18.5;Gander Adrian;*;10;55.75;11;17.25;5;-1.25;8.5
o;9;27.0;Fässler Werner (2005);;20;53.25;11;26.5;2;-0.5;8.5
+;14;35.5;Odermatt Fabian (2005);;23;52.5;14;35.5;0;0.0;9.75
o;14;45.25;Gisler Silvan;;12;55.25;14;45.25;0;0.0;8.5

18e;Laimbacher Cyrill (2004);;;;;;;;;;53.75
+;;;Rust Lorin (2004);;;;;;;;10.0
o;1;10.0;Ettlin Jan;;19;53.5;2;9.75;1;-0.25;8.5
+;6;18.5;Gloggner Matthias (2005);;26;35.25;7;18.25;1;-0.25;9.75
o;4;28.25;Lustenberger Marc (2003);*;10;55.75;7;27.5;3;-0.75;8.5
o;9;36.75;Elsener Marcel;*;11;55.5;8;37.0;-1;0.25;8.5
o;14;45.25;Achermann Ueli;;12;55.25;13;45.5;-1;0.25;8.5

18f;Duss Livio (2005);;;;;;;;;;53.75
+;;;Rohrer Michael;;;;;;;;9.75
-;2;9.75;Föhn Christian;;11;55.5;2;9.75;0;0.0;8.75
+;6;18.5;Huwyler Sven;;17;54.0;7;18.25;1;-0.25;9.75
o;4;28.25;Schuler Philipp;**;9;56.0;8;27.25;4;-1.0;8.5
o;9;36.75;Beffa Mario;;12;55.25;9;36.75;0;0.0;8.5
o;14;45.25;Bucher André;;10;55.75;11;46.0;-3;0.75;8.5

18g;Rogenmoser Linus;;;;;;;;;;53.75
+;;;Ettlin Kevin;;;;;;;;9.75
+;2;9.75;Bamert Mathis (2005);;23;52.5;1;10.0;-1;0.25;10.0
o;2;19.75;Scherer Niklaus;**;9;56.0;5;18.75;3;-1.0;8.5
o;4;28.25;Scherrer Fabian;*;10;55.75;8;27.25;4;-1.0;8.5
o;9;36.75;Vogel Marcel;;5;57.0;8;37.0;-1;0.25;8.5
o;14;45.25;Elmiger Matthias;;10;55.75;11;46.0;-3;0.75;8.5

18h;Ziegler Elias;;;;;;;;;;53.75
+;;;Odermatt Fabian (2005);;;;;;;;9.75
o;2;9.75;Schallberger Jakob;;14;54.75;1;10.0;-1;0.25;8.5
+;7;18.25;Schwegler Flavio (2004);;19;53.5;7;18.25;0;0.0;10.0
o;4;28.25;Bernhard Lukas;**;10;55.75;8;27.25;4;-1.0;8.5
o;9;36.75;Albert Thomas;;11;55.5;8;37.0;-1;0.25;8.5
o;14;45.25;Lüthy Ralph;;9;56.0;11;46.0;-3;0.75;8.5

19a;Erni Remo (2005);;;;;;;;;;53.5
o;;;Andermatt Reto;;;;;;;;8.5
+;5;8.5;Käslin Valentin;;30;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Odermatt Remo;*;11;55.5;11;17.25;4;-1.0;8.5
+;10;26.75;Bürgi Simon (2003);;16;54.25;9;27.0;-1;0.25;9.75
o;10;36.5;Gerber Jakob;;14;54.75;10;36.5;0;0.0;8.5
o;15;45.0;Suter Samuel;;15;54.5;16;44.75;1;-0.25;8.5

19b;Rogenmoser Luca (2003);;;;;;;;;;53.5
o;;;von Rickenbach Carlo (2005);;;;;;;;8.5
+;5;8.5;Odermatt Fabian (2005);;23;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Scherrer Fabian;*;10;55.75;11;17.25;5;-1.25;8.5
-;9;27.0;von Matt Lars;;22;52.75;11;26.5;2;-0.5;9.0
-;12;36.0;Gander Sebastian (2003);;20;53.25;14;35.5;2;-0.5;8.75
o;16;44.75;Eberli Sandro (2004);;16;54.25;18;44.25;2;-0.5;8.75

19c;Andermatt Reto;;;;;;;;;;53.5
+;;;Erni Remo (2005);;;;;;;;9.75
o;2;9.75;Rüttimann Daniel;;15;54.5;4;8.75;2;-1.0;8.5
o;7;18.25;Fellmann Roman;**;14;54.75;11;17.25;4;-1.0;8.5
+;10;26.75;Odermatt Fabian (2005);;23;52.5;9;27.0;-1;0.25;9.75
o;10;36.5;Duss Yvan (2003);;12;55.25;9;36.75;-1;0.25;8.5
o;15;45.0;Betschart Marcel;*;11;55.5;13;45.5;-2;0.5;8.5

19d;Suter Nicola (2005);;;;;;;;;;53.5
-;;;Fässler Werner (2005);;;;;;;;9.0
-;3;9.0;Birchler Kilian;;21;53.0;5;8.5;2;-0.5;8.75
+;9;17.75;Kathriner Andreas (2003);;17;54.0;12;17.0;3;-0.75;9.75
o;7;27.5;Bachmann Roger;*;13;55.0;12;26.25;5;-1.25;8.5
o;12;36.0;Kaiser Sandro;;10;55.75;13;35.75;1;-0.25;8.5
-;17;44.5;Gander Sebastian (2003);;20;53.25;18;44.25;1;-0.25;9.0

19e;Ettlin Jan;;;;;;;;;;53.5
+;;;Suter Joel (2004);;;;;;;;9.75
+;2;9.75;Laimbacher Cyrill (2004);;18;53.75;1;10.0;-1;0.25;9.75
o;3;19.5;Egli Damian;**;8;56.25;5;18.75;2;-0.75;8.5
o;5;28.0;Ulrich Gregor;*;25;45.25;9;27.0;4;-1.0;8.5
o;10;36.5;Staffelbach Noah (2003);;14;54.75;10;36.5;0;0.0;8.5
o;15;45.0;Zimmermann Gian (2004);;13;55.0;15;45.0;0;0.0;8.5

19f;Büeler Ivo (2004);;;;;;;;;;53.5
o;;;Gloggner Matthias (2005);;;;;;;;8.5
o;5;8.5;Gisler Silvan;;12;55.25;5;8.5;0;0.0;8.5
+;12;17.0;Roth Marco (2004);;26;35.25;12;17.0;0;0.0;9.75
+;10;26.75;Burch Jonas (2005);;26;35.25;10;26.75;0;0.0;9.75
o;10;36.5;Bürgi Reto;*;11;55.5;8;37.0;-2;0.5;8.5
o;15;45.0;Kempf Fabian;;14;54.75;15;45.0;0;0.0;8.5

19g;Schwegler Flavio (2004);;;;;;;;;;53.5
+;;;Gloggner André;;;;;;;;9.75
o;2;9.75;Hürlimann Marco;;11;55.5;2;9.75;0;0.0;8.5
o;7;18.25;Ziegler Elias;;18;53.75;7;18.25;0;0.0;8.5
+;10;26.75;Herger Flavio (2003);;31;34.0;15;25.5;5;-1.25;9.75
o;10;36.5;Wallimann Remo;*;13;55.0;10;36.5;0;0.0;8.5
o;15;45.0;Barmettler Severin (2005);;13;55.0;14;45.25;-1;0.25;8.5

19h;von Rickenbach Carlo (2005);;;;;;;;;;53.5
+;;;Rogenmoser Luca (2003);;;;;;;;9.75
o;2;9.75;Waser Raphael;;15;54.5;4;8.75;2;-1.0;8.5
+;7;18.25;Herger Flavio (2003);;31;34.0;12;17.0;5;-1.25;9.75
o;5;28.0;Elsener Marcel;*;11;55.5;8;27.25;3;-0.75;8.5
o;10;36.5;Wiget Ueli;;14;54.75;11;36.25;1;-0.25;8.5
o;15;45.0;Gasser Dominik 1;;13;55.0;15;45.0;0;0.0;8.5

20a;Fässler Werner (2005);;;;;;;;;;53.25
-;;;Suter Nicola (2005);;;;;;;;9.0
-;3;9.0;Rohrer Michael;;27;35.0;4;8.75;1;-0.25;9.0
o;8;18.0;Gisler Silvan;;12;55.25;7;18.25;-1;0.25;8.5
+;11;26.5;Müller Philipp (2005);;18;53.75;9;27.0;-2;0.5;9.75
o;11;36.25;Schwyzer Samuel;*;15;54.5;13;35.75;2;-0.5;8.5
o;16;44.75;Wicki Kevin;;15;54.5;16;44.75;0;0.0;8.5

20b;Herger Lars (2005);;;;;;;;;;53.25
o;;;Brunner Timon;;;;;;;;8.5
-;5;8.5;Lagler Reto;;18;53.75;5;8.5;0;0.0;8.75
+;11;17.25;Horat Dominic (2003);;31;34.0;12;17.0;1;-0.25;10.0
o;8;27.25;Vogel Marcel;;5;57.0;8;27.25;0;0.0;8.5
o;13;35.75;Rüttimann Daniel;;15;54.5;12;36.0;-1;0.25;8.75
-;17;44.5;Rust Silvio;;22;52.75;19;44.0;2;-0.5;8.75

20c;Gloggner André;;;;;;;;;;53.25
o;;;Schwegler Flavio (2004);;;;;;;;8.5
+;5;8.5;Roth Marco (2004);;26;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Zimmermann Martin;***;9;56.0;11;17.25;5;-1.25;8.5
-;9;27.0;Schnellmann Adrian (2004);;15;54.5;9;27.0;0;0.0;9.0
-;12;36.0;Bissig Julian (2003);;15;54.5;13;35.75;1;-0.25;8.75
o;16;44.75;Wiss Ivan (2004);;15;54.5;17;44.5;1;-0.25;8.5

20d;Gander Sebastian (2003);;;;;;;;;;53.25
o;;;Müller Luca (2004);;;;;;;;8.5
+;5;8.5;Furrer Fabian;;17;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Vogel Remo;**;6;56.75;11;17.25;5;-1.25;8.5
o;9;27.0;Suter Joel (2004);;17;54.0;9;27.0;0;0.0;8.5
-;14;35.5;Rogenmoser Luca (2003);;19;53.5;12;36.0;-2;0.5;8.75
-;18;44.25;Suter Nicola (2005);;19;53.5;17;44.5;-1;0.25;9.0

21a;Arnold Kilian;;;;;;;;;;53.0
-;;;Suter Lukas;;;;;;;;8.75
+;4;8.75;Ulrich Damian;;17;54.0;5;8.5;1;-0.25;10.0
o;5;18.75;Graber Michael;*;10;55.75;7;18.25;2;-0.5;8.5
o;8;27.25;Bucher André;;10;55.75;7;27.5;-1;0.25;8.5
-;13;35.75;Wiss Ivan (2004);;15;54.5;13;35.75;0;0.0;8.75
o;17;44.5;Schnellmann Adrian (2004);;15;54.5;17;44.5;0;0.0;8.5

21b;Birchler Kilian;;;;;;;;;;53.0
o;;;Barmettler Severin (2005);;;;;;;;8.5
-;5;8.5;Suter Nicola (2005);;19;53.5;3;9.0;-2;0.5;8.75
-;11;17.25;von Flüe Silvan (2004);;29;34.5;12;17.0;1;-0.25;8.75
+;13;26.0;Durrer Jan (2003);;29;34.5;13;26.0;0;0.0;9.75
o;13;35.75;Ming Christian 2;;16;54.25;13;35.75;0;0.0;8.5
-;18;44.25;von Matt Lars;;22;52.75;19;44.0;1;-0.25;8.75

22a;Egli Severin (2004);;;;;;;;;;52.75
o;;;Kaiser Sandro;;;;;;;;8.5
-;5;8.5;von Matt Lars;;22;52.75;4;8.75;-1;0.25;8.75
