5605-2021-08-15_Zuger_Kantonales_Schwingfest-ST

1a;Bieri Marcel;***;;;;;;;;;58.5
+;7;47.0;Brunner Timon;;14;54.75;10;46.25;3;-0.75;10.0

5j;Waser Dominik;**;;;;;;;;;57.0
+;;;Effinger Markus;*;;;;;;;9.75
-;2;9.75;von Euw Lukas;*;9;56.0;2;9.75;0;0.0;8.75
+;6;18.5;Vogel Marcel;;5;57.0;5;18.75;-1;0.25;10.0
o;3;28.5;Lemmenmeier Lukas;*;5;57.0;2;28.75;-1;0.25;8.75
+;7;37.25;Bühlmann Daniel;;15;54.5;7;37.25;0;0.0;9.75
+;7;47.0;Gwerder Andreas;*;13;55.0;9;46.5;2;-0.5;10.0

6a;Vogel Remo;**;;;;;;;;;56.75
o;;;Schuler Christian;***;;;;;;;8.5
-;5;8.5;Kälin Remo;*;15;54.5;4;8.75;-1;0.25;8.75
+;11;17.25;Gander Sebastian (2003);;20;53.25;6;18.5;-5;1.25;10.0
+;8;27.25;Gerber Jakob;;14;54.75;5;28.0;-3;0.75;10.0
+;7;37.25;Gander Adrian;*;10;55.75;7;37.25;0;0.0;9.75
+;7;47.0;von Euw Lukas;*;9;56.0;6;47.25;-1;0.25;9.75

6b;Hurschler Thomas;**;;;;;;;;;56.75
-;;;Scherer Niklaus;**;;;;;;;8.75
-;4;8.75;Kaufmann Reto;*;10;55.75;5;8.5;1;-0.25;8.75
+;10;17.5;Styger Alex (2003);;18;53.75;7;18.25;-3;0.75;9.75
+;8;27.25;Zimmermann Gian (2004);;13;55.0;5;28.0;-3;0.75;9.75
+;8;37.0;Ulrich Gregor;*;25;45.25;9;36.75;1;-0.25;10.0
+;7;47.0;Scherrer Fabian;*;10;55.75;6;47.25;-1;0.25;9.75

6c;Jund Matthias;;;;;;;;;;56.75
+;;;Lagler Reto;;;;;;;;10.0
+;1;10.0;Staub Ivan;;18;53.75;1;10.0;0;0.0;10.0
o;1;20.0;Bucher Thomas;*;11;55.5;6;18.5;5;-1.5;8.5
o;3;28.5;Reichmuth Roland;*;7;56.5;7;27.5;4;-1.0;8.5
+;8;37.0;Styger Alex (2003);;18;53.75;9;36.75;1;-0.25;10.0
+;7;47.0;Suter Beat;*;11;55.5;7;47.0;0;0.0;9.75

6d;Odermatt Christian;**;;;;;;;;;56.75
+;;;Bucher Christian;**;;;;;;;9.75
+;2;9.75;Suter Beat;*;11;55.5;1;10.0;-1;0.25;10.0
o;2;19.75;Nötzli Reto;***;7;56.5;6;18.5;4;-1.25;8.5
+;4;28.25;Wicki David;;5;57.0;3;28.5;-1;0.25;10.0
o;3;38.25;Bieri Marcel;***;1;58.5;2;38.5;-1;0.25;8.5
+;8;46.75;Schöpfer Marco (2003);;12;55.25;8;46.75;0;0.0;10.0

