2254-2016-07-16_65_Weissenstein-Schwinget-ST

1a;Orlik Armon;**;;;;;;;;;58.5
o;7;18.25;Gwerder Guido;**;11;55.25;7;18.25;0;0.0;8.5
o;10;26.75;Schläpfer Markus;**;19;53.25;12;26.25;2;-0.5;8.75
+;13;35.5;Schaffner Samuel;**;16;54.0;13;35.5;0;0.0;9.75
-;14;45.25;Zimmermann Simon;**;14;54.5;12;45.75;-2;0.5;8.75

17a;Arnold Kornel;*;;;;;;;;;53.75
+;;;Waser Dominik;**;;;;;;;10.0
o;1;10.0;Zimmermann Simon;**;14;54.5;5;8.5;4;-1.5;8.5
o;6;18.5;Schneider Mario;**;14;54.5;5;18.75;-1;0.25;8.5
o;9;27.0;Britschgi Melk;**;10;55.5;13;26.0;4;-1.0;8.5
+;13;35.5;Brügger Cyrill (1998);;22;52.5;13;35.5;0;0.0;9.75
o;14;45.25;Brand Christian;**;15;54.25;17;44.5;3;-0.75;8.5

17b;Bieri Christoph;***;;;;;;;;;53.75
o;;;Wicki Joel;**;;;;;;;8.5
-;5;8.5;Fässler Andreas;**;8;56.0;2;9.75;-3;1.25;8.75
+;10;17.25;Betschart Remo;**;12;55.0;6;18.5;-4;1.25;10.0
-;8;27.25;Bühler Ernst;**;7;56.25;4;28.5;-4;1.25;9.0
-;10;36.25;Stöckli Stefan;**;8;56.0;6;37.25;-4;1.0;8.75
-;15;45.0;Bernhard Lukas;*;14;54.5;12;45.75;-3;0.75;8.75

17c;Dobler Florian;;;;;;;;;;53.75
+;;;Gabathuler Björn (1998);;;;;;;;10.0
+;1;10.0;Hermann Oliver;*;24;35.25;5;8.5;4;-1.5;9.75
o;2;19.75;Gwerder Andreas;**;6;56.5;7;18.25;5;-1.5;8.5
o;5;28.25;Strebel Joel;**;11;55.25;5;28.25;0;0.0;8.5
o;8;36.75;Blatter Lorenz;**;7;56.25;6;37.25;-2;0.5;8.5
o;14;45.25;Arnold Stefan;**;10;55.5;13;45.5;-1;0.25;8.5

17d;Mangold Martin;;;;;;;;;;53.75
+;;;Büttler Adrian (1999);;;;;;;;9.75
-;2;9.75;Moser Matthias;*;19;53.25;5;8.5;3;-1.25;8.75
o;6;18.5;Voggensperger Janic (1998);*;14;54.5;9;17.5;3;-1.0;8.5
o;9;27.0;Schillig Willi;**;15;54.25;8;27.25;-1;0.25;8.5
o;13;35.5;Zbinden Marc;*;13;54.75;11;36.0;-2;0.5;8.5
+;19;44.0;Brügger Cyrill (1998);;22;52.5;19;44.0;0;0.0;9.75

18a;Imhof Andi;***;;;;;;;;;53.5
+;;;Gisler Bruno;***;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;5;56.75;2;9.75;1;-0.25;8.5
o;6;18.5;Rychen Roger;**;9;55.75;1;20.0;-5;1.5;8.75
-;8;27.25;Schneider Mario;**;14;54.5;4;28.5;-4;1.25;8.75
-;11;36.0;Horner Peter;**;13;54.75;6;37.25;-5;1.25;8.75
-;16;44.75;Zbinden Marc;*;13;54.75;11;46.0;-5;1.25;8.75

19a;Kocher Remo;**;;;;;;;;;53.25
o;;;Burkhalter Stefan;***;;;;;;;8.5
-;5;8.5;Stoll Simon;;13;54.75;1;10.0;-4;1.5;8.75
-;10;17.25;Schläpfer Markus;**;19;53.25;9;17.5;-1;0.25;8.75
+;13;26.0;Hermann Oliver;*;24;35.25;10;26.75;-3;0.75;10.0
o;11;36.0;Clopath Beat;***;8;56.0;11;36.0;0;0.0;8.5
-;17;44.5;Bernold Christian;**;15;54.25;13;45.5;-4;1.0;8.75

19b;Moser Matthias;*;;;;;;;;;53.25
o;;;Rychen Roger;**;;;;;;;8.5
-;5;8.5;Mangold Martin;;17;53.75;2;9.75;-3;1.25;8.75
-;10;17.25;Britschgi Melk;**;10;55.5;10;17.25;0;0.0;8.75
+;13;26.0;Brun Samuel (1999);*;27;34.5;13;26.0;0;0.0;10.0
-;11;36.0;Winiger Fabian;**;20;53.0;13;35.5;2;-0.5;8.75
o;16;44.75;Hügli Kaj;*;11;55.25;13;45.5;-3;0.75;8.5

19c;Schläpfer Markus;**;;;;;;;;;53.25
-;;;Voggensperger Janic (1998);*;;;;;;;8.75
-;4;8.75;Scherrer Johann;**;21;52.75;5;8.5;1;-0.25;8.75
-;9;17.5;Kocher Remo;**;19;53.25;10;17.25;1;-0.25;8.75
+;12;26.25;Hasler Manuel;*;16;54.0;10;26.75;-2;0.5;9.75
o;11;36.0;Vieira Tiago;**;14;54.5;12;35.75;1;-0.25;8.5
-;17;44.5;Hauri Urs;**;15;54.25;13;45.5;-4;1.0;8.75

20a;Winiger Fabian;**;;;;;;;;;53.0
+;;;Zimmermann Simon;**;;;;;;;10.0
o;1;10.0;Bühler Ernst;**;7;56.25;1;10.0;0;0.0;8.5
o;6;18.5;Clopath Beat;***;8;56.0;9;17.5;3;-1.0;8.5
o;9;27.0;Arnold Stefan;**;10;55.5;8;27.25;-1;0.25;8.5
-;13;35.5;Moser Matthias;*;19;53.25;11;36.0;-2;0.5;8.75
-;18;44.25;Waldner Patrick;**;21;52.75;19;44.0;1;-0.25;8.75

21a;Scherrer Johann;**;;;;;;;;;52.75
o;;;Gwerder Guido;**;;;;;;;8.5
-;5;8.5;Schläpfer Markus;**;19;53.25;4;8.75;-1;0.25;8.75
+;10;17.25;Seiser Kay (2000);;29;34.0;11;17.0;1;-0.25;10.0
o;8;27.25;Stöckli Stefan;**;8;56.0;8;27.25;0;0.0;8.5
o;12;35.75;Bernhard Lukas;*;14;54.5;12;35.75;0;0.0;8.5
o;18;44.25;Leuthard Reto;*;14;54.5;17;44.5;-1;0.25;8.5

21b;Waldner Patrick;**;;;;;;;;;52.75
o;;;Zbinden Marc;*;;;;;;;8.5
o;5;8.5;Räbmatter Patrick;**;6;56.5;5;8.5;0;0.0;8.5
+;11;17.0;Rüegger Aaron (1999);;29;34.0;11;17.0;0;0.0;10.0
o;9;27.0;Suppiger Werner;**;11;55.25;9;27.0;0;0.0;8.5
o;13;35.5;Bernold Christian;**;15;54.25;13;35.5;0;0.0;8.5
-;19;44.0;Winiger Fabian;**;20;53.0;18;44.25;-1;0.25;8.75

21c;Krebs Clemens;;;;;;;;;;52.75
-;;;Bearda Samuel;;;;;;;;8.75
+;4;8.75;Gabathuler Björn (1998);;32;25.5;5;8.5;1;-0.25;9.75
-;6;18.5;Döbeli Lukas (2000);*;26;34.75;10;17.25;4;-1.25;8.75
o;8;27.25;Waser Dominik;**;14;54.5;8;27.25;0;0.0;8.5
o;12;35.75;Britschgi Melk;**;10;55.5;11;36.0;-1;0.25;8.5
o;18;44.25;Schaffner Samuel;**;16;54.0;19;44.0;1;-0.25;8.5

22a;Büttler Adrian (1999);;;;;;;;;;52.5
o;;;Mangold Martin;;;;;;;;8.5
+;5;8.5;Seiser Kay (2000);;29;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Döbeli Andreas (1998);*;16;54.0;6;18.5;0;0.0;8.5
o;9;27.0;Rhyner Michael;**;15;54.25;8;27.25;-1;0.25;8.5
o;13;35.5;Hügli Kaj;*;11;55.25;12;35.75;-1;0.25;8.5
o;19;44.0;Widmer Tobias;**;12;55.0;14;45.25;-5;1.25;8.5

22b;Brügger Cyrill (1998);;;;;;;;;;52.5
+;;;Hasler Simon;;;;;;;;10.0
o;1;10.0;Studinger Stephan;**;9;55.75;3;9.0;2;-1.0;8.5
o;6;18.5;Schuler Philipp;**;11;55.25;5;18.75;-1;0.25;8.5
o;9;27.0;Schaffner Samuel;**;16;54.0;15;25.5;6;-1.5;8.5
o;13;35.5;Arnold Kornel;*;17;53.75;13;35.5;0;0.0;8.5
o;19;44.0;Mangold Martin;;17;53.75;19;44.0;0;0.0;8.5

23a;Knechtle Martin;**;;;;;;;;;35.5
+;;;Schmutz Adrian;*;;;;;;;9.75
-;2;9.75;Alpiger Nick;**;7;56.25;4;8.75;2;-1.0;8.75
o;6;18.5;Räbmatter Patrick;**;6;56.5;7;18.25;1;-0.25;8.5
o;9;27.0;Vieira Tiago;**;14;54.5;14;25.75;5;-1.25;8.5

23b;Burkhalter Stefan;***;;;;;;;;;35.5
+;;;Kocher Remo;**;;;;;;;9.75
o;2;9.75;Wicki Joel;**;3;57.5;1;10.0;-1;0.25;8.5
-;7;18.25;Leuthard Reto;*;14;54.5;6;18.5;-1;0.25;8.75
o;9;27.0;Voggensperger Janic (1998);*;14;54.5;7;27.5;-2;0.5;8.5

23c;Hirt Pascal;**;;;;;;;;;35.5
o;;;Leuthard Reto;*;;;;;;;8.5
-;5;8.5;Vieira Tiago;**;14;54.5;5;8.5;0;0.0;8.75
+;10;17.25;Steinmann Yves;*;24;35.25;7;18.25;-3;1.0;9.75
o;9;27.0;Stüdeli Thomas;**;15;54.25;9;27.0;0;0.0;8.5

24a;Hermann Oliver;*;;;;;;;;;35.25
o;;;Bernhard Lukas;*;;;;;;;8.5
o;5;8.5;Dobler Florian;;17;53.75;1;10.0;-4;1.5;8.5
+;11;17.0;Gabathuler Björn (1998);;32;25.5;11;17.0;0;0.0;9.75
o;10;26.75;Kocher Remo;**;19;53.25;13;26.0;3;-0.75;8.5

24b;Lisser Beat;;;;;;;;;;35.25
o;;;Betschart Remo;**;;;;;;;8.5
o;5;8.5;Steinmann Yves;*;24;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Hügli Kaj;*;11;55.25;11;17.0;0;0.0;8.5
+;15;25.5;Rüegger Aaron (1999);;29;34.0;15;25.5;0;0.0;9.75

24c;Klausner Yanick;**;;;;;;;;;35.25
o;;;Zwyssig Raphael;***;;;;;;;8.5
+;5;8.5;Britschgi Melk;**;10;55.5;4;8.75;-1;0.25;9.75
o;7;18.25;Wickli Beat;**;11;55.25;5;18.75;-2;0.5;8.5
o;10;26.75;Fässler Andreas;**;8;56.0;8;27.25;-2;0.5;8.5

24d;von Arx Christian;*;;;;;;;;;35.25
o;;;Krähenbühl Tobias;**;;;;;;;8.5
o;5;8.5;Zimmermann Simon;**;14;54.5;5;8.5;0;0.0;8.5
o;11;17.0;Stöckli Stefan;**;8;56.0;9;17.5;-2;0.5;8.5
+;15;25.5;Seiser Kay (2000);;29;34.0;15;25.5;0;0.0;9.75

24e;Steinmann Yves;*;;;;;;;;;35.25
o;;;Bühler Ernst;**;;;;;;;8.5
+;5;8.5;Lisser Beat;;24;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Hirt Pascal;**;23;35.5;10;17.25;3;-1.0;8.5
o;10;26.75;Erb Roger;**;10;55.5;9;27.0;-1;0.25;8.5

25a;Henzer Andreas;**;;;;;;;;;35.0
-;;;Wickli Beat;**;;;;;;;8.75
-;4;8.75;Bearda Samuel;;27;34.5;4;8.75;0;0.0;8.75
-;9;17.5;Rhyner Michael;**;15;54.25;7;18.25;-2;0.75;8.75
-;12;26.25;Bernhard Lukas;*;14;54.5;9;27.0;-3;0.75;8.75

25b;Oertig Adrian;**;;;;;;;;;35.0
-;;;Studinger Stephan;**;;;;;;;8.75
-;4;8.75;Schillig Willi;**;15;54.25;5;8.5;1;-0.25;8.75
-;9;17.5;Hauri Urs;**;15;54.25;10;17.25;1;-0.25;8.75
-;12;26.25;Nyffeler Christoph;*;28;34.25;15;25.5;3;-0.75;8.75

26a;Schmutz Adrian;*;;;;;;;;;34.75
o;;;Knechtle Martin;**;;;;;;;8.5
-;5;8.5;Döbeli Lukas (2000);*;26;34.75;5;8.5;0;0.0;8.75
-;10;17.25;Brun Samuel (1999);*;27;34.5;11;17.0;1;-0.25;9.0
o;12;26.25;Widmer Tobias;**;12;55.0;10;26.75;-2;0.5;8.5

26b;Döbeli Lukas (2000);*;;;;;;;;;34.75
o;;;Schneider Mario;**;;;;;;;8.5
-;5;8.5;Schmutz Adrian;*;26;34.75;5;8.5;0;0.0;8.75
-;10;17.25;Krebs Clemens;;21;52.75;6;18.5;-4;1.25;9.0
o;12;26.25;Betschart Remo;**;12;55.0;9;27.0;-3;0.75;8.5

27a;Bearda Samuel;;;;;;;;;;34.5
-;;;Krebs Clemens;;;;;;;;8.75
-;4;8.75;Henzer Andreas;**;25;35.0;4;8.75;0;0.0;8.75
o;9;17.5;Stüdeli Thomas;**;15;54.25;10;17.25;1;-0.25;8.5
o;13;26.0;Hauri Urs;**;15;54.25;13;26.0;0;0.0;8.5

27b;Brun Samuel (1999);*;;;;;;;;;34.5
o;;;Arnold Stefan;**;;;;;;;8.5
o;5;8.5;Schmid David;**;6;56.5;5;8.5;0;0.0;8.5
-;11;17.0;Schmutz Adrian;*;26;34.75;10;17.25;-1;0.25;9.0
o;13;26.0;Moser Matthias;*;19;53.25;13;26.0;0;0.0;8.5

28a;Nyffeler Christoph;*;;;;;;;;;34.25
o;;;Bernold Christian;**;;;;;;;8.5
o;5;8.5;Stalder Remo;***;7;56.25;5;8.5;0;0.0;8.5
o;11;17.0;Widmer Tobias;**;12;55.0;11;17.0;0;0.0;8.5
-;15;25.5;Oertig Adrian;**;25;35.0;12;26.25;-3;0.75;8.75

29a;Rüegger Aaron (1999);;;;;;;;;;34.0
o;;;Hasler Manuel;*;;;;;;;8.5
o;5;8.5;Erb Roger;**;10;55.5;5;8.5;0;0.0;8.5
o;11;17.0;Waldner Patrick;**;21;52.75;11;17.0;0;0.0;8.5
o;15;25.5;Lisser Beat;;24;35.25;15;25.5;0;0.0;8.5

29b;Seiser Kay (2000);;;;;;;;;;34.0
o;;;Stoll Simon;;;;;;;;8.5
o;5;8.5;Büttler Adrian (1999);;22;52.5;5;8.5;0;0.0;8.5
o;11;17.0;Scherrer Johann;**;21;52.75;10;17.25;-1;0.25;8.5
o;15;25.5;von Arx Christian;*;24;35.25;15;25.5;0;0.0;8.5

30a;Leuppi Samir;**;;;;;;;;;28.25
+;;;Schaffner Samuel;**;;;;;;;10.0
+;1;10.0;Suppiger Werner;**;11;55.25;2;9.75;1;-0.25;9.75
o;2;19.75;Ulrich Andreas;***;2;58.0;7;18.25;5;-1.5;8.5

31a;Fankhauser Reto;**;;;;;;;;;25.75
-;;;Hauri Urs;**;;;;;;;8.75
o;4;8.75;Döbeli Andreas (1998);*;16;54.0;5;8.5;1;-0.25;8.5
o;10;17.25;Brand Christian;**;15;54.25;9;17.5;-1;0.25;8.5

32a;Gabathuler Björn (1998);;;;;;;;;;25.5
o;;;Dobler Florian;;;;;;;;8.5
o;5;8.5;Krebs Clemens;;21;52.75;4;8.75;-1;0.25;8.5
o;11;17.0;Hermann Oliver;*;24;35.25;11;17.0;0;0.0;8.5

33a;Schuler Christian;***;;;;;;;;;18.75
+;;;Stalder Remo;***;;;;;;;10.0
o;1;10.0;Bless Michael;***;4;57.0;1;10.0;0;0.0;8.75

34a;Hasler Simon;;;;;;;;;;8.5
o;;;Brügger Cyrill (1998);;;;;;;;8.5

