3074-2021-07-11_Fete_Romande2-ST

+;11;45.75;Bapst Richard;;17;54.0;12;45.5;1;-0.25;9.75

11c;Loup Grégoire;;;;;;;;;;55.5
-;;;Krebs Clemens;;;;;;;;8.75
+;4;8.75;Perret Axel (2003);;18;53.75;2;9.75;-2;1.0;9.75
o;5;18.5;Gottofrey Marc;**;12;55.25;5;18.5;0;0.0;8.5
+;10;27.0;Pasquier Loïc;;18;53.75;10;27.0;0;0.0;9.75
o;8;36.75;Rogivue Théo (2003);;12;55.25;8;36.75;0;0.0;8.75
+;12;45.5;Vallotton Jason;;18;53.75;13;45.25;1;-0.25;10.0

11d;Buchs Noah (2004);;;;;;;;;;55.5
+;;;Cochrane Benjamin;;;;;;;;10.0
o;1;10.0;Haenni Stéphane;**;16;54.25;5;8.5;4;-1.5;8.5
-;5;18.5;Dorsaz Théo;;13;55.0;5;18.5;0;0.0;8.75
-;9;27.25;Ganière William;;20;53.25;9;27.25;0;0.0;8.75
+;11;36.0;Valvini Maxime;;17;54.0;13;35.5;2;-0.5;9.75
+;11;45.75;Krebs Clemens;;22;52.75;17;44.25;6;-1.5;9.75

11e;Ducrest Etienne;*;;;;;;;;;55.5
+;;;Dind Samuel;**;;;;;;;9.75
o;2;9.75;Kramer Lario;***;5;57.0;4;8.75;2;-1.0;8.5
+;6;18.25;Turin Antoine;;13;55.0;3;19.5;-3;1.25;10.0
+;5;28.25;Cotting Alexandre;;13;55.0;6;28.0;1;-0.25;10.0
o;4;38.25;Käser Remo;***;1;59.0;1;39.0;-3;0.75;8.5
-;7;46.75;Piemontesi Pascal;**;11;55.5;7;46.75;0;0.0;8.75

11f;Kropf Marcel;**;;;;;;;;;55.5
o;;;Borcard Johann;**;;;;;;;8.5
-;5;8.5;Piemontesi Pascal;**;11;55.5;4;8.75;-1;0.25;8.75
+;9;17.25;Loup Alexandre;*;17;54.0;6;18.25;-3;1.0;9.75
+;10;27.0;Crettaz Olivier;*;13;55.0;6;28.0;-4;1.0;10.0
+;7;37.0;Dousse Michel;**;7;56.5;5;38.0;-2;1.0;10.0
o;6;47.0;Duplan Steve;***;6;56.75;7;46.75;1;-0.25;8.5

12a;Zbinden Lukas (2003);;;;;;;;;;55.25
o;;;Ganière William;;;;;;;;8.5
+;5;8.5;Imstepf Sandro;;25;51.0;5;8.5;0;0.0;10.0
o;5;18.5;Dind Samuel;**;26;35.25;10;17.0;5;-1.5;8.5
+;10;27.0;Quartenoud Samuel;;18;53.75;10;27.0;0;0.0;9.75
o;8;36.75;Mollet Ivan;**;10;55.75;11;36.0;3;-0.75;8.5
+;13;45.25;Aeschbacher Ivo;;18;53.75;13;45.25;0;0.0;10.0

12b;Colò Kilian;**;;;;;;;;;55.25
+;;;Zimmermann Mario;*;;;;;;;10.0
o;1;10.0;Strebel Joel;***;6;56.75;4;8.75;3;-1.25;8.5
+;5;18.5;Collaud Bastien (2005);;15;54.5;4;18.75;-1;0.25;10.0
+;4;28.5;Chofflon Anthony;;13;55.0;5;28.25;1;-0.25;9.75
o;4;38.25;Kramer Lario;***;5;57.0;3;38.5;-1;0.25;8.5
o;7;46.75;Dousse Michel;**;7;56.5;8;46.5;1;-0.25;8.5

12c;Zimmermann Mario;*;;;;;;;;;55.25
o;;;Colò Kilian;**;;;;;;;8.5
o;5;8.5;Piemontesi Pascal;**;11;55.5;4;8.75;-1;0.25;8.5
+;10;17.0;Bapst Ludovic;;15;54.5;4;18.75;-6;1.75;10.0
+;10;27.0;Valvini Maxime;;17;54.0;10;27.0;0;0.0;10.0
o;7;37.0;Cardinaux Victor;**;10;55.75;6;37.25;-1;0.25;8.5
+;12;45.5;Pürro David;;13;55.0;8;46.5;-4;1.0;9.75

12d;Balimann Fabian;;;;;;;;;;55.25
o;;;Schläfli Hugo;;;;;;;;8.5
-;5;8.5;Pürro David;;13;55.0;3;9.0;-2;0.5;8.75
+;9;17.25;Holweger Marek;;24;52.25;10;17.0;1;-0.25;9.75
o;10;27.0;Dufey Gil;*;13;55.0;11;26.75;1;-0.25;8.5
+;13;35.5;Germanier Joel;;17;54.0;13;35.5;0;0.0;10.0
+;12;45.5;Pasquier Loïc;;18;53.75;13;45.25;1;-0.25;9.75

12e;Gottofrey Marc;**;;;;;;;;;55.25
o;;;Staudenmann Fabian;***;;;;;;;8.75
+;4;8.75;Schläfli Hugo;;12;55.25;2;9.75;-2;1.0;9.75
+;5;18.5;Loup Grégoire;;11;55.5;5;18.5;0;0.0;9.75
o;5;28.25;Herger Matthias;**;6;56.75;5;28.25;0;0.0;8.5
-;8;36.75;Stoll Thomas;;16;54.25;7;37.0;-1;0.25;8.75
+;12;45.5;Vonlanthen Alexandre;;12;55.25;7;46.75;-5;1.25;9.75

12f;Schläfli Hugo;;;;;;;;;;55.25
+;;;Balimann Fabian;;;;;;;;9.75
o;2;9.75;Gottofrey Marc;**;12;55.25;4;8.75;2;-1.0;8.5
+;6;18.25;Quartenoud Samuel;;18;53.75;5;18.5;-1;0.25;10.0
-;5;28.25;Mollet Ivan;**;10;55.75;9;27.25;4;-1.0;8.75
+;7;37.0;Monney Branighan;;13;55.0;8;36.75;1;-0.25;9.75
o;7;46.75;Balimann Sandro;*;9;56.0;10;46.0;3;-0.75;8.5

12g;Sturny Nicolas;;;;;;;;;;55.25
+;;;Loup Alexandre;*;;;;;;;9.75
+;2;9.75;Borcard Guillaume;;19;53.5;2;9.75;0;0.0;10.0
o;2;19.75;Balimann Sandro;*;9;56.0;4;18.75;2;-1.0;8.5
+;5;28.25;Turin Antoine;;13;55.0;6;28.0;1;-0.25;9.75
o;5;38.0;Collaud Romain;*;2;58.0;4;38.25;-1;0.25;8.5
-;8;46.5;Haenni Stéphane;**;16;54.25;12;45.5;4;-1.0;8.75

12h;Rogivue Théo (2003);;;;;;;;;;55.25
+;;;Vaucher Rémy;;;;;;;;9.75
o;2;9.75;Riedo Fredy;*;12;55.25;2;9.75;0;0.0;8.5
+;6;18.25;Pharisa Loic;;16;54.25;9;17.25;3;-1.0;10.0
