4447-2019-06-10_Glarner-Buendner_Kantonalschwingfest-ST

1a;Orlik Armon;***;;;;;;;;;59.0
+;10;36.75;Brand Andreas (2003);;13;55.25;10;36.75;0;0.0;10.0
o;9;46.75;Vollenweider Jeremy;*;7;56.75;9;46.75;0;0.0;8.5

13d;Wehrli Jan (2002);;;;;;;;;;55.25
-;;;Roth Sämi;;;;;;;;9.0
+;3;9.0;Egli Patrick;;22;52.5;5;8.5;2;-0.5;10.0
o;4;19.0;Fausch Kjetil;*;10;56.0;5;18.75;1;-0.25;8.5
-;8;27.5;Signer Walter;;21;52.75;10;27.0;2;-0.5;9.0
o;11;36.5;Blaser Niklas;*;13;55.25;14;35.75;3;-0.75;8.75
+;15;45.25;Lieberherr David (2003);;21;52.75;19;44.0;4;-1.25;10.0

13e;Laager Michael (2001);;;;;;;;;;55.25
+;;;Brand Andreas (2003);;;;;;;;10.0
+;1;10.0;Sprecher Martin;;18;54.0;2;9.75;1;-0.25;9.75
o;2;19.75;Biäsch Christian;*;5;57.25;5;18.75;3;-1.0;8.5
o;5;28.25;Bircher Luca;;9;56.25;6;28.0;1;-0.25;8.5
o;10;36.75;Fontana Michael;*;12;55.5;10;36.75;0;0.0;8.5
+;15;45.25;Aebli Andrin (2001);;19;53.75;15;45.25;0;0.0;10.0

13f;Blaser Niklas;*;;;;;;;;;55.25
-;;;Pianta Christian;*;;;;;;;8.75
+;4;8.75;Langenegger Beat;;20;53.5;2;9.75;-2;1.0;9.75
-;6;18.5;Steiner Joel;;16;54.5;6;18.5;0;0.0;8.75
o;9;27.25;Battaglia Ursin;**;14;55.0;8;27.5;-1;0.25;8.5
+;14;35.75;Wehrli Jan (2002);;13;55.25;11;36.5;-3;0.75;9.75
+;14;45.5;Inauen Aurel;;17;54.25;13;45.75;-1;0.25;9.75

13g;Oettli Silvio;*;;;;;;;;;55.25
+;;;Schlegel Reto;*;;;;;;;9.75
-;2;9.75;Peng Mike;***;11;55.75;5;8.5;3;-1.25;8.75
+;6;18.5;Schnyder Christian;;12;55.5;1;20.0;-5;1.5;10.0
o;4;28.5;Hochholdinger Roman;**;8;56.5;5;28.25;1;-0.25;8.5
+;9;37.0;Inauen Aurel;;17;54.25;9;37.0;0;0.0;9.75
o;9;46.75;Rhyner Michael;**;6;57.0;8;47.0;-1;0.25;8.5

13h;Schwyn Adrian;*;;;;;;;;;55.25
o;;;Jörger Marc;*;;;;;;;8.5
+;5;8.5;Fässler Tobias (2002);;13;55.25;1;10.0;-4;1.5;9.75
o;7;18.25;Flütsch Marco;;14;55.0;7;18.25;0;0.0;8.5
+;11;26.75;Rütsche Stefan;*;24;35.25;11;26.75;0;0.0;10.0
+;10;36.75;Hug Jan;;14;55.0;10;36.75;0;0.0;10.0
o;9;46.75;Peng Mike;***;11;55.75;13;45.75;4;-1.0;8.5

13i;Fässler Tobias (2002);;;;;;;;;;55.25
+;;;Cavegn Simon (2003);;;;;;;;10.0
o;1;10.0;Schwyn Adrian;*;13;55.25;5;8.5;4;-1.5;8.5
+;6;18.5;Lenherr Cédric (2003);;21;52.75;7;18.25;1;-0.25;9.75
o;5;28.25;Gmür Pirmin;**;9;56.25;9;27.25;4;-1.0;8.5
+;10;36.75;Flütsch Marco;;14;55.0;10;36.75;0;0.0;10.0
o;9;46.75;Gartmann Mauro;*;7;56.75;8;47.0;-1;0.25;8.5

13j;Koller Fabian;*;;;;;;;;;55.25
o;;;Schläpfer Matthias;*;;;;;;;8.75
+;4;8.75;Bircher Luca;;9;56.25;2;9.75;-2;1.0;9.75
o;6;18.5;Schuler Alex;***;13;55.25;11;17.25;5;-1.25;8.5
+;10;27.0;Gerig Marcel;;22;52.5;10;27.0;0;0.0;10.0
o;9;37.0;Rotach Lars;*;7;56.75;9;37.0;0;0.0;8.5
+;14;45.5;Tanner Adrian;;18;54.0;14;45.5;0;0.0;9.75

13k;Rhyner Beni;;;;;;;;;;55.25
+;;;Hofer Lars (2003);;;;;;;;9.75
o;2;9.75;Dörig Erich;*;12;55.5;4;8.75;2;-1.0;8.5
+;7;18.25;Ackermann Rico (2003);;12;55.5;6;18.5;-1;0.25;10.0
o;5;28.25;Giger Urs;*;14;55.0;6;28.0;1;-0.25;8.5
+;10;36.75;Ritter Fabio (2001);;17;54.25;9;37.0;-1;0.25;10.0
o;9;46.75;Koch Thomas;*;6;57.0;8;47.0;-1;0.25;8.5

13l;Tschudi Mario (2001);;;;;;;;;;55.25
+;;;Vetterli Sven (2003);;;;;;;;10.0
o;1;10.0;Schlegel Reto;*;17;54.25;5;8.5;4;-1.5;8.5
+;6;18.5;Joos Enrico (2003);;17;54.25;6;18.5;0;0.0;10.0
o;4;28.5;Gartmann Mauro;*;7;56.75;5;28.25;1;-0.25;8.5
o;9;37.0;Koller Silvan (2002);;14;55.0;10;36.75;1;-0.25;8.5
+;14;45.5;Bernhard Thomas (2002);;19;53.75;15;45.25;1;-0.25;9.75
o;13;55.25;Hug Jan;;14;55.0;14;55.0;1;-0.25;0.0

13m;Brand Andreas (2003);;;;;;;;;;55.25
o;;;Laager Michael (2001);;;;;;;;8.5
o;5;8.5;Mösli Marcel;;17;54.25;4;8.75;-1;0.25;8.5
+;12;17.0;Baumann Nico (2002);;27;34.0;12;17.0;0;0.0;9.75
+;11;26.75;Elmer Loris;;24;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Kirchmeier Christof;;13;55.25;10;36.75;0;0.0;8.5
+;15;45.25;Lenherr Cédric (2003);;21;52.75;18;44.25;3;-1.0;10.0

13n;Schallberger Clint;;;;;;;;;;55.25
+;;;Hefti Christian;;;;;;;;10.0
o;1;10.0;Battaglia Ursin;**;14;55.0;3;9.0;2;-1.0;8.5
o;6;18.5;Neff Florian;;7;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Lieberherr David (2003);;21;52.75;10;27.0;0;0.0;9.75
o;10;36.75;Dumelin David;**;7;56.75;9;37.0;-1;0.25;8.5
+;15;45.25;Giger Florian (2001);;18;54.0;14;45.5;-1;0.25;10.0

13o;Koch Reto;*;;;;;;;;;55.25
o;;;Hegner Ueli;*;;;;;;;8.5
+;5;8.5;Thiemann Fabrice;;13;55.25;2;9.75;-3;1.25;10.0
+;6;18.5;Krähenbühl Lukas;*;11;55.75;5;18.75;-1;0.25;9.75
o;5;28.25;Schneider Domenic;***;8;56.5;6;28.0;1;-0.25;8.5
+;10;36.75;Steiner Joel;;16;54.5;9;37.0;-1;0.25;9.75
o;10;46.5;Bernold Christian;**;9;56.25;10;46.5;0;0.0;8.75

13p;Kamer Hanspeter;*;;;;;;;;;55.25
o;;;Biäsch Christian;*;;;;;;;8.5
+;5;8.5;Schwyn Patrick;;17;54.25;2;9.75;-3;1.25;10.0
o;6;18.5;Hochholdinger Roman;**;8;56.5;6;18.5;0;0.0;8.5
+;10;27.0;Straub Paul;;17;54.25;8;27.5;-2;0.5;9.75
+;10;36.75;Krähenbühl Lukas;*;11;55.75;8;37.25;-2;0.5;10.0
o;9;46.75;Burkhalter Stefan;***;5;57.25;7;47.25;-2;0.5;8.5

14a;Flütsch Marco;;;;;;;;;;55.0
o;;;Thiemann Fabrice;;;;;;;;8.5
+;5;8.5;Gaccioli Benjamin;;27;34.0;5;8.5;0;0.0;9.75
+;7;18.25;Schwyn Adrian;*;13;55.25;7;18.25;0;0.0;10.0
o;5;28.25;Horner Sämi;;9;56.25;3;28.75;-2;0.5;8.5
o;10;36.75;Fässler Tobias (2002);;13;55.25;10;36.75;0;0.0;8.5
+;15;45.25;Brülisauer Thomas (2003);;18;54.0;14;45.5;-1;0.25;9.75

14b;Speck Ignaz (2003);;;;;;;;;;55.0
+;;;Grob Rachen (2002);;;;;;;;10.0
o;1;10.0;Pianta Christian;*;9;56.25;4;8.75;3;-1.25;8.5
o;6;18.5;Aebli Nino;;12;55.5;6;18.5;0;0.0;8.5
o;10;27.0;Schiesser Patrik;;17;54.25;9;27.25;-1;0.25;8.5
+;15;35.5;Gallati Nils (2002);;22;52.5;15;35.5;0;0.0;9.75
+;15;45.25;Egli Patrick;;22;52.5;19;44.0;4;-1.25;9.75

14c;Schudel Simon;*;;;;;;;;;55.0
o;;;Landolt Reto;*;;;;;;;8.5
+;5;8.5;Niederer Andreas (2002);;18;54.0;2;9.75;-3;1.25;9.75
+;7;18.25;Salnajs Leo;;17;54.25;6;18.5;-1;0.25;10.0
o;5;28.25;Peng Mike;***;11;55.75;10;27.0;5;-1.25;8.5
+;10;36.75;Lötscher Abraham;;16;54.5;9;37.0;-1;0.25;9.75
o;10;46.5;Roth Martin;**;6;57.0;8;47.0;-2;0.5;8.5

14d;Baumann Rico;*;;;;;;;;;55.0
-;;;Hess Michael;*;;;;;;;9.0
-;3;9.0;Schallberger Jakob;;15;54.75;1;10.0;-2;1.0;9.0
+;8;18.0;Bärtsch Andreas (2002);;24;35.25;7;18.25;-1;0.25;10.0
+;6;28.0;Thiemann Fabrice;;13;55.25;5;28.25;-1;0.25;10.0
o;5;38.0;Schuler Alex;***;13;55.25;9;37.0;4;-1.0;8.5
o;10;46.5;Notz Beni;***;7;56.75;8;47.0;-2;0.5;8.5

14e;Büsser André;*;;;;;;;;;55.0
-;;;Schmid Patrick;*;;;;;;;8.75
o;4;8.75;Steinauer Adrian;**;12;55.5;4;8.75;0;0.0;8.5
+;11;17.25;Giger Florian (2001);;18;54.0;7;18.25;-4;1.0;9.75
+;10;27.0;Neff Florian;;7;56.75;5;28.25;-5;1.25;9.75
+;10;36.75;Streiff Dominik;*;15;54.75;12;36.25;2;-0.5;9.75
o;10;46.5;Hegner Ueli;*;8;56.5;9;46.75;-1;0.25;8.5

14f;Koller Silvan (2002);;;;;;;;;;55.0
+;;;Tremp Ruedi (2003);;;;;;;;9.75
o;2;9.75;Koch Thomas;*;6;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Keller Stefan;;21;52.75;6;18.5;-1;0.25;10.0
o;5;28.25;Fuster Sepp;*;23;46.5;6;28.0;1;-0.25;8.5
+;10;36.75;Tschudi Mario (2001);;13;55.25;9;37.0;-1;0.25;9.75
o;10;46.5;Fausch Kjetil;*;10;56.0;12;46.0;2;-0.5;8.5

14g;Hug Jan;;;;;;;;;;55.0
+;;;Signer Walter;;;;;;;;9.75
o;2;9.75;Fuster Sepp;*;23;46.5;5;8.5;3;-1.25;8.5
o;7;18.25;Jörger Corsin;;10;56.0;6;18.5;-1;0.25;8.5
+;11;26.75;Tanner Markus (2002);;24;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Schwyn Adrian;*;13;55.25;10;36.75;0;0.0;8.5
+;15;45.25;Tschudi Mario (2001);;13;55.25;14;45.5;-1;0.25;9.75

14h;Battaglia Ursin;**;;;;;;;;;55.0
-;;;Dumelin David;**;;;;;;;9.0
+;3;9.0;Schallberger Clint;;13;55.25;1;10.0;-2;1.0;10.0
o;4;19.0;Notz Beni;***;7;56.75;5;18.75;1;-0.25;8.5
+;8;27.5;Blaser Niklas;*;13;55.25;9;27.25;1;-0.25;10.0
o;7;37.5;Landolt Reto;*;8;56.5;5;38.0;-2;0.5;8.75
o;11;46.25;Kolb Pirmin (2001);;7;56.75;9;46.75;-2;0.5;8.75

14i;Giger Urs;*;;;;;;;;;55.0
o;;;Fausch Kjetil;*;;;;;;;8.5
+;5;8.5;Kolb Pirmin (2001);;7;56.75;2;9.75;-3;1.25;9.75
+;7;18.25;Streiff Dominik;*;15;54.75;5;18.75;-2;0.5;9.75
+;6;28.0;Rhyner Beni;;13;55.25;5;28.25;-1;0.25;10.0
o;5;38.0;Schneider Mario;**;3;58.0;5;38.0;0;0.0;8.5
o;10;46.5;Gmür Pirmin;**;9;56.25;11;46.25;1;-0.25;8.5

15a;Schallberger Jakob;;;;;;;;;;54.75
+;;;Tanner Adrian;;;;;;;;10.0
-;1;10.0;Baumann Rico;*;14;55.0;3;9.0;2;-1.0;8.75
-;5;18.75;Bernold Christian;**;9;56.25;6;18.5;1;-0.25;9.0
+;7;27.75;Burkhalter Thomas (2003);;16;54.5;8;27.5;1;-0.25;9.75
o;7;37.5;Hochholdinger Roman;**;8;56.5;5;38.0;-2;0.5;8.5
-;12;46.0;Mettler Valentin;*;18;54.0;15;45.25;3;-0.75;8.75

15b;Streiff Dominik;*;;;;;;;;;54.75
-;;;Vollenweider Jeremy;*;;;;;;;8.75
+;4;8.75;Lieberherr David (2003);;21;52.75;1;10.0;-3;1.25;10.0
o;5;18.75;Giger Urs;*;14;55.0;7;18.25;2;-0.5;8.5
-;9;27.25;Kolb This (2003);;12;55.5;5;28.25;-4;1.0;9.0
o;12;36.25;Büsser André;*;14;55.0;10;36.75;-2;0.5;8.5
+;16;44.75;Wagner Andreas (2002);;16;54.5;12;46.0;-4;1.25;10.0

16a;Wagner Andreas (2002);;;;;;;;;;54.5
-;;;Steiner Joel;;;;;;;;8.75
o;4;8.75;Schrepfer Roy;;12;55.5;4;8.75;0;0.0;8.5
-;11;17.25;Ackermann Roman;;25;35.0;11;17.25;0;0.0;9.0
+;12;26.25;Grob Rachen (2002);;27;34.0;15;25.5;3;-0.75;10.0
+;12;36.25;Höpli Remo;;18;54.0;15;35.5;3;-0.75;9.75
o;12;46.0;Streiff Dominik;*;15;54.75;16;44.75;4;-1.25;8.5

16b;Burkhalter Thomas (2003);;;;;;;;;;54.5
-;;;Badat Thomas;;;;;;;;9.0
+;3;9.0;Gerig Marcel;;22;52.5;5;8.5;2;-0.5;10.0
o;4;19.0;Bernold Michael;*;7;56.75;7;18.25;3;-0.75;8.5
o;8;27.5;Schallberger Jakob;;15;54.75;7;27.75;-1;0.25;8.5
+;13;36.0;Signer Walter;;21;52.75;14;35.75;1;-0.25;10.0
o;12;46.0;Poltera Andrin;*;12;55.5;13;45.75;1;-0.25;8.5

16c;Steiner Joel;;;;;;;;;;54.5
-;;;Wagner Andreas (2002);;;;;;;;8.75
+;4;8.75;Graf Nicola (2003);;11;55.75;4;8.75;0;0.0;9.75
-;6;18.5;Blaser Niklas;*;13;55.25;6;18.5;0;0.0;8.75
+;9;27.25;Mösli Marcel;;17;54.25;9;27.25;0;0.0;9.75
o;9;37.0;Koch Reto;*;13;55.25;10;36.75;1;-0.25;8.5
-;14;45.5;Schwyn Patrick;;17;54.25;15;45.25;1;-0.25;9.0

16d;Lötscher Abraham;;;;;;;;;;54.5
+;;;Forrer Marco (2003);;;;;;;;10.0
o;1;10.0;Landolt Reto;*;8;56.5;2;9.75;1;-0.25;8.75
o;5;18.75;Thoma Christoph;;12;55.5;5;18.75;0;0.0;8.5
+;9;27.25;Schoch Cornel;;17;54.25;8;27.5;-1;0.25;9.75
o;9;37.0;Schudel Simon;*;14;55.0;10;36.75;1;-0.25;8.5
-;14;45.5;Brülisauer Dominik (2001);;16;54.5;14;45.5;0;0.0;9.0

16e;Brülisauer Dominik (2001);;;;;;;;;;54.5
+;;;Joos Enrico (2003);;;;;;;;9.75
o;2;9.75;Jöhl Christian;*;12;55.5;1;10.0;-1;0.25;8.75
o;6;18.5;Castelli Fabio;;11;55.75;6;18.5;0;0.0;8.5
+;10;27.0;Höpli Remo;;18;54.0;10;27.0;0;0.0;10.0
o;9;37.0;Pianta Christian;*;9;56.25;8;37.25;-1;0.25;8.5
-;14;45.5;Lötscher Abraham;;16;54.5;14;45.5;0;0.0;9.0

17a;Joos Enrico (2003);;;;;;;;;;54.25
o;;;Brülisauer Dominik (2001);;;;;;;;8.5
+;5;8.5;Gallati Nils (2002);;22;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Tschudi Mario (2001);;13;55.25;6;18.5;0;0.0;8.5
o;10;27.0;Krähenbühl Lukas;*;11;55.75;9;27.25;-1;0.25;8.5
o;15;35.5;Tanner Adrian;;18;54.0;14;35.75;-1;0.25;8.75
+;18;44.25;Vetterli Sven (2003);;22;52.5;19;44.0;1;-0.25;10.0

17b;Straub Paul;;;;;;;;;;54.25
o;;;Castelli Fabio;;;;;;;;8.75
-;4;8.75;Tanner Adrian;;18;54.0;5;8.5;1;-0.25;8.75
+;10;17.5;Roth Sämi;;25;35.0;9;17.75;-1;0.25;10.0
o;8;27.5;Kamer Hanspeter;*;13;55.25;10;27.0;2;-0.5;8.5
+;13;36.0;Lieberherr David (2003);;21;52.75;15;35.5;2;-0.5;9.75
o;13;45.75;Schläpfer Matthias;*;12;55.5;14;45.5;1;-0.25;8.5

17c;Keller Werner;;;;;;;;;;54.25
o;;;Aebli Nino;;;;;;;;8.5
+;5;8.5;Büsser Remo;;31;17.0;5;8.5;0;0.0;10.0
-;6;18.5;Rotach Lars;*;7;56.75;7;18.25;1;-0.25;8.75
+;9;27.25;Badat Thomas;;17;54.25;9;27.25;0;0.0;10.0
o;8;37.25;Jörger Marc;*;10;56.0;7;37.5;-1;0.25;8.5
o;13;45.75;Graf Nicola (2003);;11;55.75;13;45.75;0;0.0;8.5

17d;Badat Thomas;;;;;;;;;;54.25
-;;;Burkhalter Thomas (2003);;;;;;;;9.0
+;3;9.0;Ackermann Roman;;25;35.0;4;8.75;1;-0.25;9.75
o;5;18.75;Roth Martin;**;6;57.0;7;18.25;2;-0.5;8.5
o;9;27.25;Keller Werner;;17;54.25;9;27.25;0;0.0;8.5
+;14;35.75;Langenegger Beat;;20;53.5;12;36.25;-2;0.5;9.75
o;14;45.5;Thoma Christoph;;12;55.5;13;45.75;-1;0.25;8.75

17e;Mösli Marcel;;;;;;;;;;54.25
o;;;Tremp Remo;;;;;;;;8.75
+;4;8.75;Brand Andreas (2003);;13;55.25;5;8.5;1;-0.25;10.0
o;5;18.75;Pianta Christian;*;9;56.25;5;18.75;0;0.0;8.5
o;9;27.25;Steiner Joel;;16;54.5;9;27.25;0;0.0;8.5
o;14;35.75;Schrepfer Sven (2003);;19;53.75;15;35.5;1;-0.25;8.5
+;18;44.25;Gallati Nils (2002);;22;52.5;19;44.0;1;-0.25;10.0

17f;Schiesser Patrik;;;;;;;;;;54.25
+;;;Ackermann Rico (2003);;;;;;;;9.75
o;2;9.75;Gosswiler Livio;*;30;18.25;5;8.5;3;-1.25;8.5
-;7;18.25;Schoch Cornel;;17;54.25;6;18.5;-1;0.25;9.0
+;9;27.25;Speck Ignaz (2003);;14;55.0;10;27.0;1;-0.25;10.0
o;8;37.25;Vollenweider Jeremy;*;7;56.75;9;37.0;1;-0.25;8.5
o;13;45.75;Schrepfer Roy;;12;55.5;13;45.75;0;0.0;8.5

17g;Schlegel Reto;*;;;;;;;;;54.25
o;;;Oettli Silvio;*;;;;;;;8.5
+;5;8.5;Tschudi Mario (2001);;13;55.25;1;10.0;-4;1.5;9.75
o;7;18.25;Schneider Mario;**;3;58.0;6;18.5;-1;0.25;8.75
+;10;27.0;Ackermann Rico (2003);;12;55.5;10;27.0;0;0.0;10.0
o;9;37.0;Kolb Pirmin (2001);;7;56.75;9;37.0;0;0.0;8.75
o;13;45.75;Schmid Patrick;*;10;56.0;11;46.25;-2;0.5;8.5

17h;Schoch Cornel;;;;;;;;;;54.25
+;;;Egli Patrick;;;;;;;;10.0
o;1;10.0;Gmür Pirmin;**;9;56.25;4;8.75;3;-1.25;8.5
-;6;18.5;Schiesser Patrik;;17;54.25;7;18.25;1;-0.25;9.0
o;8;27.5;Lötscher Abraham;;16;54.5;9;27.25;1;-0.25;8.5
o;13;36.0;Thiemann Fabrice;;13;55.25;10;36.75;-3;0.75;8.5
+;17;44.5;Hofer Lars (2003);;21;52.75;18;44.25;1;-0.25;9.75

17i;Mathis Patrick;;;;;;;;;;54.25
+;;;Inauen Aurel;;;;;;;;10.0
o;1;10.0;Steiner Michael;**;6;57.0;5;8.5;4;-1.5;8.5
-;6;18.5;Langenegger Beat;;20;53.5;6;18.5;0;0.0;9.0
+;8;27.5;Niederer Andreas (2002);;18;54.0;10;27.0;2;-0.5;9.75
o;8;37.25;Straub Robin;*;11;55.75;8;37.25;0;0.0;8.5
o;13;45.75;Ackermann Rico (2003);;12;55.5;14;45.5;1;-0.25;8.5

17j;Salnajs Leo;;;;;;;;;;54.25
o;;;Bircher Luca;;;;;;;;8.5
+;5;8.5;Hofer Lars (2003);;21;52.75;5;8.5;0;0.0;10.0
o;6;18.5;Schudel Simon;*;14;55.0;7;18.25;1;-0.25;8.75
+;9;27.25;Forrer Marco (2003);;24;35.25;11;26.75;2;-0.5;10.0
o;8;37.25;Hegner Ueli;*;8;56.5;10;36.75;2;-0.5;8.5
o;13;45.75;Krähenbühl Lukas;*;11;55.75;13;45.75;0;0.0;8.5

17k;Arpagaus Nino (2003);;;;;;;;;;54.25
-;;;Düring Dominik (2003);;;;;;;;8.75
o;4;8.75;Giger Florian (2001);;18;54.0;5;8.5;1;-0.25;8.5
o;11;17.25;Egli Patrick;;22;52.5;12;17.0;1;-0.25;8.5
+;14;25.75;Baumann Nico (2002);;27;34.0;15;25.5;1;-0.25;9.75
-;15;35.5;Lenherr Cédric (2003);;21;52.75;15;35.5;0;0.0;8.75
+;18;44.25;Tremp Ruedi (2003);;22;52.5;19;44.0;1;-0.25;10.0

17l;Ritter Fabio (2001);;;;;;;;;;54.25
o;;;Langenegger Beat;;;;;;;;8.5
+;5;8.5;Elmer Loris;;24;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Rütsche Stefan;*;24;35.25;12;17.0;6;-1.5;8.5
+;10;27.0;Keller Stefan;;21;52.75;10;27.0;0;0.0;10.0
o;9;37.0;Rhyner Beni;;13;55.25;10;36.75;1;-0.25;8.5
-;14;45.5;Tremp Remo;;18;54.0;15;45.25;1;-0.25;8.75

17m;Schwyn Patrick;;;;;;;;;;54.25
+;;;Manser Adrian;;;;;;;;9.75
o;2;9.75;Kamer Hanspeter;*;13;55.25;5;8.5;3;-1.25;8.5
o;7;18.25;Kolb This (2003);;12;55.5;6;18.5;-1;0.25;8.5
-;11;26.75;Giger Florian (2001);;18;54.0;11;26.75;0;0.0;8.75
+;15;35.5;Egli Patrick;;22;52.5;15;35.5;0;0.0;9.75
-;15;45.25;Steiner Joel;;16;54.5;14;45.5;-1;0.25;9.0

17n;Inauen Aurel;;;;;;;;;;54.25
o;;;Mathis Patrick;;;;;;;;8.5
+;5;8.5;Stadelmann Patrick;;18;54.0;4;8.75;-1;0.25;9.75
-;7;18.25;Rüegg Roman;*;29;26.0;11;17.25;4;-1.0;8.75
+;10;27.0;Bärtsch Andreas (2002);;24;35.25;11;26.75;1;-0.25;10.0
o;9;37.0;Oettli Silvio;*;13;55.25;9;37.0;0;0.0;8.75
o;13;45.75;Blaser Niklas;*;13;55.25;14;45.5;1;-0.25;8.5

18a;Tanner Adrian;;;;;;;;;;54.0
o;;;Schallberger Jakob;;;;;;;;8.5
-;5;8.5;Straub Paul;;17;54.25;4;8.75;-1;0.25;8.75
o;11;17.25;Graf Nicola (2003);;11;55.75;10;17.5;-1;0.25;8.5
+;14;25.75;Gaccioli Benjamin;;27;34.0;15;25.5;1;-0.25;10.0
+;14;35.75;Joos Enrico (2003);;17;54.25;15;35.5;1;-0.25;9.75
o;14;45.5;Koller Fabian;*;13;55.25;14;45.5;0;0.0;8.5

18b;Höpli Remo;;;;;;;;;;54.0
o;;;Jörger Corsin;;;;;;;;8.5
o;5;8.5;Bärtsch Andreas (2002);;24;35.25;5;8.5;0;0.0;8.5
+;12;17.0;Brülisauer Thomas (2003);;18;54.0;12;17.0;0;0.0;10.0
o;10;27.0;Brülisauer Dominik (2001);;16;54.5;10;27.0;0;0.0;8.5
o;15;35.5;Wagner Andreas (2002);;16;54.5;12;36.25;-3;0.75;8.75
+;18;44.25;Schrepfer Sven (2003);;19;53.75;15;45.25;-3;1.0;9.75

18c;Niederer Andreas (2002);;;;;;;;;;54.0
+;;;Bärtsch Andreas (2002);;;;;;;;9.75
o;2;9.75;Schudel Simon;*;14;55.0;5;8.5;3;-1.25;8.5
o;7;18.25;Bircher Luca;;9;56.25;7;18.25;0;0.0;8.75
o;10;27.0;Mathis Patrick;;17;54.25;8;27.5;-2;0.5;8.5
o;15;35.5;Sprecher Martin;;18;54.0;15;35.5;0;0.0;8.5
+;19;44.0;Signer Walter;;21;52.75;18;44.25;-1;0.25;10.0

18d;Manser Adrian;;;;;;;;;;54.0
o;;;Schwyn Patrick;;;;;;;;8.75
-;4;8.75;Roth Sämi;;25;35.0;3;9.0;-1;0.25;8.75
o;10;17.5;Stadelmann Patrick;;18;54.0;11;17.25;1;-0.25;8.5
+;13;26.0;Düring Dominik (2003);;26;34.25;14;25.75;1;-0.25;9.75
o;14;35.75;Graf Nicola (2003);;11;55.75;13;36.0;-1;0.25;8.5
+;18;44.25;Gerig Marcel;;22;52.5;19;44.0;1;-0.25;9.75

18e;Tremp Remo;;;;;;;;;;54.0
+;;;Mösli Marcel;;;;;;;;9.75
o;2;9.75;Hess Michael;*;11;55.75;3;9.0;1;-0.75;8.5
o;7;18.25;Thiemann Fabrice;;13;55.25;7;18.25;0;0.0;8.5
+;11;26.75;Hefti Christian;;24;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Castelli Fabio;;11;55.75;9;37.0;-1;0.25;8.5
-;15;45.25;Ritter Fabio (2001);;17;54.25;14;45.5;-1;0.25;8.75

18f;Giger Florian (2001);;;;;;;;;;54.0
o;;;Kirchmeier Christof;;;;;;;;8.5
+;5;8.5;Arpagaus Nino (2003);;17;54.25;4;8.75;-1;0.25;9.75
o;7;18.25;Büsser André;*;14;55.0;11;17.25;4;-1.0;8.5
-;11;26.75;Schwyn Patrick;;17;54.25;11;26.75;0;0.0;8.75
+;15;35.5;Gerig Marcel;;22;52.5;15;35.5;0;0.0;10.0
o;14;45.5;Schallberger Clint;;13;55.25;15;45.25;1;-0.25;8.5

18g;Sprecher Martin;;;;;;;;;;54.0
+;;;Gaccioli Benjamin;;;;;;;;9.75
o;2;9.75;Laager Michael (2001);;13;55.25;1;10.0;-1;0.25;8.5
o;7;18.25;Fuster Sepp;*;23;46.5;7;18.25;0;0.0;8.5
-;11;26.75;Egli Patrick;;22;52.5;11;26.75;0;0.0;8.75
+;15;35.5;Niederer Andreas (2002);;18;54.0;15;35.5;0;0.0;9.75
-;15;45.25;Langenegger Beat;;20;53.5;16;44.75;1;-0.5;8.75

18h;Stadelmann Patrick;;;;;;;;;;54.0
-;;;Graf Nicola (2003);;;;;;;;8.75
o;4;8.75;Inauen Aurel;;17;54.25;5;8.5;1;-0.25;8.5
+;11;17.25;Manser Adrian;;18;54.0;10;17.5;-1;0.25;10.0
o;9;27.25;Poltera Andrin;*;12;55.5;9;27.25;0;0.0;8.5
o;14;35.75;Ackermann Rico (2003);;12;55.5;15;35.5;1;-0.25;8.5
+;18;44.25;Keller Stefan;;21;52.75;18;44.25;0;0.0;9.75

18i;Mettler Valentin;*;;;;;;;;;54.0
o;;;Krähenbühl Lukas;*;;;;;;;8.5
+;5;8.5;Aebli Nino;;12;55.5;1;10.0;-4;1.5;9.75
o;7;18.25;Vollenweider Jeremy;*;7;56.75;5;18.75;-2;0.5;8.5
+;11;26.75;Hofer Lars (2003);;21;52.75;10;27.0;-1;0.25;10.0
o;10;36.75;Jörger Corsin;;10;56.0;9;37.0;-1;0.25;8.5
-;15;45.25;Schallberger Jakob;;15;54.75;12;46.0;-3;0.75;8.75

18j;Brülisauer Thomas (2003);;;;;;;;;;54.0
o;;;Horner Sämi;;;;;;;;8.5
o;5;8.5;Hefti Christian;;24;35.25;5;8.5;0;0.0;8.5
o;12;17.0;Höpli Remo;;18;54.0;12;17.0;0;0.0;8.5
+;15;25.5;Bertogg Severin (2001);;27;34.0;15;25.5;0;0.0;10.0
+;15;35.5;Tremp Ruedi (2003);;22;52.5;15;35.5;0;0.0;10.0
