3619-2017-07-22_66_Weissenstein-Schwinget-ST

1a;Stucki Christian;***;;;;;;;;;59.5
+;9;17.25;Gisin Yanic;;26;34.0;10;17.0;1;-0.25;9.75
o;11;27.0;Hauri Urs;**;11;55.5;11;27.0;0;0.0;8.5
-;15;35.5;Ducry Antoine;*;15;54.5;14;35.75;-1;0.25;9.0
+;19;44.5;Krebs Clemens;;21;53.0;19;44.5;0;0.0;9.75

17a;Arnold Kornel;*;;;;;;;;;54.0
o;;;Gerber Christian;**;;;;;;;8.5
o;4;8.5;Käser Remo;***;7;56.5;3;8.75;-1;0.25;8.5
+;10;17.0;Lisser Daniel;*;28;25.75;9;17.25;-1;0.25;10.0
+;11;27.0;Dobler Florian;;22;52.75;11;27.0;0;0.0;9.75
o;10;36.75;Ramseier Fritz;**;10;55.75;10;36.75;0;0.0;8.5
-;16;45.25;Dousse Michel;**;16;54.25;15;45.5;-1;0.25;8.75

17b;Hügli Kaj;*;;;;;;;;;54.0
o;;;Dind Samuel;**;;;;;;;8.5
-;4;8.5;Brodard Augustin;**;21;53.0;4;8.5;0;0.0;8.75
o;9;17.25;Mollet Ivan;*;13;55.0;6;18.25;-3;1.0;8.5
+;15;25.75;Loup Alexandre;*;25;34.25;15;25.75;0;0.0;9.75
-;15;35.5;Krebs Clemens;;21;53.0;14;35.75;-1;0.25;8.75
+;20;44.25;Studer Remo;;22;52.75;20;44.25;0;0.0;9.75

17c;Leuthard Reto;*;;;;;;;;;54.0
o;;;Borcard Johann;**;;;;;;;8.5
+;4;8.5;Roth Robin (2000);*;22;52.75;3;8.75;-1;0.25;9.75
-;6;18.25;Studer Remo;;22;52.75;6;18.25;0;0.0;8.75
+;11;27.0;Gerber Andrj (2000);*;21;53.0;10;27.25;-1;0.25;10.0
o;9;37.0;Gerber Christian;**;9;56.0;8;37.25;-1;0.25;8.5
o;15;45.5;Hauri Urs;**;11;55.5;15;45.5;0;0.0;8.5

17d;Brun Samuel (1999);**;;;;;;;;;54.0
o;;;Ramseier Fritz;**;;;;;;;8.5
+;4;8.5;Lerch Jimmy;*;14;54.75;3;8.75;-1;0.25;10.0
o;5;18.5;Röthlisberger Simon;**;11;55.5;5;18.5;0;0.0;8.5
+;11;27.0;Graber Alfred;*;19;53.5;10;27.25;-1;0.25;10.0
o;9;37.0;Zenger Niklaus;***;5;57.0;8;37.25;-1;0.25;8.5
o;15;45.5;Roch Vincent;**;10;55.75;14;45.75;-1;0.25;8.5

17e;Probst Gabriel;**;;;;;;;;;54.0
o;;;Dousse Michel;**;;;;;;;8.5
+;4;8.5;Loup Alexandre;*;25;34.25;3;8.75;-1;0.25;10.0
o;5;18.5;Matthey Mickaël;**;11;55.5;6;18.25;1;-0.25;8.5
o;11;27.0;Klausner Yanick;**;10;55.75;11;27.0;0;0.0;8.5
o;15;35.5;Mangold Martin;;17;54.0;14;35.75;-1;0.25;8.5
+;21;44.0;Gerber Andrj (2000);*;21;53.0;19;44.5;-2;0.5;10.0

17f;Gottofrey Marc;**;;;;;;;;;54.0
+;;;Steinmann Yves;*;;;;;;;10.0
o;1;10.0;Aeschbacher Matthias;**;5;57.0;1;10.0;0;0.0;8.5
+;5;18.5;Dobler Florian;;22;52.75;5;18.5;0;0.0;9.75
o;6;28.25;Roschi Ruedi;**;4;57.25;4;28.75;-2;0.5;8.5
o;10;36.75;Roth Philipp;***;12;55.25;9;37.0;-1;0.25;8.5
-;16;45.25;Schmid Samuel;**;18;53.75;17;45.0;1;-0.25;8.75

17g;Mangold Martin;;;;;;;;;;54.0
+;;;Bieli Andreas;;;;;;;;10.0
o;1;10.0;Dousse Michel;**;16;54.25;1;10.0;0;0.0;8.5
o;5;18.5;Gerber Christian;**;9;56.0;5;18.5;0;0.0;8.5
-;11;27.0;Schillig Willi;**;15;54.5;12;26.75;1;-0.25;8.75
+;14;35.75;Probst Gabriel;**;17;54.0;15;35.5;1;-0.25;9.75
o;15;45.5;Weyermann Florian;*;12;55.25;16;45.25;1;-0.25;8.5

18a;Schmid David;***;;;;;;;;;53.75
-;;;Käser Remo;***;;;;;;;8.75
-;3;8.75;Gerber Christian;**;9;56.0;2;9.75;-1;1.0;8.75
-;8;17.5;Graber Alfred;*;19;53.5;5;18.5;-3;1.0;8.75
+;13;26.25;Lerch Jimmy;*;14;54.75;10;27.25;-3;1.0;10.0
-;12;36.25;Rolli Martin;**;15;54.5;9;37.0;-3;0.75;8.75
-;17;45.0;Roth Dominik;**;15;54.5;14;45.75;-3;0.75;8.75

18b;Schmid Samuel;**;;;;;;;;;53.75
o;;;Aeschbacher Matthias;**;;;;;;;8.5
+;4;8.5;Lisser Beat;;22;52.75;2;9.75;-2;1.25;9.75
o;6;18.25;Roth Philipp;***;12;55.25;5;18.5;-1;0.25;8.5
+;12;26.75;Odermatt Adrian (2001);*;21;53.0;11;27.0;-1;0.25;9.75
o;11;36.5;Wüthrich Niklaus;**;12;55.25;10;36.75;-1;0.25;8.5
-;17;45.0;Gottofrey Marc;**;17;54.0;16;45.25;-1;0.25;8.75

19a;Nussbaumer Gabriel;;;;;;;;;;53.5
+;;;Bearda Samuel;;;;;;;;9.75
o;2;9.75;Klausner Yanick;**;10;55.75;4;8.5;2;-1.25;8.5
+;6;18.25;Lisser Beat;;22;52.75;6;18.25;0;0.0;9.75
o;7;28.0;Kramer Lario;**;10;55.75;6;28.25;-1;0.25;8.5
o;11;36.5;Bader Andreas;**;12;55.25;14;35.75;3;-0.75;8.5
o;17;45.0;Ducry Antoine;*;15;54.5;18;44.75;1;-0.25;8.5

19b;Graber Alfred;*;;;;;;;;;53.5
+;;;Räuftlin Samuel (2001);;;;;;;;10.0
o;1;10.0;Studinger Stephan;**;7;56.5;1;10.0;0;0.0;8.5
-;5;18.5;Schmid David;***;18;53.75;8;17.5;3;-1.0;8.75
o;10;27.25;Brun Samuel (1999);**;17;54.0;11;27.0;1;-0.25;8.5
-;14;35.75;Schaffner Samuel;**;22;52.75;15;35.5;1;-0.25;8.75
-;19;44.5;Döbeli Andreas;*;20;53.25;19;44.5;0;0.0;9.0

20a;Döbeli Andreas;*;;;;;;;;;53.25
o;;;Orlik Curdin;**;;;;;;;8.5
+;4;8.5;Studer Remo;;22;52.75;2;9.75;-2;1.25;9.75
o;6;18.25;Zenger Niklaus;***;5;57.0;5;18.5;-1;0.25;8.75
-;11;27.0;Brodard Augustin;**;21;53.0;11;27.0;0;0.0;9.0
o;13;36.0;Moser Steven;**;12;55.25;10;36.75;-3;0.75;8.5
-;19;44.5;Graber Alfred;*;19;53.5;19;44.5;0;0.0;8.75

21a;Gerber Andrj (2000);*;;;;;;;;;53.0
-;;;Loup Alexandre;*;;;;;;;8.75
+;3;8.75;Anderegg David;*;16;54.25;3;8.75;0;0.0;10.0
o;4;18.75;Dind Samuel;**;16;54.25;5;18.5;1;-0.25;8.5
o;10;27.25;Leuthard Reto;*;17;54.0;11;27.0;1;-0.25;8.5
-;14;35.75;Studer Remo;;22;52.75;15;35.5;1;-0.25;8.75
o;19;44.5;Probst Gabriel;**;17;54.0;21;44.0;2;-0.5;8.5

21b;Brodard Augustin;**;;;;;;;;;53.0
o;;;Strebel Joel;**;;;;;;;8.5
-;4;8.5;Hügli Kaj;*;17;54.0;4;8.5;0;0.0;8.75
+;9;17.25;Schaffner Samuel;**;22;52.75;10;17.0;1;-0.25;9.75
-;11;27.0;Döbeli Andreas;*;20;53.25;11;27.0;0;0.0;9.0
o;13;36.0;Döbeli Lukas (2000);*;16;54.25;14;35.75;1;-0.25;8.5
o;19;44.5;Waldner Patrick;**;16;54.25;20;44.25;1;-0.25;8.5

21c;Krebs Clemens;;;;;;;;;;53.0
o;;;Studer Remo;;;;;;;;8.5
+;4;8.5;Räuftlin Samuel (2001);;26;34.0;4;8.5;0;0.0;10.0
o;5;18.5;Strebel Joel;**;13;55.0;6;18.25;1;-0.25;8.5
-;11;27.0;Scherrer Johann;**;24;34.75;14;26.0;3;-1.0;8.75
-;14;35.75;Hügli Kaj;*;17;54.0;15;35.5;1;-0.25;8.75
o;19;44.5;Anderegg David;*;16;54.25;19;44.5;0;0.0;8.5

21d;Odermatt Adrian (2001);*;;;;;;;;;53.0
o;;;Kramer Lario;**;;;;;;;8.5
o;4;8.5;Ris Jörn;;23;35.25;4;8.5;0;0.0;8.5
+;10;17.0;Loup Alexandre;*;25;34.25;9;17.25;-1;0.25;10.0
o;11;27.0;Schmid Samuel;**;18;53.75;12;26.75;1;-0.25;8.5
-;15;35.5;Winiger Fabian;**;16;54.25;15;35.5;0;0.0;8.75
-;20;44.25;Roth Robin (2000);*;22;52.75;21;44.0;1;-0.25;8.75

22a;Studer Remo;;;;;;;;;;52.75
+;;;Krebs Clemens;;;;;;;;9.75
o;2;9.75;Döbeli Andreas;*;20;53.25;4;8.5;2;-1.25;8.5
-;6;18.25;Leuthard Reto;*;17;54.0;6;18.25;0;0.0;8.75
o;11;27.0;Waldner Patrick;**;16;54.25;15;25.75;4;-1.25;8.5
-;15;35.5;Gerber Andrj (2000);*;21;53.0;14;35.75;-1;0.25;8.75
o;20;44.25;Hügli Kaj;*;17;54.0;20;44.25;0;0.0;8.5

22b;Schaffner Samuel;**;;;;;;;;;52.75
o;;;Rolli Martin;**;;;;;;;8.5
o;4;8.5;Sempach Thomas;***;5;57.0;4;8.5;0;0.0;8.5
o;10;17.0;Brodard Augustin;**;21;53.0;9;17.25;-1;0.25;8.5
+;16;25.5;Gisin Yanic;;26;34.0;16;25.5;0;0.0;10.0
-;15;35.5;Graber Alfred;*;19;53.5;14;35.75;-1;0.25;8.75
o;20;44.25;Haenni Stéphane;**;12;55.25;16;45.25;-4;1.0;8.5

22c;Lisser Beat;;;;;;;;;;52.75
+;;;Gisin Yanic;;;;;;;;9.75
o;2;9.75;Schmid Samuel;**;18;53.75;4;8.5;2;-1.25;8.5
o;6;18.25;Nussbaumer Gabriel;;19;53.5;6;18.25;0;0.0;8.5
-;12;26.75;Döbeli Lukas (2000);*;16;54.25;12;26.75;0;0.0;9.0
o;14;35.75;Steinmann Yves;*;16;54.25;14;35.75;0;0.0;8.5
o;20;44.25;Winiger Fabian;**;16;54.25;20;44.25;0;0.0;8.5

22d;Dobler Florian;;;;;;;;;;52.75
+;;;Ris Jörn;;;;;;;;10.0
o;1;10.0;Weyermann Florian;*;12;55.25;1;10.0;0;0.0;8.5
o;5;18.5;Gottofrey Marc;**;17;54.0;5;18.5;0;0.0;8.5
o;11;27.0;Arnold Kornel;*;17;54.0;11;27.0;0;0.0;8.5
o;15;35.5;Schillig Willi;**;15;54.5;14;35.75;-1;0.25;8.5
-;21;44.0;Stoll Simon;*;22;52.75;21;44.0;0;0.0;8.75

22e;Stoll Simon;*;;;;;;;;;52.75
o;;;Wüthrich Niklaus;**;;;;;;;8.5
+;4;8.5;Gisin Yanic;;26;34.0;4;8.5;0;0.0;9.75
-;6;18.25;Rolli Martin;**;15;54.5;5;18.5;-1;0.25;8.75
o;11;27.0;Roch Vincent;**;10;55.75;10;27.25;-1;0.25;8.5
o;15;35.5;Lerch Jimmy;*;14;54.75;14;35.75;-1;0.25;8.5
-;21;44.0;Dobler Florian;;22;52.75;21;44.0;0;0.0;8.75

22f;Roth Robin (2000);*;;;;;;;;;52.75
-;;;Scherrer Johann;**;;;;;;;8.75
o;3;8.75;Leuthard Reto;*;17;54.0;4;8.5;1;-0.25;8.5
o;9;17.25;Döbeli Lukas (2000);*;16;54.25;10;17.0;1;-0.25;8.5
+;15;25.75;Bearda Samuel;;26;34.0;16;25.5;1;-0.25;9.75
o;15;35.5;Mangold Michael;*;15;54.5;15;35.5;0;0.0;8.5
-;21;44.0;Odermatt Adrian (2001);*;21;53.0;20;44.25;-1;0.25;8.75

23a;Nyffeler Christoph;*;;;;;;;;;35.25
o;;;Haenni Stéphane;**;;;;;;;8.5
+;4;8.5;Ducry Antoine;*;15;54.5;3;8.75;-1;0.25;9.75
o;6;18.25;Ramseier Fritz;**;10;55.75;6;18.25;0;0.0;8.5
o;12;26.75;Moser Steven;**;12;55.25;11;27.0;-1;0.25;8.5

23b;Siegrist Christian;*;;;;;;;;;35.25
o;;;Mollet Ivan;*;;;;;;;8.5
o;4;8.5;Gisler Bruno;***;8;56.25;4;8.5;0;0.0;8.5
o;10;17.0;Bader Andreas;**;12;55.25;9;17.25;-1;0.25;8.5
+;16;25.5;Bieli Andreas;;26;34.0;16;25.5;0;0.0;9.75

23c;Mosimann Vincent;*;;;;;;;;;35.25
o;;;Voggensperger Lars (2001);;;;;;;;8.5
+;4;8.5;Bearda Samuel;;26;34.0;4;8.5;0;0.0;9.75
o;6;18.25;Kropf Marcel;**;11;55.5;10;17.0;4;-1.25;8.5
o;12;26.75;Winiger Fabian;**;16;54.25;16;25.5;4;-1.25;8.5

23d;Ris Jörn;;;;;;;;;;35.25
o;;;Dobler Florian;;;;;;;;8.5
+;4;8.5;Odermatt Adrian (2001);*;21;53.0;4;8.5;0;0.0;9.75
o;6;18.25;Voggensperger Lars (2001);;16;54.25;6;18.25;0;0.0;8.5
o;12;26.75;Wüthrich Niklaus;**;12;55.25;12;26.75;0;0.0;8.5

24a;Scherrer Johann;**;;;;;;;;;34.75
-;;;Roth Robin (2000);*;;;;;;;8.75
o;3;8.75;Zenger Niklaus;***;5;57.0;3;8.75;0;0.0;8.5
-;9;17.25;Steinmann Yves;*;16;54.25;10;17.0;1;-0.25;8.75
-;14;26.0;Krebs Clemens;;21;53.0;11;27.0;-3;1.0;8.75

25a;Loup Alexandre;*;;;;;;;;;34.25
-;;;Gerber Andrj (2000);*;;;;;;;8.75
o;3;8.75;Probst Gabriel;**;17;54.0;4;8.5;1;-0.25;8.5
o;9;17.25;Odermatt Adrian (2001);*;21;53.0;10;17.0;1;-0.25;8.5
o;15;25.75;Hügli Kaj;*;17;54.0;15;25.75;0;0.0;8.5

26a;Gisin Yanic;;;;;;;;;;34.0
o;;;Lisser Beat;;;;;;;;8.5
o;4;8.5;Stoll Simon;*;22;52.75;4;8.5;0;0.0;8.5
o;10;17.0;Anderegg David;*;16;54.25;9;17.25;-1;0.25;8.5
o;16;25.5;Schaffner Samuel;**;22;52.75;16;25.5;0;0.0;8.5

26b;Bearda Samuel;;;;;;;;;;34.0
o;;;Nussbaumer Gabriel;;;;;;;;8.5
o;4;8.5;Mosimann Vincent;*;23;35.25;4;8.5;0;0.0;8.5
o;10;17.0;Ducry Antoine;*;15;54.5;9;17.25;-1;0.25;8.5
o;16;25.5;Roth Robin (2000);*;22;52.75;15;25.75;-1;0.25;8.5

26c;Räuftlin Samuel (2001);;;;;;;;;;34.0
o;;;Graber Alfred;*;;;;;;;8.5
o;4;8.5;Krebs Clemens;;21;53.0;4;8.5;0;0.0;8.5
o;10;17.0;Hermann Oliver;*;15;54.5;9;17.25;-1;0.25;8.5
o;16;25.5;Steinmann Yves;*;16;54.25;15;25.75;-1;0.25;8.5

26d;Bieli Andreas;;;;;;;;;;34.0
o;;;Mangold Martin;;;;;;;;8.5
o;4;8.5;Mangold Michael;*;15;54.5;4;8.5;0;0.0;8.5
o;10;17.0;Lerch Jimmy;*;14;54.75;9;17.25;-1;0.25;8.5
o;16;25.5;Siegrist Christian;*;23;35.25;16;25.5;0;0.0;8.5

27a;Voggensperger Janic;**;;;;;;;;;28.25
+;;;Röthlisberger Simon;**;;;;;;;9.75
-;2;9.75;Wenger Kilian;***;4;57.25;3;8.75;1;-1.0;8.75
+;5;18.5;Weyermann Florian;*;12;55.25;2;19.75;-3;1.25;9.75

28a;Lisser Daniel;*;;;;;;;;;25.75
-;;;Ducry Antoine;*;;;;;;;8.75
o;3;8.75;Henzer Andreas;**;15;54.5;3;8.75;0;0.0;8.5
o;9;17.25;Arnold Kornel;*;17;54.0;10;17.0;1;-0.25;8.5

29a;Staub Maël;*;;;;;;;;;18.5
-;;;Hermann Oliver;*;;;;;;;8.75
+;3;8.75;Waldner Patrick;**;16;54.25;4;8.5;1;-0.25;9.75

