2975-2015-05-10_105_Zuercher_Kantonalschwingfest-ST

1a;Orlik Armon;**;;;;;;;;;59.0
+;2;19.75;Arztmann Beda;;11;55.5;1;20.0;-1;0.25;9.75
-;2;29.5;Peng Mike;***;4;57.25;5;28.5;3;-1.0;8.75
o;4;38.25;Gartmann Mauro;;10;55.75;7;37.5;3;-0.75;8.5
+;9;46.75;Gysel Hansruedi;;13;55.0;10;46.5;1;-0.25;9.75

7d;Riget Ivan;*;;;;;;;;;56.5
-;;;Inderbitzin Daniel;*;;;;;;;8.75
+;4;8.75;Wicki Cédric;;16;54.25;1;10.0;-3;1.25;9.75
+;6;18.5;Schudel Simon;;14;54.75;2;19.75;-4;1.25;9.75
+;6;28.25;Glaus Martin;***;10;55.75;10;27.0;4;-1.25;9.75
+;5;38.0;Schwyn Adrian;;13;55.0;5;38.0;0;0.0;9.75
-;5;47.75;Kid Simon;**;9;56.0;7;47.25;2;-0.5;8.75

8a;Dändliker Shane;;;;;;;;;;56.25
o;;;Keller Janik;;;;;;;;8.75
+;4;8.75;Peter Simon (1997);;25;35.5;5;8.5;1;-0.25;10.0
o;5;18.75;Peng Mike;***;4;57.25;5;18.75;0;0.0;8.5
+;9;27.25;Jordi Gregor Ruedi;;22;52.75;9;27.25;0;0.0;10.0
-;8;37.25;Straub Robin;*;13;55.0;12;36.25;4;-1.0;9.0
+;11;46.25;Braun Mathias;;14;54.75;11;46.25;0;0.0;10.0

8b;Gwerder Andreas;**;;;;;;;;;56.25
-;;;Peng Mike;***;;;;;;;8.75
+;4;8.75;Hardegger Kevin (1999);;25;35.5;1;10.0;-3;1.25;10.0
+;5;18.75;Jörger Marc;;11;55.5;1;20.0;-4;1.25;9.75
-;5;28.5;Wey Nicola;*;4;57.25;5;28.5;0;0.0;9.0
+;7;37.5;Keller Lukas;;13;55.0;6;37.75;-1;0.25;9.75
-;7;47.25;Oettli Marco (1997);;10;55.75;8;47.0;1;-0.25;9.0

8c;Burkhalter Stefan;***;;;;;;;;;56.25
-;;;Rychen Roger;**;;;;;;;8.75
-;4;8.75;Vestner Roman;*;10;55.75;1;10.0;-3;1.25;8.75
+;8;17.5;Gartmann Mauro;;10;55.75;5;18.75;-3;1.25;10.0
+;8;27.5;Nägeli Roman;*;5;57.0;4;28.75;-4;1.25;10.0
-;7;37.5;Rhyner Michael;**;4;57.25;3;38.5;-4;1.0;8.75
+;11;46.25;Kohler Fredi;**;11;55.5;8;47.0;-3;0.75;10.0

8d;Ammann Rico;*;;;;;;;;;56.25
o;;;Nägeli Marco;*;;;;;;;8.5
o;5;8.5;Kohler Fredi;**;11;55.5;5;8.5;0;0.0;8.5
+;10;17.0;Schönenberger Björn;;18;53.75;7;18.25;-3;1.25;9.75
+;11;26.75;Bickel Roman (1998);;13;55.0;7;28.0;-4;1.25;9.75
+;11;36.5;Wild Thomas;;16;54.25;9;37.0;-2;0.5;9.75
+;11;46.25;Morger Adrian;*;15;54.5;12;46.0;1;-0.25;10.0

9a;Kid Simon;**;;;;;;;;;56.0
-;;;Schnurrenberger Roman;**;;;;;;;9.0
+;3;9.0;Zbinden Marc;*;25;35.5;5;8.5;2;-0.5;10.0
+;4;19.0;Frauchiger Remo;;10;55.75;5;18.75;1;-0.25;9.75
o;4;28.75;Koller Martin;*;10;55.75;5;28.5;1;-0.25;8.5
+;8;37.25;Fontana Michael;;10;55.75;8;37.25;0;0.0;10.0
-;7;47.25;Riget Ivan;*;7;56.5;5;47.75;-2;0.5;8.75

9b;Odermatt Martin;*;;;;;;;;;56.0
+;;;Zbinden Marc;*;;;;;;;10.0
-;1;10.0;Keller Janik;;13;55.0;2;9.75;1;-0.25;8.75
o;5;18.75;Schuler Christian;***;2;58.75;4;19.0;-1;0.25;8.5
+;9;27.25;Schudel Simon;;14;54.75;6;28.25;-3;1.0;10.0
+;8;37.25;Kunz Daniel;;10;55.75;8;37.25;0;0.0;9.75
-;8;47.0;Rüegg Fabian;;12;55.25;10;46.5;2;-0.5;9.0

10a;Buchmann Michael;;;;;;;;;;55.75
+;;;Götschi Joel (1999);;;;;;;;10.0
o;1;10.0;Rüegg Fabian;;12;55.25;2;9.75;1;-0.25;8.5
+;6;18.5;Hardegger Kevin (1999);;25;35.5;6;18.5;0;0.0;10.0
-;5;28.5;Straub Robin;*;13;55.0;9;27.25;4;-1.25;9.0
o;7;37.5;Schnurrenberger Roman;**;4;57.25;7;37.5;0;0.0;8.5
+;12;46.0;Scherrer Christian;;13;55.0;11;46.25;-1;0.25;9.75

10b;Hari Michi;;;;;;;;;;55.75
+;;;Braun Mario;;;;;;;;10.0
+;1;10.0;Bollier Fabian;;19;53.5;2;9.75;1;-0.25;10.0
o;1;20.0;Vestner Roman;*;10;55.75;5;18.75;4;-1.25;8.75
o;4;28.75;Schweizer Christof;*;11;55.5;5;28.5;1;-0.25;8.5
o;8;37.25;Oettli Marco (1997);;10;55.75;9;37.0;1;-0.25;8.75
+;12;46.0;Bucher Roland;;13;55.0;11;46.25;-1;0.25;9.75

10c;Koller Martin;*;;;;;;;;;55.75
+;;;Oertig Dominik;*;;;;;;;9.75
-;2;9.75;Gmür Pirmin;*;13;55.0;2;9.75;0;0.0;9.0
+;5;18.75;Vollenweider Jeremy (1998);;5;57.0;2;19.75;-3;1.0;9.75
+;5;28.5;Kid Simon;**;9;56.0;4;28.75;-1;0.25;10.0
o;3;38.5;Ackermann Remo;*;7;56.5;4;38.25;1;-0.25;8.5
-;8;47.0;Vestner Roman;*;10;55.75;8;47.0;0;0.0;8.75

10d;Inderbitzin Daniel;*;;;;;;;;;55.75
-;;;Riget Ivan;*;;;;;;;8.75
o;4;8.75;Peng Mike;***;4;57.25;4;8.75;0;0.0;8.5
+;9;17.25;Wild Stefan;;15;54.5;6;18.5;-3;1.25;10.0
+;9;27.25;Morger Adrian;*;15;54.5;5;28.5;-4;1.25;10.0
o;8;37.25;Schneider Mario;**;6;56.75;9;37.0;1;-0.25;8.5
+;13;45.75;Läderach Pascal (1999);;14;54.75;11;46.25;-2;0.5;10.0

10e;Glaus Martin;***;;;;;;;;;55.75
o;;;Leuppi Samir;**;;;;;;;8.5
+;5;8.5;Krähenbühl Lukas;*;19;53.5;4;8.75;-1;0.25;10.0
o;6;18.5;Nägeli Marco;*;4;57.25;2;19.75;-4;1.25;8.5
o;10;27.0;Riget Ivan;*;7;56.5;6;28.25;-4;1.25;8.75
+;14;35.75;Biäsch Christian;;17;54.0;9;37.0;-5;1.25;10.0
+;13;45.75;Schweizer Christof;*;11;55.5;8;47.0;-5;1.25;10.0

10f;Eugster Ruedi;**;;;;;;;;;55.75
o;;;Schweizer Christof;*;;;;;;;8.5
+;5;8.5;Horner Sämi;;15;54.5;4;8.75;-1;0.25;10.0
+;6;18.5;Bircher Luca (1999);;13;55.0;6;18.5;0;0.0;10.0
-;5;28.5;Orlik Curdin;**;6;56.75;5;28.5;0;0.0;8.75
o;8;37.25;Peng Mike;***;4;57.25;8;37.25;0;0.0;8.5
+;13;45.75;Feusi Cornel;;13;55.0;10;46.5;-3;0.75;10.0

10g;Candrian Gian-Luca (1998);;;;;;;;;;55.75
+;;;Stähli Jan (1999);;;;;;;;10.0
+;1;10.0;Thoma Nils (1999);;26;35.25;2;9.75;1;-0.25;10.0
o;1;20.0;Nigg Lukas;**;6;56.75;6;18.5;5;-1.5;8.5
+;5;28.5;Burkhard Tobias;;11;55.5;5;28.5;0;0.0;9.75
o;4;38.25;Kohler Fredi;**;11;55.5;9;37.0;5;-1.25;8.5
-;9;46.75;Danner Daniel;;10;55.75;9;46.75;0;0.0;9.0

10h;Danner Daniel;;;;;;;;;;55.75
-;;;Oetiker Ronny;;;;;;;;8.75
+;4;8.75;Bussien Pascal;;25;35.5;5;8.5;1;-0.25;9.75
