4068-2019-07-07_113_Innerschweizer_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;**;;;;;;;;;109.25
+;5;8.75;Gwerder Christian;**;18;54.25;5;8.75;0;0.0;9.75
-;7;18.5;Gander Michael;;15;55.0;5;19.0;-2;0.5;9.0
+;10;27.5;Hess Dominik;*;25;45.75;6;28.5;-4;1.0;9.75
o;9;37.25;Gasser Stefan;**;14;55.25;10;37.0;1;-0.25;8.75
+;12;46.0;Lustenberger Florian (2002);;19;54.0;14;45.5;2;-0.5;10.0

11b;Gwerder Michael;**;;;;;;;;;56.0
+;;;Odermatt Christian;**;;;;;;;9.75
+;3;9.75;Felder Martin;*;18;54.25;2;10.0;-1;0.25;9.75
-;4;19.5;Mathis Marcel;***;8;56.75;6;18.75;2;-0.75;9.0
+;6;28.5;Gander Michael;;15;55.0;8;28.0;2;-0.5;10.0
-;4;38.5;Fankhauser Marco;**;8;56.75;6;38.0;2;-0.5;9.0
o;6;47.5;Wicki Joel;**;3;58.25;3;48.25;-3;0.75;8.5

11c;Murer Andy;**;;;;;;;;;56.0
-;;;Kälin Roland;**;;;;;;;8.75
o;5;8.75;Lussi Marco;**;16;54.75;4;9.0;-1;0.25;8.5
-;11;17.25;Bürgler Lukas;*;30;35.0;10;17.5;-1;0.25;8.75
+;15;26.0;Fässler Dominic;**;33;34.25;16;25.75;1;-0.25;10.0
+;14;36.0;Wicki Patrick;;23;52.75;15;35.75;1;-0.25;10.0
+;12;46.0;Reichmuth Roland;*;17;54.5;12;46.0;0;0.0;10.0

11d;Brun Jonas;**;;;;;;;;;56.0
-;;;Höﬂiger Andreas;**;;;;;;;8.75
+;5;8.75;Suter Beat;*;17;54.5;5;8.75;0;0.0;9.75
+;7;18.5;Lüthy Ralph;;28;35.5;7;18.5;0;0.0;10.0
o;6;28.5;Reichmuth Pirmin;***;6;57.25;11;27.25;5;-1.25;8.5
+;10;37.0;Kälin Roland;**;19;54.0;10;37.0;0;0.0;10.0
-;8;47.0;Gwerder Dario;**;14;55.25;11;46.25;3;-0.75;9.0

11e;Arnold Stefan;**;;;;;;;;;56.0
-;;;Betschart Remo;**;;;;;;;8.75
+;5;8.75;Heinzer Stefan;*;1;109.25;1;17.25;-4;8.5;10.0
o;6;18.75;Fankhauser Erich;***;8;56.75;6;18.75;0;0.0;8.5
+;11;27.25;Schuler Daniel;*;18;54.25;11;27.25;0;0.0;9.75
-;10;37.0;Bürli Roger;**;13;55.5;11;36.75;1;-0.25;9.0
+;12;46.0;Suter Beat;*;17;54.5;12;46.0;0;0.0;10.0

11f;Scheuber Lutz;**;;;;;;;;;56.0
o;;;Nötzli Reto;***;;;;;;;8.5
+;6;8.5;Bienz Romeo;*;27;35.75;5;8.75;-1;0.25;10.0
-;7;18.5;Schöpfer Ronny;*;12;55.75;7;18.5;0;0.0;9.0
+;10;27.5;Kälin Roland;**;19;54.0;6;28.5;-4;1.0;10.0
+;8;37.5;Gerber Peter;*;14;55.25;10;37.0;2;-0.5;9.75
o;7;47.25;Bieri Marcel;**;7;57.0;8;47.0;1;-0.25;8.75

11g;Zurﬂuh Roman;**;;;;;;;;;56.0
-;;;Wyrsch Marco;**;;;;;;;8.75
