4068-2019-07-07_113_Innerschweizer_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;**;;;;;;;;;109.25
o;11;17.25;Heiniger Marco;*;16;54.75;11;17.25;0;0.0;8.5
+;16;25.75;Briker Hannes;;32;34.5;15;26.0;-1;0.25;10.0

28a;Müller Mathias;;;;;;;;;;35.5
o;;;von Euw Lukas (2002);;;;;;;;8.5
+;6;8.5;Auf der Maur Michael;;29;35.25;6;8.5;0;0.0;9.75
o;8;18.25;Gwerder Christian;**;18;54.25;11;17.25;3;-1.0;8.5
-;13;26.75;Bürgler Lukas;*;30;35.0;14;26.25;1;-0.5;8.75

28b;Moos Christoph;*;;;;;;;;;35.5
-;;;Dissler Philipp;*;;;;;;;8.75
+;5;8.75;Hegner Ueli;*;23;52.75;6;8.5;1;-0.25;9.75
o;7;18.5;Bürli Roger;**;13;55.5;8;18.25;1;-0.25;8.5
o;12;27.0;Widmer Adrian;*;13;55.5;12;27.0;0;0.0;8.5

28c;Gasser Dominik 2;;;;;;;;;;35.5
+;;;Eﬃnger Peter;;;;;;;;9.75
-;3;9.75;von Euw Lukas (2002);;28;35.5;3;9.75;0;0.0;8.75
o;7;18.5;Heinzer Stefan;**;1;109.25;1;35.5;-6;17.0;8.5
o;12;27.0;Arnold Marcel;*;20;53.5;14;26.25;2;-0.75;8.5

28d;Brunner Timon;;;;;;;;;;35.5
o;;;Lustenberger Marc (2003);;;;;;;;8.5
+;6;8.5;Wyrsch Gabriel (2001);;34;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Waser Dominik;**;12;55.75;7;18.5;0;0.0;8.5
o;12;27.0;Fink Bruno;*;18;54.25;15;26.0;3;-1.0;8.5

28e;Kurmann Toni;*;;;;;;;;;35.5
-;;;Inderbitzin Daniel;*;;;;;;;8.75
o;5;8.75;Höﬂiger Andreas;**;13;55.5;5;8.75;0;0.0;8.5
+;11;17.25;Durrer Jonas (2003);*;19;54.0;10;17.5;-1;0.25;9.75
o;12;27.0;Hess Michael;*;18;54.25;11;27.25;-1;0.25;8.5

28f;Jund Matthias;;;;;;;;;;35.5
-;;;Schürpf Guido;;;;;;;;8.75
o;5;8.75;Lüthy Ralph;;28;35.5;6;8.5;1;-0.25;8.5
+;11;17.25;Ziegler Moritz;;34;34.0;12;17.0;1;-0.25;9.75
o;12;27.0;Gwerder Dario;**;14;55.25;8;28.0;-4;1.0;8.5

28g;Ulrich Damian;;;;;;;;;;35.5
o;;;Wicki David;;;;;;;;8.5
o;6;8.5;Kempf Damian;;17;54.5;6;8.5;0;0.0;8.5
+;12;17.0;Crotta Robin (2001);;34;34.0;12;17.0;0;0.0;10.0
o;12;27.0;Suter Beat;*;17;54.5;15;26.0;3;-1.0;8.5

28h;Würsch Lars;*;;;;;;;;;35.5
+;;;Lang Sven;*;;;;;;;9.75
o;3;9.75;Imhof Andi;***;6;57.25;6;8.5;3;-1.25;8.5
o;8;18.25;Eﬃnger Peter;;20;53.5;8;18.25;0;0.0;8.75
o;12;27.0;Kessler Joel;*;16;54.75;14;26.25;2;-0.75;8.5

28i;Eﬃnger Markus;*;;;;;;;;;35.5
o;;;Langensand Stefan;*;;;;;;;8.5
+;6;8.5;Kaufmann Reto (2002);*;16;54.75;6;8.5;0;0.0;9.75
o;8;18.25;Kempf Elias;**;26;37.0;8;18.25;0;0.0;8.5
-;13;26.75;Bättig Martin;*;18;54.25;12;27.0;-1;0.25;8.75

28j;von Euw Lukas (2002);;;;;;;;;;35.5
+;;;Müller Mathias;;;;;;;;9.75
-;3;9.75;Gasser Dominik 2;;28;35.5;3;9.75;0;0.0;8.75
o;7;18.5;Zurﬂuh Roman;**;11;56.0;10;17.5;3;-1.0;8.5
o;12;27.0;Käslin Ruedi;*;20;53.5;15;26.0;3;-1.0;8.5

28k;Wicki David;;;;;;;;;;35.5
+;;;Ulrich Damian;;;;;;;;10.0
o;2;10.0;Reichmuth Armin;*;16;54.75;4;9.0;2;-1.0;8.5
o;7;18.5;Rohrer Marco;**;15;55.0;8;18.25;1;-0.25;8.5
o;12;27.0;Barmettler Peter;*;18;54.25;11;27.25;-1;0.25;8.5

28l;Gasser Peter;*;;;;;;;;;35.5
-;;;Arnold Marcel;*;;;;;;;8.75
+;5;8.75;Thierstein Marco;*;18;54.25;6;8.5;1;-0.25;9.75
o;7;18.5;Egli Damian;**;9;56.5;7;18.5;0;0.0;8.5
o;12;27.0;Kenel Franz-Toni;*;16;54.75;13;26.75;1;-0.25;8.5

28m;Amgarten Martin;*;;;;;;;;;35.5
-;;;Müller Roger;*;;;;;;;8.75
o;5;8.75;Achermann Christoph;*;13;55.5;6;8.5;1;-0.25;8.5
o;11;17.25;Dissler Philipp;*;35;27.25;11;17.25;0;0.0;8.5
+;16;25.75;Suter Raphael;;34;34.0;17;25.5;1;-0.25;9.75

28n;Lüthy Ralph;;;;;;;;;;35.5
o;;;Bieri Elias;;;;;;;;8.5
+;6;8.5;Jund Matthias;;28;35.5;5;8.75;-1;0.25;10.0
o;7;18.5;Brun Jonas;**;11;56.0;7;18.5;0;0.0;8.5
o;12;27.0;Schmidiger Marco;*;21;53.25;15;26.0;3;-1.0;8.5

29a;Gisler Jonas (2001);*;;;;;;;;;35.25
o;;;Villiger Cyrill;*;;;;;;;8.5
o;6;8.5;Wallimann Remo;*;13;55.5;6;8.5;0;0.0;8.5
o;12;17.0;Schuler Daniel;*;18;54.25;11;17.25;-1;0.25;8.5
+;17;25.5;Auf der Maur Michael;;29;35.25;13;26.75;-4;1.25;9.75

29b;Föhn Christian (2002);;;;;;;;;;35.25
o;;;Durrer Markus;;;;;;;;8.5
+;6;8.5;Crotta Robin (2001);;34;34.0;6;8.5;0;0.0;9.75
o;8;18.25;Muff Armin;**;21;53.25;10;17.5;2;-0.75;8.5
o;13;26.75;Thierstein Marco;*;18;54.25;12;27.0;-1;0.25;8.5

29c;Betschart Marcel;*;;;;;;;;;35.25
o;;;Wyrsch Silvio;*;;;;;;;8.5
o;6;8.5;Schärli Reto;*;18;54.25;6;8.5;0;0.0;8.5
o;12;17.0;Thierstein Marco;*;18;54.25;11;17.25;-1;0.25;8.5
+;17;25.5;Vogler Jonas;;33;34.25;16;25.75;-1;0.25;9.75

29d;Auf der Maur Michael;;;;;;;;;;35.25
o;;;Mehr Lars (2002);;;;;;;;8.5
o;6;8.5;Müller Mathias;;28;35.5;6;8.5;0;0.0;8.5
+;12;17.0;Wyrsch Gabriel (2001);;34;34.0;12;17.0;0;0.0;9.75
o;13;26.75;Gisler Jonas (2001);*;29;35.25;17;25.5;4;-1.25;8.5

29e;Gwerder Andreas;*;;;;;;;;;35.25
o;;;Stöckli Damian;*;;;;;;;8.5
o;6;8.5;Zimmermann Simon;**;13;55.5;5;8.75;-1;0.25;8.5
+;12;17.0;Müller Roger;*;20;53.5;11;17.25;-1;0.25;9.75
o;13;26.75;Durrer Jonas (2003);*;19;54.0;15;26.0;2;-0.75;8.5

29f;Betschart Silvan;*;;;;;;;;;35.25
o;;;Barmettler Peter;*;;;;;;;8.5
o;6;8.5;Troxler Jonas;*;15;55.0;6;8.5;0;0.0;8.5
o;12;17.0;Thalmann Thomas;*;21;53.25;12;17.0;0;0.0;8.5
+;17;25.5;Wyrsch Gabriel (2001);;34;34.0;17;25.5;0;0.0;9.75

30a;Van Messel Noe (2002);**;;;;;;;;;35.0
o;;;Suppiger Werner;**;;;;;;;8.5
o;6;8.5;Hess Dominik;*;25;45.75;5;8.75;-1;0.25;8.75
-;11;17.25;Schmid Simon;*;12;55.75;11;17.25;0;0.0;9.0
o;14;26.25;Weber Ivo;;14;55.25;13;26.75;-1;0.5;8.75

30b;Bürgler Lukas;*;;;;;;;;;35.0
-;;;Durrer Nando;*;;;;;;;8.75
o;5;8.75;Graber Michael;*;15;55.0;6;8.5;1;-0.25;8.75
-;10;17.5;Murer Andy;**;11;56.0;11;17.25;1;-0.25;8.75
-;14;26.25;Müller Mathias;;28;35.5;13;26.75;-1;0.5;8.75

30c;Durrer Nando;*;;;;;;;;;35.0
-;;;Bürgler Lukas;*;;;;;;;8.75
o;5;8.75;Binggeli Stefan;**;16;54.75;4;9.0;-1;0.25;8.5
-;11;17.25;Arnold Marcel;*;20;53.5;11;17.25;0;0.0;9.0
-;14;26.25;Riebli Urs (2002);;21;53.25;11;27.25;-3;1.0;8.75

30d;Käslin Benno;*;;;;;;;;;35.0
-;;;Waser Reto;*;;;;;;;8.75
-;5;8.75;Bieri Christian;**;31;34.75;6;8.5;1;-0.25;9.0
o;9;17.75;Lang Sven;*;7;57.0;10;17.5;1;-0.25;8.5
o;14;26.25;Troxler Jonas;*;15;55.0;13;26.75;-1;0.5;8.75

31a;Bieri Christian;**;;;;;;;;;34.75
o;;;Fankhauser Marco;**;;;;;;;8.5
-;6;8.5;Käslin Benno;*;30;35.0;5;8.75;-1;0.25;9.0
-;10;17.5;Lemmenmeier Lukas;*;16;54.75;10;17.5;0;0.0;8.75
o;14;26.25;Leuppi Samir;**;13;55.5;16;25.75;2;-0.5;8.5

32a;Imfeld Beat;*;;;;;;;;;34.5
o;;;Schöpfer Ronny;*;;;;;;;8.5
-;6;8.5;Matter Marco;*;33;34.25;6;8.5;0;0.0;8.75
-;11;17.25;Bachmann Roger;*;32;34.5;12;17.0;1;-0.25;8.75
o;15;26.0;Gwerder Beni;;19;54.0;11;27.25;-4;1.25;8.5

32b;Bachmann Roger;*;;;;;;;;;34.5
o;;;Betschart Patrick;*;;;;;;;8.5
o;6;8.5;Bucher Christian;*;13;55.5;5;8.75;-1;0.25;8.5
-;12;17.0;Imfeld Beat;*;32;34.5;11;17.25;-1;0.25;8.75
-;16;25.75;Durrer Markus;;21;53.25;12;27.0;-4;1.25;8.75

32c;Briker Hannes;;;;;;;;;;34.5
-;;;Di Pietro Loris;;;;;;;;8.75
o;5;8.75;Schürpf Guido;;16;54.75;5;8.75;0;0.0;8.5
-;11;17.25;Beffa Mario;;32;34.5;11;17.25;0;0.0;8.75
o;15;26.0;Bienz Romeo;*;27;35.75;16;25.75;1;-0.25;8.5

32d;Beffa Mario;;;;;;;;;;34.5
o;;;Gander Michael;;;;;;;;8.5
-;6;8.5;Zumstein Patrick;;19;54.0;6;8.5;0;0.0;8.75
-;11;17.25;Briker Hannes;;32;34.5;11;17.25;0;0.0;8.75
o;15;26.0;Scherer Niklaus;*;21;53.25;15;26.0;0;0.0;8.5

33a;Di Pietro Loris;;;;;;;;;;34.25
-;;;Briker Hannes;;;;;;;;8.75
o;5;8.75;Betschart Daniel;;17;54.5;5;8.75;0;0.0;8.5
o;11;17.25;Gwerder Beni;;19;54.0;11;17.25;0;0.0;8.5
o;16;25.75;Suppiger Thomas;*;16;54.75;15;26.0;-1;0.25;8.5

33b;Matter Marco;*;;;;;;;;;34.25
o;;;Gerber Peter;*;;;;;;;8.5
-;6;8.5;Imfeld Beat;*;32;34.5;6;8.5;0;0.0;8.75
o;11;17.25;Bernet Christoph;*;17;54.5;11;17.25;0;0.0;8.5
o;16;25.75;Schmid Simon;*;12;55.75;15;26.0;-1;0.25;8.5

33c;Fässler Dominic;**;;;;;;;;;34.25
-;;;Zimmermann Simon;**;;;;;;;8.75
o;5;8.75;Linggi Bruno;**;17;54.5;4;9.0;-1;0.25;8.5
o;11;17.25;Inderbitzin Daniel;*;22;53.0;11;17.25;0;0.0;8.5
o;16;25.75;Murer Andy;**;11;56.0;15;26.0;-1;0.25;8.5

33d;Vogler Jonas;;;;;;;;;;34.25
-;;;Gwerder Beni;;;;;;;;8.75
o;5;8.75;Weber Ivo;;14;55.25;6;8.5;1;-0.25;8.5
o;11;17.25;Arnold Sebastian;;22;53.0;11;17.25;0;0.0;8.5
o;16;25.75;Betschart Marcel;*;29;35.25;17;25.5;1;-0.25;8.5

34a;Ziegler Moritz;;;;;;;;;;34.0
o;;;Suter Samuel;;;;;;;;8.5
o;6;8.5;Jund Matthias;;28;35.5;5;8.75;-1;0.25;8.5
o;12;17.0;Wicki Patrick;;23;52.75;11;17.25;-1;0.25;8.5
o;17;25.5;Müller Roger;*;20;53.5;16;25.75;-1;0.25;8.5

34b;Crotta Robin (2001);;;;;;;;;;34.0
o;;;Waser Christoph (2002);;;;;;;;8.5
o;6;8.5;Föhn Christian (2002);;29;35.25;6;8.5;0;0.0;8.5
o;12;17.0;Ulrich Damian;;28;35.5;12;17.0;0;0.0;8.5
o;17;25.5;Hegner Ueli;*;23;52.75;16;25.75;-1;0.25;8.5

34c;Wyrsch Gabriel (2001);;;;;;;;;;34.0
o;;;Bürgi Tobias;;;;;;;;8.5
o;6;8.5;Brunner Timon;;28;35.5;6;8.5;0;0.0;8.5
o;12;17.0;Auf der Maur Michael;;29;35.25;12;17.0;0;0.0;8.5
o;17;25.5;Betschart Silvan;*;29;35.25;17;25.5;0;0.0;8.5

34d;Suter Raphael;;;;;;;;;;34.0
o;;;Wandeler Roman (2002);;;;;;;;8.5
o;6;8.5;Ming Hannes;;23;52.75;6;8.5;0;0.0;8.5
o;12;17.0;Zumstein Patrick;;19;54.0;11;17.25;-1;0.25;8.5
o;17;25.5;Amgarten Martin;*;28;35.5;16;25.75;-1;0.25;8.5

35a;Dissler Philipp;*;;;;;;;;;27.25
-;;;Moos Christoph;*;;;;;;;8.75
o;5;8.75;Heinzer Stefan;**;1;109.25;1;17.25;-4;8.5;8.5
+;11;17.25;Amgarten Martin;*;28;35.5;11;17.25;0;0.0;10.0

36a;Della Torre Simon;;;;;;;;;;27.0
+;;;Weber Ivo;;;;;;;;10.0
o;2;10.0;Wandeler Roman (2002);;18;54.25;3;9.75;1;-0.25;8.5
o;7;18.5;Höﬂiger Andreas;**;13;55.5;7;18.5;0;0.0;8.5

37a;Elsener Adrian;**;;;;;;;;;17.5
-;;;Muff André;*;;;;;;;8.75
-;5;8.75;Kessler Joel;*;16;54.75;4;9.0;-1;0.25;8.75

38a;Gloggner Reto;**;;;;;;;;;17.25
-;;;Hurschler Thomas;**;;;;;;;8.75
o;5;8.75;Kälin Roland;**;19;54.0;4;9.0;-1;0.25;8.5

39a;Grab Daniel;**;;;;;;;;;17.0
o;;;Arnold Raphael;**;;;;;;;8.5
o;6;8.5;Arnold Andreas;*;18;54.25;5;8.75;-1;0.25;8.5

