3617-2017-06-25_Fete_Cantonale_Vaudoise2-ST

1a;Moser Steven;**;;;;;;;;;58.75
o;1;10.0;Dorsaz Alexandre;*;18;54.0;5;8.5;4;-1.5;8.5
+;6;18.5;Torche Bastian;;17;54.25;6;18.5;0;0.0;10.0
o;3;28.5;Mollet Ivan;*;6;57.0;3;28.5;0;0.0;8.5
o;8;37.0;Lützelschwab Luc (1999);;12;55.5;8;37.0;0;0.0;8.5
+;11;45.5;Holweger Marek;;18;54.0;11;45.5;0;0.0;9.75

13f;Gottofrey Luc;*;;;;;;;;;55.25
-;;;Ducry Antoine;*;;;;;;;8.75
+;4;8.75;Balimann Fabian;;12;55.5;1;10.0;-3;1.25;9.75
o;6;18.5;Kramer Lario;**;4;57.5;4;19.0;-2;0.5;8.5
o;9;27.0;Crettaz Olivier;;8;56.5;8;27.25;-1;0.25;8.5
+;14;35.5;Vaucher Rémy (1999);;12;55.5;8;37.0;-6;1.5;10.0
+;11;45.5;Doppmann Ueli;;17;54.25;10;45.75;-1;0.25;9.75

13g;Dubey Gaël;;;;;;;;;;55.25
o;;;Minder Florian;;;;;;;;8.5
+;5;8.5;Berthet Luca (2001);;13;55.25;2;9.75;-3;1.25;10.0
o;6;18.5;Lerch Jimmy;*;13;55.25;6;18.5;0;0.0;8.5
+;9;27.0;Heiniger Mickaël;;18;54.0;9;27.0;0;0.0;9.75
-;9;36.75;Balimann Sandro (2001);;17;54.25;8;37.0;-1;0.25;8.75
+;11;45.5;Wieland Micha;;16;54.5;9;46.0;-2;0.5;9.75

13h;Ganière William;;;;;;;;;;55.25
o;;;Buchs Julien (1999);;;;;;;;8.5
+;5;8.5;Aeschbacher Ivo (2001);;22;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Cropt Harald;**;16;54.5;9;17.25;3;-1.25;8.5
o;9;27.0;Remy André (2001);;15;54.75;10;26.75;1;-0.25;8.5
+;14;35.5;Rappo Yann;;18;54.0;13;35.75;-1;0.25;9.75
+;12;45.25;Quartenoud Samuel;;19;53.75;12;45.25;0;0.0;10.0

13i;Golliard Steve;;;;;;;;;;55.25
+;;;Détienne Laurent;;;;;;;;9.75
-;2;9.75;Mollet Adrian;;14;55.0;2;9.75;0;0.0;9.0
o;5;18.75;Dind Samuel;**;11;55.75;7;18.25;2;-0.5;8.5
+;8;27.25;Dorsaz Théo;;17;54.25;9;27.0;1;-0.25;9.75
o;8;37.0;Cropt Harald;**;16;54.5;12;36.0;4;-1.0;8.5
