4100-2019-06-30_104_Basellandschaftliches_Kantonalschwingfest-ST

1a;Müllestein Mike;***;;;;;;;;;58.75
o;10;26.75;Grieder Nonda;;14;54.25;10;26.75;0;0.0;8.5

26d;Fritz Andreas;;;;;;;;;;35.25
+;;;Lazic Serge;;;;;;;;9.75
o;2;9.75;Stüdeli Thomas;**;10;55.25;5;8.5;3;-1.25;8.5
o;7;18.25;Klossner Adrian;*;9;55.5;6;18.5;-1;0.25;8.5
o;10;26.75;Kehr Damian (2001);;9;55.5;9;27.0;-1;0.25;8.5

26e;Meyer Lukas (2001);;;;;;;;;;35.25
+;;;Rickenbacher Cedric (2002);;;;;;;;9.75
o;2;9.75;Bieli Andreas;;25;35.75;4;8.75;2;-1.0;8.5
o;7;18.25;Bruder Adrian;*;13;54.5;10;17.5;3;-0.75;8.5
o;10;26.75;Dobler Florian;;11;55.0;11;26.25;1;-0.5;8.5

26f;Schwander Rafael (2001);;;;;;;;;;35.25
+;;;Wiedmer Lukas;;;;;;;;9.75
o;2;9.75;Studer Remo;*;9;55.5;5;8.5;3;-1.25;8.5
o;7;18.25;Schick Janis (2003);;18;52.75;12;17.0;5;-1.25;8.5
o;10;26.75;Hasler Luis (2002);;8;55.75;9;27.0;-1;0.25;8.5

27a;Schmitt Sebastian (2002);;;;;;;;;;34.25
o;;;Bieri Florian (2001);;;;;;;;8.5
o;5;8.5;Lazic Marco;;19;52.5;5;8.5;0;0.0;8.5
-;12;17.0;Lazic Serge;;23;44.0;12;17.0;0;0.0;8.75
o;13;25.75;Reinhard Pirmin (2001);;17;53.5;12;26.0;-1;0.25;8.5

27b;Suter Jonas (2003);;;;;;;;;;34.25
-;;;Kramer Lukas (2001);;;;;;;;8.75
o;4;8.75;Abt Robin;;13;54.5;4;8.75;0;0.0;8.5
o;11;17.25;Burtschi Michael;;18;52.75;11;17.25;0;0.0;8.5
o;13;25.75;Rickenbacher Cedric (2002);;16;53.75;14;25.5;1;-0.25;8.5

27c;Brunner Patrick (2002);;;;;;;;;;34.25
o;;;Reimann Marco;;;;;;;;8.5
o;5;8.5;Leuthard Mario;;26;35.25;5;8.5;0;0.0;8.5
o;12;17.0;Hermann Lukas (2002);;16;53.75;12;17.0;0;0.0;8.75
o;13;25.75;Hermann Lukas 1;;14;54.25;13;25.75;0;0.0;8.5

28a;Herrmann Adrian;;;;;;;;;;34.0
o;;;Jehle Lorenz (2003);;;;;;;;8.5
o;5;8.5;Meyer Markus;;22;44.5;5;8.5;0;0.0;8.5
o;12;17.0;Körkel Yannik;;18;52.75;11;17.25;-1;0.25;8.5
o;14;25.5;Bader Thomas (2002);;15;54.0;10;26.75;-4;1.25;8.5

28b;Spies Thierry (2003);;;;;;;;;;34.0
o;;;Von Wyl Simon;;;;;;;;8.5
o;5;8.5;Huber Fabian;;17;53.5;5;8.5;0;0.0;8.5
o;12;17.0;Müller Jan;;19;52.5;12;17.0;0;0.0;8.5
o;14;25.5;Wüthrich Jonas (2003);;16;53.75;10;26.75;-4;1.25;8.5

28c;Herrmann Daniel (2003);;;;;;;;;;34.0
o;;;Müller Simon;;;;;;;;8.5
o;5;8.5;Burren Dominik (2003);;15;54.0;5;8.5;0;0.0;8.5
o;12;17.0;Kramer Lukas (2001);;22;44.5;5;18.75;-7;1.75;8.5
o;14;25.5;Lazic Serge;;23;44.0;13;25.75;-1;0.25;8.5

29a;Hasler Jimmy;*;;;;;;;;;29.75
+;;;Schmutz Simon;*;;;;;;;10.0
+;1;10.0;Räbmatter Patrick;***;3;57.0;2;9.75;1;-0.25;9.75
+;2;19.75;Grossen John;*;9;55.5;5;18.75;3;-1.0;10.0

30a;Von Wyl Simon;;;;;;;;;;27.0
+;;;Spies Thierry (2003);;;;;;;;10.0
o;1;10.0;Nyffeler Christoph;*;13;54.5;5;8.5;4;-1.5;8.5
o;6;18.5;Brun Samuel;**;8;55.75;6;18.5;0;0.0;8.5

31a;Läuchli Janik;*;;;;;;;;;26.75
-;;;Gerber Andrj;*;;;;;;;8.75
-;4;8.75;Büttler Gian;;14;54.25;1;10.0;-3;1.25;9.0
-;9;17.75;Bachmann Sämi (2001);;17;53.5;5;18.75;-4;1.0;9.0

