4027-2019-06-02_Schaffhauser_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;59.75
o;9;46.75;Schudel Simon;*;5;57.25;6;47.5;-3;0.75;8.5

13e;Signer Andy (2003);;;;;;;;;;55.25
+;;;Imhof Gregor (2001);;;;;;;;9.75
o;2;9.75;Dändliker Shane;**;6;57.0;5;8.5;3;-1.25;8.5
+;7;18.25;Christen Jérôme (2002);;18;54.0;7;18.25;0;0.0;10.0
o;6;28.25;Ammann Rico;*;7;56.75;6;28.25;0;0.0;8.5
+;11;36.75;Schnyder Christian;;19;53.75;17;35.25;6;-1.5;10.0
o;9;46.75;Dumelin David;**;7;56.75;9;46.75;0;0.0;8.5

13f;Kurmann Patrick (2003);;;;;;;;;;55.25
o;;;Hauser Simon;;;;;;;;8.5
o;5;8.5;Christen Jérôme (2002);;18;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Rüegger Remo;;19;53.75;11;17.0;0;0.0;10.0
o;11;27.0;Schäppi Urs;*;11;55.75;10;27.25;-1;0.25;8.5
+;16;35.5;Fuster Arjuna (2003);;18;54.0;16;35.5;0;0.0;9.75
+;15;45.25;Käppeli Remo (2001);;19;53.75;15;45.25;0;0.0;10.0

13g;Baumgartner Ramon (2002);;;;;;;;;;55.25
+;;;Sieber Marc;;;;;;;;10.0
o;1;10.0;Jöhl Christian;*;10;56.0;5;8.5;4;-1.5;8.5
o;6;18.5;Buchmann Michael;;18;54.0;6;18.5;0;0.0;8.5
+;11;27.0;Knup Stephan;;19;53.75;12;26.75;1;-0.25;9.75
o;11;36.75;Schwyn Adrian;*;8;56.5;10;37.0;-1;0.25;8.5
+;15;45.25;Furrer Matthias;;19;53.75;15;45.25;0;0.0;10.0

13h;Rüegg Patrick;;;;;;;;;;55.25
o;;;Breitenmoser Simon;;;;;;;;8.75
+;4;8.75;Mock Marco;;21;53.0;4;8.75;0;0.0;9.75
o;6;18.5;Ott Damian;**;15;54.75;8;17.75;2;-0.75;8.5
o;11;27.0;Lozza Roman;;14;55.0;11;27.0;0;0.0;8.5
+;16;35.5;Zumbach Michael;;19;53.75;16;35.5;0;0.0;9.75
+;15;45.25;Roth Sämi;;20;53.5;16;45.0;1;-0.25;10.0

13i;Stadelmann Patrick;;;;;;;;;;55.25
o;;;Burkhalter Thomas (2003);;;;;;;;8.5
+;5;8.5;Frei Felix (2003);;23;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Riget Ivan;*;16;54.5;9;17.5;3;-1.0;8.5
o;11;27.0;Zbinden Marc;*;11;55.75;10;27.25;-1;0.25;8.5
+;16;35.5;Knup Stephan;;19;53.75;17;35.25;1;-0.25;9.75
+;15;45.25;Sieber Marc;;19;53.75;15;45.25;0;0.0;10.0

