2778-2018-06-24_123_Nordostschweizer_Schwingfest_125_Jahre_NOSV-ST

1a;Orlik Armon;***;;;;;;;;;59.0
+;;;Wildhaber Jannik;;;;;;;;9.75
o;2;9.75;Ackermann Remo;*;16;54.5;3;8.75;1;-1.0;8.5
-;7;18.25;Schwyn Adrian;*;21;53.25;10;17.0;3;-1.25;9.0
+;9;27.25;Ueltschi Patric;*;22;53.0;10;27.0;1;-0.25;10.0
+;8;37.25;Oertig Simon;*;16;54.5;8;37.25;0;0.0;9.75
o;7;47.0;Gmür Pirmin;**;8;56.5;9;46.5;2;-0.5;8.5

12k;Räbsamen Marcel (2000);;;;;;;;;;55.5
+;;;Kolb Pirmin (2001);;;;;;;;9.75
-;2;9.75;Kuster Thomas;*;12;55.5;4;8.5;2;-1.25;8.75
+;6;18.5;Thoma Christoph;;22;53.0;6;18.5;0;0.0;9.75
-;5;28.25;Dändliker Shane;*;6;57.0;5;28.25;0;0.0;8.75
o;9;37.0;Wittenwiler Roman;*;14;55.0;10;36.75;1;-0.25;8.75
+;12;45.75;Odermatt Michi;;17;54.25;12;45.75;0;0.0;9.75

12l;Wickli Beat;**;;;;;;;;;55.5
-;;;Arztmann Beda;*;;;;;;;8.75
+;3;8.75;Jörger Corsin;;12;55.5;4;8.5;1;-0.25;10.0
o;5;18.75;Herger Matthias;**;8;56.5;6;18.5;1;-0.25;8.5
+;9;27.25;Hugelshofer Lars (2001);;19;53.75;5;28.25;-4;1.0;9.75
o;9;37.0;Kropf Marcel;**;12;55.5;9;37.0;0;0.0;8.5
+;13;45.5;Frick Andreas;*;17;54.25;12;45.75;-1;0.25;10.0

12m;Giger Urs;*;;;;;;;;;55.5
o;;;Gwerder Andreas;**;;;;;;;8.5
+;4;8.5;Rüegg Fabian;*;16;54.5;4;8.5;0;0.0;10.0
+;6;18.5;Schnyder Christian;;23;52.75;5;18.75;-1;0.25;10.0
o;4;28.5;Schneider Domenic;***;2;58.25;5;28.25;1;-0.25;8.5
+;9;37.0;Pianta Christian;;13;55.25;9;37.0;0;0.0;9.75
o;8;46.75;Rhyner Michael;**;8;56.5;8;46.75;0;0.0;8.75

12n;Breitenmoser Manuel;*;;;;;;;;;55.5
-;;;Notz Armin;*;;;;;;;8.75
+;3;8.75;Rohner Lukas (2000);;18;54.0;2;9.75;-1;1.0;10.0
+;5;18.75;Matthey Mickaël;**;11;55.75;9;17.25;4;-1.5;9.75
-;4;28.5;Schläpfer Markus;**;17;54.25;4;28.5;0;0.0;8.75
o;8;37.25;Ammann Rico;*;14;55.0;10;36.75;2;-0.5;8.5
+;12;45.75;Landolt Reto;*;18;54.0;13;45.5;1;-0.25;9.75

12o;Kropf Marcel;**;;;;;;;;;55.5
+;;;Notz Beni;***;;;;;;;9.75
o;2;9.75;Rychen Roger;***;2;58.25;1;10.0;-1;0.25;8.5
+;7;18.25;Jöhl Christian;*;17;54.25;6;18.5;-1;0.25;10.0
o;5;28.25;Gmür Pirmin;**;8;56.5;5;28.25;0;0.0;8.75
+;9;37.0;Wickli Beat;**;12;55.5;9;37.0;0;0.0;10.0
o;7;47.0;Leuppi Samir;**;5;57.25;5;47.5;-2;0.5;8.5

13a;Schlegel Werner (2002);*;;;;;;;;;55.25
+;;;Nägeli Roman;*;;;;;;;10.0
-;1;10.0;Peng Mike;***;30;34.75;4;8.5;3;-1.5;8.75
+;5;18.75;Funk Nicola;*;17;54.25;5;18.75;0;0.0;9.75
+;4;28.5;Pianta Christian;;13;55.25;5;28.25;1;-0.25;9.75
o;4;38.25;Krähenbühl Tobias;***;5;57.25;8;37.25;4;-1.0;8.5
o;8;46.75;Dändliker Shane;*;6;57.0;7;47.0;-1;0.25;8.5

13b;Roschi Ruedi;**;;;;;;;;;55.25
o;;;Schneider Domenic;***;;;;;;;8.5
+;4;8.5;Steiner Michael;**;9;56.25;2;9.75;-2;1.25;9.75
+;7;18.25;Ackermann Remo;*;16;54.5;5;18.75;-2;0.5;10.0
+;5;28.25;Battaglia Ursin;**;7;56.75;5;28.25;0;0.0;9.75
-;5;38.0;Schneider Mario;**;7;56.75;4;38.25;-1;0.25;8.75
o;8;46.75;Krähenbühl Tobias;***;5;57.25;6;47.25;-2;0.5;8.5

13c;Oertle Daniel;*;;;;;;;;;55.25
o;;;Ott Damian (2000);*;;;;;;;8.5
+;4;8.5;Arztmann Beda;*;14;55.0;3;8.75;-1;0.25;9.75
o;7;18.25;Krähenbühl Lukas;*;14;55.0;7;18.25;0;0.0;8.5
-;11;26.75;Wildhaber Jannik;;23;52.75;11;26.75;0;0.0;8.75
+;14;35.5;Flütsch Marco;;24;52.5;14;35.5;0;0.0;10.0
+;13;45.5;Wey Nicola;*;19;53.75;14;45.25;1;-0.25;9.75

13d;Heierli Pascal;*;;;;;;;;;55.25
-;;;Kammermann Thomas;*;;;;;;;8.75
+;3;8.75;Kunz Daniel;*;18;54.0;3;8.75;0;0.0;10.0
o;5;18.75;Kuster Marcel;***;8;56.5;6;18.5;1;-0.25;8.5
o;9;27.25;Odermatt Christoph;*;17;54.25;9;27.25;0;0.0;8.5
+;13;35.75;Hauser Simon;;15;54.75;11;36.5;-2;0.75;9.75
+;13;45.5;Ackermann Roman;;18;54.0;13;45.5;0;0.0;9.75

13e;Bärtsch Fabian (2000);;;;;;;;;;55.25
+;;;Ackermann Roman;;;;;;;;9.75
o;2;9.75;Koch Thomas;*;13;55.25;3;8.75;1;-1.0;8.5
o;7;18.25;Wey Nicola;*;19;53.75;8;17.5;1;-0.75;8.5
+;11;26.75;Schiesser Patrik;;33;34.0;15;25.5;4;-1.25;9.75
-;11;36.5;Kammermann Thomas;*;21;53.25;12;36.0;1;-0.5;8.75
+;14;45.25;Schwyn Patrick;;19;53.75;14;45.25;0;0.0;10.0

13f;Pianta Christian;;;;;;;;;;55.25
+;;;Arnold Christian;;;;;;;;9.75
-;2;9.75;Büsser André;*;37;26.0;3;8.75;1;-1.0;8.75
+;6;18.5;Koller Fabian;*;17;54.25;8;17.5;2;-1.0;9.75
o;5;28.25;Schlegel Werner (2002);*;13;55.25;4;28.5;-1;0.25;8.75
o;9;37.0;Giger Urs;*;12;55.5;9;37.0;0;0.0;8.5
+;13;45.5;Hugelshofer Lars (2001);;19;53.75;14;45.25;1;-0.25;9.75

13g;Gosswiler Livio (2000);*;;;;;;;;;55.25
-;;;Rütsche Stefan;*;;;;;;;8.75
+;3;8.75;Keller Werner;;15;54.75;2;9.75;-1;1.0;9.75
o;6;18.5;Kamer Hanspeter;*;13;55.25;6;18.5;0;0.0;8.5
+;10;27.0;Schegg Daniel (2000);;30;34.75;12;26.25;2;-0.75;9.75
o;10;36.75;Gwerder Andreas;**;9;56.25;11;36.5;1;-0.25;8.5
+;14;45.25;Burkhard Tobias;;18;54.0;14;45.25;0;0.0;10.0

13h;Schlegel Reto;*;;;;;;;;;55.25
+;;;Bickel Roman;*;;;;;;;10.0
o;1;10.0;Haenni Stéphane;**;10;56.0;3;8.75;2;-1.25;8.5
+;6;18.5;Ammann Rico;*;14;55.0;6;18.5;0;0.0;10.0
o;4;28.5;Burkhalter Stefan;***;11;55.75;4;28.5;0;0.0;8.5
+;9;37.0;Hugelshofer Lars (2001);;19;53.75;10;36.75;1;-0.25;9.75
o;8;46.75;Zwyssig Raphael;***;5;57.25;6;47.25;-2;0.5;8.5

13i;Bollhalder Manuel (2001);;;;;;;;;;55.25
o;;;Lehmann Philipp;;;;;;;;8.5
+;4;8.5;Inauen Aurel;;13;55.25;3;8.75;-1;0.25;9.75
o;7;18.25;Straub Robin;*;18;54.0;7;18.25;0;0.0;8.5
-;11;26.75;Neff Florian;;21;53.25;10;27.0;-1;0.25;9.0
+;13;35.75;Bürgler Patrick;;23;52.75;13;35.75;0;0.0;9.75
+;13;45.5;Schnyder Christian;;23;52.75;18;44.25;5;-1.25;9.75

13j;Riget Tobias;**;;;;;;;;;55.25
+;;;Bühler Ernst;**;;;;;;;9.75
o;2;9.75;Koch Reto;*;10;56.0;2;9.75;0;0.0;8.5
+;7;18.25;Odermatt Christoph;*;17;54.25;5;18.75;-2;0.5;9.75
+;6;28.0;Straub Robin;*;18;54.0;5;28.25;-1;0.25;10.0
o;5;38.0;von Ah Benji;***;11;55.75;8;37.25;3;-0.75;8.75
o;8;46.75;Schneider Mario;**;7;56.75;7;47.0;-1;0.25;8.5

13k;Bischof Martin;;;;;;;;;;55.25
+;;;Ochsner Reto (2000);;;;;;;;10.0
+;1;10.0;Schmid Patrick;*;12;55.5;3;8.75;2;-1.25;9.75
o;2;19.75;Oettli Marco;*;11;55.75;5;18.75;3;-1.0;8.5
o;5;28.25;Krähenbühl Tobias;***;5;57.25;9;27.25;4;-1.0;8.5
-;10;36.75;Straub Robin;*;18;54.0;10;36.75;0;0.0;8.75
+;13;45.5;Lanter Christian;;22;53.0;17;44.5;4;-1.0;9.75

13l;Koch Thomas;*;;;;;;;;;55.25
o;;;Oertig Dominik;**;;;;;;;8.75
+;3;8.75;Bärtsch Fabian (2000);;13;55.25;2;9.75;-1;1.0;9.75
+;6;18.5;Gwerder Andreas;**;9;56.25;7;18.25;1;-0.25;9.75
+;5;28.25;Eugster Ruedi;**;11;55.75;9;27.25;4;-1.0;9.75
o;5;38.0;Geisser Lars;**;4;57.5;6;37.75;1;-0.25;8.75
o;8;46.75;Dumelin David;*;8;56.5;9;46.5;1;-0.25;8.5

13m;Inauen Aurel;;;;;;;;;;55.25
-;;;Wetter Silvan (2000);;;;;;;;8.75
o;3;8.75;Bollhalder Manuel (2001);;13;55.25;4;8.5;1;-0.25;8.5
o;9;17.25;Roth Peter;;21;53.25;8;17.5;-1;0.25;8.5
+;14;25.75;Steiner Joel (2000);;31;34.5;13;26.0;-1;0.25;9.75
+;14;35.5;Koller Fabian;*;17;54.25;13;35.75;-1;0.25;10.0
+;13;45.5;Schwyn Adrian;*;21;53.25;16;44.75;3;-0.75;9.75

13n;Kamer Hanspeter;*;;;;;;;;;55.25
+;;;Straub Robin;*;;;;;;;10.0
o;1;10.0;Bless Michael;***;6;57.0;2;9.75;1;-0.25;8.5
+;6;18.5;Gosswiler Livio (2000);*;13;55.25;6;18.5;0;0.0;9.75
+;5;28.25;Rohner Lukas (2000);;18;54.0;5;28.25;0;0.0;10.0
o;4;38.25;Schneider Domenic;***;2;58.25;4;38.25;0;0.0;8.5
o;8;46.75;Battaglia Ursin;**;7;56.75;8;46.75;0;0.0;8.5

13o;Schläpfer Matthias;*;;;;;;;;;55.25
+;;;Oertig Simon;*;;;;;;;9.75
o;2;9.75;Voggensperger Janic;**;11;55.75;3;8.75;1;-1.0;8.5
+;7;18.25;Odermatt Michi;;17;54.25;6;18.5;-1;0.25;10.0
o;5;28.25;Notz Beni;***;12;55.5;10;27.0;5;-1.25;8.5
+;10;36.75;Lehmann Philipp;;17;54.25;9;37.0;-1;0.25;10.0
o;8;46.75;Bösch Daniel;***;6;57.0;7;47.0;-1;0.25;8.5

14a;Kolb Pirmin (2001);;;;;;;;;;55.0
o;;;Räbsamen Marcel (2000);;;;;;;;8.5
+;4;8.5;Riedi Thomas;;29;35.0;4;8.5;0;0.0;9.75
+;7;18.25;Pfister Florian;*;32;34.25;10;17.0;3;-1.25;9.75
-;6;28.0;Büchler Remo;**;17;54.25;9;27.25;3;-0.75;8.75
o;10;36.75;Kuster Thomas;*;12;55.5;12;36.0;2;-0.75;8.5
+;14;45.25;Wildhaber Jannik;;23;52.75;18;44.25;4;-1.0;9.75

14b;Arztmann Beda;*;;;;;;;;;55.0
-;;;Wickli Beat;**;;;;;;;8.75
o;3;8.75;Oertle Daniel;*;13;55.25;4;8.5;1;-0.25;8.5
+;9;17.25;Tritten Robin;;21;53.25;8;17.5;-1;0.25;9.75
o;10;27.0;Schmid Patrick;*;12;55.5;9;27.25;-1;0.25;8.5
+;14;35.5;Baumann Rico;*;17;54.25;12;36.0;-2;0.5;9.75
+;14;45.25;Straub Robin;*;18;54.0;13;45.5;-1;0.25;9.75

14c;Krähenbühl Lukas;*;;;;;;;;;55.0
o;;;Bernold Michael;*;;;;;;;8.5
+;4;8.5;Wey Nicola;*;19;53.75;3;8.75;-1;0.25;9.75
+;7;18.25;Oertle Daniel;*;13;55.25;7;18.25;0;0.0;9.75
+;6;28.0;Oertig Dominik;**;10;56.0;9;27.25;3;-0.75;9.75
o;6;37.75;Zwyssig Raphael;***;5;57.25;7;37.5;1;-0.25;8.5
o;10;46.25;Gwerder Andreas;**;9;56.25;10;46.25;0;0.0;8.75

14d;Ammann Rico;*;;;;;;;;;55.0
+;;;Vestner Roman;*;;;;;;;10.0
o;1;10.0;Büchler Remo;**;17;54.25;4;8.5;3;-1.5;8.5
o;6;18.5;Schlegel Reto;*;13;55.25;6;18.5;0;0.0;8.5
+;10;27.0;Hobi Ignaz;;18;54.0;10;27.0;0;0.0;9.75
+;10;36.75;Breitenmoser Manuel;*;12;55.5;8;37.25;-2;0.5;9.75
o;9;46.5;Ott Damian (2000);*;7;56.75;8;46.75;-1;0.25;8.5

14e;Wittenwiler Roman;*;;;;;;;;;55.0
-;;;Bühler Hannes;*;;;;;;;8.75
o;3;8.75;Oettli Marco;*;11;55.75;3;8.75;0;0.0;8.5
+;9;17.25;Schäppi Urs;*;39;25.5;10;17.0;1;-0.25;9.75
+;10;27.0;Vollmeier Sandro;;20;53.5;8;27.5;-2;0.5;9.75
+;10;36.75;Räbsamen Marcel (2000);;12;55.5;9;37.0;-1;0.25;9.75
o;9;46.5;Wenger Kilian;***;7;56.75;7;47.0;-2;0.5;8.5

15a;Keller Werner;;;;;;;;;;54.75
+;;;Schegg Daniel (2000);;;;;;;;9.75
o;2;9.75;Gosswiler Livio (2000);*;13;55.25;3;8.75;1;-1.0;8.5
+;7;18.25;Elmer Adrian;*;16;54.5;9;17.25;2;-1.0;9.75
o;6;28.0;Kid Simon;**;11;55.75;9;27.25;3;-0.75;8.5
+;11;36.5;Ueltschi Patric;*;22;53.0;13;35.75;2;-0.75;9.75
o;10;46.25;Oertig Dominik;**;10;56.0;11;46.0;1;-0.25;8.5

15b;Hauser Simon;;;;;;;;;;54.75
+;;;Tremp Remo;;;;;;;;9.75
+;2;9.75;Pfister Florian;*;32;34.25;4;8.5;2;-1.25;9.75
o;3;19.5;Gmür Pirmin;**;8;56.5;6;18.5;3;-1.0;8.5
o;6;28.0;Bernold Christian;**;16;54.5;10;27.0;4;-1.0;8.5
o;11;36.5;Heierli Pascal;*;13;55.25;13;35.75;2;-0.75;8.5
+;15;45.0;Flütsch Marco;;24;52.5;19;44.0;4;-1.0;9.75

16a;Oertig Simon;*;;;;;;;;;54.5
o;;;Schläpfer Matthias;*;;;;;;;8.75
+;3;8.75;Dörig Erich;*;27;35.5;3;8.75;0;0.0;10.0
o;5;18.75;Schneider Domenic;***;2;58.25;6;18.5;1;-0.25;8.5
+;9;27.25;Bickel Roman;*;16;54.5;9;27.25;0;0.0;10.0
o;8;37.25;Oettli Silvio (2000);;12;55.5;8;37.25;0;0.0;8.75
o;11;46.0;Koch Reto;*;10;56.0;10;46.25;-1;0.25;8.5

16b;Wetter Silvan (2000);;;;;;;;;;54.5
-;;;Inauen Aurel;;;;;;;;8.75
o;3;8.75;Wettstein Daniel;;22;53.0;3;8.75;0;0.0;8.5
-;9;17.25;Rüegg Patrick;;29;35.0;9;17.25;0;0.0;8.75
+;13;26.0;Riedi Thomas;;29;35.0;12;26.25;-1;0.25;9.75
o;13;35.75;Matthey Mickaël;**;11;55.75;13;35.75;0;0.0;8.75
+;17;44.5;Kammermann Thomas;*;21;53.25;16;44.75;-1;0.25;10.0

16c;Rüegg Fabian;*;;;;;;;;;54.5
o;;;Schnurrenberger Roman;**;;;;;;;8.5
o;4;8.5;Giger Urs;*;12;55.5;4;8.5;0;0.0;8.5
+;10;17.0;Wettstein Daniel;;22;53.0;6;18.5;-4;1.5;10.0
-;10;27.0;Vestner Bruno;*;21;53.25;10;27.0;0;0.0;8.75
+;13;35.75;Neff Florian;;21;53.25;12;36.0;-1;0.25;10.0
o;12;45.75;Matthey Mickaël;**;11;55.75;12;45.75;0;0.0;8.75

16d;Elmer Adrian;*;;;;;;;;;54.5
o;;;Koch Reto;*;;;;;;;8.5
-;4;8.5;Kammermann Thomas;*;21;53.25;3;8.75;-1;0.25;8.75
o;9;17.25;Keller Werner;;15;54.75;7;18.25;-2;1.0;8.75
+;13;26.0;Schwyn Patrick;;19;53.75;10;27.0;-3;1.0;10.0
+;12;36.0;Burkhard Tobias;;18;54.0;10;36.75;-2;0.75;10.0
o;11;46.0;Bühler Hannes;*;11;55.75;11;46.0;0;0.0;8.5

16e;Rüegg Roman;*;;;;;;;;;54.5
-;;;Dörig Erich;*;;;;;;;8.75
o;3;8.75;Schläpfer Markus;**;17;54.25;3;8.75;0;0.0;8.5
o;9;17.25;Kunz Daniel;*;18;54.0;9;17.25;0;0.0;8.5
+;14;25.75;Flütsch Marco;;24;52.5;10;27.0;-4;1.25;10.0
+;13;35.75;Lanter Christian;;22;53.0;12;36.0;-1;0.25;10.0
-;12;45.75;Ackermann Remo;*;16;54.5;12;45.75;0;0.0;8.75

16f;Ackermann Remo;*;;;;;;;;;54.5
o;;;Bernold Christian;**;;;;;;;8.75
+;3;8.75;Oettli Silvio (2000);;12;55.5;2;9.75;-1;1.0;10.0
o;5;18.75;Roschi Ruedi;**;13;55.25;7;18.25;2;-0.5;8.5
o;9;27.25;Zbinden Marc;*;11;55.75;8;27.5;-1;0.25;8.5
+;13;35.75;Kobler Janosch (2000);;19;53.75;10;36.75;-3;1.0;10.0
-;12;45.75;Rüegg Roman;*;16;54.5;12;45.75;0;0.0;8.75

16g;Bernold Christian;**;;;;;;;;;54.5
+;;;Ackermann Remo;*;;;;;;;9.75
o;2;9.75;Leuppi Samir;**;5;57.25;3;8.75;1;-1.0;8.5
o;7;18.25;Schnurrenberger Roman;**;11;55.75;6;18.5;-1;0.25;8.75
+;10;27.0;Hauser Simon;;15;54.75;6;28.0;-4;1.0;10.0
o;9;37.0;Piemontesi Pascal;**;12;55.5;9;37.0;0;0.0;8.75
-;12;45.75;Bickel Roman;*;16;54.5;12;45.75;0;0.0;8.75

16h;Bickel Roman;*;;;;;;;;;54.5
o;;;Schlegel Reto;*;;;;;;;8.5
-;4;8.5;Koller Fabian;*;17;54.25;3;8.75;-1;0.25;8.75
+;9;17.25;Mettler Valentin;*;36;26.75;7;18.25;-2;1.0;10.0
o;9;27.25;Oertig Simon;*;16;54.5;9;27.25;0;0.0;8.5
+;13;35.75;Jöhl Christian;*;17;54.25;12;36.0;-1;0.25;10.0
-;12;45.75;Bernold Christian;**;16;54.5;12;45.75;0;0.0;8.75

17a;Buchmann Michael;;;;;;;;;;54.25
-;;;Schnyder Christian;;;;;;;;8.75
+;3;8.75;Baumgartner Ramon (2002);;28;35.25;4;8.5;1;-0.25;10.0
o;5;18.75;Jörger Marc;*;17;54.25;7;18.25;2;-0.5;8.5
o;9;27.25;Frick Andreas;*;17;54.25;9;27.25;0;0.0;8.5
o;13;35.75;Ackermann Roman;;18;54.0;14;35.5;1;-0.25;8.5
+;18;44.25;Horner Sämi;;24;52.5;19;44.0;1;-0.25;10.0

17b;Notz Armin;*;;;;;;;;;54.25
-;;;Breitenmoser Manuel;*;;;;;;;8.75
+;3;8.75;Schuler Martin;;20;53.5;2;9.75;-1;1.0;10.0
+;5;18.75;Oertig Dominik;**;10;56.0;6;18.5;1;-0.25;10.0
o;3;28.75;Rychen Roger;***;2;58.25;5;28.25;2;-0.5;8.5
o;8;37.25;Dändliker Shane;*;6;57.0;8;37.25;0;0.0;8.5
o;12;45.75;Schmid Patrick;*;12;55.5;12;45.75;0;0.0;8.5

17c;Odermatt Michi;;;;;;;;;;54.25
-;;;Neff Florian;;;;;;;;8.75
+;3;8.75;Roth Peter;;21;53.25;3;8.75;0;0.0;9.75
o;6;18.5;Schläpfer Matthias;*;13;55.25;7;18.25;1;-0.25;8.5
-;10;27.0;Pfister Florian;*;32;34.25;15;25.5;5;-1.5;8.75
+;13;35.75;Thoma Christoph;;22;53.0;13;35.75;0;0.0;10.0
o;12;45.75;Räbsamen Marcel (2000);;12;55.5;12;45.75;0;0.0;8.5

17d;Lehmann Philipp;;;;;;;;;;54.25
+;;;Bollhalder Manuel (2001);;;;;;;;9.75
+;2;9.75;Rütsche Stefan;*;32;34.25;3;8.75;1;-1.0;10.0
o;2;19.75;Schmid Dominik;**;11;55.75;6;18.5;4;-1.25;8.5
o;5;28.25;Koch Reto;*;10;56.0;6;28.0;1;-0.25;8.75
o;9;37.0;Schläpfer Matthias;*;13;55.25;10;36.75;1;-0.25;8.5
o;13;45.5;Holenstein Christian;*;11;55.75;12;45.75;-1;0.25;8.75

17e;Baumann Rico;*;;;;;;;;;54.25
+;;;Kuster Thomas;*;;;;;;;9.75
o;2;9.75;Burkhalter Stefan;***;11;55.75;1;10.0;-1;0.25;8.5
-;7;18.25;Lanter Christian;;22;53.0;6;18.5;-1;0.25;9.0
-;9;27.25;Wey Nicola;*;19;53.75;8;27.5;-1;0.25;8.75
o;12;36.0;Arztmann Beda;*;14;55.0;14;35.5;2;-0.5;8.5
+;17;44.5;Schuler Martin;;20;53.5;15;45.0;-2;0.5;9.75

17f;Frick Andreas;*;;;;;;;;;54.25
o;;;Steiner Michael;**;;;;;;;8.75
o;3;8.75;Battaglia Ursin;**;7;56.75;4;8.5;1;-0.25;8.5
+;9;17.25;Zumbach Michael;;28;35.25;7;18.25;-2;1.0;10.0
+;9;27.25;Buchmann Michael;;17;54.25;9;27.25;0;0.0;10.0
o;8;37.25;Gartmann Mauro;*;11;55.75;8;37.25;0;0.0;8.5
o;12;45.75;Wickli Beat;**;12;55.5;13;45.5;1;-0.25;8.5

17g;Odermatt Christoph;*;;;;;;;;;54.25
o;;;Schmid Dominik;**;;;;;;;8.75
+;3;8.75;Schäppi Urs;*;39;25.5;4;8.5;1;-0.25;10.0
o;5;18.75;Riget Tobias;**;13;55.25;7;18.25;2;-0.5;8.5
+;9;27.25;Heierli Pascal;*;13;55.25;9;27.25;0;0.0;10.0
o;8;37.25;Battaglia Ursin;**;7;56.75;10;36.75;2;-0.5;8.5
o;12;45.75;Kid Simon;**;11;55.75;12;45.75;0;0.0;8.5

17h;Jörger Marc;*;;;;;;;;;54.25
o;;;Ueltschi Patric;*;;;;;;;8.5
+;4;8.5;Rotach Lars (2000);;19;53.75;2;9.75;-2;1.25;9.75
+;7;18.25;Buchmann Michael;;17;54.25;5;18.75;-2;0.5;10.0
-;5;28.25;Piemontesi Pascal;**;12;55.5;5;28.25;0;0.0;8.75
o;9;37.0;Dumelin David;*;8;56.5;10;36.75;1;-0.25;8.5
-;13;45.5;Vestner Roman;*;17;54.25;13;45.5;0;0.0;8.75

17i;Jöhl Christian;*;;;;;;;;;54.25
o;;;Poltera Andrin;*;;;;;;;8.5
+;4;8.5;Hobi Ignaz;;18;54.0;1;10.0;-3;1.5;10.0
o;6;18.5;Kropf Marcel;**;12;55.5;7;18.25;1;-0.25;8.75
o;9;27.25;Kunz Daniel;*;18;54.0;9;27.25;0;0.0;8.75
o;12;36.0;Bickel Roman;*;16;54.5;13;35.75;1;-0.25;8.5
+;17;44.5;Bürgler Patrick;;23;52.75;18;44.25;1;-0.25;9.75

17j;Funk Nicola;*;;;;;;;;;54.25
-;;;Büsser André;*;;;;;;;8.75
+;3;8.75;Castelli Fabio;;26;36.0;1;10.0;-2;1.25;10.0
o;5;18.75;Schlegel Werner (2002);*;13;55.25;5;18.75;0;0.0;8.75
o;8;27.5;Matthey Mickaël;**;11;55.75;13;26.0;5;-1.5;8.5
+;12;36.0;Rotach Lars (2000);;19;53.75;11;36.5;-1;0.5;9.75
o;12;45.75;Kuster Thomas;*;12;55.5;12;45.75;0;0.0;8.5

17k;Vestner Roman;*;;;;;;;;;54.25
o;;;Ammann Rico;*;;;;;;;8.5
+;4;8.5;Bürgler Patrick;;23;52.75;1;10.0;-3;1.5;9.75
o;7;18.25;Battaglia Ursin;**;7;56.75;7;18.25;0;0.0;8.75
+;10;27.0;Ochsner Reto (2000);;22;53.0;12;26.25;2;-0.75;10.0
o;9;37.0;Notz Beni;***;12;55.5;9;37.0;0;0.0;8.5
-;13;45.5;Jörger Marc;*;17;54.25;13;45.5;0;0.0;8.75

17l;Koller Fabian;*;;;;;;;;;54.25
-;;;Kunz Daniel;*;;;;;;;8.75
-;3;8.75;Bickel Roman;*;16;54.5;4;8.5;1;-0.25;8.75
o;8;17.5;Pianta Christian;;13;55.25;6;18.5;-2;1.0;8.5
+;13;26.0;Zumbach Michael;;28;35.25;11;26.75;-2;0.75;9.75
o;13;35.75;Inauen Aurel;;13;55.25;14;35.5;1;-0.25;8.5
+;18;44.25;Ochsner Reto (2000);;22;53.0;17;44.5;-1;0.25;10.0

17m;Büchler Remo;**;;;;;;;;;54.25
o;;;Roth Martin;*;;;;;;;8.5
+;4;8.5;Ammann Rico;*;14;55.0;1;10.0;-3;1.5;10.0
-;6;18.5;Peng Mike;***;30;34.75;9;17.25;3;-1.25;8.75
-;9;27.25;Kolb Pirmin (2001);;14;55.0;6;28.0;-3;0.75;8.75
+;12;36.0;Tritten Robin;;21;53.25;12;36.0;0;0.0;9.75
o;12;45.75;Poltera Andrin;*;11;55.75;12;45.75;0;0.0;8.5

17n;Schläpfer Markus;**;;;;;;;;;54.25
-;;;Wey Nicola;*;;;;;;;8.75
+;3;8.75;Rüegg Roman;*;16;54.5;3;8.75;0;0.0;9.75
+;6;18.5;Notz Beni;***;12;55.5;6;18.5;0;0.0;10.0
-;4;28.5;Breitenmoser Manuel;*;12;55.5;4;28.5;0;0.0;8.75
o;8;37.25;Voggensperger Janic;**;11;55.75;8;37.25;0;0.0;8.5
o;12;45.75;Eugster Ruedi;**;11;55.75;11;46.0;-1;0.25;8.5

18a;Ackermann Roman;;;;;;;;;;54.0
o;;;Bärtsch Fabian (2000);;;;;;;;8.5
o;4;8.5;Ziegler Andreas (2002);;28;35.25;4;8.5;0;0.0;8.5
+;10;17.0;Arnold Christian;;32;34.25;10;17.0;0;0.0;10.0
o;10;27.0;Schwyn Adrian;*;21;53.25;13;26.0;3;-1.0;8.5
+;14;35.5;Buchmann Michael;;17;54.25;13;35.75;-1;0.25;10.0
o;13;45.5;Heierli Pascal;*;13;55.25;13;45.5;0;0.0;8.5

18b;Burkhard Tobias;;;;;;;;;;54.0
o;;;Hobi Ignaz;;;;;;;;8.5
+;4;8.5;Schwyn Patrick;;19;53.75;4;8.5;0;0.0;9.75
o;7;18.25;Vestner Bruno;*;21;53.25;10;17.0;3;-1.25;8.5
+;11;26.75;Ziegler Andreas (2002);;28;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Elmer Adrian;*;16;54.5;12;36.0;2;-0.75;8.5
o;14;45.25;Gosswiler Livio (2000);*;13;55.25;14;45.25;0;0.0;8.75

18c;Landolt Reto;*;;;;;;;;;54.0
+;;;Schwyn Patrick;;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;6;57.0;3;8.75;2;-1.25;8.5
+;6;18.5;Fausch Kjetil;*;35;27.0;6;18.5;0;0.0;9.75
o;5;28.25;Morger Adrian;*;25;46.25;6;28.0;1;-0.25;8.5
-;10;36.75;Vollenweider Jeremy;*;12;55.5;10;36.75;0;0.0;8.75
o;13;45.5;Breitenmoser Manuel;*;12;55.5;12;45.75;-1;0.25;8.5

18d;Nägeli Roman;*;;;;;;;;;54.0
o;;;Schlegel Werner (2002);*;;;;;;;8.5
+;4;8.5;Schwyn Adrian;*;21;53.25;4;8.5;0;0.0;9.75
-;7;18.25;Holenstein Christian;*;11;55.75;7;18.25;0;0.0;8.75
