3381-2016-05-01_112_Ob-_und_Nidwaldner_Kantonalschwingfest-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
o;;;Zurfluh Robin (2000);;;;;;;;8.5
o;5;8.5;Riedi Adrian;;17;54.25;5;8.5;0;0.0;8.5
+;12;17.0;Huber Stefan;;27;35.25;12;17.0;0;0.0;9.75
o;13;26.75;Zimmermann Armin;;17;54.25;11;27.25;-2;0.5;8.5

27g;Müller Patrick (1999);;;;;;;;;;35.25
+;;;Risi Janik (2000);;;;;;;;9.75
o;2;9.75;Herger Peter;;14;55.0;2;9.75;0;0.0;8.5
o;7;18.25;Wicki Patrick;;19;53.75;9;17.75;2;-0.5;8.5
o;13;26.75;Hess Christian;;20;53.5;16;26.0;3;-0.75;8.5

27h;Arnold Philipp (2000);;;;;;;;;;35.25
+;;;Burch Simon (2000);;;;;;;;9.75
o;2;9.75;Zurbuchen Martin;;14;55.0;4;8.75;2;-1.0;8.5
o;7;18.25;Gasser Dominik 1;;19;53.75;7;18.25;0;0.0;8.5
o;13;26.75;Lang Sven (1998);*;13;55.25;17;25.75;4;-1.0;8.5

27i;Käslin Ueli (1999);;;;;;;;;;35.25
o;;;Rohrer André;;;;;;;;8.5
o;5;8.5;Röthlin Pascal;;13;55.25;5;8.5;0;0.0;8.5
o;12;17.0;Bissig Fabian;;18;54.0;12;17.0;0;0.0;8.5
+;18;25.5;Kathriner Severin (2000);;32;34.0;18;25.5;0;0.0;9.75

27j;Wyrsch Hansi (1999);;;;;;;;;;35.25
o;;;Spichtig Clemens;;;;;;;;8.5
+;5;8.5;Risi Janik (2000);;32;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Bürgi Reto;*;13;55.25;11;17.25;4;-1.0;8.5
o;13;26.75;Wagner Severin (1998);;13;55.25;13;26.75;0;0.0;8.5

27k;Huber Stefan;;;;;;;;;;35.25
o;;;Rohrer Ueli (1999);;;;;;;;8.5
o;5;8.5;Rohrer Henry;;19;53.75;4;8.75;-1;0.25;8.5
o;12;17.0;von Wyl Simon (1999);;27;35.25;12;17.0;0;0.0;8.5
+;18;25.5;Enz Remo (1998);;32;34.0;18;25.5;0;0.0;9.75

28a;Waser Adrian;;;;;;;;;;35.0
-;;;Gander Michael (1998);;;;;;;;9.0
-;3;9.0;Fessler Linus;;15;54.75;5;8.5;2;-0.5;8.75
o;9;17.75;Gander Martin;;15;54.75;10;17.5;1;-0.25;8.5
-;15;26.25;Widmer Thomas;;17;54.25;12;27.0;-3;0.75;8.75

29a;Kaufmann Jens;;;;;;;;;;34.75
-;;;Wagner Stefan;;;;;;;;8.75
-;4;8.75;Waser Andrin (1999);;17;54.25;4;8.75;0;0.0;8.75
-;10;17.5;Hess Christian;;20;53.5;11;17.25;1;-0.25;8.75
o;15;26.25;Kempf Damian;;13;55.25;13;26.75;-2;0.5;8.5

29b;Durrer Lukas (1999);;;;;;;;;;34.75
-;;;Bünter Rosche (2000);;;;;;;;8.75
-;4;8.75;Burch Bruno (2000);;30;34.5;4;8.75;0;0.0;8.75
o;10;17.5;Ziegler Moritz (1998);;23;52.5;11;17.25;1;-0.25;8.5
-;16;26.0;Wallimann Adrian;;31;34.25;18;25.5;2;-0.5;8.75

30a;Kempf Marco (2000);;;;;;;;;;34.5
o;;;Ettlin Thomas (2000);;;;;;;;8.5
-;5;8.5;Burch Simon (2000);;21;53.0;5;8.5;0;0.0;8.75
-;11;17.25;Bünter Rosche (2000);;30;34.5;11;17.25;0;0.0;8.75
o;16;26.0;Burch Pascal;;27;35.25;18;25.5;2;-0.5;8.5

30b;Bünter Rosche (2000);;;;;;;;;;34.5
-;;;Durrer Lukas (1999);;;;;;;;8.75
o;4;8.75;Zanini David (2000);;18;54.0;4;8.75;0;0.0;8.5
-;11;17.25;Kempf Marco (2000);;30;34.5;11;17.25;0;0.0;8.75
o;16;26.0;Zberg Leo;;21;53.0;17;25.75;1;-0.25;8.5

30c;Burch Bruno (2000);;;;;;;;;;34.5
-;;;Zanini David (2000);;;;;;;;8.75
-;4;8.75;Durrer Lukas (1999);;29;34.75;4;8.75;0;0.0;8.75
o;10;17.5;Hauser Roman (2000);;16;54.5;10;17.5;0;0.0;8.5
o;16;26.0;Kaiser Sandro (1998);;22;52.75;17;25.75;1;-0.25;8.5

31a;Bacher Peter;;;;;;;;;;34.25
o;;;Fanger Manuel (2000);;;;;;;;8.75
o;4;8.75;Herger Lukas;;20;53.5;4;8.75;0;0.0;8.5
o;11;17.25;Hurschler Adrian;;17;54.25;10;17.5;-1;0.25;8.5
o;17;25.75;Bissig Fabian;;18;54.0;12;27.0;-5;1.25;8.5

31b;Wallimann Adrian;;;;;;;;;;34.25
o;;;Ming Hannes (1998);;;;;;;;8.5
o;5;8.5;Hurschler Mauri (1999);;27;35.25;5;8.5;0;0.0;8.5
o;12;17.0;Durrer Hans;;18;54.0;11;17.25;-1;0.25;8.5
-;18;25.5;Durrer Lukas (1999);;29;34.75;16;26.0;-2;0.5;8.75

32a;Risi Janik (2000);;;;;;;;;;34.0
o;;;Müller Patrick (1999);;;;;;;;8.5
o;5;8.5;Wyrsch Hansi (1999);;27;35.25;5;8.5;0;0.0;8.5
o;12;17.0;Bucher Sandro (2000);;23;52.5;12;17.0;0;0.0;8.5
o;18;25.5;Imholz Elias (1999);;22;52.75;18;25.5;0;0.0;8.5

32b;Vogler Jakob (2000);;;;;;;;;;34.0
o;;;Gisler Mario (2000);;;;;;;;8.5
o;5;8.5;Herger André;;19;53.75;5;8.5;0;0.0;8.5
o;12;17.0;Burch Simon (2000);;21;53.0;11;17.25;-1;0.25;8.5
o;18;25.5;Baumgartner Silvan (1999);;22;52.75;18;25.5;0;0.0;8.5

32c;Kathriner Severin (2000);;;;;;;;;;34.0
o;;;Enz Simon;;;;;;;;8.5
o;5;8.5;Arnold Lukas (1998);;16;54.5;5;8.5;0;0.0;8.5
o;12;17.0;Abächerli Marco;;25;35.75;11;17.25;-1;0.25;8.5
o;18;25.5;Käslin Ueli (1999);;27;35.25;18;25.5;0;0.0;8.5

32d;Enz Remo (1998);;;;;;;;;;34.0
o;;;von Ah Quirin (2000);;;;;;;;8.5
o;5;8.5;Fenk Daniel;;18;54.0;5;8.5;0;0.0;8.5
o;12;17.0;Arnold Sebastian;;23;52.5;12;17.0;0;0.0;8.5
o;18;25.5;Huber Stefan;;27;35.25;18;25.5;0;0.0;8.5

33a;Enz Simon;;;;;;;;;;28.25
+;;;Kathriner Severin (2000);;;;;;;;10.0
+;1;10.0;Zurfluh Robin (2000);;22;52.75;1;10.0;0;0.0;9.75
o;2;19.75;Bernhard Lukas;*;11;55.75;5;18.75;3;-1.0;8.5

34a;Waser Raphael (1998);;;;;;;;;;28.0
+;;;Burch Pascal;;;;;;;;9.75
+;2;9.75;Durrer Markus (1999);;23;52.5;1;10.0;-1;0.25;9.75
o;3;19.5;Vogel Remo;*;16;54.5;5;18.75;2;-0.75;8.5

35a;Gut Koni;;;;;;;;;;27.0
-;;;Wicki Patrick;;;;;;;;8.75
+;4;8.75;Gasser Dominik 1;;19;53.75;2;9.75;-2;1.0;9.75
o;6;18.5;Suppiger René;**;7;56.75;11;17.25;5;-1.25;8.5

36a;Halter Dominik;;;;;;;;;;26.75
+;;;Arnold Lukas (1998);;;;;;;;9.75
o;2;9.75;Vogel Remo;*;16;54.5;3;9.0;1;-0.75;8.5
o;7;18.25;Reimann Thomas;*;13;55.25;12;17.0;5;-1.25;8.5

36b;Vogler Daniel;*;;;;;;;;;26.75
o;;;Töngi Thomas;*;;;;;;;8.5
o;5;8.5;Baumann Roger;*;15;54.75;5;8.5;0;0.0;8.5
+;12;17.0;Fanger Manuel (2000);;27;35.25;7;18.25;-5;1.25;9.75

