3381-2016-05-01_112_Ob-_und_Nidwaldner_Kantonalschwingfest-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
+;10;27.5;Burch Jonas (1999);;13;55.25;7;28.25;-3;0.75;10.0
o;7;37.5;Anderegg Simon;***;8;56.5;6;37.75;-1;0.25;8.5
+;12;46.0;Ming Christian;;17;54.25;13;45.75;1;-0.25;10.0

10d;Gander Adrian;*;;;;;;;;;56.0
-;;;Vogel Remo;*;;;;;;;8.75
o;4;8.75;Gassmann Fabian;**;7;56.75;4;8.75;0;0.0;8.5
+;11;17.25;Herger Andreas;;17;54.25;6;18.5;-5;1.25;10.0
-;11;27.25;Arnold Fabian;;15;54.75;11;27.25;0;0.0;8.75
+;13;36.0;Amrein Simon;;17;54.25;14;35.75;1;-0.25;10.0
+;12;46.0;Hurschler Adrian;;17;54.25;13;45.75;1;-0.25;10.0

10e;Barmettler Peter;*;;;;;;;;;56.0
-;;;Rohrer Beat;*;;;;;;;8.75
-;4;8.75;Zurfluh Markus;**;10;56.0;5;8.5;1;-0.25;8.75
+;10;17.5;Zanini David (2000);;18;54.0;6;18.5;-4;1.0;10.0
+;10;27.5;Bacher Andreas;;20;53.5;8;28.0;-2;0.5;10.0
o;7;37.5;Reichmuth Pirmin;**;6;57.0;8;37.25;1;-0.25;8.5
+;12;46.0;Hauser Roman (2000);;16;54.5;12;46.0;0;0.0;10.0

10f;Schöpfer Ronny (1999);;;;;;;;;;56.0
+;;;Amgarten Martin;;;;;;;;10.0
+;1;10.0;Spichtig Clemens;;11;55.75;2;9.75;1;-0.25;9.75
o;2;19.75;Vonlaufen Alexander;**;10;56.0;5;18.75;3;-1.0;8.75
-;6;28.5;Britschgi Melk;**;6;57.0;6;28.5;0;0.0;8.75
+;8;37.25;Durrer Robin;;17;54.25;9;37.0;1;-0.25;10.0
o;7;47.25;Arnold Daniel;;7;56.75;8;47.0;1;-0.25;8.75

10g;Vonlaufen Alexander;**;;;;;;;;;56.0
-;;;Schurtenberger Sven;**;;;;;;;8.75
+;4;8.75;Egli Damian;**;14;55.0;5;8.5;1;-0.25;10.0
+;5;18.75;Schöpfer Ronny (1999);;10;56.0;2;19.75;-3;1.0;10.0
-;5;28.75;Vogel Remo;*;16;54.5;5;28.75;0;0.0;8.75
+;7;37.5;Zurbuchen Martin;;14;55.0;7;37.5;0;0.0;10.0
o;6;47.5;Gloggner Philipp;***;5;57.25;7;47.25;1;-0.25;8.5

10h;Waser Dominik;**;;;;;;;;;56.0
-;;;Niederberger Jakob;**;;;;;;;8.75
-;4;8.75;Langenstein Philip;*;13;55.25;2;9.75;-2;1.0;8.75
+;10;17.5;von Flüe Marco;;13;55.25;6;18.5;-4;1.0;9.75
+;11;27.25;Fleischmann Fabian;;20;53.5;10;27.5;-1;0.25;10.0
-;8;37.25;Zurfluh Markus;**;10;56.0;8;37.25;0;0.0;8.75
+;12;46.0;Durrer Robin;;17;54.25;13;45.75;1;-0.25;10.0

10i;Arnold Stefan;**;;;;;;;;;56.0
-;;;Zimmermann Simon;*;;;;;;;8.75
-;4;8.75;Rohrer Beat;*;11;55.75;4;8.75;0;0.0;8.75
+;10;17.5;Rohrer Henry;;19;53.75;6;18.5;-4;1.0;10.0
o;10;27.5;Schurtenberger Sven;**;5;57.25;10;27.5;0;0.0;8.5
+;13;36.0;Zumstein Patrick;;15;54.75;12;36.25;-1;0.25;10.0
+;12;46.0;Rentsch Christian (1998);;16;54.5;12;46.0;0;0.0;10.0

11a;Zimmermann Martin;**;;;;;;;;;55.75
-;;;Reichmuth Armin;*;;;;;;;8.75
+;4;8.75;Bürgi Reto;*;13;55.25;4;8.75;0;0.0;9.75
+;6;18.5;Graber Sandro;;19;53.75;3;19.5;-3;1.0;10.0
-;6;28.5;Briker Michael;*;9;56.25;6;28.5;0;0.0;9.0
