5596-2021-09-12_Luzerner_Kantonales_Schwingfest-ST

1a;Wicki Joel;***;;;;;;;;;59.0
o;4;38.5;Ambühl Joel;**;2;58.5;4;38.5;0;0.0;8.5
+;8;47.0;Schärli Reto;*;14;55.25;9;46.75;1;-0.25;10.0

7k;Fink Bruno;*;;;;;;;;;57.0
+;;;Stadelmann Simon;*;;;;;;;10.0
+;1;10.0;Odermatt Christian;**;5;57.5;2;9.75;1;-0.25;10.0
o;1;20.0;Hess Dominik;*;10;56.25;5;18.75;4;-1.25;8.5
+;6;28.5;Schumacher Marco;;17;54.5;6;28.5;0;0.0;10.0
o;4;38.5;Lang Sven;**;3;58.0;5;38.25;1;-0.25;8.5
+;8;47.0;Elmiger Matthias;;13;55.5;8;47.0;0;0.0;10.0

8a;Lemmenmeier Lukas;*;;;;;;;;;56.75
+;;;Elmiger Andreas;*;;;;;;;10.0
-;1;10.0;Schuler Alex;***;11;56.0;2;9.75;1;-0.25;8.75
+;5;18.75;Achermann Simon;;15;55.0;2;19.75;-3;1.0;9.75
+;6;28.5;Huser Christian;;13;55.5;6;28.5;0;0.0;10.0
o;4;38.5;Gäumann Stefan;**;3;58.0;5;38.25;1;-0.25;8.5
+;8;47.0;Brunner Timon;;13;55.5;8;47.0;0;0.0;9.75

8b;Schürpf Bruno;*;;;;;;;;;56.75
+;;;Wyrsch Silvio;*;;;;;;;9.75
-;2;9.75;Felder Martin;*;10;56.25;2;9.75;0;0.0;8.75
+;6;18.5;Doppmann Ueli;;17;54.5;4;19.0;-2;0.5;9.75
+;7;28.25;Scherrer Patrick;;13;55.5;6;28.5;-1;0.25;10.0
-;5;38.25;Fankhauser Marco;**;7;57.0;5;38.25;0;0.0;8.75
+;8;47.0;Müller Roger;*;14;55.25;9;46.75;1;-0.25;9.75

8c;Thierstein Marco;*;;;;;;;;;56.75
+;;;Fässler Dominic;**;;;;;;;9.75
-;2;9.75;Lagler Christian;*;12;55.75;4;8.75;2;-1.0;8.75
+;6;18.5;Vogler Jonas;;15;55.0;2;19.75;-4;1.25;10.0
+;6;28.5;Birchler Fabian;;15;55.0;5;28.75;-1;0.25;9.75
o;5;38.25;Reichmuth Roland;*;12;55.75;9;37.25;4;-1.0;8.75
+;8;47.0;Bucher André;;15;55.0;10;46.5;2;-0.5;9.75

8d;Murer Andy;**;;;;;;;;;56.75
-;;;Fellmann Roman;**;;;;;;;8.75
+;4;8.75;Schwyzer Samuel;*;13;55.5;4;8.75;0;0.0;10.0
+;5;18.75;Wicki Patrick;;14;55.25;3;19.5;-2;0.75;10.0
o;5;28.75;Schöpfer Ronny;**;7;57.0;4;29.0;-1;0.25;8.5
+;9;37.25;Egli Adrian;;15;55.0;8;37.5;-1;0.25;9.75
+;8;47.0;Felder Martin;*;10;56.25;5;47.75;-3;0.75;9.75

8e;Wyrsch Silvio;*;;;;;;;;;56.75
o;;;Schürpf Bruno;*;;;;;;;8.5
o;5;8.5;Gäumann Stefan;**;3;58.0;5;8.5;0;0.0;8.5
+;12;17.0;Bissig Julian (2003);;18;54.25;6;18.5;-6;1.5;9.75
+;13;26.75;Grüter Marcel;;28;35.5;12;27.0;-1;0.25;10.0
+;11;36.75;Ulrich Marco;**;16;54.75;12;36.5;1;-0.25;10.0
+;9;46.75;Barmettler Severin (2005);;14;55.25;9;46.75;0;0.0;10.0

8f;Durrer Nando;*;;;;;;;;;56.75
-;;;Fankhauser Reto;**;;;;;;;9.0
+;3;9.0;Thalmann Thomas;*;12;55.75;4;8.75;1;-0.25;9.75
+;5;18.75;Schumacher Marco;;17;54.5;1;20.0;-4;1.25;10.0
-;5;28.75;Lustenberger Marc (2003);*;6;57.25;5;28.75;0;0.0;9.0
-;7;37.75;Schöpfer Marco (2003);;12;55.75;7;37.75;0;0.0;9.0
+;9;46.75;Huser Christian;;13;55.5;8;47.0;-1;0.25;10.0

8g;Bühler Kilian;;;;;;;;;;56.75
+;;;von Wyl Kevin (2004);;;;;;;;9.75
o;2;9.75;Blaser Roman;*;12;55.75;5;8.5;3;-1.25;8.5
+;7;18.25;Schuler Daniel;*;28;35.5;12;17.0;5;-1.25;10.0
+;7;28.25;Achermann Ivan (2005);;15;55.0;7;28.25;0;0.0;10.0
o;5;38.25;Felder Martin;*;10;56.25;6;38.0;1;-0.25;8.5
+;9;46.75;Lüthy Ralph;;14;55.25;9;46.75;0;0.0;10.0

