5212-2022-05-22_112_Zuercher_Kantonales_Schwingfest-ST

1a;Rychen Roger;***;;;;;;;;;58.5
o;1;10.0;Koch Reto;*;10;55.75;4;8.75;3;-1.25;8.5
+;6;18.5;Stadelmann Valentin;;24;35.25;7;18.25;1;-0.25;9.75
o;5;28.25;Riget Florian;**;6;56.75;5;28.25;0;0.0;8.5
-;10;36.75;Ziegler Andreas;;16;54.25;9;37.0;-1;0.25;8.75
o;12;45.5;Nüesch Sandro (2005);;13;55.0;14;45.0;2;-0.5;8.5

17b;Burkhard Tobias;*;;;;;;;;;54.0
-;;;Neff Florian;*;;;;;;;8.75
o;4;8.75;Winzeler Simon;;6;56.75;1;10.0;-3;1.25;8.5
+;10;17.25;Schiess Christian;;13;55.0;7;18.25;-3;1.0;10.0
o;9;27.25;Rotach Lars;*;11;55.5;9;27.25;0;0.0;8.5
o;14;35.75;Rogenmoser Ryan;;13;55.0;11;36.5;-3;0.75;8.5
+;16;44.25;Zumbach Michael;;20;53.0;15;44.5;-1;0.25;9.75

17c;Sieber Marc;;;;;;;;;;54.0
+;;;Stark Walter (2006);;;;;;;;9.75
-;2;9.75;Ochsner Reto;;10;55.75;2;9.75;0;0.0;8.75
+;6;18.5;Wolfer David;;17;54.0;7;18.25;1;-0.25;9.75
o;5;28.25;Koch Reto;*;10;55.75;9;27.25;4;-1.0;8.5
o;10;36.75;Bachmann Janos (2004);;13;55.0;10;36.75;0;0.0;8.5
o;13;45.25;Buff Alwin;;14;54.75;14;45.0;1;-0.25;8.75

17d;Wolfer David;;;;;;;;;;54.0
+;;;Bossert Luc (2006);;;;;;;;9.75
o;2;9.75;Nock Benjamin;*;8;56.25;4;8.75;2;-1.0;8.5
o;7;18.25;Sieber Marc;;17;54.0;6;18.5;-1;0.25;8.5
+;11;26.75;Kiener Tobias;;24;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Spörndli Cyril;;12;55.25;10;36.75;0;0.0;8.75
o;12;45.5;Stauffacher Martin;;12;55.25;12;45.5;0;0.0;8.5

17e;Müller Jano (2005);;;;;;;;;;54.0
+;;;Buff Alwin;;;;;;;;10.0
o;1;10.0;Ackermann Rico;*;13;55.0;5;8.5;4;-1.5;8.5
+;6;18.5;Lüönd Remo;;16;54.25;6;18.5;0;0.0;10.0
o;4;28.5;Loup Alexandre;*;6;56.75;5;28.25;1;-0.25;8.5
o;9;37.0;Schwyn Patrick;;10;55.75;9;37.0;0;0.0;8.5
o;12;45.5;Peter Philipp;;11;55.5;12;45.5;0;0.0;8.5

17f;Pallaoro Luca;;;;;;;;;;54.0
o;;;Schild Cornel (2004);;;;;;;;8.5
o;5;8.5;Jäger Mathias (2006);;23;35.5;5;8.5;0;0.0;8.5
-;11;17.0;Magani Flurin;;26;34.5;10;17.25;-1;0.25;8.75
+;14;25.75;Schmid Simon (2006);;28;34.0;15;25.5;1;-0.25;10.0
o;14;35.75;Büchler Livio;;12;55.25;14;35.75;0;0.0;8.5
+;16;44.25;Müller Fabian;;21;52.75;16;44.25;0;0.0;9.75

18a;Bachmann Oliver (2004);;;;;;;;;;53.75
o;;;Schiess Christian;;;;;;;;8.5
+;5;8.5;Baumann Christian (2004);;28;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Lacher Tobias (2005);;12;55.25;7;18.25;0;0.0;8.75
+;10;27.0;Rhyner Beni;;23;35.5;10;27.0;0;0.0;9.75
o;10;36.75;Koller Silvan;*;11;55.5;14;35.75;4;-1.0;8.5
o;13;45.25;Kundert Elias (2005);;11;55.5;12;45.5;-1;0.25;8.5

18b;Reichmuth Beat;;;;;;;;;;53.75
+;;;Schmid Gian;;;;;;;;9.75
o;2;9.75;Wittenwiler Roman;*;13;55.0;3;9.0;1;-0.75;8.5
+;7;18.25;Gaccioli Benjamin;;24;35.25;7;18.25;0;0.0;9.75
o;6;28.0;Neff Florian;*;16;54.25;10;27.0;4;-1.0;8.5
o;11;36.5;Brunner Dominik (2004);;11;55.5;13;36.0;2;-0.5;8.75
o;13;45.25;Büchler Livio;;12;55.25;12;45.5;-1;0.25;8.5

19a;Furrer Damian;;;;;;;;;;53.5
o;;;Imhof Gregor;;;;;;;;8.5
o;5;8.5;Tschudi Mario;;15;54.5;5;8.5;0;0.0;8.5
+;11;17.0;Stark Walter (2006);;24;35.25;11;17.0;0;0.0;9.75
+;11;26.75;Falch Urs;;24;35.25;11;26.75;0;0.0;9.75
o;11;36.5;Peter Philipp;;11;55.5;14;35.75;3;-0.75;8.5
o;14;45.0;Schmidlin Tobias;*;14;54.75;14;45.0;0;0.0;8.5

19b;Biser Niklaus;;;;;;;;;;53.5
-;;;Brunner Dominik (2004);;;;;;;;9.0
o;3;9.0;Bürge Gian (2005);;23;35.5;5;8.5;2;-0.5;8.5
+;9;17.5;Baumann Joshua (2006);;28;34.0;11;17.0;2;-0.5;10.0
o;8;27.5;Schläpfer Matthias;*;23;35.5;14;25.75;6;-1.75;8.75
o;12;36.25;Bösch Mario (2006);;14;54.75;11;36.5;-1;0.25;8.75
o;14;45.0;Fallegger Marc;;13;55.0;13;45.25;-1;0.25;8.5

19c;Danner Daniel;;;;;;;;;;53.5
+;;;Baumann Joshua (2006);;;;;;;;9.75
o;2;9.75;Schudel Simon;*;15;54.5;5;8.5;3;-1.25;8.5
o;7;18.25;Gasenzer Christian (2004);;14;54.75;7;18.25;0;0.0;8.5
+;11;26.75;Siegenthaler Joël;;24;35.25;11;26.75;0;0.0;9.75
o;11;36.5;Vollenweider Loïc (2004);;14;54.75;12;36.25;1;-0.25;8.5
o;14;45.0;Schiess Christian;;13;55.0;13;45.25;-1;0.25;8.5

19d;Eichhorn Alexander;;;;;;;;;;53.5
o;;;Zollinger Silvan (2004);;;;;;;;8.5
o;5;8.5;Stauffacher Martin;;12;55.25;4;8.75;-1;0.25;8.5
+;11;17.0;Baumann Christian (2004);;28;34.0;11;17.0;0;0.0;9.75
+;11;26.75;Grimm Michael;;24;35.25;11;26.75;0;0.0;9.75
o;11;36.5;Blaser Niklas;*;15;54.5;14;35.75;3;-0.75;8.5
o;14;45.0;Gasenzer Christian (2004);;14;54.75;14;45.0;0;0.0;8.5

20a;Zumbach Michael;;;;;;;;;;53.0
+;;;Bakr Deliar (2006);;;;;;;;10.0
-;1;10.0;Büchler Livio;;12;55.25;1;10.0;0;0.0;8.75
o;5;18.75;Lehmann Philipp;*;6;56.75;6;18.5;1;-0.25;8.5
o;9;27.25;Anliker Andri;;9;56.0;8;27.5;-1;0.25;8.75
o;13;36.0;Schild Cornel (2004);;14;54.75;13;36.0;0;0.0;8.5
o;15;44.5;Burkhard Tobias;*;17;54.0;16;44.25;1;-0.25;8.5

21a;Straub Paul;;;;;;;;;;52.75
+;;;Mathys Stefan (2005);;;;;;;;10.0
o;1;10.0;Arztmann Beda;**;5;57.0;4;8.75;3;-1.25;8.5
o;6;18.5;Hänni Marc;;14;54.75;6;18.5;0;0.0;8.75
o;9;27.25;Good Marco;**;10;55.75;9;27.25;0;0.0;8.5
o;14;35.75;Loup Grégoire;;13;55.0;11;36.5;-3;0.75;8.5
o;16;44.25;Tschudi Mario;;15;54.5;15;44.5;-1;0.25;8.5

21b;Müller Fabian;;;;;;;;;;52.75
o;;;Buchmann Michael;;;;;;;;8.5
-;5;8.5;Faraj Daniel;;27;34.25;5;8.5;0;0.0;8.75
+;10;17.25;Rüst Thomas;;27;34.25;10;17.25;0;0.0;10.0
o;9;27.25;Wettstein Daniel;*;15;54.5;13;26.0;4;-1.25;8.5
o;14;35.75;Affentranger Martin;;16;54.25;14;35.75;0;0.0;8.5
o;16;44.25;Pallaoro Luca;;17;54.0;16;44.25;0;0.0;8.5

21c;Giger Lorenz;;;;;;;;;;52.75
-;;;Anliker Nino (2005);;;;;;;;8.75
+;4;8.75;Siegenthaler Joël;;24;35.25;5;8.5;1;-0.25;10.0
o;5;18.75;Schmidlin Tobias;*;14;54.75;9;17.5;4;-1.25;8.5
o;9;27.25;Kolb Kilian (2005);;15;54.5;9;27.25;0;0.0;8.5
o;14;35.75;Buchmann Michael;;14;54.75;13;36.0;-1;0.25;8.5
o;16;44.25;Stadelmann Patrick;;16;54.25;16;44.25;0;0.0;8.5

22a;Riget Tobias;**;;;;;;;;;46.0
-;;;Burkhalter Stefan;***;;;;;;;8.75
-;4;8.75;Kolb Kilian (2005);;15;54.5;1;10.0;-3;1.25;8.75
+;9;17.5;Keller Dominic;;10;55.75;5;18.75;-4;1.25;10.0
+;8;27.5;Koller Silvan;*;11;55.5;9;27.25;1;-0.25;10.0
o;7;37.5;Roth Martin;***;7;56.5;10;36.75;3;-0.75;8.5

23a;Höpli Remo;;;;;;;;;;35.5
o;;;Hänni Marc;;;;;;;;8.5
o;5;8.5;Kiener Raphael;;16;54.25;4;8.75;-1;0.25;8.5
+;11;17.0;Morf Kilian;;23;35.5;10;17.25;-1;0.25;10.0
o;10;27.0;Fuster Arjuna;;16;54.25;10;27.0;0;0.0;8.5

23b;Zollinger Silvan (2004);;;;;;;;;;35.5
+;;;Eichhorn Alexander;;;;;;;;10.0
o;1;10.0;Giger Florian;;12;55.25;1;10.0;0;0.0;8.5
o;6;18.5;Kuster Thomas;**;11;55.5;10;17.25;4;-1.25;8.5
o;10;27.0;Elmer Adrian;*;8;56.25;11;26.75;1;-0.25;8.5

23c;Bernhardsgrütter Stefan (2005);;;;;;;;;;35.5
o;;;Spörndli Cyril;;;;;;;;8.5
o;5;8.5;Bossert Luc (2006);;23;35.5;5;8.5;0;0.0;8.75
+;10;17.25;Frei Felix;;26;34.5;11;17.0;1;-0.25;9.75
o;10;27.0;Bürgler Patrick;*;12;55.25;11;26.75;1;-0.25;8.5

23d;Morf Kilian;;;;;;;;;;35.5
o;;;Ochsner Reto;;;;;;;;8.5
-;5;8.5;Scherrer Pascal;;23;35.5;5;8.5;0;0.0;8.75
o;10;17.25;Höpli Remo;;23;35.5;11;17.0;1;-0.25;8.5
+;14;25.75;Faraj Daniel;;27;34.25;14;25.75;0;0.0;9.75

23e;Schmid Gian;;;;;;;;;;35.5
o;;;Reichmuth Beat;;;;;;;;8.5
+;5;8.5;Mathys Stefan (2005);;24;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Koch Thomas;*;6;56.75;7;18.25;1;-0.25;8.5
o;10;27.0;Kundert Elias (2005);;11;55.5;10;27.0;0;0.0;8.5

23f;Zürcher Fabrice (2006);;;;;;;;;;35.5
o;;;Nüesch Sandro (2005);;;;;;;;8.5
o;5;8.5;Stadelmann Valentin;;24;35.25;5;8.5;0;0.0;8.5
+;11;17.0;Schmid Simon (2006);;28;34.0;11;17.0;0;0.0;10.0
o;10;27.0;Lüönd Remo;;16;54.25;10;27.0;0;0.0;8.5

23g;Jäger Mathias (2006);;;;;;;;;;35.5
o;;;Fuster Arjuna;;;;;;;;8.5
+;5;8.5;Pallaoro Luca;;17;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Bieri Christian;**;11;55.5;10;17.25;4;-1.25;8.5
o;10;27.0;Zollinger Philipp (2004);;16;54.25;9;27.25;-1;0.25;8.5

23h;Arnold Lukas;;;;;;;;;;35.5
o;;;Bösch Mario (2006);;;;;;;;8.5
+;5;8.5;Schmid Simon (2006);;28;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Schwyn Adrian;*;12;55.25;7;18.25;1;-0.25;8.5
o;10;27.0;Ochsner Reto;;10;55.75;9;27.25;-1;0.25;8.5

23i;Bossert Luc (2006);;;;;;;;;;35.5
o;;;Wolfer David;;;;;;;;8.5
+;5;8.5;Bernhardsgrütter Stefan (2005);;23;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Buff Alwin;;14;54.75;7;18.25;1;-0.25;8.5
o;10;27.0;Stauffacher Martin;;12;55.25;10;27.0;0;0.0;8.5

23j;Rhyner Beni;;;;;;;;;;35.5
o;;;Loup Grégoire;;;;;;;;8.5
-;5;8.5;Rogenmoser Ryan;;13;55.0;3;9.0;-2;0.5;8.75
+;10;17.25;Mathys Stefan (2005);;24;35.25;11;17.0;1;-0.25;9.75
o;10;27.0;Bachmann Oliver (2004);;18;53.75;10;27.0;0;0.0;8.5

23k;Küchler Severin;;;;;;;;;;35.5
+;;;Scherrer Pascal;;;;;;;;10.0
o;1;10.0;Schwyn Patrick;;10;55.75;1;10.0;0;0.0;8.5
o;6;18.5;Schudel Simon;*;15;54.5;6;18.5;0;0.0;8.5
o;10;27.0;Schiess Christian;;13;55.0;11;26.75;1;-0.25;8.5

23l;Scherrer Pascal;;;;;;;;;;35.5
o;;;Küchler Severin;;;;;;;;8.5
-;5;8.5;Morf Kilian;;23;35.5;5;8.5;0;0.0;8.75
o;10;17.25;Rogenmoser Ryan;;13;55.0;8;17.75;-2;0.5;8.5
+;14;25.75;Rüst Thomas;;27;34.25;14;25.75;0;0.0;9.75

23m;Bürge Gian (2005);;;;;;;;;;35.5
o;;;Büchler Livio;;;;;;;;8.5
+;5;8.5;Biser Niklaus;;19;53.5;3;9.0;-2;0.5;10.0
o;6;18.5;Elmer Adrian;*;8;56.25;11;17.0;5;-1.5;8.5
o;10;27.0;Fallegger Marc;;13;55.0;10;27.0;0;0.0;8.5

23n;Schläpfer Matthias;*;;;;;;;;;35.5
o;;;Koller Fabian;*;;;;;;;8.5
o;5;8.5;Bucher Roman;;9;56.0;1;10.0;-4;1.5;8.5
-;11;17.0;Fuster Arjuna;;16;54.25;7;18.25;-4;1.25;8.75
+;14;25.75;Biser Niklaus;;19;53.5;8;27.5;-6;1.75;9.75

24a;Grimm Michael;;;;;;;;;;35.25
o;;;Kiser Aron;;;;;;;;8.5
o;5;8.5;Fallegger Marc;;13;55.0;4;8.75;-1;0.25;8.5
+;11;17.0;Rickenmann Ramon;;27;34.25;11;17.0;0;0.0;9.75
o;11;26.75;Eichhorn Alexander;;19;53.5;11;26.75;0;0.0;8.5

24b;Bakr Deliar (2006);;;;;;;;;;35.25
o;;;Zumbach Michael;;;;;;;;8.5
+;5;8.5;Rüst Thomas;;27;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Lenherr Cédric;*;12;55.25;11;17.0;4;-1.25;8.5
o;11;26.75;Anliker Nino (2005);;11;55.5;10;27.0;-1;0.25;8.5

24c;Stadelmann Valentin;;;;;;;;;;35.25
o;;;Kammermann Dominik;;;;;;;;8.5
+;5;8.5;Zürcher Fabrice (2006);;23;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Odermatt Michi;;17;54.0;6;18.5;-1;0.25;8.5
o;11;26.75;Bösch Mario (2006);;14;54.75;11;26.75;0;0.0;8.5

24d;Kiener Tobias;;;;;;;;;;35.25
o;;;Kolb Kilian (2005);;;;;;;;8.5
+;5;8.5;Magani Flurin;;26;34.5;4;8.75;-1;0.25;9.75
o;7;18.25;Neff Florian;*;16;54.25;10;17.25;3;-1.0;8.5
o;11;26.75;Wolfer David;;17;54.0;11;26.75;0;0.0;8.5

24e;Siegenthaler Joël;;;;;;;;;;35.25
o;;;Ziegler Andreas;;;;;;;;8.5
o;5;8.5;Giger Lorenz;;21;52.75;4;8.75;-1;0.25;8.5
+;11;17.0;Käppeli Remo;;27;34.25;11;17.0;0;0.0;9.75
o;11;26.75;Danner Daniel;;19;53.5;11;26.75;0;0.0;8.5

24f;Mathys Stefan (2005);;;;;;;;;;35.25
o;;;Straub Paul;;;;;;;;8.5
o;5;8.5;Schmid Gian;;23;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Rhyner Beni;;23;35.5;10;17.25;-1;0.25;8.5
+;15;25.5;Baumann Joshua (2006);;28;34.0;15;25.5;0;0.0;9.75

24g;Gaccioli Benjamin;;;;;;;;;;35.25
+;;;Baumann Christian (2004);;;;;;;;9.75
o;2;9.75;Leuppi Karim;*;15;54.5;5;8.5;3;-1.25;8.5
o;7;18.25;Reichmuth Beat;;18;53.75;7;18.25;0;0.0;8.5
o;11;26.75;Affentranger Martin;;16;54.25;14;25.75;3;-1.0;8.5

24h;Falch Urs;;;;;;;;;;35.25
o;;;Schwyn Patrick;;;;;;;;8.5
o;5;8.5;Zollinger Philipp (2004);;16;54.25;4;8.75;-1;0.25;8.5
+;11;17.0;Waldmeier Marco (2005);;26;34.5;11;17.0;0;0.0;9.75
o;11;26.75;Furrer Damian;;19;53.5;11;26.75;0;0.0;8.5

24i;Stark Walter (2006);;;;;;;;;;35.25
o;;;Sieber Marc;;;;;;;;8.5
o;5;8.5;Kühne Cyrill (2004);;16;54.25;5;8.5;0;0.0;8.5
o;11;17.0;Furrer Damian;;19;53.5;11;17.0;0;0.0;8.5
+;15;25.5;Baumann Christian (2004);;28;34.0;15;25.5;0;0.0;9.75

25a;Heierli Pascal;**;;;;;;;;;35.0
o;;;Dändliker Shane;**;;;;;;;8.5
o;5;8.5;Schiesser Patrik;*;15;54.5;5;8.5;0;0.0;8.75
-;10;17.25;Kiener Raphael;;16;54.25;5;18.75;-5;1.5;9.0
-;12;26.25;Rogenmoser Ryan;;13;55.0;7;27.75;-5;1.5;8.75

26a;Magani Flurin;;;;;;;;;;34.5
-;;;Affentranger Martin;;;;;;;;8.75
o;4;8.75;Kiener Tobias;;24;35.25;5;8.5;1;-0.25;8.5
-;10;17.25;Pallaoro Luca;;17;54.0;11;17.0;1;-0.25;8.75
o;13;26.0;Spörndli Cyril;;12;55.25;11;26.75;-2;0.75;8.5

26b;Frei Felix;;;;;;;;;;34.5
o;;;Lüönd Remo;;;;;;;;8.5
o;5;8.5;Gasenzer Christian (2004);;14;54.75;5;8.5;0;0.0;8.5
o;11;17.0;Bernhardsgrütter Stefan (2005);;23;35.5;10;17.25;-1;0.25;8.5
-;15;25.5;Waldmeier Marco (2005);;26;34.5;15;25.5;0;0.0;9.0

26c;Waldmeier Marco (2005);;;;;;;;;;34.5
o;;;Winzeler Simon;;;;;;;;8.5
o;5;8.5;Lacher Tobias (2005);;12;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Falch Urs;;24;35.25;11;17.0;0;0.0;8.5
-;15;25.5;Frei Felix;;26;34.5;15;25.5;0;0.0;9.0

27a;Faraj Daniel;;;;;;;;;;34.25
o;;;Keller Dominic;;;;;;;;8.5
-;5;8.5;Müller Fabian;;21;52.75;5;8.5;0;0.0;8.75
o;10;17.25;Peter Philipp;;11;55.5;10;17.25;0;0.0;8.5
o;14;25.75;Morf Kilian;;23;35.5;14;25.75;0;0.0;8.5

27b;Rüst Thomas;;;;;;;;;;34.25
o;;;Giger Florian;;;;;;;;8.5
o;5;8.5;Bakr Deliar (2006);;24;35.25;5;8.5;0;0.0;8.75
o;10;17.25;Müller Fabian;;21;52.75;10;17.25;0;0.0;8.5
o;14;25.75;Scherrer Pascal;;23;35.5;14;25.75;0;0.0;8.5

27c;Käppeli Remo;;;;;;;;;;34.25
o;;;Feldmann Patrik (2005);;;;;;;;8.5
o;5;8.5;Brunner Dominik (2004);;11;55.5;3;9.0;-2;0.5;8.5
o;11;17.0;Siegenthaler Joël;;24;35.25;11;17.0;0;0.0;8.5
-;15;25.5;Rickenmann Ramon;;27;34.25;15;25.5;0;0.0;8.75

27d;Rickenmann Ramon;;;;;;;;;;34.25
o;;;Odermatt Michi;;;;;;;;8.5
o;5;8.5;Buff Alwin;;14;54.75;5;8.5;0;0.0;8.5
o;11;17.0;Grimm Michael;;24;35.25;11;17.0;0;0.0;8.5
-;15;25.5;Käppeli Remo;;27;34.25;15;25.5;0;0.0;8.75

28a;Schmid Simon (2006);;;;;;;;;;34.0
o;;;Vollenweider Loïc (2004);;;;;;;;8.5
o;5;8.5;Arnold Lukas;;23;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Zürcher Fabrice (2006);;23;35.5;11;17.0;0;0.0;8.5
o;15;25.5;Pallaoro Luca;;17;54.0;14;25.75;-1;0.25;8.5

28b;Baumann Christian (2004);;;;;;;;;;34.0
o;;;Gaccioli Benjamin;;;;;;;;8.5
o;5;8.5;Bachmann Oliver (2004);;18;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Eichhorn Alexander;;19;53.5;11;17.0;0;0.0;8.5
o;15;25.5;Stark Walter (2006);;24;35.25;15;25.5;0;0.0;8.5

28c;Baumann Joshua (2006);;;;;;;;;;34.0
o;;;Danner Daniel;;;;;;;;8.5
o;5;8.5;Anliker Andri;;9;56.0;3;9.0;-2;0.5;8.5
o;11;17.0;Biser Niklaus;;19;53.5;9;17.5;-2;0.5;8.5
o;15;25.5;Mathys Stefan (2005);;24;35.25;15;25.5;0;0.0;8.5

29a;Mösli Marcel;;;;;;;;;;27.0
-;;;Kiener Raphael;;;;;;;;8.75
+;4;8.75;Affentranger Martin;;16;54.25;4;8.75;0;0.0;9.75
o;6;18.5;Dumelin David;**;11;55.5;7;18.25;1;-0.25;8.5

30a;Büsser André;*;;;;;;;;;8.5
o;;;Bickel Roman;*;;;;;;;8.5

