3125-2015-08-09_Schaffhauser_Kantonalschwingfest-ST

-;6;47.0;Vollenweider Jeremy (1998);*;8;55.75;7;46.75;1;-0.25;9.0

7c;Frauchiger Remo;;;;;;;;;;56.0
-;;;Schrepfer Roy;;;;;;;;9.0
o;3;9.0;Pfister Florian;;3;57.0;2;9.75;-1;0.75;8.5
+;9;17.5;De Quervain Marc;;25;34.25;10;17.25;1;-0.25;10.0
o;10;27.5;Streuli Martin;*;12;54.75;10;27.5;0;0.0;8.5
+;12;36.0;Elmer Daniel;*;13;54.5;13;35.75;1;-0.25;10.0
+;10;46.0;Hodler Mathias;;14;54.25;11;45.75;1;-0.25;10.0

7d;Schläpfer Markus;**;;;;;;;;;56.0
+;;;Schnurrenberger Roman;**;;;;;;;9.75
+;2;9.75;Kamer Hanspeter;*;9;55.5;1;10.0;-1;0.25;10.0
-;2;19.75;Burkhalter Stefan;***;2;57.5;1;20.0;-1;0.25;8.75
-;6;28.5;Bernold Christian;*;3;57.0;4;29.0;-2;0.5;9.0
o;6;37.5;Pfister Florian;;3;57.0;3;38.25;-3;0.75;8.5
+;10;46.0;Streuli Martin;*;12;54.75;9;46.25;-1;0.25;10.0

8a;Geisser Lars;*;;;;;;;;;55.75
+;;;Nägeli Roman;*;;;;;;;10.0
-;1;10.0;Leuppi Samir;**;3;57.0;4;8.75;3;-1.25;8.75
+;5;18.75;Wettstein Daniel;;8;55.75;2;19.75;-3;1.0;9.75
-;6;28.5;Steiner Michael;**;8;55.75;7;28.25;1;-0.25;9.0
+;6;37.5;Kuster Marcel;**;15;54.0;8;37.0;2;-0.5;9.75
o;5;47.25;Korrodi Paul;*;5;56.5;8;46.5;3;-0.75;8.5

8b;Steiner Michael;**;;;;;;;;;55.75
-;;;Knechtle Martin;**;;;;;;;8.75
+;4;8.75;Breitenmoser Manuel;;18;53.25;1;10.0;-3;1.25;9.75
+;6;18.5;Alder Armin;;15;54.0;2;19.75;-4;1.25;9.75
-;7;28.25;Geisser Lars;*;8;55.75;6;28.5;-1;0.25;9.0
o;7;37.25;Bösch Roman;**;5;56.5;4;38.0;-3;0.75;8.75
+;10;46.0;Junker Nik;;13;54.5;10;46.0;0;0.0;9.75

8c;Krähenbühl Lukas;*;;;;;;;;;55.75
o;;;Inauen Andreas;*;;;;;;;8.75
+;4;8.75;Bleiker Reto;*;15;54.0;5;8.5;1;-0.25;9.75
+;6;18.5;Nigg Lukas;**;13;54.5;6;18.5;0;0.0;9.75
+;7;28.25;Schrepfer Roy;;12;54.75;9;27.75;2;-0.5;10.0
-;3;38.25;Riget Tobias;**;3;57.0;3;38.25;0;0.0;8.75
o;6;47.0;Bernold Christian;*;3;57.0;6;47.0;0;0.0;8.75

8d;Vollenweider Jeremy (1998);*;;;;;;;;;55.75
+;;;Burkhard Patrick;*;;;;;;;9.75
-;2;9.75;Fausch Kjetil;;10;55.25;1;10.0;-1;0.25;8.75
+;6;18.5;Buchmann Michael;;15;54.0;7;18.25;1;-0.25;10.0
o;6;28.5;Kamer Hanspeter;*;9;55.5;6;28.5;0;0.0;8.5
+;8;37.0;Gundolf Samuel;;15;54.0;8;37.0;0;0.0;9.75
-;7;46.75;Hofstetter Manuel;*;7;56.0;6;47.0;-1;0.25;9.0

8e;Wettstein Daniel;;;;;;;;;;55.75
+;;;Bernold Michael (1999);;;;;;;;9.75
+;2;9.75;Ritzmann Bernhard;;28;26.75;2;9.75;0;0.0;10.0
o;2;19.75;Geisser Lars;*;8;55.75;5;18.75;3;-1.0;8.5
-;7;28.25;Rüegg Roman;*;12;54.75;11;27.25;4;-1.0;8.75
o;8;37.0;Landolt Reto;*;9;55.5;7;37.25;-1;0.25;8.75
+;11;45.75;Schwyn Adrian;;14;54.25;11;45.75;0;0.0;10.0

8f;Koch Reto;;;;;;;;;;55.75
o;;;Pfister Florian;;;;;;;;8.5
+;5;8.5;Candrian Gian-Luca (1998);;25;34.25;4;8.75;-1;0.25;10.0
+;6;18.5;Ammann Rico;*;14;54.25;9;17.5;3;-1.0;10.0
o;6;28.5;Riget Tobias;**;3;57.0;7;28.25;1;-0.25;8.5
o;8;37.0;Korrodi Paul;*;5;56.5;9;36.75;1;-0.25;8.75
+;11;45.75;Frei Hanspeter (1999);;15;54.0;12;45.5;1;-0.25;10.0

9a;Vestner Bruno;*;;;;;;;;;55.5
-;;;Vogel Beat;*;;;;;;;8.75
-;4;8.75;Streuli Martin;*;12;54.75;4;8.75;0;0.0;8.75
+;9;17.5;Kunz Daniel;;14;54.25;6;18.5;-3;1.0;9.75
+;11;27.25;Koller Fabian;;16;53.75;12;27.0;1;-0.25;9.75
o;8;37.0;Leuppi Samir;**;3;57.0;7;37.25;-1;0.25;8.5
+;12;45.5;Schlumpf Dominik;*;16;53.75;13;45.25;1;-0.25;10.0

9b;Gysel Hansruedi;;;;;;;;;;55.5
-;;;Truniger Manuel;;;;;;;;8.75
+;4;8.75;Bosshard Lukas;;25;34.25;5;8.5;1;-0.25;10.0
o;5;18.75;Hofstetter Manuel;*;7;56.0;10;17.25;5;-1.5;8.5
o;11;27.25;Burkhard Tobias;;14;54.25;11;27.25;0;0.0;8.5
+;13;35.75;Koller Andreas (1998);;21;52.5;14;35.5;1;-0.25;10.0
+;11;45.75;Keller Lukas;;14;54.25;11;45.75;0;0.0;9.75

9c;Landolt Reto;*;;;;;;;;;55.5
-;;;Güntensperger Marcel;*;;;;;;;8.75
+;4;8.75;Hälg Joel (1998);;25;34.25;5;8.5;1;-0.25;9.75
-;6;18.5;Bürgler Patrick;;23;37.0;2;19.75;-4;1.25;8.75
+;11;27.25;Keller Lukas;;14;54.25;11;27.25;0;0.0;10.0
+;7;37.25;Wettstein Daniel;;8;55.75;8;37.0;1;-0.25;9.75
o;6;47.0;Scherer Christian;*;5;56.5;7;46.75;1;-0.25;8.5

9d;Meier Remo;**;;;;;;;;;55.5
o;;;Nigg Lukas;**;;;;;;;8.5
-;5;8.5;Fässler Patrick;;11;55.0;2;9.75;-3;1.25;8.75
+;10;17.25;Lehmann Philipp (1999);;16;53.75;7;18.25;-3;1.0;10.0
+;11;27.25;Hodler Mathias;;14;54.25;10;27.5;-1;0.25;10.0
o;7;37.25;Bühler Ernst;**;6;56.25;5;37.75;-2;0.5;8.5
+;11;45.75;Riget Ivan;*;14;54.25;11;45.75;0;0.0;9.75

9e;Berger Roman;;;;;;;;;;55.5
o;;;Kammermann Dominik;;;;;;;;8.5
+;5;8.5;Rhyner Beni (1999);;26;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Ritzmann Bernhard;;28;26.75;7;18.25;1;-0.25;9.75
+;7;28.25;Holenstein Christian;*;9;55.5;6;28.5;-1;0.25;10.0
o;3;38.25;Vögeli Sven;*;4;56.75;3;38.25;0;0.0;8.5
o;7;46.75;Manser Bruno;*;6;56.25;9;46.25;2;-0.5;8.75

9f;Burkhard Patrick;*;;;;;;;;;55.5
o;;;Vollenweider Jeremy (1998);*;;;;;;;8.5
o;5;8.5;Roth Lukas;*;9;55.5;4;8.75;-1;0.25;8.75
+;10;17.25;Bernold Michael (1999);;10;55.25;6;18.5;-4;1.25;10.0
o;11;27.25;Manser Bruno;*;6;56.25;11;27.25;0;0.0;8.5
+;13;35.75;Breitenmoser Manuel;;18;53.25;12;36.0;-1;0.25;9.75
+;12;45.5;Kuster Marcel;**;15;54.0;12;45.5;0;0.0;10.0

9g;Roth Lukas;*;;;;;;;;;55.5
-;;;Rüegg Roman;*;;;;;;;8.75
+;4;8.75;Burkhard Patrick;*;9;55.5;5;8.5;1;-0.25;9.75
o;6;18.5;Ueltschi Patric;;5;56.5;6;18.5;0;0.0;8.5
+;12;27.0;Schlumpf Dominik;*;16;53.75;12;27.0;0;0.0;10.0
+;8;37.0;Rütsche Werner;;10;55.25;9;36.75;1;-0.25;10.0
o;6;47.0;Forrer Arnold;***;2;57.5;4;47.5;-2;0.5;8.5

9h;Holenstein Christian;*;;;;;;;;;55.5
+;;;Odermatt Christoph;*;;;;;;;9.75
+;2;9.75;Roth Martin;*;11;55.0;3;9.0;1;-0.75;10.0
-;2;19.75;Straub Robin;*;5;56.5;3;19.5;1;-0.25;8.75
o;6;28.5;Berger Roman;;9;55.5;7;28.25;1;-0.25;8.5
