3860-2017-05-21_98_Luzerner_Kantonalschwingfest-ST

1a;Nötzli Bruno;***;;;;;;;;;58.5
+;4;28.5;Elmiger Andreas;;16;54.25;3;28.75;-1;0.25;9.75
+;4;38.25;Lang Sven;*;7;56.5;4;38.25;0;0.0;9.75
o;2;48.0;Käser Remo;***;4;57.25;5;47.25;3;-0.75;8.75

7a;Lang Sven;*;;;;;;;;;56.5
+;;;Huber Alex;*;;;;;;;9.75
+;2;9.75;Fallegger Joel;;14;54.75;2;9.75;0;0.0;10.0
o;2;19.75;Ulrich Andreas;***;5;57.0;5;18.75;3;-1.0;8.5
+;5;28.25;Portmann Roger;;12;55.25;4;28.5;-1;0.25;10.0
o;4;38.25;Portmann Josef;*;6;56.75;4;38.25;0;0.0;8.5
+;7;46.75;Effinger Peter;;11;55.5;6;47.0;-1;0.25;9.75

7b;Dober Adrian;**;;;;;;;;;56.5
o;;;Kälin Roland;**;;;;;;;8.5
+;5;8.5;Fessler Linus;*;11;55.5;4;8.75;-1;0.25;9.75
+;7;18.25;Suter Pirmin;;16;54.25;5;18.75;-2;0.5;9.75
+;6;28.0;Hurschler Mauri (1999);;18;53.75;5;28.25;-1;0.25;10.0
o;5;38.0;Ulrich Andreas;***;5;57.0;8;37.25;3;-0.75;8.5
+;8;46.5;Steiner Severin (2001);;15;54.5;10;46.0;2;-0.5;10.0

7c;Zurfluh Roman;*;;;;;;;;;56.5
+;;;Briker Michael;*;;;;;;;10.0
-;1;10.0;Fankhauser Erich;***;4;57.25;4;8.75;3;-1.25;8.75
-;5;18.75;Thierstein Marco;;8;56.25;1;20.0;-4;1.25;9.0
+;7;27.75;Durrer Nando (1999);;13;55.0;5;28.25;-2;0.5;10.0
-;6;37.75;Zimmermann Martin;**;8;56.25;7;37.5;1;-0.25;9.0
+;7;46.75;Wüest David (2000);;15;54.5;10;46.0;3;-0.75;9.75

7d;Gerber Peter;;;;;;;;;;56.5
+;;;Bissig Fabian;;;;;;;;9.75
o;2;9.75;Ettlin Stefan;*;13;55.0;3;9.0;1;-0.75;8.5
