3860-2017-05-21_98_Luzerner_Kantonalschwingfest-ST

1a;Nötzli Bruno;***;;;;;;;;;58.5
o;6;18.5;Wicki Kevin;;12;55.25;7;18.25;1;-0.25;8.5
+;10;27.0;Theiler Thomas;;25;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Schürpf Bruno;;11;55.5;9;37.0;0;0.0;8.75
o;11;45.75;Scheuber Lutz;**;10;55.75;11;45.75;0;0.0;8.5

16q;Wicki David;;;;;;;;;;54.25
-;;;Schuler Daniel;;;;;;;;8.75
o;4;8.75;Steiner Severin (2001);;15;54.5;5;8.5;1;-0.25;8.5
+;10;17.25;Marti Pirmin (2001);;26;35.25;7;18.25;-3;1.0;10.0
o;9;27.25;Hegner Ueli (1999);*;13;55.0;11;26.75;2;-0.5;8.5
o;14;35.75;Reichmuth Roland;;10;55.75;13;36.0;-1;0.25;8.5
+;17;44.25;Wyrsch Hansi (1999);;21;53.0;16;44.5;-1;0.25;10.0

16r;Suter Pirmin;;;;;;;;;;54.25
-;;;Bussmann Martin;;;;;;;;8.75
+;4;8.75;Graber Silvan (1999);;25;35.5;5;8.5;1;-0.25;10.0
o;5;18.75;Dober Adrian;**;7;56.5;7;18.25;2;-0.5;8.5
o;9;27.25;Wyrsch Silvio;;8;56.25;8;27.5;-1;0.25;8.5
+;14;35.75;Arnold Adrian (2001);;22;52.75;14;35.75;0;0.0;10.0
o;11;45.75;Gmür Pirmin;*;11;55.5;11;45.75;0;0.0;8.5

16s;Scheuber Stefan;;;;;;;;;;54.25
-;;;Achermann Daniel;;;;;;;;8.75
+;4;8.75;Wyrsch Fabian (2001);;29;34.5;5;8.5;1;-0.25;10.0
o;5;18.75;Hasler Florian;**;12;55.25;7;18.25;2;-0.5;8.5
o;9;27.25;Wetzstein Adrian;;17;54.0;10;27.0;1;-0.25;8.5
o;14;35.75;Ming Christian 2;;11;55.5;14;35.75;0;0.0;8.5
+;17;44.25;Ulrich Damian (1999);;20;53.25;15;44.75;-2;0.5;10.0

17a;Schnider Simon (2001);;;;;;;;;;54.0
o;;;Kurmann Jvo;;;;;;;;8.5
+;5;8.5;Achermann Daniel;;15;54.5;4;8.75;-1;0.25;10.0
o;6;18.5;Gerber Peter;;7;56.5;7;18.25;1;-0.25;8.5
o;10;27.0;Fischer Markus (2000);;18;53.75;10;27.0;0;0.0;8.75
+;14;35.75;Ziegler Moritz;;16;54.25;14;35.75;0;0.0;9.75
o;12;45.5;Blatter Remo (2000);;12;55.25;12;45.5;0;0.0;8.5

17b;Jund Matthias (1999);;;;;;;;;;54.0
+;;;von Deschwanden Patrick;;;;;;;;9.75
o;2;9.75;Müller Michael;**;2;57.75;1;10.0;-1;0.25;8.5
+;7;18.25;Aregger Fabian (2001);;25;35.5;6;18.5;-1;0.25;10.0
o;5;28.25;Egli Damian;**;6;56.75;4;28.5;-1;0.25;8.75
o;9;37.0;Reichmuth Armin;*;11;55.5;9;37.0;0;0.0;8.5
o;12;45.5;Schmid Köbi;;11;55.5;11;45.75;-1;0.25;8.5

17c;Fellmann Roman;*;;;;;;;;;54.0
-;;;Fessler Linus;*;;;;;;;8.75
+;4;8.75;Gassmann Fabian;**;13;55.0;5;8.5;1;-0.25;9.75
+;6;18.5;Muff Reto;;13;55.0;3;19.5;-3;1.0;9.75
-;5;28.25;Scherer Niklaus;;11;55.5;5;28.25;0;0.0;8.75
o;9;37.0;Herger Matthias;**;7;56.5;9;37.0;0;0.0;8.5
o;12;45.5;Bissig Fabian;;10;55.75;11;45.75;-1;0.25;8.5

17d;von Deschwanden Patrick;;;;;;;;;;54.0
o;;;Jund Matthias (1999);;;;;;;;8.5
+;5;8.5;Renggli Remo (2001);;26;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Dissler Philipp;;8;56.25;6;18.5;0;0.0;8.5
+;10;27.0;Kottmann Jonas (2000);;25;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Schärli Lukas;**;15;54.5;13;36.0;4;-1.0;8.5
o;12;45.5;Eiholzer Roy;;12;55.25;12;45.5;0;0.0;8.5

17e;Ulrich Livio (1999);;;;;;;;;;54.0
+;;;Birrer Marcel (2001);;;;;;;;10.0
o;1;10.0;Schürpf Bruno;;11;55.5;2;9.75;1;-0.25;8.75
o;5;18.75;Fallegger Joel;;14;54.75;7;18.25;2;-0.5;8.5
o;9;27.25;Zimmermann Simon;**;17;54.0;10;27.0;1;-0.25;8.5
o;14;35.75;Schuler Daniel;;11;55.5;13;36.0;-1;0.25;8.5
+;17;44.25;Arnold Adrian (2001);;22;52.75;17;44.25;0;0.0;9.75

17f;Portmann Daniel;;;;;;;;;;54.0
+;;;Kennel Roger (1999);;;;;;;;9.75
o;2;9.75;Zimmermann Martin;**;8;56.25;4;8.75;2;-1.0;8.5
+;7;18.25;Troxler Jonas (2000);;12;55.25;6;18.5;-1;0.25;10.0
-;5;28.25;Murer Andy;*;14;54.75;8;27.5;3;-0.75;8.75
o;9;37.0;Hasler Florian;**;12;55.25;9;37.0;0;0.0;8.5
o;12;45.5;Ming Christian 2;;11;55.5;11;45.75;-1;0.25;8.5

17g;Zimmermann Simon;**;;;;;;;;;54.0
o;;;Gloggner Reto;**;;;;;;;8.5
-;5;8.5;Scherer Niklaus;;11;55.5;2;9.75;-3;1.25;8.75
+;10;17.25;Ineichen Stefan;;21;53.0;6;18.5;-4;1.25;9.75
+;10;27.0;Ulrich Livio (1999);;17;54.0;9;27.25;-1;0.25;9.75
o;10;36.75;Thalmann Thomas;*;16;54.25;14;35.75;4;-1.0;8.5
-;13;45.25;Schmidiger Marco;;12;55.25;8;46.5;-5;1.25;8.75

17h;Wetzstein Adrian;;;;;;;;;;54.0
o;;;Ottiger Lukas;;;;;;;;8.5
-;5;8.5;Bieri Elias;;14;54.75;4;8.75;-1;0.25;8.75
+;10;17.25;Burri Timo (2001);;25;35.5;7;18.25;-3;1.0;9.75
+;10;27.0;Scheuber Stefan;;16;54.25;9;27.25;-1;0.25;9.75
-;10;36.75;Fässler Dominic;*;14;54.75;13;36.0;3;-0.75;8.75
o;12;45.5;Zgraggen Fabian;*;11;55.5;11;45.75;-1;0.25;8.5

18a;Fischer Markus (2000);;;;;;;;;;53.75
o;;;Marti Christoph (1999);;;;;;;;8.5
o;5;8.5;Ziegler Elias (1999);;15;54.5;5;8.5;0;0.0;8.5
+;11;17.0;Arnold Adrian (2001);;22;52.75;10;17.25;-1;0.25;10.0
+;10;27.0;Schnider Simon (2001);;17;54.0;10;27.0;0;0.0;9.75
o;10;36.75;Bernet Christoph;*;13;55.0;11;36.5;1;-0.25;8.5
o;13;45.25;Troxler Jonas (2000);;12;55.25;13;45.25;0;0.0;8.5

18b;Weber Roman (1999);;;;;;;;;;53.75
+;;;Peter Lukas (2001);;;;;;;;9.75
o;2;9.75;Küttel Samuel;;11;55.5;4;8.75;2;-1.0;8.5
o;7;18.25;Forster Christian;;20;53.25;10;17.25;3;-1.0;8.5
+;11;26.75;Renggli Remo (2001);;26;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Stöckli Damian;;10;55.75;8;37.25;-2;0.5;8.5
o;13;45.25;Bühler Patrice;;13;55.0;13;45.25;0;0.0;8.5

18c;Erni Mathias;;;;;;;;;;53.75
+;;;Johann Michael (2001);;;;;;;;9.75
o;2;9.75;Thierstein Marco;;8;56.25;1;10.0;-1;0.25;8.5
-;7;18.25;Barmet Sven;;15;54.5;6;18.5;-1;0.25;8.75
+;10;27.0;Fischer Maurus (2001);;25;35.5;10;27.0;0;0.0;9.75
o;10;36.75;Hurschler Adrian;;14;54.75;11;36.5;1;-0.25;8.5
o;13;45.25;Gisler Stefan;;12;55.25;13;45.25;0;0.0;8.5

18d;Scherrer Patrick;;;;;;;;;;53.75
o;;;Lustenberger Josef;;;;;;;;8.5
+;5;8.5;Banz Matthias (2001);;25;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Murer Andy;*;14;54.75;9;17.5;3;-1.0;8.5
+;10;27.0;Widmer Dominik;;25;35.5;10;27.0;0;0.0;9.75
o;10;36.75;Ottiger Lukas;;12;55.25;9;37.0;-1;0.25;8.5
o;13;45.25;Bucher Thomas;;13;55.0;13;45.25;0;0.0;8.5

18e;Odermatt Andreas;;;;;;;;;;53.75
o;;;Durrer Nando (1999);;;;;;;;8.5
+;5;8.5;Käslin Valentin (2000);;27;35.0;4;8.75;-1;0.25;9.75
+;7;18.25;Wyrsch Hansi (1999);;21;53.0;6;18.5;-1;0.25;10.0
o;5;28.25;Ettlin Stefan;*;13;55.0;8;27.5;3;-0.75;8.5
o;10;36.75;Muff Reto;;13;55.0;11;36.5;1;-0.25;8.5
o;13;45.25;Portmann Stefan;;12;55.25;13;45.25;0;0.0;8.5

18f;Hurschler Mauri (1999);;;;;;;;;;53.75
+;;;Fischer Maurus (2001);;;;;;;;9.75
+;2;9.75;Vogel Ivo (2001);;25;35.5;1;10.0;-1;0.25;10.0
o;2;19.75;Lustenberger Josef;;15;54.5;2;19.75;0;0.0;8.5
o;5;28.25;Dober Adrian;**;7;56.5;6;28.0;1;-0.25;8.5
o;10;36.75;Wicki Kevin;;12;55.25;10;36.75;0;0.0;8.5
o;13;45.25;Bühler Kilian (2000);;13;55.0;13;45.25;0;0.0;8.5

18g;Reber Sandro;;;;;;;;;;53.75
-;;;Fellmann Simon;;;;;;;;8.75
o;4;8.75;Bühler Kilian (2000);;13;55.0;5;8.5;1;-0.25;8.75
+;9;17.5;Graber Silvan (1999);;25;35.5;11;17.0;2;-0.5;10.0
o;8;27.5;Briker Michael;*;10;55.75;9;27.25;1;-0.25;8.75
-;12;36.25;Gander Benjamin (2000);;16;54.25;14;35.75;2;-0.5;8.75
o;14;45.0;Zimmermann Reto;;14;54.75;14;45.0;0;0.0;8.75

18h;Müller Remo;;;;;;;;;;53.75
o;;;Müller Mathias;;;;;;;;8.5
o;5;8.5;Baumann Reto;;23;45.25;5;8.5;0;0.0;8.5
+;11;17.0;Gloggner André (2001);;29;34.5;9;17.5;-2;0.5;9.75
+;11;26.75;Rust Sandro (1999);;26;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Murer Andy;*;14;54.75;12;36.25;2;-0.5;8.5
o;13;45.25;Küttel Samuel;;11;55.5;11;45.75;-2;0.5;8.5

18i;Kempf Damian;;;;;;;;;;53.75
o;;;Bühler Patrice;;;;;;;;8.5
+;5;8.5;Benz Simon (2000);;30;34.25;5;8.5;0;0.0;9.75
+;7;18.25;Murpf Dario (1999);;26;35.25;7;18.25;0;0.0;9.75
o;6;28.0;Bürli Roger;**;14;54.75;8;27.5;2;-0.5;8.5
-;11;36.5;Eiholzer Roy;;12;55.25;10;36.75;-1;0.25;8.75
o;13;45.25;Kurmann Jvo;;12;55.25;13;45.25;0;0.0;8.5

18j;Ziegler Manuel;;;;;;;;;;53.75
o;;;Schmid Simon (2000);;;;;;;;8.5
+;5;8.5;Fischer Maurus (2001);;25;35.5;5;8.5;0;0.0;9.75
+;7;18.25;Baumann Reto;;23;45.25;7;18.25;0;0.0;10.0
o;5;28.25;Steinauer Adrian;**;4;57.25;7;27.75;2;-0.5;8.5
o;10;36.75;Rüttimann Daniel;;11;55.5;10;36.75;0;0.0;8.5
o;13;45.25;Bär Leo;;14;54.75;14;45.0;1;-0.25;8.5

19a;Fenk Daniel;;;;;;;;;;53.5
o;;;Schmidiger Marco;;;;;;;;8.5
o;5;8.5;Bussmann Martin;;15;54.5;3;9.0;-2;0.5;8.5
+;11;17.0;Krummenacher Fabian;;29;34.5;10;17.25;-1;0.25;9.75
+;11;26.75;Lampart Valentin (2000);;26;35.25;11;26.75;0;0.0;9.75
o;11;36.5;Fallegger Joel;;14;54.75;11;36.5;0;0.0;8.5
o;14;45.0;Fässler Dominic;*;14;54.75;15;44.75;1;-0.25;8.5

20a;Forster Christian;;;;;;;;;;53.25
-;;;Hodler Mathias;;;;;;;;8.75
o;4;8.75;Grüter Marcel (1999);;25;35.5;5;8.5;1;-0.25;8.5
+;10;17.25;Weber Roman (1999);;18;53.75;7;18.25;-3;1.0;10.0
-;9;27.25;Fellmann Simon;;13;55.0;9;27.25;0;0.0;9.0
o;12;36.25;Stadelmann Simon;*;15;54.5;13;36.0;1;-0.25;8.5
o;15;44.75;Weber Marc (1999);;14;54.75;15;44.75;0;0.0;8.5

20b;Suter Beat;;;;;;;;;;53.25
o;;;Stöckli Damian;;;;;;;;8.5
-;5;8.5;Portmann Roger;;12;55.25;2;9.75;-3;1.25;8.75
+;10;17.25;Egli Matthias (2001);;25;35.5;6;18.5;-4;1.25;9.75
-;10;27.0;Marti Christoph (1999);;20;53.25;10;27.0;0;0.0;9.0
o;13;36.0;Gerber Peter;;7;56.5;10;36.75;-3;0.75;8.5
o;16;44.5;Hirsiger Alexander;;14;54.75;15;44.75;-1;0.25;8.75

20c;Ulrich Damian (1999);;;;;;;;;;53.25
o;;;Zgraggen Peter;;;;;;;;8.5
o;5;8.5;Wyrsch Silvio;;8;56.25;4;8.75;-1;0.25;8.5
-;11;17.0;Lustenberger David (2000);;27;35.0;10;17.25;-1;0.25;8.75
+;14;25.75;Peter Lukas (2001);;31;34.0;15;25.5;1;-0.25;10.0
-;14;35.75;Weber Marc (1999);;14;54.75;14;35.75;0;0.0;9.0
o;15;44.75;Scheuber Stefan;;16;54.25;17;44.25;2;-0.5;8.5

20d;Krummenacher Roman;;;;;;;;;;53.25
-;;;Schwyzer Samuel (2001);;;;;;;;8.75
-;4;8.75;Fischer Tobias;;16;54.25;5;8.5;1;-0.25;8.75
+;9;17.5;Peter Lukas (2001);;31;34.0;11;17.0;2;-0.5;10.0
o;8;27.5;Reichmuth Marco;**;5;57.0;9;27.25;1;-0.25;8.5
o;13;36.0;Ulrich Pascal (1999);;14;54.75;13;36.0;0;0.0;8.75
o;15;44.75;Wyss Sven (2001);;14;54.75;15;44.75;0;0.0;8.5

20e;Marti Christoph (1999);;;;;;;;;;53.25
+;;;Fischer Markus (2000);;;;;;;;9.75
-;2;9.75;Ming Christian 2;;11;55.5;5;8.5;3;-1.25;8.75
o;6;18.5;Betschart Patrick (1999);*;15;54.5;10;17.25;4;-1.25;8.5
-;10;27.0;Suter Beat;;20;53.25;10;27.0;0;0.0;9.0
-;13;36.0;Portmann Stefan;;12;55.25;11;36.5;-2;0.5;8.75
o;15;44.75;Arnold Sedric;;16;54.25;16;44.5;1;-0.25;8.5

21a;Fischer Jonas (1999);;;;;;;;;;53.0
-;;;Gloggner André (2001);;;;;;;;9.0
o;3;9.0;Bärtschi Basil;;16;54.25;4;8.75;1;-0.25;8.5
-;9;17.5;Wyrsch Fabian (2001);;29;34.5;11;17.0;2;-0.5;8.75
+;12;26.25;Marti Pirmin (2001);;26;35.25;11;26.75;-1;0.5;9.75
o;13;36.0;Ziegler Elias (1999);;15;54.5;13;36.0;0;0.0;8.5
o;16;44.5;Ming Hannes;;14;54.75;14;45.0;-2;0.5;8.5

21b;Hodel Martin;;;;;;;;;;53.0
-;;;Lustenberger David (2000);;;;;;;;8.75
+;4;8.75;Weber Marc (1999);;14;54.75;4;8.75;0;0.0;10.0
o;5;18.75;Scheuber Lutz;**;10;55.75;8;17.75;3;-1.0;8.5
o;9;27.25;Gut Koni;;16;54.25;9;27.25;0;0.0;8.75
o;13;36.0;Betschart Daniel;;14;54.75;12;36.25;-1;0.25;8.5
o;16;44.5;Gander Benjamin (2000);;16;54.25;16;44.5;0;0.0;8.5

21c;Amrein Lukas (1999);;;;;;;;;;53.0
+;;;Burri Ueli;;;;;;;;10.0
o;1;10.0;Muff Reto;;13;55.0;2;9.75;1;-0.25;8.75
o;5;18.75;Effinger Peter;;11;55.5;5;18.75;0;0.0;8.75
o;8;27.5;Arnold Raphael;*;12;55.25;10;27.0;2;-0.5;8.5
o;13;36.0;Bussmann Martin;;15;54.5;12;36.25;-1;0.25;8.5
o;16;44.5;Ziegler Moritz;;16;54.25;17;44.25;1;-0.25;8.5

21d;Ineichen Stefan;;;;;;;;;;53.0
o;;;Wüest David (2000);;;;;;;;8.5
+;5;8.5;Johann Michael (2001);;25;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Zimmermann Simon;**;17;54.0;10;17.25;4;-1.25;8.5
-;10;27.0;Wyrsch Hansi (1999);;21;53.0;10;27.0;0;0.0;8.75
-;14;35.75;Bühler Patrice;;13;55.0;11;36.5;-3;0.75;8.75
o;16;44.5;Odermatt Sepp;;12;55.25;13;45.25;-3;0.75;8.5

21e;Wyrsch Hansi (1999);;;;;;;;;;53.0
o;;;Wicki Kevin;;;;;;;;8.5
+;5;8.5;Lustenberger David (2000);;27;35.0;4;8.75;-1;0.25;10.0
o;6;18.5;Odermatt Andreas;;18;53.75;7;18.25;1;-0.25;8.5
-;10;27.0;Ineichen Stefan;;21;53.0;10;27.0;0;0.0;8.75
-;14;35.75;Schaller Noah (2000);;14;54.75;12;36.25;-2;0.5;8.75
o;16;44.5;Wicki David;;16;54.25;17;44.25;1;-0.25;8.5

22a;Gabriel Christian (2000);;;;;;;;;;52.75
o;;;Ambühl Patrick;;;;;;;;8.75
+;4;8.75;Kunz Gian Luca (2001);;25;35.5;5;8.5;1;-0.25;10.0
o;5;18.75;Ulrich Gregor;;15;54.5;5;18.75;0;0.0;8.5
o;9;27.25;Steiner Severin (2001);;15;54.5;9;27.25;0;0.0;8.5
o;14;35.75;Barmet Sven;;15;54.5;14;35.75;0;0.0;8.5
o;17;44.25;Schaller Noah (2000);;14;54.75;14;45.0;-3;0.75;8.5

22b;Arnold Adrian (2001);;;;;;;;;;52.75
-;;;Bühlmann Robin (1999);;;;;;;;8.75
o;4;8.75;Ulrich Pascal (1999);;14;54.75;5;8.5;1;-0.25;8.5
o;10;17.25;Fischer Markus (2000);;18;53.75;11;17.0;1;-0.25;8.5
+;14;25.75;Gloggner André (2001);;29;34.5;13;26.0;-1;0.25;10.0
o;14;35.75;Suter Pirmin;;16;54.25;14;35.75;0;0.0;8.5
o;17;44.25;Ulrich Livio (1999);;17;54.0;17;44.25;0;0.0;8.5

22c;Schumacher Marco (2000);;;;;;;;;;52.75
o;;;Arnold Sedric;;;;;;;;8.5
-;5;8.5;Burri Ueli;;28;34.75;5;8.5;0;0.0;8.75
o;10;17.25;Sidler Kuno;;25;35.5;11;17.0;1;-0.25;8.5
+;14;25.75;Rust Silvio (2001);;31;34.0;15;25.5;1;-0.25;10.0
o;14;35.75;Achermann Daniel;;15;54.5;14;35.75;0;0.0;8.5
o;17;44.25;Fellmann Simon;;13;55.0;14;45.0;-3;0.75;8.5

22d;Huser Christian (2000);;;;;;;;;;52.75
o;;;Aregger Fabian (2001);;;;;;;;8.75
+;4;8.75;Vogel Lars (2001);;26;35.25;5;8.5;1;-0.25;10.0
o;5;18.75;Stöckli Damian;;10;55.75;5;18.75;0;0.0;8.5
o;9;27.25;Betschart Patrick (1999);*;15;54.5;10;27.0;1;-0.25;8.5
o;14;35.75;Hodler Mathias;;16;54.25;13;36.0;-1;0.25;8.5
o;17;44.25;Doppmann Ueli;;13;55.0;13;45.25;-4;1.0;8.5

23a;Baumann Reto;;;;;;;;;;45.25
o;;;Schärli Reto;;;;;;;;8.5
+;5;8.5;Müller Remo;;18;53.75;5;8.5;0;0.0;9.75
o;7;18.25;Ziegler Manuel;;18;53.75;7;18.25;0;0.0;8.5
+;11;26.75;Lustenberger Christian (2001);;31;34.0;15;25.5;4;-1.25;10.0
o;10;36.75;Vogel Manuel;;13;55.0;10;36.75;0;0.0;8.5

24a;Stöckli Stefan;***;;;;;;;;;45.0
-;;;Scheuber Lutz;**;;;;;;;8.75
+;4;8.75;Stadelmann Simon;*;15;54.5;1;10.0;-3;1.25;10.0
-;5;18.75;Ettlin Stefan;*;13;55.0;5;18.75;0;0.0;8.75
-;8;27.5;Schmid Köbi;;11;55.5;5;28.25;-3;0.75;8.75
-;12;36.25;Odermatt Christian;**;12;55.25;10;36.75;-2;0.5;8.75

25a;Müller Toni;*;;;;;;;;;35.5
o;;;von Büren Stephan;*;;;;;;;8.5
o;5;8.5;Kessler Joel;*;16;54.25;4;8.75;-1;0.25;8.5
-;11;17.0;Betschart Daniel;;14;54.75;6;18.5;-5;1.5;8.75
+;14;25.75;Zumstein Marcel;;25;35.5;10;27.0;-4;1.25;9.75

25b;Grüter Marcel (1999);;;;;;;;;;35.5
o;;;Schürpf Bruno;;;;;;;;8.5
+;5;8.5;Forster Christian;;20;53.25;4;8.75;-1;0.25;9.75
-;7;18.25;Kennel Roger (1999);;16;54.25;7;18.25;0;0.0;8.75
o;10;27.0;Bachmann Adrian;;15;54.5;9;27.25;-1;0.25;8.5

25c;Kottmann Jonas (2000);;;;;;;;;;35.5
+;;;Vogel Lars (2001);;;;;;;;10.0
o;1;10.0;Bühler Patrice;;13;55.0;2;9.75;1;-0.25;8.5
o;6;18.5;Käslin Ruedi;*;10;55.75;10;17.25;4;-1.25;8.5
o;10;27.0;von Deschwanden Patrick;;17;54.0;10;27.0;0;0.0;8.5

25d;Zumstein Marcel;;;;;;;;;;35.5
o;;;Elmiger Matthias;;;;;;;;8.5
+;5;8.5;Siegenthaler Michael (2001);;25;35.5;4;8.75;-1;0.25;10.0
o;6;18.5;Bieri Elias;;14;54.75;9;17.5;3;-1.0;8.5
o;10;27.0;Müller Toni;*;25;35.5;14;25.75;4;-1.25;8.5

25e;Sidler Kuno;;;;;;;;;;35.5
o;;;Thalmann Adrian (1999);;;;;;;;8.5
o;5;8.5;Zürcher Ueli (2000);;13;55.0;5;8.5;0;0.0;8.5
+;11;17.0;Schumacher Marco (2000);;22;52.75;10;17.25;-1;0.25;10.0
o;10;27.0;Bucher Thomas;;13;55.0;10;27.0;0;0.0;8.5

25f;Lischer Daniel (1999);;;;;;;;;;35.5
-;;;Siegenthaler Michael (2001);;;;;;;;8.75
+;4;8.75;Erni Michael (2000);;25;35.5;5;8.5;1;-0.25;9.75
o;6;18.5;Bürgler André;*;11;55.5;10;17.25;4;-1.25;8.5
o;10;27.0;Bissig Fabian;;10;55.75;10;27.0;0;0.0;8.5

25g;Theiler Thomas;;;;;;;;;;35.5
o;;;Schelbert Roman;;;;;;;;8.5
+;5;8.5;Rust Silvio (2001);;31;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Heiniger Luca;;12;55.25;6;18.5;0;0.0;8.5
o;10;27.0;Bühlmann Daniel (2000);;16;54.25;10;27.0;0;0.0;8.5

25h;Egli Jonas (2000);;;;;;;;;;35.5
o;;;Gisler Stefan;;;;;;;;8.5
o;5;8.5;Bachmann Adrian;;15;54.5;4;8.75;-1;0.25;8.5
+;11;17.0;Rust Silvio (2001);;31;34.0;11;17.0;0;0.0;10.0
o;10;27.0;Fischer Tobias;;16;54.25;10;27.0;0;0.0;8.5

25i;Banz Matthias (2001);;;;;;;;;;35.5
o;;;Wigger Simon (1999);;;;;;;;8.5
o;5;8.5;Scherrer Patrick;;18;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Bucheli Dario (2001);;25;35.5;11;17.0;0;0.0;8.5
+;15;25.5;Steinger Nico (2001);;31;34.0;15;25.5;0;0.0;10.0

25j;Wicki Fabian (2001);;;;;;;;;;35.5
+;;;Müller Severin (1999);;;;;;;;9.75
o;2;9.75;Ottiger Lukas;;12;55.25;2;9.75;0;0.0;8.5
o;7;18.25;Gassmann Fabian;**;13;55.0;11;17.0;4;-1.25;8.5
-;11;26.75;Achermann Ueli (2001);;25;35.5;11;26.75;0;0.0;8.75

25k;Widmer Dominik;;;;;;;;;;35.5
o;;;Murpf Dario (1999);;;;;;;;8.5
+;5;8.5;Bucheli Dario (2001);;25;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Ming Christian 2;;11;55.5;10;17.25;3;-1.0;8.75
o;10;27.0;Scherrer Patrick;;18;53.75;10;27.0;0;0.0;8.5

25l;Ming Christian;*;;;;;;;;;35.5
o;;;Schnider Markus;*;;;;;;;8.5
o;5;8.5;Bürli Roger;**;14;54.75;4;8.75;-1;0.25;8.5
+;11;17.0;Wigger Simon (1999);;26;35.25;7;18.25;-4;1.25;10.0
o;10;27.0;Bieri Elias;;14;54.75;9;27.25;-1;0.25;8.5

25m;Erni Michael (2000);;;;;;;;;;35.5
o;;;Bucher Thomas;;;;;;;;8.5
o;5;8.5;Lischer Daniel (1999);;25;35.5;4;8.75;-1;0.25;8.5
+;11;17.0;Felder Dominik (2001);;30;34.25;10;17.25;-1;0.25;10.0
o;10;27.0;Blatter Remo (2000);;12;55.25;10;27.0;0;0.0;8.5

25n;Graber Silvan (1999);;;;;;;;;;35.5
o;;;Marti Pirmin (2001);;;;;;;;8.5
o;5;8.5;Suter Pirmin;;16;54.25;4;8.75;-1;0.25;8.5
o;11;17.0;Reber Sandro;;18;53.75;9;17.5;-2;0.5;8.5
+;15;25.5;Felder Dominik (2001);;30;34.25;14;25.75;-1;0.25;10.0

25o;Widmer Simon;;;;;;;;;;35.5
+;;;Lampart Valentin (2000);;;;;;;;10.0
o;1;10.0;Schnider Markus;*;14;54.75;2;9.75;1;-0.25;8.5
o;6;18.5;Wüest David (2000);;15;54.5;5;18.75;-1;0.25;8.5
o;10;27.0;Vogel Marcel;;15;54.5;10;27.0;0;0.0;8.5

25p;Egli Matthias (2001);;;;;;;;;;35.5
+;;;Fahrni Lukas;;;;;;;;10.0
o;1;10.0;Durrer Nando (1999);;13;55.0;2;9.75;1;-0.25;8.5
o;6;18.5;Suter Beat;;20;53.25;10;17.25;4;-1.25;8.5
o;10;27.0;Küttel Samuel;;11;55.5;9;27.25;-1;0.25;8.5

25q;Kunz Gian Luca (2001);;;;;;;;;;35.5
o;;;Troxler Jonas (2000);;;;;;;;8.5
o;5;8.5;Gabriel Christian (2000);;22;52.75;4;8.75;-1;0.25;8.5
o;11;17.0;Siegenthaler Michael (2001);;25;35.5;10;17.25;-1;0.25;8.5
+;15;25.5;Stocker Janosch (1999);;31;34.0;15;25.5;0;0.0;10.0

25r;Gwerder Andreas;*;;;;;;;;;35.5
+;;;Vogel Remo;**;;;;;;;9.75
o;2;9.75;Stadelmann Ron;;7;56.5;2;9.75;0;0.0;8.5
o;7;18.25;Schmidiger Marco;;12;55.25;7;18.25;0;0.0;8.5
-;11;26.75;Bussmann Martin;;15;54.5;8;27.5;-3;0.75;8.75

25s;Stäger Franz (2000);;;;;;;;;;35.5
+;;;Felder Dominik (2001);;;;;;;;10.0
o;1;10.0;Schmid Köbi;;11;55.5;2;9.75;1;-0.25;8.5
o;6;18.5;Bernet Christoph;*;13;55.0;9;17.5;3;-1.0;8.5
o;10;27.0;Troxler Jonas (2000);;12;55.25;10;27.0;0;0.0;8.5

25t;Burri Timo (2001);;;;;;;;;;35.5
+;;;Hodel Dominik (2000);;;;;;;;9.75
o;2;9.75;Hirsiger Alexander;;14;54.75;5;8.5;3;-1.25;8.5
o;7;18.25;Wetzstein Adrian;;17;54.0;10;17.25;3;-1.0;8.75
o;10;27.0;Fallegger Franco (1999);;12;55.25;10;27.0;0;0.0;8.5

25u;Staffelbach Beat (2000);;;;;;;;;;35.5
+;;;Rust Silvio (2001);;;;;;;;10.0
o;1;10.0;Hurschler Adrian;;14;54.75;2;9.75;1;-0.25;8.5
o;6;18.5;Eiholzer Roy;;12;55.25;6;18.5;0;0.0;8.5
o;10;27.0;Gwerder Beni;;12;55.25;10;27.0;0;0.0;8.5

25v;Aregger Fabian (2001);;;;;;;;;;35.5
+;;;Huser Christian (2000);;;;;;;;10.0
o;1;10.0;Vogel Manuel;;13;55.0;2;9.75;1;-0.25;8.5
o;6;18.5;Jund Matthias (1999);;17;54.0;7;18.25;1;-0.25;8.5
