3905-2017-07-09_Rigischwinget-ST

1a;Gwerder Andreas;**;;;;;;;;;89.25
o;7;47.0;Bösch Daniel;***;3;57.5;5;47.5;-2;0.5;8.5

11e;Arnold Stefan;**;;;;;;;;;55.5
+;;;Forrer Arnold;***;;;;;;;9.75
+;3;9.75;Heinzer Stefan;*;31;27.0;2;10.0;-1;0.25;10.0
-;3;19.75;Gisler Bruno;***;6;56.75;6;18.75;3;-1.0;8.75
+;4;28.5;Hauri Urs;**;12;55.25;5;28.25;1;-0.25;9.75
o;4;38.25;Burkhalter Stefan;***;4;57.25;8;37.25;4;-1.0;8.5
o;8;46.75;Studinger Stephan;**;10;55.75;11;46.0;3;-0.75;8.75

11f;Nötzli Reto;***;;;;;;;;;55.5
-;;;Alpiger Nick;***;;;;;;;8.75
+;5;8.75;Studinger Stephan;**;10;55.75;2;10.0;-3;1.25;9.75
+;7;18.5;Bühler Hannes;*;15;54.5;6;18.75;-1;0.25;9.75
+;5;28.25;Döbeli Lukas (2000);*;14;54.75;3;28.75;-2;0.5;9.75
-;5;38.0;Bieri Christoph;***;8;56.25;7;37.5;2;-0.5;8.75
o;8;46.75;Burkhalter Stefan;***;4;57.25;6;47.25;-2;0.5;8.75

11g;Muff Armin;**;;;;;;;;;55.5
+;;;Hügli Kaj;*;;;;;;;9.75
o;3;9.75;Steinauer Adrian;**;6;56.75;2;10.0;-1;0.25;8.5
o;8;18.25;Betschart Remo;**;6;56.75;7;18.5;-1;0.25;8.75
+;10;27.0;Kennel Stefan;**;18;53.75;10;27.0;0;0.0;10.0
o;9;37.0;Thürig Mario;***;11;55.5;9;37.0;0;0.0;8.5
+;13;45.5;Oertig Adrian;**;17;54.0;13;45.5;0;0.0;10.0

12a;Schuler Philipp;**;;;;;;;;;55.25
+;;;Klausner Yanick;**;;;;;;;9.75
o;3;9.75;Bösch Daniel;***;3;57.5;2;10.0;-1;0.25;8.5
+;8;18.25;Hügli Kaj;*;26;35.25;8;18.25;0;0.0;10.0
+;5;28.25;Notz Beni;***;17;54.0;9;27.25;4;-1.0;10.0
o;4;38.25;Wicki Joel;**;4;57.25;3;38.5;-1;0.25;8.5
o;8;46.75;Schneider Mario;**;4;57.25;6;47.25;-2;0.5;8.5

12b;Heiniger Marco;*;;;;;;;;;55.25
-;;;Reichmuth Armin;*;;;;;;;8.75
+;5;8.75;Mangold Michael;*;20;53.25;6;8.5;1;-0.25;9.75
o;7;18.5;Schmid David;***;16;54.25;10;17.5;3;-1.0;8.5
o;10;27.0;Widmer Tobias;**;14;54.75;11;26.75;1;-0.25;8.5
+;15;35.5;Ammann Rico;*;22;52.75;15;35.5;0;0.0;10.0
+;13;45.5;Bader Andreas;**;23;52.5;19;44.0;6;-1.5;9.75

12c;Doppmann Urs;*;;;;;;;;;55.25
o;;;Kessler Joel;*;;;;;;;8.75
+;5;8.75;Zbinden Marc;*;30;34.25;6;8.5;1;-0.25;10.0
o;6;18.75;Bieri Christoph;***;8;56.25;9;17.75;3;-1.0;8.5
+;9;27.25;Rohrer Ueli (1999);*;14;54.75;9;27.25;0;0.0;9.75
o;9;37.0;Schneider Mario;**;4;57.25;8;37.25;-1;0.25;8.5
+;13;45.5;Kennel Stefan;**;18;53.75;14;45.25;1;-0.25;9.75

12d;Klausner Yanick;**;;;;;;;;;55.25
o;;;Schuler Philipp;**;;;;;;;8.5
+;6;8.5;Odermatt Christian;**;19;53.5;3;9.75;-3;1.25;10.0
o;7;18.5;Schurtenberger Sven;***;2;57.75;7;18.5;0;0.0;8.5
+;10;27.0;Felder Martin;*;22;52.75;10;27.0;0;0.0;9.75
o;10;36.75;Betschart Remo;**;6;56.75;10;36.75;0;0.0;8.5
+;14;45.25;Egli Damian;**;16;54.25;12;45.75;-2;0.5;10.0

12e;Hauri Urs;**;;;;;;;;;55.25
o;;;Rohrer Ivan;**;;;;;;;8.5
+;6;8.5;Murer Andy;**;16;54.25;5;8.75;-1;0.25;10.0
+;7;18.5;Schuler Alex;***;16;54.25;7;18.5;0;0.0;9.75
o;5;28.25;Arnold Stefan;**;11;55.5;4;28.5;-1;0.25;8.5
+;10;36.75;Odermatt Christian;**;19;53.5;11;36.5;1;-0.25;9.75
o;9;46.5;Ulrich Andreas;***;5;57.0;7;47.0;-2;0.5;8.75

