5325-2022-05-08_117_Ob-_und_Nidwaldner_Kantonalschwingfest-ST

1a;Durrer Fabian;*;;;;;;;;;57.75
o;8;46.0;Kennel Stefan;**;7;56.0;8;46.0;0;0.0;8.5

13m;Züger Benjamin (2004);;;;;;;;;;54.5
-;;;Gander Martin;;;;;;;;8.75
+;4;8.75;Omlin David (2006);;25;35.5;4;8.75;0;0.0;10.0
o;5;18.75;Fankhauser Reto;**;7;56.0;5;18.75;0;0.0;8.5
+;8;27.25;Ettlin Michael;;16;53.75;7;27.5;-1;0.25;10.0
o;7;37.25;Odermatt Remo;*;11;55.0;9;36.75;2;-0.5;8.75
o;8;46.0;Gasser Dominik;**;2;57.25;3;47.25;-5;1.25;8.5

13n;Berchtold Kilian;;;;;;;;;;54.5
-;;;Gerber Jakob;;;;;;;;8.75
+;4;8.75;Gisler Lukas (2005);;26;35.25;2;9.75;-2;1.0;9.75
o;6;18.5;Suter Samuel;*;10;55.25;10;17.5;4;-1.0;8.75
o;8;27.25;Elmiger Matthias;;13;54.5;7;27.5;-1;0.25;8.75
+;12;36.0;Lienhard Ramon (2004);;19;53.0;12;36.0;0;0.0;10.0
o;8;46.0;Huber Alex;*;6;56.25;6;46.5;-2;0.5;8.5

13o;Hurschler Stefan (2006);;;;;;;;;;54.5
-;;;Epp Elias;;;;;;;;9.0
+;3;9.0;Lagler Reto;;18;53.25;4;8.75;1;-0.25;10.0
o;4;19.0;Suter Pirmin;**;11;55.0;8;18.0;4;-1.0;8.5
o;7;27.5;Gerber Jakob;;13;54.5;8;27.25;1;-0.25;8.5
+;12;36.0;Marty Remo (2005);;20;52.75;13;35.75;1;-0.25;10.0
o;8;46.0;Bucher Christian;**;8;55.75;9;45.75;1;-0.25;8.5

13p;Steiner Edi (2006);;;;;;;;;;54.5
o;;;Kathriner Andreas;;;;;;;;8.5
o;5;8.5;Ettlin Mario;;10;55.25;5;8.5;0;0.0;8.75
-;11;17.25;von Ah Quirin;;27;34.75;12;17.0;1;-0.25;9.0
+;12;26.25;Blättler Michi (2006);;29;34.25;14;25.75;2;-0.5;10.0
o;11;36.25;Käslin Ruedi;*;9;55.5;13;35.75;2;-0.5;8.5
+;13;44.75;Bucher Sandro;;20;52.75;15;44.25;2;-0.5;9.75

13q;Gerber Jakob;;;;;;;;;;54.5
-;;;Berchtold Kilian;;;;;;;;8.75
+;4;8.75;Flüeler Jeremias (2006);;29;34.25;4;8.75;0;0.0;9.75
-;6;18.5;Hess Dominik;*;2;57.25;6;18.5;0;0.0;8.75
+;8;27.25;Hurschler Stefan (2006);;13;54.5;7;27.5;-1;0.25;9.75
o;8;37.0;Durrer Nando;*;8;55.75;7;37.25;-1;0.25;8.75
o;9;45.75;Waser Raphael;;9;55.5;10;45.5;1;-0.25;8.75

14a;Egli Severin (2004);;;;;;;;;;54.25
+;;;Kiser Markus (2005);;;;;;;;10.0
-;1;10.0;Ettlin Kevin;;25;35.5;2;9.75;1;-0.25;8.75
-;5;18.75;von Ah Markus;;19;53.0;6;18.5;1;-0.25;8.75
o;7;27.5;Hess Dominik;*;2;57.25;8;27.25;1;-0.25;8.5
+;12;36.0;Niederberger Sven (2006);;18;53.25;13;35.75;1;-0.25;9.75
o;9;45.75;Käslin Ruedi;*;9;55.5;9;45.75;0;0.0;8.5

14b;Durrer Lukas;;;;;;;;;;54.25
-;;;Scherrer Patrick;;;;;;;;9.0
+;3;9.0;Bieri Manuel (2006);;16;53.75;1;10.0;-2;1.0;10.0
o;4;19.0;Nietlispach Pascal;**;23;37.25;9;17.75;5;-1.25;8.75
-;6;27.75;Vogel Marcel;*;13;54.5;9;27.0;3;-0.75;9.0
-;9;36.75;Bucher Roman;;13;54.5;9;36.75;0;0.0;9.0
o;9;45.75;Niederberger Markus;*;8;55.75;9;45.75;0;0.0;8.5

14c;Staub Ivan;;;;;;;;;;54.25
+;;;Zumstein Roman (2006);;;;;;;;9.75
-;2;9.75;von Wyl Kevin (2004);;9;55.5;1;10.0;-1;0.25;8.75
+;6;18.5;von Rotz Adrian (2006);;14;54.25;6;18.5;0;0.0;9.75
o;4;28.25;Ettlin Stefan;**;8;55.75;5;28.0;1;-0.25;8.75
o;8;37.0;Omlin Toni;*;3;57.0;7;37.25;-1;0.25;8.5
-;10;45.5;Spichtig Clemens;;14;54.25;10;45.5;0;0.0;8.75

14d;Arnold Elias (2006);;;;;;;;;;54.25
o;;;Gander Michael;;;;;;;;8.75
-;4;8.75;Küchler Severin;;19;53.0;5;8.5;1;-0.25;8.75
+;10;17.5;Waser Mattia (2005);;26;35.25;7;18.25;-3;0.75;10.0
o;7;27.5;Ettlin Martin;*;12;54.75;11;26.5;4;-1.0;8.5
o;12;36.0;Kaiser Sandro;;15;54.0;13;35.75;1;-0.25;8.5
+;14;44.5;Christen Thomas;;17;53.5;13;44.75;-1;0.25;9.75

14e;Britschgi Marcel;;;;;;;;;;54.25
o;;;Gisler Lukas (2005);;;;;;;;8.5
+;5;8.5;Arnold Linus (2004);;26;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Doppmann Urs;**;4;56.75;6;18.5;0;0.0;8.5
o;9;27.0;Roner Remo;;16;53.75;9;27.0;0;0.0;8.75
o;13;35.75;Laimbacher Cyrill (2004);;13;54.5;13;35.75;0;0.0;8.75
+;14;44.5;Imgrüth Fabian (2005);;16;53.75;12;45.0;-2;0.5;9.75

14f;Arnold Severin;*;;;;;;;;;54.25
o;;;Barmettler Renato;*;;;;;;;8.5
-;5;8.5;Waser Adrian;*;9;55.5;5;8.5;0;0.0;8.75
o;11;17.25;Gut Koni;;9;55.5;6;18.5;-5;1.25;8.5
+;14;25.75;Imfeld David (2006);;15;54.0;8;27.25;-6;1.5;10.0
+;13;35.75;Bucher Sandro;;20;52.75;13;35.75;0;0.0;9.75
-;10;45.5;Ettlin Michael;;16;53.75;12;45.0;2;-0.5;8.75

14g;Kempf Fabian;;;;;;;;;;54.25
o;;;Albert Thomas;;;;;;;;8.5
+;5;8.5;Näpflin Urs (2006);;19;53.0;4;8.75;-1;0.25;10.0
o;6;18.5;Christen Silvan;;11;55.0;7;18.25;1;-0.25;8.75
o;8;27.25;Zimmermann Raffael;;10;55.25;8;27.25;0;0.0;8.75
o;12;36.0;Mehr Lars;*;10;55.25;13;35.75;1;-0.25;8.5
+;14;44.5;Furrer Jens;;20;52.75;15;44.25;1;-0.25;9.75

14h;Gander Martin;;;;;;;;;;54.25
-;;;Züger Benjamin (2004);;;;;;;;8.75
o;4;8.75;Grab Florian;;12;54.75;4;8.75;0;0.0;8.5
+;11;17.25;Rust Silvio;;26;35.25;12;17.0;1;-0.25;10.0
-;8;27.25;Lemmenmeier Lukas;*;8;55.75;10;26.75;2;-0.5;8.75
+;12;36.0;Gwerder Fabian;;13;54.5;13;35.75;1;-0.25;9.75
o;9;45.75;Schaller Noah;;9;55.5;10;45.5;1;-0.25;8.5

14i;von Rotz Adrian (2006);;;;;;;;;;54.25
-;;;Büeler Ivo (2004);;;;;;;;8.75
+;4;8.75;Schnüriger Kevin (2004);;30;34.0;5;8.5;1;-0.25;9.75
o;6;18.5;Staub Ivan;;14;54.25;6;18.5;0;0.0;8.5
-;9;27.0;Kurmann Jvo;;25;35.5;10;26.75;1;-0.25;8.75
-;13;35.75;Rust Lorin (2004);;18;53.25;13;35.75;0;0.0;8.75
+;14;44.5;Marty Remo (2005);;20;52.75;15;44.25;1;-0.25;9.75

14j;Spichtig Clemens;;;;;;;;;;54.25
-;;;Gisler Noah;;;;;;;;9.0
+;3;9.0;Auf der Maur Alex;;24;35.75;4;8.75;1;-0.25;9.75
o;5;18.75;Kennel Stefan;**;7;56.0;10;17.5;5;-1.25;8.5
+;8;27.25;Grab Florian;;12;54.75;7;27.5;-1;0.25;9.75
o;8;37.0;Suppiger Werner;**;3;57.0;7;37.25;-1;0.25;8.5
-;10;45.5;Staub Ivan;;14;54.25;10;45.5;0;0.0;8.75

14k;Albert Thomas;;;;;;;;;;54.25
+;;;Kempf Fabian;;;;;;;;10.0
o;1;10.0;Duss Yvan;;10;55.25;1;10.0;0;0.0;8.75
o;5;18.75;Scherer Niklaus;**;7;56.0;10;17.5;5;-1.25;8.5
o;8;27.25;Gisler Jonas;*;9;55.5;9;27.0;1;-0.25;8.5
+;13;35.75;Epp Elias;;12;54.75;12;36.0;-1;0.25;10.0
o;9;45.75;Steudler Kevin;*;8;55.75;9;45.75;0;0.0;8.5

15a;von Flüe Silvan (2004);;;;;;;;;;54.0
-;;;Hess Ramon (2006);;;;;;;;9.0
+;3;9.0;Arnold David (2006);;29;34.25;5;8.5;2;-0.5;9.75
o;5;18.75;Reichmuth Lukas;*;4;56.75;6;18.5;1;-0.25;8.5
+;8;27.25;Marty Remo (2005);;20;52.75;9;27.0;1;-0.25;9.75
o;8;37.0;Odermatt Andreas;**;3;57.0;7;37.25;-1;0.25;8.5
o;10;45.5;Ming Hannes;;9;55.5;10;45.5;0;0.0;8.5

15b;Kathriner Andreas;;;;;;;;;;54.0
+;;;Steiner Edi (2006);;;;;;;;10.0
o;1;10.0;Schaller Noah;;9;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;Herger Fabian;*;5;56.5;6;18.5;0;0.0;8.5
+;9;27.0;Gisler Lukas (2005);;26;35.25;10;26.75;1;-0.25;10.0
o;8;37.0;Kempf Damian;;11;55.0;9;36.75;1;-0.25;8.5
o;10;45.5;Vogel Marcel;*;13;54.5;13;44.75;3;-0.75;8.5

15c;Gander Michael;;;;;;;;;;54.0
+;;;Arnold Elias (2006);;;;;;;;10.0
o;1;10.0;Nägeli Leandro;;11;55.0;4;8.75;3;-1.25;8.5
+;6;18.5;Kiser Dominik (2006);;16;53.75;6;18.5;0;0.0;9.75
o;4;28.25;Huber Alex;*;6;56.25;4;28.25;0;0.0;8.5
-;9;36.75;Durrer Jonas;*;8;55.75;8;37.0;-1;0.25;8.75
o;10;45.5;von Wyl Kevin (2004);;9;55.5;9;45.75;-1;0.25;8.5

15d;Graber Sandro;;;;;;;;;;54.0
-;;;Auf der Maur Alex;;;;;;;;8.75
+;4;8.75;Kurmann Jvo;;25;35.5;5;8.5;1;-0.25;9.75
o;6;18.5;Bucher Roland;*;7;56.0;11;17.25;5;-1.25;8.5
-;9;27.0;Bieri Manuel (2006);;16;53.75;9;27.0;0;0.0;8.75
o;13;35.75;Scherrer Patrick;;7;56.0;12;36.0;-1;0.25;8.5
+;15;44.25;Lienhard Ramon (2004);;19;53.0;14;44.5;-1;0.25;9.75

15e;Kaiser Sandro;;;;;;;;;;54.0
-;;;Widmer Simon;;;;;;;;8.75
o;4;8.75;Kempf Damian;;11;55.0;5;8.5;1;-0.25;8.5
+;11;17.25;Gisler Marco (2006);;25;35.5;12;17.0;1;-0.25;10.0
o;8;27.25;Waser Reto;*;13;54.5;13;26.0;5;-1.25;8.5
+;13;35.75;Arnold Elias (2006);;14;54.25;12;36.0;-1;0.25;9.75
o;10;45.5;Lemmenmeier Lukas;*;8;55.75;9;45.75;-1;0.25;8.5

15f;Imfeld David (2006);;;;;;;;;;54.0
o;;;Staffelbach Noah;;;;;;;;8.5
-;5;8.5;Lienhard Ramon (2004);;19;53.0;5;8.5;0;0.0;8.75
+;11;17.25;Roth Marco (2004);;30;34.0;12;17.0;1;-0.25;10.0
o;8;27.25;Arnold Severin;*;14;54.25;14;25.75;6;-1.5;8.5
o;13;35.75;Zberg Peter (2004);;13;54.5;12;36.0;-1;0.25;8.5
+;15;44.25;Kryenbühl Mauro (2005);;20;52.75;15;44.25;0;0.0;9.75

15g;Kathriner Severin;;;;;;;;;;54.0
o;;;Hürlimann Ueli;;;;;;;;8.5
+;5;8.5;Püntener Luca (2005);;16;53.75;5;8.5;0;0.0;10.0
o;6;18.5;Elsener Manuel;;9;55.5;6;18.5;0;0.0;8.5
+;9;27.0;Waser Mattia (2005);;26;35.25;10;26.75;1;-0.25;10.0
o;8;37.0;Gisler Jonas;*;9;55.5;8;37.0;0;0.0;8.5
o;10;45.5;Würsch Lars;*;8;55.75;9;45.75;-1;0.25;8.5

16a;Ettlin Michael;;;;;;;;;;53.75
-;;;Doppmann Ueli;;;;;;;;9.0
+;3;9.0;Marty Remo (2005);;20;52.75;1;10.0;-2;1.0;10.0
o;4;19.0;Scherrer Fabian;*;9;55.5;9;17.75;5;-1.25;8.5
o;7;27.5;Züger Benjamin (2004);;13;54.5;8;27.25;1;-0.25;8.75
-;11;36.25;Egli Kilian (2004);;17;53.5;13;35.75;2;-0.5;8.75
-;12;45.0;Arnold Severin;*;14;54.25;10;45.5;-2;0.5;8.75

16b;Kiser Markus (2005);;;;;;;;;;53.75
o;;;Egli Severin (2004);;;;;;;;8.5
+;5;8.5;Büeler Ivo (2004);;25;35.5;4;8.75;-1;0.25;9.75
+;7;18.25;Imgrüth Fabian (2005);;16;53.75;7;18.25;0;0.0;9.75
o;5;28.0;Felder Martin;*;7;56.0;7;27.5;2;-0.5;8.5
o;10;36.5;Duss Yvan;;10;55.25;9;36.75;-1;0.25;8.5
-;12;45.0;Lagler Reto;;18;53.25;14;44.5;2;-0.5;8.75

16c;Huser Christian;;;;;;;;;;53.75
o;;;Hurschler Tobias;;;;;;;;8.5
o;5;8.5;Ming Hannes;;9;55.5;4;8.75;-1;0.25;8.5
+;12;17.0;Zumstein Roman (2006);;24;35.75;11;17.25;-1;0.25;9.75
+;10;26.75;von Deschwanden Sven (2006);;25;35.5;9;27.0;-1;0.25;10.0
o;9;36.75;Reichmuth Lukas;*;4;56.75;8;37.0;-1;0.25;8.5
o;11;45.25;Waser Christoph;*;9;55.5;9;45.75;-2;0.5;8.5

16d;Imgrüth Fabian (2005);;;;;;;;;;53.75
+;;;von Deschwanden Sven (2006);;;;;;;;9.75
o;2;9.75;Durrer Markus;;4;56.75;2;9.75;0;0.0;8.5
o;7;18.25;Kiser Markus (2005);;16;53.75;7;18.25;0;0.0;8.5
+;10;26.75;Omlin David (2006);;25;35.5;9;27.0;-1;0.25;9.75
o;10;36.5;Steudler Kevin;*;8;55.75;13;35.75;3;-0.75;8.5
o;12;45.0;Britschgi Marcel;;14;54.25;14;44.5;2;-0.5;8.75

16e;Kiser Dominik (2006);;;;;;;;;;53.75
+;;;Roth Marco (2004);;;;;;;;9.75
-;2;9.75;Laimbacher Cyrill (2004);;13;54.5;1;10.0;-1;0.25;8.75
o;6;18.5;Gander Michael;;15;54.0;6;18.5;0;0.0;8.5
+;9;27.0;Büeler Ivo (2004);;25;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Suter Samuel;*;10;55.25;11;36.25;2;-0.5;8.5
o;11;45.25;Doppmann Ueli;;8;55.75;9;45.75;-2;0.5;8.5

16f;von Matt Lars;;;;;;;;;;53.75
+;;;Andermatt Reto;;;;;;;;10.0
+;1;10.0;Gwerder Fabian;;13;54.5;1;10.0;0;0.0;9.75
o;2;19.75;Waser Dominik;**;3;57.0;7;18.25;5;-1.5;8.5
o;4;28.25;Scherer Niklaus;**;7;56.0;7;27.5;3;-0.75;8.5
o;9;36.75;Suter Bruno;;7;56.0;7;37.25;-2;0.5;8.5
o;11;45.25;Ettlin Mario;;10;55.25;11;45.25;0;0.0;8.5

16g;Wolf Stefan (2006);;;;;;;;;;53.75
+;;;Lienhard Ramon (2004);;;;;;;;9.75
-;2;9.75;Elmiger Matthias;;13;54.5;1;10.0;-1;0.25;8.75
o;6;18.5;Bucher André;;8;55.75;6;18.5;0;0.0;8.5
+;9;27.0;Bamert Mathis (2005);;25;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Waser Reto;*;13;54.5;12;36.0;3;-0.75;8.5
o;11;45.25;Staffelbach Noah;;11;55.0;11;45.25;0;0.0;8.5

16h;Roner Remo;;;;;;;;;;53.75
o;;;Wiss Ivan (2004);;;;;;;;8.5
+;5;8.5;Niederberger Sven (2006);;18;53.25;4;8.75;-1;0.25;10.0
o;6;18.5;Felder Ivan (2004);;13;54.5;6;18.5;0;0.0;8.5
+;9;27.0;Britschgi Marcel;;14;54.25;9;27.0;0;0.0;9.75
o;9;36.75;Elsener Marcel;*;12;54.75;11;36.25;2;-0.5;8.5
o;11;45.25;Mehr Lars;*;10;55.25;10;45.5;-1;0.25;8.5

16i;Bieri Manuel (2006);;;;;;;;;;53.75
+;;;Ettlin Mario;;;;;;;;10.0
o;1;10.0;Durrer Lukas;;14;54.25;3;9.0;2;-1.0;8.5
o;6;18.5;Durrer Nando;*;8;55.75;10;17.5;4;-1.0;8.5
-;9;27.0;Graber Sandro;;15;54.0;9;27.0;0;0.0;8.75
-;13;35.75;Christen Thomas;;17;53.5;13;35.75;0;0.0;9.0
-;13;44.75;Küchler Severin;;19;53.0;15;44.25;2;-0.5;9.0

16j;Widmer Simon;;;;;;;;;;53.75
-;;;Kaiser Sandro;;;;;;;;8.75
+;4;8.75;Zumstein Roman (2006);;24;35.75;5;8.5;1;-0.25;9.75
o;6;18.5;Langensand Stefan;*;9;55.5;11;17.25;5;-1.25;8.5
+;9;27.0;Ettlin Kevin;;25;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Gut Koni;;9;55.5;9;36.75;0;0.0;8.5
o;11;45.25;Röthlin Pascal;*;10;55.25;11;45.25;0;0.0;8.5

16k;Rohrer Michael;;;;;;;;;;53.75
+;;;Gisler Marco (2006);;;;;;;;9.75
o;2;9.75;Wiget Ueli;;3;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Würsch Andrin (2006);;26;35.25;7;18.25;0;0.0;9.75
o;5;28.0;Nietlispach Pascal;**;23;37.25;7;27.5;2;-0.5;8.5
o;10;36.5;Gisler Noah;;12;54.75;10;36.5;0;0.0;8.5
o;12;45.0;Lussi Marco;**;12;54.75;12;45.0;0;0.0;8.75

16l;Püntener Luca (2005);;;;;;;;;;53.75
o;;;Gasser Dominik 1;;;;;;;;8.5
o;5;8.5;Kathriner Severin;;15;54.0;5;8.5;0;0.0;8.5
+;12;17.0;Schnüriger Kevin (2004);;30;34.0;12;17.0;0;0.0;10.0
+;9;27.0;Berwert Eddy (2006);;26;35.25;10;26.75;1;-0.25;9.75
o;9;36.75;Würsch Lars;*;8;55.75;12;36.0;3;-0.75;8.5
o;11;45.25;Waser Adrian;*;9;55.5;9;45.75;-2;0.5;8.5

17a;von Wyl Simon;;;;;;;;;;53.5
+;;;Arnold David (2006);;;;;;;;9.75
o;2;9.75;Wandeler Roman;;5;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Gasser Severin (2006);;17;53.5;7;18.25;0;0.0;9.75
o;5;28.0;Fellmann Roman;**;8;55.75;8;27.25;3;-0.75;8.5
o;10;36.5;Hürlimann Marco;;10;55.25;9;36.75;-1;0.25;8.5
o;12;45.0;Epp Elias;;12;54.75;13;44.75;1;-0.25;8.5

17b;Christen Thomas;;;;;;;;;;53.5
-;;;Egli Kilian (2004);;;;;;;;9.0
+;3;9.0;Bucher Sandro;;20;52.75;4;8.75;1;-0.25;9.75
o;5;18.75;Fellmann Roman;**;8;55.75;11;17.25;6;-1.5;8.5
o;8;27.25;Doppmann Ueli;;8;55.75;8;27.25;0;0.0;8.5
-;13;35.75;Bieri Manuel (2006);;16;53.75;13;35.75;0;0.0;9.0
o;13;44.75;Arnold Elias (2006);;14;54.25;14;44.5;1;-0.25;8.75

17c;Gasser Severin (2006);;;;;;;;;;53.5
+;;;von Ah Quirin;;;;;;;;9.75
o;2;9.75;Durrer Ueli;;21;45.75;4;8.75;2;-1.0;8.5
o;7;18.25;von Wyl Simon;;17;53.5;7;18.25;0;0.0;8.5
+;10;26.75;Burch Jonas 2 (2005);;26;35.25;10;26.75;0;0.0;9.75
o;10;36.5;Langensand Stefan;*;9;55.5;13;35.75;3;-0.75;8.5
o;12;45.0;Zimmermann Raffael;;10;55.25;10;45.5;-2;0.5;8.5

17d;Gander Sebastian;;;;;;;;;;53.5
+;;;Kryenbühl Mauro (2005);;;;;;;;9.75
o;2;9.75;Hürlimann Ueli;;13;54.5;1;10.0;-1;0.25;8.5
+;7;18.25;Kiser Andrin (2006);;26;35.25;7;18.25;0;0.0;9.75
o;5;28.0;Steinauer Adrian;**;9;55.5;8;27.25;3;-0.75;8.5
o;10;36.5;Gisler Silvan;;10;55.25;8;37.0;-2;0.5;8.5
o;12;45.0;Durrer Ive;;12;54.75;12;45.0;0;0.0;8.5

17e;Egli Kilian (2004);;;;;;;;;;53.5
-;;;Christen Thomas;;;;;;;;9.0
+;3;9.0;von Deschwanden Sven (2006);;25;35.5;4;8.75;1;-0.25;9.75
o;5;18.75;Waser Christoph;*;9;55.5;6;18.5;1;-0.25;8.5
o;8;27.25;Gasser Dominik 1;;13;54.5;8;27.25;0;0.0;8.5
-;13;35.75;Ettlin Michael;;16;53.75;11;36.25;-2;0.5;8.75
-;14;44.5;Niederberger Sven (2006);;18;53.25;15;44.25;1;-0.25;9.0

18a;Niederberger Sven (2006);;;;;;;;;;53.25
-;;;Lagler Reto;;;;;;;;8.75
o;4;8.75;Roner Remo;;16;53.75;5;8.5;1;-0.25;8.5
o;11;17.25;Bamert Mathis (2005);;25;35.5;11;17.25;0;0.0;8.5
+;14;25.75;Roth Marco (2004);;30;34.0;15;25.5;1;-0.25;10.0
o;13;35.75;Egli Severin (2004);;14;54.25;12;36.0;-1;0.25;8.5
-;15;44.25;Egli Kilian (2004);;17;53.5;14;44.5;-1;0.25;9.0

18b;Lagler Reto;;;;;;;;;;53.25
-;;;Niederberger Sven (2006);;;;;;;;8.75
o;4;8.75;Hurschler Stefan (2006);;13;54.5;3;9.0;-1;0.25;8.5
+;11;17.25;Flüeler Jeremias (2006);;29;34.25;11;17.25;0;0.0;10.0
o;8;27.25;Waser Adrian;*;9;55.5;14;25.75;6;-1.5;8.5
-;13;35.75;Arnold Matthias (2006);;25;35.5;14;35.5;1;-0.25;8.75
-;14;44.5;Kiser Markus (2005);;16;53.75;12;45.0;-2;0.5;8.75

18c;Rust Lorin (2004);;;;;;;;;;53.25
o;;;Kiser Andrin (2006);;;;;;;;8.75
-;4;8.75;von Moos Nico (2006);;27;34.75;4;8.75;0;0.0;8.75
+;10;17.5;Vogler Noah (2006);;27;34.75;9;17.75;-1;0.25;9.75
o;8;27.25;Mehr Lars;*;10;55.25;14;25.75;6;-1.5;8.5
-;13;35.75;von Rotz Adrian (2006);;14;54.25;13;35.75;0;0.0;8.75
-;14;44.5;Näpflin Urs (2006);;19;53.0;15;44.25;1;-0.25;8.75

19a;Lienhard Ramon (2004);;;;;;;;;;53.0
o;;;Wolf Stefan (2006);;;;;;;;8.5
-;5;8.5;Imfeld David (2006);;15;54.0;5;8.5;0;0.0;9.0
+;10;17.5;Blättler Michi (2006);;29;34.25;11;17.25;1;-0.25;10.0
o;7;27.5;Niederberger Markus;*;8;55.75;9;27.0;2;-0.5;8.5
o;12;36.0;Berchtold Kilian;;13;54.5;12;36.0;0;0.0;8.5
o;14;44.5;Graber Sandro;;15;54.0;15;44.25;1;-0.25;8.5

19b;von Ah Markus;;;;;;;;;;53.0
-;;;Styger Alex;;;;;;;;8.75
+;4;8.75;Epp Elias;;12;54.75;3;9.0;-1;0.25;9.75
-;6;18.5;Egli Severin (2004);;14;54.25;5;18.75;-1;0.25;8.75
o;8;27.25;Nägeli Leandro;;11;55.0;8;27.25;0;0.0;8.5
-;13;35.75;Schaller Noah;;9;55.5;10;36.5;-3;0.75;8.75
o;14;44.5;Gwerder Fabian;;13;54.5;14;44.5;0;0.0;8.5

19c;Näpflin Urs (2006);;;;;;;;;;53.0
-;;;Fischer Markus;;;;;;;;8.75
o;4;8.75;Kempf Fabian;;14;54.25;5;8.5;1;-0.25;8.5
o;11;17.25;Kryenbühl Mauro (2005);;20;52.75;11;17.25;0;0.0;8.5
+;14;25.75;Horat Dominic;;28;34.5;13;26.0;-1;0.25;10.0
o;13;35.75;Wiss Ivan (2004);;13;54.5;12;36.0;-1;0.25;8.5
-;15;44.25;Rust Lorin (2004);;18;53.25;14;44.5;-1;0.25;8.75

19d;Küchler Severin;;;;;;;;;;53.0
o;;;Odermatt Fabian (2005);;;;;;;;8.5
-;5;8.5;Arnold Elias (2006);;14;54.25;4;8.75;-1;0.25;8.75
+;11;17.25;Aregger Silvan (2006);;25;35.5;11;17.25;0;0.0;10.0
o;8;27.25;Bucher Roland;*;7;56.0;9;27.0;1;-0.25;8.5
o;13;35.75;Grab Florian;;12;54.75;11;36.25;-2;0.5;8.5
-;15;44.25;Bieri Manuel (2006);;16;53.75;13;44.75;-2;0.5;8.75

20a;Marty Remo (2005);;;;;;;;;;52.75
+;;;Furrer Jens;;;;;;;;10.0
o;1;10.0;Ettlin Michael;;16;53.75;3;9.0;2;-1.0;8.5
o;6;18.5;Gassmann Michael;*;9;55.5;11;17.25;5;-1.25;8.5
o;9;27.0;von Flüe Silvan (2004);;15;54.0;8;27.25;-1;0.25;8.75
o;13;35.75;Hurschler Stefan (2006);;13;54.5;12;36.0;-1;0.25;8.5
o;15;44.25;von Rotz Adrian (2006);;14;54.25;14;44.5;-1;0.25;8.5

20b;Bucher Sandro;;;;;;;;;;52.75
-;;;Aregger Silvan (2006);;;;;;;;8.75
o;4;8.75;Christen Thomas;;17;53.5;3;9.0;-1;0.25;8.5
o;11;17.25;Auf der Maur Alex;;24;35.75;10;17.5;-1;0.25;8.5
+;14;25.75;Arnold David (2006);;29;34.25;14;25.75;0;0.0;10.0
o;13;35.75;Arnold Severin;*;14;54.25;13;35.75;0;0.0;8.5
o;15;44.25;Steiner Edi (2006);;13;54.5;13;44.75;-2;0.5;8.5

20c;Kryenbühl Mauro (2005);;;;;;;;;;52.75
o;;;Gander Sebastian;;;;;;;;8.5
o;5;8.5;Berwert Eddy (2006);;26;35.25;5;8.5;0;0.0;8.75
+;11;17.25;Näpflin Urs (2006);;19;53.0;11;17.25;0;0.0;9.75
o;9;27.0;Imfeld Laurin (2004);;22;45.5;9;27.0;0;0.0;8.75
o;13;35.75;Waser Adrian;*;9;55.5;13;35.75;0;0.0;8.5
o;15;44.25;Imfeld David (2006);;15;54.0;15;44.25;0;0.0;8.5

20d;Furrer Jens;;;;;;;;;;52.75
o;;;Marty Remo (2005);;;;;;;;8.5
-;5;8.5;Herger Elias (2006);;27;34.75;5;8.5;0;0.0;8.75
-;11;17.25;Arnold David (2006);;29;34.25;12;17.0;1;-0.25;8.75
+;13;26.0;Hess Ramon (2006);;29;34.25;14;25.75;1;-0.25;9.75
o;13;35.75;Lemmenmeier Lukas;*;8;55.75;13;35.75;0;0.0;8.5
o;15;44.25;Kempf Fabian;;14;54.25;14;44.5;-1;0.25;8.5

21a;Durrer Ueli;;;;;;;;;;45.75
-;;;Bucher André;;;;;;;;8.75
+;4;8.75;Gasser Severin (2006);;17;53.5;2;9.75;-2;1.0;9.75
o;6;18.5;Gwerder Andreas;*;25;35.5;11;17.25;5;-1.25;8.75
+;8;27.25;Laimbacher Cyrill (2004);;13;54.5;8;27.25;0;0.0;9.75
-;8;37.0;Vogel Marcel;*;13;54.5;12;36.0;4;-1.0;8.75

22a;Imfeld Laurin (2004);;;;;;;;;;45.5
+;;;Horat Dominic;;;;;;;;10.0
o;1;10.0;Bucher André;;8;55.75;4;8.75;3;-1.25;8.5
o;6;18.5;Moos Christoph;*;25;35.5;12;17.0;6;-1.5;8.5
+;9;27.0;Kryenbühl Mauro (2005);;20;52.75;9;27.0;0;0.0;10.0
o;8;37.0;Wiget Ueli;;3;57.0;7;37.25;-1;0.25;8.5

23a;Gerber Christian;***;;;;;;;;;37.25
-;;;Imhof Andi;***;;;;;;;8.75
+;4;8.75;Arnold Stefan;**;6;56.25;2;9.75;-2;1.0;10.0
