4102-2022-06-19_Fete_alpestre_Lac_Noir_-_Bergschwinget_Schwarzsee-ST

1a;Gnägi Florian;***;;;;;;;;;58.75
+;12;35.75;Dousse Michel;**;16;54.0;12;35.75;0;0.0;9.75
o;12;45.5;Gottofrey Marc;**;10;55.5;11;45.75;-1;0.25;8.75

15e;Baeriswyl Christoph;**;;;;;;;;;54.25
+;;;Bucher Christian;**;;;;;;;9.75
o;2;9.75;Lang Sven;**;17;53.75;5;8.5;3;-1.25;8.5
o;7;18.25;Inniger Thomas;***;22;35.75;9;17.25;2;-1.0;8.5
-;12;26.75;Kessler Joel;*;12;55.0;10;27.25;-2;0.5;9.0
+;12;35.75;Gisler Jonas;*;17;53.75;13;35.5;1;-0.25;10.0
o;11;45.75;Doppmann Urs;**;10;55.5;12;45.5;1;-0.25;8.5

15f;Tschumi Lukas;*;;;;;;;;;54.25
+;;;Schläfli Hugo;*;;;;;;;9.75
-;2;9.75;Bernhard Lukas;**;15;54.25;5;8.5;3;-1.25;8.75
o;6;18.5;Omlin Toni;*;10;55.5;6;18.5;0;0.0;8.75
o;10;27.25;Bieri Marcel;***;9;55.75;11;27.0;1;-0.25;8.5
+;12;35.75;Arnold Marcel;*;18;53.25;12;35.75;0;0.0;10.0
o;11;45.75;Suppiger Werner;**;9;55.75;11;45.75;0;0.0;8.5

16a;Sturny Nicolas;**;;;;;;;;;54.0
+;;;Waser Dominik;**;;;;;;;10.0
o;1;10.0;Orlik Curdin;***;3;57.25;2;9.75;1;-0.25;8.5
+;6;18.5;Thomet Adrian;**;10;55.5;6;18.5;0;0.0;9.75
-;6;28.25;Thöni Reto;*;14;54.5;6;28.25;0;0.0;8.75
o;7;37.0;Bissig Lukas;*;6;56.5;8;36.75;1;-0.25;8.5
o;12;45.5;Vogel Remo;**;10;55.5;12;45.5;0;0.0;8.5

16b;Dousse Michel;**;;;;;;;;;54.0
o;;;Thomet Adrian;**;;;;;;;8.5
-;5;8.5;Kälin Roland;**;11;55.25;4;8.75;-1;0.25;8.75
o;9;17.25;Schürpf Bruno;*;11;55.25;7;18.25;-2;1.0;8.5
+;16;25.75;Rogivue Théo;*;25;34.75;14;26.25;-2;0.5;10.0
o;12;35.75;Heiniger Marco;**;15;54.25;12;35.75;0;0.0;8.5
+;17;44.25;Kenel Franz-Toni;*;19;53.0;16;44.5;-1;0.25;9.75

17a;Lang Sven;**;;;;;;;;;53.75
o;;;Borcard Johann;**;;;;;;;8.5
+;5;8.5;Baeriswyl Christoph;**;15;54.25;2;9.75;-3;1.25;9.75
+;7;18.25;Schenk Thomas;*;17;53.75;7;18.25;0;0.0;10.0
o;6;28.25;Orlik Curdin;***;3;57.25;4;28.75;-2;0.5;8.5
o;8;36.75;Berger Lorenz;**;4;57.0;7;37.0;-1;0.25;8.5
o;13;45.25;Haenni Stéphane;**;10;55.5;12;45.5;-1;0.25;8.5

17b;Duplan Steve;***;;;;;;;;;53.75
+;;;Ambühl Joel;**;;;;;;;9.75
o;2;9.75;Sempach Thomas;***;5;56.75;1;10.0;-1;0.25;8.5
+;7;18.25;Lüthi David;*;8;56.0;5;18.75;-2;0.5;10.0
o;6;28.25;Ledermann Michael;**;5;56.75;5;28.5;-1;0.25;8.5
o;8;36.75;Thomet Adrian;**;10;55.5;7;37.0;-1;0.25;8.5
o;13;45.25;Omlin Toni;*;10;55.5;11;45.75;-2;0.5;8.5

17c;Schenk Thomas;*;;;;;;;;;53.75
+;;;Wieland Janis;*;;;;;;;9.75
o;2;9.75;Ambühl Joel;**;13;54.75;4;8.75;2;-1.0;8.5
o;7;18.25;Lang Sven;**;17;53.75;7;18.25;0;0.0;8.5
+;12;26.75;Tornare Paul;*;27;34.25;16;25.75;4;-1.0;10.0
o;8;36.75;Rohrer Ueli;**;6;56.5;8;36.75;0;0.0;8.5
o;13;45.25;Bieri Marcel;***;9;55.75;11;45.75;-2;0.5;8.5

17d;Gisler Jonas;*;;;;;;;;;53.75
-;;;Fankhauser Hans;*;;;;;;;8.75
+;4;8.75;Gottofrey Luc;*;27;34.25;5;8.5;1;-0.25;9.75
o;6;18.5;Anderegg Simon;***;12;55.0;8;17.5;2;-1.0;8.5
o;11;27.0;Gottofrey Marc;**;10;55.5;12;26.75;1;-0.25;8.5
o;13;35.5;Baeriswyl Christoph;**;15;54.25;12;35.75;-1;0.25;8.5
+;18;44.0;Wieland Janis;*;20;52.75;17;44.25;-1;0.25;9.75

18a;Balimann Sandro;*;;;;;;;;;53.25
-;;;Effinger Markus;*;;;;;;;8.75
-;4;8.75;Heiniger Marco;**;15;54.25;5;8.5;1;-0.25;8.75
-;8;17.5;Rogivue Théo;*;25;34.75;9;17.25;1;-0.25;9.0
+;13;26.5;Dubey Gaël;*;26;34.5;15;26.0;2;-0.5;9.75
o;10;36.25;Burger Matthieu;**;9;55.75;11;36.0;1;-0.25;8.5
o;15;44.75;von Büren Stephan;**;12;55.0;13;45.25;-2;0.5;8.5

18b;Arnold Marcel;*;;;;;;;;;53.25
+;;;Pasquier Loïc;*;;;;;;;10.0
o;1;10.0;Kämpf Bernhard;***;6;56.5;5;8.5;4;-1.5;8.5
-;6;18.5;Sommer Roman;*;9;55.75;6;18.5;0;0.0;8.75
o;10;27.25;Lüthi David;*;8;56.0;10;27.25;0;0.0;8.5
o;12;35.75;Tschumi Lukas;*;15;54.25;12;35.75;0;0.0;8.75
o;16;44.5;Gehrig Philipp;**;11;55.25;12;45.5;-4;1.0;8.75

18c;Gnägi Damian;*;;;;;;;;;53.25
-;;;Rogivue Théo;*;;;;;;;8.75
+;4;8.75;Schläfli Hugo;*;21;52.5;5;8.5;1;-0.25;9.75
-;6;18.5;Moser Steven;**;11;55.25;8;17.5;2;-1.0;8.75
-;10;27.25;Wieland Janis;*;20;52.75;12;26.75;2;-0.5;8.75
o;11;36.0;Ambühl Joel;**;13;54.75;11;36.0;0;0.0;8.5
-;16;44.5;Hayoz Quentin;*;20;52.75;18;44.0;2;-0.5;8.75

19a;Kenel Franz-Toni;*;;;;;;;;;53.0
+;;;Gottofrey Luc;*;;;;;;;9.75
o;2;9.75;Gnägi Florian;***;1;58.75;1;10.0;-1;0.25;8.5
-;7;18.25;Burger Matthieu;**;9;55.75;6;18.5;-1;0.25;8.75
-;11;27.0;Haenni Stéphane;**;10;55.5;11;27.0;0;0.0;8.75
-;12;35.75;Siegenthaler Leo (2005);*;20;52.75;13;35.5;1;-0.25;8.75
o;16;44.5;Dousse Michel;**;16;54.0;17;44.25;1;-0.25;8.5

20a;Siegenthaler Leo (2005);*;;;;;;;;;52.75
o;;;Lüthi David;*;;;;;;;8.5
+;5;8.5;Odermatt Christian;**;10;55.5;4;8.75;-1;0.25;10.0
o;6;18.5;von Weissenfluh Kilian;***;7;56.25;6;18.5;0;0.0;8.5
o;11;27.0;Wittwer Jan;**;3;57.25;10;27.25;-1;0.25;8.5
-;13;35.5;Kenel Franz-Toni;*;19;53.0;12;35.75;-1;0.25;8.75
o;17;44.25;Kälin Roland;**;11;55.25;12;45.5;-5;1.25;8.5

20b;Fankhauser Hans;*;;;;;;;;;52.75
-;;;Gisler Jonas;*;;;;;;;8.75
+;4;8.75;Pürro David;*;24;35.25;5;8.5;1;-0.25;10.0
o;5;18.75;Ulrich Marco;**;10;55.5;6;18.5;1;-0.25;8.5
o;10;27.25;Vogel Remo;**;10;55.5;11;27.0;1;-0.25;8.5
o;12;35.75;Odermatt Christian;**;10;55.5;12;35.75;0;0.0;8.5
o;17;44.25;Aebersold Fabian;*;13;54.75;14;45.0;-3;0.75;8.5

20c;Hayoz Quentin;*;;;;;;;;;52.75
o;;;Bissig Lukas;*;;;;;;;8.5
+;5;8.5;Effinger Markus;*;26;34.5;4;8.75;-1;0.25;10.0
o;6;18.5;Aebersold Fabian;*;13;54.75;7;18.25;1;-0.25;8.5
o;11;27.0;Kropf Thomas;**;11;55.25;6;28.25;-5;1.25;8.5
o;13;35.5;Haenni Stéphane;**;10;55.5;12;35.75;-1;0.25;8.5
-;18;44.0;Gnägi Damian;*;18;53.25;16;44.5;-2;0.5;8.75

20d;Wieland Janis;*;;;;;;;;;52.75
o;;;Schenk Thomas;*;;;;;;;8.5
+;5;8.5;Odermatt Christian;**;10;55.5;4;8.75;-1;0.25;9.75
o;7;18.25;Thöni Reto;*;14;54.5;6;18.5;-1;0.25;8.5
-;12;26.75;Gnägi Damian;*;18;53.25;10;27.25;-2;0.5;9.0
o;12;35.75;Kessler Joel;*;12;55.0;10;36.25;-2;0.5;8.5
o;17;44.25;Gisler Jonas;*;17;53.75;18;44.0;1;-0.25;8.5

21a;Schläfli Hugo;*;;;;;;;;;52.5
o;;;Tschumi Lukas;*;;;;;;;8.5
o;5;8.5;Gnägi Damian;*;18;53.25;4;8.75;-1;0.25;8.5
o;10;17.0;Heiniger Marco;**;15;54.25;9;17.25;-1;0.25;8.5
+;17;25.5;Pasquier Loïc;*;28;34.0;17;25.5;0;0.0;10.0
o;13;35.5;Kälin Roland;**;11;55.25;12;35.75;-1;0.25;8.5
o;18;44.0;Schürpf Bruno;*;11;55.25;12;45.5;-6;1.5;8.5

22a;Müller Michael;**;;;;;;;;;35.75
o;;;Orlik Curdin;***;;;;;;;8.5
+;5;8.5;Aebersold Fabian;*;13;54.75;2;9.75;-3;1.25;10.0
o;6;18.5;Ledermann Michael;**;5;56.75;6;18.5;0;0.0;8.75
o;10;27.25;Sommer Roman;*;9;55.75;10;27.25;0;0.0;8.5

22b;Inniger Thomas;***;;;;;;;;;35.75
-;;;Moser Steven;**;;;;;;;8.75
o;4;8.75;Bissig Lukas;*;6;56.5;1;10.0;-3;1.25;8.5
+;9;17.25;Baeriswyl Christoph;**;15;54.25;7;18.25;-2;1.0;10.0
o;10;27.25;Suter Beat;*;15;54.25;11;27.0;1;-0.25;8.5

22c;Schenk Patrick;***;;;;;;;;;35.75
+;;;Hofer Sven;**;;;;;;;10.0
o;1;10.0;Gapany Benjamin;***;4;57.0;1;10.0;0;0.0;8.5
o;6;18.5;Burch Jonas;**;9;55.75;6;18.5;0;0.0;8.75
o;10;27.25;Suppiger Werner;**;9;55.75;11;27.0;1;-0.25;8.5

23a;Kramer Dorian;**;;;;;;;;;35.5
o;;;Omlin Toni;*;;;;;;;8.5
+;5;8.5;Baumann Roger;*;29;17.25;4;8.75;-1;0.25;10.0
o;6;18.5;Berger Lorenz;**;4;57.0;6;18.5;0;0.0;8.5
o;11;27.0;Thomet Adrian;**;10;55.5;11;27.0;0;0.0;8.5

24a;Grossenbacher Simon;*;;;;;;;;;35.25
o;;;Schär Alex;*;;;;;;;8.5
o;5;8.5;Burch Jonas;**;9;55.75;4;8.75;-1;0.25;8.5
+;10;17.0;Gottofrey Luc;*;27;34.25;10;17.0;0;0.0;9.75
o;12;26.75;Doppmann Urs;**;10;55.5;11;27.0;-1;0.25;8.5

24b;Bucher Christian;**;;;;;;;;;35.25
o;;;Baeriswyl Christoph;**;;;;;;;8.5
o;5;8.5;Hofer Sven;**;9;55.75;5;8.5;0;0.0;8.5
+;10;17.0;Zbinden Dario (2004);*;24;35.25;10;17.0;0;0.0;9.75
o;12;26.75;Moser Steven;**;11;55.25;14;26.25;2;-0.5;8.5

24c;Pürro David;*;;;;;;;;;35.25
o;;;Thöni Reto;*;;;;;;;8.5
o;5;8.5;Fankhauser Hans;*;20;52.75;4;8.75;-1;0.25;8.5
+;10;17.0;Effinger Markus;*;26;34.5;9;17.25;-1;0.25;9.75
o;12;26.75;Bernhard Lukas;**;15;54.25;11;27.0;-1;0.25;8.5

24d;Dufey Gil;*;;;;;;;;;35.25
o;;;Schürpf Bruno;*;;;;;;;8.5
+;5;8.5;Zbinden Dario (2004);*;24;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Suppiger Werner;**;9;55.75;9;17.25;2;-1.0;8.5
o;12;26.75;von Büren Stephan;**;12;55.0;12;26.75;0;0.0;8.5

24e;Zbinden Dario (2004);*;;;;;;;;;35.25
o;;;Suter Beat;*;;;;;;;8.5
o;5;8.5;Dufey Gil;*;24;35.25;5;8.5;0;0.0;8.5
o;10;17.0;Bucher Christian;**;24;35.25;10;17.0;0;0.0;8.5
+;17;25.5;Martin Gaël (2004);*;27;34.25;16;25.75;-1;0.25;9.75

25a;Rogivue Théo;*;;;;;;;;;34.75
-;;;Gnägi Damian;*;;;;;;;8.75
o;4;8.75;Gehrig Philipp;**;11;55.25;4;8.75;0;0.0;8.5
-;9;17.25;Balimann Sandro;*;18;53.25;8;17.5;-1;0.25;9.0
o;14;26.25;Dousse Michel;**;16;54.0;16;25.75;2;-0.5;8.5

26a;Effinger Markus;*;;;;;;;;;34.5
-;;;Balimann Sandro;*;;;;;;;8.75
o;4;8.75;Hayoz Quentin;*;20;52.75;5;8.5;1;-0.25;8.5
o;9;17.25;Pürro David;*;24;35.25;10;17.0;1;-0.25;8.5
-;16;25.75;Gottofrey Luc;*;27;34.25;17;25.5;1;-0.25;8.75

26b;Dubey Gaël;*;;;;;;;;;34.5
-;;;Baumann Roger;*;;;;;;;8.75
o;4;8.75;Doppmann Urs;**;10;55.5;5;8.5;1;-0.25;8.5
-;9;17.25;Dorsaz Théo;*;27;34.25;10;17.0;1;-0.25;8.75
o;15;26.0;Balimann Sandro;*;18;53.25;13;26.5;-2;0.5;8.5

27a;Dorsaz Théo;*;;;;;;;;;34.25
o;;;Sommer Roman;*;;;;;;;8.5
o;5;8.5;Roth Dominik;**;8;56.0;4;8.75;-1;0.25;8.5
-;10;17.0;Dubey Gaël;*;26;34.5;9;17.25;-1;0.25;8.75
o;16;25.75;Odermatt Christian;**;10;55.5;16;25.75;0;0.0;8.5

27b;Martin Gaël (2004);*;;;;;;;;;34.25
o;;;Aebersold Fabian;*;;;;;;;8.5
-;5;8.5;Tornare Paul;*;27;34.25;5;8.5;0;0.0;8.75
o;9;17.25;Vogel Remo;**;10;55.5;10;17.0;1;-0.25;8.5
o;16;25.75;Zbinden Dario (2004);*;24;35.25;17;25.5;1;-0.25;8.5

27c;Tornare Paul;*;;;;;;;;;34.25
o;;;Moser Michael (2005);*;;;;;;;8.5
-;5;8.5;Martin Gaël (2004);*;27;34.25;5;8.5;0;0.0;8.75
o;9;17.25;Bernhard Lukas;**;15;54.25;9;17.25;0;0.0;8.5
o;16;25.75;Schenk Thomas;*;17;53.75;12;26.75;-4;1.0;8.5

27d;Gottofrey Luc;*;;;;;;;;;34.25
o;;;Kenel Franz-Toni;*;;;;;;;8.5
o;5;8.5;Gisler Jonas;*;17;53.75;4;8.75;-1;0.25;8.5
o;10;17.0;Grossenbacher Simon;*;24;35.25;10;17.0;0;0.0;8.5
-;17;25.5;Effinger Markus;*;26;34.5;16;25.75;-1;0.25;8.75

28a;Pasquier Loïc;*;;;;;;;;;34.0
o;;;Arnold Marcel;*;;;;;;;8.5
o;5;8.5;von Büren Stephan;**;12;55.0;5;8.5;0;0.0;8.5
o;10;17.0;Kälin Roland;**;11;55.25;8;17.5;-2;0.5;8.5
o;17;25.5;Schläfli Hugo;*;21;52.5;17;25.5;0;0.0;8.5

28b;Varone Luc;*;;;;;;;;;34.0
o;;;Kessler Joel;*;;;;;;;8.5
o;5;8.5;Wittwer Jan;**;3;57.25;4;8.75;-1;0.25;8.5
o;10;17.0;Gottofrey Marc;**;10;55.5;10;17.0;0;0.0;8.5
o;17;25.5;Odermatt Christian;**;10;55.5;16;25.75;-1;0.25;8.5

29a;Baumann Roger;*;;;;;;;;;17.25
-;;;Dubey Gaël;*;;;;;;;8.75
o;4;8.75;Kramer Dorian;**;23;35.5;5;8.5;1;-0.25;8.5

30a;Waser Dominik;**;;;;;;;;;8.5
o;;;Sturny Nicolas;**;;;;;;;8.5

