5593-2022-05-22_99_Urner_Kant_Schwingfest3-ST

1a;Gisler Silvan;;;;;;;;;;107.5
+;7;18.5;Herger Flavio;;13;55.5;6;18.75;-1;0.25;10.0
o;5;28.5;Ambühl Joel;**;7;57.0;5;28.5;0;0.0;8.5
+;10;37.0;Hurschler Adrian;;18;54.25;9;37.25;-1;0.25;9.75
+;9;46.75;Stöckli Damian;*;16;54.75;11;46.25;2;-0.5;9.75

9j;Nietlispach Pascal;**;;;;;;;;;56.5
o;;;Stöckli Stefan;***;;;;;;;8.5
+;6;8.5;Eﬃnger Markus;*;19;54.0;5;8.75;-1;0.25;9.75
+;8;18.25;Egli Matthias;;12;55.75;6;18.75;-2;0.5;10.0
-;6;28.25;Schmid Simon;*;14;55.25;6;28.25;0;0.0;8.75
+;10;37.0;Staffelbach Noah;;13;55.5;10;37.0;0;0.0;9.75
+;9;46.75;Felder Martin;*;11;56.0;7;47.25;-2;0.5;9.75

9k;Heiniger Marco;**;;;;;;;;;56.5
o;;;Gwerder Dario;**;;;;;;;8.5
+;6;8.5;Moos Christoph;*;13;55.5;5;8.75;-1;0.25;9.75
+;8;18.25;Reichmuth Marco (2005);;19;54.0;7;18.5;-1;0.25;10.0
+;6;28.25;Odermatt Remo;*;14;55.25;6;28.25;0;0.0;10.0
o;5;38.25;Kramer Lario;***;2;58.5;4;38.5;-1;0.25;8.5
+;9;46.75;Kaiser Sandro;;15;55.0;10;46.5;1;-0.25;9.75

9l;Suter Pirmin;**;;;;;;;;;56.5
-;;;Arnold Raphael;**;;;;;;;9.0
+;4;9.0;Wyss Christian;*;16;54.75;6;8.5;2;-0.5;9.75
-;6;18.75;Stöckli Stefan;***;8;56.75;7;18.5;1;-0.25;9.0
+;8;27.75;Waser Kevin (2006);;18;54.25;6;28.25;-2;0.5;9.75
-;8;37.5;Schori Kevin (2004);;15;55.0;10;37.0;2;-0.5;9.0
+;10;46.5;Ulrich Gregor;*;12;55.75;8;47.0;-2;0.5;10.0

10a;Lustenberger Josef;*;;;;;;;;;56.25
-;;;Waser Reto;*;;;;;;;9.0
o;4;9.0;Arnold Raphael;**;5;57.5;4;9.0;0;0.0;8.5
+;11;17.5;Walker Jan (2004);;18;54.25;6;18.75;-5;1.25;10.0
+;9;27.5;Arnold Kilian;;22;53.25;9;27.5;0;0.0;10.0
-;8;37.5;Gisler Jonas;*;16;54.75;8;37.5;0;0.0;8.75
+;11;46.25;Hegner Ueli;*;13;55.5;9;46.75;-2;0.5;10.0

11a;Lussi Marco;**;;;;;;;;;56.0
-;;;Riebli Urs;*;;;;;;;8.75
+;5;8.75;Wyrsch Silvio;*;12;55.75;5;8.75;0;0.0;10.0
+;6;18.75;Zberg Peter (2004);;14;55.25;3;19.75;-3;1.0;9.75
-;5;28.5;Schwyzer Samuel;*;6;57.25;5;28.5;0;0.0;8.75
+;9;37.25;Gwerder Beni;;14;55.25;10;37.0;1;-0.25;10.0
-;7;47.25;Gerber Peter;*;13;55.5;9;46.75;2;-0.5;8.75

11b;Reichmuth Lukas;*;;;;;;;;;56.0
o;;;Herger Fabian;*;;;;;;;8.5
o;6;8.5;Zberg Peter (2004);;14;55.25;2;10.0;-4;1.5;8.5
+;13;17.0;Lienhard Ramon (2004);;18;54.25;7;18.5;-6;1.5;10.0
+;11;27.0;Durrer Markus;*;14;55.25;11;27.0;0;0.0;10.0
-;10;37.0;Schori Kevin (2004);;15;55.0;10;37.0;0;0.0;9.0
+;12;46.0;Baumann Roger;*;16;54.75;12;46.0;0;0.0;10.0

11c;Hirsiger Alexander;*;;;;;;;;;56.0
-;;;Suter Beat;*;;;;;;;8.75
-;5;8.75;Beffa Mario;;11;56.0;2;10.0;-3;1.25;8.75
+;11;17.5;Ming Hannes;;13;55.5;7;18.5;-4;1.0;10.0
o;9;27.5;Hegner Ueli;*;13;55.5;6;28.25;-3;0.75;8.5
+;14;36.0;Herger Flavio;;13;55.5;10;37.0;-4;1.0;10.0
+;12;46.0;Epp Elias;;16;54.75;11;46.25;-1;0.25;10.0

11d;Jund Matthias;*;;;;;;;;;56.0
-;;;Bissig Lukas;*;;;;;;;8.75
-;5;8.75;Moos Christoph;*;13;55.5;5;8.75;0;0.0;9.0
+;10;17.75;Gisler Silvan;;1;107.5;1;36.5;-9;18.75;10.0
+;8;27.75;Baumann Marco;;15;55.0;6;28.25;-2;0.5;9.75
o;8;37.5;Kenel Franz-Toni;*;7;57.0;8;37.5;0;0.0;8.5
+;12;46.0;Ettlin Michael;;16;54.75;11;46.25;-1;0.25;10.0

11e;Omlin Toni;*;;;;;;;;;56.0
-;;;Ambühl Joel;**;;;;;;;8.75
+;5;8.75;Meier Daniel;*;29;34.75;5;8.75;0;0.0;10.0
+;6;18.75;Suter Raphael;;14;55.25;4;19.5;-2;0.75;10.0
o;4;28.75;Kessler Joel;*;9;56.5;4;28.75;0;0.0;8.5
+;9;37.25;Arnold Elias (2006);;18;54.25;9;37.25;0;0.0;10.0
-;7;47.25;Reichmuth Roland;*;13;55.5;10;46.5;3;-0.75;8.75

11f;Imhof Andi;***;;;;;;;;;56.0
o;;;Orlik Armon;***;;;;;;;8.5
+;6;8.5;Heinzer Ronny;*;9;56.5;2;10.0;-4;1.5;10.0
+;7;18.5;Marti Simon;*;13;55.5;6;18.75;-1;0.25;9.75
-;6;28.25;Balimann Sandro;*;17;54.5;6;28.25;0;0.0;8.75
-;10;37.0;Schürpf Bruno;*;9;56.5;8;37.5;-2;0.5;9.0
+;12;46.0;Käslin Ruedi;*;16;54.75;11;46.25;-1;0.25;10.0

11g;Beffa Mario;;;;;;;;;;56.0
+;;;Lustenberger Tim (2005);;;;;;;;10.0
-;2;10.0;Hirsiger Alexander;*;11;56.0;5;8.75;3;-1.25;8.75
o;6;18.75;Schwyzer Samuel;*;6;57.25;7;18.5;1;-0.25;8.5
+;10;27.25;Ettlin Mario;;26;35.5;11;27.0;1;-0.25;10.0
-;9;37.25;Balimann Sandro;*;17;54.5;10;37.0;1;-0.25;8.75
+;12;46.0;von Wyl Simon;;17;54.5;12;46.0;0;0.0;10.0

11h;Felder Martin;*;;;;;;;;;56.0
o;;;Zurﬂuh Michael;*;;;;;;;8.75
-;5;8.75;Baumann Roger;*;16;54.75;6;8.5;1;-0.25;9.0
+;10;17.75;Betschart Roger;;16;54.75;5;19.0;-5;1.25;9.75
