4753-2021-07-04_Appenzeller_Kantonalschwingfest-ST

1a;Schlegel Werner;**;;;;;;;;;59.5
+;5;18.5;Dudli Gallus;;20;53.75;5;18.5;0;0.0;10.0
o;5;28.5;Schwyn Adrian;*;15;55.0;6;28.25;1;-0.25;8.5
o;10;37.0;Graf Nicola (2003);;13;55.5;14;36.0;4;-1.0;8.5
o;14;45.5;Bucher Roman (2003);;13;55.5;13;45.75;-1;0.25;8.75

18i;Büchler Livio;;;;;;;;;;54.25
-;;;Imhof Gregor;;;;;;;;8.75
-;4;8.75;Fässler Tobias;;17;54.5;4;8.75;0;0.0;8.75
+;9;17.5;Fuster Arjuna (2003);;13;55.5;11;17.0;2;-0.5;9.75
o;10;27.25;Bucher Roman (2003);;13;55.5;10;27.25;0;0.0;8.5
+;15;35.75;Fofanah Ryan (2005);;23;53.0;16;35.5;1;-0.25;10.0
o;13;45.75;Schiesser Patrik;*;13;55.5;13;45.75;0;0.0;8.5

19a;Ackermann Roman;;;;;;;;;;54.0
+;;;Gantenbein Linard (2004);;;;;;;;10.0
o;1;10.0;Wolfer Lukas;*;27;35.5;5;8.5;4;-1.5;8.5
o;5;18.5;Thiemann Fabrice;;13;55.5;5;18.5;0;0.0;8.5
+;11;27.0;Vetterli Sven (2003);;20;53.75;11;27.0;0;0.0;10.0
o;10;37.0;Raschle Urban (2003);;11;56.0;14;36.0;4;-1.0;8.5
o;14;45.5;Hänni Marc;;12;55.75;13;45.75;-1;0.25;8.5

19b;Laager Michael;;;;;;;;;;54.0
-;;;Thoma Luca;;;;;;;;8.75
+;4;8.75;Freund Samuel (2004);;21;53.5;2;9.75;-2;1.0;9.75
o;5;18.5;Kolb Kilian (2005);;13;55.5;4;18.75;-1;0.25;8.5
+;11;27.0;Arnold Christian;;20;53.75;11;27.0;0;0.0;10.0
o;10;37.0;Schläpfer Matthias;*;14;55.25;11;36.75;1;-0.25;8.5
o;14;45.5;Baumgartner Ramon;;13;55.5;13;45.75;-1;0.25;8.5

19c;Nüesch Sandro (2005);;;;;;;;;;54.0
-;;;Bucher Roman (2003);;;;;;;;8.75
+;4;8.75;Kern Sven (2003);;30;34.25;5;8.5;1;-0.25;9.75
o;5;18.5;Oettli Silvio;*;16;54.75;5;18.5;0;0.0;8.5
+;11;27.0;Müller Christian;;13;55.5;11;27.0;0;0.0;10.0
o;10;37.0;Giger Florian;;15;55.0;11;36.75;1;-0.25;8.5
o;14;45.5;Fuster Arjuna (2003);;13;55.5;14;45.5;0;0.0;8.5

19d;Signer Walter;;;;;;;;;;54.0
o;;;Magani Flurin;;;;;;;;8.75
+;4;8.75;Wenger Dominic;;28;35.25;5;8.5;1;-0.25;10.0
o;4;18.75;Rotach Lars;*;6;57.25;4;18.75;0;0.0;8.5
o;10;27.25;Tobler Pius;;20;53.75;11;27.0;1;-0.25;8.5
+;15;35.75;Vetterli Sven (2003);;20;53.75;16;35.5;1;-0.25;9.75
o;14;45.5;Müller Christian;;13;55.5;14;45.5;0;0.0;8.5

19e;Müller Jano (2005);;;;;;;;;;54.0
+;;;Tobler Michael (2004);;;;;;;;9.75
+;2;9.75;Thoma Christoph;;9;56.5;2;9.75;0;0.0;9.75
o;2;19.5;Koch Thomas;*;9;56.5;6;18.25;4;-1.25;8.5
-;7;28.0;Brülisauer Dominik;;14;55.25;7;28.0;0;0.0;9.0
o;10;37.0;Keller Lukas;;16;54.75;12;36.5;2;-0.5;8.5
o;14;45.5;Schmid Michael;;13;55.5;14;45.5;0;0.0;8.5

19f;Mösli Reto;;;;;;;;;;54.0
+;;;Graf Dominik (2005);;;;;;;;9.75
o;2;9.75;Heierli Pascal;*;10;56.25;5;8.5;3;-1.25;8.5
+;6;18.25;Bachmann Oliver (2004);;28;35.25;6;18.25;0;0.0;10.0
o;6;28.25;Lanter Christian;*;10;56.25;9;27.5;3;-0.75;8.75
o;10;37.0;Burch Dean;;13;55.5;10;37.0;0;0.0;8.5
o;14;45.5;Reichmuth Beat;;11;56.0;12;46.0;-2;0.5;8.5

19g;Habegger Andrin (2005);;;;;;;;;;54.0
o;;;Inauen Maurus (2003);;;;;;;;8.5
+;5;8.5;Preisig Manuel;;30;34.25;5;8.5;0;0.0;10.0
o;5;18.5;Schuler Martin;*;12;55.75;8;17.75;3;-0.75;8.5
+;11;27.0;Dudli Gallus;;20;53.75;11;27.0;0;0.0;10.0
o;10;37.0;Jörger Corsin;*;12;55.75;10;37.0;0;0.0;8.5
o;14;45.5;Winzeler Simon;;15;55.0;15;45.25;1;-0.25;8.5

19h;Schoch Cornel;;;;;;;;;;54.0
-;;;Baumgartner Joël;;;;;;;;8.75
o;4;8.75;Stauffacher Martin;;19;54.0;4;8.75;0;0.0;8.5
+;10;17.25;Peter Marcel (2004);;31;34.0;11;17.0;1;-0.25;9.75
+;11;27.0;Wittenwiler Mathias (2003);;28;35.25;12;26.75;1;-0.25;10.0
o;10;37.0;Thoma Christoph;;9;56.5;11;36.75;1;-0.25;8.5
o;14;45.5;Thiemann Fabrice;;13;55.5;13;45.75;-1;0.25;8.5

19i;Stauffacher Martin;;;;;;;;;;54.0
o;;;Inauen Aurel;;;;;;;;8.75
+;4;8.75;Schoch Cornel;;19;54.0;4;8.75;0;0.0;9.75
o;5;18.5;Poltera Andrin;*;7;57.0;6;18.25;1;-0.25;8.5
o;11;27.0;Joos Enrico (2003);;14;55.25;8;27.75;-3;0.75;8.5
o;16;35.5;Imhof Gregor;;20;53.75;16;35.5;0;0.0;8.5
+;19;44.0;Gantenbein Linard (2004);;24;52.75;18;44.25;-1;0.25;10.0

20a;Keller Stefan;;;;;;;;;;53.75
+;;;Peter Marcel (2004);;;;;;;;9.75
o;2;9.75;Kolb Pirmin;*;9;56.5;3;9.0;1;-0.75;8.5
o;6;18.25;Roth Sämi;;13;55.5;6;18.25;0;0.0;8.5
+;12;26.75;Müggler Silvan;;28;35.25;12;26.75;0;0.0;10.0
o;11;36.75;Kuhn Roman;*;13;55.5;10;37.0;-1;0.25;8.5
o;15;45.25;Graf Nicola (2003);;13;55.5;13;45.75;-2;0.5;8.5

20b;Weder Yanick (2003);;;;;;;;;;53.75
+;;;Tobler Tobias (2005);;;;;;;;10.0
o;1;10.0;Schmid Patrick;*;7;57.0;2;9.75;1;-0.25;8.5
o;5;18.5;Kolb This (2003);;8;56.75;5;18.5;0;0.0;8.5
o;11;27.0;Schiegg Raphael (2005);;17;54.5;10;27.25;-1;0.25;8.5
o;16;35.5;Thoma Luca;;17;54.5;14;36.0;-2;0.5;8.5
+;19;44.0;Tobler Michael (2004);;24;52.75;18;44.25;-1;0.25;9.75

20c;Tobler Pius;;;;;;;;;;53.75
o;;;Signer Ramon;;;;;;;;8.5
+;5;8.5;Meier Christian (2003);;30;34.25;5;8.5;0;0.0;10.0
o;5;18.5;Kammermann Dominik;;11;56.0;4;18.75;-1;0.25;8.5
+;11;27.0;Signer Walter;;19;54.0;10;27.25;-1;0.25;9.75
o;11;36.75;Inauen Maurus (2003);;12;55.75;9;37.25;-2;0.5;8.5
o;15;45.25;Inauen Marco;;14;55.25;15;45.25;0;0.0;8.5

20d;Knellwolf Sebastian;;;;;;;;;;53.75
o;;;Hug Jan;;;;;;;;8.5
+;5;8.5;Fofanah Ryan (2005);;23;53.0;4;8.75;-1;0.25;9.75
+;6;18.25;Bleiker Ueli (2004);;28;35.25;6;18.25;0;0.0;10.0
o;6;28.25;Baumgartner Ramon;;13;55.5;10;27.25;4;-1.0;8.5
o;11;36.75;Hugelshofer Lars;*;9;56.5;12;36.5;1;-0.25;8.5
o;15;45.25;Tschudi Mario;;15;55.0;15;45.25;0;0.0;8.5

20e;Eisenhut Matthias (2005);;;;;;;;;;53.75
+;;;Zehnder Mario;;;;;;;;10.0
o;1;10.0;Fontana Michael;*;14;55.25;5;8.5;4;-1.5;8.5
o;5;18.5;Roth Peter;;7;57.0;5;18.5;0;0.0;8.5
+;11;27.0;Schlegel Jamie (2004);;28;35.25;12;26.75;1;-0.25;9.75
o;11;36.75;Roth Sämi;;13;55.5;11;36.75;0;0.0;8.5
o;15;45.25;Koller Andreas;;14;55.25;15;45.25;0;0.0;8.5

20f;Tobler Tobias (2005);;;;;;;;;;53.75
o;;;Weder Yanick (2003);;;;;;;;8.5
o;5;8.5;Bucher Roman (2003);;13;55.5;4;8.75;-1;0.25;8.5
+;11;17.0;Tobler Marco;;28;35.25;11;17.0;0;0.0;10.0
+;11;27.0;Wenger Dominic;;28;35.25;12;26.75;1;-0.25;9.75
o;11;36.75;Wey Nicola;*;11;56.0;8;37.5;-3;0.75;8.5
o;15;45.25;Arnold Christian;;20;53.75;19;44.0;4;-1.25;8.5

20g;Arnold Christian;;;;;;;;;;53.75
o;;;Fässler Michael;;;;;;;;8.5
o;5;8.5;Tanner Adrian;;17;54.5;5;8.5;0;0.0;8.75
+;10;17.25;Tobler Michael (2004);;24;52.75;10;17.25;0;0.0;9.75
o;11;27.0;Laager Michael;;19;54.0;11;27.0;0;0.0;8.5
o;16;35.5;Giger Lorenz;;15;55.0;11;36.75;-5;1.25;8.5
+;19;44.0;Tobler Tobias (2005);;20;53.75;15;45.25;-4;1.25;9.75

20h;Imhof Gregor;;;;;;;;;;53.75
-;;;Büchler Livio;;;;;;;;8.75
+;4;8.75;Inauen Marco;;14;55.25;4;8.75;0;0.0;9.75
o;5;18.5;Landolt Reto;*;8;56.75;6;18.25;1;-0.25;8.5
o;11;27.0;Signer Andy (2003);;12;55.75;5;28.5;-6;1.5;8.5
+;16;35.5;Stauffacher Martin;;19;54.0;16;35.5;0;0.0;9.75
o;15;45.25;Castelli Fabio;;12;55.75;13;45.75;-2;0.5;8.5

20i;Dudli Gallus;;;;;;;;;;53.75
+;;;Brülisauer Thomas (2003);;;;;;;;10.0
o;1;10.0;Schmid Dominik;**;4;57.75;3;9.0;2;-1.0;8.5
o;5;18.5;Mösli Marcel;;18;54.25;5;18.5;0;0.0;8.5
o;11;27.0;Habegger Andrin (2005);;19;54.0;11;27.0;0;0.0;8.5
+;16;35.5;Zemp Stefan;;26;44.25;16;35.5;0;0.0;9.75
o;15;45.25;Notz Armin;*;15;55.0;16;45.0;1;-0.25;8.5

20j;Sonderegger Max;;;;;;;;;;53.75
o;;;Kundert Elias (2005);;;;;;;;8.5
+;5;8.5;Lüönd Remo (2003);;28;35.25;5;8.5;0;0.0;9.75
o;6;18.25;Notz Armin;*;15;55.0;9;17.5;3;-0.75;8.5
+;12;26.75;Fofanah Ryan (2005);;23;53.0;11;27.0;-1;0.25;9.75
o;12;36.5;Fässler Michael;;14;55.25;11;36.75;-1;0.25;8.5
o;16;45.0;Magani Flurin;;18;54.25;17;44.5;1;-0.5;8.5
+;21;53.5;Brülisauer Thomas (2003);;21;53.5;21;53.5;0;0.0;0.25

20k;Diem Hansruedi;;;;;;;;;;53.75
o;;;Kühne Cyrill (2004);;;;;;;;8.5
+;5;8.5;Gantenbein Linard (2004);;24;52.75;4;8.75;-1;0.25;10.0
o;5;18.5;Schmid Gian (2003);;14;55.25;5;18.5;0;0.0;8.5
o;11;27.0;Schönenberger Tobias (2004);;12;55.75;9;27.5;-2;0.5;8.5
+;16;35.5;Graf Dominik (2005);;23;53.0;16;35.5;0;0.0;9.75
o;15;45.25;Zehnder Mario;;15;55.0;16;45.0;1;-0.25;8.5

20l;Vetterli Sven (2003);;;;;;;;;;53.75
o;;;Wick Christian;;;;;;;;8.5
o;5;8.5;Giger Lorenz;;15;55.0;5;8.5;0;0.0;8.5
+;11;17.0;Keller Neel (2004);;28;35.25;11;17.0;0;0.0;10.0
o;11;27.0;Ackermann Roman;;19;54.0;11;27.0;0;0.0;8.5
o;16;35.5;Signer Walter;;19;54.0;15;35.75;-1;0.25;8.5
+;19;44.0;Freund Samuel (2004);;21;53.5;16;45.0;-3;1.0;9.75

21a;Brülisauer Thomas (2003);;;;;;;;;;53.5
o;;;Dudli Gallus;;;;;;;;8.5
+;5;8.5;Müller Christian;;13;55.5;5;8.5;0;0.0;9.75
o;6;18.25;Tschudi Mario;;15;55.0;6;18.25;0;0.0;8.5
+;12;26.75;Graf Dominik (2005);;23;53.0;11;27.0;-1;0.25;9.75
o;12;36.5;Ruppanner Philipp;;15;55.0;12;36.5;0;0.0;8.5
o;16;45.0;Sonderegger Max;;20;53.75;16;45.0;0;0.0;8.5

21b;Freund Samuel (2004);;;;;;;;;;53.5
+;;;Tobler Marco;;;;;;;;9.75
o;2;9.75;Laager Michael;;19;54.0;4;8.75;2;-1.0;8.5
o;6;18.25;Lanter Christian;*;10;56.25;9;17.5;3;-0.75;8.5
+;12;26.75;Bachmann Oliver (2004);;28;35.25;12;26.75;0;0.0;9.75
o;12;36.5;Müller Christian;;13;55.5;15;35.75;3;-0.75;8.5
o;16;45.0;Vetterli Sven (2003);;20;53.75;19;44.0;3;-1.0;8.5

22a;Nef Tobias (2005);;;;;;;;;;53.25
o;;;Ruppanner Philipp;;;;;;;;8.5
+;5;8.5;Peter Marcel (2004);;31;34.0;5;8.5;0;0.0;9.75
o;6;18.25;Wettstein Daniel;;8;56.75;6;18.25;0;0.0;8.5
-;12;26.75;Magani Flurin;;18;54.25;12;26.75;0;0.0;9.0
o;15;35.75;Fässler Tobias;;17;54.5;14;36.0;-1;0.25;8.5
-;18;44.25;Graf Dominik (2005);;23;53.0;19;44.0;1;-0.25;9.0

23a;Vollenweider Loïc (2004);;;;;;;;;;53.0
-;;;Rust Emanuel;;;;;;;;8.75
+;4;8.75;Schoch René;;29;34.5;4;8.75;0;0.0;9.75
-;5;18.5;Inauen Andreas;*;14;55.25;5;18.5;0;0.0;8.75
o;10;27.25;Hänni Marc;;12;55.75;10;27.25;0;0.0;8.5
o;15;35.75;Aebli Nino;;18;54.25;16;35.5;1;-0.25;8.5
o;18;44.25;Bleiker Daniel;;18;54.25;18;44.25;0;0.0;8.75

23b;Baumgartner Joël;;;;;;;;;;53.0
-;;;Schoch Cornel;;;;;;;;8.75
+;4;8.75;Ruppanner Philipp;;15;55.0;2;9.75;-2;1.0;10.0
o;4;18.75;Jörger Corsin;*;12;55.75;5;18.5;1;-0.25;8.5
o;10;27.25;Hug Jan;;10;56.25;11;27.0;1;-0.25;8.5
o;15;35.75;Bordos Ion;;18;54.25;16;35.5;1;-0.25;8.5
-;18;44.25;Fofanah Ryan (2005);;23;53.0;18;44.25;0;0.0;8.75

23c;Graf Dominik (2005);;;;;;;;;;53.0
o;;;Mösli Reto;;;;;;;;8.5
o;5;8.5;Langenegger Beat;;13;55.5;4;8.75;-1;0.25;8.5
+;11;17.0;Meier Christian (2003);;30;34.25;11;17.0;0;0.0;10.0
o;11;27.0;Brülisauer Thomas (2003);;21;53.5;12;26.75;1;-0.25;8.5
o;16;35.5;Diem Hansruedi;;20;53.75;16;35.5;0;0.0;8.5
-;19;44.0;Nef Tobias (2005);;22;53.25;18;44.25;-1;0.25;9.0

23d;Fofanah Ryan (2005);;;;;;;;;;53.0
o;;;Roth Sämi;;;;;;;;8.75
o;4;8.75;Knellwolf Sebastian;;20;53.75;5;8.5;1;-0.25;8.5
+;10;17.25;Preisig Manuel;;30;34.25;11;17.0;1;-0.25;9.75
o;11;27.0;Sonderegger Max;;20;53.75;12;26.75;1;-0.25;8.5
o;16;35.5;Büchler Livio;;18;54.25;15;35.75;-1;0.25;8.75
-;18;44.25;Baumgartner Joël;;23;53.0;18;44.25;0;0.0;8.75

24a;Tobler Michael (2004);;;;;;;;;;52.75
o;;;Müller Jano (2005);;;;;;;;8.5
o;5;8.5;Anliker Andri (2003);;18;54.25;5;8.5;0;0.0;8.75
o;10;17.25;Arnold Christian;;20;53.75;10;17.25;0;0.0;8.5
+;14;25.75;Kern Sven (2003);;30;34.25;14;25.75;0;0.0;10.0
o;15;35.75;Fuster Arjuna (2003);;13;55.5;16;35.5;1;-0.25;8.5
o;18;44.25;Weder Yanick (2003);;20;53.75;19;44.0;1;-0.25;8.5

24b;Gantenbein Linard (2004);;;;;;;;;;52.75
o;;;Ackermann Roman;;;;;;;;8.75
o;4;8.75;Diem Hansruedi;;20;53.75;5;8.5;1;-0.25;8.5
+;10;17.25;Schoch René;;29;34.5;9;17.5;-1;0.25;10.0
o;10;27.25;Inauen Andreas;*;14;55.25;10;27.25;0;0.0;8.5
o;15;35.75;Keller Cedric;;18;54.25;15;35.75;0;0.0;8.5
o;18;44.25;Stauffacher Martin;;19;54.0;19;44.0;1;-0.25;8.5

25a;Marty Jaime;*;;;;;;;;;45.5
+;;;Schiesser Patrik;*;;;;;;;10.0
o;1;10.0;Schlegel Werner;**;1;59.5;2;9.75;1;-0.25;8.5
+;5;18.5;Kundert Elias (2005);;14;55.25;3;19.0;-2;0.5;10.0
o;5;28.5;Landolt Reto;*;8;56.75;6;28.25;1;-0.25;8.5
o;10;37.0;Wettstein Daniel;;8;56.75;10;37.0;0;0.0;8.5

26a;Zemp Stefan;;;;;;;;;;44.25
+;;;Gätzi Pascal (2005);;;;;;;;10.0
o;1;10.0;Fuster Sepp;*;12;55.75;4;8.75;3;-1.25;8.5
o;5;18.5;Tanner Adrian;;17;54.5;5;18.5;0;0.0;8.5
o;11;27.0;Kundert Elias (2005);;14;55.25;9;27.5;-2;0.5;8.5
o;16;35.5;Dudli Gallus;;20;53.75;16;35.5;0;0.0;8.75

27a;Wolfer Lukas;*;;;;;;;;;35.5
o;;;Dörig Erich;*;;;;;;;8.5
+;5;8.5;Ackermann Roman;;19;54.0;1;10.0;-4;1.5;10.0
o;5;18.5;Fuster Sepp;*;12;55.75;4;18.75;-1;0.25;8.5
o;11;27.0;Ackermann Rico (2003);;8;56.75;6;28.25;-5;1.25;8.5

28a;Inauen Ivo;;;;;;;;;;35.25
o;;;Müggler Silvan;;;;;;;;8.5
+;5;8.5;Gätzi Pascal (2005);;31;34.0;5;8.5;0;0.0;9.75
o;6;18.25;Geisser Lars;**;7;57.0;10;17.25;4;-1.0;8.5
o;12;26.75;Zehnder Mario;;15;55.0;12;26.75;0;0.0;8.5

28b;Keller Neel (2004);;;;;;;;;;35.25
o;;;Bachmann Oliver (2004);;;;;;;;8.5
o;5;8.5;Krucker Silvan;;28;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Vetterli Sven (2003);;20;53.75;11;17.0;0;0.0;8.5
+;15;25.5;Gätzi Pascal (2005);;31;34.0;15;25.5;0;0.0;9.75

28c;Bachmann Oliver (2004);;;;;;;;;;35.25
+;;;Keller Neel (2004);;;;;;;;9.75
o;2;9.75;Schegg Daniel;;17;54.5;4;8.75;2;-1.0;8.5
o;6;18.25;Mösli Reto;;19;54.0;6;18.25;0;0.0;8.5
o;12;26.75;Freund Samuel (2004);;21;53.5;12;26.75;0;0.0;8.5

28d;Müggler Silvan;;;;;;;;;;35.25
+;;;Inauen Ivo;;;;;;;;9.75
o;2;9.75;Schläpfer Matthias;*;14;55.25;5;8.5;3;-1.25;8.5
o;6;18.25;Kühne Cyrill (2004);;13;55.5;5;18.5;-1;0.25;8.5
o;12;26.75;Keller Stefan;;20;53.75;12;26.75;0;0.0;8.5

28e;Baumann Nico;;;;;;;;;;35.25
o;;;Hinrichs Silvio (2004);;;;;;;;8.5
o;5;8.5;Giger Florian;;15;55.0;5;8.5;0;0.0;8.5
+;11;17.0;Inauen Silvan (2003);;31;34.0;11;17.0;0;0.0;9.75
o;12;26.75;Inauen Marco;;14;55.25;11;27.0;-1;0.25;8.5

28f;Widmer Fadri (2005);;;;;;;;;;35.25
+;;;Inauen Silvan (2003);;;;;;;;9.75
o;2;9.75;Brülisauer Dominik;;14;55.25;2;9.75;0;0.0;8.5
o;6;18.25;Ackermann Rico (2003);;8;56.75;6;18.25;0;0.0;8.5
o;12;26.75;Schmid Michael;;13;55.5;11;27.0;-1;0.25;8.5

28g;Bleiker Ueli (2004);;;;;;;;;;35.25
+;;;Schoch René;;;;;;;;9.75
o;2;9.75;Aebli Nino;;18;54.25;5;8.5;3;-1.25;8.5
o;6;18.25;Knellwolf Sebastian;;20;53.75;6;18.25;0;0.0;8.5
o;12;26.75;Koller Andreas;;14;55.25;11;27.0;-1;0.25;8.5

28h;Rickenmann Ramon;;;;;;;;;;35.25
+;;;Meier Christian (2003);;;;;;;;9.75
o;2;9.75;Giger Urs;*;4;57.75;2;9.75;0;0.0;8.5
o;6;18.25;Manser Adrian;;16;54.75;6;18.25;0;0.0;8.5
o;12;26.75;Signer Ramon;;18;54.25;11;27.0;-1;0.25;8.5

28i;Tobler Marco;;;;;;;;;;35.25
o;;;Freund Samuel (2004);;;;;;;;8.5
o;5;8.5;Schmid Michael;;13;55.5;5;8.5;0;0.0;8.5
o;11;17.0;Tobler Tobias (2005);;20;53.75;11;17.0;0;0.0;8.5
+;15;25.5;Peter Marcel (2004);;31;34.0;15;25.5;0;0.0;9.75

28j;Wenger Dominic;;;;;;;;;;35.25
o;;;Schiegg Raphael (2005);;;;;;;;8.5
o;5;8.5;Signer Walter;;19;54.0;4;8.75;-1;0.25;8.5
+;11;17.0;Gätzi Pascal (2005);;31;34.0;11;17.0;0;0.0;9.75
o;12;26.75;Tobler Tobias (2005);;20;53.75;11;27.0;-1;0.25;8.5

28k;Krucker Silvan;;;;;;;;;;35.25
o;;;Tschudi Mario;;;;;;;;8.5
+;5;8.5;Keller Neel (2004);;28;35.25;5;8.5;0;0.0;9.75
o;6;18.25;Thoma Christoph;;9;56.5;6;18.25;0;0.0;8.5
o;12;26.75;Reichmuth Beat;;11;56.0;9;27.5;-3;0.75;8.5

28l;Schlegel Jamie (2004);;;;;;;;;;35.25
+;;;Meier Adrian (2005);;;;;;;;9.75
o;2;9.75;Thoma Luca;;17;54.5;4;8.75;2;-1.0;8.5
o;6;18.25;Ruppanner Philipp;;15;55.0;6;18.25;0;0.0;8.5
o;12;26.75;Eisenhut Matthias (2005);;20;53.75;11;27.0;-1;0.25;8.5

28m;Lüönd Remo (2003);;;;;;;;;;35.25
o;;;Kammermann Dominik;;;;;;;;8.5
o;5;8.5;Sonderegger Max;;20;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Inauen Marco;;14;55.25;10;17.25;-1;0.25;8.5
+;15;25.5;Inauen Silvan (2003);;31;34.0;15;25.5;0;0.0;9.75

28n;Wittenwiler Mathias (2003);;;;;;;;;;35.25
+;;;Preisig Manuel;;;;;;;;9.75
o;2;9.75;Reichmuth Beat;;11;56.0;4;8.75;2;-1.0;8.5
o;6;18.25;Giger Florian;;15;55.0;6;18.25;0;0.0;8.5
o;12;26.75;Schoch Cornel;;19;54.0;11;27.0;-1;0.25;8.5

29a;Schoch René;;;;;;;;;;34.5
o;;;Bleiker Ueli (2004);;;;;;;;8.75
o;4;8.75;Vollenweider Loïc (2004);;23;53.0;4;8.75;0;0.0;8.75
o;9;17.5;Gantenbein Linard (2004);;24;52.75;10;17.25;1;-0.25;8.5
o;13;26.0;Keller Cedric;;18;54.25;14;25.75;1;-0.25;8.5

29b;Rust Emanuel;;;;;;;;;;34.5
-;;;Vollenweider Loïc (2004);;;;;;;;8.75
-;4;8.75;Bleiker Daniel;;18;54.25;5;8.5;1;-0.25;8.75
o;9;17.5;Müller Christian;;13;55.5;11;17.0;2;-0.5;8.5
o;13;26.0;Fuster Arjuna (2003);;13;55.5;15;25.5;2;-0.5;8.5

30a;Meier Adrian (2005);;;;;;;;;;34.25
o;;;Schlegel Jamie (2004);;;;;;;;8.5
o;5;8.5;Zehnder Mario;;15;55.0;5;8.5;0;0.0;8.5
-;11;17.0;Kern Sven (2003);;30;34.25;11;17.0;0;0.0;8.75
o;14;25.75;Bleiker Daniel;;18;54.25;14;25.75;0;0.0;8.5

30b;Meier Christian (2003);;;;;;;;;;34.25
o;;;Rickenmann Ramon;;;;;;;;8.5
o;5;8.5;Tobler Pius;;20;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Graf Dominik (2005);;23;53.0;11;17.0;0;0.0;8.5
-;15;25.5;Preisig Manuel;;30;34.25;15;25.5;0;0.0;8.75

30c;Kern Sven (2003);;;;;;;;;;34.25
o;;;Manser Adrian;;;;;;;;8.5
o;5;8.5;Nüesch Sandro (2005);;19;54.0;4;8.75;-1;0.25;8.5
-;11;17.0;Meier Adrian (2005);;30;34.25;11;17.0;0;0.0;8.75
o;14;25.75;Tobler Michael (2004);;24;52.75;14;25.75;0;0.0;8.5

30d;Preisig Manuel;;;;;;;;;;34.25
o;;;Wittenwiler Mathias (2003);;;;;;;;8.5
o;5;8.5;Habegger Andrin (2005);;19;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Fofanah Ryan (2005);;23;53.0;10;17.25;-1;0.25;8.5
-;15;25.5;Meier Christian (2003);;30;34.25;15;25.5;0;0.0;8.75

30e;Studerus Jan;;;;;;;;;;34.25
o;;;Burch Dean;;;;;;;;8.5
o;5;8.5;Hänni Marc;;12;55.75;4;8.75;-1;0.25;8.5
o;11;17.0;Schönenberger Tobias (2004);;12;55.75;9;17.5;-2;0.5;8.75
o;14;25.75;Fässler Tobias;;17;54.5;13;26.0;-1;0.25;8.5

31a;Peter Marcel (2004);;;;;;;;;;34.0
o;;;Keller Stefan;;;;;;;;8.5
o;5;8.5;Nef Tobias (2005);;22;53.25;5;8.5;0;0.0;8.5
o;11;17.0;Schoch Cornel;;19;54.0;10;17.25;-1;0.25;8.5
o;15;25.5;Tobler Marco;;28;35.25;15;25.5;0;0.0;8.5

31b;Gätzi Pascal (2005);;;;;;;;;;34.0
o;;;Zemp Stefan;;;;;;;;8.5
o;5;8.5;Inauen Ivo;;28;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Wenger Dominic;;28;35.25;11;17.0;0;0.0;8.5
o;15;25.5;Keller Neel (2004);;28;35.25;15;25.5;0;0.0;8.5

31c;Inauen Silvan (2003);;;;;;;;;;34.0
o;;;Widmer Fadri (2005);;;;;;;;8.5
o;5;8.5;Graf Nicola (2003);;13;55.5;4;8.75;-1;0.25;8.5
o;11;17.0;Baumann Nico;;28;35.25;11;17.0;0;0.0;8.5
o;15;25.5;Lüönd Remo (2003);;28;35.25;15;25.5;0;0.0;8.5

32a;Forrer Arnold;***;;;;;;;;;28.5
-;;;Zwyssig Raphael;***;;;;;;;8.75
+;4;8.75;Jörger Marc;*;11;56.0;1;10.0;-3;1.25;10.0
+;4;18.75;Wey Nicola;*;11;56.0;3;19.0;-1;0.25;9.75

33a;Wick Christian;;;;;;;;;;26.75
+;;;Vetterli Sven (2003);;;;;;;;9.75
o;2;9.75;Thiemann Fabrice;;13;55.5;4;8.75;2;-1.0;8.5
o;6;18.25;Joos Enrico (2003);;14;55.25;7;18.0;1;-0.25;8.5

34a;Roth Martin;***;;;;;;;;;8.5
o;;;Schlegel Werner;**;;;;;;;8.5

