3997-2018-07-01_Appenzeller_Kantonalschwingfest-ST

1a;Kuster Marcel;***;;;;;;;;;59.5
+;;;Baumann Simon;;;;;;;;9.75
o;2;9.75;Bühler Hannes;*;11;55.75;5;8.5;3;-1.25;8.5
o;7;18.25;Rohrbach Jérôme (2000);;14;55.0;7;18.25;0;0.0;8.5
-;12;26.75;Peter Philipp (2002);;18;54.0;12;26.75;0;0.0;9.0
+;14;35.75;Wehrli Jan (2002);;18;54.0;15;35.5;1;-0.25;10.0
+;12;45.75;Stauffacher Martin;;17;54.25;13;45.5;1;-0.25;10.0

11b;Bischof Martin;;;;;;;;;;55.75
+;;;Koller Silvan (2002);;;;;;;;9.75
+;2;9.75;Bickel Roman;*;16;54.5;4;8.75;2;-1.0;10.0
o;2;19.75;Hersche Martin;***;6;57.0;6;18.5;4;-1.25;8.5
-;6;28.25;Keller Lukas;;14;55.0;9;27.5;3;-0.75;8.75
-;9;37.0;Dörig Erich;*;9;56.25;8;37.25;-1;0.25;9.0
+;11;46.0;Junker Nik;;17;54.25;12;45.75;1;-0.25;9.75

11c;Bühler Hannes;*;;;;;;;;;55.75
o;;;Giger Urs;*;;;;;;;8.5
+;5;8.5;Ackermann Roman;;11;55.75;2;9.75;-3;1.25;10.0
+;6;18.5;Klee Sandro;;19;53.75;6;18.5;0;0.0;10.0
+;5;28.5;Schmid Dominik;**;7;56.75;5;28.5;0;0.0;10.0
o;3;38.5;Bless Michael;***;2;58.25;4;38.25;1;-0.25;8.5
-;7;47.0;Gartmann Mauro;*;11;55.75;7;47.0;0;0.0;8.75

11d;Gartmann Mauro;*;;;;;;;;;55.75
+;;;Kuhn Roman;*;;;;;;;10.0
o;1;10.0;Kuster Marcel;***;1;59.5;1;10.0;0;0.0;8.5
+;6;18.5;Koller Silvan (2002);;22;52.75;6;18.5;0;0.0;10.0
-;5;28.5;Dörig Erich;*;9;56.25;5;28.5;0;0.0;8.75
+;8;37.25;Inauen Marco;;19;53.75;10;36.75;2;-0.5;9.75
-;7;47.0;Bühler Hannes;*;11;55.75;7;47.0;0;0.0;8.75

12a;Schudel Simon;*;;;;;;;;;55.5
+;;;Poltera Andrin;*;;;;;;;10.0
o;1;10.0;Koch Thomas;*;7;56.75;1;10.0;0;0.0;8.5
+;6;18.5;Ruppanner Philipp (2000);;18;54.0;6;18.5;0;0.0;10.0
o;5;28.5;Zwyssig Raphael;***;7;56.75;5;28.5;0;0.0;8.5
+;9;37.0;Manser Adrian;;12;55.5;9;37.0;0;0.0;10.0
o;7;47.0;Wittenwiler Roman;*;6;57.0;7;47.0;0;0.0;8.5

12b;Aebli Nino (2000);;;;;;;;;;55.5
o;;;Schmid Patrick;*;;;;;;;8.5
o;5;8.5;Hugelshofer Lars (2001);;12;55.5;5;8.5;0;0.0;8.75
+;10;17.25;Signer Ramon (2002);;20;53.5;7;18.25;-3;1.0;10.0
o;10;27.25;Oertle Daniel;*;25;45.75;10;27.25;0;0.0;8.5
+;14;35.75;Christen Jérôme (2002);;18;54.0;15;35.5;1;-0.25;10.0
+;12;45.75;Fässler Michael;;27;45.0;15;45.0;3;-0.75;9.75

12c;Manser Adrian;;;;;;;;;;55.5
o;;;Tremp Remo;;;;;;;;8.5
+;5;8.5;Ritter Fabio (2001);;18;54.0;5;8.5;0;0.0;9.75
o;7;18.25;Spangaro Luciano (2001);*;19;53.75;11;17.0;4;-1.25;8.75
+;11;27.0;Baumann Nico (2002);;28;35.25;12;26.75;1;-0.25;10.0
o;9;37.0;Schudel Simon;*;12;55.5;9;37.0;0;0.0;8.5
+;13;45.5;Peter Philipp (2002);;18;54.0;13;45.5;0;0.0;10.0

12d;Hugelshofer Lars (2001);;;;;;;;;;55.5
o;;;Kobler Janosch (2000);;;;;;;;8.5
+;5;8.5;Aebli Nino (2000);;12;55.5;5;8.5;0;0.0;10.0
o;6;18.5;Vestner Roman;*;13;55.25;5;18.75;-1;0.25;8.5
+;11;27.0;Steiner Lukas (2002);;13;55.25;11;27.0;0;0.0;10.0
+;9;37.0;Langenegger Beat;;18;54.0;9;37.0;0;0.0;9.75
o;8;46.75;Schmid Dominik;**;7;56.75;7;47.0;-1;0.25;8.75

12e;Dändliker Shane;**;;;;;;;;;55.5
o;;;Bless Michael;***;;;;;;;8.5
+;5;8.5;Schiess Daniel (2002);;18;54.0;1;10.0;-4;1.5;10.0
+;6;18.5;Fuster Sepp;;7;56.75;2;19.75;-4;1.25;10.0
-;5;28.5;Wittenwiler Roman;*;6;57.0;2;29.5;-3;1.0;8.75
o;8;37.25;Koch Reto;*;6;57.0;3;38.5;-5;1.25;8.5
+;12;45.75;Oertig Simon;*;13;55.25;8;46.75;-4;1.0;9.75

12f;Schwyn Adrian;*;;;;;;;;;55.5
o;;;Kuster Thomas;*;;;;;;;8.5
+;5;8.5;Giger Lorenz (2000);;28;35.25;2;9.75;-3;1.25;9.75
+;7;18.25;Tanner Adrian;;16;54.5;4;19.0;-3;0.75;9.75
-;7;28.0;Inauen Aurel;;9;56.25;4;28.75;-3;0.75;9.0
+;9;37.0;Glättli Benny;;13;55.25;10;36.75;1;-0.25;10.0
o;7;47.0;Schmid Patrick;*;3;58.0;4;48.0;-3;1.0;8.5

12g;Inauen Andreas;*;;;;;;;;;55.5
+;;;Wolfer Lukas;*;;;;;;;10.0
