3816-2017-07-01_Buendner-Glarner_Kantonalschwingfest-ST

1a;Orlik Armon;***;;;;;;;;;58.25
o;6;18.25;Jörger Corsin;;11;55.0;6;18.25;0;0.0;8.5
o;10;26.75;Morger Adrian;*;11;55.0;10;26.75;0;0.0;8.5
+;15;35.25;Lötscher Abraham (2000);;16;53.75;14;35.5;-1;0.25;9.75
+;14;45.0;Hollenstein Daniel;;16;53.75;13;45.25;-1;0.25;10.0

11e;Duschen Raffael;;;;;;;;;;55.0
+;;;Grob Krischan (1999);;;;;;;;9.75
o;2;9.75;Battaglia Ursin;**;4;57.0;4;8.5;2;-1.25;8.5
o;6;18.25;Lieberherr Michael (1999);;15;54.0;5;18.5;-1;0.25;8.5
+;10;26.75;Schiesser Patrik;;9;55.5;8;27.25;-2;0.5;9.75
+;10;36.5;Kirchmeier Christof (1999);;15;54.0;14;35.5;4;-1.0;10.0
o;8;46.5;Fontana Michael;;5;56.75;6;47.0;-2;0.5;8.5

11f;Morger Adrian;*;;;;;;;;;55.0
+;;;Gartmann Mauro;*;;;;;;;9.75
o;2;9.75;Oertig Simon;;11;55.0;2;9.75;0;0.0;8.5
o;6;18.25;Aebli Nino (2000);;13;54.5;4;18.75;-2;0.5;8.5
+;10;26.75;Schudel Simon;*;11;55.0;10;26.75;0;0.0;9.75
+;10;36.5;Jöhl Christian;*;10;55.25;9;36.75;-1;0.25;9.75
o;9;46.25;Breitenmoser Manuel;;7;56.0;10;46.0;1;-0.25;8.75

11g;Jörger Corsin;;;;;;;;;;55.0
o;;;Lehmann Philipp (1999);;;;;;;;8.5
+;4;8.5;Arnold Christian;;21;52.5;4;8.5;0;0.0;9.75
+;6;18.25;Schudel Simon;*;11;55.0;6;18.25;0;0.0;9.75
+;6;28.0;Koller Valentin;;21;52.5;9;27.0;3;-1.0;10.0
o;4;38.0;Schnurrenberger Roman;**;7;56.0;7;37.25;3;-0.75;8.5
o;8;46.5;Bühler Hannes;*;3;57.25;5;47.25;-3;0.75;8.5

11h;Caflisch Stefan;;;;;;;;;;55.0
o;;;Dändliker Hansheinrich;;;;;;;;8.5
+;4;8.5;Grob Krischan (1999);;22;52.25;4;8.5;0;0.0;10.0
o;5;18.5;Blaser Niklas;*;15;54.0;7;17.5;2;-1.0;8.5
+;9;27.0;Stadelmann Patrick (2000);;16;53.75;10;26.75;1;-0.25;9.75
o;9;36.75;Baumgartner Alexander;;14;54.25;12;36.0;3;-0.75;8.5
+;13;45.25;Bleiker Daniel;;16;53.75;13;45.25;0;0.0;9.75

11i;Näf Pius;*;;;;;;;;;55.0
+;;;Vogel Beat;*;;;;;;;10.0
o;1;10.0;Orlik Armon;***;1;58.25;3;8.75;2;-1.25;8.5
+;5;18.5;Scherrer Pascal;;21;52.5;5;18.5;0;0.0;10.0
-;4;28.5;Biäsch Christian;*;5;56.75;3;28.75;-1;0.25;9.0
-;6;37.5;Reichmuth Beat;;7;56.0;8;37.0;2;-0.5;9.0
o;8;46.5;Oertig Dominik;**;3;57.25;5;47.25;-3;0.75;8.5

11j;Bernold Edi;**;;;;;;;;;55.0
+;;;Dumelin David;*;;;;;;;10.0
o;1;10.0;Rychen Roger;***;2;57.5;1;10.0;0;0.0;8.5
+;5;18.5;Schwyn Adrian;;10;55.25;3;19.5;-2;1.0;9.75
+;5;28.25;Aebli Nino (2000);;13;54.5;3;28.75;-2;0.5;9.75
o;4;38.0;Peng Mike;***;5;56.75;4;38.0;0;0.0;8.5
o;8;46.5;Zbinden Marc;*;3;57.25;5;47.25;-3;0.75;8.5

11k;Lanter Christian;;;;;;;;;;55.0
+;;;Götti Samuel;;;;;;;;9.75
o;2;9.75;Dumelin David;*;9;55.5;4;8.5;2;-1.25;8.5
+;6;18.25;Breitenmoser Manuel;;7;56.0;5;18.5;-1;0.25;9.75
+;6;28.0;Heierli Pascal (1999);;9;55.5;5;28.25;-1;0.25;9.75
o;5;37.75;Wickli Beat;**;6;56.5;4;38.0;-1;0.25;8.5
o;9;46.25;Bischof Martin;;8;55.75;10;46.0;1;-0.25;8.75

11l;Gosswiler Livio (2000);;;;;;;;;;55.0
+;;;Ochsner Reto (2000);;;;;;;;9.75
-;2;9.75;Notz Armin;*;14;54.25;4;8.5;2;-1.25;8.75
+;5;18.5;Hugener Adrian (2000);;15;54.0;5;18.5;0;0.0;9.75
o;5;28.25;Pfister Florian;*;11;55.0;5;28.25;0;0.0;8.5
+;9;36.75;Laager Michael (2001);;16;53.75;9;36.75;0;0.0;9.75
o;8;46.5;Geisser Lars;**;5;56.75;7;46.75;-1;0.25;8.5

11m;Pfister Florian;*;;;;;;;;;55.0
+;;;Bickel Stefan;*;;;;;;;10.0
+;1;10.0;Frauchiger Remo;;15;54.0;1;10.0;0;0.0;9.75
o;2;19.75;Schnurrenberger Roman;**;7;56.0;4;18.75;2;-1.0;8.5
+;5;28.25;Gosswiler Livio (2000);;11;55.0;5;28.25;0;0.0;9.75
o;4;38.0;Kindlimann Fabian;***;7;56.0;7;37.25;3;-0.75;8.5
o;8;46.5;Schneider Mario;**;5;56.75;6;47.0;-2;0.5;8.5

11n;Wolfer Lukas;*;;;;;;;;;55.0
-;;;Biäsch Christian;*;;;;;;;8.75
+;3;8.75;Bärtsch Jann (2000);;9;55.5;2;9.75;-1;1.0;9.75
+;5;18.5;Pianta Christian;;10;55.25;4;18.75;-1;0.25;9.75
+;5;28.25;Horner Sämi;;9;55.5;5;28.25;0;0.0;9.75
o;4;38.0;Horner Peter;***;5;56.75;3;38.25;-1;0.25;8.5
o;8;46.5;Landolt Reto;*;4;57.0;5;47.25;-3;0.75;8.5

12a;Kobler Janosch (2000);;;;;;;;;;54.75
-;;;Pianta Christian;;;;;;;;8.75
o;3;8.75;Schudel Simon;*;11;55.0;4;8.5;1;-0.25;8.5
-;8;17.25;Betschart Fabian (1999);;19;53.0;9;17.0;1;-0.25;8.75
+;12;26.0;Kleinberger Alex;;20;52.75;13;25.75;1;-0.25;10.0
+;12;36.0;Schwyn Patrick (1999);;14;54.25;13;35.75;1;-0.25;9.75
-;11;45.75;Blaser Niklas;*;15;54.0;14;45.0;3;-0.75;9.0

12b;Held Florian;;;;;;;;;;54.75
-;;;Straub Paul;;;;;;;;8.75
-;3;8.75;Baumann Simon;;21;52.5;4;8.5;1;-0.25;8.75
-;7;17.5;Schwyn Patrick (1999);;14;54.25;8;17.25;1;-0.25;8.75
+;11;26.25;Furrer Matthias;;15;54.0;13;25.75;2;-0.5;10.0
o;11;36.25;Hollenstein Daniel;;16;53.75;14;35.5;3;-0.75;8.5
+;15;44.75;Arnold Christian;;21;52.5;18;44.0;3;-0.75;10.0

13a;Riedi Thomas;;;;;;;;;;54.5
+;;;Arnold Christian;;;;;;;;10.0
+;1;10.0;Scherrer Pascal;;21;52.5;1;10.0;0;0.0;10.0
o;1;20.0;Biäsch Christian;*;5;56.75;4;18.75;3;-1.25;8.5
-;4;28.5;Candrian Gian-Luca;;10;55.25;6;28.0;2;-0.5;9.0
o;6;37.5;Jörger Marc;;4;57.0;7;37.25;1;-0.25;8.5
o;10;46.0;Reichmuth Beat;;7;56.0;10;46.0;0;0.0;8.5

13b;Aebli Nino (2000);;;;;;;;;;54.5
+;;;Schwyn Patrick (1999);;;;;;;;10.0
-;1;10.0;Roth Peter;;15;54.0;2;9.75;1;-0.25;8.75
+;4;18.75;Morger Adrian;*;11;55.0;6;18.25;2;-0.5;10.0
o;3;28.75;Bernold Edi;**;11;55.0;5;28.25;2;-0.5;8.5
o;7;37.25;Burkhard Tobias;;10;55.25;8;37.0;1;-0.25;8.5
o;11;45.75;Heierli Pascal (1999);;9;55.5;12;45.5;1;-0.25;8.75

13c;Keller Lukas;;;;;;;;;;54.5
+;;;Betschart Fabian (1999);;;;;;;;9.75
+;2;9.75;Vogel Beat;*;15;54.0;4;8.5;2;-1.25;10.0
-;2;19.75;Fontana Michael;;5;56.75;2;19.75;0;0.0;8.75
-;4;28.5;Reichmuth Beat;;7;56.0;5;28.25;1;-0.25;8.75
o;7;37.25;Oertig Dominik;**;3;57.25;6;37.5;-1;0.25;8.5
-;11;45.75;Bänziger Peter;;14;54.25;12;45.5;1;-0.25;8.75

13d;Koller Fabian;;;;;;;;;;54.5
+;;;Baumann Simon;;;;;;;;9.75
o;2;9.75;Oertig Dominik;**;3;57.25;4;8.5;2;-1.25;8.5
o;6;18.25;Reichmuth Beat;;7;56.0;6;18.25;0;0.0;8.5
-;10;26.75;Breitenmoser Manuel;;7;56.0;9;27.0;-1;0.25;9.0
+;13;35.75;Frauchiger Remo;;15;54.0;14;35.5;1;-0.25;10.0
-;11;45.75;Lozza Roman;;14;54.25;12;45.5;1;-0.25;8.75

13e;Mathis Patrick;;;;;;;;;;54.5
-;;;Baumgartner Alexander;;;;;;;;8.75
o;3;8.75;Hungerbühler Marcel;;14;54.25;4;8.5;1;-0.25;8.5
+;8;17.25;Arnold Christian;;21;52.5;9;17.0;1;-0.25;10.0
o;8;27.25;Roth Peter;;15;54.0;9;27.0;1;-0.25;8.5
-;13;35.75;Götti Samuel;;15;54.0;14;35.5;1;-0.25;8.75
+;16;44.5;Rutz Cédric;;20;52.75;17;44.25;1;-0.25;10.0

14a;Hungerbühler Marcel;;;;;;;;;;54.25
o;;;Hugener Adrian (2000);;;;;;;;8.5
+;4;8.5;Mathis Patrick;;13;54.5;3;8.75;-1;0.25;10.0
o;5;18.5;Oertig Dominik;**;3;57.25;5;18.5;0;0.0;8.5
o;9;27.0;Wild Thomas;;14;54.25;9;27.0;0;0.0;8.75
+;13;35.75;Scherrer Pascal;;21;52.5;14;35.5;1;-0.25;9.75
-;12;45.5;Roth Peter;;15;54.0;12;45.5;0;0.0;8.75
o;14;54.25;Rüegg Roman;*;10;55.25;10;55.25;-4;1.0;0.0

14b;Notz Armin;*;;;;;;;;;54.25
o;;;Rüegg Roman;*;;;;;;;8.5
-;4;8.5;Gosswiler Livio (2000);;11;55.0;2;9.75;-2;1.25;8.75
+;8;17.25;Flütsch Marco (1999);;9;55.5;5;18.5;-3;1.25;9.75
o;9;27.0;Vogel Beat;*;15;54.0;10;26.75;1;-0.25;8.5
-;14;35.5;Lehmann Philipp (1999);;11;55.0;11;36.25;-3;0.75;8.75
+;17;44.25;Bickel Stefan;*;15;54.0;12;45.5;-5;1.25;10.0

14c;Wild Thomas;;;;;;;;;;54.25
+;;;Sieber Marc (2000);;;;;;;;10.0
o;1;10.0;Schnurrenberger Roman;**;7;56.0;3;8.75;2;-1.25;8.5
o;5;18.5;Candrian Gian-Luca;;10;55.25;6;18.25;1;-0.25;8.5
+;9;27.0;Hungerbühler Marcel;;14;54.25;9;27.0;0;0.0;10.0
o;8;37.0;Bühler Hannes;*;3;57.25;7;37.25;-1;0.25;8.5
o;12;45.5;Schnyder Christian;;8;55.75;11;45.75;-1;0.25;8.75

14d;Peter Renato (2000);;;;;;;;;;54.25
+;;;Laager Andreas (1999);;;;;;;;10.0
o;1;10.0;Jöhl Christian;*;10;55.25;2;9.75;1;-0.25;8.5
+;5;18.5;Frauchiger Remo;;15;54.0;5;18.5;0;0.0;10.0
o;4;28.5;Horner Peter;***;5;56.75;5;28.25;1;-0.25;8.5
o;8;37.0;Pianta Christian;;10;55.25;8;37.0;0;0.0;8.75
o;11;45.75;Horner Sämi;;9;55.5;12;45.5;1;-0.25;8.5

14e;Lozza Roman;;;;;;;;;;54.25
-;;;Flütsch Marco (1999);;;;;;;;8.75
+;3;8.75;Kiener Raphael (2000);;10;55.25;2;9.75;-1;1.0;9.75
o;5;18.5;Sprecher Sandro;*;4;57.0;5;18.5;0;0.0;8.5
+;9;27.0;Frauchiger Remo;;15;54.0;9;27.0;0;0.0;10.0
o;8;37.0;Steiner Michael;**;9;55.5;12;36.0;4;-1.0;8.5
-;12;45.5;Koller Fabian;;13;54.5;11;45.75;-1;0.25;8.75

14f;Schwyn Patrick (1999);;;;;;;;;;54.25
o;;;Aebli Nino (2000);;;;;;;;8.5
-;4;8.5;Baumgartner Alexander;;14;54.25;3;8.75;-1;0.25;8.75
-;8;17.25;Held Florian;;12;54.75;7;17.5;-1;0.25;8.75
+;12;26.0;Sprecher Martin (2000);;15;54.0;10;26.75;-2;0.75;9.75
o;13;35.75;Kobler Janosch (2000);;12;54.75;12;36.0;-1;0.25;8.5
+;17;44.25;Scherrer Pascal;;21;52.5;18;44.0;1;-0.25;10.0

14g;Bänziger Peter;;;;;;;;;;54.25
o;;;Riget Ivan;*;;;;;;;8.5
+;4;8.5;Koller Valentin;;21;52.5;4;8.5;0;0.0;10.0
o;5;18.5;Zbinden Marc;*;3;57.25;4;18.75;-1;0.25;8.5
o;9;27.0;Dändliker Hansheinrich;;9;55.5;9;27.0;0;0.0;8.5
+;14;35.5;Laager Andreas (1999);;21;52.5;14;35.5;0;0.0;10.0
-;12;45.5;Keller Lukas;;13;54.5;11;45.75;-1;0.25;8.75

14h;Baumgartner Alexander;;;;;;;;;;54.25
-;;;Mathis Patrick;;;;;;;;8.75
-;3;8.75;Schwyn Patrick (1999);;14;54.25;4;8.5;1;-0.25;8.75
+;7;17.5;Furrer Matthias;;15;54.0;9;17.0;2;-0.5;9.75
-;8;27.25;Gartmann Mauro;*;17;53.5;8;27.25;0;0.0;8.75
+;12;36.0;Caflisch Stefan;;11;55.0;9;36.75;-3;0.75;9.75
o;11;45.75;Schäppi Urs;*;8;55.75;11;45.75;0;0.0;8.5

15a;Götti Samuel;;;;;;;;;;54.0
o;;;Lanter Christian;;;;;;;;8.5
+;4;8.5;Schönenberger Björn;;16;53.75;4;8.5;0;0.0;9.75
-;6;18.25;Lehmann Philipp (1999);;11;55.0;5;18.5;-1;0.25;8.75
o;9;27.0;Rüegg Roman;*;10;55.25;9;27.0;0;0.0;8.5
-;14;35.5;Mathis Patrick;;13;54.5;13;35.75;-1;0.25;8.75
+;17;44.25;Baumann Simon;;21;52.5;18;44.0;1;-0.25;9.75

15b;Bickel Stefan;*;;;;;;;;;54.0
o;;;Pfister Florian;*;;;;;;;8.5
o;4;8.5;Fontana Michael;;5;56.75;1;10.0;-3;1.5;8.5
-;9;17.0;Jörger Marc;;4;57.0;5;18.5;-4;1.5;8.75
+;13;25.75;Ochsner Reto (2000);;16;53.75;10;26.75;-3;1.0;10.0
+;13;35.75;Baumann Simon;;21;52.5;14;35.5;1;-0.25;9.75
o;12;45.5;Notz Armin;*;14;54.25;17;44.25;5;-1.25;8.5

15c;Straub Paul;;;;;;;;;;54.0
-;;;Held Florian;;;;;;;;8.75
+;3;8.75;Betschart Fabian (1999);;19;53.0;4;8.5;1;-0.25;9.75
+;5;18.5;Rüegg Roman;*;10;55.25;5;18.5;0;0.0;9.75
o;5;28.25;Oertig Simon;;11;55.0;5;28.25;0;0.0;8.5
o;9;36.75;Breitenmoser Simon;;10;55.25;8;37.0;-1;0.25;8.5
-;13;45.25;Vogel Beat;*;15;54.0;13;45.25;0;0.0;8.75

15d;Lieberherr Michael (1999);;;;;;;;;;54.0
+;;;Koller Valentin;;;;;;;;10.0
o;1;10.0;Steiner Michael;**;9;55.5;4;8.5;3;-1.5;8.5
+;5;18.5;Duschen Raffael;;11;55.0;6;18.25;1;-0.25;10.0
o;4;28.5;Nägeli Marco;**;3;57.25;4;28.5;0;0.0;8.5
o;8;37.0;Candrian Gian-Luca;;10;55.25;8;37.0;0;0.0;8.5
o;12;45.5;Kunz Daniel;;10;55.25;13;45.25;1;-0.25;8.5

15e;Sprecher Martin (2000);;;;;;;;;;54.0
o;;;Heierli Pascal (1999);;;;;;;;8.5
+;4;8.5;Glättli Benny;;22;52.25;4;8.5;0;0.0;9.75
o;6;18.25;Riget Ivan;*;9;55.5;6;18.25;0;0.0;8.5
o;10;26.75;Schwyn Patrick (1999);;14;54.25;12;26.0;2;-0.75;8.5
-;15;35.25;Sieber Marc (2000);;21;52.5;15;35.25;0;0.0;8.75
+;18;44.0;Müller Loris (1999);;21;52.5;19;43.75;1;-0.25;10.0

15f;Blaser Niklas;*;;;;;;;;;54.0
-;;;Sprecher Sandro;*;;;;;;;8.75
-;3;8.75;Lötscher Abraham (2000);;16;53.75;2;9.75;-1;1.0;8.75
+;7;17.5;Caflisch Stefan;;11;55.0;5;18.5;-2;1.0;10.0
-;7;27.5;Bärtsch Jann (2000);;9;55.5;5;28.25;-2;0.75;8.75
-;11;36.25;Gartmann Mauro;*;17;53.5;12;36.0;1;-0.25;8.75
-;14;45.0;Kobler Janosch (2000);;12;54.75;11;45.75;-3;0.75;9.0

15g;Roth Peter;;;;;;;;;;54.0
+;;;Kirchmeier Christof (1999);;;;;;;;9.75
-;2;9.75;Aebli Nino (2000);;13;54.5;1;10.0;-1;0.25;8.75
o;5;18.5;Hochholdinger Roman;**;5;56.75;5;18.5;0;0.0;8.5
+;9;27.0;Mathis Patrick;;13;54.5;8;27.25;-1;0.25;9.75
-;9;36.75;Hungerbühler Marcel;;14;54.25;13;35.75;4;-1.0;8.75
o;12;45.5;Bärtsch Jann (2000);;9;55.5;12;45.5;0;0.0;8.5

15h;Kirchmeier Christof (1999);;;;;;;;;;54.0
o;;;Roth Peter;;;;;;;;8.5
+;4;8.5;Ritter Fabio (2001);;24;51.5;4;8.5;0;0.0;10.0
o;5;18.5;Mettler Valentin;;10;55.25;6;18.25;1;-0.25;8.5
o;9;27.0;Hugener Adrian (2000);;15;54.0;9;27.0;0;0.0;8.5
o;14;35.5;Duschen Raffael;;11;55.0;10;36.5;-4;1.0;8.5
+;18;44.0;Glättli Benny;;22;52.25;19;43.75;1;-0.25;10.0

15i;Hugener Adrian (2000);;;;;;;;;;54.0
+;;;Hungerbühler Marcel;;;;;;;;10.0
o;1;10.0;Sprecher Sandro;*;4;57.0;3;8.75;2;-1.25;8.5
o;5;18.5;Gosswiler Livio (2000);;11;55.0;5;18.5;0;0.0;8.5
+;9;27.0;Kirchmeier Christof (1999);;15;54.0;9;27.0;0;0.0;10.0
o;8;37.0;Fontana Michael;;5;56.75;7;37.25;-1;0.25;8.5
o;12;45.5;Jöhl Christian;*;10;55.25;13;45.25;1;-0.25;8.5

15j;Furrer Matthias;;;;;;;;;;54.0
o;;;Breitenmoser Manuel;;;;;;;;8.5
o;4;8.5;Bischof Martin;;8;55.75;1;10.0;-3;1.5;8.5
o;9;17.0;Baumgartner Alexander;;14;54.25;7;17.5;-2;0.5;8.75
o;13;25.75;Held Florian;;12;54.75;11;26.25;-2;0.5;8.5
+;17;34.25;Ritter Fabio (2001);;24;51.5;16;34.5;-1;0.25;10.0
+;17;44.25;Laager Michael (2001);;16;53.75;13;45.25;-4;1.0;9.75

15k;Vogel Beat;*;;;;;;;;;54.0
o;;;Näf Pius;*;;;;;;;8.5
o;4;8.5;Keller Lukas;;13;54.5;2;9.75;-2;1.25;8.5
+;9;17.0;Sieber Marc (2000);;21;52.5;6;18.25;-3;1.25;9.75
+;10;26.75;Notz Armin;*;14;54.25;9;27.0;-1;0.25;10.0
o;9;36.75;Hochholdinger Roman;**;5;56.75;8;37.0;-1;0.25;8.5
-;13;45.25;Straub Paul;;15;54.0;13;45.25;0;0.0;8.75

15l;Frauchiger Remo;;;;;;;;;;54.0
+;;;Rhyner Beni (1999);;;;;;;;10.0
o;1;10.0;Pfister Florian;*;11;55.0;1;10.0;0;0.0;8.5
o;5;18.5;Peter Renato (2000);;14;54.25;5;18.5;0;0.0;8.5
o;9;27.0;Lozza Roman;;14;54.25;9;27.0;0;0.0;8.5
o;14;35.5;Koller Fabian;;13;54.5;13;35.75;-1;0.25;8.5
+;18;44.0;Koller Valentin;;21;52.5;18;44.0;0;0.0;10.0

16a;Lötscher Abraham (2000);;;;;;;;;;53.75
+;;;Bleiker Daniel;;;;;;;;9.75
-;2;9.75;Blaser Niklas;*;15;54.0;3;8.75;1;-1.0;8.75
o;5;18.5;Kunz Daniel;;10;55.25;5;18.5;0;0.0;8.5
o;9;27.0;Zumbach Michael;;16;53.75;9;27.0;0;0.0;8.5
o;14;35.5;Schudel Simon;*;11;55.0;15;35.25;1;-0.25;8.5
+;18;44.0;Frauenfelder Florian (2001);;23;51.75;20;43.25;2;-0.75;9.75

16b;Schönenberger Björn;;;;;;;;;;53.75
o;;;Kunz Daniel;;;;;;;;8.5
o;4;8.5;Götti Samuel;;15;54.0;4;8.5;0;0.0;8.5
o;9;17.0;Rohner Lukas (2000);;10;55.25;9;17.0;0;0.0;8.5
+;14;25.5;Bertogg Severin (2001);;25;51.0;14;25.5;0;0.0;9.75
+;15;35.25;Rhyner Beni (1999);;18;53.25;12;36.0;-3;0.75;9.75
-;14;45.0;Gartmann Mauro;*;17;53.5;15;44.75;1;-0.25;8.75

16c;Laager Michael (2001);;;;;;;;;;53.75
o;;;Breitenmoser Simon;;;;;;;;8.5
+;4;8.5;Aebli Andrin (2001);;26;25.5;4;8.5;0;0.0;10.0
o;5;18.5;Heierli Pascal (1999);;9;55.5;5;18.5;0;0.0;8.5
+;9;27.0;Ebert Claudio;;17;53.5;10;26.75;1;-0.25;9.75
o;9;36.75;Gosswiler Livio (2000);;11;55.0;9;36.75;0;0.0;8.5
o;13;45.25;Furrer Matthias;;15;54.0;17;44.25;4;-1.0;8.5

16d;Bleiker Daniel;;;;;;;;;;53.75
o;;;Lötscher Abraham (2000);;;;;;;;8.5
+;4;8.5;Kamm Fritz (1999);;16;53.75;4;8.5;0;0.0;9.75
+;6;18.25;Hollenstein Daniel;;16;53.75;8;17.25;2;-1.0;9.75
o;6;28.0;Schäppi Urs;*;8;55.75;8;27.25;2;-0.75;8.5
-;10;36.5;Horner Sämi;;9;55.5;9;36.75;-1;0.25;8.75
o;13;45.25;Caflisch Stefan;;11;55.0;13;45.25;0;0.0;8.5

16e;Zumbach Michael;;;;;;;;;;53.75
+;;;Kamm Fritz (1999);;;;;;;;10.0
o;1;10.0;Landolt Reto;*;4;57.0;3;8.75;2;-1.25;8.5
o;5;18.5;Buchmann Michael;;11;55.0;5;18.5;0;0.0;8.5
+;9;27.0;Lötscher Abraham (2000);;16;53.75;9;27.0;0;0.0;9.75
o;9;36.75;Dumelin David;*;9;55.5;8;37.0;-1;0.25;8.5
o;13;45.25;Dändliker Hansheinrich;;9;55.5;12;45.5;-1;0.25;8.5

16f;Hollenstein Daniel;;;;;;;;;;53.75
o;;;Candrian Gian-Luca;;;;;;;;8.5
-;4;8.5;Rhyner Beni (1999);;18;53.25;4;8.5;0;0.0;8.75
+;8;17.25;Baumann Simon;;21;52.5;8;17.25;0;0.0;9.75
o;9;27.0;Bleiker Daniel;;16;53.75;6;28.0;-3;1.0;8.5
+;14;35.5;Held Florian;;12;54.75;11;36.25;-3;0.75;9.75
o;13;45.25;Schudel Simon;*;11;55.0;14;45.0;1;-0.25;8.5

16g;Kamm Fritz (1999);;;;;;;;;;53.75
o;;;Zumbach Michael;;;;;;;;8.5
o;4;8.5;Bleiker Daniel;;16;53.75;4;8.5;0;0.0;8.5
+;9;17.0;Grob Krischan (1999);;22;52.25;9;17.0;0;0.0;10.0
o;9;27.0;Dumelin David;*;9;55.5;9;27.0;0;0.0;8.5
+;14;35.5;Schwager Mike (2000);;19;53.0;14;35.5;0;0.0;9.75
o;13;45.25;Rohner Lukas (2000);;10;55.25;13;45.25;0;0.0;8.5

16h;Stadelmann Patrick (2000);;;;;;;;;;53.75
o;;;Horner Sämi;;;;;;;;8.5
+;4;8.5;Ochsner Reto (2000);;16;53.75;4;8.5;0;0.0;9.75
o;6;18.25;Odermatt Christoph;*;4;57.0;5;18.5;-1;0.25;8.5
o;10;26.75;Caflisch Stefan;;11;55.0;9;27.0;-1;0.25;8.5
+;15;35.25;Koller Valentin;;21;52.5;14;35.5;-1;0.25;10.0
o;13;45.25;Schiesser Patrik;;9;55.5;12;45.5;-1;0.25;8.5

16i;Ochsner Reto (2000);;;;;;;;;;53.75
o;;;Gosswiler Livio (2000);;;;;;;;8.5
o;4;8.5;Stadelmann Patrick (2000);;16;53.75;4;8.5;0;0.0;8.5
+;9;17.0;Bertogg Severin (2001);;25;51.0;9;17.0;0;0.0;9.75
o;10;26.75;Bickel Stefan;*;15;54.0;13;25.75;3;-1.0;8.5
o;15;35.25;Rohner Lukas (2000);;10;55.25;14;35.5;-1;0.25;8.5
+;19;43.75;Ritter Fabio (2001);;24;51.5;21;43.0;2;-0.75;10.0

17a;Ebert Claudio;;;;;;;;;;53.5
o;;;Fontana Michael;;;;;;;;8.5
+;4;8.5;Schnyder Christian;;8;55.75;4;8.5;0;0.0;9.75
o;6;18.25;Gartmann Mauro;*;17;53.5;8;17.25;2;-1.0;8.5
o;10;26.75;Laager Michael (2001);;16;53.75;9;27.0;-1;0.25;8.5
o;15;35.25;Arnold Christian;;21;52.5;18;34.0;3;-1.25;8.5
+;19;43.75;Laager Andreas (1999);;21;52.5;18;44.0;-1;0.25;9.75

17b;Gartmann Mauro;*;;;;;;;;;53.5
o;;;Morger Adrian;*;;;;;;;8.5
-;4;8.5;Heierli Pascal (1999);;9;55.5;2;9.75;-2;1.25;8.75
+;8;17.25;Ebert Claudio;;17;53.5;6;18.25;-2;1.0;10.0
-;8;27.25;Baumgartner Alexander;;14;54.25;8;27.25;0;0.0;8.75
-;12;36.0;Blaser Niklas;*;15;54.0;11;36.25;-1;0.25;8.75
-;15;44.75;Schönenberger Björn;;16;53.75;14;45.0;-1;0.25;8.75

18a;Rhyner Beni (1999);;;;;;;;;;53.25
o;;;Frauchiger Remo;;;;;;;;8.5
-;4;8.5;Hollenstein Daniel;;16;53.75;4;8.5;0;0.0;8.75
-;8;17.25;Kleinberger Alex;;20;52.75;9;17.0;1;-0.25;8.75
+;12;26.0;Grob Krischan (1999);;22;52.25;14;25.5;2;-0.5;10.0
o;12;36.0;Schönenberger Björn;;16;53.75;15;35.25;3;-0.75;8.5
-;16;44.5;Schwager Mike (2000);;19;53.0;18;44.0;2;-0.5;8.75

19a;Schwager Mike (2000);;;;;;;;;;53.0
+;;;Ritter Fabio (2001);;;;;;;;10.0
o;1;10.0;Schwyn Adrian;;10;55.25;2;9.75;1;-0.25;8.5
o;5;18.5;Landolt Reto;*;4;57.0;4;18.75;-1;0.25;8.5
o;9;27.0;Jörger Marc;;4;57.0;8;27.25;-1;0.25;8.5
o;14;35.5;Kamm Fritz (1999);;16;53.75;14;35.5;0;0.0;8.5
-;18;44.0;Rhyner Beni (1999);;18;53.25;16;44.5;-2;0.5;9.0

19b;Betschart Fabian (1999);;;;;;;;;;53.0
o;;;Keller Lukas;;;;;;;;8.5
o;4;8.5;Straub Paul;;15;54.0;3;8.75;-1;0.25;8.5
-;9;17.0;Kobler Janosch (2000);;12;54.75;8;17.25;-1;0.25;9.0
o;12;26.0;Baumann Simon;;21;52.5;13;25.75;1;-0.25;8.5
-;16;34.5;Frauenfelder Florian (2001);;23;51.75;16;34.5;0;0.0;8.75
+;20;43.25;Grob Krischan (1999);;22;52.25;19;43.75;-1;0.5;9.75

20a;Basler Siro;;;;;;;;;;52.75
+;;;Kleinberger Alex;;;;;;;;10.0
o;1;10.0;Horner Peter;***;5;56.75;4;8.5;3;-1.5;8.5
-;5;18.5;Schiesser Patrik;;9;55.5;5;18.5;0;0.0;8.75
o;8;27.25;Bischof Martin;;8;55.75;8;27.25;0;0.0;8.5
o;13;35.75;Breitenmoser Manuel;;7;56.0;12;36.0;-1;0.25;8.5
o;17;44.25;Lehmann Philipp (1999);;11;55.0;14;45.0;-3;0.75;8.5

20b;Rutz Cédric;;;;;;;;;;52.75
o;;;Kiener Raphael (2000);;;;;;;;8.5
o;4;8.5;Pianta Christian;;10;55.25;3;8.75;-1;0.25;8.5
o;9;17.0;Schnyder Christian;;8;55.75;9;17.0;0;0.0;8.5
