5194-2022-06-06_Glarner-Buendner_Kantonalschwingfest-ST

o;1;10.0;Hochholdinger Roman;**;5;56.75;2;9.75;1;-0.25;8.5
+;6;18.5;Schwyn Patrick;;10;55.5;6;18.5;0;0.0;10.0
+;5;28.5;Schiesser Patrik;*;4;57.0;5;28.5;0;0.0;10.0
o;2;38.5;Nötzli Reto;***;2;57.75;5;37.75;3;-0.75;8.5
o;6;47.0;Biäsch Christian;*;4;57.0;6;47.0;0;0.0;8.5

10i;Reichmuth Beat;;;;;;;;;;55.5
o;;;Kolb Kilian (2005);;;;;;;;8.75
+;4;8.75;Kaiser David (2006);;16;54.0;5;8.5;1;-0.25;10.0
o;5;18.75;Bernold Edi;**;11;55.25;7;18.25;2;-0.5;8.5
+;10;27.25;Lüönd Remo;;20;52.75;10;27.25;0;0.0;9.75
o;8;37.0;Landolt Reto;*;5;56.75;8;37.0;0;0.0;8.5
+;12;45.5;Thiemann Fabrice;;15;54.25;11;45.75;-1;0.25;10.0

10j;Lötscher Niklas (2006);;;;;;;;;;55.5
o;;;Schwyn Patrick;;;;;;;;8.5
+;5;8.5;Tschumper Elias (2005);;17;53.75;5;8.5;0;0.0;9.75
o;7;18.25;Koller Silvan;*;17;53.75;8;17.75;1;-0.5;8.75
+;11;27.0;Ziegler Max (2006);;21;52.5;11;27.0;0;0.0;9.75
-;9;36.75;Imhof Gregor;;16;54.0;9;36.75;0;0.0;8.75
+;12;45.5;Tschudi Mario;;15;54.25;11;45.75;-1;0.25;10.0

10k;Schnurrenberger Roman;**;;;;;;;;;55.5
+;;;Niederer Andreas;*;;;;;;;9.75
o;2;9.75;Walther Adrian;**;4;57.0;1;10.0;-1;0.25;8.5
-;7;18.25;Elmer Daniel;*;9;55.75;6;18.5;-1;0.25;8.75
+;11;27.0;Koller Silvan;*;17;53.75;8;27.75;-3;0.75;10.0
+;8;37.0;Kiser Aron;;13;54.75;7;37.25;-1;0.25;10.0
o;6;47.0;Ott Damian;**;5;56.75;6;47.0;0;0.0;8.5

10l;Schwyn Patrick;;;;;;;;;;55.5
+;;;Lötscher Niklas (2006);;;;;;;;9.75
o;2;9.75;Imhof Gregor;;16;54.0;1;10.0;-1;0.25;8.75
o;6;18.5;Wild Thomas;*;10;55.5;6;18.5;0;0.0;8.5
+;11;27.0;Bischof Loris (2006);;16;54.0;11;27.0;0;0.0;10.0
-;8;37.0;Wehrli Jan;;13;54.75;8;37.0;0;0.0;8.75
+;11;45.75;Gantenbein Linard (2004);;17;53.75;13;45.25;2;-0.5;9.75

10m;Bucher Roman;;;;;;;;;;55.5
o;;;Müllhaupt Yves;;;;;;;;8.75
+;4;8.75;Ziegler Max (2006);;21;52.5;5;8.5;1;-0.25;10.0
o;5;18.75;Burch Dean;*;5;56.75;7;18.25;2;-0.5;8.5
+;10;27.25;Sprecher Martin;;11;55.25;10;27.25;0;0.0;9.75
o;8;37.0;Biäsch Christian;*;4;57.0;8;37.0;0;0.0;8.5
+;12;45.5;Bernhard Thomas;;17;53.75;13;45.25;1;-0.25;10.0

11a;Flütsch Marco;;;;;;;;;;55.25
+;;;Fässler Tobias;;;;;;;;10.0
