5547-2021-07-18_Schwyzer_Kantonales_Schwingfest-ST

1a;Schuler Christian;***;;;;;;;;;59.5
o;6;28.25;Steinauer Adrian;**;3;57.5;6;28.25;0;0.0;8.75
+;9;37.0;Scherrer Patrick;;11;55.5;8;37.25;-1;0.25;10.0
o;7;47.0;Kennel Beat;**;6;56.75;8;46.75;1;-0.25;8.5

11b;Suter Bruno;;;;;;;;;;55.5
+;;;Zimmermann Gian (2004);;;;;;;;10.0
o;1;10.0;Bucher Roland;*;5;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Garovi Matteo (2003);;22;52.75;6;18.5;0;0.0;10.0
+;5;28.5;Felder Seppi;*;12;55.25;6;28.25;1;-0.25;9.75
o;4;38.25;Lustenberger Josef;;6;56.75;4;38.25;0;0.0;8.5
o;8;46.75;Lustenberger Marc (2003);;6;56.75;7;47.0;-1;0.25;8.75

11c;Achermann Simon;;;;;;;;;;55.5
+;;;Birchler Kilian;;;;;;;;10.0
-;1;10.0;Schuler Daniel;*;16;54.25;5;8.5;4;-1.5;8.75
o;5;18.75;Steinauer Adrian;**;3;57.5;6;18.5;1;-0.25;8.5
+;10;27.25;Suter Raphael;;18;53.75;7;28.0;-3;0.75;9.75
o;9;37.0;Forster Christian;;11;55.5;9;37.0;0;0.0;8.5
+;13;45.5;Fässler Werner (2005);;17;54.0;13;45.5;0;0.0;10.0

11d;Marti Simon;;;;;;;;;;55.5
+;;;Steiner Severin;;;;;;;;10.0
o;1;10.0;Durrer Lukas;;12;55.25;1;10.0;0;0.0;8.75
o;5;18.75;Kennel Beat;**;6;56.75;5;18.75;0;0.0;8.5
o;10;27.25;von Ah Markus;;16;54.25;10;27.25;0;0.0;8.5
+;14;35.75;Odermatt Fabian (2005);;23;52.5;15;35.5;1;-0.25;10.0
+;12;45.75;Schuler Thomas;;16;54.25;12;45.75;0;0.0;9.75

11e;Forster Christian;;;;;;;;;;55.5
+;;;von Matt Lars;;;;;;;;10.0
o;1;10.0;Omlin Toni;*;5;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Britschgi Markus;;21;53.0;6;18.5;0;0.0;10.0
o;5;28.5;Durrer Jonas (2003);*;10;55.75;9;27.5;4;-1.0;8.5
+;9;37.0;Achermann Simon;;11;55.5;9;37.0;0;0.0;10.0
o;7;47.0;Bürli Roger;**;3;57.5;4;47.75;-3;0.75;8.5

11f;Theiler Thomas;;;;;;;;;;55.5
+;;;Reichlin Reto;;;;;;;;9.75
o;2;9.75;Waser Raphael;;19;53.5;4;8.75;2;-1.0;8.5
+;7;18.25;Büeler Ivo (2004);;21;53.0;7;18.25;0;0.0;9.75
o;7;28.0;Hess Michael;*;11;55.5;9;27.5;2;-0.5;8.5
-;11;36.5;Ulrich Pascal;;15;54.5;10;36.75;-1;0.25;9.0
+;13;45.5;von Ah Markus;;16;54.25;12;45.75;-1;0.25;10.0

11g;Zanini David;;;;;;;;;;55.5
-;;;Murpf Dario;;;;;;;;8.75
-;4;8.75;Ettlin Michael;;13;55.0;2;9.75;-2;1.0;9.0
+;9;17.75;Achermann Ueli;;20;53.25;10;17.5;1;-0.25;10.0
-;8;27.75;Schöpfer Marco (2003);;12;55.25;8;27.75;0;0.0;9.0
-;10;36.75;Moos Christoph;*;13;55.0;12;36.25;2;-0.5;8.75
+;13;45.5;Wicki Patrick;;17;54.0;13;45.5;0;0.0;10.0

11h;Auf der Maur Alex;;;;;;;;;;55.5
o;;;Schaller Noah;;;;;;;;8.5
+;5;8.5;Wyttenbach Silvan (2005);;17;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Fink Bruno;*;12;55.25;6;18.5;0;0.0;8.5
+;11;27.0;Blumenthal Lino;;11;55.5;11;27.0;0;0.0;9.75
+;10;36.75;Wyrsch Gabriel;;12;55.25;11;36.5;1;-0.25;10.0
o;8;46.75;Troxler Jonas;*;8;56.25;9;46.5;1;-0.25;8.75

11i;Von Euw Adi;;;;;;;;;;55.5
+;;;Gander Sebastian (2003);;;;;;;;10.0
o;1;10.0;Zürcher Ueli;*;11;55.5;5;8.5;4;-1.5;8.5
+;6;18.5;Kaiser Sandro;;25;35.25;7;18.25;1;-0.25;10.0
o;5;28.5;Troxler Jonas;*;8;56.25;8;27.75;3;-0.75;8.5
+;9;37.0;Widmer Simon;;17;54.0;9;37.0;0;0.0;10.0
o;7;47.0;Schwyzer Samuel;;3;57.5;5;47.5;-2;0.5;8.5

11j;Wyss Sven;*;;;;;;;;;55.5
+;;;Gwerder Andreas;*;;;;;;;10.0
o;1;10.0;Schuler Philipp;**;4;57.25;1;10.0;0;0.0;8.5
+;6;18.5;Betschart Daniel;;15;54.5;5;18.75;-1;0.25;10.0
+;5;28.5;Heinzer Lukas (2004);;12;55.25;5;28.5;0;0.0;9.75
-;4;38.25;Lagler Christian;;6;56.75;4;38.25;0;0.0;8.75
o;7;47.0;Kennel Stefan;**;7;56.5;9;46.5;2;-0.5;8.5

11k;Föhn Christian;;;;;;;;;;55.5
+;;;Ettlin Kevin;;;;;;;;9.75
o;2;9.75;Würsch Lars;*;12;55.25;5;8.5;3;-1.25;8.5
+;7;18.25;Durrer Pascal;;25;35.25;7;18.25;0;0.0;10.0
o;6;28.25;Kurmann Toni;*;6;56.75;7;28.0;1;-0.25;8.5
o;10;36.75;Felder Ivan (2004);;14;54.75;11;36.5;1;-0.25;8.75
+;13;45.5;von Büren Thomas;;16;54.25;13;45.5;0;0.0;10.0

11l;Schuler Oliver;;;;;;;;;;55.5
o;;;Barmettler Renato (2003);;;;;;;;8.5
+;5;8.5;Broch Marcel;;28;34.25;5;8.5;0;0.0;10.0
o;6;18.5;Bissig Fabian;;8;56.25;7;18.25;1;-0.25;8.5
+;11;27.0;Ettlin Kevin;;17;54.0;11;27.0;0;0.0;10.0
o;9;37.0;Zürcher Ueli;*;11;55.5;10;36.75;1;-0.25;8.5
+;13;45.5;Widmer Simon;;17;54.0;13;45.5;0;0.0;10.0

11m;Hess Michael;*;;;;;;;;;55.5
o;;;Heiniger Marco;**;;;;;;;8.75
+;4;8.75;Kaiser Sandro;;25;35.25;2;9.75;-2;1.0;10.0
o;5;18.75;Lustenberger Marc (2003);;6;56.75;2;19.75;-3;1.0;8.75
+;9;27.5;Theiler Thomas;;11;55.5;7;28.0;-2;0.5;9.75
+;8;37.25;Schmid Simon;*;10;55.75;8;37.25;0;0.0;9.75
o;7;47.0;Felder Martin;*;5;57.0;6;47.25;-1;0.25;8.5

11n;Scherrer Patrick;;;;;;;;;;55.5
+;;;Birchler Fabian;;;;;;;;10.0
o;1;10.0;Kennel Stefan;**;7;56.5;4;8.75;3;-1.25;8.5
-;6;18.5;Gemsch Stefan;;13;55.0;7;18.25;1;-0.25;8.75
+;10;27.25;Betschart Roger (2003);;21;53.0;10;27.25;0;0.0;10.0
o;8;37.25;Zurfluh Michael;*;11;55.5;9;37.0;1;-0.25;8.5
+;12;45.75;Suter Michael;;17;54.0;13;45.5;1;-0.25;9.75

11o;Graber Michael;*;;;;;;;;;55.5
-;;;Streiff Dominik;*;;;;;;;8.75
+;4;8.75;Lüthy Ralph;;10;55.75;1;10.0;-3;1.25;10.0
o;5;18.75;Suter Pirmin;**;6;56.75;2;19.75;-3;1.0;8.5
+;10;27.25;Zimmermann Raffael;;18;53.75;6;28.25;-4;1.0;10.0
+;8;37.25;Züger Benjamin (2004);;16;54.25;8;37.25;0;0.0;9.75
o;7;47.0;Arnold Raphael;**;4;57.25;5;47.5;-2;0.5;8.5

11p;Zürcher Ueli;*;;;;;;;;;55.5
o;;;Ulrich Marco;**;;;;;;;8.5
+;5;8.5;Von Euw Adi;;11;55.5;1;10.0;-4;1.5;10.0
+;6;18.5;Ulrich Michael (2003);;14;54.75;5;18.75;-1;0.25;9.75
o;6;28.25;Bucher Roland;*;5;57.0;6;28.25;0;0.0;8.5
+;10;36.75;Schuler Oliver;;11;55.5;9;37.0;-1;0.25;10.0
-;8;46.75;Kessler Joel;*;9;56.0;6;47.25;-2;0.5;8.75

11q;Bacher Andreas;;;;;;;;;;55.5
o;;;Brunner Timon;;;;;;;;8.5
o;5;8.5;Reichmuth Marco (2005);;25;35.25;5;8.5;0;0.0;8.75
+;11;17.25;Imgrüth Fabian (2005);;25;35.25;7;18.25;-4;1.0;10.0
o;10;27.25;Bienz Romeo;*;8;56.25;10;27.25;0;0.0;8.5
+;14;35.75;Köpfli Mario (2005);;16;54.25;14;35.75;0;0.0;9.75
+;13;45.5;Ulrich Pascal;;15;54.5;12;45.75;-1;0.25;10.0

11r;Beffa Mario;;;;;;;;;;55.5
-;;;Durrer Markus;;;;;;;;8.75
+;4;8.75;Arnold Livio (2004);;23;52.5;4;8.75;0;0.0;10.0
o;5;18.75;Thierstein Marco;*;10;55.75;9;17.75;4;-1.0;8.5
+;10;27.25;Ettlin Mario (2003);;18;53.75;7;28.0;-3;0.75;9.75
o;9;37.0;Betschart Marcel;*;14;54.75;11;36.5;2;-0.5;8.5
+;13;45.5;Wyttenbach Silvan (2005);;17;54.0;13;45.5;0;0.0;10.0

11s;Blumenthal Lino;;;;;;;;;;55.5
o;;;Suter Lukas;;;;;;;;8.5
+;5;8.5;Rogenmoser Ryan;;14;54.75;4;8.75;-1;0.25;10.0
o;6;18.5;Schmid Simon;*;10;55.75;6;18.5;0;0.0;8.5
o;11;27.0;Auf der Maur Alex;;11;55.5;11;27.0;0;0.0;8.5
+;15;35.5;Egli Kilian (2004);;20;53.25;14;35.75;-1;0.25;10.0
+;13;45.5;Züger Benjamin (2004);;16;54.25;12;45.75;-1;0.25;10.0

12a;Vogel Laurin;;;;;;;;;;55.25
-;;;Schuler Samuel (2003);;;;;;;;9.0
-;3;9.0;Felder Ivan (2004);;14;54.75;3;9.0;0;0.0;9.0
+;8;18.0;Betschart Fabian;;28;34.25;11;17.25;3;-0.75;10.0
o;7;28.0;Würsch Lars;*;12;55.25;11;27.0;4;-1.0;8.75
+;10;36.75;Zimmermann Raffael;;18;53.75;10;36.75;0;0.0;10.0
o;8;46.75;Schuler Philipp;**;4;57.25;6;47.25;-2;0.5;8.5

12b;Durrer Lukas;;;;;;;;;;55.25
+;;;Ulrich Damian;;;;;;;;10.0
+;1;10.0;Marti Simon;;11;55.5;1;10.0;0;0.0;9.75
-;2;19.75;Schürpf Bruno;*;14;54.75;4;19.0;2;-0.75;8.75
-;5;28.5;Waser Reto;*;9;56.0;6;28.25;1;-0.25;9.0
-;7;37.5;Lustenberger Marc (2003);;6;56.75;5;38.0;-2;0.5;9.0
o;9;46.5;Arnold Marcel;*;8;56.25;9;46.5;0;0.0;8.75

12c;Gasser Dominik 1;;;;;;;;;;55.25
-;;;Elmiger Andreas;;;;;;;;9.0
-;3;9.0;Schwyzer Sebastian (2004);;18;53.75;3;9.0;0;0.0;9.0
-;8;18.0;Herger Marco;;14;54.75;6;18.5;-2;0.5;9.0
+;11;27.0;Gisler Silvan;;18;53.75;11;27.0;0;0.0;10.0
o;9;37.0;Kennel Beat;**;6;56.75;9;37.0;0;0.0;8.5
+;13;45.5;Egli Adrian;;17;54.0;13;45.5;0;0.0;9.75

12d;Brunner Timon;;;;;;;;;;55.25
+;;;Bacher Andreas;;;;;;;;9.75
o;2;9.75;Moos Christoph;*;13;55.0;5;8.5;3;-1.25;8.5
-;7;18.25;Suter Lukas;;16;54.25;6;18.5;-1;0.25;8.75
+;11;27.0;Kaiser Sandro;;25;35.25;12;26.75;1;-0.25;10.0
+;9;37.0;Murpf Dario;;16;54.25;9;37.0;0;0.0;9.75
o;8;46.75;Odermatt Andreas;**;5;57.0;6;47.25;-2;0.5;8.5

12e;Hegner Ueli;*;;;;;;;;;55.25
-;;;Wallimann Remo;*;;;;;;;8.75
-;4;8.75;Barmettler Renato (2003);;9;56.0;2;9.75;-2;1.0;9.0
-;9;17.75;Bühler Ramon;;20;53.25;6;18.5;-3;0.75;8.75
+;13;26.5;Köpfli Mario (2005);;16;54.25;10;27.25;-3;0.75;10.0
-;11;36.5;Wyrsch Marco;**;17;54.0;11;36.5;0;0.0;8.75
+;14;45.25;Lustenberger Tim (2005);;16;54.25;13;45.5;-1;0.25;10.0

12f;Schöpfer Marco (2003);;;;;;;;;;55.25
-;;;Felder Ivan (2004);;;;;;;;9.0
+;3;9.0;Betschart Fabian;;28;34.25;4;8.75;1;-0.25;10.0
-;4;19.0;Kennel Stefan;**;7;56.5;5;18.75;1;-0.25;8.75
-;8;27.75;Zanini David;;11;55.5;8;27.75;0;0.0;9.0
+;10;36.75;Suter Raphael;;18;53.75;11;36.5;1;-0.25;10.0
o;8;46.75;Waser Reto;*;9;56.0;11;46.0;3;-0.75;8.5

12g;Heinzer Lukas (2004);;;;;;;;;;55.25
+;;;Furrer Jens;;;;;;;;10.0
o;1;10.0;Schmid Simon;*;10;55.75;4;8.75;3;-1.25;8.75
+;5;18.75;Niederberger Markus;*;30;27.0;6;18.5;1;-0.25;9.75
o;5;28.5;Wyss Sven;*;11;55.5;5;28.5;0;0.0;8.5
+;9;37.0;von Büren Thomas;;16;54.25;9;37.0;0;0.0;9.75
o;8;46.75;Elmiger Andreas;;4;57.25;5;47.5;-3;0.75;8.5

12h;Wiget Ueli;;;;;;;;;;55.25
+;;;Gisler Lukas (2005);;;;;;;;10.0
o;1;10.0;Fink Bruno;*;12;55.25;4;8.75;3;-1.25;8.5
o;6;18.5;Ettlin Mario (2003);;18;53.75;7;18.25;1;-0.25;8.5
+;11;27.0;Britschgi Markus;;21;53.0;11;27.0;0;0.0;9.75
+;10;36.75;Hodler Mathias;;18;53.75;10;36.75;0;0.0;10.0
o;8;46.75;Heiniger Marco;**;4;57.25;5;47.5;-3;0.75;8.5

12i;Vogel Manuel;;;;;;;;;;55.25
o;;;Bissig Lukas (2003);;;;;;;;8.5
+;5;8.5;Mignola Lorenzo;;18;53.75;4;8.75;-1;0.25;10.0
o;6;18.5;Lüthy Ralph;;10;55.75;6;18.5;0;0.0;8.5
+;11;27.0;Gisler Lukas (2005);;25;35.25;12;26.75;1;-0.25;10.0
+;9;37.0;Keller Janik;*;24;45.25;11;36.5;2;-0.5;9.75
o;8;46.75;Betschart Patrick;*;5;57.0;6;47.25;-2;0.5;8.5

12j;Felder Seppi;*;;;;;;;;;55.25
o;;;Schuler Philipp;**;;;;;;;8.5
+;5;8.5;Schwegler Flavio (2004);;17;54.0;2;9.75;-3;1.25;10.0
+;6;18.5;Suter Samuel;;10;55.75;5;18.75;-1;0.25;9.75
o;6;28.25;Suter Bruno;;11;55.5;5;28.5;-1;0.25;8.5
o;10;36.75;Würsch Lars;*;12;55.25;10;36.75;0;0.0;8.5
+;14;45.25;Walker Jan (2004);;15;54.5;11;46.0;-3;0.75;10.0
o;12;55.25;Effinger Markus;*;9;56.0;9;56.0;-3;0.75;0.0

12k;Würsch Lars;*;;;;;;;;;55.25
o;;;Arnold Marcel;*;;;;;;;8.5
+;5;8.5;Föhn Christian;;11;55.5;2;9.75;-3;1.25;10.0
o;6;18.5;Lustenberger Josef;;6;56.75;5;18.75;-1;0.25;8.5
+;11;27.0;Vogel Laurin;;12;55.25;7;28.0;-4;1.0;9.75
+;10;36.75;Felder Seppi;*;12;55.25;10;36.75;0;0.0;10.0
o;8;46.75;Schuler Alex;***;7;56.5;9;46.5;1;-0.25;8.5

12l;Arnold Sebastian;;;;;;;;;;55.25
o;;;Lustenberger Marc (2003);;;;;;;;8.5
+;5;8.5;Roth Marco (2004);;27;34.5;5;8.5;0;0.0;9.75
o;7;18.25;Schuler Thomas;;16;54.25;10;17.5;3;-0.75;8.5
+;12;26.75;Reichmuth Marco (2005);;25;35.25;12;26.75;0;0.0;10.0
o;10;36.75;Kennel Stefan;**;7;56.5;11;36.5;1;-0.25;8.5
+;14;45.25;Hodler Mathias;;18;53.75;14;45.25;0;0.0;10.0

12m;Wyrsch Gabriel;;;;;;;;;;55.25
+;;;Zgraggen Peter;;;;;;;;9.75
o;2;9.75;Ettlin Martin;*;5;57.0;5;8.5;3;-1.25;8.5
+;7;18.25;Ulrich Pascal;;15;54.5;7;18.25;0;0.0;9.75
o;7;28.0;Arnold Marcel;*;8;56.25;6;28.25;-1;0.25;8.5
o;11;36.5;Auf der Maur Alex;;11;55.5;10;36.75;-1;0.25;8.75
+;14;45.25;Ettlin Mario (2003);;18;53.75;14;45.25;0;0.0;10.0

12n;Fink Bruno;*;;;;;;;;;55.25
o;;;Kennel Beat;**;;;;;;;8.75
+;4;8.75;Wiget Ueli;;12;55.25;1;10.0;-3;1.25;9.75
+;6;18.5;Auf der Maur Alex;;11;55.5;6;18.5;0;0.0;10.0
o;5;28.5;Bürgi Reto;*;8;56.25;4;28.75;-1;0.25;8.5
+;9;37.0;Gut Koni;;10;55.75;8;37.25;-1;0.25;9.75
o;8;46.75;Ettlin Martin;*;5;57.0;6;47.25;-2;0.5;8.5

13a;Ettlin Michael;;;;;;;;;;55.0
+;;;Lagler Reto;;;;;;;;9.75
-;2;9.75;Zanini David;;11;55.5;4;8.75;2;-1.0;9.0
-;5;18.75;Keller Janik;*;24;45.25;5;18.75;0;0.0;9.0
-;8;27.75;Wicki Patrick;;17;54.0;8;27.75;0;0.0;9.0
+;10;36.75;Blättler Ronnie (2004);;18;53.75;10;36.75;0;0.0;9.75
o;9;46.5;Schöpfer Ronny;**;4;57.25;6;47.25;-3;0.75;8.5

13b;Reichmuth Lukas;*;;;;;;;;;55.0
o;;;Bucher Thomas;*;;;;;;;8.75
+;4;8.75;Durrer Pascal;;25;35.25;2;9.75;-2;1.0;10.0
o;5;18.75;Elmiger Andreas;;4;57.25;4;19.0;-1;0.25;8.75
o;9;27.5;Bissig Lukas (2003);;7;56.5;6;28.25;-3;0.75;8.5
-;13;36.0;Odermatt Remo;*;15;54.5;14;35.75;1;-0.25;9.0
+;15;45.0;Baumann Reto;;17;54.0;13;45.5;-2;0.5;10.0

13c;Moos Christoph;*;;;;;;;;;55.0
o;;;Odermatt Andreas;**;;;;;;;8.5
+;5;8.5;Brunner Timon;;12;55.25;2;9.75;-3;1.25;10.0
-;6;18.5;Wicki Patrick;;17;54.0;5;18.75;-1;0.25;9.0
-;9;27.5;Keller Janik;*;24;45.25;8;27.75;-1;0.25;8.75
-;12;36.25;Zanini David;;11;55.5;10;36.75;-2;0.5;8.75
+;15;45.0;Herger Marco;;14;54.75;11;46.0;-4;1.0;10.0

13d;Amrhyn Jonas (2003);;;;;;;;;;55.0
+;;;Blättler Ronnie (2004);;;;;;;;9.75
+;2;9.75;Gwerder Andreas;*;33;17.0;5;8.5;3;-1.25;9.75
o;3;19.5;Streiff Dominik;*;8;56.25;5;18.75;2;-0.75;8.5
o;7;28.0;Appert Silvan (2003);;10;55.75;8;27.75;1;-0.25;8.5
o;11;36.5;Rogenmoser Linus;;14;54.75;12;36.25;1;-0.25;8.5
+;15;45.0;Zimmermann Raffael;;18;53.75;14;45.25;-1;0.25;10.0

13e;Schnellmann Alexander (2004);;;;;;;;;;55.0
+;;;Lienhard Ramon (2004);;;;;;;;9.75
o;2;9.75;Wicki Patrick;;17;54.0;4;8.75;2;-1.0;8.5
+;7;18.25;Fischer Markus;;21;53.0;7;18.25;0;0.0;10.0
o;6;28.25;Achermann Christoph;*;10;55.75;10;27.25;4;-1.0;8.5
+;10;36.75;von Matt Lars;;13;55.0;11;36.5;1;-0.25;9.75
o;9;46.5;Bucher Thomas;*;4;57.25;6;47.25;-3;0.75;8.5

13f;von Matt Lars;;;;;;;;;;55.0
o;;;Forster Christian;;;;;;;;8.5
+;5;8.5;Waldis Sven (2004);;29;34.0;5;8.5;0;0.0;9.75
+;7;18.25;Baumann Reto;;17;54.0;7;18.25;0;0.0;9.75
o;7;28.0;Schöpfer Ronny;**;4;57.25;10;27.25;3;-0.75;8.5
o;11;36.5;Schnellmann Alexander (2004);;13;55.0;10;36.75;-1;0.25;8.5
+;15;45.0;Ulrich Damian;;18;53.75;15;45.0;0;0.0;10.0

13g;Zgraggen Peter;;;;;;;;;;55.0
o;;;Wyrsch Gabriel;;;;;;;;8.5
+;5;8.5;Schmid Pius;;13;55.0;5;8.5;0;0.0;9.75
+;7;18.25;Reichmuth Marco (2005);;25;35.25;7;18.25;0;0.0;10.0
+;6;28.25;Wallimann Remo;*;16;54.25;10;27.25;4;-1.0;9.75
o;5;38.0;Arnold Raphael;**;4;57.25;7;37.5;2;-0.5;8.5
o;9;46.5;Lagler Christian;;6;56.75;7;47.0;-2;0.5;8.5

13h;Gemsch Stefan;;;;;;;;;;55.0
+;;;Broch Marcel;;;;;;;;9.75
o;2;9.75;Barmettler Peter;*;7;56.5;5;8.5;3;-1.25;8.5
-;7;18.25;Scherrer Patrick;;11;55.5;6;18.5;-1;0.25;8.75
+;11;27.0;Odermatt Fabian (2005);;23;52.5;11;27.0;0;0.0;9.75
+;10;36.75;Egli Adrian;;17;54.0;9;37.0;-1;0.25;9.75
o;9;46.5;Bucher Roland;*;5;57.0;7;47.0;-2;0.5;8.5

13i;Christen Silvan;;;;;;;;;;55.0
+;;;Bamert Mathis (2005);;;;;;;;10.0
o;1;10.0;Bienz Romeo;*;8;56.25;4;8.75;3;-1.25;8.5
+;6;18.5;Züger Benjamin (2004);;16;54.25;6;18.5;0;0.0;9.75
+;6;28.25;Bühler Kilian;;10;55.75;3;29.0;-3;0.75;9.75
o;5;38.0;Heiniger Marco;**;4;57.25;6;37.75;1;-0.25;8.5
o;9;46.5;Kälin Roland;**;7;56.5;8;46.75;-1;0.25;8.5

13j;Schmidiger Marco;*;;;;;;;;;55.0
-;;;Effinger Markus;*;;;;;;;8.75
-;4;8.75;von Euw Lukas;;8;56.25;1;10.0;-3;1.25;9.0
-;9;17.75;Birchler Fabian;;10;55.75;6;18.5;-3;0.75;8.75
+;13;26.5;Schuler Thomas;;16;54.25;10;27.25;-3;0.75;10.0
o;11;36.5;Schuler Alex;***;7;56.5;11;36.5;0;0.0;8.5
+;15;45.0;Ettlin Kevin;;17;54.0;13;45.5;-2;0.5;10.0

13k;Mehr Lars;;;;;;;;;;55.0
o;;;Bühler Patrice;;;;;;;;8.5
+;5;8.5;Fässler Werner (2005);;17;54.0;4;8.75;-1;0.25;10.0
o;6;18.5;Bürli Roger;**;3;57.5;6;18.5;0;0.0;8.5
+;11;27.0;Mignola Lorenzo;;18;53.75;11;27.0;0;0.0;9.75
+;10;36.75;Rogenmoser Ryan;;14;54.75;12;36.25;2;-0.5;9.75
o;9;46.5;Suter Pirmin;**;6;56.75;8;46.75;-1;0.25;8.5

13l;Schmid Pius;;;;;;;;;;55.0
o;;;Widmer Simon;;;;;;;;8.5
o;5;8.5;Zgraggen Peter;;13;55.0;5;8.5;0;0.0;8.5
+;12;17.0;Hüppin Lukas (2004);;18;53.75;12;17.0;0;0.0;10.0
+;11;27.0;Arnold Livio (2004);;23;52.5;11;27.0;0;0.0;9.75
o;10;36.75;Ulrich Marco;**;8;56.25;12;36.25;2;-0.5;8.5
+;14;45.25;Andermatt Reto;;17;54.0;13;45.5;-1;0.25;9.75

14a;Schuler Samuel (2003);;;;;;;;;;54.75
-;;;Vogel Laurin;;;;;;;;8.75
-;4;8.75;Achermann Ueli;;20;53.25;4;8.75;0;0.0;8.75
+;10;17.5;Lienhard Ramon (2004);;18;53.75;11;17.25;1;-0.25;10.0
-;9;27.5;Walker Jan (2004);;15;54.5;10;27.25;1;-0.25;8.75
-;12;36.25;Lagler Reto;;20;53.25;13;36.0;1;-0.25;8.75
+;15;45.0;Blättler Ronnie (2004);;18;53.75;14;45.25;-1;0.25;9.75

14b;Schürpf Bruno;*;;;;;;;;;54.75
-;;;Troxler Jonas;*;;;;;;;9.0
+;3;9.0;Roner Remo;;17;54.0;1;10.0;-2;1.0;10.0
-;4;19.0;Durrer Lukas;;12;55.25;2;19.75;-2;0.75;8.75
o;8;27.75;Bürli Roger;**;3;57.5;6;28.25;-2;0.5;8.5
+;12;36.25;Gander Sebastian (2003);;17;54.0;10;36.75;-2;0.5;10.0
o;10;46.25;Bissig Fabian;;8;56.25;9;46.5;-1;0.25;8.5

14c;Steinauer Kevin (2004);;;;;;;;;;54.75
+;;;Schnüriger Kevin (2004);;;;;;;;10.0
o;1;10.0;Troxler Jonas;*;8;56.25;3;9.0;2;-1.0;8.5
-;6;18.5;Rogenmoser Linus;;14;54.75;6;18.5;0;0.0;9.0
o;9;27.5;Rohrer Marco;;15;54.5;10;27.25;1;-0.25;8.75
+;12;36.25;von Flüe Silvan (2004);;21;53.0;13;36.0;1;-0.25;10.0
o;10;46.25;Schaller Noah;;10;55.75;11;46.0;1;-0.25;8.5

14d;Felder Ivan (2004);;;;;;;;;;54.75
-;;;Schöpfer Marco (2003);;;;;;;;9.0
-;3;9.0;Vogel Laurin;;12;55.25;3;9.0;0;0.0;9.0
o;8;18.0;Egli Adrian;;17;54.0;6;18.5;-2;0.5;8.5
+;13;26.5;Zimmermann Gian (2004);;25;35.25;12;26.75;-1;0.25;10.0
+;11;36.5;Föhn Christian;;11;55.5;10;36.75;-1;0.25;9.75
o;10;46.25;Kenel Franz-Toni;*;10;55.75;11;46.0;1;-0.25;8.5

14e;Ulrich Michael (2003);;;;;;;;;;54.75
+;;;Egli Kilian (2004);;;;;;;;9.75
-;2;9.75;Thierstein Marco;*;10;55.75;4;8.75;2;-1.0;9.0
o;5;18.75;Zürcher Ueli;*;11;55.5;6;18.5;1;-0.25;8.5
+;10;27.25;Herger Marco;;14;54.75;9;27.5;-1;0.25;9.75
-;9;37.0;Rohrer Marco;;15;54.5;9;37.0;0;0.0;9.0
o;11;46.0;Barmettler Renato (2003);;9;56.0;11;46.0;0;0.0;8.75

14f;Betschart Marcel;*;;;;;;;;;54.75
o;;;Durrer Jonas (2003);*;;;;;;;8.5
+;5;8.5;Ulrich Pascal;;15;54.5;2;9.75;-3;1.25;10.0
-;6;18.5;Barmettler Renato (2003);;9;56.0;5;18.75;-1;0.25;9.0
-;9;27.5;Kennel Stefan;**;7;56.5;9;27.5;0;0.0;9.0
+;11;36.5;Beffa Mario;;11;55.5;9;37.0;-2;0.5;9.75
o;10;46.25;Ulrich Marco;**;8;56.25;10;46.25;0;0.0;8.5

14g;Herger Marco;;;;;;;;;;54.75
+;;;Köpfli Mario (2005);;;;;;;;10.0
o;1;10.0;Bürli Roger;**;3;57.5;4;8.75;3;-1.25;8.5
-;6;18.5;Gasser Dominik 1;;12;55.25;8;18.0;2;-0.5;9.0
o;9;27.5;Ulrich Michael (2003);;14;54.75;10;27.25;1;-0.25;8.5
+;13;36.0;Solenthaler David (2004);;15;54.5;13;36.0;0;0.0;10.0
o;11;46.0;Moos Christoph;*;13;55.0;15;45.0;4;-1.0;8.75

14h;Steiner Severin;;;;;;;;;;54.75
o;;;Marti Simon;;;;;;;;8.75
+;4;8.75;von Flüe Silvan (2004);;21;53.0;4;8.75;0;0.0;10.0
o;5;18.75;Ettlin Martin;*;5;57.0;7;18.25;2;-0.5;8.5
+;10;27.25;Kathriner Severin;;17;54.0;10;27.25;0;0.0;10.0
-;8;37.25;Schnider Markus;*;15;54.5;9;37.0;1;-0.25;8.75
o;11;46.0;Bühler Kilian;;10;55.75;11;46.0;0;0.0;8.75

14i;Rogenmoser Linus;;;;;;;;;;54.75
+;;;Hüppin Lukas (2004);;;;;;;;10.0
o;1;10.0;Steinauer Adrian;**;3;57.5;4;8.75;3;-1.25;8.5
-;6;18.5;Steinauer Kevin (2004);;14;54.75;6;18.5;0;0.0;9.0
o;9;27.5;Suter Samuel;;10;55.75;10;27.25;1;-0.25;8.75
+;12;36.25;Amrhyn Jonas (2003);;13;55.0;11;36.5;-1;0.25;9.75
-;11;46.0;Schnider Markus;*;15;54.5;12;45.75;1;-0.25;8.75
