3052-2017-07-16_Fete_Romande2-ST

+;;;Crettaz Olivier;*;;;;;;;10.0
o;1;10.0;Rychen Roger;***;5;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Golliard Steve;;18;53.5;7;18.25;1;-0.25;10.0
+;3;28.5;Torche Bastian;;17;53.75;4;28.25;1;-0.25;10.0
o;2;38.5;Dind Samuel;**;2;57.75;3;38.25;1;-0.25;8.5
-;6;47.0;Mosimann Vincent;*;9;55.75;6;47.0;0;0.0;8.75

9g;Ledermann Michael (2000);;;;;;;;;;55.75
o;;;Ambresin Cyril (1999);;;;;;;;8.5
+;5;8.5;Zingrich Jan (1999);;10;55.5;5;8.5;0;0.0;10.0
+;6;18.5;Burri Flemming;;12;55.0;7;18.25;1;-0.25;9.75
o;4;28.25;Haenni Stéphane;**;6;56.75;3;28.5;-1;0.25;8.75
-;7;37.0;Kramer Dorian (1999);;14;54.5;8;36.75;1;-0.25;9.0
+;10;46.0;Haldi Sami;*;16;54.0;12;45.5;2;-0.5;9.75

9h;Schafer Damien;*;;;;;;;;;55.75
o;;;Duplan Steve;**;;;;;;;8.5
+;5;8.5;Aeschbacher Ivo (2001);;21;52.5;1;10.0;-4;1.5;10.0
-;6;18.5;Emonet Fabien;**;9;55.75;6;18.5;0;0.0;8.75
o;8;27.25;Ambresin Cyril (1999);;7;56.5;4;28.25;-4;1.0;8.5
+;11;35.75;Z'Rotz Roman;;15;54.25;7;37.0;-4;1.25;10.0
+;11;45.75;Grossenbacher Marc (2000);;12;55.0;8;46.5;-3;0.75;10.0

10a;Cropt Harald;**;;;;;;;;;55.5
-;;;Bersier Jean-Jacques;*;;;;;;;8.75
-;4;8.75;Dubey Gaël;;15;54.25;2;9.75;-2;1.0;8.75
+;8;17.5;Sturny Nicolas;;11;55.25;10;17.0;2;-0.5;10.0
+;7;27.5;Quiot Didier;;21;52.5;9;27.0;2;-0.5;9.75
+;6;37.25;Wieland Janis;*;11;55.25;8;36.75;2;-0.5;9.75
o;6;47.0;Bieri Christoph;***;4;57.25;5;47.25;-1;0.25;8.5

10b;Kyburz Silas;;;;;;;;;;55.5
+;;;Zingrich Jan (1999);;;;;;;;10.0
o;1;10.0;Gottofrey Marc;**;9;55.75;5;8.5;4;-1.5;8.5
+;6;18.5;Zosso Fabian;;17;53.75;6;18.5;0;0.0;10.0
o;3;28.5;Roch Vincent;**;10;55.5;8;27.25;5;-1.25;8.5
o;7;37.0;Ducry Antoine;*;10;55.5;6;37.25;-1;0.25;8.5
+;12;45.5;Jeannin Jess (2000);;15;54.25;11;45.75;-1;0.25;10.0

10c;Brodard Simon;**;;;;;;;;;55.5
-;;;Mollet Ivan;*;;;;;;;8.75
+;4;8.75;Hayoz Quentin;;10;55.5;1;10.0;-3;1.25;9.75
o;6;18.5;Bieri Christoph;***;4;57.25;6;18.5;0;0.0;8.5
+;9;27.0;Z'Rotz Roman;;15;54.25;3;28.5;-6;1.5;10.0
+;7;37.0;Bersier Jean-Jacques;*;9;55.75;6;37.25;-1;0.25;10.0
o;6;47.0;Rychen Roger;***;5;57.0;6;47.0;0;0.0;8.5

10d;Barras David;*;;;;;;;;;55.5
o;;;Minder Florian;*;;;;;;;8.5
-;5;8.5;Loup Grégoire (2000);;13;54.75;1;10.0;-4;1.5;8.75
+;9;17.25;Beliakov Alexandre;;13;54.75;7;18.25;-2;1.0;9.75
+;9;27.0;Fuchs Yannick;;12;55.0;5;28.0;-4;1.0;10.0
+;7;37.0;Gottofrey Luc;*;11;55.25;7;37.0;0;0.0;9.75
o;7;46.75;Zenger Niklaus;***;10;55.5;11;45.75;4;-1.0;8.75

10e;Mollet Ivan;*;;;;;;;;;55.5
-;;;Brodard Simon;**;;;;;;;8.75
+;4;8.75;Rapin Florent;;11;55.25;2;9.75;-2;1.0;9.75
o;6;18.5;Zwyssig Raphael;***;6;56.75;6;18.5;0;0.0;8.5
+;9;27.0;Buchs Julien (1999);;14;54.5;3;28.5;-6;1.5;10.0
+;7;37.0;Zosso Fabian;;17;53.75;8;36.75;1;-0.25;10.0
o;6;47.0;Ulrich Andreas;***;3;57.5;4;47.5;-2;0.5;8.5

10f;Loup Alexandre;*;;;;;;;;;55.5
o;;;Derron Cédric;*;;;;;;;8.5
+;5;8.5;Zosso Fabian;;17;53.75;1;10.0;-4;1.5;10.0
o;6;18.5;Gottofrey Marc;**;9;55.75;7;18.25;1;-0.25;8.5
+;9;27.0;Steiner Pirmin;;18;53.5;5;28.0;-4;1.0;10.0
o;7;37.0;Barras André;*;10;55.5;6;37.25;-1;0.25;8.5
+;12;45.5;Vonlanthen Alexandre;;12;55.0;8;46.5;-4;1.0;10.0

10g;Zingrich Jan (1999);;;;;;;;;;55.5
o;;;Kyburz Silas;;;;;;;;8.5
o;5;8.5;Ledermann Michael (2000);;9;55.75;5;8.5;0;0.0;8.75
+;9;17.25;Vionnet Julien (2000);;20;52.75;9;17.25;0;0.0;10.0
o;8;27.25;Derron Julien;*;10;55.5;9;27.0;1;-0.25;8.5
+;11;35.75;Gauch Thierry;;15;54.25;11;35.75;0;0.0;10.0
+;11;45.75;Niederberger Nicola (2000);;15;54.25;11;45.75;0;0.0;9.75

10h;Crausaz Simon;;;;;;;;;;55.5
o;;;Parvex Yannick;;;;;;;;8.5
+;5;8.5;Berger Dilan;;27;17.25;4;8.75;-1;0.25;10.0
o;6;18.5;Riedo Fredy;*;10;55.5;6;18.5;0;0.0;8.5
o;9;27.0;Wieland Micha;;11;55.25;9;27.0;0;0.0;8.5
+;12;35.5;Goy Sébastien;;20;52.75;12;35.5;0;0.0;10.0
+;12;45.5;Fankhauser Hans (2001);;16;54.0;12;45.5;0;0.0;10.0

10i;Derron Julien;*;;;;;;;;;55.5
o;;;Riedo Fredy;*;;;;;;;8.5
+;5;8.5;Niederberger Nicola (2000);;15;54.25;1;10.0;-4;1.5;10.0
o;6;18.5;Lerch Jimmy;*;10;55.5;6;18.5;0;0.0;8.5
+;9;27.0;Zingrich Jan (1999);;10;55.5;8;27.25;-1;0.25;10.0
o;7;37.0;Roch Vincent;**;10;55.5;7;37.0;0;0.0;8.5
+;12;45.5;Beliakov Alexandre;;13;54.75;9;46.25;-3;0.75;10.0

10j;Lerch Jimmy;*;;;;;;;;;55.5
o;;;Brodard Augustin;**;;;;;;;8.5
+;5;8.5;Quiot Didier;;21;52.5;1;10.0;-4;1.5;10.0
+;6;18.5;Derron Julien;*;10;55.5;6;18.5;0;0.0;10.0
o;3;28.5;Borcard Johann;**;4;57.25;2;28.75;-1;0.25;8.5
+;7;37.0;Niederberger Nicola (2000);;15;54.25;7;37.0;0;0.0;10.0
