5141-2022-05-29_107_St_Galler_Kantonalschwingfest-ST

1a;Koller Silvan;*;;;;;;;;;108.75
+;15;36.0;Mathys Stefan (2005);;23;53.0;15;36.0;0;0.0;10.0
o;13;46.0;Burkhalter Stefan;***;13;55.5;14;45.75;1;-0.25;8.5

17e;Gerber Andrj;*;;;;;;;;;54.5
o;;;Rüegg Fabian;*;;;;;;;8.5
+;6;8.5;Lusti Adrian;;28;35.25;3;9.75;-3;1.25;10.0
-;7;18.5;Bischof Martin;;17;54.5;4;19.5;-3;1.0;9.0
+;9;27.5;Ziegler Andreas;;15;55.0;8;28.0;-1;0.5;9.75
-;10;37.25;Kurmann Patrick;;8;56.75;7;38.0;-3;0.75;8.75
o;13;46.0;Elmer Daniel;*;10;56.25;12;46.25;-1;0.25;8.5

17f;Galli Cedric;;;;;;;;;;54.5
+;;;Martin Tobias;;;;;;;;10.0
o;2;10.0;Elmer Daniel;*;10;56.25;4;9.0;2;-1.0;8.5
+;7;18.5;Tschumper Elias (2005);;20;53.75;8;18.25;1;-0.25;9.75
o;7;28.25;Signer Andy;*;8;56.75;7;28.25;0;0.0;8.75
-;11;37.0;Flück Bruno;;13;55.5;11;37.0;0;0.0;8.75
-;14;45.75;Bischof Martin;;17;54.5;14;45.75;0;0.0;8.75

17g;Bischof Martin;;;;;;;;;;54.5
+;;;Ritter Sirin (2005);;;;;;;;9.75
+;3;9.75;Signer Sandro (2006);;25;52.5;2;10.0;-1;0.25;9.75
-;4;19.5;Gerber Andrj;*;17;54.5;7;18.5;3;-1.0;8.75
-;7;28.25;Keller Manuel;*;11;56.0;10;27.25;3;-1.0;8.75
-;11;37.0;Odermatt Michi;;19;54.0;12;36.75;1;-0.25;8.75
-;14;45.75;Galli Cedric;;17;54.5;14;45.75;0;0.0;8.75

17h;Diem Hansruedi;;;;;;;;;;54.5
-;;;Zumbach Michael;;;;;;;;8.75
+;5;8.75;Stadelmann Lukas (2004);;18;54.25;2;10.0;-3;1.25;10.0
o;6;18.75;Schlegel Reto;*;12;55.75;11;17.25;5;-1.5;8.5
o;10;27.25;Schmid Gian;;12;55.75;9;27.5;-1;0.25;8.5
-;16;35.75;Müller Jano (2005);;17;54.5;15;36.0;-1;0.25;8.75
+;19;44.5;Schiess Christian;;23;53.0;19;44.5;0;0.0;10.0

17i;Niederberger Marc Ursin;;;;;;;;;;54.5
+;;;Krucker Silvan;;;;;;;;10.0
o;2;10.0;Bernold Michael;*;11;56.0;5;8.75;3;-1.25;8.5
+;7;18.5;Roth Sämi;;14;55.25;7;18.5;0;0.0;10.0
o;6;28.5;Baumann Rico;*;6;57.25;5;28.75;-1;0.25;8.5
o;11;37.0;Baumgartner Ramon;**;11;56.0;9;37.5;-2;0.5;8.5
-;15;45.5;Wildhaber Jannik;;16;54.75;14;45.75;-1;0.25;9.0

17j;Hobi Ignaz;*;;;;;;;;;54.5
o;;;Koller Fabian;*;;;;;;;8.75
o;5;8.75;Bachmann Janos (2004);;14;55.25;3;9.75;-2;1.0;8.5
-;11;17.25;Fritz Andreas;;18;54.25;12;17.0;1;-0.25;8.75
+;14;26.0;Lüönd Remo;;15;55.0;12;26.75;-2;0.75;9.75
-;16;35.75;Koller Silvan;*;1;108.75;1;73.25;-15;37.5;8.75
+;19;44.5;Mösli Timo (2006);;25;52.5;21;44.0;2;-0.5;10.0

18a;Stadelmann Lukas (2004);;;;;;;;;;54.25
+;;;Nadig Florian (2006);;;;;;;;10.0
o;2;10.0;Diem Hansruedi;;17;54.5;5;8.75;3;-1.25;8.5
-;7;18.5;Spirig Jann (2004);;19;54.0;7;18.5;0;0.0;8.75
o;10;27.25;Roth Martin;***;10;56.25;13;26.25;3;-1.0;8.5
o;16;35.75;Fuster Arjuna;;16;54.75;15;36.0;-1;0.25;8.5
+;20;44.25;Mathys Stefan (2005);;23;53.0;19;44.5;-1;0.25;10.0

18b;Keller Werner;*;;;;;;;;;54.25
-;;;Burch Dean;*;;;;;;;8.75
o;5;8.75;Gmür Pirmin;**;8;56.75;5;8.75;0;0.0;8.5
+;11;17.25;Martin Tobias;;13;55.5;7;18.5;-4;1.25;9.75
+;11;27.0;Signer Tobias (2004);;13;55.5;6;28.5;-5;1.5;10.0
o;11;37.0;Rotach Lars;*;6;57.25;8;37.75;-3;0.75;8.5
o;15;45.5;Stadelmann Patrick;;10;56.25;11;46.5;-4;1.0;8.75

18c;Fritz Andreas;;;;;;;;;;54.25
o;;;Flück Bruno;;;;;;;;8.5
o;6;8.5;Schiess Christian;;23;53.0;5;8.75;-1;0.25;8.5
-;12;17.0;Hobi Ignaz;*;17;54.5;11;17.25;-1;0.25;8.75
+;15;25.75;Meier Adrian;;32;34.0;16;25.5;1;-0.25;10.0
+;16;35.75;Feller Andrin (2006);;24;52.75;16;35.75;0;0.0;10.0
o;14;45.75;Schmid Gian;;12;55.75;14;45.75;0;0.0;8.5

18d;Baumann Simon;;;;;;;;;;54.25
+;;;Bakr Deliar (2006);;;;;;;;9.75
o;3;9.75;Bickel Roman;*;19;54.0;5;8.75;2;-1.0;8.5
o;8;18.25;Albrecht Quirin (2006);;16;54.75;8;18.25;0;0.0;8.5
+;12;26.75;Brand Andreas;;20;53.75;11;27.0;-1;0.25;10.0
o;12;36.75;Bachmann Janos (2004);;14;55.25;12;36.75;0;0.0;8.5
-;16;45.25;Gasenzer Christian (2004);;18;54.25;16;45.25;0;0.0;9.0

18e;Pﬁster Florian;*;;;;;;;;;54.25
o;;;Schwyn Adrian;*;;;;;;;8.75
+;5;8.75;Mathys Stefan (2005);;23;53.0;2;10.0;-3;1.25;10.0
o;6;18.75;Voggensperger Janic;**;10;56.25;8;18.25;2;-0.5;8.5
-;10;27.25;Wagner Andreas;;16;54.75;10;27.25;0;0.0;8.75
o;15;36.0;Rüegg Patrick;;10;56.25;13;36.5;-2;0.5;8.5
+;19;44.5;Brülisauer Thomas;;24;52.75;20;44.25;1;-0.25;9.75

18f;Anliker Andri;;;;;;;;;;54.25
-;;;Signer Tobias (2004);;;;;;;;8.75
+;5;8.75;Egli Joel;;20;53.75;6;8.5;1;-0.25;9.75
o;7;18.5;Rüegg Fabian;*;7;57.0;7;18.5;0;0.0;8.5
+;11;27.0;Gähwiler Joshua (2004);;19;54.0;11;27.0;0;0.0;10.0
o;11;37.0;Fausch Kjetil;*;13;55.5;10;37.25;-1;0.25;8.5
-;15;45.5;Keller Cedric;;19;54.0;16;45.25;1;-0.25;8.75

18g;Oettli Reto (2005);;;;;;;;;;54.25
o;;;Siegenthaler Joël;;;;;;;;8.5
+;6;8.5;Dörig Maurus (2004);;20;53.75;6;8.5;0;0.0;9.75
o;8;18.25;Hochholdinger Roman;**;8;56.75;12;17.0;4;-1.25;8.5
+;12;26.75;Mösli Timo (2006);;25;52.5;11;27.0;-1;0.25;10.0
-;12;36.75;Schiess Daniel;;19;54.0;12;36.75;0;0.0;9.0
o;14;45.75;Giger Florian;;13;55.5;15;45.5;1;-0.25;8.5

18h;Gasenzer Christian (2004);;;;;;;;;;54.25
+;;;Mathis Marlon (2006);;;;;;;;9.75
+;3;9.75;Wenger Dominic;;28;35.25;3;9.75;0;0.0;10.0
o;3;19.75;Koller Fabian;*;13;55.5;7;18.5;4;-1.25;8.5
o;7;28.25;Baumgartner Ramon;**;11;56.0;9;27.5;2;-0.75;8.5
o;12;36.75;Martin Tobias;;13;55.5;11;37.0;-1;0.25;8.5
-;16;45.25;Baumann Simon;;18;54.25;16;45.25;0;0.0;9.0

18i;Rüger Damian;;;;;;;;;;54.25
o;;;Bachmann Janos (2004);;;;;;;;8.5
+;6;8.5;Bakr Deliar (2006);;32;34.0;6;8.5;0;0.0;10.0
+;7;18.5;Zumstein Silvan;;25;52.5;7;18.5;0;0.0;9.75
o;7;28.25;Schwyn Adrian;*;14;55.25;7;28.25;0;0.0;8.5
-;12;36.75;Lötscher Niklas (2006);;19;54.0;12;36.75;0;0.0;8.75
-;15;45.5;Dörig Maurus (2004);;20;53.75;17;45.0;2;-0.5;8.75

18j;Graf Dominik (2005);;;;;;;;;;54.25
o;;;Koller Silvan;;;;;;;;8.5
o;6;8.5;Stauffacher Martin;;18;54.25;6;8.5;0;0.0;8.5
+;12;17.0;Meier Adrian;;32;34.0;12;17.0;0;0.0;10.0
-;11;27.0;Bischof Loris (2006);;22;53.25;10;27.25;-1;0.25;8.75
o;16;35.75;Walser Simon (2004);;14;55.25;12;36.75;-4;1.0;8.5
+;20;44.25;Egli Joel;;20;53.75;16;45.25;-4;1.0;10.0

18k;Stauffacher Martin;;;;;;;;;;54.25
o;;;Schiess Daniel;;;;;;;;8.5
+;6;8.5;Graf Dominik (2005);;18;54.25;6;8.5;0;0.0;9.75
o;8;18.25;Schwyn Patrick;;13;55.5;7;18.5;-1;0.25;8.5
-;12;26.75;Ochsner Reto;;21;53.5;11;27.0;-1;0.25;9.0
o;16;35.75;Wagner Andreas;;16;54.75;15;36.0;-1;0.25;8.5
+;20;44.25;Signer Sandro (2006);;25;52.5;21;44.0;1;-0.25;10.0

18l;Scherrer Willi;;;;;;;;;;54.25
o;;;Keller Dominic;;;;;;;;8.5
+;6;8.5;Brülisauer Thomas;;24;52.75;6;8.5;0;0.0;10.0
o;7;18.5;Oettli Marco;**;9;56.5;7;18.5;0;0.0;8.5
-;11;27.0;Zollinger Silvan (2004);;26;35.75;11;27.0;0;0.0;8.75
o;16;35.75;Bürgler Patrick;*;14;55.25;12;36.75;-4;1.0;8.5
+;20;44.25;Koch Sämi (2006);;25;52.5;21;44.0;1;-0.25;10.0

19a;Odermatt Michi;;;;;;;;;;54.0
+;;;Egli Joel;;;;;;;;9.75
+;3;9.75;Schlegel Reto;*;12;55.75;5;8.75;2;-1.0;10.0
o;3;19.75;Bernold Michael;*;11;56.0;6;18.75;3;-1.0;8.5
o;7;28.25;Egli Martin;;8;56.75;6;28.5;-1;0.25;8.5
-;12;36.75;Bischof Martin;;17;54.5;11;37.0;-1;0.25;8.75
o;15;45.5;Flück Bruno;;13;55.5;14;45.75;-1;0.25;8.5

19b;Gähwiler Joshua (2004);;;;;;;;;;54.0
o;;;Mathys Stefan (2005);;;;;;;;8.5
+;6;8.5;Widmer Patrick (2005);;28;35.25;6;8.5;0;0.0;10.0
o;7;18.5;Jörger Corsin;*;16;54.75;11;17.25;4;-1.25;8.5
o;11;27.0;Anliker Andri;;18;54.25;11;27.0;0;0.0;8.5
+;17;35.5;Koch Sämi (2006);;25;52.5;17;35.5;0;0.0;10.0
o;15;45.5;Seliner Bruno (2004);;14;55.25;16;45.25;1;-0.25;8.5

19c;Weder Yanick;;;;;;;;;;54.0
+;;;Aepli Finn (2006);;;;;;;;9.75
-;3;9.75;Bischof Loris (2006);;22;53.25;3;9.75;0;0.0;9.0
o;6;18.75;Jörger Marc;*;7;57.0;7;18.5;1;-0.25;8.5
o;10;27.25;Müller Josias (2006);;13;55.5;10;27.25;0;0.0;8.5
+;16;35.75;Bleiker Toni (2006);;25;52.5;17;35.5;1;-0.25;9.75
o;15;45.5;Schwyn Patrick;;13;55.5;15;45.5;0;0.0;8.5

19d;Nussbaumer Gabriel;;;;;;;;;;54.0
o;;;Raschle Urban;;;;;;;;8.5
+;6;8.5;Dähler Luca (2006);;32;34.0;6;8.5;0;0.0;9.75
+;8;18.25;Widmer Fadri (2005);;14;55.25;8;18.25;0;0.0;10.0
o;7;28.25;Bärtsch Fabian;*;9;56.5;8;28.0;1;-0.25;8.5
-;12;36.75;Zumbach Michael;;14;55.25;12;36.75;0;0.0;8.75
o;15;45.5;Schlegel Reto;*;12;55.75;14;45.75;-1;0.25;8.5

19e;Schiess Daniel;;;;;;;;;;54.0
+;;;Stauffacher Martin;;;;;;;;9.75
o;3;9.75;Mettler Valentin;*;7;57.0;4;9.0;1;-0.75;8.5
o;8;18.25;Ziegler Andreas;;15;55.0;8;18.25;0;0.0;8.5
+;12;26.75;Wittenwiler Mathias;;29;35.0;13;26.25;1;-0.5;10.0
-;12;36.75;Oettli Reto (2005);;18;54.25;12;36.75;0;0.0;8.75
o;15;45.5;Wild Thomas;*;13;55.5;15;45.5;0;0.0;8.5

19f;Stolz Jonas (2006);;;;;;;;;;54.0
o;;;Spirig Jann (2004);;;;;;;;8.5
-;6;8.5;Ackermann Jan (2006);;31;34.25;6;8.5;0;0.0;8.75
o;11;17.25;Mock Ramon (2006);;20;53.75;12;17.0;1;-0.25;8.5
+;15;25.75;Bakr Deliar (2006);;32;34.0;16;25.5;1;-0.25;10.0
o;16;35.75;Seliner Bruno (2004);;14;55.25;17;35.5;1;-0.25;8.5
+;20;44.25;Zumstein Silvan;;25;52.5;21;44.0;1;-0.25;9.75

19g;Spirig Jann (2004);;;;;;;;;;54.0
+;;;Stolz Jonas (2006);;;;;;;;9.75
-;3;9.75;Bleiker Toni (2006);;25;52.5;3;9.75;0;0.0;8.75
-;7;18.5;Stadelmann Lukas (2004);;18;54.25;7;18.5;0;0.0;8.75
o;10;27.25;Brügger Stefan;*;15;55.0;13;26.25;3;-1.0;8.5
o;16;35.75;Mathis Marlon (2006);;20;53.75;17;35.5;1;-0.25;8.5
+;20;44.25;Aepli Dean (2005);;25;52.5;21;44.0;1;-0.25;9.75

19h;Keller Cedric;;;;;;;;;;54.0
+;;;Müller Jano (2005);;;;;;;;9.75
o;3;9.75;Schmid Dominik;**;7;57.0;5;8.75;2;-1.0;8.5
o;8;18.25;Stadelmann Patrick;;10;56.25;8;18.25;0;0.0;8.5
-;12;26.75;Mathys Stefan (2005);;23;53.0;11;27.0;-1;0.25;8.75
+;17;35.5;Mösli Timo (2006);;25;52.5;17;35.5;0;0.0;9.75
-;16;45.25;Anliker Andri;;18;54.25;15;45.5;-1;0.25;8.75

19i;Lötscher Niklas (2006);;;;;;;;;;54.0
+;;;Seliner Bruno (2004);;;;;;;;10.0
o;2;10.0;Flück Bruno;;13;55.5;3;9.75;1;-0.25;8.5
o;7;18.5;Signer Tobias (2004);;13;55.5;6;18.75;-1;0.25;8.5
+;11;27.0;Lusti Adrian;;28;35.25;12;26.75;1;-0.25;9.75
-;12;36.75;Rüger Damian;;18;54.25;12;36.75;0;0.0;8.75
o;15;45.5;Inauen Andreas;*;14;55.25;15;45.5;0;0.0;8.5

19j;Bickel Roman;*;;;;;;;;;54.0
-;;;Mettler Valentin;*;;;;;;;8.75
+;5;8.75;Baumann Simon;;18;54.25;3;9.75;-2;1.0;10.0
o;6;18.75;Mannhart Jan;;8;56.75;2;20.0;-4;1.25;8.5
o;10;27.25;Geisser Lars;**;10;56.25;8;28.0;-2;0.75;8.5
+;16;35.75;Egli Joel;;20;53.75;12;36.75;-4;1.0;9.75
o;15;45.5;Schäppi Urs;*;13;55.5;14;45.75;-1;0.25;8.5

19k;Bürge Gian (2005);;;;;;;;;;54.0
o;;;Bleiker Ueli (2004);;;;;;;;8.5
o;6;8.5;Kobler Janosch;*;12;55.75;6;8.5;0;0.0;8.5
-;12;17.0;Feller Andrin (2006);;24;52.75;12;17.0;0;0.0;8.75
+;15;25.75;Amrhein Patrick (2006);;31;34.25;15;25.75;0;0.0;9.75
+;17;35.5;Zumstein Silvan;;25;52.5;17;35.5;0;0.0;10.0
o;15;45.5;Roth Michael;;14;55.25;15;45.5;0;0.0;8.5

20a;Höpli Remo;;;;;;;;;;53.75
o;;;Fallegger Marc;;;;;;;;8.5
+;6;8.5;Mock Ramon (2006);;20;53.75;6;8.5;0;0.0;9.75
+;8;18.25;Wenger Dominic;;28;35.25;8;18.25;0;0.0;10.0
o;7;28.25;Schegg Daniel;;15;55.0;7;28.25;0;0.0;8.5
o;12;36.75;Ziegler Andreas;;15;55.0;13;36.5;1;-0.25;8.5
o;16;45.25;Koller Silvan;*;1;108.75;1;90.5;-15;45.25;8.5

20b;Dörig Maurus (2004);;;;;;;;;;53.75
o;;;Lacher Tobias (2005);;;;;;;;8.5
o;6;8.5;Oettli Reto (2005);;18;54.25;6;8.5;0;0.0;8.5
+;12;17.0;Krucker Roman (2004);;32;34.0;12;17.0;0;0.0;9.75
+;12;26.75;Aepli Finn (2006);;28;35.25;12;26.75;0;0.0;9.75
o;13;36.5;Scherrer Pascal;;16;54.75;13;36.5;0;0.0;8.5
-;17;45.0;Rüger Damian;;18;54.25;15;45.5;-2;0.5;8.75

20c;Knup Stephan;;;;;;;;;;53.75
o;;;Gerig Marcel;;;;;;;;8.5
+;6;8.5;Krucker Roman (2004);;32;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Rotach Lars;*;6;57.25;8;18.25;1;-0.25;8.5
+;11;27.0;Fallegger Marc;;28;35.25;12;26.75;1;-0.25;9.75
o;12;36.75;Signer Tobias (2004);;13;55.5;11;37.0;-1;0.25;8.5
o;16;45.25;Zumbach Michael;;14;55.25;15;45.5;-1;0.25;8.5

20d;Manser Adrian;;;;;;;;;;53.75
o;;;Egli Martin;;;;;;;;8.5
o;6;8.5;Raymann Jan;;16;54.75;6;8.5;0;0.0;8.5
+;12;17.0;Amrhein Patrick (2006);;31;34.25;11;17.25;-1;0.25;10.0
o;11;27.0;Zumbach Michael;;14;55.25;11;27.0;0;0.0;8.5
o;17;35.5;Siegenthaler Joël;;17;54.5;15;36.0;-2;0.5;8.5
+;21;44.0;Bleiker Toni (2006);;25;52.5;21;44.0;0;0.0;9.75

20e;Tschumper Elias (2005);;;;;;;;;;53.75
+;;;Widmer Patrick (2005);;;;;;;;9.75
o;3;9.75;Keller Manuel;*;11;56.0;6;8.5;3;-1.25;8.5
o;8;18.25;Galli Cedric;;17;54.5;7;18.5;-1;0.25;8.5
+;12;26.75;Brülisauer Thomas;;24;52.75;11;27.0;-1;0.25;10.0
o;12;36.75;Roth Sämi;;14;55.25;12;36.75;0;0.0;8.5
o;16;45.25;Signer Walter;;17;54.5;18;44.75;2;-0.5;8.5

20f;Egli Joel;;;;;;;;;;53.75
o;;;Odermatt Michi;;;;;;;;8.5
o;6;8.5;Anliker Andri;;18;54.25;5;8.75;-1;0.25;8.5
+;12;17.0;Meier Adrian (2005);;28;35.25;12;17.0;0;0.0;9.75
+;12;26.75;Wenger Dominic;;28;35.25;12;26.75;0;0.0;10.0
o;12;36.75;Bickel Roman;*;19;54.0;16;35.75;4;-1.0;8.5
o;16;45.25;Graf Dominik (2005);;18;54.25;20;44.25;4;-1.0;8.5

20g;Mock Ramon (2006);;;;;;;;;;53.75
o;;;Roth Sämi;;;;;;;;8.5
o;6;8.5;Höpli Remo;;20;53.75;6;8.5;0;0.0;8.5
+;12;17.0;Stolz Jonas (2006);;19;54.0;11;17.25;-1;0.25;9.75
+;12;26.75;Seliner Bruno (2004);;14;55.25;12;26.75;0;0.0;10.0
o;12;36.75;Egli Patrick;;16;54.75;13;36.5;1;-0.25;8.5
o;16;45.25;Lenherr Jonas (2005);;12;55.75;14;45.75;-2;0.5;8.5

20h;Mathis Marlon (2006);;;;;;;;;;53.75
o;;;Gasenzer Christian (2004);;;;;;;;8.5
o;6;8.5;Widmer Fadri (2005);;14;55.25;6;8.5;0;0.0;8.5
+;12;17.0;Bakr Deliar (2006);;32;34.0;12;17.0;0;0.0;10.0
o;11;27.0;Roth Sämi;;14;55.25;11;27.0;0;0.0;8.5
+;17;35.5;Spirig Jann (2004);;19;54.0;16;35.75;-1;0.25;9.75
o;16;45.25;Lüönd Remo;;15;55.0;16;45.25;0;0.0;8.5

20i;Brand Andreas;;;;;;;;;;53.75
o;;;Lenherr Jonas (2005);;;;;;;;8.5
o;6;8.5;Martin Tobias;;13;55.5;6;8.5;0;0.0;8.5
+;12;17.0;Ackermann Jan (2006);;31;34.25;11;17.25;-1;0.25;10.0
o;11;27.0;Baumann Simon;;18;54.25;12;26.75;1;-0.25;8.5
+;17;35.5;Signer Sandro (2006);;25;52.5;17;35.5;0;0.0;9.75
o;16;45.25;Gerig Marcel;;13;55.5;15;45.5;-1;0.25;8.5

21a;Ritter Sirin (2005);;;;;;;;;;53.5
o;;;Bischof Martin;;;;;;;;8.5
+;6;8.5;Aepli Finn (2006);;28;35.25;6;8.5;0;0.0;9.75
o;8;18.25;Wild Thomas;*;13;55.5;12;17.0;4;-1.25;8.5
+;12;26.75;Krucker Roman (2004);;32;34.0;16;25.5;4;-1.25;9.75
o;13;36.5;Stadelmann Patrick;;10;56.25;13;36.5;0;0.0;8.5
o;17;45.0;Giger Lorenz;;16;54.75;17;45.0;0;0.0;8.5

21b;Ochsner Reto;;;;;;;;;;53.5
+;;;Kaiser David (2006);;;;;;;;10.0
o;2;10.0;Baumann Rico;*;6;57.25;5;8.75;3;-1.25;8.5
o;7;18.5;Schönenberger Tobias (2004);;7;57.0;6;18.75;-1;0.25;8.5
-;11;27.0;Stauffacher Martin;;18;54.25;12;26.75;1;-0.25;9.0
-;15;36.0;Schiess Christian;;23;53.0;16;35.75;1;-0.25;8.75
-;18;44.75;Eisenring Leandro;;23;53.0;20;44.25;2;-0.5;8.75

21c;Krucker Silvan;;;;;;;;;;53.5
o;;;Niederberger Marc Ursin;;;;;;;;8.5
o;6;8.5;Lüönd Remo;;15;55.0;6;8.5;0;0.0;8.5
+;12;17.0;Widmer Patrick (2005);;28;35.25;12;17.0;0;0.0;9.75
+;12;26.75;Zumstein Silvan;;25;52.5;11;27.0;-1;0.25;9.75
o;13;36.5;Keller Manuel;*;11;56.0;15;36.0;2;-0.5;8.5
o;17;45.0;Müller Jano (2005);;17;54.5;18;44.75;1;-0.25;8.5

22a;Bischof Loris (2006);;;;;;;;;;53.25
+;;;Zumstein Silvan;;;;;;;;9.75
-;3;9.75;Weder Yanick;;19;54.0;3;9.75;0;0.0;9.0
o;6;18.75;Fausch Kjetil;*;13;55.5;6;18.75;0;0.0;8.5
-;10;27.25;Graf Dominik (2005);;18;54.25;11;27.0;1;-0.25;8.75
-;15;36.0;Signer Walter;;17;54.5;15;36.0;0;0.0;8.75
o;18;44.75;Jörger Corsin;*;16;54.75;18;44.75;0;0.0;8.5

23a;Schiess Christian;;;;;;;;;;53.0
-;;;Fuster Arjuna;;;;;;;;8.75
+;5;8.75;Fritz Andreas;;18;54.25;6;8.5;1;-0.25;9.75
-;7;18.5;Koller Silvan;*;1;108.75;1;35.75;-6;17.25;8.75
o;10;27.25;Giger Florian;;13;55.5;11;27.0;1;-0.25;8.5
-;16;35.75;Ochsner Reto;;21;53.5;15;36.0;-1;0.25;8.75
o;19;44.5;Diem Hansruedi;;17;54.5;19;44.5;0;0.0;8.5

23b;Mathys Stefan (2005);;;;;;;;;;53.0
+;;;Gähwiler Joshua (2004);;;;;;;;10.0
o;2;10.0;Pﬁster Florian;*;18;54.25;5;8.75;3;-1.25;8.5
o;7;18.5;Raschle Urban;;12;55.75;6;18.75;-1;0.25;8.5
-;11;27.0;Keller Cedric;;19;54.0;12;26.75;1;-0.25;9.0
o;15;36.0;Dobler Martin;;17;54.5;15;36.0;0;0.0;8.5
o;19;44.5;Stadelmann Lukas (2004);;18;54.25;20;44.25;1;-0.25;8.5

23c;Eisenring Leandro;;;;;;;;;;53.0
-;;;Müller Josias (2006);;;;;;;;8.75
-;5;8.75;Fuster Arjuna;;16;54.75;5;8.75;0;0.0;8.75
+;10;17.5;Fallegger Marc;;28;35.25;8;18.25;-2;0.75;9.75
o;10;27.25;Wey Nicola;*;12;55.75;9;27.5;-1;0.25;8.5
o;16;35.75;Flütsch Marco;;14;55.25;17;35.5;1;-0.25;8.5
-;20;44.25;Ochsner Reto;;21;53.5;18;44.75;-2;0.5;8.75

24a;Brülisauer Thomas;;;;;;;;;;52.75
o;;;Schegg Daniel;;;;;;;;8.5
o;6;8.5;Scherrer Willi;;18;54.25;6;8.5;0;0.0;8.5
+;12;17.0;Schäli Dario (2005);;30;34.5;11;17.25;-1;0.25;10.0
o;11;27.0;Tschumper Elias (2005);;20;53.75;12;26.75;1;-0.25;8.75
o;16;35.75;Lüönd Remo;;15;55.0;17;35.5;1;-0.25;8.5
o;20;44.25;Pﬁster Florian;*;18;54.25;19;44.5;-1;0.25;8.5

24b;Feller Andrin (2006);;;;;;;;;;52.75
o;;;Koch Sämi (2006);;;;;;;;8.5
o;6;8.5;Signer Tobias (2004);;13;55.5;5;8.75;-1;0.25;8.5
-;12;17.0;Bürge Gian (2005);;19;54.0;12;17.0;0;0.0;8.75
+;15;25.75;Malnati Silas (2006);;30;34.5;14;26.0;-1;0.25;10.0
o;16;35.75;Fritz Andreas;;18;54.25;16;35.75;0;0.0;8.5
o;20;44.25;Brügger Stefan;*;15;55.0;17;45.0;-3;0.75;8.5

25a;Koch Sämi (2006);;;;;;;;;;52.5
+;;;Feller Andrin (2006);;;;;;;;10.0
o;2;10.0;Lacher Tobias (2005);;14;55.25;3;9.75;1;-0.25;8.5
o;7;18.5;Kobler Janosch;*;12;55.75;7;18.5;0;0.0;8.5
o;11;27.0;Steiner Lukas;;16;54.75;10;27.25;-1;0.25;8.5
o;17;35.5;Gähwiler Joshua (2004);;19;54.0;17;35.5;0;0.0;8.5
o;21;44.0;Scherrer Willi;;18;54.25;20;44.25;-1;0.25;8.5

25b;Zumstein Silvan;;;;;;;;;;52.5
o;;;Bischof Loris (2006);;;;;;;;8.5
+;6;8.5;Nadig Florian (2006);;32;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Rüger Damian;;18;54.25;7;18.5;0;0.0;8.5
o;11;27.0;Krucker Silvan;;21;53.5;12;26.75;1;-0.25;8.5
o;17;35.5;Bürge Gian (2005);;19;54.0;17;35.5;0;0.0;8.5
o;21;44.0;Stolz Jonas (2006);;19;54.0;20;44.25;-1;0.25;8.5

25c;Signer Sandro (2006);;;;;;;;;;52.5
+;;;Meier Adrian;;;;;;;;10.0
o;2;10.0;Bischof Martin;;17;54.5;3;9.75;1;-0.25;8.5
o;7;18.5;Lenherr Cédric;*;6;57.25;7;18.5;0;0.0;8.5
o;11;27.0;Roth Michael;;14;55.25;11;27.0;0;0.0;8.5
o;17;35.5;Brand Andreas;;20;53.75;17;35.5;0;0.0;8.5
o;21;44.0;Stauffacher Martin;;18;54.25;20;44.25;-1;0.25;8.5

25d;Aepli Dean (2005);;;;;;;;;;52.5
+;;;Haltinner Laurin (2006);;;;;;;;10.0
o;2;10.0;Wagner Andreas;;16;54.75;5;8.75;3;-1.25;8.5
o;7;18.5;Brülisauer Dominik;;13;55.5;7;18.5;0;0.0;8.5
o;11;27.0;Hochholdinger Roman;**;8;56.75;11;27.0;0;0.0;8.5
o;17;35.5;Albrecht Quirin (2006);;16;54.75;13;36.5;-4;1.0;8.5
o;21;44.0;Spirig Jann (2004);;19;54.0;20;44.25;-1;0.25;8.5

25e;Mösli Timo (2006);;;;;;;;;;52.5
o;;;Bleiker Toni (2006);;;;;;;;8.5
o;6;8.5;Zumbach Michael;;14;55.25;5;8.75;-1;0.25;8.5
+;12;17.0;Dähler Luca (2006);;32;34.0;12;17.0;0;0.0;10.0
o;11;27.0;Oettli Reto (2005);;18;54.25;12;26.75;1;-0.25;8.5
o;17;35.5;Keller Cedric;;19;54.0;17;35.5;0;0.0;8.5
o;21;44.0;Hobi Ignaz;*;17;54.5;19;44.5;-2;0.5;8.5

25f;Bleiker Toni (2006);;;;;;;;;;52.5
+;;;Mösli Timo (2006);;;;;;;;9.75
-;3;9.75;Spirig Jann (2004);;19;54.0;3;9.75;0;0.0;8.75
o;7;18.5;Fuster Sepp;*;12;55.75;7;18.5;0;0.0;8.5
o;11;27.0;Wildhaber Jannik;;16;54.75;10;27.25;-1;0.25;8.5
o;17;35.5;Weder Yanick;;19;54.0;16;35.75;-1;0.25;8.5
o;21;44.0;Manser Adrian;;20;53.75;21;44.0;0;0.0;8.5

26a;Zollinger Silvan (2004);;;;;;;;;;35.75
