5697-2022-07-10_Rigi_Schwinget-ST

1a;Wicki Joel;***;;;;;;;;;58.5
-;1;10.0;Zurfluh Roman;**;25;34.75;3;8.75;2;-1.25;8.75
o;4;18.75;Lustenberger Marc;**;12;54.75;6;18.25;2;-0.5;8.5
o;8;27.25;Wandeler Roman;**;7;56.0;8;27.25;0;0.0;8.5
+;12;35.75;Scherer Niklaus;**;19;52.75;12;35.75;0;0.0;9.75
o;13;45.5;Felder Martin;**;9;55.5;13;45.5;0;0.0;8.5

15f;Lemmenmeier Lukas;*;;;;;;;;;54.0
o;;;Lehmann Philipp;**;;;;;;;8.5
-;4;8.5;Gottofrey Marc;**;25;34.75;3;8.75;-1;0.25;8.75
+;8;17.25;Schiesser Patrik;*;28;34.0;9;17.0;1;-0.25;9.75
+;9;27.0;Heinzer Lukas (2004);*;14;54.25;8;27.25;-1;0.25;10.0
o;8;37.0;Schneider Mario;**;6;56.5;6;37.75;-2;0.75;8.5
o;13;45.5;Murer Andy;**;10;55.25;13;45.5;0;0.0;8.5

15g;Baeriswyl Christoph;**;;;;;;;;;54.0
+;;;Durrer Nando;**;;;;;;;9.75
-;2;9.75;Müllestein Mike;***;33;17.25;4;8.5;2;-1.25;8.75
o;5;18.5;Hegner Ueli;*;10;55.25;5;18.5;0;0.0;8.5
o;9;27.0;Müller Luca (2004);*;16;53.75;10;26.75;1;-0.25;8.5
o;13;35.5;Wiget Ueli;*;15;54.0;13;35.5;0;0.0;8.5
+;18;44.0;Jund Matthias;*;19;52.75;17;44.25;-1;0.25;10.0

15h;Wiget Ueli;*;;;;;;;;;54.0
o;;;Thierstein Marco;*;;;;;;;8.5
+;4;8.5;Schiesser Patrik;*;28;34.0;4;8.5;0;0.0;9.75
o;6;18.25;Räbsamen Marcel;**;5;56.75;5;18.5;-1;0.25;8.5
o;10;26.75;Kaufmann Reto;**;9;55.5;9;27.0;-1;0.25;8.75
+;13;35.5;Baeriswyl Christoph;**;15;54.0;13;35.5;0;0.0;10.0
o;13;45.5;Bernhard Lukas;**;10;55.25;13;45.5;0;0.0;8.5

16a;Müller Luca (2004);*;;;;;;;;;53.75
o;;;Riedo Fredy;*;;;;;;;8.5
+;4;8.5;Ammann Rico;*;28;34.0;4;8.5;0;0.0;9.75
o;6;18.25;Borcard Johann;**;9;55.5;5;18.5;-1;0.25;8.5
+;10;26.75;Baeriswyl Christoph;**;15;54.0;9;27.0;-1;0.25;10.0
o;9;36.75;Burkhalter Stefan;***;12;54.75;10;36.25;1;-0.5;8.5
o;14;45.25;Röthlin Pascal;*;10;55.25;14;45.25;0;0.0;8.5

16b;Herger Fabian;*;;;;;;;;;53.75
o;;;Balimann Sandro;*;;;;;;;8.5
o;4;8.5;Hofer Sven;**;21;45.75;4;8.5;0;0.0;8.5
-;9;17.0;Dousse Michel;**;26;34.5;8;17.25;-1;0.25;8.75
+;13;25.75;Fankhauser Hans;*;27;34.25;13;25.75;0;0.0;9.75
o;13;35.5;Heinzer Lukas (2004);*;14;54.25;12;35.75;-1;0.25;8.5
+;18;44.0;Gottofrey Luc;*;19;52.75;17;44.25;-1;0.25;9.75

17a;Hürlimann Mathias;*;;;;;;;;;53.5
-;;;Schuler Daniel;*;;;;;;;8.75
o;3;8.75;Arnold Stefan;**;29;28.0;4;8.5;1;-0.25;8.5
-;8;17.25;Schnurrenberger Roman;**;25;34.75;8;17.25;0;0.0;8.75
+;12;26.0;Ammann Rico;*;28;34.0;14;25.5;2;-0.5;10.0
-;11;36.0;Lehmann Philipp;**;17;53.5;11;36.0;0;0.0;9.0
o;15;45.0;Hegner Ueli;*;10;55.25;14;45.25;-1;0.25;8.5

17b;Lehmann Philipp;**;;;;;;;;;53.5
+;;;Lemmenmeier Lukas;*;;;;;;;10.0
o;1;10.0;Wicki Joel;***;1;58.5;3;8.75;2;-1.25;8.5
o;5;18.5;Kessler Joel;*;7;56.0;4;18.75;-1;0.25;8.5
-;9;27.0;Heinzer Ronny;*;13;54.5;9;27.0;0;0.0;9.0
-;11;36.0;Hürlimann Mathias;*;17;53.5;11;36.0;0;0.0;9.0
o;15;45.0;Suppiger Werner;**;12;54.75;15;45.0;0;0.0;8.5

18a;Schuler Daniel;*;;;;;;;;;53.0
-;;;Hürlimann Mathias;*;;;;;;;8.75
-;3;8.75;Fankhauser Hans;*;27;34.25;4;8.5;1;-0.25;8.75
-;7;17.5;Grossenbacher Simon;*;15;54.0;5;18.5;-2;1.0;8.75
+;11;26.25;Blaser Christian;**;27;34.25;13;25.75;2;-0.5;9.75
o;11;36.0;Oettli Marco;**;10;55.25;9;36.75;-2;0.75;8.5
o;16;44.5;Durrer Nando;**;11;55.0;14;45.25;-2;0.75;8.5

18b;Wetter Silvan;*;;;;;;;;;53.0
o;;;Jund Matthias;*;;;;;;;8.5
+;4;8.5;Röthlin Pascal;*;10;55.25;4;8.5;0;0.0;9.75
o;6;18.25;Schuler Alex;*;15;54.0;5;18.5;-1;0.25;8.75
-;9;27.0;Suppiger Werner;**;12;54.75;7;27.5;-2;0.5;8.75
o;12;35.75;Durrer Nando;**;11;55.0;13;35.5;1;-0.25;8.5
-;17;44.25;Waser Reto;*;19;52.75;18;44.0;1;-0.25;8.75

19a;Jund Matthias;*;;;;;;;;;52.75
+;;;Wetter Silvan;*;;;;;;;9.75
o;2;9.75;Kolb This;**;11;55.0;3;8.75;1;-1.0;8.5
o;6;18.25;Arnold Stefan;**;29;28.0;6;18.25;0;0.0;8.75
o;9;27.0;Reichmuth Roland;*;10;55.25;10;26.75;1;-0.25;8.5
-;13;35.5;Betschart Patrick;*;13;54.5;12;35.75;-1;0.25;8.75
o;17;44.25;Baeriswyl Christoph;**;15;54.0;18;44.0;1;-0.25;8.5

19b;Scherer Niklaus;**;;;;;;;;;52.75
-;;;Colò Kilian;**;;;;;;;8.75
o;3;8.75;Collaud Romain;**;3;57.25;3;8.75;0;0.0;8.5
o;8;17.25;Odermatt Andreas;**;15;54.0;8;17.25;0;0.0;8.5
+;13;25.75;Schiesser Patrik;*;28;34.0;14;25.5;1;-0.25;10.0
o;12;35.75;Riedo Fredy;*;15;54.0;12;35.75;0;0.0;8.5
o;17;44.25;Grossenbacher Simon;*;15;54.0;17;44.25;0;0.0;8.5

19c;Gottofrey Luc;*;;;;;;;;;52.75
-;;;Lustenberger Josef;*;;;;;;;8.75
o;3;8.75;Reichmuth Roland;*;10;55.25;4;8.5;1;-0.25;8.5
o;8;17.25;Suppiger Werner;**;12;54.75;7;17.5;-1;0.25;8.5
+;13;25.75;Würsch Lars;*;28;34.0;14;25.5;1;-0.25;10.0
o;12;35.75;Heinzer Ronny;*;13;54.5;11;36.0;-1;0.25;8.5
o;17;44.25;Herger Fabian;*;16;53.75;18;44.0;1;-0.25;8.5

19d;Waser Reto;*;;;;;;;;;52.75
o;;;Scherrer Fabian;*;;;;;;;8.5
o;4;8.5;Grossenbacher Simon;*;15;54.0;4;8.5;0;0.0;8.5
o;9;17.0;Droxler Jonathan;**;14;54.25;9;17.0;0;0.0;8.5
+;14;25.5;Emonet Frédéric;**;27;34.25;13;25.75;-1;0.25;10.0
o;13;35.5;Rotach Lars;*;9;55.5;12;35.75;-1;0.25;8.5
-;18;44.0;Wetter Silvan;*;18;53.0;17;44.25;-1;0.25;8.75

20a;Kramer Dorian;**;;;;;;;;;52.5
o;;;Suter Pirmin;**;;;;;;;8.5
+;4;8.5;Würsch Lars;*;28;34.0;4;8.5;0;0.0;9.75
o;6;18.25;Ettlin Stefan;**;11;55.0;6;18.25;0;0.0;8.5
-;10;26.75;Durrer Nando;**;11;55.0;10;26.75;0;0.0;8.75
o;13;35.5;Röthlin Pascal;*;10;55.25;13;35.5;0;0.0;8.5
o;18;44.0;Betschart Patrick;*;13;54.5;16;44.5;-2;0.5;8.5

21a;Hofer Sven;**;;;;;;;;;45.75
o;;;Kurmann Toni;**;;;;;;;8.5
+;4;8.5;Herger Fabian;*;16;53.75;4;8.5;0;0.0;10.0
o;5;18.5;Schurtenberger Sven;***;4;57.0;7;17.5;2;-1.0;8.5
+;9;27.0;Röthlin Pascal;*;10;55.25;9;27.0;0;0.0;10.0
-;8;37.0;Kenel Franz-Toni;*;13;54.5;8;37.0;0;0.0;8.75

22a;Wey Nicola;**;;;;;;;;;37.25
+;;;Bucher Thomas;**;;;;;;;10.0
-;1;10.0;Heinzer Lukas (2004);*;14;54.25;1;10.0;0;0.0;8.75
+;4;18.75;Suter Pirmin;**;30;27.0;5;18.5;1;-0.25;10.0
o;3;28.75;Bieri Marcel;***;3;57.25;8;27.25;5;-1.5;8.5

23a;Colò Kilian;**;;;;;;;;;35.5
-;;;Scherer Niklaus;**;;;;;;;8.75
o;3;8.75;Lustenberger Marc;**;12;54.75;4;8.5;1;-0.25;8.5
+;8;17.25;Würsch Lars;*;28;34.0;9;17.0;1;-0.25;9.75
o;9;27.0;Gwerder Dario;**;8;55.75;8;27.25;-1;0.25;8.5

24a;Elsener Marcel;*;;;;;;;;;35.25
+;;;Schiesser Patrik;*;;;;;;;9.75
o;2;9.75;Duplan Steve;***;8;55.75;3;8.75;1;-1.0;8.5
o;6;18.25;Ackermann Remo;*;8;55.75;6;18.25;0;0.0;8.5
o;10;26.75;Oettli Marco;**;10;55.25;9;27.0;-1;0.25;8.5

24b;Wyss Christian;*;;;;;;;;;35.25
+;;;Röthlin Pascal;*;;;;;;;9.75
o;2;9.75;Borcard Johann;**;9;55.5;3;8.75;1;-1.0;8.5
o;6;18.25;Kenel Franz-Toni;*;13;54.5;6;18.25;0;0.0;8.5
o;10;26.75;Burch Jonas;**;4;57.0;8;27.25;-2;0.5;8.5

25a;Schnurrenberger Roman;**;;;;;;;;;34.75
o;;;Arnold Raphael;**;;;;;;;8.5
o;4;8.5;Wandeler Roman;**;7;56.0;3;8.75;-1;0.25;8.75
-;8;17.25;Hürlimann Mathias;*;17;53.5;8;17.25;0;0.0;8.75
-;12;26.0;Zurfluh Roman;**;25;34.75;12;26.0;0;0.0;8.75

25b;Gottofrey Marc;**;;;;;;;;;34.75
-;;;Murer Andy;**;;;;;;;8.75
-;3;8.75;Lemmenmeier Lukas;*;15;54.0;4;8.5;1;-0.25;8.75
-;7;17.5;Lustenberger Josef;*;26;34.5;8;17.25;1;-0.25;8.75
o;11;26.25;Schöpfer Ronny;**;13;54.5;9;27.0;-2;0.75;8.5

25c;Zurfluh Roman;**;;;;;;;;;34.75
-;;;Borcard Johann;**;;;;;;;8.75
-;3;8.75;Riedo Fredy;*;15;54.0;1;10.0;-2;1.25;8.75
o;7;17.5;Oettli Marco;**;10;55.25;8;17.25;1;-0.25;8.5
-;12;26.0;Schnurrenberger Roman;**;25;34.75;12;26.0;0;0.0;8.75

26a;Dousse Michel;**;;;;;;;;;34.5
-;;;Odermatt Andreas;**;;;;;;;8.75
o;3;8.75;Burch Jonas;**;4;57.0;4;8.5;1;-0.25;8.5
-;8;17.25;Herger Fabian;*;16;53.75;9;17.0;1;-0.25;8.75
o;12;26.0;Murer Andy;**;10;55.25;9;27.0;-3;1.0;8.5

26b;Lustenberger Josef;*;;;;;;;;;34.5
-;;;Gottofrey Luc;*;;;;;;;8.75
o;3;8.75;Riget Florian;**;10;55.25;4;8.5;1;-0.25;8.5
-;8;17.25;Gottofrey Marc;**;25;34.75;7;17.5;-1;0.25;8.75
o;12;26.0;Droxler Jonathan;**;14;54.25;9;27.0;-3;1.0;8.5

27a;Blaser Christian;**;;;;;;;;;34.25
o;;;Felder Martin;**;;;;;;;8.5
o;4;8.5;Betschart Patrick;*;13;54.5;3;8.75;-1;0.25;8.5
o;9;17.0;Durrer Nando;**;11;55.0;9;17.0;0;0.0;8.75
o;13;25.75;Schuler Daniel;*;18;53.0;11;26.25;-2;0.5;8.5

27b;Fankhauser Hans;*;;;;;;;;;34.25
o;;;Heinzer Lukas (2004);*;;;;;;;8.5
o;4;8.5;Heinzer Ronny;*;13;54.5;4;8.5;0;0.0;8.5
-;9;17.0;Schuler Daniel;*;18;53.0;7;17.5;-2;0.5;8.75
o;13;25.75;Herger Fabian;*;16;53.75;13;25.75;0;0.0;8.5

27c;Emonet Frédéric;**;;;;;;;;;34.25
-;;;Betschart Patrick;*;;;;;;;8.75
o;3;8.75;Bernhard Lukas;**;10;55.25;4;8.5;1;-0.25;8.5
o;8;17.25;Bucher Thomas;**;11;55.0;9;17.0;1;-0.25;8.5
o;13;25.75;Waser Reto;*;19;52.75;14;25.5;1;-0.25;8.5

28a;Würsch Lars;*;;;;;;;;;34.0
o;;;Schuler Alex;*;;;;;;;8.5
o;4;8.5;Kramer Dorian;**;20;52.5;4;8.5;0;0.0;8.5
o;9;17.0;Colò Kilian;**;23;35.5;8;17.25;-1;0.25;8.5
o;14;25.5;Gottofrey Luc;*;19;52.75;13;25.75;-1;0.25;8.5

28b;Ammann Rico;*;;;;;;;;;34.0
o;;;Hegner Ueli;*;;;;;;;8.5
o;4;8.5;Müller Luca (2004);*;16;53.75;4;8.5;0;0.0;8.5
o;9;17.0;Röthlin Pascal;*;10;55.25;9;17.0;0;0.0;8.5
o;14;25.5;Hürlimann Mathias;*;17;53.5;12;26.0;-2;0.5;8.5

28c;Schiesser Patrik;*;;;;;;;;;34.0
o;;;Elsener Marcel;*;;;;;;;8.5
o;4;8.5;Wiget Ueli;*;15;54.0;4;8.5;0;0.0;8.5
o;9;17.0;Lemmenmeier Lukas;*;15;54.0;8;17.25;-1;0.25;8.5
o;14;25.5;Scherer Niklaus;**;19;52.75;13;25.75;-1;0.25;8.5

29a;Arnold Stefan;**;;;;;;;;;28.0
o;;;Rychen Roger;***;;;;;;;8.5
+;4;8.5;Hürlimann Mathias;*;17;53.5;3;8.75;-1;0.25;9.75
+;6;18.25;Jund Matthias;*;19;52.75;6;18.25;0;0.0;9.75

30a;Suter Pirmin;**;;;;;;;;;27.0
+;;;Kramer Dorian;**;;;;;;;10.0
o;1;10.0;Schlegel Werner;**;6;56.5;3;8.75;2;-1.25;8.5
o;5;18.5;Wey Nicola;**;22;37.25;4;18.75;-1;0.25;8.5

31a;Kurmann Toni;**;;;;;;;;;26.75
+;;;Hofer Sven;**;;;;;;;9.75
o;2;9.75;Kramer Lario;***;4;57.0;1;10.0;-1;0.25;8.5
o;6;18.25;Matthey Mickaël;**;11;55.0;6;18.25;0;0.0;8.5

32a;Nötzli Reto;***;;;;;;;;;18.5
o;;;Räbsamen Marcel;**;;;;;;;8.5
+;4;8.5;Ackermann Remo;*;8;55.75;2;9.75;-2;1.25;10.0

33a;Müllestein Mike;***;;;;;;;;;17.25
o;;;Kramer Lario;***;;;;;;;8.5
-;4;8.5;Baeriswyl Christoph;**;15;54.0;2;9.75;-2;1.25;8.75

34a;Ulrich Marco;**;;;;;;;;;8.5
o;;;Burkhalter Stefan;***;;;;;;;8.5

