4449-2019-05-05_100_Zuger_Kantonales_Schwingfest-ST

1a;Reichmuth Pirmin;***;;;;;;;;;59.75
o;1;20.0;Reichmuth Marco;**;4;57.25;5;18.75;4;-1.25;8.5
o;5;28.5;Zimmermann Martin;**;6;56.75;8;27.75;3;-0.75;8.75
+;9;37.25;Zimmermann Reto;;12;55.25;10;37.0;1;-0.25;9.75
-;8;47.0;Steinauer Adrian;**;9;56.0;7;47.25;-1;0.25;8.75

10e;Betschart Rainer;**;;;;;;;;;55.75
-;;;Fankhauser Reto;**;;;;;;;8.75
+;4;8.75;Käslin Ruedi;*;20;53.25;4;8.75;0;0.0;10.0
+;5;18.75;Scherrer Fabian (2002);;12;55.25;2;19.75;-3;1.0;10.0
o;4;28.75;Wicki Joel;**;4;57.25;5;28.5;1;-0.25;8.5
+;9;37.25;Barmettler Renato (2003);;14;54.75;7;37.75;-2;0.5;10.0
o;7;47.25;Burch Jonas;*;4;57.25;7;47.25;0;0.0;8.5

10f;Weber Ivo;;;;;;;;;;55.75
o;;;Wallimann Remo;;;;;;;;8.75
+;4;8.75;Müller Dominik;;18;53.75;5;8.5;1;-0.25;10.0
o;5;18.75;Reichmuth Roland;*;9;56.0;5;18.75;0;0.0;8.75
+;9;27.5;Müller Roger;*;23;35.5;11;27.0;2;-0.5;10.0
+;8;37.5;Scherrer Fabian (2002);;12;55.25;5;38.25;-3;0.75;9.75
o;7;47.25;Elsener Marcel;*;5;57.0;7;47.25;0;0.0;8.5

10g;Kurmann Toni;*;;;;;;;;;55.75
-;;;Kenel Franz-Toni;*;;;;;;;8.75
o;4;8.75;Rohrer Marco;**;9;56.0;3;9.0;-1;0.25;8.5
+;11;17.25;Furrer Fabian;;23;35.5;6;18.5;-5;1.25;10.0
+;10;27.25;Supper Frederik;;13;55.0;8;27.75;-2;0.5;10.0
o;9;37.25;Reichmuth Roland;*;9;56.0;9;37.25;0;0.0;8.5
+;13;45.75;Suter Raphael;;15;54.5;12;46.0;-1;0.25;10.0

10h;Fellmann Roman;**;;;;;;;;;55.75
o;;;Zimmermann Simon;**;;;;;;;8.5
+;5;8.5;Amgarten Martin;*;23;35.5;5;8.5;0;0.0;10.0
+;6;18.5;Herger Andreas;;17;54.0;2;19.75;-4;1.25;10.0
-;5;28.5;Elsener Marcel;*;5;57.0;5;28.5;0;0.0;8.75
o;9;37.25;Bienz Romeo;;9;56.0;10;37.0;1;-0.25;8.5
+;13;45.75;Hurschler Adrian;;17;54.0;14;45.5;1;-0.25;10.0

10i;Villiger Cyrill;*;;;;;;;;;55.75
+;;;Schnider Markus;*;;;;;;;9.75
o;2;9.75;Gloggner Philipp;***;29;27.25;4;8.75;2;-1.0;8.5
+;7;18.25;Wallimann Remo;;9;56.0;5;18.75;-2;0.5;9.75
+;7;28.0;Wicki Kevin;;11;55.5;5;28.5;-2;0.5;9.75
-;7;37.75;Zimmermann Martin;**;6;56.75;7;37.75;0;0.0;9.0
-;9;46.75;Elsener Adrian;**;8;56.25;7;47.25;-2;0.5;9.0

10j;Baumann Lukas;;;;;;;;;;55.75
+;;;Stadler Kevin (2002);;;;;;;;9.75
+;2;9.75;Kempf David;;20;53.25;1;10.0;-1;0.25;9.75
o;3;19.5;Rohrer Marco;**;9;56.0;5;18.75;2;-0.75;8.5
o;7;28.0;Kennel Beat;*;5;57.0;9;27.5;2;-0.5;8.75
-;11;36.75;Ming Hannes;;12;55.25;11;36.75;0;0.0;9.0
+;13;45.75;Gander Sebastian (2003);;18;53.75;15;45.25;2;-0.5;10.0

10k;Bucher Thomas;;;;;;;;;;55.75
+;;;Vogel Marcel;;;;;;;;10.0
o;1;10.0;Ulrich Marco;*;11;55.5;3;9.0;2;-1.0;8.75
+;5;18.75;Gwerder Carlo;**;25;35.0;10;17.5;5;-1.25;9.75
o;5;28.5;Heiniger Marco;*;7;56.5;7;28.0;2;-0.5;8.5
-;10;37.0;Beffa Mario;;15;54.5;9;37.25;-1;0.25;8.75
+;13;45.75;Suter Bruno (2002);;16;54.25;13;45.75;0;0.0;10.0

10l;Stöckli Damian;*;;;;;;;;;55.75
-;;;Streiff Dominik;*;;;;;;;8.75
o;4;8.75;Strebel Joel;**;8;56.25;4;8.75;0;0.0;8.5
+;11;17.25;Roner Remo (2002);;17;54.0;6;18.5;-5;1.25;10.0
+;10;27.25;Klauser Nico;;17;54.0;6;28.25;-4;1.0;9.75
+;10;37.0;Moos Christoph;*;16;54.25;10;37.0;0;0.0;10.0
o;8;47.0;Linggi Bruno;**;5;57.0;7;47.25;-1;0.25;8.75

10m;Rohrer Ivan;**;;;;;;;;;55.75
o;;;Huber Alex;*;;;;;;;8.5
-;5;8.5;Döbeli Andreas;*;9;56.0;5;8.5;0;0.0;8.75
+;11;17.25;Wiget Ueli;;21;53.0;6;18.5;-5;1.25;10.0
+;10;27.25;Bürgi Tobias;;17;54.0;7;28.0;-3;0.75;10.0
+;9;37.25;Hess Michael;*;13;55.0;7;37.75;-2;0.5;10.0
o;7;47.25;Wicki Joel;**;4;57.25;6;47.5;-1;0.25;8.5

10n;Leuthard Reto;**;;;;;;;;;55.75
-;;;Nietlispach Pascal;**;;;;;;;8.75
-;4;8.75;Streiff Dominik;*;7;56.5;4;8.75;0;0.0;9.0
+;9;17.75;Schmid Pius;;16;54.25;5;18.75;-4;1.0;9.75
+;9;27.5;Zimmermann Reto;;12;55.25;6;28.25;-3;0.75;9.75
o;9;37.25;Arnold Fabian;*;5;57.0;9;37.25;0;0.0;8.75
+;12;46.0;Betschart Daniel;;15;54.5;12;46.0;0;0.0;9.75

11a;Ulrich Marco;*;;;;;;;;;55.5
-;;;Arnold Fabian;*;;;;;;;9.0
+;3;9.0;Bucher Thomas;;10;55.75;1;10.0;-2;1.0;9.75
+;5;18.75;Ming Hannes;;12;55.25;2;19.75;-3;1.0;9.75
o;5;28.5;Imhof Andi;***;2;57.75;7;28.0;2;-0.5;8.5
+;10;37.0;Felder Seppi;*;11;55.5;10;37.0;0;0.0;10.0
o;8;47.0;Bernhard Lukas;*;3;57.5;6;47.5;-2;0.5;8.5

11b;Zurfluh Michael;*;;;;;;;;;55.5
+;;;Arnold Marcel;*;;;;;;;9.75
o;2;9.75;Suppiger Werner;**;2;57.75;4;8.75;2;-1.0;8.5
+;7;18.25;Langenegger Ruedi;;12;55.25;6;18.5;-1;0.25;9.75
+;7;28.0;Meier Andreas;;18;53.75;6;28.25;-1;0.25;10.0
o;6;38.0;Durrer Fabian;*;8;56.25;8;37.5;2;-0.5;8.75
o;9;46.75;Kennel Beat;*;5;57.0;8;47.0;-1;0.25;8.75

11c;Langensand Stefan;*;;;;;;;;;55.5
-;;;Hess Michael;*;;;;;;;9.0
o;3;9.0;Nietlispach Pascal;**;16;54.25;4;8.75;1;-0.25;8.5
+;10;17.5;Suter Raphael;;15;54.5;6;18.5;-4;1.0;10.0
-;9;27.5;Grab Martin;;6;56.75;6;28.25;-3;0.75;9.0
+;12;36.5;Klauser Nico;;17;54.0;11;36.75;-1;0.25;10.0
-;10;46.5;Brun Jonas;**;12;55.25;11;46.25;1;-0.25;9.0

11d;Lustenberger Marc (2003);;;;;;;;;;55.5
+;;;Rohrer Michael;;;;;;;;9.75
o;2;9.75;Gwerder Andreas;*;16;54.25;4;8.75;2;-1.0;8.5
+;7;18.25;Schmid Pirmin;;24;35.25;7;18.25;0;0.0;10.0
-;6;28.25;Gassmann Michael;*;12;55.25;9;27.5;3;-0.75;9.0
+;9;37.25;Ulrich Pascal;;14;54.75;8;37.5;-1;0.25;9.75
o;8;47.0;Briker Michael;*;5;57.0;7;47.25;-1;0.25;8.5

11e;Vonlaufen Lukas;*;;;;;;;;;55.5
+;;;Scherer Niklaus;*;;;;;;;9.75
-;2;9.75;Reichmuth Marco;**;4;57.25;1;10.0;-1;0.25;8.75
+;6;18.5;Schuler Koni;;19;53.5;5;18.75;-1;0.25;10.0
o;5;28.5;Waser Dominik;**;6;56.75;5;28.5;0;0.0;8.5
+;10;37.0;Roner Remo (2002);;17;54.0;10;37.0;0;0.0;10.0
o;8;47.0;Kenel Franz-Toni;*;4;57.25;7;47.25;-1;0.25;8.5

11f;Ettlin Martin;;;;;;;;;;55.5
+;;;Aregger Fabian (2001);;;;;;;;10.0
o;1;10.0;Betschart Patrick;*;12;55.25;4;8.75;3;-1.25;8.5
o;6;18.5;Moos Christoph;*;16;54.25;11;17.25;5;-1.25;8.5
+;11;27.0;Meier Daniel;;20;53.25;10;27.25;-1;0.25;10.0
+;10;37.0;Meier Andreas;;18;53.75;11;36.75;1;-0.25;10.0
o;8;47.0;Gloggner Reto;**;4;57.25;7;47.25;-1;0.25;8.5

11g;Bucher Roland;*;;;;;;;;;55.5
+;;;Ming Christian;*;;;;;;;10.0
o;1;10.0;Gloggner Reto;**;4;57.25;1;10.0;0;0.0;8.5
+;6;18.5;Ulrich Pascal;;14;54.75;5;18.75;-1;0.25;9.75
o;6;28.25;Arnold Raphael;**;6;56.75;5;28.5;-1;0.25;8.75
-;10;37.0;Vogel Marcel;;15;54.5;10;37.0;0;0.0;8.75
+;13;45.75;Gasser Dominik 2;;17;54.0;14;45.5;1;-0.25;9.75

11h;Vogel Manuel;;;;;;;;;;55.5
+;;;Hotz Basil (2003);;;;;;;;10.0
+;1;10.0;Langenegger Ruedi;;12;55.25;1;10.0;0;0.0;10.0
o;1;20.0;Waser Dominik;**;6;56.75;5;18.75;4;-1.25;8.5
o;5;28.5;Betschart Remo;**;3;57.5;5;28.5;0;0.0;8.5
o;10;37.0;Grab Martin;;6;56.75;9;37.25;-1;0.25;8.5
+;14;45.5;Spichtig Aldo;;18;53.75;15;45.25;1;-0.25;10.0

11i;Wicki Kevin;;;;;;;;;;55.5
+;;;Spichtig Aldo;;;;;;;;10.0
-;1;10.0;Gassmann Michael;*;12;55.25;4;8.75;3;-1.25;8.75
+;5;18.75;Amgarten Martin;*;23;35.5;12;17.0;7;-1.75;9.75
o;5;28.5;Villiger Cyrill;*;10;55.75;7;28.0;2;-0.5;8.5
+;10;37.0;Staub Ivan;;20;53.25;14;36.0;4;-1.0;10.0
o;8;47.0;Matter Marco;;7;56.5;9;46.75;1;-0.25;8.5

11j;Felder Seppi;*;;;;;;;;;55.5
-;;;Hösli Fritz;*;;;;;;;8.75
o;4;8.75;Linggi Bruno;**;5;57.0;3;9.0;-1;0.25;8.75
+;10;17.5;Odermatt Lars (2002);;15;54.5;6;18.5;-4;1.0;9.75
+;10;27.25;Gasser Dominik 2;;17;54.0;10;27.25;0;0.0;9.75
o;10;37.0;Ulrich Marco;*;11;55.5;10;37.0;0;0.0;8.75
+;13;45.75;Andermatt Adrian;;16;54.25;13;45.75;0;0.0;9.75

11k;Döbeli Lukas;**;;;;;;;;;55.5
o;;;Rohrer Ueli;*;;;;;;;8.5
+;5;8.5;Müller Roger;*;23;35.5;5;8.5;0;0.0;10.0
+;6;18.5;Doppmann Ueli;;15;54.5;4;19.0;-2;0.5;10.0
o;5;28.5;Ulrich Andreas;***;6;56.75;6;28.25;1;-0.25;8.5
+;10;37.0;Hegner Ueli;*;12;55.25;10;37.0;0;0.0;10.0
o;8;47.0;Arnold Fabian;*;5;57.0;8;47.0;0;0.0;8.5

11l;Graber Michael;*;;;;;;;;;55.5
o;;;Reichmuth Armin;*;;;;;;;8.5
o;5;8.5;Kälin Roland;**;12;55.25;5;8.5;0;0.0;8.5
+;12;17.0;Arnold Severin;*;23;35.5;11;17.25;-1;0.25;9.75
+;12;26.75;Rohrer Michael;;23;35.5;11;27.0;-1;0.25;10.0
+;11;36.75;Herger Andreas (2003);;22;52.75;15;35.75;4;-1.0;10.0
o;9;46.75;Zimmermann Martin;**;6;56.75;9;46.75;0;0.0;8.75

11m;Wandeler Roman (2002);;;;;;;;;;55.5
+;;;Müller Dominik;;;;;;;;10.0
+;1;10.0;Durrer Lukas;;14;54.75;1;10.0;0;0.0;9.75
-;2;19.75;Klausner Yanick;**;7;56.5;5;18.75;3;-1.0;9.0
o;4;28.75;Reichmuth Armin;*;8;56.25;7;28.0;3;-0.75;8.5
o;9;37.25;Elsener Adrian;**;8;56.25;9;37.25;0;0.0;8.5
+;13;45.75;Baumann Marco;;16;54.25;13;45.75;0;0.0;9.75

12a;Schuler Alex;***;;;;;;;;;55.25
-;;;Suppiger Werner;**;;;;;;;8.75
-;4;8.75;Elsener Marcel;*;5;57.0;2;9.75;-2;1.0;8.75
+;10;17.5;Schnider Markus;*;12;55.25;6;18.5;-4;1.0;9.75
+;10;27.25;Hösli Fritz;*;19;53.5;9;27.5;-1;0.25;9.75
o;10;37.0;Fankhauser Reto;**;7;56.5;7;37.75;-3;0.75;8.5
+;14;45.5;Schmidiger Marco;*;16;54.25;13;45.75;-1;0.25;9.75

12b;Ming Hannes;;;;;;;;;;55.25
+;;;Hürlimann Adrian (2002);;;;;;;;10.0
+;1;10.0;Hotz Quirin;;24;35.25;2;9.75;1;-0.25;9.75
o;2;19.75;Ulrich Marco;*;11;55.5;5;18.75;3;-1.0;8.5
o;6;28.25;Brun Jonas;**;12;55.25;9;27.5;3;-0.75;8.5
-;11;36.75;Baumann Lukas;;10;55.75;11;36.75;0;0.0;8.75
+;14;45.5;Meier Andreas;;18;53.75;15;45.25;1;-0.25;9.75

12c;Barmettler Peter;*;;;;;;;;;55.25
o;;;Elsener Adrian;**;;;;;;;8.5
o;5;8.5;Heiniger Marco;*;7;56.5;3;9.0;-2;0.5;8.5
+;12;17.0;Kälin Michael (2002);;24;35.25;7;18.25;-5;1.25;9.75
+;12;26.75;Arnold Sebastian;;23;35.5;11;27.0;-1;0.25;10.0
+;11;36.75;Fischer Markus;;17;54.0;12;36.5;1;-0.25;10.0
o;9;46.75;Suppiger Werner;**;2;57.75;5;47.75;-4;1.0;8.5

12d;Lagler Christian;;;;;;;;;;55.25
o;;;Schmid Pius;;;;;;;;8.5
+;5;8.5;Gasser Dominik 1;;16;54.25;4;8.75;-1;0.25;9.75
+;7;18.25;Bär Leo;;23;35.5;7;18.25;0;0.0;9.75
o;7;28.0;Briker Michael;*;5;57.0;9;27.5;2;-0.5;8.75
+;11;36.75;Albert Thomas;;12;55.25;11;36.75;0;0.0;9.75
o;10;46.5;Bucher Christian;*;7;56.5;10;46.5;0;0.0;8.75

12e;Langenegger Ruedi;;;;;;;;;;55.25
+;;;Rust Silvio (2001);;;;;;;;10.0
o;1;10.0;Vogel Manuel;;11;55.5;1;10.0;0;0.0;8.5
o;6;18.5;Zurfluh Michael;*;11;55.5;7;18.25;1;-0.25;8.5
+;11;27.0;Kälin Michael (2002);;24;35.25;12;26.75;1;-0.25;9.75
+;11;36.75;Odermatt Lars (2002);;15;54.5;14;36.0;3;-0.75;10.0
o;9;46.75;Arnold Raphael;**;6;56.75;8;47.0;-1;0.25;8.5

12f;Hegner Ueli;*;;;;;;;;;55.25
o;;;Durrer Fabian;*;;;;;;;8.5
o;5;8.5;Van Messel Noe (2002);;6;56.75;2;9.75;-3;1.25;8.5
+;12;17.0;Hotz Quirin;;24;35.25;7;18.25;-5;1.25;10.0
+;11;27.0;Britschgi Marcel (2003);;24;35.25;12;26.75;1;-0.25;10.0
o;10;37.0;Döbeli Lukas;**;11;55.5;10;37.0;0;0.0;8.5
+;14;45.5;Zimmermann Raffael;;16;54.25;13;45.75;-1;0.25;9.75

12g;Scherer Niklaus;*;;;;;;;;;55.25
o;;;Vonlaufen Lukas;*;;;;;;;8.5
o;5;8.5;Reichmuth Roland;*;9;56.0;4;8.75;-1;0.25;8.5
+;12;17.0;Spichtig Aldo;;18;53.75;6;18.5;-6;1.5;10.0
+;11;27.0;Staub Ivan;;20;53.25;9;27.5;-2;0.5;9.75
o;11;36.75;Arnold Marcel;*;13;55.0;11;36.75;0;0.0;8.5
+;15;45.25;Hürlimann Ueli (2001);;17;54.0;14;45.5;-1;0.25;10.0

12h;Scherrer Fabian (2002);;;;;;;;;;55.25
+;;;Suter Raphael;;;;;;;;10.0
+;1;10.0;Hösli Fritz;*;19;53.5;4;8.75;3;-1.25;9.75
o;2;19.75;Betschart Rainer;**;10;55.75;5;18.75;3;-1.0;8.5
+;6;28.25;Waser Reto;*;15;54.5;10;27.25;4;-1.0;10.0
o;5;38.25;Weber Ivo;;10;55.75;8;37.5;3;-0.75;8.5
o;9;46.75;Van Messel Noe (2002);;6;56.75;9;46.75;0;0.0;8.5

12i;Schnider Markus;*;;;;;;;;;55.25
o;;;Villiger Cyrill;*;;;;;;;8.5
+;5;8.5;Matter Marco;;7;56.5;1;10.0;-4;1.5;10.0
o;6;18.5;Schuler Alex;***;12;55.25;10;17.5;4;-1.0;8.5
+;11;27.0;Andermatt Adrian;;16;54.25;10;27.25;-1;0.25;9.75
+;11;36.75;Gabriel Simon (2002);;18;53.75;12;36.5;1;-0.25;10.0
o;9;46.75;Betschart Remo;**;3;57.5;6;47.5;-3;0.75;8.5

12j;Brun Jonas;**;;;;;;;;;55.25
-;;;Wyrsch Marco;**;;;;;;;8.75
-;4;8.75;Arnold Fabian;*;5;57.0;4;8.75;0;0.0;8.75
+;10;17.5;Mehr Lars (2002);;20;53.25;6;18.5;-4;1.0;10.0
+;9;27.5;Ming Hannes;;12;55.25;6;28.25;-3;0.75;10.0
-;8;37.5;Rohrer Marco;**;9;56.0;8;37.5;0;0.0;8.75
-;11;46.25;Langensand Stefan;*;11;55.5;10;46.5;-1;0.25;9.0

12k;Jund Matthias;;;;;;;;;;55.25
+;;;Klauser Nico;;;;;;;;9.75
+;2;9.75;Gander Benjamin;;23;35.5;1;10.0;-1;0.25;10.0
o;2;19.75;Wyrsch Marco;**;8;56.25;6;18.5;4;-1.25;8.5
o;6;28.25;Gasser Stefan;**;9;56.0;8;27.75;2;-0.5;8.75
o;10;37.0;Kenel Franz-Toni;*;4;57.25;8;37.5;-2;0.5;8.5
+;14;45.5;Stadler Kevin (2002);;16;54.25;13;45.75;-1;0.25;9.75

12l;Betschart Patrick;*;;;;;;;;;55.25
-;;;Käslin Ruedi;*;;;;;;;8.75
+;4;8.75;Ettlin Martin;;11;55.5;1;10.0;-3;1.25;9.75
+;6;18.5;Herger Marco (2002);;20;53.25;5;18.75;-1;0.25;9.75
o;6;28.25;Mathis Marcel;***;8;56.25;9;27.5;3;-0.75;8.75
+;10;37.0;Herger Andreas;;17;54.0;10;37.0;0;0.0;9.75
o;9;46.75;Müller Michael;**;4;57.25;7;47.25;-2;0.5;8.5

12m;Kälin Roland;**;;;;;;;;;55.25
o;;;Reichmuth Marco;**;;;;;;;8.5
+;5;8.5;Graber Michael;*;11;55.5;5;8.5;0;0.0;10.0
+;6;18.5;Albert Thomas;;12;55.25;2;19.75;-4;1.25;9.75
-;6;28.25;Wyrsch Marco;**;8;56.25;5;28.5;-1;0.25;8.75
+;10;37.0;Baumann Marco;;16;54.25;9;37.25;-1;0.25;9.75
o;9;46.75;Waser Dominik;**;6;56.75;8;47.0;-1;0.25;8.5

12n;Zimmermann Simon;**;;;;;;;;;55.25
+;;;Fellmann Roman;**;;;;;;;10.0
o;1;10.0;Reichmuth Pirmin;***;1;59.75;1;10.0;0;0.0;8.5
o;6;18.5;Beffa Mario;;15;54.5;5;18.75;-1;0.25;8.5
+;11;27.0;Arnold Robin (2003);;20;53.25;8;27.75;-3;0.75;9.75
+;11;36.75;Betschart Marcel;*;13;55.0;12;36.5;1;-0.25;10.0
o;9;46.75;Reichmuth Marco;**;4;57.25;7;47.25;-2;0.5;8.5

12o;Gassmann Michael;*;;;;;;;;;55.25
-;;;Kennel Beat;*;;;;;;;8.75
-;4;8.75;Wicki Kevin;;11;55.5;1;10.0;-3;1.25;8.75
+;10;17.5;Gisler Silvan (2002);;22;52.75;6;18.5;-4;1.0;10.0
-;9;27.5;Lustenberger Marc (2003);;11;55.5;6;28.25;-3;0.75;9.0
-;12;36.5;Waser Reto;*;15;54.5;15;35.75;3;-0.75;8.75
+;15;45.25;Herger Marco (2002);;20;53.25;17;44.75;2;-0.5;10.0

12p;Zimmermann Reto;;;;;;;;;;55.25
o;;;Gander Benjamin;;;;;;;;8.5
+;5;8.5;Arnold Sebastian;;23;35.5;5;8.5;0;0.0;9.75
+;7;18.25;Ulrich Damian;;18;53.75;7;18.25;0;0.0;10.0
o;6;28.25;Leuthard Reto;**;10;55.75;9;27.5;3;-0.75;8.75
o;10;37.0;Wicki Patrick;;10;55.75;9;37.25;-1;0.25;8.5
+;14;45.5;Roner Remo (2002);;17;54.0;14;45.5;0;0.0;9.75

12q;Albert Thomas;;;;;;;;;;55.25
+;;;Langenegger Gerhard;;;;;;;;9.75
+;2;9.75;Schmid Pirmin;;24;35.25;2;9.75;0;0.0;10.0
o;2;19.75;Kälin Roland;**;12;55.25;6;18.5;4;-1.25;8.5
o;6;28.25;Heinzer Ronny;*;9;56.0;9;27.5;3;-0.75;8.5
o;11;36.75;Lagler Christian;;12;55.25;11;36.75;0;0.0;8.5
+;15;45.25;Herger Andreas;;17;54.0;14;45.5;-1;0.25;10.0

13a;Thierstein Marco;*;;;;;;;;;55.0
-;;;Betschart Silvan;*;;;;;;;9.0
o;3;9.0;Bernhard Lukas;*;3;57.5;4;8.75;1;-0.25;8.75
+;9;17.75;Baumann Marco;;16;54.25;6;18.5;-3;0.75;9.75
+;9;27.5;Imholz Elias;;17;54.0;7;28.0;-2;0.5;10.0
o;8;37.5;Briker Michael;*;5;57.0;8;37.5;0;0.0;8.75
o;11;46.25;Durrer Markus;;8;56.25;10;46.5;-1;0.25;8.75

13b;Gander Michael;;;;;;;;;;55.0
+;;;Steiner Severin (2001);;;;;;;;9.75
+;2;9.75;Schuler Koni;;19;53.5;1;10.0;-1;0.25;9.75
o;3;19.5;Suppiger Werner;**;2;57.75;5;18.75;2;-0.75;8.5
o;7;28.0;Nietlispach Pascal;**;16;54.25;10;27.25;3;-0.75;8.5
o;12;36.5;Schärli Reto;;9;56.0;14;36.0;2;-0.5;8.5
+;16;45.0;von Rickenbach Pirmin (2002);;22;52.75;19;44.25;3;-0.75;10.0

13c;Betschart Marcel;*;;;;;;;;;55.0
o;;;Waser Reto;*;;;;;;;8.5
o;5;8.5;Grab Martin;;6;56.75;1;10.0;-4;1.5;8.5
+;12;17.0;Durrer Markus;;8;56.25;7;18.25;-5;1.25;9.75
+;12;26.75;Vogler Jonas;;23;35.5;11;27.0;-1;0.25;9.75
o;12;36.5;Zimmermann Simon;**;12;55.25;11;36.75;-1;0.25;8.75
+;15;45.25;Gasser Dominik 1;;16;54.25;13;45.75;-2;0.5;9.75

13d;Bucher André (2001);;;;;;;;;;55.0
+;;;Wiget Ueli;;;;;;;;9.75
+;2;9.75;Kaiser Sandro;;21;53.0;2;9.75;0;0.0;9.75
o;3;19.5;Burch Jonas;*;4;57.25;5;18.75;2;-0.75;8.5
o;7;28.0;Arnold Fabian;*;5;57.0;9;27.5;2;-0.5;8.75
+;11;36.75;Imholz Elias;;17;54.0;12;36.5;1;-0.25;9.75
o;10;46.5;Streiff Dominik;*;7;56.5;10;46.5;0;0.0;8.5

13e;Hess Michael;*;;;;;;;;;55.0
-;;;Langensand Stefan;*;;;;;;;9.0
o;3;9.0;Müller Michael;**;4;57.25;3;9.0;0;0.0;8.75
+;9;17.75;Vogel Marcel;;15;54.5;6;18.5;-3;0.75;10.0
+;8;27.75;Hurschler Adrian;;17;54.0;6;28.25;-2;0.5;10.0
o;7;37.75;Rohrer Ivan;**;10;55.75;9;37.25;2;-0.5;8.75
o;10;46.5;Reichmuth Armin;*;8;56.25;10;46.5;0;0.0;8.5

13f;Supper Frederik;;;;;;;;;;55.0
-;;;Beffa Mario;;;;;;;;9.0
-;3;9.0;Doppmann Ueli;;15;54.5;1;10.0;-2;1.0;8.75
+;9;17.75;Fischer Markus;;17;54.0;7;18.25;-2;0.5;10.0
o;8;27.75;Kurmann Toni;*;10;55.75;10;27.25;2;-0.5;8.5
-;13;36.25;Käslin Ruedi;*;20;53.25;15;35.75;2;-0.5;8.75
+;16;45.0;Ulrich Damian;;18;53.75;15;45.25;-1;0.25;10.0

13g;Arnold Marcel;*;;;;;;;;;55.0
o;;;Zurfluh Michael;*;;;;;;;8.5
+;5;8.5;Suter Beat;;30;27.0;2;9.75;-3;1.25;9.75
-;7;18.25;Stadler Kevin (2002);;16;54.25;6;18.5;-1;0.25;8.75
+;11;27.0;Doppmann Ueli;;15;54.5;9;27.5;-2;0.5;9.75
+;11;36.75;Scherer Niklaus;*;12;55.25;11;36.75;0;0.0;9.75
o;10;46.5;Mathis Marcel;***;8;56.25;11;46.25;1;-0.25;8.5

13h;Blattmann Philipp;;;;;;;;;;55.0
+;;;Gisler Silvan (2002);;;;;;;;10.0
+;1;10.0;von Rickenbach Pirmin (2002);;22;52.75;2;9.75;1;-0.25;9.75
o;2;19.75;Arnold Raphael;**;6;56.75;6;18.5;4;-1.25;8.5
o;6;28.25;Rohrer Ueli;*;6;56.75;6;28.25;0;0.0;8.5
+;11;36.75;Schuler Koni;;19;53.5;14;36.0;3;-0.75;9.75
o;10;46.5;Heinzer Ronny;*;9;56.0;12;46.0;2;-0.5;8.5

13i;Lüthy Ralph;;;;;;;;;;55.0
o;;;Bär Leo;;;;;;;;8.5
+;5;8.5;Suter Michael (2002);;23;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Gasser Stefan;**;9;56.0;9;17.75;3;-0.75;8.5
+;11;27.0;Banz Matthias (2001);;23;35.5;11;27.0;0;0.0;9.75
+;11;36.75;Doppmann Ueli;;15;54.5;14;36.0;3;-0.75;9.75
o;10;46.5;Strebel Joel;**;8;56.25;11;46.25;1;-0.25;8.5

13j;Fellmann Simon;;;;;;;;;;55.0
+;;;Inderbitzin Urs;;;;;;;;10.0
+;1;10.0;Suter Bruno (2002);;16;54.25;1;10.0;0;0.0;9.75
o;2;19.75;Elsener Adrian;**;8;56.25;5;18.75;3;-1.0;8.5
o;6;28.25;Van Messel Noe (2002);;6;56.75;6;28.25;0;0.0;8.5
+;11;36.75;Kaiser Sandro;;21;53.0;15;35.75;4;-1.0;9.75
o;10;46.5;Rohrer Marco;**;9;56.0;11;46.25;1;-0.25;8.5

13k;Steiner Severin (2001);;;;;;;;;;55.0
o;;;Gander Michael;;;;;;;;8.75
+;4;8.75;Staub Ivan;;20;53.25;3;9.0;-1;0.25;10.0
-;5;18.75;Käslin Ruedi;*;20;53.25;11;17.25;6;-1.5;8.75
+;9;27.5;Schuler Samuel (2003);;21;53.0;10;27.25;1;-0.25;10.0
-;8;37.5;Wyrsch Marco;**;8;56.25;9;37.25;1;-0.25;9.0
o;10;46.5;Klausner Yanick;**;7;56.5;10;46.5;0;0.0;8.5

14a;Durrer Lukas;;;;;;;;;;54.75
+;;;Roner Remo (2002);;;;;;;;10.0
o;1;10.0;Wandeler Roman (2002);;11;55.5;1;10.0;0;0.0;8.5
o;6;18.5;Bucher Christian;*;7;56.5;7;18.25;1;-0.25;8.5
-;11;27.0;Wiget Ueli;;21;53.0;11;27.0;0;0.0;9.0
-;14;36.0;Wyss Christian;;18;53.75;14;36.0;0;0.0;9.0
+;16;45.0;Kempf Fabian (2002);;19;53.5;16;45.0;0;0.0;9.75

14b;Barmettler Renato (2003);;;;;;;;;;54.75
o;;;Föhn Christian (2002);;;;;;;;8.5
+;5;8.5;Bernet Raffael;;32;17.0;5;8.5;0;0.0;9.75
+;7;18.25;Suter Lukas (2002);;26;34.75;9;17.75;2;-0.5;9.75
+;7;28.0;Schmidiger Marco;*;16;54.25;9;27.5;2;-0.5;9.75
o;7;37.75;Betschart Rainer;**;10;55.75;9;37.25;2;-0.5;8.5
o;11;46.25;Wyrsch Marco;**;8;56.25;11;46.25;0;0.0;8.5

