4187-2018-07-29_Bruenig-Schwinget-ST

1a;Fankhauser Reto;**;;;;;;;;;92.0
o;6;28.5;Steffen Valentin;*;12;55.25;6;28.5;0;0.0;8.5
-;9;37.0;Müller Michael;**;16;54.25;12;36.25;3;-0.75;9.0
o;11;46.0;Röthlisberger Simon;**;10;55.75;11;46.0;0;0.0;8.5

15i;Döbeli Andreas;*;;;;;;;;;54.5
-;;;Leuenberger Michael;*;;;;;;;8.75
+;5;8.75;Berger Lorenz;*;30;34.0;6;8.5;1;-0.25;10.0
-;6;18.75;Schuler Alex;***;14;54.75;11;17.25;5;-1.5;8.75
-;10;27.5;Inniger Thomas;**;20;53.25;11;27.25;1;-0.25;8.75
+;12;36.25;Gehrig Philipp;**;16;54.25;9;37.0;-3;0.75;9.75
o;11;46.0;Gobeli Patrick;**;9;56.0;11;46.0;0;0.0;8.5

15j;Steffen Konrad;*;;;;;;;;;54.5
+;;;Hermann Oliver;*;;;;;;;10.0
o;2;10.0;Mathis Marcel;***;8;56.25;6;8.5;4;-1.5;8.5
-;7;18.5;Odermatt Andreas;*;20;53.25;8;18.25;1;-0.25;8.75
+;11;27.25;Rohrer Ivan;**;20;53.25;11;27.25;0;0.0;9.75
o;9;37.0;Odermatt Christian;**;13;55.0;10;36.75;1;-0.25;8.5
-;13;45.5;Bernhard Lukas;*;16;54.25;14;45.25;1;-0.25;9.0

15k;Schenk Patrick;***;;;;;;;;;54.5
+;;;Fankhauser Marco;**;;;;;;;9.75
-;3;9.75;Rohrer Ivan;**;20;53.25;3;9.75;0;0.0;9.0
o;6;18.75;Wicki Joel;**;4;57.25;6;18.75;0;0.0;8.5
-;11;27.25;Murer Andy;**;15;54.5;11;27.25;0;0.0;8.75
+;13;36.0;Muff André;*;17;54.0;9;37.0;-4;1.0;10.0
o;11;46.0;Suppiger Werner;**;10;55.75;11;46.0;0;0.0;8.5

16a;Bernhard Lukas;*;;;;;;;;;54.25
o;;;Schenkel Remo;*;;;;;;;8.75
o;5;8.75;Brand Christian;**;15;54.5;5;8.75;0;0.0;8.5
+;11;17.25;Mangold Michael;**;24;35.5;8;18.25;-3;1.0;10.0
-;11;27.25;Schmid David;***;18;53.75;11;27.25;0;0.0;9.0
-;12;36.25;Staudenmann Fabian (2000);**;11;55.5;7;37.5;-5;1.25;9.0
-;14;45.25;Steffen Konrad;*;15;54.5;13;45.5;-1;0.25;9.0

16b;Bernet Christoph;*;;;;;;;;;54.25
-;;;Wittwer Josias;*;;;;;;;8.75
+;5;8.75;Hügli Kaj;**;22;52.75;6;8.5;1;-0.25;10.0
o;6;18.75;Sommer Roman;*;13;55.0;8;18.25;2;-0.5;8.5
o;11;27.25;Gobeli Patrick;**;9;56.0;10;27.5;-1;0.25;8.5
o;14;35.75;Aeschbacher Matthias;**;8;56.25;8;37.25;-6;1.5;8.5
+;18;44.25;Gäggeler Adrian;*;17;54.0;13;45.5;-5;1.25;10.0

16c;Gwerder Carlo;**;;;;;;;;;54.25
+;;;Hügli Kaj;**;;;;;;;10.0
o;2;10.0;Anderegg Simon;***;6;56.75;2;10.0;0;0.0;8.5
-;7;18.5;Inniger Thomas;**;20;53.25;7;18.5;0;0.0;8.75
-;11;27.25;Ramseier Thomas;*;16;54.25;12;27.0;1;-0.25;8.75
o;13;36.0;Wittwer Josias;*;14;54.75;12;36.25;-1;0.25;8.5
+;17;44.5;Stalder Remo;***;21;53.0;17;44.5;0;0.0;9.75

16d;Müller Michael;**;;;;;;;;;54.25
+;;;Roschi Ruedi;**;;;;;;;10.0
o;2;10.0;Wenger Kilian;***;5;57.0;3;9.75;1;-0.25;8.75
-;6;18.75;Schenkel Remo;*;24;35.5;8;18.25;2;-0.5;8.75
o;10;27.5;Mathys Simon;**;6;56.75;6;28.5;-4;1.0;8.75
-;12;36.25;Rohrer Ueli;*;15;54.5;9;37.0;-3;0.75;9.0
-;14;45.25;Renfer Lukas;**;17;54.0;15;45.0;1;-0.25;9.0

16e;Kälin Roland;**;;;;;;;;;54.25
o;;;von Büren Stephan;*;;;;;;;8.5
+;6;8.5;Schaffner Samuel;**;28;34.5;5;8.75;-1;0.25;10.0
o;7;18.5;Steffen Valentin;*;12;55.25;7;18.5;0;0.0;8.75
o;11;27.25;Orlik Curdin;**;10;55.75;11;27.25;0;0.0;8.5
-;14;35.75;Ramseier Thomas;*;16;54.25;14;35.75;0;0.0;8.75
+;17;44.5;Inniger Thomas;**;20;53.25;16;44.75;-1;0.25;9.75

16f;Reichmuth Marco;**;;;;;;;;;54.25
-;;;von Weissenﬂuh Kilian;**;;;;;;;8.75
o;5;8.75;Gobeli Patrick;**;9;56.0;5;8.75;0;0.0;8.5
+;11;17.25;Schmid Samuel;**;14;54.75;10;17.5;-1;0.25;10.0
+;11;27.25;Locher Alfred;*;25;35.25;13;26.75;2;-0.5;9.75
o;9;37.0;Sempach Thomas;***;11;55.5;8;37.25;-1;0.25;8.5
-;13;45.5;Brand Christian;**;15;54.5;12;45.75;-1;0.25;8.75

16g;Streiff Dominik;*;;;;;;;;;54.25
-;;;Wittwer Jan;*;;;;;;;8.75
+;5;8.75;Schlüchter Colin;*;29;34.25;5;8.75;0;0.0;10.0
+;6;18.75;Steffen Gustav;*;13;55.0;6;18.75;0;0.0;9.75
o;6;28.5;Roschi Ruedi;**;7;56.5;7;28.25;1;-0.25;8.5
o;9;37.0;Anderegg Simon;***;6;56.75;9;37.0;0;0.0;8.5
-;13;45.5;Nägeli Daniel;*;20;53.25;17;44.5;4;-1.0;8.75

16h;Fankhauser Marco;**;;;;;;;;;54.25
o;;;Schenk Patrick;***;;;;;;;8.5
+;6;8.5;Locher Alfred;*;25;35.25;3;9.75;-3;1.25;10.0
-;7;18.5;Stucki Christian;***;3;57.5;6;18.75;-1;0.25;8.75
o;11;27.25;Klossner Adrian;*;15;54.5;11;27.25;0;0.0;8.5
o;14;35.75;Orlik Curdin;**;10;55.75;8;37.25;-6;1.5;8.75
+;17;44.5;Gehrig Damian;***;15;54.5;12;45.75;-5;1.25;9.75

16i;Ramseier Thomas;*;;;;;;;;;54.25
-;;;Lussi Marco;**;;;;;;;8.75
+;5;8.75;Burch Jonas;*;10;55.75;5;8.75;0;0.0;9.75
o;7;18.5;Luginbühl Hanspeter;**;13;55.0;7;18.5;0;0.0;8.5
-;12;27.0;Gwerder Carlo;**;16;54.25;11;27.25;-1;0.25;8.75
-;14;35.75;Kälin Roland;**;16;54.25;14;35.75;0;0.0;8.75
+;17;44.5;Amgarten Martin;*;21;53.0;17;44.5;0;0.0;9.75

16j;Gehrig Philipp;**;;;;;;;;;54.25
o;;;Doppmann Urs;**;;;;;;;8.5
+;6;8.5;Wyrsch Marco;**;26;35.0;5;8.75;-1;0.25;10.0
o;7;18.5;Schuler Christian;***;5;57.0;7;18.5;0;0.0;8.5
+;12;27.0;Hegner Ueli;*;24;35.5;12;27.0;0;0.0;10.0
o;9;37.0;Döbeli Andreas;*;15;54.5;12;36.25;3;-0.75;8.75
o;12;45.75;Gloggner Reto;**;12;55.25;13;45.5;1;-0.25;8.5

17a;Aellen Philipp;*;;;;;;;;;54.0
+;;;Odermatt Andreas;*;;;;;;;10.0
o;2;10.0;Schmid David;***;18;53.75;6;8.5;4;-1.5;8.5
+;7;18.5;Egli Damian;**;24;35.5;8;18.25;1;-0.25;9.75
o;7;28.25;Fankhauser Reto;**;1;92.0;1;54.75;-6;26.5;8.5
o;10;36.75;Gwerder Michael (2000);**;15;54.5;13;36.0;3;-0.75;8.5
-;14;45.25;Hurschler Thomas;**;19;53.5;16;44.75;2;-0.5;8.75

17b;Muff André;*;;;;;;;;;54.0
+;;;Fankhauser Reto;*;;;;;;;10.0
o;2;10.0;Sempach Thomas;***;11;55.5;6;8.5;4;-1.5;8.5
-;7;18.5;Studer Stefan;**;20;53.25;7;18.5;0;0.0;8.75
+;11;27.25;Wyss Kilian;**;20;53.25;12;27.0;1;-0.25;9.75
o;9;37.0;Schenk Patrick;***;15;54.5;13;36.0;4;-1.0;8.5
o;13;45.5;von Weissenﬂuh Kilian;**;15;54.5;16;44.75;3;-0.75;8.5

17c;Gäggeler Adrian;*;;;;;;;;;54.0
o;;;Rohrer Ueli;*;;;;;;;8.5
+;6;8.5;Bucher Christian;*;31;17.0;6;8.5;0;0.0;10.0
-;7;18.5;Rohrer Ivan;**;20;53.25;7;18.5;0;0.0;8.75
o;11;27.25;Widmer Tobias;**;11;55.5;10;27.5;-1;0.25;8.5
+;14;35.75;Hügli Kaj;**;22;52.75;14;35.75;0;0.0;9.75
o;13;45.5;Bernet Christoph;*;16;54.25;18;44.25;5;-1.25;8.5

17d;Höﬂiger Andreas;**;;;;;;;;;54.0
+;;;Schwander Severin;*;;;;;;;9.75
o;3;9.75;Stucki Christian;***;3;57.5;5;8.75;2;-1.0;8.5
+;8;18.25;Klossner Adrian;*;15;54.5;6;18.75;-2;0.5;9.75
o;8;28.0;Röthlisberger Simon;**;10;55.75;10;27.5;2;-0.5;8.75
o;10;36.75;Erb Roger;**;7;56.5;10;36.75;0;0.0;8.5
-;14;45.25;Schmid David;***;18;53.75;15;45.0;1;-0.25;8.75

17e;Stoll Simon;*;;;;;;;;;54.0
+;;;Berger Lorenz;*;;;;;;;10.0
o;2;10.0;Aeschbacher Matthias;**;8;56.25;5;8.75;3;-1.25;8.5
+;7;18.5;von Büren Stephan;*;25;35.25;8;18.25;1;-0.25;10.0
o;6;28.5;Sempach Thomas;***;11;55.5;10;27.5;4;-1.0;8.5
o;9;37.0;Schwander Severin;*;12;55.25;10;36.75;1;-0.25;8.5
o;13;45.5;Schuler Alex;***;14;54.75;16;44.75;3;-0.75;8.5
o;17;54.0;Lussi Marco;**;11;55.5;11;55.5;-6;1.5;0.0

17f;Renfer Lukas;**;;;;;;;;;54.0
-;;;Arnold Raphael;**;;;;;;;9.0
+;4;9.0;Schuler Alex;***;14;54.75;5;8.75;1;-0.25;9.75
-;6;18.75;Brand Christian;**;15;54.5;7;18.5;1;-0.25;8.75
o;10;27.5;Ettlin Stefan;**;9;56.0;9;27.75;-1;0.25;8.75
-;12;36.25;Doppmann Urs;**;11;55.5;10;36.75;-2;0.5;8.75
-;15;45.0;Müller Michael;**;16;54.25;14;45.25;-1;0.25;9.0

18a;Aellen Florian;*;;;;;;;;;53.75
o;;;Bucher Roland;*;;;;;;;8.5
+;6;8.5;Hegner Ueli;*;24;35.5;6;8.5;0;0.0;10.0
-;7;18.5;Hurschler Thomas;**;19;53.5;10;17.5;3;-1.0;8.75
-;11;27.25;Arnold Raphael;**;25;35.25;15;26.25;4;-1.0;9.0
-;12;36.25;Lussi Marco;**;11;55.5;9;37.0;-3;0.75;8.75
-;15;45.0;Odermatt Andreas;*;20;53.25;17;44.5;2;-0.5;8.75

18b;Schmid David;***;;;;;;;;;53.75
o;;;Wenger Kilian;***;;;;;;;8.5
+;6;8.5;Aellen Philipp;*;17;54.0;2;10.0;-4;1.5;9.75
-;8;18.25;Staudenmann Fabian (2000);**;11;55.5;6;18.75;-2;0.5;9.0
-;11;27.25;Bernhard Lukas;*;16;54.25;11;27.25;0;0.0;9.0
-;12;36.25;Rohrer Ivan;**;20;53.25;14;35.75;2;-0.5;8.75
-;15;45.0;Höﬂiger Andreas;**;17;54.0;14;45.25;-1;0.25;8.75

18c;Kennel Stefan;**;;;;;;;;;53.75
o;;;Weyermann Florian;*;;;;;;;8.5
-;6;8.5;Wittwer Jan;*;27;34.75;5;8.75;-1;0.25;8.75
-;11;17.25;Schaffner Samuel;**;28;34.5;11;17.25;0;0.0;8.75
+;16;26.0;Zosso Remo;**;26;35.0;15;26.25;-1;0.25;10.0
-;13;36.0;Schmid Samuel;**;14;54.75;13;36.0;0;0.0;9.0
-;15;45.0;Studer Stefan;**;20;53.25;17;44.5;2;-0.5;8.75

19a;Hurschler Thomas;**;;;;;;;;;53.5
-;;;Brand Christian;**;;;;;;;8.75
-;5;8.75;von Weissenﬂuh Kilian;**;15;54.5;5;8.75;0;0.0;8.75
-;10;17.5;Aellen Florian;*;18;53.75;7;18.5;-3;1.0;8.75
+;15;26.25;Schaffner Samuel;**;28;34.5;16;26.0;1;-0.25;10.0
o;12;36.25;Kropf Marcel;**;8;56.25;12;36.25;0;0.0;8.5
-;16;44.75;Aellen Philipp;*;17;54.0;14;45.25;-2;0.5;8.75

20a;Scherrer Johann;**;;;;;;;;;53.25
o;;;Zangger Dominik;*;;;;;;;8.5
-;6;8.5;Villiger Cyrill;*;28;34.5;6;8.5;0;0.0;8.75
-;11;17.25;Odermatt Andreas;*;20;53.25;8;18.25;-3;1.0;8.75
+;16;26.0;Schlüchter Colin;*;29;34.25;17;25.75;1;-0.25;10.0
-;13;36.0;Inniger Thomas;**;20;53.25;13;36.0;0;0.0;8.75
o;16;44.75;Luginbühl Hanspeter;**;13;55.0;9;46.5;-7;1.75;8.5

20b;Odermatt Andreas;*;;;;;;;;;53.25
o;;;Aellen Philipp;*;;;;;;;8.5
+;6;8.5;Hermann Oliver;*;31;17.0;6;8.5;0;0.0;9.75
-;8;18.25;Scherrer Johann;**;20;53.25;11;17.25;3;-1.0;8.75
-;12;27.0;Steffen Konrad;*;15;54.5;11;27.25;-1;0.25;8.75
-;14;35.75;Nägeli Daniel;*;20;53.25;14;35.75;0;0.0;8.75
-;17;44.5;Aellen Florian;*;18;53.75;15;45.0;-2;0.5;8.75

20c;Nägeli Daniel;*;;;;;;;;;53.25
+;;;Hegner Ueli;*;;;;;;;9.75
-;3;9.75;Kramer Franz;*;24;35.5;6;8.5;3;-1.25;8.75
o;7;18.5;Räbmatter Patrick;***;5;57.0;7;18.5;0;0.0;8.5
-;12;27.0;Burch Jonas;*;10;55.75;12;27.0;0;0.0;8.75
-;14;35.75;Odermatt Andreas;*;20;53.25;14;35.75;0;0.0;8.75
-;17;44.5;Streiff Dominik;*;16;54.25;13;45.5;-4;1.0;8.75

20d;Rohrer Ivan;**;;;;;;;;;53.25
+;;;Mathys Simon;**;;;;;;;9.75
-;3;9.75;Schenk Patrick;***;15;54.5;3;9.75;0;0.0;8.75
-;7;18.5;Gäggeler Adrian;*;17;54.0;7;18.5;0;0.0;8.75
o;11;27.25;Steffen Konrad;*;15;54.5;11;27.25;0;0.0;8.5
-;14;35.75;Schmid David;***;18;53.75;12;36.25;-2;0.5;8.75
-;17;44.5;Wyss Kilian;**;20;53.25;17;44.5;0;0.0;8.75

20e;Inniger Thomas;**;;;;;;;;;53.25
+;;;Inderbitzin Daniel;*;;;;;;;10.0
o;2;10.0;von Ah Benji;***;5;57.0;6;8.5;4;-1.5;8.5
-;7;18.5;Gwerder Carlo;**;16;54.25;7;18.5;0;0.0;8.75
-;11;27.25;Döbeli Andreas;*;15;54.5;10;27.5;-1;0.25;8.75
-;13;36.0;Scherrer Johann;**;20;53.25;13;36.0;0;0.0;8.75
o;16;44.75;Kälin Roland;**;16;54.25;17;44.5;1;-0.25;8.5

20f;Studer Stefan;**;;;;;;;;;53.25
+;;;Odermatt Christian;**;;;;;;;10.0
o;2;10.0;Schuler Christian;***;5;57.0;5;8.75;3;-1.25;8.5
-;7;18.5;Muff André;*;17;54.0;7;18.5;0;0.0;8.75
o;11;27.25;Voggensperger Janic;**;9;56.0;10;27.5;-1;0.25;8.5
-;14;35.75;Fellmann Roman;**;21;53.0;14;35.75;0;0.0;8.75
-;17;44.5;Kennel Stefan;**;18;53.75;15;45.0;-2;0.5;8.75

20g;Wyss Kilian;**;;;;;;;;;53.25
+;;;Gloggner Reto;**;;;;;;;10.0
o;2;10.0;Bieri Marcel;**;9;56.0;5;8.75;3;-1.25;8.5
o;7;18.5;von Ah Benji;***;5;57.0;7;18.5;0;0.0;8.5
o;12;27.0;Muff André;*;17;54.0;11;27.25;-1;0.25;8.75
o;14;35.75;Burch Jonas;*;10;55.75;14;35.75;0;0.0;8.75
-;17;44.5;Rohrer Ivan;**;20;53.25;17;44.5;0;0.0;8.75

21a;Fellmann Roman;**;;;;;;;;;53.0
-;;;Röthlisberger Simon;**;;;;;;;8.75
o;5;8.75;Widmer Tobias;**;11;55.5;5;8.75;0;0.0;8.5
+;11;17.25;Zangger Dominik;*;24;35.5;7;18.5;-4;1.25;10.0
o;11;27.25;Marti Stefan;**;14;54.75;15;26.25;4;-1.0;8.5
-;14;35.75;Studer Stefan;**;20;53.25;14;35.75;0;0.0;8.75
o;17;44.5;Schmid Samuel;**;14;54.75;15;45.0;-2;0.5;8.5

21b;Stalder Remo;***;;;;;;;;;53.0
+;;;Gehrig Damian;***;;;;;;;10.0
-;2;10.0;Staudenmann Fabian (2000);**;11;55.5;3;9.75;1;-0.25;9.0
o;5;19.0;Weyermann Florian;*;10;55.75;3;19.75;-2;0.75;8.5
o;10;27.5;Sommer Roman;*;13;55.0;8;28.0;-2;0.5;8.5
o;13;36.0;Marti Stefan;**;14;54.75;12;36.25;-1;0.25;8.5
o;17;44.5;Gwerder Carlo;**;16;54.25;17;44.5;0;0.0;8.5

21c;Amgarten Martin;*;;;;;;;;;53.0
o;;;Steffen Valentin;*;;;;;;;8.5
+;6;8.5;Schenk Adrian;*;24;35.5;6;8.5;0;0.0;10.0
o;7;18.5;Gehrig Damian;***;15;54.5;12;17.0;5;-1.5;8.75
-;11;27.25;Wittwer Josias;*;14;54.75;10;27.5;-1;0.25;8.75
o;13;36.0;Brand Christian;**;15;54.5;13;36.0;0;0.0;8.5
o;17;44.5;Ramseier Thomas;*;16;54.25;17;44.5;0;0.0;8.5

22a;Hügli Kaj;**;;;;;;;;;52.75
o;;;Gwerder Carlo;**;;;;;;;8.5
o;6;8.5;Bernet Christoph;*;16;54.25;5;8.75;-1;0.25;8.5
-;12;17.0;Gassmann Michael;*;29;34.25;12;17.0;0;0.0;8.75
+;17;25.75;Villiger Cyrill;*;28;34.5;16;26.0;-1;0.25;10.0
o;14;35.75;Gäggeler Adrian;*;17;54.0;14;35.75;0;0.0;8.5
o;18;44.25;Murer Andy;**;15;54.5;17;44.5;-1;0.25;8.5

22b;Gnägi Christian;*;;;;;;;;;52.75
-;;;Burch Jonas;*;;;;;;;8.75
o;5;8.75;Lussi Marco;**;11;55.5;5;8.75;0;0.0;8.5
+;11;17.25;Stegmüller Klemens;*;28;34.5;10;17.5;-1;0.25;10.0
o;11;27.25;Schuler Alex;***;14;54.75;16;26.0;5;-1.25;8.5
o;14;35.75;Suppiger Werner;**;10;55.75;13;36.0;-1;0.25;8.5
o;18;44.25;Doppmann Urs;**;11;55.5;13;45.5;-5;1.25;8.5

23a;Inderbitzin Daniel;*;;;;;;;;;44.5
o;;;Inniger Thomas;**;;;;;;;8.75
-;5;8.75;Kämpf Alexander;**;26;35.0;5;8.75;0;0.0;8.75
+;10;17.5;Grossen John;*;24;35.5;8;18.25;-2;0.75;10.0
o;10;27.5;Staudenmann Fabian (2000);**;11;55.5;9;27.75;-1;0.25;8.5
o;13;36.0;Steffen Gustav;*;13;55.0;12;36.25;-1;0.25;8.5

24a;Bucher Roland;*;;;;;;;;;35.5
+;;;Aellen Florian;*;;;;;;;9.75
o;3;9.75;Luginbühl Hanspeter;**;13;55.0;5;8.75;2;-1.0;8.5
o;8;18.25;Studinger Stephan;**;15;54.5;11;17.25;3;-1.0;8.5
-;13;26.75;Grossen John;*;24;35.5;13;26.75;0;0.0;8.75

24b;Schenkel Remo;*;;;;;;;;;35.5
+;;;Bernhard Lukas;*;;;;;;;9.75
o;3;9.75;Fankhauser Erich;***;2;57.75;6;8.5;3;-1.25;8.5
-;8;18.25;Müller Michael;**;16;54.25;6;18.75;-2;0.5;8.75
o;12;27.0;Gloggner Reto;**;12;55.25;13;26.75;1;-0.25;8.5

24c;Zangger Dominik;*;;;;;;;;;35.5
+;;;Scherrer Johann;**;;;;;;;10.0
o;2;10.0;Räbmatter Patrick;***;5;57.0;6;8.5;4;-1.5;8.5
o;7;18.5;Fellmann Roman;**;21;53.0;11;17.25;4;-1.25;8.5
o;12;27.0;Odermatt Christian;**;13;55.0;12;27.0;0;0.0;8.5

24d;Mangold Michael;**;;;;;;;;;35.5
+;;;Schenk Adrian;*;;;;;;;9.75
o;3;9.75;Gnägi Florian;***;6;56.75;2;10.0;-1;0.25;8.5
o;8;18.25;Bernhard Lukas;*;16;54.25;11;17.25;3;-1.0;8.5
-;13;26.75;Wittwer Jan;*;27;34.75;16;26.0;3;-0.75;8.75

24e;Egli Damian;**;;;;;;;;;35.5
+;;;Kramer Franz;*;;;;;;;9.75
o;3;9.75;Orlik Curdin;**;10;55.75;5;8.75;2;-1.0;8.5
o;8;18.25;Aellen Philipp;*;17;54.0;7;18.5;-1;0.25;8.5
-;13;26.75;Fankhauser Reto;*;1;92.0;1;54.75;-12;28.0;8.75

24f;Hegner Ueli;*;;;;;;;;;35.5
o;;;Nägeli Daniel;*;;;;;;;8.5
o;6;8.5;Aellen Florian;*;18;53.75;6;8.5;0;0.0;8.5
+;12;17.0;Wittwer Jan;*;27;34.75;10;17.5;-2;0.5;10.0
o;12;27.0;Gehrig Philipp;**;16;54.25;12;27.0;0;0.0;8.5

24g;Kramer Franz;*;;;;;;;;;35.5
o;;;Egli Damian;**;;;;;;;8.5
-;6;8.5;Nägeli Daniel;*;20;53.25;3;9.75;-3;1.25;8.75
o;11;17.25;Gwerder Michael (2000);**;15;54.5;9;17.75;-2;0.5;8.5
+;17;25.75;Berger Lorenz;*;30;34.0;18;25.5;1;-0.25;9.75

24h;Schenk Adrian;*;;;;;;;;;35.5
o;;;Mangold Michael;**;;;;;;;8.5
o;6;8.5;Amgarten Martin;*;21;53.0;6;8.5;0;0.0;8.5
o;12;17.0;Burch Jonas;*;10;55.75;11;17.25;-1;0.25;8.5
+;18;25.5;Stegmüller Klemens;*;28;34.5;16;26.0;-2;0.5;10.0

24i;Grossen John;*;;;;;;;;;35.5
+;;;Bucher Christian;*;;;;;;;9.75
o;3;9.75;Erb Roger;**;7;56.5;6;8.5;3;-1.25;8.5
o;8;18.25;Inderbitzin Daniel;*;23;44.5;10;17.5;2;-0.75;8.5
-;13;26.75;Bucher Roland;*;24;35.5;13;26.75;0;0.0;8.75

25a;Arnold Raphael;**;;;;;;;;;35.25
-;;;Renfer Lukas;**;;;;;;;9.0
o;4;9.0;Röthlisberger Simon;**;10;55.75;5;8.75;1;-0.25;8.5
-;10;17.5;Kropf Marcel;**;8;56.25;10;17.5;0;0.0;8.75
-;15;26.25;Aellen Florian;*;18;53.75;11;27.25;-4;1.0;9.0

25b;Gwerder Guido;**;;;;;;;;;35.25
o;;;Staudenmann Fabian (2000);**;;;;;;;8.5
o;6;8.5;Klossner Adrian;*;15;54.5;5;8.75;-1;0.25;8.5
+;12;17.0;Schlüchter Colin;*;29;34.25;11;17.25;-1;0.25;9.75
o;13;26.75;Erb Roger;**;7;56.5;12;27.0;-1;0.25;8.5

25c;Kessler Joel;*;;;;;;;;;35.25
-;;;Klossner Adrian;*;;;;;;;8.75
-;5;8.75;Zosso Remo;**;26;35.0;5;8.75;0;0.0;8.75
-;10;17.5;Leuenberger Michael;*;26;35.0;11;17.25;1;-0.25;9.0
-;14;26.5;Kämpf Alexander;**;26;35.0;15;26.25;1;-0.25;8.75

25d;Locher Alfred;*;;;;;;;;;35.25
+;;;Villiger Cyrill;*;;;;;;;9.75
o;3;9.75;Fankhauser Marco;**;16;54.25;6;8.5;3;-1.25;8.5
o;8;18.25;Gloggner Reto;**;12;55.25;12;17.0;4;-1.25;8.5
o;13;26.75;Reichmuth Marco;**;16;54.25;11;27.25;-2;0.5;8.5

25e;von Büren Stephan;*;;;;;;;;;35.25
+;;;Kälin Roland;**;;;;;;;9.75
o;3;9.75;Alpiger Nick;***;4;57.25;3;9.75;0;0.0;8.5
o;8;18.25;Stoll Simon;*;17;54.0;7;18.5;-1;0.25;8.5
o;13;26.75;Lussi Marco;**;11;55.5;11;27.25;-2;0.5;8.5

26a;Kämpf Alexander;**;;;;;;;;;35.0
-;;;Rohrer Marco;**;;;;;;;8.75
-;5;8.75;Inderbitzin Daniel;*;23;44.5;5;8.75;0;0.0;8.75
-;10;17.5;Wyrsch Marco;**;26;35.0;10;17.5;0;0.0;8.75
-;15;26.25;Kessler Joel;*;25;35.25;14;26.5;-1;0.25;8.75

26b;Gloggner Philipp;***;;;;;;;;;35.0
-;;;Aeschbacher Matthias;**;;;;;;;8.75
-;5;8.75;Steffen Gustav;*;13;55.0;2;10.0;-3;1.25;8.75
-;10;17.5;Wittwer Josias;*;14;54.75;6;18.75;-4;1.25;8.75
-;15;26.25;von Weissenﬂuh Kilian;**;15;54.5;11;27.25;-4;1.0;8.75

26c;Zosso Remo;**;;;;;;;;;35.0
-;;;Wyrsch Marco;**;;;;;;;8.75
-;5;8.75;Kessler Joel;*;25;35.25;5;8.75;0;0.0;8.75
-;10;17.5;Villiger Cyrill;*;28;34.5;11;17.25;1;-0.25;8.75
o;15;26.25;Kennel Stefan;**;18;53.75;16;26.0;1;-0.25;8.75

26d;Leuenberger Michael;*;;;;;;;;;35.0
-;;;Döbeli Andreas;*;;;;;;;8.75
o;5;8.75;Odermatt Christian;**;13;55.0;6;8.5;1;-0.25;8.5
-;11;17.25;Kessler Joel;*;25;35.25;10;17.5;-1;0.25;9.0
-;15;26.25;Wyrsch Marco;**;26;35.0;15;26.25;0;0.0;8.75

26e;Wyrsch Marco;**;;;;;;;;;35.0
-;;;Zosso Remo;**;;;;;;;8.75
o;5;8.75;Gehrig Philipp;**;16;54.25;6;8.5;1;-0.25;8.75
-;10;17.5;Kämpf Alexander;**;26;35.0;10;17.5;0;0.0;8.75
-;15;26.25;Leuenberger Michael;*;26;35.0;15;26.25;0;0.0;8.75

27a;Wittwer Jan;*;;;;;;;;;34.75
-;;;Streiff Dominik;*;;;;;;;8.75
-;5;8.75;Kennel Stefan;**;18;53.75;6;8.5;1;-0.25;8.75
o;10;17.5;Hegner Ueli;*;24;35.5;12;17.0;2;-0.5;8.5
-;16;26.0;Mangold Michael;**;24;35.5;13;26.75;-3;0.75;8.75

27b;Rohrer Marco;**;;;;;;;;;34.75
-;;;Kämpf Alexander;**;;;;;;;8.75
-;5;8.75;Marti Stefan;**;14;54.75;5;8.75;0;0.0;8.75
o;10;17.5;Schwander Severin;*;12;55.25;7;18.5;-3;1.0;8.75
o;15;26.25;Kropf Marcel;**;8;56.25;15;26.25;0;0.0;8.5

28a;Villiger Cyrill;*;;;;;;;;;34.5
o;;;Locher Alfred;*;;;;;;;8.5
-;6;8.5;Scherrer Johann;**;20;53.25;6;8.5;0;0.0;8.75
-;11;17.25;Zosso Remo;**;26;35.0;10;17.5;-1;0.25;8.75
o;16;26.0;Hügli Kaj;**;22;52.75;17;25.75;1;-0.25;8.5

28b;Schaffner Samuel;**;;;;;;;;;34.5
-;;;Murer Andy;**;;;;;;;8.75
o;5;8.75;Kälin Roland;**;16;54.25;6;8.5;1;-0.25;8.5
-;11;17.25;Kennel Stefan;**;18;53.75;11;17.25;0;0.0;8.75
o;16;26.0;Hurschler Thomas;**;19;53.5;15;26.25;-1;0.25;8.5

28c;Stegmüller Klemens;*;;;;;;;;;34.5
-;;;Schlüchter Colin;*;;;;;;;8.75
o;5;8.75;Wittwer Josias;*;14;54.75;5;8.75;0;0.0;8.75
o;10;17.5;Gnägi Christian;*;22;52.75;11;17.25;1;-0.25;8.5
o;16;26.0;Schenk Adrian;*;24;35.5;18;25.5;2;-0.5;8.5

29a;Schlüchter Colin;*;;;;;;;;;34.25
-;;;Stegmüller Klemens;*;;;;;;;8.75
o;5;8.75;Streiff Dominik;*;16;54.25;5;8.75;0;0.0;8.5
o;11;17.25;Gwerder Guido;**;25;35.25;12;17.0;1;-0.25;8.5
