3494-2017-05-28_Solothurner_Kantonalschwingfest-ST

1a;Gisler Bruno;***;;;;;;;;;59.5
o;3;19.0;Jusufi Azret;;14;54.75;5;18.5;2;-0.5;8.5
o;8;27.5;Schaffner Samuel;**;11;55.5;4;28.5;-4;1.0;8.75
o;12;36.25;Graber Colin;;12;55.25;10;36.75;-2;0.5;8.5
+;16;44.75;Reinhard Pirmin (2001);;18;53.75;14;45.25;-2;0.5;10.0

14g;Rohrbach Jérôme (2000);;;;;;;;;;54.75
o;;;Rüegger Aaron (1999);;;;;;;;8.5
+;5;8.5;Brack Simon;;22;52.75;4;8.75;-1;0.25;9.75
+;6;18.25;Vogel Remo (2001);;16;54.25;8;17.5;2;-0.75;9.75
o;6;28.0;Steinmann Yves;*;10;55.75;9;27.25;3;-0.75;8.5
+;11;36.5;Binggeli Silvan (1999);;20;53.25;13;36.0;2;-0.5;9.75
o;10;46.25;Döbeli Lukas (2000);*;5;57.0;7;47.0;-3;0.75;8.5

14h;Müller Jan;;;;;;;;;;54.75
+;;;Imobersteg Tobias;;;;;;;;9.75
o;2;9.75;Lisser Daniel;*;14;54.75;3;9.0;1;-0.75;8.5
o;6;18.25;Henzer Andreas;**;8;56.25;5;18.5;-1;0.25;8.5
+;11;26.75;Schaub Reto (2000);;24;35.25;11;26.75;0;0.0;9.75
o;11;36.5;Gabathuler Björn;;14;54.75;11;36.5;0;0.0;8.5
+;15;45.0;Rüegg Benjamin;;18;53.75;14;45.25;-1;0.25;9.75

14i;Gabathuler Björn;;;;;;;;;;54.75
+;;;Graber Colin;;;;;;;;9.75
o;2;9.75;Widmer Tobias;**;7;56.5;1;10.0;-1;0.25;8.5
+;6;18.25;Steger Robert;;17;54.0;5;18.5;-1;0.25;9.75
o;6;28.0;Döbeli Andreas;*;7;56.5;5;28.25;-1;0.25;8.5
+;11;36.5;Müller Jan;;14;54.75;11;36.5;0;0.0;9.75
o;10;46.25;Steinmann Yves;*;10;55.75;11;46.0;1;-0.25;8.5

14j;Müller Simon;;;;;;;;;;54.75
+;;;Niggli Andreas;;;;;;;;10.0
o;1;10.0;Voggensperger Lars (2001);;10;55.75;4;8.75;3;-1.25;8.75
-;4;18.75;Nyffeler Christoph;*;18;53.75;8;17.5;4;-1.25;9.0
o;7;27.75;Gerber Andrj (2000);;13;55.0;4;28.5;-3;0.75;8.5
+;12;36.25;Vogt Fredy (2001);;14;54.75;11;36.5;-1;0.25;10.0
o;10;46.25;Bader Andreas;**;11;55.5;12;45.75;2;-0.5;8.5

14k;Jusufi Azret;;;;;;;;;;54.75
+;;;Regenass Beat;;;;;;;;10.0
o;1;10.0;Voggensperger Janic;**;4;57.5;4;8.75;3;-1.25;8.5
+;5;18.5;Lisser Daniel;*;14;54.75;3;19.0;-2;0.5;10.0
-;4;28.5;Schmid Samuel;**;5;57.0;5;28.25;1;-0.25;8.75
-;8;37.25;Schillig Willi;**;15;54.5;8;37.25;0;0.0;8.75
-;11;46.0;Dobler Florian;;14;54.75;11;46.0;0;0.0;8.75

14l;Dobler Florian;;;;;;;;;;54.75
+;;;Bieli Andreas;;;;;;;;9.75
o;2;9.75;Schmid Samuel;**;5;57.0;5;8.5;3;-1.25;8.5
o;6;18.25;Reimann Marco;;11;55.5;5;18.5;-1;0.25;8.75
-;10;27.0;Stoll Thomas;;19;53.5;10;27.0;0;0.0;9.0
+;13;36.0;Traub Manuel;;20;53.25;13;36.0;0;0.0;10.0
-;11;46.0;Jusufi Azret;;14;54.75;11;46.0;0;0.0;8.75

15a;Bader Fabian (2000);;;;;;;;;;54.5
+;;;Grossmann Andreas;;;;;;;;9.75
-;2;9.75;Jusufi Ilber;;25;34.75;4;8.75;2;-1.0;8.75
o;5;18.5;Schmid Samuel;**;5;57.0;6;18.25;1;-0.25;8.5
o;10;27.0;Regenass Beat;;17;54.0;10;27.0;0;0.0;8.75
+;14;35.75;Reinhard Reto (1999);;17;54.0;15;35.5;1;-0.25;10.0
-;12;45.75;Eggen Markus;;16;54.25;13;45.5;1;-0.25;8.75

15b;Schillig Willi;**;;;;;;;;;54.5
-;;;Zürcher Remo;*;;;;;;;8.75
+;4;8.75;Grieder Nonda (1999);;17;54.0;1;10.0;-3;1.25;10.0
o;4;18.75;Räbmatter Patrick;***;3;58.25;1;19.75;-3;1.0;8.5
+;9;27.25;Graber Colin;;12;55.25;5;28.25;-4;1.0;10.0
-;8;37.25;Jusufi Azret;;14;54.75;8;37.25;0;0.0;8.75
o;11;46.0;Klausner Yanick;**;7;56.5;8;46.75;-3;0.75;8.5

15c;Gisin Yanic;;;;;;;;;;54.5
+;;;Bieri Florian (2001);;;;;;;;10.0
-;1;10.0;Schmutz Simon (2000);;16;54.25;4;8.75;3;-1.25;8.75
o;4;18.75;Döbeli Andreas;*;7;56.5;6;18.25;2;-0.5;8.5
+;9;27.25;Moser Matthias;*;15;54.5;9;27.25;0;0.0;9.75
o;9;37.0;Hermann Oliver;*;10;55.75;7;37.5;-2;0.5;8.75
o;12;45.75;Rüegger Aaron (1999);;11;55.5;12;45.75;0;0.0;8.75

15d;Grossmann Andreas;;;;;;;;;;54.5
o;;;Bader Fabian (2000);;;;;;;;8.5
+;5;8.5;Reinhard Pirmin (2001);;18;53.75;4;8.75;-1;0.25;9.75
-;6;18.25;Bieli Andreas;;10;55.75;6;18.25;0;0.0;8.75
o;10;27.0;Arnold Kornel;*;13;55.0;13;26.25;3;-0.75;8.5
-;15;35.5;Stoll Thomas;;19;53.5;14;35.75;-1;0.25;9.0
+;17;44.5;Brack Simon;;22;52.75;18;44.25;1;-0.25;10.0

15e;Moser Matthias;*;;;;;;;;;54.5
-;;;Arnold Kornel;*;;;;;;;8.75
+;4;8.75;Burkart Simon;;24;35.25;2;9.75;-2;1.0;10.0
o;4;18.75;Bieri Christoph;***;5;57.0;7;18.0;3;-0.75;8.5
o;9;27.25;Gisin Yanic;;15;54.5;9;27.25;0;0.0;8.75
+;13;36.0;Vogel Remo (2001);;16;54.25;13;36.0;0;0.0;9.75
o;12;45.75;Läuchli Janik (2000);;10;55.75;12;45.75;0;0.0;8.75

15f;Anderegg David;*;;;;;;;;;54.5
+;;;Stoll Simon;*;;;;;;;10.0
-;1;10.0;Studer Remo;;14;54.75;1;10.0;0;0.0;9.0
o;3;19.0;Blatter Lorenz;**;4;57.5;3;19.0;0;0.0;8.5
o;8;27.5;Imobersteg Matthias (2001);;13;55.0;5;28.25;-3;0.75;8.5
+;13;36.0;Regenass Beat;;17;54.0;10;36.75;-3;0.75;10.0
o;11;46.0;Bieli Mario;;11;55.5;7;47.0;-4;1.0;8.5

15g;Widmer David;;;;;;;;;;54.5
-;;;Voggensperger Lars (2001);;;;;;;;8.75
+;4;8.75;Eggenschwiler Fabian;;16;54.25;5;8.5;1;-0.25;10.0
o;4;18.75;Thoenen Henryc;**;6;56.75;5;18.5;1;-0.25;8.75
o;8;27.5;Bieli Mario;;11;55.5;8;27.5;0;0.0;8.5
-;13;36.0;Aebi Roger;;19;53.5;13;36.0;0;0.0;8.5
+;17;44.5;Bachmann Sämi (2001);;20;53.25;17;44.5;0;0.0;10.0

15h;Mangold Martin;;;;;;;;;;54.5
-;;;Büttler Gian (2000);;;;;;;;9.0
+;3;9.0;Büttler Adrian (1999);;16;54.25;4;8.75;1;-0.25;9.75
o;4;18.75;von Arx Christian;*;8;56.25;4;18.75;0;0.0;8.5
+;9;27.25;Bachmann Sämi (2001);;20;53.25;9;27.25;0;0.0;9.75
-;9;37.0;Nyffeler Christoph;*;18;53.75;11;36.5;2;-0.5;9.0
o;11;46.0;Schmutz Adrian;*;10;55.75;12;45.75;1;-0.25;8.5

16a;Scherrer Johann;**;;;;;;;;;54.25
o;;;Hermann Oliver;*;;;;;;;8.5
-;5;8.5;Leu Dominik (1999);;16;54.25;1;10.0;-4;1.5;8.75
+;9;17.25;Bieri Florian (2001);;26;34.5;10;17.0;1;-0.25;10.0
+;9;27.25;Reinhard Reto (1999);;17;54.0;10;27.0;1;-0.25;10.0
o;8;37.25;Schmid Samuel;**;5;57.0;9;37.0;1;-0.25;8.5
o;12;45.75;Döbeli Andreas;*;7;56.5;9;46.5;-3;0.75;8.5

16b;Leu Dominik (1999);;;;;;;;;;54.25
+;;;Bader Stefan (1999);;;;;;;;10.0
-;1;10.0;Scherrer Johann;**;16;54.25;5;8.5;4;-1.5;8.5
+;5;18.5;Grieder Nonda (1999);;17;54.0;5;18.5;0;0.0;10.0
o;4;28.5;Brand Christian;**;8;56.25;5;28.25;1;-0.25;8.5
o;9;37.0;Mathys Tobias;;11;55.5;9;37.0;0;0.0;8.5
o;13;45.5;Bruder Adrian;;11;55.5;13;45.5;0;0.0;8.75

16c;Schmutz Simon (2000);;;;;;;;;;54.25
-;;;Gisin Yanic;;;;;;;;8.75
+;4;8.75;Bieri Florian (2001);;26;34.5;5;8.5;1;-0.25;10.0
o;4;18.75;Hügli Kaj;*;13;55.0;8;17.5;4;-1.25;8.5
+;9;27.25;Burkart Simon;;24;35.25;11;26.75;2;-0.5;10.0
o;8;37.25;Mangold Michael;*;10;55.75;8;37.25;0;0.0;8.5
o;12;45.75;Winiger Fabian;**;10;55.75;11;46.0;-1;0.25;8.5

16d;Büttler Gian (2000);;;;;;;;;;54.25
-;;;Mangold Martin;;;;;;;;9.0
o;3;9.0;Aebi Roger;;19;53.5;4;8.75;1;-0.25;8.5
-;8;17.5;Arnold Kornel;*;13;55.0;8;17.5;0;0.0;8.75
+;13;26.25;Müller Christian;;24;35.25;11;26.75;-2;0.5;9.75
o;13;36.0;De Fusco Dario;;14;54.75;13;36.0;0;0.0;8.5
+;17;44.5;Schwenkfelder Lukas;;21;53.0;17;44.5;0;0.0;9.75

16e;Eggen Markus;;;;;;;;;;54.25
+;;;Binggeli Silvan (1999);;;;;;;;9.75
+;2;9.75;Vogt Patrick (1999);;27;34.25;4;8.75;2;-1.0;10.0
o;1;19.75;Voggensperger Janic;**;4;57.5;4;18.75;3;-1.0;8.5
o;5;28.25;Thoenen Henryc;**;6;56.75;5;28.25;0;0.0;8.5
-;10;36.75;Lisser Beat;;14;54.75;12;36.25;2;-0.5;8.75
-;13;45.5;Bader Fabian (2000);;15;54.5;12;45.75;-1;0.25;8.75

16f;Büttler Adrian (1999);;;;;;;;;;54.25
-;;;Bruder Adrian;;;;;;;;8.75
o;4;8.75;Mangold Martin;;15;54.5;3;9.0;-1;0.25;8.5
o;9;17.25;Mathys Tobias;;11;55.5;5;18.5;-4;1.25;8.5
+;15;25.75;Bearda Samuel;;26;34.5;14;26.0;-1;0.25;10.0
-;14;35.75;Schwenkfelder Lukas;;21;53.0;14;35.75;0;0.0;8.75
+;17;44.5;Regenass Reto (2000);;21;53.0;17;44.5;0;0.0;9.75

16g;Eggenschwiler Fabian;;;;;;;;;;54.25
o;;;Gerber Andrj (2000);;;;;;;;8.5
o;5;8.5;Widmer David;;15;54.5;4;8.75;-1;0.25;8.5
+;10;17.0;Hermann Lukas 1 (2000);;21;53.0;10;17.0;0;0.0;9.75
-;11;26.75;Bieri Florian (2001);;26;34.5;16;25.5;5;-1.25;9.0
+;14;35.75;Brack Simon;;22;52.75;14;35.75;0;0.0;10.0
o;12;45.75;Odermatt Adrian (2001);*;11;55.5;13;45.5;1;-0.25;8.5

16h;Stoll Simon;*;;;;;;;;;54.25
o;;;Anderegg David;*;;;;;;;8.5
+;5;8.5;Reimann Marco;;11;55.5;1;10.0;-4;1.5;10.0
-;5;18.5;Aebi Roger;;19;53.5;4;18.75;-1;0.25;8.75
+;9;27.25;Bruder Adrian;;11;55.5;9;27.25;0;0.0;10.0
o;8;37.25;Widmer Tobias;**;7;56.5;9;37.0;1;-0.25;8.5
o;12;45.75;Strebel Joel;**;8;56.25;10;46.25;-2;0.5;8.5

16i;Vogel Remo (2001);;;;;;;;;;54.25
o;;;Lisser Beat;;;;;;;;8.5
-;5;8.5;Binggeli Silvan (1999);;20;53.25;5;8.5;0;0.0;9.0
o;8;17.5;Rohrbach Jérôme (2000);;14;54.75;6;18.25;-2;0.75;8.5
+;14;26.0;Vogt Patrick (1999);;27;34.25;15;25.75;1;-0.25;10.0
o;13;36.0;Moser Matthias;*;15;54.5;13;36.0;0;0.0;8.5
+;17;44.5;Imobersteg Tobias;;21;53.0;17;44.5;0;0.0;9.75

17a;Reinhard Reto (1999);;;;;;;;;;54.0
-;;;Lüscher Ivan (2001);;;;;;;;8.75
o;4;8.75;Bader Stefan (1999);;17;54.0;5;8.5;1;-0.25;8.5
+;9;17.25;Tschan Raphael (2000);;27;34.25;9;17.25;0;0.0;9.75
o;10;27.0;Scherrer Johann;**;16;54.25;9;27.25;-1;0.25;8.5
o;15;35.5;Bader Fabian (2000);;15;54.5;14;35.75;-1;0.25;8.5
+;19;44.0;Ris Jörn;;23;52.5;19;44.0;0;0.0;10.0

17b;Regenass Beat;;;;;;;;;;54.0
o;;;Jusufi Azret;;;;;;;;8.5
+;5;8.5;Niggli Andreas;;27;34.25;5;8.5;0;0.0;10.0
o;5;18.5;Kropf Marcel;**;2;58.5;5;18.5;0;0.0;8.5
+;10;27.0;Bader Fabian (2000);;15;54.5;10;27.0;0;0.0;9.75
o;10;36.75;Anderegg David;*;15;54.5;13;36.0;3;-0.75;8.5
-;14;45.25;Wilhelm Manuel;;18;53.75;15;45.0;1;-0.25;8.75

17c;Bader Stefan (1999);;;;;;;;;;54.0
o;;;Leu Dominik (1999);;;;;;;;8.5
+;5;8.5;Reinhard Reto (1999);;17;54.0;4;8.75;-1;0.25;10.0
o;5;18.5;Brand Christian;**;8;56.25;6;18.25;1;-0.25;8.5
o;10;27.0;Grieder Nonda (1999);;17;54.0;10;27.0;0;0.0;8.5
o;15;35.5;Loosli Adrian;;18;53.75;15;35.5;0;0.0;8.5
+;19;44.0;Meier Fabian;;22;52.75;18;44.25;-1;0.25;10.0

17d;Grieder Nonda (1999);;;;;;;;;;54.0
+;;;Tschan Raphael (2000);;;;;;;;10.0
o;1;10.0;Schillig Willi;**;15;54.5;4;8.75;3;-1.25;8.5
o;5;18.5;Leu Dominik (1999);;16;54.25;5;18.5;0;0.0;8.5
+;10;27.0;Bader Stefan (1999);;17;54.0;10;27.0;0;0.0;10.0
o;9;37.0;Hügli Kaj;*;13;55.0;11;36.5;2;-0.5;8.5
o;13;45.5;Vogt Fredy (2001);;14;54.75;15;45.0;2;-0.5;8.5

17e;Steger Robert;;;;;;;;;;54.0
+;;;Rüegg Benjamin;;;;;;;;10.0
o;1;10.0;Blatter Lorenz;**;4;57.5;3;9.0;2;-1.0;8.5
o;5;18.5;Gabathuler Björn;;14;54.75;6;18.25;1;-0.25;8.5
+;10;27.0;Burkart Simon;;24;35.25;11;26.75;1;-0.25;10.0
o;9;37.0;Erb Roger;**;4;57.5;7;37.5;-2;0.5;8.5
o;13;45.5;Lisser Beat;;14;54.75;15;45.0;2;-0.5;8.5

18a;Rüegg Benjamin;;;;;;;;;;53.75
o;;;Steger Robert;;;;;;;;8.5
o;5;8.5;Bruder Adrian;;11;55.5;4;8.75;-1;0.25;8.5
+;10;17.0;Nussbaumer Dominik;;28;34.0;10;17.0;0;0.0;9.75
+;11;26.75;Dettwiler Patrick;;27;34.25;15;25.75;4;-1.0;10.0
o;10;36.75;Küng Marco;*;12;55.25;10;36.75;0;0.0;8.5
o;14;45.25;Müller Jan;;14;54.75;15;45.0;1;-0.25;8.5

18b;Nyffeler Christoph;*;;;;;;;;;53.75
-;;;Winiger Fabian;**;;;;;;;8.75
-;4;8.75;Läuchli Janik (2000);;10;55.75;1;10.0;-3;1.25;8.75
-;8;17.5;Müller Simon;;14;54.75;4;18.75;-4;1.25;9.0
+;12;26.5;Binggeli Silvan (1999);;20;53.25;8;27.5;-4;1.0;10.0
-;11;36.5;Mangold Martin;;15;54.5;9;37.0;-2;0.5;8.75
o;14;45.25;Bieli Andreas;;10;55.75;12;45.75;-2;0.5;8.5

18c;Loosli Adrian;;;;;;;;;;53.75
o;;;Imobersteg Matthias (2001);;;;;;;;8.5
o;5;8.5;Vogt Fredy (2001);;14;54.75;5;8.5;0;0.0;8.5
+;10;17.0;Dettwiler Patrick;;27;34.25;9;17.25;-1;0.25;10.0
o;10;27.0;Bader Andreas;**;11;55.5;9;27.25;-1;0.25;8.5
+;15;35.5;Bader Stefan (1999);;17;54.0;15;35.5;0;0.0;9.75
o;14;45.25;Studer Remo;;14;54.75;15;45.0;1;-0.25;8.5

18d;Reinhard Pirmin (2001);;;;;;;;;;53.75
-;;;Bachmann Sämi (2001);;;;;;;;8.75
o;4;8.75;Grossmann Andreas;;15;54.5;5;8.5;1;-0.25;8.5
+;9;17.25;Regenass Reto (2000);;21;53.0;8;17.5;-1;0.25;9.75
o;10;27.0;Probst Gabriel;**;11;55.5;10;27.0;0;0.0;8.5
+;15;35.5;Ris Jörn;;23;52.5;15;35.5;0;0.0;9.75
o;14;45.25;Lisser Daniel;*;14;54.75;16;44.75;2;-0.5;8.5

18e;Widmer Dino;;;;;;;;;;53.75
-;;;Bearda Samuel;;;;;;;;8.75
+;4;8.75;Huber Pascal;;28;34.0;5;8.5;1;-0.25;10.0
o;4;18.75;Winiger Fabian;**;10;55.75;5;18.5;1;-0.25;8.5
-;9;27.25;Lisser Beat;;14;54.75;8;27.5;-1;0.25;8.75
-;13;36.0;Studer Remo;;14;54.75;13;36.0;0;0.0;9.0
-;15;45.0;Stoll Thomas;;19;53.5;16;44.75;1;-0.25;8.75

18f;Wilhelm Manuel;;;;;;;;;;53.75
o;;;Kohler Adrian;;;;;;;;8.5
+;5;8.5;Dettwiler Patrick;;27;34.25;4;8.75;-1;0.25;9.75
+;6;18.25;Vogt Fredy (2001);;14;54.75;6;18.25;0;0.0;9.75
o;6;28.0;Hauri Urs;**;6;56.75;4;28.5;-2;0.5;8.5
o;11;36.5;Schmutz Adrian;*;10;55.75;13;36.0;2;-0.5;8.5
-;15;45.0;Regenass Beat;;17;54.0;14;45.25;-1;0.25;8.75

19a;Stoll Thomas;;;;;;;;;;53.5
o;;;Krebs Clemens;;;;;;;;8.5
+;5;8.5;Meier Fabian;;22;52.75;5;8.5;0;0.0;9.75
o;6;18.25;Küng Marco;*;12;55.25;10;17.0;4;-1.25;8.75
-;10;27.0;Dobler Florian;;14;54.75;10;27.0;0;0.0;8.75
-;14;35.75;Grossmann Andreas;;15;54.5;15;35.5;1;-0.25;9.0
-;16;44.75;Widmer Dino;;18;53.75;15;45.0;-1;0.25;8.75

19b;Aebi Roger;;;;;;;;;;53.5
-;;;Jusufi Ilber;;;;;;;;8.75
+;4;8.75;Büttler Gian (2000);;16;54.25;3;9.0;-1;0.25;10.0
-;4;18.75;Stoll Simon;*;16;54.25;5;18.5;1;-0.25;8.75
o;8;27.5;Kohler Adrian;;14;54.75;6;28.0;-2;0.5;8.5
-;13;36.0;Widmer David;;15;54.5;13;36.0;0;0.0;8.75
-;16;44.75;Traub Manuel;;20;53.25;17;44.5;1;-0.25;8.75

20a;Traub Manuel;;;;;;;;;;53.25
+;;;Huber Pascal;;;;;;;;10.0
o;1;10.0;Winiger Fabian;**;10;55.75;4;8.75;3;-1.25;8.5
o;5;18.5;Rüegger Aaron (1999);;11;55.5;4;18.75;-1;0.25;8.5
-;10;27.0;De Fusco Dario;;14;54.75;10;27.0;0;0.0;9.0
o;13;36.0;Dobler Florian;;14;54.75;13;36.0;0;0.0;8.5
-;17;44.5;Aebi Roger;;19;53.5;16;44.75;-1;0.25;8.75

20b;Binggeli Silvan (1999);;;;;;;;;;53.25
o;;;Eggen Markus;;;;;;;;8.5
-;5;8.5;Vogel Remo (2001);;16;54.25;5;8.5;0;0.0;9.0
+;8;17.5;Brändli Kevin;;26;34.5;8;17.5;0;0.0;10.0
o;8;27.5;Nyffeler Christoph;*;18;53.75;12;26.5;4;-1.0;8.5
o;13;36.0;Rohrbach Jérôme (2000);;14;54.75;11;36.5;-2;0.5;8.5
-;17;44.5;Hermann Lukas 1 (2000);;21;53.0;18;44.25;1;-0.25;8.75

20c;Bachmann Sämi (2001);;;;;;;;;;53.25
-;;;Reinhard Pirmin (2001);;;;;;;;8.75
+;4;8.75;Büchi Christian;;30;17.0;5;8.5;1;-0.25;10.0
o;4;18.75;Hermann Oliver;*;10;55.75;5;18.5;1;-0.25;8.5
o;9;27.25;Mangold Martin;;15;54.5;9;27.25;0;0.0;8.5
o;14;35.75;Bruder Adrian;;11;55.5;14;35.75;0;0.0;8.75
o;17;44.5;Widmer David;;15;54.5;17;44.5;0;0.0;8.75

21a;Lüscher Ivan (2001);;;;;;;;;;53.0
-;;;Reinhard Reto (1999);;;;;;;;8.75
o;4;8.75;Graber Colin;;12;55.25;5;8.5;1;-0.25;8.5
+;9;17.25;Huber Pascal;;28;34.0;10;17.0;1;-0.25;9.75
o;10;27.0;Küng Marco;*;12;55.25;10;27.0;0;0.0;8.5
-;15;35.5;Hermann Lukas 1 (2000);;21;53.0;15;35.5;0;0.0;9.0
o;17;44.5;Reimann Marco;;11;55.5;13;45.5;-4;1.0;8.5

21b;Hermann Lukas 1 (2000);;;;;;;;;;53.0
o;;;Schaub Reto (2000);;;;;;;;8.5
o;5;8.5;Ris Jörn;;23;52.5;5;8.5;0;0.0;8.5
o;10;17.0;Eggenschwiler Fabian;;16;54.25;10;17.0;0;0.0;8.5
+;16;25.5;Tschan Raphael (2000);;27;34.25;15;25.75;-1;0.25;10.0
-;15;35.5;Lüscher Ivan (2001);;21;53.0;15;35.5;0;0.0;8.75
-;18;44.25;Binggeli Silvan (1999);;20;53.25;17;44.5;-1;0.25;8.75

21c;Imobersteg Tobias;;;;;;;;;;53.0
o;;;Müller Jan;;;;;;;;8.5
-;5;8.5;Regenass Reto (2000);;21;53.0;4;8.75;-1;0.25;8.75
-;9;17.25;Schwegler Dominik;;26;34.5;10;17.0;1;-0.25;8.75
+;14;26.0;Nussbaumer Dominik;;28;34.0;16;25.5;2;-0.5;10.0
o;13;36.0;Arnold Kornel;*;13;55.0;12;36.25;-1;0.25;8.5
o;17;44.5;Vogel Remo (2001);;16;54.25;17;44.5;0;0.0;8.5

21d;Schwenkfelder Lukas;;;;;;;;;;53.0
o;;;Mathys Tobias;;;;;;;;8.5
-;5;8.5;Bearda Samuel;;26;34.5;4;8.75;-1;0.25;8.75
+;9;17.25;Brack Simon;;22;52.75;9;17.25;0;0.0;10.0
o;9;27.25;Odermatt Adrian (2001);*;11;55.5;14;26.0;5;-1.25;8.5
-;14;35.75;Büttler Adrian (1999);;16;54.25;14;35.75;0;0.0;8.75
o;17;44.5;Büttler Gian (2000);;16;54.25;17;44.5;0;0.0;8.5

21e;Regenass Reto (2000);;;;;;;;;;53.0
-;;;Brack Simon;;;;;;;;8.75
-;4;8.75;Imobersteg Tobias;;21;53.0;5;8.5;1;-0.25;8.75
o;8;17.5;Reinhard Pirmin (2001);;18;53.75;9;17.25;1;-0.25;8.5
+;14;26.0;Brändli Kevin;;26;34.5;14;26.0;0;0.0;10.0
o;13;36.0;Bieli Andreas;;10;55.75;14;35.75;1;-0.25;8.5
o;17;44.5;Büttler Adrian (1999);;16;54.25;17;44.5;0;0.0;8.5

22a;Brack Simon;;;;;;;;;;52.75
-;;;Regenass Reto (2000);;;;;;;;8.75
o;4;8.75;Rohrbach Jérôme (2000);;14;54.75;5;8.5;1;-0.25;8.5
o;9;17.25;Schwenkfelder Lukas;;21;53.0;9;17.25;0;0.0;8.5
+;15;25.75;Niggli Andreas;;27;34.25;15;25.75;0;0.0;10.0
o;14;35.75;Eggenschwiler Fabian;;16;54.25;14;35.75;0;0.0;8.5
o;18;44.25;Grossmann Andreas;;15;54.5;17;44.5;-1;0.25;8.5

22b;Meier Fabian;;;;;;;;;;52.75
o;;;Burkart Simon;;;;;;;;8.5
o;5;8.5;Stoll Thomas;;19;53.5;5;8.5;0;0.0;8.5
-;10;17.0;Niggli Andreas;;27;34.25;10;17.0;0;0.0;8.75
+;15;25.75;Kaiser Elias;;24;35.25;11;26.75;-4;1.0;10.0
o;14;35.75;Odermatt Adrian (2001);*;11;55.5;14;35.75;0;0.0;8.5
o;18;44.25;Bader Stefan (1999);;17;54.0;19;44.0;1;-0.25;8.5

23a;Ris Jörn;;;;;;;;;;52.5
o;;;Reimann Marco;;;;;;;;8.5
+;5;8.5;Hermann Lukas 1 (2000);;21;53.0;5;8.5;0;0.0;9.75
o;6;18.25;Steinmann Yves;*;10;55.75;9;17.25;3;-1.0;8.5
-;11;26.75;Schwegler Dominik;;26;34.5;15;25.75;4;-1.0;8.75
o;15;35.5;Reinhard Pirmin (2001);;18;53.75;15;35.5;0;0.0;8.5
o;19;44.0;Reinhard Reto (1999);;17;54.0;19;44.0;0;0.0;8.5

24a;Burkart Simon;;;;;;;;;;35.25
+;;;Meier Fabian;;;;;;;;9.75
o;2;9.75;Moser Matthias;*;15;54.5;4;8.75;2;-1.0;8.5
o;6;18.25;Schmutz Simon (2000);;16;54.25;4;18.75;-2;0.5;8.5
o;11;26.75;Steger Robert;;17;54.0;10;27.0;-1;0.25;8.5

24b;Schaub Reto (2000);;;;;;;;;;35.25
+;;;Hermann Lukas 1 (2000);;;;;;;;9.75
o;2;9.75;Mangold Michael;*;10;55.75;4;8.75;2;-1.0;8.5
o;6;18.25;Aerni Lars;;13;55.0;5;18.5;-1;0.25;8.5
o;11;26.75;Müller Jan;;14;54.75;11;26.75;0;0.0;8.5

24c;Müller Christian;;;;;;;;;;35.25
+;;;Vogt Patrick (1999);;;;;;;;9.75
o;2;9.75;Bader Andreas;**;11;55.5;4;8.75;2;-1.0;8.5
o;6;18.25;Schmutz Adrian;*;10;55.75;8;17.5;2;-0.75;8.5
o;11;26.75;Büttler Gian (2000);;16;54.25;13;26.25;2;-0.5;8.5

24d;Kaiser Elias;;;;;;;;;;35.25
o;;;Aerni Lars;;;;;;;;8.5
+;5;8.5;Nussbaumer Dominik;;28;34.0;5;8.5;0;0.0;9.75
o;6;18.25;Graber Colin;;12;55.25;6;18.25;0;0.0;8.5
o;11;26.75;Meier Fabian;;22;52.75;15;25.75;4;-1.0;8.5

25a;Jusufi Ilber;;;;;;;;;;34.75
-;;;Aebi Roger;;;;;;;;8.75
-;4;8.75;Bader Fabian (2000);;15;54.5;2;9.75;-2;1.0;8.75
o;8;17.5;Zürcher Remo;*;9;56.0;8;17.5;0;0.0;8.5
-;14;26.0;Bieli Andreas;;10;55.75;10;27.0;-4;1.0;8.75

26a;Brändli Kevin;;;;;;;;;;34.5
-;;;Dettwiler Patrick;;;;;;;;8.75
-;4;8.75;Tschan Raphael (2000);;27;34.25;5;8.5;1;-0.25;8.75
o;8;17.5;Binggeli Silvan (1999);;20;53.25;8;17.5;0;0.0;8.5
o;14;26.0;Regenass Reto (2000);;21;53.0;14;26.0;0;0.0;8.5

26b;Bearda Samuel;;;;;;;;;;34.5
-;;;Widmer Dino;;;;;;;;8.75
-;4;8.75;Schwenkfelder Lukas;;21;53.0;5;8.5;1;-0.25;8.75
o;8;17.5;Waldner Patrick;**;11;55.5;5;18.5;-3;1.0;8.5
o;14;26.0;Büttler Adrian (1999);;16;54.25;15;25.75;1;-0.25;8.5

26c;Schwegler Dominik;;;;;;;;;;34.5
o;;;Studer Remo;;;;;;;;8.5
o;5;8.5;Bieli Andreas;;10;55.75;5;8.5;0;0.0;8.5
-;10;17.0;Imobersteg Tobias;;21;53.0;9;17.25;-1;0.25;8.75
-;15;25.75;Ris Jörn;;23;52.5;11;26.75;-4;1.0;8.75

26d;Bieri Florian (2001);;;;;;;;;;34.5
o;;;Gisin Yanic;;;;;;;;8.5
o;5;8.5;Schmutz Simon (2000);;16;54.25;4;8.75;-1;0.25;8.5
