3077-2016-06-19_101_Basellandschaftliches_Kantonalschwingfest-ST

1a;Erb Roger;**;;;;;;;;;58.75
+;8;18.0;Roth Christian;;15;54.25;6;18.5;-2;0.5;10.0
+;5;28.0;Körkel Yannik;;17;53.75;5;28.0;0;0.0;10.0
-;4;38.0;Kropf Marcel;**;10;55.5;3;38.25;-1;0.25;8.75
+;8;46.75;Hermann Oliver;*;11;55.25;8;46.75;0;0.0;10.0

6a;Waldner Patrick;**;;;;;;;;;56.5
+;;;Stegmüller Klemens;*;;;;;;;9.75
o;2;9.75;Strebel Joel;**;23;47.0;2;9.75;0;0.0;8.5
+;7;18.25;Schwander Kilian;;11;55.25;6;18.5;-1;0.25;10.0
+;4;28.25;Schwyn Adrian;;17;53.75;4;28.25;0;0.0;10.0
o;3;38.25;Thürig Mario;***;3;57.25;6;37.5;3;-0.75;8.5
+;8;46.75;Burren Patrick (1999);;12;55.0;9;46.5;1;-0.25;9.75

6b;Henzer Andreas;**;;;;;;;;;56.5
-;;;Vollenweider Jeremy (1998);*;;;;;;;9.0
+;3;9.0;Schär Simon;*;9;55.75;5;8.5;2;-0.5;10.0
+;4;19.0;Burren Patrick (1999);;12;55.0;2;19.75;-2;0.75;10.0
-;1;29.0;Thürig Mario;***;3;57.25;2;28.75;1;-0.25;8.75
+;5;37.75;Steinmann Yves;*;7;56.25;5;37.75;0;0.0;10.0
-;4;47.75;Schmid David;**;6;56.5;5;47.5;1;-0.25;8.75

6c;Schmid David;**;;;;;;;;;56.5
-;;;Bieri Christoph;***;;;;;;;8.75
+;4;8.75;Widmer Tobias;**;10;55.5;5;8.5;1;-0.25;9.75
+;6;18.5;Büttler Adrian (1999);;10;55.5;5;18.75;-1;0.25;10.0
+;3;28.5;Dobler Florian;;14;54.5;3;28.5;0;0.0;10.0
-;2;38.5;Brand Christian;**;2;57.5;2;38.5;0;0.0;9.0
-;5;47.5;Henzer Andreas;**;6;56.5;4;47.75;-1;0.25;9.0

6d;Studinger Stephan;**;;;;;;;;;56.5
+;;;Bader Andreas;*;;;;;;;10.0
+;1;10.0;Hauri Urs;**;8;56.0;2;9.75;1;-0.25;9.75
o;2;19.75;Gisler Bruno;***;2;57.5;5;18.75;3;-1.0;8.5
+;4;28.25;Stoll Simon;;6;56.5;5;28.0;1;-0.25;10.0
o;3;38.25;Voggensperger Janic (1998);*;5;56.75;2;38.5;-1;0.25;8.5
+;8;46.75;Krebs Clemens;;10;55.5;8;46.75;0;0.0;9.75

6e;Stoll Simon;;;;;;;;;;56.5
+;;;Krebs Clemens;;;;;;;;9.75
+;2;9.75;Roth Christian;;15;54.25;1;10.0;-1;0.25;9.75
o;3;19.5;Alpiger Nick;**;3;57.25;5;18.75;2;-0.75;8.5
o;5;28.0;Studinger Stephan;**;6;56.5;4;28.25;-1;0.25;8.5
+;10;36.5;Riesen Ruedi;;25;46.25;10;36.5;0;0.0;10.0
+;9;46.5;Arnold Kornel;*;25;46.25;10;46.25;1;-0.25;10.0

7a;Steinmann Yves;*;;;;;;;;;56.25
o;;;Gschwind Michael;**;;;;;;;8.5
+;5;8.5;von Arx Christian;*;11;55.25;5;8.5;0;0.0;9.75
+;7;18.25;Büttler Gian (2000);;27;35.5;6;18.5;-1;0.25;9.75
+;5;28.0;Brügger Cyrill (1998);;24;46.75;3;28.5;-2;0.5;9.75
o;5;37.75;Henzer Andreas;**;6;56.5;5;37.75;0;0.0;8.5
+;10;46.25;Brügger Joël (2000);;12;55.0;9;46.5;-1;0.25;10.0

7b;Stüdeli Thomas;**;;;;;;;;;56.25
-;;;Döbeli Lukas (2000);*;;;;;;;8.75
-;4;8.75;Vollenweider Jeremy (1998);*;5;56.75;3;9.0;-1;0.25;9.0
+;9;17.75;Bearda Samuel;;14;54.5;6;18.5;-3;0.75;10.0
+;6;27.75;Läuchli Janik (2000);;19;53.25;7;27.5;1;-0.25;10.0
o;5;37.75;Klausner Yanick;**;5;56.75;7;37.25;2;-0.5;8.5
+;10;46.25;Mangold Michael;;14;54.5;11;46.0;1;-0.25;10.0

8a;Hauri Urs;**;;;;;;;;;56.0
+;;;Winiger Fabian;**;;;;;;;9.75
o;2;9.75;Studinger Stephan;**;6;56.5;1;10.0;-1;0.25;8.5
+;7;18.25;Schär Jonas (1999);;16;54.0;6;18.5;-1;0.25;10.0
-;4;28.25;Mangold Michael;;14;54.5;4;28.25;0;0.0;9.0
+;7;37.25;Jusufi Azret;;9;55.75;7;37.25;0;0.0;10.0
o;6;47.25;Thürig Mario;***;3;57.25;5;47.5;-1;0.25;8.75

8b;Schmid Samuel;**;;;;;;;;;56.0
-;;;Huber Cédric;**;;;;;;;8.75
-;4;8.75;Löw Christophe;**;11;55.25;4;8.75;0;0.0;9.0
+;9;17.75;Widmer Cyrill (1998);;14;54.5;5;18.75;-4;1.0;9.75
+;7;27.5;Schmutz Simon (2000);;19;53.25;8;27.25;1;-0.25;9.75
+;7;37.25;von Arx Christian;*;11;55.25;8;37.0;1;-0.25;9.75
-;7;47.0;Hasler Manuel;*;4;57.0;6;47.25;-1;0.25;9.0

9a;Rüegger Aaron (1999);;;;;;;;;;55.75
-;;;Regenass Beat;;;;;;;;8.75
+;4;8.75;Nussbaumer Gabriel;;27;35.5;4;8.75;0;0.0;9.75
o;6;18.5;Löw Christophe;**;11;55.25;9;17.75;3;-0.75;8.75
-;8;27.25;Widmer Cyrill (1998);;14;54.5;8;27.25;0;0.0;8.75
+;12;36.0;Fritz Christian;;17;53.75;10;36.5;-2;0.5;9.75
+;12;45.75;Lisser Beat;;16;54.0;13;45.5;1;-0.25;10.0

9b;Schaffner Samuel;**;;;;;;;;;55.75
o;;;Brand Christian;**;;;;;;;8.5
