2496-2015-06-28_120_Nordostschweizer_Schwingfest-ST

1a;Rhyner Michael;**;;;;;;;;;58.5
+;11;46.0;Sprecher Sandro;*;17;54.0;13;45.5;2;-0.5;9.75

10h;Notz Beni;***;;;;;;;;;55.75
o;;;Orlik Armon;**;;;;;;;8.75
+;3;8.75;Oertig Dominik;*;12;55.25;2;9.75;-1;1.0;10.0
+;4;18.75;Knechtle Martin;**;7;56.5;3;19.5;-1;0.75;10.0
o;3;28.75;Bösch Daniel;***;2;57.75;4;28.5;1;-0.25;8.5
o;8;37.25;Wickli Beat;*;6;56.75;4;38.25;-4;1.0;8.5
+;12;45.75;Rüegg Roman;*;12;55.25;8;46.75;-4;1.0;10.0

10i;Steiner Michael;**;;;;;;;;;55.75
+;;;Meier Remo;**;;;;;;;10.0
o;1;10.0;Thoenen Henryc;**;6;56.75;3;8.75;2;-1.25;8.5
+;5;18.5;Bänziger Peter;;11;55.5;3;19.5;-2;1.0;10.0
+;4;28.5;Baumann Rico;*;16;54.25;5;28.25;1;-0.25;9.75
o;4;38.25;Büsser Andy;***;5;57.0;7;37.5;3;-0.75;8.5
-;8;46.75;Battaglia Ursin;**;7;56.5;4;47.75;-4;1.0;9.0

10j;Zbinden Marc;*;;;;;;;;;55.75
-;;;Vogel Beat;*;;;;;;;8.75
o;3;8.75;Eugster Ruedi;**;4;57.25;3;8.75;0;0.0;8.5
+;8;17.25;Wild Stefan;;18;53.75;5;18.5;-3;1.25;10.0
+;8;27.25;Büsser André;;24;35.25;10;26.75;2;-0.5;9.75
-;9;37.0;Bernold Christian;*;13;55.0;6;37.75;-3;0.75;8.75
+;12;45.75;Hofstetter Manuel;*;17;54.0;13;45.5;1;-0.25;10.0

10k;Gwerder Andreas;**;;;;;;;;;55.75
o;;;Knechtle Martin;**;;;;;;;8.5
-;4;8.5;Elmer Daniel;*;13;55.0;2;9.75;-2;1.25;9.0
+;7;17.5;Meier Remo;**;28;34.0;9;17.0;2;-0.5;10.0
+;7;27.5;Inauen Andreas;*;11;55.5;8;27.25;1;-0.25;9.75
+;8;37.25;Sprecher Sandro;*;17;54.0;9;37.0;1;-0.25;9.75
-;7;47.0;Fässler Andreas;**;7;56.5;5;47.5;-2;0.5;8.75

10l;Zwyssig Raphael;***;;;;;;;;;55.75
-;;;Thoenen Henryc;**;;;;;;;8.75
+;3;8.75;Bösch Roman;**;10;55.75;1;10.0;-2;1.25;10.0
+;4;18.75;Reber Marcel;*;11;55.5;5;18.5;1;-0.25;10.0
o;3;28.75;Scheuber Lutz;**;6;56.75;2;29.75;-1;1.0;8.5
o;8;37.25;Rhyner Michael;**;1;58.5;3;38.5;-5;1.25;8.5
+;12;45.75;Bickel Stefan;*;12;55.25;8;46.75;-4;1.0;10.0

10m;Dörig Erich;;;;;;;;;;55.75
+;;;Schönenberger Björn;;;;;;;;10.0
o;1;10.0;Vestner Roman;*;17;54.0;4;8.5;3;-1.5;8.5
-;5;18.5;Jud Pirmin;*;17;54.0;6;18.25;1;-0.25;8.75
+;8;27.25;Roth Ruedi (1997);;24;35.25;10;26.75;2;-0.5;10.0
+;8;37.25;Coray Beda;*;13;55.0;11;36.5;3;-0.75;10.0
o;6;47.25;Orlik Armon;**;3;57.5;5;47.5;-1;0.25;8.5

11a;Guisolan Marc;**;;;;;;;;;55.5
o;;;Burkhalter Stefan;***;;;;;;;8.5
+;4;8.5;Raymann David;;20;53.25;1;10.0;-3;1.5;10.0
+;5;18.5;Gmür Pirmin;*;12;55.25;5;18.5;0;0.0;10.0
-;4;28.5;Clopath Beat;***;5;57.0;5;28.25;1;-0.25;8.75
o;8;37.25;Vestner Bruno;*;10;55.75;8;37.25;0;0.0;8.5
+;12;45.75;Vestner Roman;*;17;54.0;13;45.5;1;-0.25;9.75

11b;Schudel Simon;;;;;;;;;;55.5
o;;;Pfister Florian;;;;;;;;8.5
+;4;8.5;Roth Peter (1998);;27;34.25;4;8.5;0;0.0;10.0
-;5;18.5;Bäbler Dominik;*;15;54.5;8;17.25;3;-1.25;8.75
o;8;27.25;Kid Simon;**;12;55.25;9;27.0;1;-0.25;8.5
+;14;35.75;Oertig Simon;;21;53.0;14;35.75;0;0.0;9.75
+;13;45.5;Burkhard Patrick;*;17;54.0;13;45.5;0;0.0;10.0

11c;Schmid Patrick (1997);;;;;;;;;;55.5
+;;;Wild Stefan;;;;;;;;10.0
o;1;10.0;Wey Nicola;*;12;55.25;4;8.5;3;-1.5;8.5
-;5;18.5;Kammermann Thomas;*;12;55.25;6;18.25;1;-0.25;8.75
-;8;27.25;Akeret Benno;*;18;53.75;6;28.0;-2;0.75;8.75
+;13;36.0;Scherrer Willi;;21;53.0;14;35.75;1;-0.25;9.75
+;12;45.75;Truniger Manuel;;16;54.25;12;45.75;0;0.0;9.75

11d;Gapany Benjamin;**;;;;;;;;;55.5
o;;;Giger Samuel (1998);**;;;;;;;8.5
