2777-2017-06-25_122_Nordostschweizer_Schwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.5
o;3;9.0;Dumelin David;*;12;55.5;4;8.75;1;-0.25;8.5
+;8;17.5;Bollhalder Manuel (2001);;26;35.5;6;18.5;-2;1.0;10.0
+;8;27.5;Odermatt Christoph;*;14;55.0;6;28.0;-2;0.5;9.75
o;8;37.25;Bernold Christian;**;8;56.5;7;37.5;-1;0.25;8.75
+;12;46.0;Rüegg Fabian;*;18;54.0;14;45.5;2;-0.5;9.75

11m;Ammann Rico;*;;;;;;;;;55.75
+;;;Ott Damian (2000);*;;;;;;;9.75
-;2;9.75;Cardinaux Victor;**;5;57.25;5;8.5;3;-1.25;9.0
+;5;18.75;Biäsch Christian;*;11;55.75;6;18.5;1;-0.25;10.0
o;3;28.75;Zwyssig Raphael;***;7;56.75;5;28.25;2;-0.5;8.5
+;8;37.25;Gerig Marcel;;19;53.75;10;36.75;2;-0.5;10.0
o;7;47.25;Forrer Arnold;***;4;57.5;6;47.5;-1;0.25;8.5

11n;Schnurrenberger Roman;**;;;;;;;;;55.75
+;;;Coray Beda;*;;;;;;;10.0
o;1;10.0;Anderegg Simon;***;6;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Inauen Andreas;*;17;54.25;6;18.5;0;0.0;9.75
+;5;28.25;Pfiffner Ivo;;15;54.75;4;28.5;-1;0.25;10.0
o;4;38.25;Oertig Dominik;**;6;57.0;4;38.25;0;0.0;8.5
-;9;46.75;Schlegel Sandro;**;9;56.25;7;47.25;-2;0.5;9.0

11o;Ott Dominik;*;;;;;;;;;55.75
-;;;Rüegg Roman;*;;;;;;;8.75
+;4;8.75;Aebli Nino (2000);;26;35.5;1;10.0;-3;1.25;10.0
o;5;18.75;Rychen Roger;***;6;57.0;6;18.5;1;-0.25;8.5
+;9;27.25;Weber Erwin (2000);;26;35.5;10;27.0;1;-0.25;10.0
+;8;37.25;Vestner Bruno;*;18;54.0;9;37.0;1;-0.25;9.75
o;8;47.0;Coray Beda;*;7;56.75;9;46.75;1;-0.25;8.75

11p;Bühler Hannes;*;;;;;;;;;55.75
-;;;Eugster Ruedi;**;;;;;;;8.75
