2805-2015-04-26_Fete_cantonale_Fribourgeoise-ST

1a;Sempach Matthias;***;;;;;;;;;59.5
+;14;36.0;Vonlanthen Alexandre;;15;54.5;14;36.0;0;0.0;10.0
+;11;46.0;Pharisa Loic;;15;54.5;11;46.0;0;0.0;9.75

10c;Berset Julien;*;;;;;;;;;55.75
-;;;Barras David;*;;;;;;;9.0
+;3;9.0;Rossy Yannick;;13;55.0;2;9.75;-1;0.75;9.75
+;5;18.75;Berger Alan (1998);;30;35.5;6;18.5;1;-0.25;10.0
o;3;28.75;Häni William;**;6;56.75;4;28.5;1;-0.25;8.5
+;9;37.25;Wicky Jonathan;;27;45.25;11;36.75;2;-0.5;10.0
o;6;47.25;von Büren Stephan;*;6;56.75;7;47.0;1;-0.25;8.5

11a;Piemontesi Pascal;**;;;;;;;;;55.5
-;;;Brodard Simon;**;;;;;;;8.75
+;4;8.75;Ducrest Etienne (1998);;29;36.5;2;9.75;-2;1.0;10.0
-;5;18.75;Käser Remo;**;2;57.75;3;19.5;-2;0.75;8.75
+;8;27.5;Ducrest Romain;;11;55.5;4;28.5;-4;1.0;9.75
+;9;37.25;Mauron Olivier;*;7;56.5;5;38.25;-4;1.0;9.75
o;7;47.0;Kropf Thomas;*;6;56.75;7;47.0;0;0.0;8.5

11b;Heiniger Vincent;*;;;;;;;;;55.5
o;;;Overney Olivier;*;;;;;;;8.5
+;5;8.5;Riedo Fredy;;14;54.75;1;10.0;-4;1.5;10.0
o;6;18.5;Borcard Johann;*;9;56.0;5;18.75;-1;0.25;8.5
+;10;27.0;Vonlanthen Alexandre;;15;54.5;8;27.5;-2;0.5;10.0
+;10;37.0;Ducrest Romain;;11;55.5;10;37.0;0;0.0;10.0
o;7;47.0;Moser Steven;**;5;57.0;7;47.0;0;0.0;8.5

11c;Ducrest Romain;;;;;;;;;;55.5
+;;;Fuchs Yannick (1998);;;;;;;;10.0
o;1;10.0;Loup Alexandre (1997);;26;45.5;2;9.75;1;-0.25;8.5
+;6;18.5;Schöpfer Dio (1997);;12;55.25;6;18.5;0;0.0;10.0
o;4;28.5;Piemontesi Pascal;**;11;55.5;8;27.5;4;-1.0;8.5
o;10;37.0;Heiniger Vincent;*;11;55.5;10;37.0;0;0.0;8.5
+;13;45.5;Dubey Gaël;;17;54.0;13;45.5;0;0.0;10.0

11d;Kilchoer Alain;;;;;;;;;;55.5
o;;;Schwander Severin;;;;;;;;8.5
+;5;8.5;Leuenberger Marc;;14;54.75;4;8.75;-1;0.25;10.0
-;6;18.5;Schafer Claudio;*;16;54.25;10;17.25;4;-1.25;8.75
+;9;27.25;Ruch Florian (1997);;22;52.75;9;27.25;0;0.0;9.75
o;10;37.0;Droxler Jonathan;*;12;55.25;10;37.0;0;0.0;8.5
+;13;45.5;Rohrbach Sylvain (1997);;16;54.25;13;45.5;0;0.0;10.0

11e;Ducry Antoine;;;;;;;;;;55.5
+;;;Crettaz Olivier;;;;;;;;9.75
-;2;9.75;Matthey Mickaël;**;28;44.75;5;8.5;3;-1.25;8.75
+;6;18.5;Dorsaz Théo (1998);;31;35.25;7;18.25;1;-0.25;10.0
o;4;28.5;Gottofrey Marc;*;5;57.0;8;27.5;4;-1.0;8.75
o;9;37.25;Gothuey Jean-Pierre;*;12;55.25;11;36.75;2;-0.5;8.5
+;12;45.75;Buchs Julien (1999);;17;54.0;13;45.5;1;-0.25;9.75

11f;Hayoz Quentin;;;;;;;;;;55.5
o;;;Duplan Steve (1997);;;;;;;;8.75
+;4;8.75;Arnold Christian;;30;35.5;5;8.5;1;-0.25;10.0
o;5;18.75;Häni William;**;6;56.75;5;18.75;0;0.0;8.5
+;9;27.25;Blanchard Benjamin (1997);;22;52.75;9;27.25;0;0.0;10.0
o;9;37.25;Dind Samuel;**;7;56.5;11;36.75;2;-0.5;8.5
+;12;45.75;Chèvre Bernard;;16;54.25;12;45.75;0;0.0;9.75

11g;Derron Cédric;*;;;;;;;;;55.5
o;;;Cropt Harald;**;;;;;;;8.5
+;5;8.5;Schwander Severin;;12;55.25;2;9.75;-3;1.25;9.75
+;7;18.25;Skryapnik Oleg;;13;55.0;6;18.5;-1;0.25;9.75
