3261-2016-05-08_93_Schwyzer_Kant_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;*;;;;;;;;;113.0
o;6;28.5;Kälin Roland;**;9;56.0;7;28.25;1;-0.25;8.5
+;10;37.0;Schindler Thomas;;17;54.0;10;37.0;0;0.0;9.75
-;10;46.75;Kälin Remo;*;13;55.0;12;46.25;2;-0.5;8.75

11g;Betschart Daniel;;;;;;;;;;55.5
+;;;Egli Christian;;;;;;;;9.75
+;4;9.75;Suter Beat;;16;54.25;3;10.0;-1;0.25;9.75
-;5;19.5;Egli Pirmin;**;11;55.5;8;18.5;3;-1.0;8.75
o;7;28.25;Betschart Rainer;**;8;56.25;9;27.75;2;-0.5;8.5
+;11;36.75;Schnyder Christian;;18;53.75;11;36.75;0;0.0;10.0
-;10;46.75;Kennel Beat;*;14;54.75;13;46.0;3;-0.75;8.75

11h;Bürgler Lukas;;;;;;;;;;55.5
-;;;Waser Reto;*;;;;;;;8.75
o;6;8.75;Betschart Remo;**;5;57.0;6;8.75;0;0.0;8.5
+;13;17.25;Gwerder Dominik;;14;54.75;8;18.5;-5;1.25;10.0
+;11;27.25;Mächler Thomas;;17;54.0;8;28.0;-3;0.75;9.75
+;10;37.0;Betschart Michael;;12;55.25;11;36.75;1;-0.25;10.0
o;9;47.0;Imhof Andi;***;5;57.0;9;47.0;0;0.0;8.5

11i;Hegner Ueli (1999);;;;;;;;;;55.5
+;;;Gabriel Christian (2000);;;;;;;;9.75
+;4;9.75;Greter Daniel;;22;52.75;3;10.0;-1;0.25;9.75
o;5;19.5;Bieri Christian;*;11;55.5;8;18.5;3;-1.0;8.5
o;8;28.0;Elsener Adrian;**;10;55.75;10;27.5;2;-0.5;8.5
-;12;36.5;Zimmermann Armin;;19;53.5;14;36.0;2;-0.5;9.0
+;15;45.5;Durrer Fabian (1999);;17;54.0;15;45.5;0;0.0;10.0

11j;Diethelm Albert;*;;;;;;;;;55.5
o;;;Zimmermann Daniel;*;;;;;;;8.5
o;7;8.5;Zimmermann Martin;*;2;111.5;2;17.5;-5;9.0;8.5
+;14;17.0;Wiget Ueli (1999);;23;52.5;8;18.5;-6;1.5;10.0
+;12;27.0;Klauser Nico;;16;54.25;12;27.0;0;0.0;9.75
-;11;36.75;Betschart Patrick (1999);;11;55.5;10;37.0;-1;0.25;8.75
+;15;45.5;Hurschler Michael;;18;53.75;16;45.25;1;-0.25;10.0

11k;Betschart Patrick (1999);;;;;;;;;;55.5
o;;;Walker Roger;;;;;;;;8.75
+;6;8.75;Zimmermann Fabian;;18;53.75;7;8.5;1;-0.25;10.0
o;7;18.75;Betschart Rainer;**;8;56.25;10;18.0;3;-0.75;8.5
+;11;27.25;Supper Frederik;;12;55.25;12;27.0;1;-0.25;9.75
-;10;37.0;Diethelm Albert;*;11;55.5;11;36.75;1;-0.25;8.75
+;14;45.75;Huber Alex;;16;54.25;14;45.75;0;0.0;9.75

11l;Egli Pirmin;**;;;;;;;;;55.5
+;;;Gwerder Dario;;;;;;;;9.75
-;4;9.75;Nötzli Bruno;***;4;57.5;4;9.75;0;0.0;8.75
-;8;18.5;Betschart Daniel;;11;55.5;5;19.5;-3;1.0;8.75
+;11;27.25;Grab Martin jun. (1999);;18;53.75;7;28.25;-4;1.0;10.0
o;9;37.25;Schuler Philipp;**;7;56.5;8;37.5;-1;0.25;8.5
+;14;45.75;Reichmuth Roland;;15;54.5;13;46.0;-1;0.25;9.75

11m;Reichmuth Lukas (2000);;;;;;;;;;55.5
+;;;Kälin Marco (2000);;;;;;;;9.75
-;4;9.75;Bürgi Tobias;;15;54.5;4;9.75;0;0.0;9.0
o;7;18.75;Elsener Peter;**;15;54.5;11;17.75;4;-1.0;8.5
o;11;27.25;Elsener Marcel;;16;54.25;11;27.25;0;0.0;8.5
+;15;35.75;Zimmermann Reto (1998);;22;52.75;16;35.5;1;-0.25;9.75
+;15;45.5;Müller Dominik;;16;54.25;15;45.5;0;0.0;10.0

11n;Bucher Christian (1998);;;;;;;;;;55.5
+;;;Hässig Kevin (2000);;;;;;;;9.75
+;4;9.75;Suter Raphael (2000);;27;35.25;4;9.75;0;0.0;10.0
+;4;19.75;Bisig Thomas;**;8;56.25;6;19.0;2;-0.75;9.75
o;3;29.5;Schuler Alex;**;5;57.0;6;28.5;3;-1.0;8.75
o;5;38.25;Nötzli Bruno;***;4;57.5;8;37.5;3;-0.75;8.75
o;9;47.0;Suter Paul;;8;56.25;11;46.5;2;-0.5;8.5

11o;Eﬃnger Markus;*;;;;;;;;;55.5
o;;;Muff Armin;**;;;;;;;8.5
-;7;8.5;Bircher Vital;*;16;54.25;7;8.5;0;0.0;8.75
+;13;17.25;Föhn Michael (1999);;18;53.75;8;18.5;-5;1.25;9.75
-;12;27.0;Bär Leo;;16;54.25;13;26.75;1;-0.25;8.75
+;15;35.75;Baumann Marco;;21;53.0;14;36.0;-1;0.25;10.0
+;14;45.75;Elsener Kilian;;15;54.5;13;46.0;-1;0.25;9.75

11p;Meier Marcel;;;;;;;;;;55.5
o;;;Kessler Joel;;;;;;;;8.5
+;7;8.5;Bingisser Roman;;17;54.0;7;8.5;0;0.0;10.0
o;8;18.5;Heinzer Stefan;*;1;113.0;1;36.5;-7;18.0;8.5
o;12;27.0;Keller Janik;;15;54.5;10;27.5;-2;0.5;8.5
+;16;35.5;Wiget Ueli (1999);;23;52.5;16;35.5;0;0.0;10.0
+;15;45.5;Schindler Thomas;;17;54.0;15;45.5;0;0.0;10.0

11q;Grab Daniel;**;;;;;;;;;55.5
-;;;Kälin Remo;*;;;;;;;8.75
o;6;8.75;Bucher Roland;*;7;56.5;6;8.75;0;0.0;8.5
+;13;17.25;Meier Andreas;;24;44.25;8;18.5;-5;1.25;10.0
+;11;27.25;Walker Roger;;16;54.25;10;27.5;-1;0.25;10.0
+;9;37.25;Elsener Peter;**;15;54.5;9;37.25;0;0.0;9.75
o;9;47.0;Betschart Remo;**;5;57.0;8;47.25;-1;0.25;8.5

11r;Gwerder Michael (2000);;;;;;;;;;55.5
+;;;Huber Alex;;;;;;;;9.75
+;4;9.75;Marty Lukas (1998);;18;53.75;3;10.0;-1;0.25;10.0
o;4;19.75;Schuler Alex;**;5;57.0;7;18.75;3;-1.0;8.5
-;7;28.25;Gwerder Carlo;**;14;54.75;10;27.5;3;-0.75;8.75
+;10;37.0;Inderbitzin Urs;;18;53.75;11;36.75;1;-0.25;9.75
-;10;46.75;Villiger Cyrill;*;10;55.75;9;47.0;-1;0.25;8.75

12a;Reichmuth Marco;*;;;;;;;;;55.25
-;;;Gwerder Carlo;**;;;;;;;9.0
-;5;9.0;Schuler Philipp;**;7;56.5;6;8.75;1;-0.25;8.75
+;11;17.75;Schilter Daniel;;17;54.0;8;18.5;-3;0.75;10.0
+;9;27.75;Betschart Michael;;12;55.25;7;28.25;-2;0.5;10.0
-;7;37.75;Kälin Roland;**;9;56.0;6;38.0;-1;0.25;9.0
o;10;46.75;Heinzer Stefan;*;1;113.0;2;93.25;-8;46.5;8.5

12b;Hurschler Adrian;;;;;;;;;;55.25
+;;;Diethelm Samuel;;;;;;;;9.75
o;4;9.75;Eﬃnger Peter;;13;55.0;4;9.75;0;0.0;8.5
-;9;18.25;Diener Pirmin;*;14;54.75;14;17.0;5;-1.25;8.75
+;12;27.0;Wiget Ueli (1999);;23;52.5;12;27.0;0;0.0;10.0
o;10;37.0;Villiger Cyrill;*;10;55.75;10;37.0;0;0.0;8.5
+;15;45.5;Schilter Daniel;;17;54.0;15;45.5;0;0.0;9.75

12c;Ulrich Pascal (1999);;;;;;;;;;55.25
-;;;Zemp Christian (2000);;;;;;;;8.75
+;6;8.75;Forster Christian;;17;54.0;7;8.5;1;-0.25;9.75
o;8;18.5;Bürgler André;*;12;55.25;12;17.5;4;-1.0;8.5
+;12;27.0;Schmid Pirmin (2000);;27;35.25;13;26.75;1;-0.25;10.0
o;10;37.0;Heinzer Stefan;*;1;113.0;2;73.75;-8;36.75;8.5
+;15;45.5;Grab Martin jun. (1999);;18;53.75;16;45.25;1;-0.25;9.75

12d;Ulrich Marcel;;;;;;;;;;55.25
o;;;Elsener Kilian;;;;;;;;8.5
+;7;8.5;Hässig Kevin (2000);;27;35.25;7;8.5;0;0.0;10.0
o;8;18.5;Zemp Thomas;*;11;55.5;12;17.5;4;-1.0;8.5
+;12;27.0;Elsener Manuel;;15;54.5;11;27.25;-1;0.25;9.75
o;11;36.75;Moos Christoph;;9;56.0;9;37.25;-2;0.5;8.5
+;16;45.25;Schilliger Sven (2000);;18;53.75;16;45.25;0;0.0;10.0

12e;Nauer Robin;;;;;;;;;;55.25
+;;;Föhn Michael (1999);;;;;;;;9.75
+;4;9.75;Suter Ruedi (1998);;16;54.25;3;10.0;-1;0.25;9.75
o;5;19.5;Blaser Theo;*;13;55.0;7;18.75;2;-0.75;8.5
o;8;28.0;Reichmuth Armin;*;9;56.0;11;27.25;3;-0.75;8.5
-;12;36.5;Müller Dominik;;16;54.25;12;36.5;0;0.0;9.0
+;15;45.5;Horner Sämi;;19;53.5;17;45.0;2;-0.5;9.75

12f;Betschart Michael;;;;;;;;;;55.25
+;;;Weber Manuel (1999);;;;;;;;9.75
o;4;9.75;Ulrich Marco;;16;54.25;4;9.75;0;0.0;8.5
+;9;18.25;Rogenmoser Ryan (1999);;12;55.25;9;18.25;0;0.0;10.0
o;7;28.25;Reichmuth Marco;*;12;55.25;9;27.75;2;-0.5;8.5
o;11;36.75;Bürgler Lukas;;11;55.5;10;37.0;-1;0.25;8.5
+;16;45.25;Deck Thomas (2000);;18;53.75;16;45.25;0;0.0;10.0

12g;Supper Frederik;;;;;;;;;;55.25
+;;;Gisler Mike;;;;;;;;10.0
o;3;10.0;Arnold Marcel;;12;55.25;3;10.0;0;0.0;8.5
o;8;18.5;Küttel Pirmin;**;26;35.75;13;17.25;5;-1.25;8.5
o;12;27.0;Betschart Patrick (1999);;11;55.5;11;27.25;-1;0.25;8.5
+;16;35.5;Krieg Silvan (2000);;23;52.5;16;35.5;0;0.0;10.0
+;15;45.5;Suter Pirmin;;17;54.0;15;45.5;0;0.0;9.75

12h;Arnold Marcel;;;;;;;;;;55.25
+;;;Baur Martin;;;;;;;;10.0
+;3;10.0;Supper Frederik;;12;55.25;3;10.0;0;0.0;9.75
o;4;19.75;Nötzli Bruno;***;4;57.5;7;18.75;3;-1.0;8.5
o;7;28.25;Zemp Thomas;*;11;55.5;11;27.25;4;-1.0;8.5
o;11;36.75;Bürgler André;*;12;55.25;13;36.25;2;-0.5;8.5
+;16;45.25;Würsch Adrian;;18;53.75;16;45.25;0;0.0;10.0

12i;Betschart Silvan;*;;;;;;;;;55.25
+;;;Diener Pirmin;*;;;;;;;9.75
o;4;9.75;Schuler Alex;**;5;57.0;5;9.0;1;-0.75;8.5
+;9;18.25;Baur Martin;;13;55.0;8;18.5;-1;0.25;10.0
o;7;28.25;Odermatt Christian;**;7;56.5;7;28.25;0;0.0;8.5
+;11;36.75;Durrer Fabian (1999);;17;54.0;11;36.75;0;0.0;10.0
o;10;46.75;Föhn Franz;**;5;57.0;9;47.0;-1;0.25;8.5

12j;Nietlispach Pascal;**;;;;;;;;;55.25
o;;;Höﬂiger Andreas;**;;;;;;;8.5
o;7;8.5;Blaser Theo;*;13;55.0;6;8.75;-1;0.25;8.5
+;14;17.0;Wild Kilian (1998);;27;35.25;9;18.25;-5;1.25;10.0
+;12;27.0;Eﬃnger Peter;;13;55.0;8;28.0;-4;1.0;10.0
+;10;37.0;Heinzer Florian;;16;54.25;10;37.0;0;0.0;9.75
o;10;46.75;Müllestein Mike;**;5;57.0;8;47.25;-2;0.5;8.5

12k;Rogenmoser Ryan (1999);;;;;;;;;;55.25
+;;;Ulrich Roman (2000);;;;;;;;9.75
o;4;9.75;Schürpf Guido;;9;56.0;3;10.0;-1;0.25;8.5
o;9;18.25;Betschart Michael;;12;55.25;9;18.25;0;0.0;8.5
+;13;26.75;Schuler Koni;;28;34.75;15;26.25;2;-0.5;10.0
o;11;36.75;Inderbitzin Daniel;*;14;54.75;13;36.25;2;-0.5;8.5
+;16;45.25;Bösch Dario (1999);;18;53.75;16;45.25;0;0.0;10.0

12l;Bürgler André;*;;;;;;;;;55.25
-;;;Hösli Fritz;*;;;;;;;9.0
o;5;9.0;Föhn Franz;**;5;57.0;6;8.75;1;-0.25;8.5
+;12;17.5;Ulrich Pascal (1999);;12;55.25;8;18.5;-4;1.0;9.75
-;11;27.25;Bruhin Fredi;;10;55.75;9;27.75;-2;0.5;9.0
+;13;36.25;Arnold Marcel;;12;55.25;11;36.75;-2;0.5;10.0
-;12;46.25;Theiler Beat;*;12;55.25;12;46.25;0;0.0;9.0

12m;Kenel Franz-Toni;*;;;;;;;;;55.25
-;;;Landolt Reto;*;;;;;;;8.75
o;6;8.75;Waser Dominik;**;7;56.5;7;8.5;1;-0.25;8.5
+;13;17.25;Baumann Lukas;;13;55.0;9;18.25;-4;1.0;9.75
+;12;27.0;Ulrich Damian (1999);;16;54.25;11;27.25;-1;0.25;10.0
+;10;37.0;Ulrich Marco;;16;54.25;10;37.0;0;0.0;9.75
o;10;46.75;Murer Andy;*;10;55.75;13;46.0;3;-0.75;8.5

12n;Theiler Beat;*;;;;;;;;;55.25
-;;;Blaser Theo;*;;;;;;;8.75
+;6;8.75;Diener Pirmin;*;14;54.75;7;8.5;1;-0.25;9.75
+;8;18.5;Gwerder Beni;;15;54.5;6;19.0;-2;0.5;9.75
-;7;28.25;Heinzer Stefan;*;1;113.0;1;56.5;-6;28.25;9.0
-;9;37.25;Schelbert Roman;;14;54.75;9;37.25;0;0.0;9.0
-;12;46.25;Bürgler André;*;12;55.25;12;46.25;0;0.0;9.0

12o;Zgraggen Fabian;;;;;;;;;;55.25
+;;;Suter Kari;;;;;;;;10.0
+;3;10.0;Betschart Fabian (1999);;19;53.5;3;10.0;0;0.0;10.0
o;3;20.0;Ulrich Andreas;***;3;58.5;6;19.0;3;-1.0;8.5
+;6;28.5;Heinzer Stefan;*;1;113.0;1;56.5;-5;28.0;9.75
o;5;38.25;Schelbert Ralf;**;4;57.5;8;37.5;3;-0.75;8.5
o;10;46.75;Betschart Rainer;**;8;56.25;12;46.25;2;-0.5;8.5

13a;Eﬃnger Peter;;;;;;;;;;55.0
+;;;Elsener Manuel;;;;;;;;9.75
+;4;9.75;Hurschler Adrian;;12;55.25;4;9.75;0;0.0;9.75
o;5;19.5;Reichmuth Pirmin;**;7;56.5;8;18.5;3;-1.0;8.5
o;8;28.0;Nietlispach Pascal;**;12;55.25;12;27.0;4;-1.0;8.5
+;12;36.5;Herger Andreas;;16;54.25;15;35.75;3;-0.75;10.0
o;11;46.5;Hasler Florian;**;6;56.75;10;46.75;-1;0.25;8.5

13b;Corvi Dominik;;;;;;;;;;55.0
+;;;Schnyder Christian;;;;;;;;10.0
-;3;10.0;Staub Devin (1998);;14;54.75;3;10.0;0;0.0;9.0
-;6;19.0;Reichmuth Armin;*;9;56.0;8;18.5;2;-0.5;8.75
-;9;27.75;Bircher Vital;*;16;54.25;12;27.0;3;-0.75;8.75
+;12;36.5;Deck Thomas (2000);;18;53.75;11;36.75;-1;0.25;10.0
o;11;46.5;Heinzer Stefan;*;1;113.0;2;93.25;-9;46.75;8.5

13c;Gwerder Marco;;;;;;;;;;55.0
o;;;Baumann Lukas;;;;;;;;8.5
+;7;8.5;Von Euw Adi;;17;54.0;7;8.5;0;0.0;10.0
o;8;18.5;Kennel Stefan;*;25;36.25;13;17.25;5;-1.25;8.5
+;12;27.0;Greter Daniel;;22;52.75;12;27.0;0;0.0;9.75
o;11;36.75;Zemp Thomas;*;11;55.5;10;37.0;-1;0.25;8.5
+;16;45.25;Inderbitzin Urs;;18;53.75;16;45.25;0;0.0;9.75

13d;Baumann Lukas;;;;;;;;;;55.0
+;;;Gwerder Marco;;;;;;;;9.75
o;4;9.75;Schürpf Bruno;;11;55.5;4;9.75;0;0.0;8.5
o;9;18.25;Kenel Franz-Toni;*;12;55.25;13;17.25;4;-1.0;8.5
+;13;26.75;Suter Raphael (2000);;27;35.25;13;26.75;0;0.0;10.0
o;11;36.75;Bisig Thomas;**;8;56.25;13;36.25;2;-0.5;8.5
+;16;45.25;Gisler Mike;;17;54.0;15;45.5;-1;0.25;9.75

13e;Gwerder Christian;**;;;;;;;;;55.0
-;;;Elsener Peter;**;;;;;;;9.0
o;5;9.0;Odermatt Christian;**;7;56.5;7;8.5;2;-0.5;8.5
-;12;17.5;Elsener Manuel;;15;54.5;8;18.5;-4;1.0;9.0
+;14;26.5;Zimmermann Reto (1998);;22;52.75;12;27.0;-2;0.5;10.0
+;12;36.5;Würsch Adrian;;18;53.75;11;36.75;-1;0.25;10.0
o;11;46.5;Gasser Stefan;**;5;57.0;9;47.0;-2;0.5;8.5

13f;Bucher Thomas;;;;;;;;;;55.0
+;;;Ritz Philipp;;;;;;;;9.75
+;4;9.75;Suter Pirmin;;17;54.0;4;9.75;0;0.0;9.75
o;5;19.5;Schelbert Ralf;**;4;57.5;7;18.75;2;-0.75;8.5
o;8;28.0;Kennel Beat;*;14;54.75;11;27.25;3;-0.75;8.5
+;12;36.5;Bürgi Tobias;;15;54.5;13;36.25;1;-0.25;9.75
o;12;46.25;Gwerder Dario;;6;56.75;10;46.75;-2;0.5;8.75

13g;Lüönd Andreas;**;;;;;;;;;55.0
-;;;Zimmermann Martin;*;;;;;;;8.75
-;6;8.75;Elsener Peter;**;15;54.5;5;9.0;-1;0.25;8.75
-;12;17.5;Elsener Kilian;;15;54.5;8;18.5;-4;1.0;8.75
+;15;26.25;Ehrler Reto (2000);;23;52.5;12;27.0;-3;0.75;10.0
-;13;36.25;Käslin Ruedi;;15;54.5;14;36.0;1;-0.25;8.75
+;17;45.0;Bingisser Roman;;17;54.0;15;45.5;-2;0.5;10.0

13h;Blaser Theo;*;;;;;;;;;55.0
-;;;Theiler Beat;*;;;;;;;8.75
+;6;8.75;Nietlispach Pascal;**;12;55.25;7;8.5;1;-0.25;10.0
+;7;18.75;Nauer Robin;;12;55.25;5;19.5;-2;0.75;10.0
o;5;28.75;Waser Dominik;**;7;56.5;7;28.25;2;-0.5;8.5
-;9;37.25;Elsener Kilian;;15;54.5;9;37.25;0;0.0;9.0
-;12;46.25;Schuler Daniel;;10;55.75;9;47.0;-3;0.75;8.75

13i;Kälin Remo;*;;;;;;;;;55.0
-;;;Grab Daniel;**;;;;;;;8.75
o;6;8.75;Reichmuth Armin;*;9;56.0;7;8.5;1;-0.25;8.5
+;13;17.25;Suter Ruedi (1998);;16;54.25;8;18.5;-5;1.25;10.0
-;11;27.25;Ulrich Marco;;16;54.25;7;28.25;-4;1.0;9.0
+;13;36.25;Mächler Thomas;;17;54.0;12;36.5;-1;0.25;10.0
-;12;46.25;Bieri Christian;*;11;55.5;10;46.75;-2;0.5;8.75

13j;Baur Martin;;;;;;;;;;55.0
o;;;Arnold Marcel;;;;;;;;8.5
+;7;8.5;Deuber Mathias (2000);;31;34.0;7;8.5;0;0.0;10.0
o;8;18.5;Betschart Silvan;*;12;55.25;9;18.25;1;-0.25;8.5
+;12;27.0;Föhn Michael (1999);;18;53.75;12;27.0;0;0.0;9.75
+;11;36.75;Gwerder Andreas;*;15;54.5;14;36.0;3;-0.75;9.75
o;11;46.5;Waser Reto;*;9;56.0;13;46.0;2;-0.5;8.5

13k;Scheuber Stefan;;;;;;;;;;55.0
+;;;Schönbächler Lukas;;;;;;;;9.75
o;4;9.75;Küttel Samuel;;14;54.75;4;9.75;0;0.0;8.5
+;9;18.25;Inderbitzin Karl;;27;35.25;9;18.25;0;0.0;9.75
+;8;28.0;Küttel Pirmin;**;26;35.75;11;27.25;3;-0.75;10.0
o;6;38.0;Laimbacher Philipp;***;4;57.5;8;37.5;2;-0.5;8.5
o;11;46.5;Gwerder Guido;**;8;56.25;12;46.25;1;-0.25;8.5

14a;Flück Bruno;;;;;;;;;;54.75
-;;;Käslin Ruedi;;;;;;;;8.75
+;6;8.75;Baumann Marco;;21;53.0;6;8.75;0;0.0;10.0
-;7;18.75;Murer Andy;*;10;55.75;8;18.5;1;-0.25;8.75
-;10;27.5;Suter Samuel (1999);;14;54.75;10;27.5;0;0.0;9.0
o;12;36.5;Landolt Reto;*;15;54.5;13;36.25;1;-0.25;8.5
+;17;45.0;Durrer Nando (1999);;20;53.25;18;44.75;1;-0.25;9.75

14b;Gwerder Carlo;**;;;;;;;;;54.75
-;;;Reichmuth Marco;*;;;;;;;9.0
-;5;9.0;Betschart Rainer;**;8;56.25;5;9.0;0;0.0;8.75
+;11;17.75;Widmer Thomas;;20;53.25;7;18.75;-4;1.0;9.75
-;10;27.5;Gwerder Michael (2000);;11;55.5;7;28.25;-3;0.75;8.75
+;13;36.25;Horner Sämi;;19;53.5;12;36.5;-1;0.25;10.0
o;12;46.25;Elsener Adrian;**;10;55.75;13;46.0;1;-0.25;8.5

14c;Küttel Samuel;;;;;;;;;;54.75
+;;;Bär Leo;;;;;;;;9.75
+;4;9.75;Scheuber Stefan;;13;55.0;4;9.75;0;0.0;10.0
o;4;19.75;Schuler Christian;***;4;57.5;7;18.75;3;-1.0;8.5
-;7;28.25;Gwerder Andreas;*;15;54.5;11;27.25;4;-1.0;8.75
-;10;37.0;Lagler Christian;;11;55.5;11;36.75;1;-0.25;9.0
-;13;46.0;Horner Peter;**;15;54.5;14;45.75;1;-0.25;8.75

14d;Inderbitzin Daniel;*;;;;;;;;;54.75
-;;;Bucher Roland;*;;;;;;;8.75
-;6;8.75;Landolt Reto;*;15;54.5;6;8.75;0;0.0;8.75
-;12;17.5;Schindler Roland;;16;54.25;8;18.5;-4;1.0;8.75
+;15;26.25;Egli Christian;;23;52.5;12;27.0;-3;0.75;10.0
+;13;36.25;Rogenmoser Ryan (1999);;12;55.25;11;36.75;-2;0.5;10.0
o;12;46.25;Rychen Roger;**;8;56.25;11;46.5;-1;0.25;8.5

14e;Gwerder Dominik;;;;;;;;;;54.75
-;;;Durrer Nando (1999);;;;;;;;8.75
+;6;8.75;Zimmermann Reto (1998);;22;52.75;7;8.5;1;-0.25;9.75
o;8;18.5;Bürgler Lukas;;11;55.5;13;17.25;5;-1.25;8.5
-;12;27.0;Hürlimann Mathias (2000);;16;54.25;12;27.0;0;0.0;9.0
-;14;36.0;Betschart Fabian (1999);;19;53.5;15;35.75;1;-0.25;8.75
+;18;44.75;Widmer Thomas;;20;53.25;18;44.75;0;0.0;10.0

14f;Zemp Christian (2000);;;;;;;;;;54.75
-;;;Ulrich Pascal (1999);;;;;;;;8.75
-;6;8.75;Suter Kari;;28;34.75;7;8.5;1;-0.25;8.75
-;12;17.5;Schuler Koni;;28;34.75;12;17.5;0;0.0;8.75
+;15;26.25;Schuler Thomas;;29;34.5;16;26.0;1;-0.25;9.75
-;14;36.0;Diener Pirmin;*;14;54.75;15;35.75;1;-0.25;8.75
+;18;44.75;Kennel Roger (1999);;22;52.75;20;44.25;2;-0.5;10.0

14g;Kennel Beat;*;;;;;;;;;54.75
-;;;Zemp Thomas;*;;;;;;;8.75
o;6;8.75;Bieri Marcel;**;7;56.5;6;8.75;0;0.0;8.5
+;13;17.25;Hürlimann Mathias (2000);;16;54.25;8;18.5;-5;1.25;10.0
+;11;27.25;Bucher Thomas;;13;55.0;8;28.0;-3;0.75;9.75
-;10;37.0;Murer Andy;*;10;55.75;9;37.25;-1;0.25;9.0
-;13;46.0;Betschart Daniel;;11;55.5;10;46.75;-3;0.75;8.75

14h;Betschart Marcel;;;;;;;;;;54.75
-;;;Bruhin Fredi;;;;;;;;9.0
+;5;9.0;Kuriger Manuel (2004);;31;34.0;7;8.5;2;-0.5;10.0
o;6;19.0;Villiger Cyrill;*;10;55.75;8;18.5;2;-0.5;8.5
o;10;27.5;Schelbert Roman;;14;54.75;10;27.5;0;0.0;8.75
o;13;36.25;Suter Paul;;8;56.25;11;36.75;-2;0.5;8.5
+;18;44.75;Zimmermann Armin;;19;53.5;17;45.0;-1;0.25;10.0

14i;Hösli Fritz;*;;;;;;;;;54.75
-;;;Bürgler André;*;;;;;;;8.75
-;6;8.75;Gwerder Andreas;*;15;54.5;7;8.5;1;-0.25;8.75
o;12;17.5;Lagler Christian;;11;55.5;8;18.5;-4;1.0;8.5
+;16;26.0;Von Euw Adi;;17;54.0;12;27.0;-4;1.0;10.0
+;14;36.0;Stutzer Michael (1999);;17;54.0;15;35.75;1;-0.25;10.0
-;13;46.0;Höﬂiger Andreas;**;10;55.75;10;46.75;-3;0.75;8.75

14j;Suter Samuel (1999);;;;;;;;;;54.75
-;;;Reichmuth Roland;;;;;;;;9.0
+;5;9.0;Schönbächler Lukas;;22;52.75;7;8.5;2;-0.5;10.0
o;6;19.0;Zimmermann Martin;*;2;111.5;2;36.25;-4;17.25;8.5
-;10;27.5;Flück Bruno;;14;54.75;10;27.5;0;0.0;8.75
-;13;36.25;Durrer Nando (1999);;20;53.25;14;36.0;1;-0.25;8.75
+;17;45.0;Von Euw Adi;;17;54.0;15;45.5;-2;0.5;9.75

14k;Schelbert Roman;;;;;;;;;;54.75
+;;;Klauser Nico;;;;;;;;10.0
-;3;10.0;Walker Roger;;16;54.25;3;10.0;0;0.0;9.0
o;6;19.0;Gasser Stefan;**;5;57.0;8;18.5;2;-0.5;8.5
+;10;27.5;Betschart Marcel;;14;54.75;10;27.5;0;0.0;9.75
-;9;37.25;Theiler Beat;*;12;55.25;9;37.25;0;0.0;9.0
o;12;46.25;Bucher Roland;*;7;56.5;10;46.75;-2;0.5;8.5

14l;Baumann Roger;*;;;;;;;;;54.75
o;;;Heinzer Stefan;*;;;;;;;8.75
o;6;8.75;Schelbert Ralf;**;4;57.5;6;8.75;0;0.0;8.5
-;13;17.25;Heinzer Josef;;11;55.5;8;18.5;-5;1.25;9.0
+;15;26.25;Forster Christian;;17;54.0;12;27.0;-3;0.75;10.0
+;13;36.25;Birchler Fabian (2000);;18;53.75;11;36.75;-2;0.5;10.0
o;12;46.25;Schuler Alex;**;5;57.0;9;47.0;-3;0.75;8.5

14m;Staub Devin (1998);;;;;;;;;;54.75
+;;;Ulrich Damian (1999);;;;;;;;10.0
-;3;10.0;Corvi Dominik;;13;55.0;3;10.0;0;0.0;8.75
o;7;18.75;Hasler Florian;**;6;56.75;9;18.25;2;-0.5;8.5
-;11;27.25;Nauer Fabian;;17;54.0;10;27.5;-1;0.25;9.0
o;13;36.25;Bruhin Fredi;;10;55.75;11;36.75;-2;0.5;8.5
+;18;44.75;Greter Daniel;;22;52.75;20;44.25;2;-0.5;10.0

14n;Beffa Mario;;;;;;;;;;54.75
+;;;Schmid Pirmin (2000);;;;;;;;10.0
-;3;10.0;Hürlimann Mathias (2000);;16;54.25;4;9.75;1;-0.25;8.75
o;7;18.75;Zimmermann Martin;**;2;111.5;2;36.25;-5;17.5;8.5
-;11;27.25;Widmer Thomas;;20;53.25;11;27.25;0;0.0;8.75
+;14;36.0;Bircher Vital;*;16;54.25;15;35.75;1;-0.25;10.0
-;13;46.0;Elsener Peter;**;15;54.5;14;45.75;1;-0.25;8.75

14o;Diener Pirmin;*;;;;;;;;;54.75
o;;;Betschart Silvan;*;;;;;;;8.5
o;7;8.5;Theiler Beat;*;12;55.25;6;8.75;-1;0.25;8.5
-;14;17.0;Hurschler Adrian;;12;55.25;9;18.25;-5;1.25;8.75
+;17;25.75;Kennel Roger (1999);;22;52.75;12;27.0;-5;1.25;10.0
-;15;35.75;Zemp Christian (2000);;14;54.75;14;36.0;-1;0.25;9.0
+;18;44.75;Zimmermann Fabian;;18;53.75;16;45.25;-2;0.5;10.0

15a;Landolt Reto;*;;;;;;;;;54.5
