4942-2021-07-25_Bruenigschwinget-ST

1a;Wenger Kilian;***;;;;;;;;;58.25
13c;Hügli Kaj;**;;;;;;;;;54.5
-;;;Gäumann Stefan;*;;;;;;;8.75
-;4;8.75;Lemmenmeier Lukas;*;18;53.25;2;9.75;-2;1.0;8.75
o;9;17.5;Bucher Roland;*;12;54.75;7;18.25;-2;0.75;8.5
+;15;26.0;Ming Christian;*;16;53.75;14;26.25;-1;0.25;9.75
+;12;35.75;Wenger Marcel;*;20;52.75;12;35.75;0;0.0;10.0
o;10;45.75;Kennel Stefan;**;8;55.75;10;45.75;0;0.0;8.75

13d;Zangger Dominik;*;;;;;;;;;54.5
+;;;Lussi Marco;**;;;;;;;10.0
o;1;10.0;Nötzli Reto;***;26;36.0;5;8.5;4;-1.5;8.5
o;6;18.5;Kurmann Toni;*;11;55.0;7;18.25;1;-0.25;8.5
+;11;27.0;Moos Christoph;*;21;52.5;11;27.0;0;0.0;10.0
o;7;37.0;Reichmuth Marco;**;4;57.0;7;37.0;0;0.0;8.5
-;11;45.5;Ettlin Martin;*;13;54.5;11;45.5;0;0.0;9.0

13e;Iseli Marco;**;;;;;;;;;54.5
+;;;Imfeld Beat;*;;;;;;;9.75
o;2;9.75;Räbmatter Patrick;***;4;57.0;5;8.5;3;-1.25;8.5
-;7;18.25;Bürgi Reto;*;17;53.5;6;18.5;-1;0.25;8.75
+;11;27.0;Schwyzer Samuel;*;15;54.0;11;27.0;0;0.0;10.0
-;7;37.0;Ambühl Joel;**;15;54.0;10;36.25;3;-0.75;9.0
o;9;46.0;Döbeli Andreas;***;6;56.5;7;46.5;-2;0.5;8.5

13f;Wittwer Josias;**;;;;;;;;;54.5
o;;;Odermatt Christian;**;;;;;;;8.5
+;5;8.5;Odermatt Andreas;**;11;55.0;5;8.5;0;0.0;10.0
-;6;18.5;Durrer Jonas (2003);*;13;54.5;7;18.25;1;-0.25;8.75
-;10;27.25;Durrer Nando;*;14;54.25;8;27.75;-2;0.5;8.75
o;11;36.0;Bürli Roger;**;12;54.75;11;36.0;0;0.0;8.5
+;15;44.5;Lemmenmeier Lukas;*;18;53.25;14;44.75;-1;0.25;10.0

13g;Lustenberger Josef;*;;;;;;;;;54.5
+;;;Zbinden Adrian;*;;;;;;;9.75
o;2;9.75;von Weissenfluh Kilian;***;5;56.75;2;9.75;0;0.0;8.5
o;7;18.25;Klossner Adrian;*;4;57.0;7;18.25;0;0.0;8.5
-;12;26.75;Wallimann Remo;*;18;53.25;16;25.75;4;-1.0;9.0
+;12;35.75;Wüthrich Philip;*;18;53.25;12;35.75;0;0.0;9.75
-;11;45.5;Durrer Nando;*;14;54.25;12;45.25;1;-0.25;9.0

13h;Ettlin Martin;*;;;;;;;;;54.5
-;;;Schlüchter Colin;*;;;;;;;8.75
o;4;8.75;Ledermann Michael;**;7;56.25;5;8.5;1;-0.25;8.5
+;10;17.25;Nufer Sämi;*;15;54.0;10;17.25;0;0.0;9.75
-;11;27.0;Wenger Marcel;*;20;52.75;11;27.0;0;0.0;8.75
+;12;35.75;Stucki Marcel;*;16;53.75;13;35.5;1;-0.25;9.75
-;11;45.5;Zangger Dominik;*;13;54.5;11;45.5;0;0.0;9.0

13i;Waser Dominik;**;;;;;;;;;54.5
-;;;Steffen Gustav;**;;;;;;;9.0
-;3;9.0;von Büren Stephan;**;20;52.75;5;8.5;2;-0.5;8.75
+;8;17.75;Michel Jonas;*;18;53.25;6;18.5;-2;0.75;10.0
+;8;27.75;Leuenberger Michael;*;11;55.0;9;27.5;1;-0.25;9.75
o;5;37.5;Schwander Severin;**;7;56.25;5;37.5;0;0.0;8.5
o;9;46.0;Gnägi Florian;***;6;56.5;7;46.5;-2;0.5;8.5

13j;Schöpfer Ronny;**;;;;;;;;;54.5
+;;;Mangold Michael;**;;;;;;;9.75
o;2;9.75;Staudenmann Fabian;***;4;57.0;4;8.75;2;-1.0;8.75
+;6;18.5;Wyss Kaspar;*;17;53.5;5;18.75;-1;0.25;10.0
o;5;28.5;Renfer Lukas;**;7;56.25;4;28.75;-1;0.25;8.5
-;7;37.0;Schlüchter Colin;*;12;54.75;6;37.25;-1;0.25;9.0
o;9;46.0;Sempach Thomas;***;5;56.75;5;47.0;-4;1.0;8.5

14a;Durrer Nando;*;;;;;;;;;54.25
-;;;Bader Fabian;*;;;;;;;9.0
+;3;9.0;Zingrich Jan;*;21;52.5;4;8.75;1;-0.25;10.0
-;4;19.0;Kropf Marcel;**;29;27.25;6;18.5;2;-0.5;8.75
-;8;27.75;Wittwer Josias;**;13;54.5;10;27.25;2;-0.5;8.75
-;9;36.5;Kämpf Marcel;*;17;53.5;15;34.75;6;-1.75;8.75
-;12;45.25;Lustenberger Josef;*;13;54.5;11;45.5;-1;0.25;9.0

14b;Arnold Raphael;**;;;;;;;;;54.25
-;;;Henzer Andreas;**;;;;;;;8.75
o;4;8.75;Renfer Lukas;**;7;56.25;1;10.0;-3;1.25;8.5
+;10;17.25;Steudler Kevin;*;15;54.0;6;18.5;-4;1.25;9.75
-;11;27.0;Nägeli Daniel;*;16;53.75;10;27.25;-1;0.25;8.75
+;12;35.75;Mangold Michael;**;14;54.25;12;35.75;0;0.0;9.75
-;11;45.5;Lussi Marco;**;13;54.5;10;45.75;-1;0.25;8.75

14c;Schürpf Bruno;*;;;;;;;;;54.25
o;;;Odermatt Adrian;*;;;;;;;8.5
-;5;8.5;Scheuner Michael;*;19;53.0;4;8.75;-1;0.25;8.75
o;10;17.25;Leuenberger Michael;*;11;55.0;9;17.5;-1;0.25;8.75
+;15;26.0;von Büren Stephan;**;20;52.75;15;26.0;0;0.0;9.75
+;12;35.75;Schenk Thomas;*;20;52.75;12;35.75;0;0.0;10.0
o;10;45.75;Erb Roger;**;9;55.5;11;45.5;1;-0.25;8.5

14d;Mangold Michael;**;;;;;;;;;54.25
o;;;Schöpfer Ronny;**;;;;;;;8.5
-;5;8.5;Lussi Marco;**;13;54.5;5;8.5;0;0.0;8.75
+;10;17.25;Hiltbrunner Remo (2003);*;11;55.0;9;17.5;-1;0.25;9.75
-;11;27.0;Michel Jonas;*;18;53.25;11;27.0;0;0.0;8.75
o;12;35.75;Arnold Raphael;**;14;54.25;12;35.75;0;0.0;8.5
+;16;44.25;Wenger Marcel;*;20;52.75;16;44.25;0;0.0;10.0

14e;Arnold Marcel;*;;;;;;;;;54.25
o;;;Zaugg Lars;*;;;;;;;8.5
o;5;8.5;Wenger Marcel;*;20;52.75;4;8.75;-1;0.25;8.5
+;11;17.0;Stucki Marcel;*;16;53.75;11;17.0;0;0.0;10.0
o;11;27.0;Wittwer Jan;**;18;53.25;16;25.75;5;-1.25;8.75
o;12;35.75;Berger René;**;15;54.0;13;35.5;1;-0.25;8.5
+;16;44.25;Klossner Sven;*;20;52.75;16;44.25;0;0.0;10.0

14f;Schmutz Simon;*;;;;;;;;;54.25
o;;;Binggeli Dominik;*;;;;;;;8.5
o;5;8.5;Wüthrich Philip;*;18;53.25;5;8.5;0;0.0;8.75
o;10;17.25;Klossner Sven;*;20;52.75;10;17.25;0;0.0;8.5
+;16;25.75;Amgarten Martin;*;24;51.25;16;25.75;0;0.0;9.75
-;13;35.5;Nufer Sämi;*;15;54.0;13;35.5;0;0.0;8.75
+;16;44.25;Schenk Thomas;*;20;52.75;16;44.25;0;0.0;10.0

14g;Stoll Simon;**;;;;;;;;;54.25
-;;;Bürli Roger;**;;;;;;;8.75
+;4;8.75;Wallimann Remo;*;18;53.25;5;8.5;1;-0.25;9.75
o;6;18.5;Gnägi Florian;***;6;56.5;5;18.75;-1;0.25;8.5
+;11;27.0;Würsch Lars;*;15;54.0;11;27.0;0;0.0;9.75
o;8;36.75;Lustenberger Marc (2003);*;9;55.5;7;37.0;-1;0.25;8.75
-;11;45.5;Kämpf Alexander;**;17;53.5;14;44.75;3;-0.75;8.75

15a;Nufer Sämi;*;;;;;;;;;54.0
o;;;Lustenberger Marc (2003);*;;;;;;;8.5
o;5;8.5;Odermatt Remo;*;15;54.0;4;8.75;-1;0.25;8.75
o;10;17.25;Ettlin Martin;*;13;54.5;10;17.25;0;0.0;8.5
+;16;25.75;Bearda Samuel;**;25;51.0;17;25.5;1;-0.25;9.75
-;13;35.5;Schmutz Simon;*;14;54.25;13;35.5;0;0.0;8.75
+;16;44.25;Bruder Adrian;*;20;52.75;16;44.25;0;0.0;9.75

15b;Würsch Lars;*;;;;;;;;;54.0
+;;;Zingrich Jan;*;;;;;;;10.0
o;1;10.0;Schwander Severin;**;7;56.25;4;8.75;3;-1.25;8.5
o;6;18.5;Berger René;**;15;54.0;10;17.25;4;-1.25;8.5
o;11;27.0;Stoll Simon;**;14;54.25;11;27.0;0;0.0;8.5
+;13;35.5;Klossner Sven;*;20;52.75;12;35.75;-1;0.25;10.0
o;11;45.5;Gerber Ueli;*;8;55.75;10;45.75;-1;0.25;8.5

15c;Ambühl Joel;**;;;;;;;;;54.0
-;;;Schwander Severin;**;;;;;;;8.75
+;4;8.75;Berger René;**;15;54.0;4;8.75;0;0.0;9.75
o;6;18.5;Kämpf Bernhard;***;2;57.5;4;19.0;-2;0.5;8.75
-;10;27.25;Zaugg Lars;*;12;54.75;6;28.25;-4;1.0;9.0
-;10;36.25;Iseli Marco;**;13;54.5;7;37.0;-3;0.75;9.0
-;12;45.25;Zürcher Remo;*;12;54.75;9;46.0;-3;0.75;8.75

15d;Schwyzer Samuel;*;;;;;;;;;54.0
+;;;Hiltbrunner Remo (2003);*;;;;;;;9.75
o;2;9.75;Steffen Gustav;**;7;56.25;3;9.0;1;-0.75;8.5
-;7;18.25;Widmer David;**;16;53.75;5;18.75;-2;0.5;8.75
o;11;27.0;Iseli Marco;**;13;54.5;11;27.0;0;0.0;8.5
-;13;35.5;Kämpf Marcel;*;17;53.5;15;34.75;2;-0.75;8.75
+;16;44.25;Zingrich Jan;*;21;52.5;17;44.0;1;-0.25;9.75

15e;Berger René;**;;;;;;;;;54.0
-;;;Kennel Stefan;**;;;;;;;8.75
o;4;8.75;Ambühl Joel;**;15;54.0;4;8.75;0;0.0;8.5
+;10;17.25;Würsch Lars;*;15;54.0;6;18.5;-4;1.25;9.75
o;11;27.0;Suppiger Werner;**;10;55.25;10;27.25;-1;0.25;8.5
+;13;35.5;Arnold Marcel;*;14;54.25;12;35.75;-1;0.25;10.0
o;11;45.5;Odermatt Christian;**;9;55.5;11;45.5;0;0.0;8.5

15f;Steudler Kevin;*;;;;;;;;;54.0
-;;;Bienz Romeo;*;;;;;;;8.75
+;4;8.75;Bearda Samuel;**;25;51.0;5;8.5;1;-0.25;9.75
o;6;18.5;Arnold Raphael;**;14;54.25;10;17.25;4;-1.25;8.5
o;11;27.0;Schmid Samuel;**;10;55.25;12;26.75;1;-0.25;8.5
+;13;35.5;Betschart Marcel;*;17;53.5;14;35.25;1;-0.25;9.75
o;12;45.25;Kurmann Toni;*;11;55.0;12;45.25;0;0.0;8.75

15g;Odermatt Remo;*;;;;;;;;;54.0
-;;;Wyss Kaspar;*;;;;;;;8.75
+;4;8.75;Nufer Sämi;*;15;54.0;5;8.5;1;-0.25;9.75
+;6;18.5;Wittwer Jan;**;18;53.25;10;17.25;4;-1.25;10.0
o;5;28.5;Walther Adrian;*;3;57.25;5;28.5;0;0.0;8.5
o;7;37.0;Aeschbacher Matthias;***;4;57.0;6;37.25;-1;0.25;8.5
o;11;45.5;Joho Philip;*;8;55.75;10;45.75;-1;0.25;8.5

16a;Binggeli Dominik;*;;;;;;;;;53.75
+;;;Schmutz Simon;*;;;;;;;9.75
+;2;9.75;Brun Samuel;**;31;25.75;4;8.75;2;-1.0;9.75
o;3;19.5;Döbeli Andreas;***;6;56.5;6;18.5;3;-1.0;8.5
o;7;28.0;Odermatt Adrian;*;11;55.0;7;28.0;0;0.0;8.5
o;9;36.5;Reichmuth Roland;*;12;54.75;9;36.5;0;0.0;8.5
-;13;45.0;Henzer Andreas;**;18;53.25;15;44.5;2;-0.5;8.75

16b;Zbinden Adrian;*;;;;;;;;;53.75
o;;;Lustenberger Josef;*;;;;;;;8.5
o;5;8.5;Durrer Jonas (2003);*;13;54.5;5;8.5;0;0.0;8.5
+;11;17.0;Ming Christian;*;16;53.75;8;17.75;-3;0.75;9.75
+;12;26.75;Betschart Marcel;*;17;53.5;12;26.75;0;0.0;10.0
o;8;36.75;Doppmann Urs;**;6;56.5;9;36.5;1;-0.25;8.5
o;12;45.25;Heiniger Marco;**;9;55.5;11;45.5;-1;0.25;8.5

16c;Bucher Christian;**;;;;;;;;;53.75
+;;;Steffen Konrad;*;;;;;;;10.0
-;1;10.0;Sempach Thomas;***;5;56.75;4;8.75;3;-1.25;8.75
o;5;18.75;Burger Matthieu;*;10;55.25;5;18.75;0;0.0;8.75
o;9;27.5;Zürcher Remo;*;12;54.75;10;27.25;1;-0.25;8.5
-;11;36.0;Leuenberger Michael;*;11;55.0;11;36.0;0;0.0;9.0
-;13;45.0;Nägeli Daniel;*;16;53.75;13;45.0;0;0.0;8.75

16d;Nägeli Daniel;*;;;;;;;;;53.75
o;;;Lemmenmeier Lukas;*;;;;;;;8.5
-;5;8.5;Arnold Fabian;*;17;53.5;4;8.75;-1;0.25;8.75
+;10;17.25;Bissig Fabian;*;28;34.0;11;17.0;1;-0.25;10.0
-;10;27.25;Arnold Raphael;**;14;54.25;11;27.0;1;-0.25;8.75
-;11;36.0;Widmer David;**;16;53.75;11;36.0;0;0.0;9.0
-;13;45.0;Bucher Christian;**;16;53.75;13;45.0;0;0.0;8.75

16e;Blaser Roman;*;;;;;;;;;53.75
o;;;Bucher Roland;*;;;;;;;8.5
+;5;8.5;Amgarten Martin;*;24;51.25;4;8.75;-1;0.25;9.75
o;7;18.25;Kenel Franz-Toni;*;17;53.5;9;17.5;2;-0.75;8.5
o;12;26.75;Kennel Stefan;**;8;55.75;15;26.0;3;-0.75;8.5
+;14;35.25;Moos Christoph;*;21;52.5;13;35.5;-1;0.25;10.0
o;12;45.25;Egli Damian;**;12;54.75;13;45.0;1;-0.25;8.5

16f;Stucki Marcel;*;;;;;;;;;53.75
o;;;Mangold Martin;*;;;;;;;8.5
o;5;8.5;Schmid Simon;*;9;55.5;4;8.75;-1;0.25;8.5
o;11;17.0;Arnold Marcel;*;14;54.25;11;17.0;0;0.0;8.5
+;17;25.5;Bissig Fabian;*;28;34.0;17;25.5;0;0.0;10.0
o;13;35.5;Ettlin Martin;*;13;54.5;12;35.75;-1;0.25;8.5
+;17;44.0;Moos Christoph;*;21;52.5;17;44.0;0;0.0;9.75

16g;Ming Christian;*;;;;;;;;;53.75
-;;;Klossner Sven;*;;;;;;;8.75
-;4;8.75;Hiltbrunner Remo (2003);*;11;55.0;5;8.5;1;-0.25;9.0
o;8;17.75;Zbinden Adrian;*;16;53.75;11;17.0;3;-0.75;8.5
o;14;26.25;Hügli Kaj;**;13;54.5;15;26.0;1;-0.25;8.5
+;15;34.75;Bearda Samuel;**;25;51.0;18;34.0;3;-0.75;10.0
-;14;44.75;Wüthrich Philip;*;18;53.25;16;44.25;2;-0.5;9.0

16h;Widmer David;**;;;;;;;;;53.75
+;;;Wallimann Remo;*;;;;;;;10.0
o;1;10.0;Suppiger Werner;**;10;55.25;4;8.75;3;-1.25;8.75
-;5;18.75;Schwyzer Samuel;*;15;54.0;7;18.25;2;-0.5;8.75
o;9;27.5;Burch Jonas;**;11;55.0;9;27.5;0;0.0;8.5
-;11;36.0;Nägeli Daniel;*;16;53.75;11;36.0;0;0.0;9.0
o;13;45.0;Leuenberger Michael;*;11;55.0;13;45.0;0;0.0;8.75

17a;Kämpf Alexander;**;;;;;;;;;53.5
-;;;Rohrer Ueli;**;;;;;;;8.75
+;4;8.75;Kennel Stefan;**;8;55.75;4;8.75;0;0.0;10.0
-;5;18.75;Reichmuth Marco;**;4;57.0;6;18.5;1;-0.25;8.5
-;10;27.25;Kenel Franz-Toni;*;17;53.5;9;27.5;-1;0.25;8.75
-;11;36.0;Lemmenmeier Lukas;*;18;53.25;11;36.0;0;0.0;8.75
-;14;44.75;Stoll Simon;**;14;54.25;11;45.5;-3;0.75;8.75

17b;Arnold Fabian;*;;;;;;;;;53.5
-;;;Leuenberger Michael;*;;;;;;;8.75
-;4;8.75;Nägeli Daniel;*;16;53.75;5;8.5;1;-0.25;8.75
+;9;17.5;Bruder Adrian;*;20;52.75;10;17.25;1;-0.25;10.0
o;9;27.5;Steffen Gustav;**;7;56.25;8;27.75;-1;0.25;8.5
-;11;36.0;Wyss Kaspar;*;17;53.5;11;36.0;0;0.0;8.75
-;14;44.75;Scheuner Michael;*;19;53.0;16;44.25;2;-0.5;8.75

17c;Wyss Kaspar;*;;;;;;;;;53.5
-;;;Odermatt Remo;*;;;;;;;8.75
+;4;8.75;Bissig Fabian;*;28;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Schöpfer Ronny;**;13;54.5;6;18.5;1;-0.25;8.5
o;10;27.25;Reichmuth Marco;**;4;57.0;10;27.25;0;0.0;8.75
-;11;36.0;Arnold Fabian;*;17;53.5;11;36.0;0;0.0;8.75
-;14;44.75;Bürgi Reto;*;17;53.5;14;44.75;0;0.0;8.75

17d;Bürgi Reto;*;;;;;;;;;53.5
+;;;Schenk Thomas;*;;;;;;;10.0
o;1;10.0;Gnägi Florian;***;6;56.5;4;8.75;3;-1.25;8.5
-;6;18.5;Iseli Marco;**;13;54.5;7;18.25;1;-0.25;8.75
-;10;27.25;Steffen Konrad;*;18;53.25;11;27.0;1;-0.25;9.0
o;10;36.25;Gäggeler Adrian;*;10;55.25;8;36.75;-2;0.5;8.5
-;14;44.75;Wyss Kaspar;*;17;53.5;14;44.75;0;0.0;8.75

17e;Kenel Franz-Toni;*;;;;;;;;;53.5
-;;;Zürcher Remo;*;;;;;;;8.75
-;4;8.75;Gerber Ueli;*;8;55.75;1;10.0;-3;1.25;8.75
+;9;17.5;Blaser Roman;*;16;53.75;7;18.25;-2;0.75;10.0
-;9;27.5;Kämpf Alexander;**;17;53.5;10;27.25;1;-0.25;8.75
o;10;36.25;Döbeli Andreas;***;6;56.5;8;36.75;-2;0.5;8.5
-;14;44.75;Michel Jonas;*;18;53.25;15;44.5;1;-0.25;8.75

17f;Betschart Marcel;*;;;;;;;;;53.5
+;;;Bearda Samuel;**;;;;;;;9.75
o;2;9.75;Roschi Ruedi;**;4;57.0;1;10.0;-1;0.25;8.5
o;7;18.25;Zingrich Jan;*;21;52.5;10;17.25;3;-1.0;8.5
o;12;26.75;Zbinden Adrian;*;16;53.75;12;26.75;0;0.0;8.5
o;14;35.25;Steudler Kevin;*;15;54.0;13;35.5;-1;0.25;8.5
+;18;43.75;Dubler Mike;;22;52.0;19;43.5;1;-0.25;9.75

17g;Kämpf Marcel;*;;;;;;;;;53.5
o;;;Schmid Samuel;**;;;;;;;8.5
-;5;8.5;Bürli Roger;**;12;54.75;4;8.75;-1;0.25;8.75
-;10;17.25;Imfeld Beat;*;23;51.5;10;17.25;0;0.0;8.75
-;15;26.0;Schwyzer Samuel;*;15;54.0;11;27.0;-4;1.0;8.75
-;15;34.75;Durrer Nando;*;14;54.25;9;36.5;-6;1.75;8.75
+;19;43.5;Amgarten Martin;*;24;51.25;21;42.75;2;-0.75;10.0

17h;Mangold Martin;*;;;;;;;;;53.5
+;;;Stucki Marcel;*;;;;;;;9.75
o;2;9.75;Gäumann Stefan;*;5;56.75;4;8.75;2;-1.0;8.5
o;7;18.25;Reichmuth Roland;*;12;54.75;7;18.25;0;0.0;8.5
o;12;26.75;Odermatt Christian;**;9;55.5;12;26.75;0;0.0;8.5
o;14;35.25;von Büren Stephan;**;20;52.75;16;34.5;2;-0.75;8.5
+;18;43.75;Imfeld Beat;*;23;51.5;20;43.0;2;-0.75;9.75

18a;Henzer Andreas;**;;;;;;;;;53.25
-;;;Arnold Raphael;**;;;;;;;8.75
o;4;8.75;Lustenberger Marc (2003);*;9;55.5;2;9.75;-2;1.0;8.5
+;10;17.25;Wüthrich Philip;*;18;53.25;6;18.5;-4;1.25;10.0
-;10;27.25;Bürli Roger;**;12;54.75;10;27.25;0;0.0;8.75
o;11;36.0;Rohrer Ueli;**;12;54.75;11;36.0;0;0.0;8.5
-;15;44.5;Binggeli Dominik;*;16;53.75;13;45.0;-2;0.5;8.75

18b;Wallimann Remo;*;;;;;;;;;53.25
o;;;Widmer David;**;;;;;;;8.5
o;5;8.5;Stoll Simon;**;14;54.25;4;8.75;-1;0.25;8.5
-;11;17.0;Joho Philip;*;8;55.75;10;17.25;-1;0.25;8.75
-;16;25.75;Lustenberger Josef;*;13;54.5;12;26.75;-4;1.0;9.0
-;15;34.75;Dubler Mike;;22;52.0;15;34.75;0;0.0;8.75
+;19;43.5;Bearda Samuel;**;25;51.0;22;42.5;3;-1.0;9.75

18c;Lemmenmeier Lukas;*;;;;;;;;;53.25
+;;;Nägeli Daniel;*;;;;;;;9.75
-;2;9.75;Hügli Kaj;**;13;54.5;4;8.75;2;-1.0;9.0
o;5;18.75;Aeschbacher Matthias;***;4;57.0;6;18.5;1;-0.25;8.5
o;10;27.25;Gerber Ueli;*;8;55.75;9;27.5;-1;0.25;8.75
-;11;36.0;Kämpf Alexander;**;17;53.5;11;36.0;0;0.0;8.75
o;14;44.75;Wittwer Josias;**;13;54.5;15;44.5;1;-0.25;8.5

18d;Michel Jonas;*;;;;;;;;;53.25
o;;;Reichmuth Roland;*;;;;;;;8.5
+;5;8.5;Stöckli Damian;*;30;26.0;4;8.75;-1;0.25;10.0
o;6;18.5;Waser Dominik;**;13;54.5;8;17.75;2;-0.75;8.5
-;11;27.0;Mangold Michael;**;14;54.25;11;27.0;0;0.0;8.75
-;12;35.75;Durrer Jonas (2003);*;13;54.5;12;35.75;0;0.0;8.75
-;15;44.5;Kenel Franz-Toni;*;17;53.5;14;44.75;-1;0.25;8.75

18e;Wüthrich Philip;*;;;;;;;;;53.25
o;;;Suter Beat;*;;;;;;;8.5
+;5;8.5;Schmutz Simon;*;14;54.25;5;8.5;0;0.0;10.0
o;6;18.5;Henzer Andreas;**;18;53.25;10;17.25;4;-1.25;8.5
-;11;27.0;Rohrer Ueli;**;12;54.75;10;27.25;-1;0.25;8.75
o;12;35.75;Lustenberger Josef;*;13;54.5;12;35.75;0;0.0;8.5
-;16;44.25;Ming Christian;*;16;53.75;14;44.75;-2;0.5;9.0

18f;Wittwer Jan;**;;;;;;;;;53.25
o;;;Doppmann Urs;**;;;;;;;8.5
-;5;8.5;Egli Damian;**;12;54.75;3;9.0;-2;0.5;8.75
o;10;17.25;Odermatt Remo;*;15;54.0;6;18.5;-4;1.25;8.5
+;16;25.75;Arnold Marcel;*;14;54.25;11;27.0;-5;1.25;10.0
-;12;35.75;Lussi Marco;**;13;54.5;8;36.75;-4;1.0;9.0
o;14;44.75;Odermatt Andreas;**;11;55.0;12;45.25;-2;0.5;8.5

18g;Steffen Konrad;*;;;;;;;;;53.25
o;;;Bucher Christian;**;;;;;;;8.5
+;5;8.5;Felder Martin;*;33;17.0;5;8.5;0;0.0;10.0
o;6;18.5;Räbmatter Patrick;***;4;57.0;7;18.25;1;-0.25;8.5
-;11;27.0;Bürgi Reto;*;17;53.5;10;27.25;-1;0.25;9.0
o;11;36.0;Egli Damian;**;12;54.75;14;35.25;3;-0.75;8.75
o;14;44.75;Bucher Roland;*;12;54.75;13;45.0;-1;0.25;8.5

19a;Scheuner Michael;*;;;;;;;;;53.0
-;;;Schmid Simon;*;;;;;;;8.75
-;4;8.75;Schürpf Bruno;*;14;54.25;5;8.5;1;-0.25;8.75
+;9;17.5;Amgarten Martin;*;24;51.25;10;17.25;1;-0.25;9.75
o;10;27.25;Erb Roger;**;9;55.5;11;27.0;1;-0.25;8.5
o;12;35.75;Kennel Stefan;**;8;55.75;12;35.75;0;0.0;8.5
-;16;44.25;Arnold Fabian;*;17;53.5;14;44.75;-2;0.5;8.75

20a;von Büren Stephan;**;;;;;;;;;52.75
o;;;Kurmann Toni;*;;;;;;;8.5
-;5;8.5;Waser Dominik;**;13;54.5;3;9.0;-2;0.5;8.75
-;10;17.25;Odermatt Andreas;**;11;55.0;11;17.0;1;-0.25;8.75
o;15;26.0;Schürpf Bruno;*;14;54.25;15;26.0;0;0.0;8.5
+;16;34.5;Mangold Martin;*;17;53.5;14;35.25;-2;0.75;9.75
o;16;44.25;Durrer Jonas (2003);*;13;54.5;15;44.5;-1;0.25;8.5

20b;Wenger Marcel;*;;;;;;;;;52.75
-;;;Amgarten Martin;*;;;;;;;8.75
+;4;8.75;Arnold Marcel;*;14;54.25;5;8.5;1;-0.25;9.75
o;6;18.5;Heiniger Marco;**;9;55.5;10;17.25;4;-1.25;8.5
-;11;27.0;Ettlin Martin;*;13;54.5;11;27.0;0;0.0;8.75
o;12;35.75;Hügli Kaj;**;13;54.5;12;35.75;0;0.0;8.5
o;16;44.25;Mangold Michael;**;14;54.25;16;44.25;0;0.0;8.5

20c;Schenk Thomas;*;;;;;;;;;52.75
o;;;Bürgi Reto;*;;;;;;;8.5
+;5;8.5;Bienz Romeo;*;30;26.0;4;8.75;-1;0.25;10.0
o;6;18.5;Bürli Roger;**;12;54.75;9;17.5;3;-1.0;8.5
-;11;27.0;Durrer Jonas (2003);*;13;54.5;11;27.0;0;0.0;8.75
o;12;35.75;Schürpf Bruno;*;14;54.25;12;35.75;0;0.0;8.5
o;16;44.25;Schmutz Simon;*;14;54.25;16;44.25;0;0.0;8.5

20d;Bruder Adrian;*;;;;;;;;;52.75
-;;;Stöckli Damian;*;;;;;;;8.75
o;4;8.75;Moos Christoph;*;21;52.5;5;8.5;1;-0.25;8.5
o;10;17.25;Arnold Fabian;*;17;53.5;9;17.5;-1;0.25;8.75
o;15;26.0;Hiltbrunner Remo (2003);*;11;55.0;15;26.0;0;0.0;8.5
+;16;34.5;Amgarten Martin;*;24;51.25;17;34.25;1;-0.25;9.75
o;16;44.25;Nufer Sämi;*;15;54.0;16;44.25;0;0.0;8.5

20e;Klossner Sven;*;;;;;;;;;52.75
-;;;Ming Christian;*;;;;;;;8.75
o;4;8.75;Leuthard Reto;**;26;36.0;3;9.0;-1;0.25;8.5
+;10;17.25;Schmutz Simon;*;14;54.25;10;17.25;0;0.0;10.0
o;10;27.25;Heiniger Marco;**;9;55.5;11;27.0;1;-0.25;8.5
o;12;35.75;Würsch Lars;*;15;54.0;13;35.5;1;-0.25;8.5
o;16;44.25;Arnold Marcel;*;14;54.25;16;44.25;0;0.0;8.5

21a;Moos Christoph;*;;;;;;;;;52.5
o;;;Gerber Ueli;*;;;;;;;8.5
+;5;8.5;Bruder Adrian;*;20;52.75;4;8.75;-1;0.25;10.0
o;6;18.5;Erb Roger;**;9;55.5;11;17.0;5;-1.5;8.5
o;11;27.0;Zangger Dominik;*;13;54.5;11;27.0;0;0.0;8.5
o;13;35.5;Blaser Roman;*;16;53.75;14;35.25;1;-0.25;8.5
o;17;44.0;Stucki Marcel;*;16;53.75;17;44.0;0;0.0;8.5

21b;Zingrich Jan;*;;;;;;;;;52.5
o;;;Würsch Lars;*;;;;;;;8.75
o;4;8.75;Durrer Nando;*;14;54.25;3;9.0;-1;0.25;8.5
+;10;17.25;Betschart Marcel;*;17;53.5;7;18.25;-3;1.0;9.75
o;11;27.0;Lussi Marco;**;13;54.5;11;27.0;0;0.0;8.5
o;13;35.5;Odermatt Andreas;**;11;55.0;13;35.5;0;0.0;8.5
o;17;44.0;Schwyzer Samuel;*;15;54.0;16;44.25;-1;0.25;8.5

22a;Dubler Mike;;;;;;;;;;52.0
-;;;Joho Philip;*;;;;;;;8.75
-;4;8.75;Imfeld Beat;*;23;51.5;5;8.5;1;-0.25;8.75
