5663-2022-05-22_Solothurner_Kantonalschwingfest-ST

1a;Alpiger Nick;***;;;;;;;;;58.5
-;16;25.5;Soland Marcel (2006);;26;34.25;16;25.5;0;0.0;8.75

27a;Yeschiltepe Turgut (2006);;;;;;;;;;34.0
o;;;Herrmann Daniel;;;;;;;;8.5
o;5;8.5;Rickenbacher Remo (2006);;20;35.75;5;8.5;0;0.0;8.5
o;11;17.0;Jüngling Pascal (2006);;22;35.25;11;17.0;0;0.0;8.5
o;16;25.5;Brunner Lukas (2006);;21;35.5;16;25.5;0;0.0;8.5

28a;Regenass Reto;;;;;;;;;;25.75
o;;;Meier Dario (2005);;;;;;;;8.75
o;4;8.75;Fricker Ivo;;15;54.25;4;8.75;0;0.0;8.5
o;10;17.25;Büttler Adrian;;20;35.75;10;17.25;0;0.0;8.5

29a;Kulmer Nick (2004);;;;;;;;;;17.25
o;;;Späti Jan;;;;;;;;8.5
-;5;8.5;Büttler Adrian;;20;35.75;5;8.5;0;0.0;8.75

30a;Christ Marino (2005);;;;;;;;;;17.0
o;;;Aerni Lars;;;;;;;;8.5
o;5;8.5;Kirchmeier Christof;;12;55.0;5;8.5;0;0.0;8.5

31a;Christ Dario;*;;;;;;;;;8.75
-;;;Mangold Martin;*;;;;;;;8.75

32a;Brand Christian;**;;;;;;;;;8.5
o;;;Bader Fabian;**;;;;;;;8.5

