4396-2019-07-07_Appenzeller_Kantonalschwingfest-ST

1a;Bless Michael;***;;;;;;;;;58.5
-;;;Steiner Michael;**;;;;;;;8.75
+;4;8.75;Bosshard Dario;;22;45.0;2;9.75;-2;1.0;9.75
-;4;18.5;Schneider Domenic;***;2;57.5;4;18.5;0;0.0;9.0
+;7;27.5;Kiser Aron (2001);;13;54.75;3;28.5;-4;1.0;10.0
+;6;37.5;Schmid Patrick;*;5;56.75;3;38.25;-3;0.75;9.75
-;5;47.25;Notz Beni;***;11;55.25;8;46.5;3;-0.75;8.75

8e;Neff Florian;*;;;;;;;;;56.0
-;;;Nock Benjamin (2001);*;;;;;;;8.75
-;4;8.75;Roth Peter;;14;54.5;1;10.0;-3;1.25;8.75
+;8;17.5;Sprecher Martin;;25;35.25;5;18.25;-3;0.75;9.75
+;8;27.25;Plüer Fabian (2003);;23;44.25;8;27.25;0;0.0;10.0
-;7;37.25;Bollhalder Manuel (2001);*;13;54.75;7;37.25;0;0.0;9.0
+;9;46.25;Leuppi Karim;*;13;54.75;10;46.0;1;-0.25;9.75

9a;Forrer Arnold;***;;;;;;;;;55.75
-;;;Kuster Marcel;***;;;;;;;8.75
-;4;8.75;Poltera Andrin;*;3;57.25;2;9.75;-2;1.0;8.75
+;8;17.5;Lanter Christian;*;15;54.25;4;18.5;-4;1.0;9.75
+;8;27.25;Schläpfer Matthias;*;9;55.75;3;28.5;-5;1.25;10.0
+;7;37.25;Funk Nicola;*;14;54.5;8;37.0;1;-0.25;9.75
-;6;47.0;Schlegel Sandro;**;7;56.25;4;47.5;-2;0.5;8.75

9b;Bernold Michael;*;;;;;;;;;55.75
+;;;Lanter Christian;*;;;;;;;9.75
+;2;9.75;Gartmann Mauro;**;16;54.0;4;8.75;2;-1.0;10.0
o;1;19.75;Bless Michael;***;1;58.5;4;18.5;3;-1.25;8.5
o;4;28.25;Landolt Reto;*;9;55.75;7;27.5;3;-0.75;8.75
+;8;37.0;Schmid Reto;;14;54.5;7;37.25;-1;0.25;10.0
o;6;47.0;Roth Martin;**;2;57.5;4;47.5;-2;0.5;8.75

9c;Landolt Reto;*;;;;;;;;;55.75
o;;;Roth Martin;**;;;;;;;8.5
-;5;8.5;Breitenmoser Manuel;*;11;55.25;3;9.0;-2;0.5;9.0
+;8;17.5;Dobler Mathias;;20;53.0;4;18.5;-4;1.0;10.0
+;7;27.5;Bernold Michael;*;9;55.75;4;28.25;-3;0.75;9.75
+;7;37.25;Oettli Marco;**;10;55.5;8;37.0;1;-0.25;10.0
o;5;47.25;Schneider Mario;**;4;57.0;5;47.25;0;0.0;8.5

9d;Geisser Lars;**;;;;;;;;;55.75
-;;;Schneider Mario;**;;;;;;;8.75
+;4;8.75;Schoch Cornel;;24;35.5;2;9.75;-2;1.0;10.0
-;3;18.75;Wittenwiler Roman;*;5;56.75;1;19.75;-2;1.0;8.75
+;7;27.5;Hugelshofer Lars (2001);*;6;56.5;4;28.25;-3;0.75;9.75
o;7;37.25;Schlegel Sandro;**;7;56.25;6;37.5;-1;0.25;8.5
+;11;45.75;Gartmann Mauro;**;16;54.0;12;45.5;1;-0.25;10.0

