2907-2018-06-10_Stoos-Schwinget-ST

1a;Kramer Lario;**;;;;;;;;;58.0
+;4;8.75;Zgraggen Fabian;*;22;35.25;5;8.5;1;-0.25;10.0
-;5;18.75;Langenstein Philip;**;17;53.0;7;18.25;2;-0.5;9.0
-;7;27.75;Fankhauser Erich;***;4;56.75;7;27.75;0;0.0;9.0
o;9;36.75;Gwerder Christian;**;9;55.5;8;37.0;-1;0.25;8.75
-;12;45.5;Hasler Florian;**;15;54.0;13;45.25;1;-0.25;8.75

14b;Leuenberger Michael;*;;;;;;;;;54.25
+;;;Kennel Beat;*;;;;;;;10.0
o;1;10.0;Suppiger Werner;**;10;55.25;4;8.75;3;-1.25;8.5
+;6;18.5;Egli Damian;**;15;54.0;7;18.25;1;-0.25;9.75
o;5;28.25;Steinauer Adrian;**;15;54.0;10;27.0;5;-1.25;8.5
o;9;36.75;Gwerder Michael (2000);*;10;55.25;10;36.5;1;-0.25;8.75
o;12;45.5;Odermatt Christian;**;10;55.25;12;45.5;0;0.0;8.5
+;15;54.0;Gloggner Reto;**;17;53.0;17;53.0;2;-1.0;0.25

14c;Heinzer Ronny;*;;;;;;;;;54.25
+;;;Vonlaufen Lukas;*;;;;;;;9.75
-;2;9.75;Roth Philipp;***;20;35.75;5;8.5;3;-1.25;8.75
+;6;18.5;Staub Maël;*;21;35.5;7;18.25;1;-0.25;10.0
o;4;28.5;Bieri Marcel;**;2;57.25;4;28.5;0;0.0;8.75
o;7;37.25;Michel Jonas;*;9;55.5;7;37.25;0;0.0;8.5
o;11;45.75;Gobeli Patrick;*;9;55.5;11;45.75;0;0.0;8.5

14d;Blaser Theo;*;;;;;;;;;54.25
o;;;Doppmann Urs;*;;;;;;;8.5
-;5;8.5;Michel Jonas;*;9;55.5;5;8.5;0;0.0;8.75
+;10;17.25;Stöckli Damian;*;25;34.5;10;17.25;0;0.0;10.0
o;9;27.25;Roth Philipp;***;20;35.75;15;25.75;6;-1.5;8.5
o;13;35.75;Ramseier Fritz;**;11;55.0;12;36.0;-1;0.25;8.5
+;17;44.25;Rohrer Beat;*;17;53.0;16;44.5;-1;0.25;10.0

15a;Steinauer Adrian;**;;;;;;;;;54.0
+;;;Schwander Severin;*;;;;;;;9.75
o;2;9.75;Staudenmann Fabian (2000);**;8;55.75;1;10.0;-1;0.25;8.75
o;6;18.5;Aeschbacher Matthias;**;6;56.25;7;18.25;1;-0.25;8.5
+;10;27.0;Leuenberger Michael;*;14;54.25;5;28.25;-5;1.25;10.0
o;8;37.0;Anderegg Simon;***;3;57.0;7;37.25;-1;0.25;8.5
o;12;45.5;Betschart Remo;**;9;55.5;12;45.5;0;0.0;8.5

15b;Fässler Dominic;**;;;;;;;;;54.0
+;;;Arnold Andreas;*;;;;;;;10.0
o;1;10.0;Bieri Marcel;**;2;57.25;4;8.75;3;-1.25;8.5
o;6;18.5;Reichmuth Marco;**;11;55.0;5;18.75;-1;0.25;8.5
+;10;27.0;Rolli Martin;**;21;35.5;10;27.0;0;0.0;10.0
o;8;37.0;Dind Samuel;**;10;55.25;9;36.75;1;-0.25;8.5
o;12;45.5;von Weissenfluh Kilian;**;12;54.75;15;44.75;3;-0.75;8.5

15c;Egli Damian;**;;;;;;;;;54.0
+;;;Minder Florian;**;;;;;;;9.75
o;2;9.75;Anderegg Simon;***;3;57.0;4;8.75;2;-1.0;8.5
o;7;18.25;Leuenberger Michael;*;14;54.25;6;18.5;-1;0.25;8.5
